,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,BodyParts
0,180.15,198.1,215.85,233.45,250.85,269.2,288.75,311.2,332.45,353.3,375.95,390.95,397.05,403.5,405.75,408.4,411.6,413.8,415.8,417.3,420.4,422.6,424.65,427.35,429.85,431,430.85,428.2,427.75,427.05,424.3,419.8,414.2,408.05,401.75,396,390.6,386.7,385.65,384.45,382.35,380.55,379.1,377.55,377.15,377.45,378.3,380.35,380.6,382,382.45,384.15,389.45,393.55,399.4,403.95,409.1,412.2,415.4,418.6,422.5,427.4,432.75,438.4,444.1,449.8,454.05,459.4,466.1,473.2,481.45,489.2,494.55,502.4,509.5,519.3,529.3,539.9,550.75,561.95,572.9,582.65,592.25,601.2,610.8,621.5,633.1,642.45,653.8,665.75,675.75,688.6,701.2,712.15,722.65,731.2,738.45,745.1,751.9,757.6,763.85,771.25,777.8,784.55,788,789.15,788.25,787.2,781.05,772,763.15,751.65,741.1,729.7,718.4,707.4,694.85,681.65,666.25,649.05,632.35,614.85,596,578.35,562.25,546.35,532.85,518.75,503.8,489.2,477.15,464.8,451.7,440.9,429.85,418.65,410.1,401.8,391.6,382.2,372.2,363.5,356.45,348,341.4,335.25,328.95,322.25,317.6,313.55,308.35,303.75,299.2,293.4,289.55,286.65,282.55,278.6,274.75,272.15,269.05,265.45,263.45,260.2,255.4,251.1,247.7,244.4,242.5,239.7,237.75,235.95,233.5,230.05,227.1,223.15,220.5,218.45,217.6,216.25,214.65,212.95,210.75,208.4,207.3,207,205.75,204.05,201.1,198.75,196.65,194.45,194.2,195.15,193.4,192,191.05,189.6,188.7,188.05,188,187.3,185.55,186.5,187.65,187.95,187.85,188.9,190.75,192.4,192.85,192.7,191.1,189.35,189.15,190.6,190.65,191,192.05,194.25,196.4,198.5,200.5,201.25,199.7,197.9,196.5,194.95,192.65,191.1,190.35,190.1,190.35,190.4,189.8,187.7,185.65,183.95,182.5,180.55,178.6,177.15,176.4,175.7,175.7,175.85,176.25,177.95,180.7,183.2,184.85,186.35,187.9,189.1,190.2,190.55,190.8,190.6,188.9,187.95,186.5,185.7,184.35,182.85,181.6,180.2,178.75,176.15,173.7,171.85,171.55,171,169.5,168.35,166.6,165.3,164.1,162.85,163.2,163.65,163.8,163.95,163.9,163.8,163.7,164.35,164.1,164.1,163.85,163.9,163.45,154.7,146.65,138.7,130.8,122.8,114.9,107.15,99,90.3,Chest
1,178.65,196.9,215.2,233.2,251.35,270.15,289.95,312.75,334.85,356.1,379.05,393.75,400.05,405.05,409.4,412.9,415.5,415.65,417,418.1,421.3,422.85,423.4,424.75,426.45,426.75,425.6,422.8,421.75,420.7,417.15,411.45,405.95,400.45,394.9,389.85,384.8,382.9,382.7,382.35,380.55,379.95,380,380.1,380.75,382.45,385.7,386.65,387.65,390.05,391.7,395.45,398.6,403.45,408.85,414.05,419.7,423.6,428,432.45,436.85,441.5,446.3,451.95,456.7,462.65,466.2,473.35,480.25,487,495.15,503.05,511.5,519.4,528.25,538,546.95,556.3,566.9,577.65,589.55,601.7,613.05,623,633.9,644.55,657.75,668.9,680.95,693.7,704.15,717.25,729.5,740.75,749.2,756.65,764.95,771,776.45,779.1,780.25,781.65,783.65,785.3,785.1,783,777.4,770.65,762.05,749.1,739.25,723.95,709.7,694.8,681.05,666.85,652.4,638.15,618.85,600.8,585.55,568.1,550.5,533.65,517.5,502.2,489.35,476.7,461.75,449.1,436.35,425.6,413.4,403.85,394.3,385.4,376.95,369.55,362.2,354.8,346.7,342.5,336.9,330.25,324.85,319.5,314.65,310.85,307.65,304.2,299.4,295.1,291.1,285.2,281.2,277.8,275.2,271.95,269.35,267.65,264.85,259.95,257.7,255.25,251.55,247.85,244.65,240.7,237.7,234.1,230.55,227.55,224.8,225.6,224.3,222.75,220.05,217.6,216.05,214.45,213.15,210.95,208.55,208,206.65,206.05,205,202.4,200.4,199.35,198.55,197.95,199.35,197.45,196.05,194.8,194.2,192.2,191.15,190.45,189.25,188.8,187.55,187.3,187.35,186.95,186.7,188.4,189.95,192.25,195.15,196.55,195.45,193.65,191.8,189.15,187.3,187.35,187.7,188.05,189.55,190.95,193.25,193.75,194.2,194.15,193.45,191.4,188.55,185.75,184.3,183.2,182.55,182.8,182.9,183.35,181.85,180.15,179.85,180.3,179.85,179.65,179.05,178.15,177.95,177.75,177.25,177.5,178.95,181.05,181.15,182.7,184.45,185.5,185.5,185.95,187.05,187.75,186.95,186,184.6,183,181.2,179.35,177.7,176.25,174.8,173.5,172.15,171.3,172.4,172.25,171.75,171.5,172.65,172.8,172.65,172.5,172.15,171.65,171.8,171.85,171.95,172.05,172.15,172.2,172.1,172.35,172.3,171.55,169.95,160.3,151.2,142.2,132.85,123.55,114.7,106.1,98.2,90.1,Chest
2,175.7,193.35,211.1,229,247.3,267.35,287.75,310.65,333.2,355.4,379.1,395.15,402,407.7,412.95,416.5,419.5,421.2,422.8,424.25,427.6,429.75,431.35,433.1,434.6,433.8,432.3,429.4,427.65,425.2,421.15,415.25,409.5,403.9,397.4,393.15,388.65,385.85,385.55,385.15,384.25,384.1,383.9,383.75,384.05,384.7,386.1,387.55,388.55,391.25,392.95,395.9,399.55,404,410.25,414.9,420.55,424.25,428.6,432.9,436.95,441.65,446.85,453.05,458.95,465.9,473.55,479.75,487.05,494.05,501.65,509.55,517.9,527.4,535.75,545.6,556.55,567.5,578.75,590.55,602.7,614.4,626.3,636.75,647.5,658.35,669.5,681.2,693.05,705.65,716.4,729.65,741.6,751.6,760.6,767.55,773.2,777.3,779.25,779.15,778.5,778.05,777.75,777.5,775.7,771.85,764.25,756.1,743.45,729.05,715.95,699.85,684.85,668.85,654.1,639.35,623.6,608.05,590.1,575.3,561.2,544.5,526.85,510.85,495.75,482.05,470.8,459.65,448.3,436.85,425.1,415.65,404.15,394.05,384.25,375.8,369.65,363.9,357.85,349.45,340.2,334,329.45,323.3,318.05,312.55,307.1,301.7,298,294.25,291.55,286.55,282.55,278.25,275.25,271.9,267.5,263.85,262,259.75,257.95,255.9,253.75,250.85,246.8,242.1,238.2,234.6,232.9,231.5,229.8,228.55,227.25,224.55,222.75,220.45,218.65,215.75,213.35,211.4,209.75,207.2,204.75,204.4,204.35,205.1,205.3,204.2,201.6,198.6,196.25,193.9,193.1,194.8,194.65,193.2,191.35,189.6,189.05,188.4,187.5,187.65,186.3,185.35,185.45,185.75,185.75,186.7,188.4,190.4,191.45,191.55,190.95,189.15,186.2,185,184.25,184.7,184.8,186,187.6,188.65,190.2,190.15,188.35,186.5,185.05,182.55,180.05,178.45,177.4,177.3,176.9,176.7,176.55,176.4,175.65,174.65,173.95,173.1,172.3,172.4,172.4,172.7,173.55,174.55,175.65,177.9,180.55,181.6,182.8,183.55,184.7,185.05,185.6,185.35,185.65,185.05,184.6,184.85,183.5,181.9,180.6,178.45,177.3,175,172.55,170,167.55,166.1,166.25,165.65,164.8,164.65,164.55,164.55,163.9,163.65,163.5,162.4,162.75,163.1,163.15,163.3,162.8,163.4,163,163.7,163.45,164.6,163.5,155.25,147.05,138.9,130.7,122.75,114.75,106.8,98.75,90.9,Chest
3,176.95,194.9,213.1,231.1,249.5,268.8,288.65,311.7,334.4,356.65,380.8,396.8,403.5,408.9,412.75,416.3,419.6,420.05,421.15,422.7,425.5,427.15,427.75,429.15,430.6,431.55,431.05,427.3,425.1,423,418.4,412.45,405.7,400.55,395.1,389.7,385.35,383.05,383.1,382.85,381.75,381.45,381.7,381.85,382.2,382.05,383.1,385.25,386.7,388.95,390.85,394.3,398.7,402.95,408.85,414.7,420.45,424.4,428.9,433.35,437.8,442.55,448.1,453.95,460.1,467.35,472.5,479.55,487.35,494.95,502.7,510.55,518.7,527.45,536.65,546.9,557.95,569.4,580.6,592.85,605.1,617.05,628.6,639.6,650.7,661.25,674.75,685.5,695,706.2,716.85,730.4,743.15,753.95,762.15,768.35,773.25,776.75,780.6,780.2,779.5,779.2,778.85,778.45,775.85,771.45,762.15,753.45,741.5,727.35,713.55,695.85,679.8,663.85,648.8,634.55,619.7,605.75,586.3,568.95,553,536.8,519.05,500.15,484.85,471.35,461.2,450.25,440.35,429.35,420.1,410.2,398.65,389.65,381.05,372.65,365.55,358.6,352.05,345.3,337.75,332.05,327.95,324.3,319.2,314.2,309.65,304.35,299.6,295.9,290.65,286.95,283.6,277.95,273.95,269,264.75,260.95,259.35,257,255.15,251.8,249.85,247.05,243.65,240.55,236.3,233.05,231.45,228.95,226.45,223.8,221.55,219.05,216.8,216.55,215.4,213.1,210.95,209.15,206.65,204.3,202.3,202.05,202.9,201.7,201.6,201.3,201.55,202.25,203.15,203.45,205,207.4,207.8,207.35,206.45,204.45,202.65,202,201.65,201.8,199.6,197.1,194.8,193.7,192.6,192.7,192.05,192.1,193.05,194.1,192.85,190.7,187.6,185.6,183.15,183.7,185.2,186.6,188.9,190.45,192.65,194.3,193.45,192.45,191.15,188.35,186.2,183.8,180.8,178.2,177.25,176.55,176.6,175.95,176.25,174.8,173.9,173.1,171.75,171.15,170.2,169.9,171.5,173.7,176.3,178.9,179.85,181.45,182.95,184.1,184.05,184.4,184.8,184.6,184.6,184.4,183.7,182.8,181.8,180.7,179.55,178.25,175.9,173.5,171.75,169.7,168.5,166.75,167.05,167.25,167.3,166.95,166.6,166.55,165.9,166.1,165.85,166.05,167.1,167.95,167.9,168,168.2,168.2,167.1,166.8,166.75,167.1,166.35,157.15,148.9,140.95,132.85,124.7,116.55,108.25,100.35,92.3,Chest
4,177.1,194.45,212.1,230.15,248.65,268.25,288.95,311.75,334.35,356.5,380.15,395.95,402.4,408,412.15,416.05,418.95,418.8,420.2,422.35,425.5,427.85,428.95,429.65,430.35,429.45,427.2,424.05,421.9,419.95,415.95,410.1,404.2,397.8,392.9,387.5,382.9,381.2,381.4,378.75,377.55,376.2,376.3,377.15,378.05,379.5,381.55,382.4,385.1,387.5,389.65,392.85,397,402.3,407.8,413.1,419,422.75,426.35,432.8,438.05,444,449.15,455.15,461.35,468.3,474.15,482.25,488.3,495.8,503.5,511.4,519.25,527.9,537,547.3,558.2,569.1,579,590.25,603,614.85,627.15,637.95,648.45,659.2,671.35,683.35,695.6,707.15,717.3,729.95,742.3,753.4,761.3,767.4,772.45,775.85,780.9,781.3,779.5,778.2,776.9,775.15,771.75,766.8,759.9,750.2,736.6,721.9,708.95,693,677.6,660.9,643.8,628.6,614,599.6,580.4,562.5,547.5,531.7,514.7,499.3,485.5,472.35,460.2,448.35,437.45,426.7,416.95,405.65,393.85,384.4,377.25,369.05,358.6,351.45,345.05,338.75,330.65,324.95,318.5,313.75,308.65,303.65,299.5,296.6,293.45,290.5,285.65,282.2,279.25,274.6,271.25,268.95,268.85,266.25,264.6,262.85,260.95,258.2,258.2,254.7,251.65,248.6,244.9,240.1,237.25,233.65,231.05,229.35,227,224.85,223.7,219.6,216.95,214.7,212.2,210.3,207.65,205.05,201.9,200.55,199.15,198.4,196.55,194.25,192.3,191.4,190.05,188.6,189.05,189.85,188.15,188.75,188.65,186.95,186.9,186.25,186.45,186.35,185.95,185.7,186.2,186.05,186.95,187.95,189.55,189.75,190.25,190.05,188.5,187.2,185.45,184.15,181.45,180.45,180.3,181.1,182.6,185.2,188.2,189,188.05,186.85,185.9,185.3,183.55,182.65,181.9,181.85,181.25,180.9,180.85,180.65,181.2,180,178.45,177.45,175.5,173.8,172.25,171.35,171,170.95,170.75,170.55,171.05,172.55,173.65,174.05,175.75,176,176.4,175.9,175.05,175.2,175.7,175.7,175.5,174.65,173.4,172.1,170.8,169.25,168.05,167.15,166.25,164.8,163.8,164.75,164.5,164.6,164.75,164.8,164.7,164.5,164.05,163.65,163.7,163.5,163.25,163.35,163.45,163.6,163.5,163.65,163.45,163.6,164.85,155.8,147,138.6,130.15,122.05,114,106.2,98.2,90.35,Chest
5,177.5,195.1,213.1,231.05,249.8,270.85,290.8,313.7,336.3,358,381.85,397.8,404.95,410,413.65,417.95,421.2,421.55,422.5,423.8,427.15,429.25,431.1,434.65,435.4,433.7,432.7,429.65,427.85,426.6,422.6,416.65,410.65,404.95,399.4,394.15,391.75,388.35,388.3,387.95,386.9,386.25,385.55,384.15,385,385.7,387.15,388.4,389.6,391.15,392.95,395.65,399.6,404.4,409.65,415.4,418.8,424.35,428.9,433,437.5,442.35,447.45,453.05,458.55,465.55,471.15,478.95,484.35,492.2,499.6,510.25,518.6,527.35,537.05,546.75,557.8,568.5,579.45,592.4,605,617.15,628.95,639.7,651.1,661.9,674.95,685.6,699.5,711.8,722.7,733.5,745.8,756.8,764.85,771.15,776.2,779.75,783.05,781.85,778.45,777.4,776.5,774.9,771.5,766.65,759.1,750.55,736.7,721.4,706.7,689,672.55,655.95,640.5,625.75,610.35,595.35,576.3,559.05,546.2,531.8,516.35,501.1,486.85,473.5,461.6,449.8,439.45,428.4,419.9,410.5,399.45,391.5,383.65,376.05,369.05,363.1,357.7,352.4,344.4,337.6,331.4,324.9,319.4,314.3,309.05,304.35,300.05,296.4,290.95,287.1,283.8,277.45,273.7,270.55,267.75,264.7,262.2,259.25,256.95,254.05,252.75,250.55,247.05,242.95,239.85,236,234.55,232.75,231.35,230.6,229.7,228.75,226.55,224,220.85,217.85,214.9,212.3,209.35,207.05,204.8,203.6,203.55,203.7,203.15,202.35,200.2,198.8,196.85,194.15,193.65,193.45,191.9,190,189.85,189.5,190.2,190.7,191.65,191.05,188.95,188.75,188.45,188.75,188.75,189.8,191.7,193.1,195.4,196.7,195.5,193.75,192.3,191.35,189.6,187.9,186.7,186.5,185.85,187.9,189.7,189.75,188.8,187.35,186.75,184.3,181.15,178.6,176.45,175.15,174.45,174.6,174.55,174.15,173.45,173.3,173.6,174.2,175.2,173.9,173.45,173.4,173.6,173.7,173.35,174.5,176.35,178.3,179.05,180.15,181.2,181.9,182.15,182.45,182.85,181.95,181.3,180.25,180.15,180.6,179.95,178.4,176.7,175.15,173.45,171.8,170.05,168.15,167.35,166.35,165.5,164.9,164.75,164.45,163.8,163.55,163.05,163.05,161.95,160.8,160.2,160.3,160.45,160.4,160.75,161.05,161.35,161.75,162,153.9,145.95,137.8,129.7,121.65,113.5,105.6,97.6,89.45,Chest
6,174.85,192.25,210,227.85,248.7,268.55,288.8,311.75,334.5,356.1,380.1,396.3,403.3,408.85,413.05,416.95,420.6,420.85,421.8,423.75,426.95,429.6,430.8,432.35,430.85,430.45,430.5,426.45,423.95,422.1,416.9,410.35,404.2,398.55,392.75,387.55,383.35,381.8,381.8,381.5,380.55,379,378.65,378.8,379.4,380.05,379.85,382.35,383.9,386.35,388.65,392.35,395.8,400.15,405.45,411.15,416.4,420.2,423.35,427.4,431.85,437.7,444.65,450.15,456.45,463.75,469.55,476.35,483.95,491.85,499.7,507.7,516.15,525,534.4,544.4,555.75,567.5,580.45,593,606.05,617.7,628.35,639.4,650.25,660.65,673.95,684.9,696.2,707.95,721.2,734.9,746.9,757.3,765.8,772.1,776.75,778.45,781.05,779.95,777.4,776.15,774.9,773.35,770.25,765.8,758.15,750.3,737.3,722.3,705.45,687.15,671.25,655.55,641,627.1,612.1,598,579.05,562.05,547.9,531.9,515.3,500.3,485.85,472.2,459.5,448,437.55,426.45,417.25,407.1,395.7,386.05,376.85,367.8,361.05,355.65,349.8,343.8,335.45,329.75,324.3,317.7,312.15,306.9,303.4,299,294.45,290.15,285.1,281.7,278.55,273.35,269.9,264.45,260.15,256.6,255,253.2,251.65,248.45,246.6,244.35,241.3,238.55,234.45,230.85,229.25,227.4,225.2,223,220.9,219.6,217.4,218.15,216.3,213.3,210.85,209.35,207.25,205.45,203.8,203.35,203.5,202.75,202.45,201.75,200.35,199.65,200.35,200.5,201.35,201.85,200.9,200.1,199.8,198.8,197.6,196.4,195.4,195.7,194.6,193.5,192.1,191.85,191.85,191.55,193,194.6,195.8,196.9,196.9,196.55,195.15,193.05,191.1,190.55,190.1,191.7,193.45,195.55,196.8,197,197.15,196,194.85,192.9,190,187.5,184.5,182.45,180.45,178.8,178.4,178.2,177.55,177.05,177.75,177,176.7,175.5,175.1,174.7,174.1,173.85,173.3,173.85,175.45,177,179.4,181.6,183.15,184.05,183.9,183.95,184.75,183.9,182.65,181.55,180.15,179.2,178,176.9,175.6,174.15,173.05,171.85,170.2,168.7,168,166.6,166.1,165.7,165.8,165.2,163.85,163.55,163.6,163.65,163.55,163.25,163.3,163.95,164.1,164.45,165.1,166.1,166.65,167.15,166.9,157.85,149.05,140.8,132.65,124.7,117,109.2,101.3,93.2,Chest
7,178.7,196.55,214.45,232.3,250.85,270.4,290.5,313.45,336,357.8,381.55,396.25,402.45,406.9,410.15,412.7,416.6,416.7,418,419.8,421.75,423.8,425.3,427.25,428.1,427.65,426.2,423.25,421.3,419.4,414.45,408.75,402.65,397.8,392.75,388.3,382.5,381.05,381.35,380.7,380.2,379.4,379.45,379.5,379.9,380.85,382.3,383.3,383.2,384,386.65,390.5,395.45,400.4,406.15,411.8,417.85,422.05,426.55,431.5,436.35,441.45,446.75,452.55,459.1,466.65,472.25,480.1,488.9,498.55,506.8,514.15,522.05,530.35,539.55,549.55,560.55,571.2,582,593.95,605.45,619.15,630.8,643.6,654.35,664.3,677.75,688.65,701,712.75,723.25,736.3,748.55,759.75,768.05,775,779.95,783.1,785.9,784.85,784.75,782.65,781.9,778.4,774.8,770.3,762.4,753.8,740.05,724.6,709.75,692.35,674.15,658.55,644.1,629.95,614.9,600.45,581.65,565.15,550.35,533.35,515.8,500.15,486.25,472.7,460.95,448.95,438.15,427.4,418.65,408.5,399.05,389.5,380.6,371.95,365.15,357.15,350.25,343.3,334.3,328.7,324.15,317.9,312.35,305.25,300,295,290.5,287,282.05,278.6,275.6,269.75,264.95,261.35,258.05,256.9,255.9,253.9,252.4,249.75,248.15,246.15,243,241.85,238.9,235.95,235.05,232.15,229.9,228.05,225.3,222.6,221.15,219.3,216.5,211.8,208.5,206,203.5,201.25,198.15,196.6,195.8,195.5,195.25,194.75,193.6,193.7,192.15,191.6,192.7,195.2,195.1,194.45,194.05,195.55,196.55,196.95,196.8,196.55,195.3,195,194.55,194.25,194.15,194.4,193.9,193.55,194.75,195.45,194.6,191.8,188.8,186.75,185.2,183.65,183.95,184.9,186.5,187.95,190.1,190.8,190.65,188.6,186.6,184.75,183.1,181.7,180.6,178.9,178.3,178.55,178.45,177.7,177.2,177,176.5,176.1,175.45,175.3,174.95,173.25,172.7,173.7,174.6,175.45,177.05,179.15,179.95,180.6,180.45,181,181.35,181.35,180.45,179,177.4,176.25,175.2,174.35,173.4,173.8,172.95,171.65,169.9,168,166.3,164.7,165.25,165.35,167.2,168,168.95,169.6,169.4,169.4,169.6,169.75,169.55,169.1,168.4,167.5,167.2,166.9,166.8,168,169.25,169.85,169.75,161.25,151.4,142,132.95,124.05,116.25,108.45,100.3,92.1,Chest
8,175.6,193.2,211.05,229.05,247.35,266.5,287.7,309.5,330.95,351.95,375,391.2,398,403.4,407.95,412.35,416.7,417.75,418.45,419.65,422.45,424.65,425.45,426.5,429.1,429.1,427.35,425.35,424.7,423.45,419.4,413.7,407,401.5,396,390.45,385.65,383.2,381.35,378.85,377.7,377,377.95,378.55,377.8,378.65,379.7,380.85,382.4,385.2,387.75,390.25,394.9,399.6,404.55,410.45,415.75,419.75,426,432.6,437.35,442.5,447.05,453.25,459.35,466.45,471.45,479.65,486.85,494.5,502.25,512.95,520.3,529.95,538.95,548.4,559.25,570.15,581.55,593.7,606.1,618.05,629.8,640.15,651.25,661.75,675.35,685.5,696.55,708.25,718.8,729.05,741.15,750,758.3,764.7,769.8,772.45,775.55,775.05,774.05,772.65,769.7,768.5,765.15,761.05,752.15,743.85,731.45,716.55,702.5,685.45,670.65,655.45,640.85,626.35,611.75,598.1,579.1,561.4,546.15,530.15,515.4,499.9,485.5,471.75,460.95,449.45,438.4,427.45,417.2,406.95,395.1,385.6,375.05,367.2,358.4,351.5,345.6,339.4,331.2,325.3,320.6,314.35,308.9,303.85,299,294.5,290.8,287.65,284.35,281,277.95,272.9,271.45,268.05,266.35,263.05,259.8,257.85,255.7,253.25,251.6,249.25,245.5,241.55,239.35,235.25,233.45,231.6,229.1,227,224.8,223.5,221.15,217.7,214.85,212.6,211.5,209.65,207.65,204.9,202.95,201.95,202.25,202.5,201.15,200.8,198.65,196.25,194.5,194.05,194.45,195.05,195,195.65,195.45,193.95,192.4,193.05,194.25,195.75,193.95,193.35,193.6,193.5,193.3,193.75,195.65,197.35,198.6,199.3,198.95,196.9,193.9,192.35,191.15,191,192.4,192.2,192.6,192.9,193.9,194.15,192.9,190.9,188.7,185.8,182.2,180,179.15,178,177.4,177.25,177.35,176.8,176.45,176.3,175.6,175.5,174.8,174.1,174.5,174.6,174,174.45,175.5,176.95,178.2,179.65,180,180.45,180.55,181.15,181.75,182.2,182.05,180.7,179.6,178.25,176.8,175.85,174.6,173.15,171.95,170.65,170.25,169.45,168.8,167.5,168.6,169.05,169.95,170,170.8,170.8,170.4,170.55,170.5,170.3,169.7,169.6,168.9,168.55,168.4,168.8,167.85,167.25,167.55,167.15,165.75,156.75,147.45,138.85,129.45,120.3,111.75,103.65,95.8,88.1,Chest
9,177.1,194.5,212.45,230.4,249.2,268.2,287.9,310.55,331.95,353.4,375.55,391.35,398.9,404.75,408.5,412.05,413.35,413.75,415,417,419.25,421.85,422.95,424.4,425.65,425.55,424.45,421.65,419.05,415.65,412.15,406.65,400.45,395.2,390.5,385.65,381.35,379.9,380.05,378.55,377.4,376.55,376.6,376.55,376.6,377.8,379.7,380.75,384.4,388.75,391.35,393.8,397.35,401.7,407,412.9,418.1,421.75,426.05,430.35,435.05,442.1,447.35,453.55,459.9,467.35,473,480.8,488.05,495.85,504,512.75,521.25,530.05,538.85,548.25,559.7,570.55,582,595.25,607.8,617.6,629.3,640.2,650.75,660.85,673.85,684.5,695.55,708.05,718.75,731.2,743,754.1,762.75,768.85,774.1,778.1,781.65,781.05,780.1,779.7,779.5,778.35,775.6,771.35,763.65,753.2,739.75,723.65,709.45,691.95,676.65,660.7,646.55,633.55,619,604.55,585.3,567.85,552.7,535.45,517.75,502.05,485.65,469.75,457.35,448.45,440.7,431,421.85,412.25,400.7,390.55,380.55,371.55,363.9,357.2,351.3,344.1,335.45,331,325.9,318.9,315.1,312.6,308.2,303.6,297.85,293.9,289.2,285.8,282.85,278.15,274.95,271.95,268.35,262.5,258.6,256.75,255.9,252.9,252,250.4,247.35,243.8,240.05,236.15,233.45,230.25,226.95,223.9,220.65,218.15,215.95,214.35,212.9,213.55,212.75,211.4,208.1,205.95,203.3,202.3,202.25,201.35,200.65,198.4,195.25,196.35,197.9,200.2,201.1,202.1,201.75,200.35,199.2,197.1,196.95,197.75,199.35,199.85,199.35,199.6,199.7,200.15,200.7,202.3,205.35,204.7,204.5,203.3,203.05,201.3,199.1,197.45,196.4,195.85,196.2,196.55,197.3,198.2,198.95,198.7,197.8,196.6,195.8,193.9,190.7,188.35,186.1,184.15,183.45,183.85,183.35,182.5,180.8,180.85,180.2,179.3,177.9,177.05,176.6,175.9,175.5,175.35,174.7,174.9,176.55,178.1,179.65,180.45,181.05,182.05,183.75,184,184.1,183.6,183.2,182,180.75,179.35,178.3,176.95,175.2,173.4,172.15,171,169.9,168.6,169.05,169.9,169.8,168.95,167.55,167,166.7,165.55,164.55,164.25,164.1,164.2,164,164.05,164.95,166.7,168,169,169.9,170.25,168.9,159.65,151.15,142.85,134.85,126.7,118.65,110.85,102.85,94.9,Chest
