,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,BodyParts
0,177.1,197,217.6,238.65,260.1,282.05,304.55,328.7,353.2,376.25,399.65,412.35,414.9,416.1,417.9,420.05,421.6,420.4,422.1,422,423.8,423.35,420.8,417.1,413.15,409.1,404.4,399.7,396.2,394.1,390.55,388.05,386.95,386.7,386.15,386.65,387.55,388.6,389.55,393.2,394.45,396,400.05,405.25,410.5,415.25,420.85,425.7,429.7,434.15,439.8,446.6,451.8,457.55,463.55,470,476.95,484.05,491.8,497.5,505.15,513.7,521.35,528.6,536.75,545.55,554.3,563.2,573.15,583.7,592.5,602.7,614.4,625.25,635.95,646.4,656.4,666.55,674.45,684.3,692.8,701.25,707.1,714.5,720.5,723.45,723.25,721.95,716.45,708.8,704.8,696.6,689.25,681.55,672.2,660.95,649.7,635,621.05,603.6,585.95,567.3,552.1,535.6,520.05,505.8,494.65,483.5,471.05,460,445.3,432.8,420.8,409.5,398.35,389.55,381.8,373.8,364.2,357.4,352.75,347.25,339.5,332.65,325.4,320.8,316.05,310.95,307.8,303.4,300.5,296.25,290.5,286.1,283.05,278.2,274.2,273.15,271.15,268.25,263.55,260.65,258.75,255.95,253.75,250.75,247.05,242.25,239.15,236.6,234,233.1,231.95,229.05,227.2,226.55,224.7,222.45,221.4,220.35,218.85,217.4,217.5,216.95,215.5,214.1,212.65,212.8,213.35,212.25,210.15,207.85,205.95,204.05,202.8,201.7,200.95,199.85,198.65,199.95,200.1,200.15,197.35,195.8,194.35,192.75,191.55,188.6,185.3,184.1,184.1,184.3,185.4,186.45,185.05,183.15,181.3,179.7,178.25,175.4,174,172.75,172.6,173.3,175.1,176.5,177.45,179.5,182.05,183.1,182.95,182.5,181.2,180.3,179.6,179.55,178.45,178,178.95,179.55,181.1,182.45,183.95,183.65,182.15,181.1,179.8,178.85,176.25,175.3,175.15,175.3,175.4,175.55,175.65,174.85,174.65,173.85,173.7,173.8,172.3,170.65,169.2,169.85,171.15,170.85,169.7,169,169.55,171.05,172.05,172.65,172.95,173.05,173.3,173.35,172.85,172.8,171.65,170.4,170.55,170.25,170.6,168.45,166.1,164.25,164.2,163.8,163.35,161.7,162.65,162.8,162.75,162.6,163.45,164.4,164.55,164.65,164.8,165,164.75,165,164.4,164.4,164.1,164.9,165,165.15,165.25,165.7,164.55,155.9,147.8,139.7,130.75,121.75,113.75,105.6,97.55,89.6,Ear
1,177.7,196.85,217.8,239,260.4,282.9,305.65,329.9,352.75,375.2,398.7,414.1,417.6,418.75,419.25,420.9,422.9,422.3,421.75,422.7,424.15,423.8,420.8,417.2,413.15,407.8,405.95,401.5,399.6,398.15,394.35,390.3,388.65,388.25,388.15,388.45,389.4,390.1,393.55,395.8,396.55,399.3,402.15,406.7,412.4,417.85,420.35,424.65,428.8,434.1,439.6,444.65,449.7,455.05,461.75,468.2,474.7,481.35,488.45,495.95,504.9,513.05,521.85,529.45,537.85,546.8,555.4,564.5,574.05,583.75,592.75,605.55,618,631.4,642.05,652.2,662.65,672.95,681.8,689.95,697.9,705.75,713.7,721.3,725.55,727.5,727.35,725.45,720,712.8,708.85,699.15,690.3,679.35,669.4,658.55,646.8,632.45,617.75,600.2,581.45,563.55,546.6,529.85,512.95,500.1,488.85,478,466.45,454.75,440.1,427.95,416,404.85,394.75,385.45,377.8,372.15,363.4,356.4,352.05,345.8,338.2,331.65,326.85,318.3,312.3,307.5,303.45,299.3,296.5,292.25,287.6,283.9,279.55,275.45,270.1,263.5,259.2,256.35,252.55,249.9,249.5,246.75,245.05,246.1,245.4,244,242.85,240.95,238.85,238.6,237.55,235.9,234.9,233.8,233,233.45,233.3,232.2,230,227.95,226.25,225.8,224.5,221.85,218.35,214.9,213.35,213.65,212.6,210.95,208.95,206.2,204.65,203.6,202.95,202.3,202.3,202.35,202.35,201.95,199.2,197.1,194.25,192.9,192,189.3,186.35,182.95,181.25,180.05,179.8,180.95,180.1,179.2,178.1,176.55,174.7,172.85,171.7,172.9,174.1,175.55,177.9,179.45,180.45,183.3,186.2,188.55,190.1,190.7,190.8,190.1,188.75,187.4,185.7,185,185.45,186.6,187.7,187.5,187.65,187,186.65,185.9,184.95,182.75,179.7,177.1,175.5,174.6,174.6,174.25,174.2,174.25,175.3,176.05,176.5,175.75,175.1,174.1,172.6,172.1,171.35,170.5,170.45,171.15,172.95,174.85,176.25,177.25,177.95,178.05,178.75,178.45,177.2,176.1,174.6,174.5,173.8,173.45,173.3,172.8,172.9,172.35,170.95,169.7,169.4,169,169.5,169.7,169.2,169.1,170,170.85,170.7,170.2,170.15,170,170.1,170,170.1,169.4,167.85,167.65,167.6,168.4,167.45,166.65,165.45,156.55,148.3,140.35,130.85,122,113.95,106.1,98.3,90.25,Ear
2,179.6,199.3,220.15,241.15,262.6,284.95,307.55,331.3,354.05,376.7,399.95,413.65,416.7,417.4,418.35,419.4,421.85,421.3,419.95,420.9,421.7,420.75,417.8,413.75,410.2,406.05,402.85,398.9,396.95,395.6,392.5,390.2,389.3,389.55,389.8,390.25,390.6,391.7,394.9,397.65,399.1,401.65,404.4,409.4,414.45,418.7,422.8,427.55,431.9,436.75,441.8,447.1,452,457.05,462.9,469.35,476.35,483.2,490.15,497,505.05,513.6,524.2,533.3,541.35,550.6,562,571.05,580.95,591.05,600.45,612.85,625,636.7,647.4,657.75,667.45,676.35,686.1,694.35,702.1,709.9,716.05,721.75,725.95,727.95,724.8,722.7,716.9,708.95,704.35,694.55,685.45,676.35,663.75,652.4,640.7,626.7,611.75,594.25,576.75,558.7,541.7,525.6,511.45,498.4,487.1,475.95,463.9,452.85,438.7,427.05,415.4,403.75,396.5,387.8,380.55,375.1,365.4,358.4,353.05,346.6,339.05,331.7,324.4,319.65,316.1,310.35,307.05,303.1,299.85,295.6,290.6,286.75,282.2,277.5,273.55,270.1,267.25,264.3,260,257.75,256.05,253.6,252.15,249.8,246.9,246.55,244.45,241.1,238.1,236.65,235.4,232.4,231.1,230.15,227.65,223.1,220.5,220.05,218.9,217.15,216.8,216.75,215.2,212.4,209.35,206,205.25,205.05,204.85,203.1,201.1,199.85,198.7,197.1,196.4,197.4,197.85,196.1,194.75,193.65,191.55,190.05,188.55,187.7,186.8,184.55,181.55,179.8,178.25,180.6,182.45,184.8,184.4,184.3,183.05,180.85,179.8,179.7,179.75,179.9,179.25,179.05,179.55,179.25,178.85,181,183.7,185.75,187,184.6,183.1,180.85,179.15,177.85,177.35,178.05,179,180,181.45,182.8,184.9,186.1,185.6,185.65,185.5,184.1,181.65,179.3,178.1,178.1,177.8,177.45,177.55,177.2,176.85,176.45,176.25,175.15,173.75,172.45,170.7,169.2,169.15,168.8,168.6,168.3,169.45,171.25,171.7,171.65,172.15,172.4,173.6,175.4,175.55,174.8,173.85,173.6,173.5,173.6,173.05,172.15,171.15,169.6,168.45,167.25,165.85,164.35,165.35,166.35,166.55,166.7,166.5,164.65,163.65,163.6,163.6,163.95,163.7,163.5,163.65,163.6,163.35,164.2,164.15,166,166.05,166.35,165.55,156.55,148,140,131,123.05,115.15,107.15,99.25,91.1,Ear
3,176.75,196.75,217.7,238.55,259.65,281.1,304.1,327.85,351.55,373.95,397.4,411.9,416.2,418.3,419.5,420.2,421.25,420.55,419.7,420.45,419.95,418,414.45,411.85,408.25,404.85,399.75,395.8,393.4,391.9,388.05,384.55,383.2,382.25,381.7,381.75,382.9,384.2,386.15,388.85,392,394.8,398.8,402.7,408.5,413.35,418.8,422.75,426.4,431.7,437.25,442.85,449.05,456.35,463.6,471.55,478.4,485.4,494.3,501.55,510.25,519.2,527.35,534.9,542.85,551.5,560.35,570,579.8,589.55,599.2,611.65,622.7,632.6,642.7,652.2,662.45,672.05,680.45,687.95,695.25,703.55,711.75,718.7,721.8,724.15,723.7,720.55,715,707.4,702.6,693.45,684.6,675.8,666,654.85,644.05,629.45,614.9,597.85,580.1,562.35,545.15,529.05,515.5,502.05,490.45,480.75,469.7,458.15,443.9,431.25,419.25,407.2,396.95,388.15,378.55,370.45,361.1,354.25,348.3,340.7,332.75,326,319.25,314.05,309.3,304.2,300.1,295.75,292.35,288.3,283.55,279.75,275.4,271.2,268.7,267.2,265.55,262.3,259,256.95,255.3,252.4,250.5,247.7,245.4,243.75,241.9,240.85,239.2,237.95,236.85,234,232.65,230.45,228.55,226.75,225.35,224.4,222.2,219.65,219.5,219.45,218.35,216.95,214.85,212.05,210.75,209.05,207.6,206,203.9,203.35,202.6,202.85,201.45,200.4,199.45,198.95,198.8,201.35,200.9,199.6,198.1,196.9,195,193.1,190.45,188.9,187.6,187.3,188.7,189.75,188.95,187.35,186.3,184.8,183.15,183,182.85,180.5,178.25,178.2,179.45,180.05,182.05,183.75,186.8,188.35,189.1,189.2,188.5,186.75,185.4,184.25,182.95,182.7,184,184.75,186.45,187.95,189.4,189.35,188.05,187.45,185.7,183.75,180.5,179.05,178.25,178.3,177.6,178,177.75,177.7,177.4,176.2,174.9,173.7,172.3,170.85,169.6,169.3,168.05,167.7,167.6,167.95,169.05,171.2,172.9,174.2,175.45,175.75,176.15,176.5,176.7,176.9,176.8,176.35,175.9,175.6,175.1,174.2,173.85,172.3,171.3,170.05,169.1,167.1,166.95,166.55,166.2,165.8,165.35,164.55,164.2,164.25,164.15,165,165.05,164.8,164.95,164.55,164.5,166.35,167.6,167.9,167.9,167.5,166.7,157.65,148.9,140.65,132.8,125,116.85,108.6,100.7,91.95,Ear
4,176.6,195.7,216.3,237.5,259.3,281.25,303.9,328.15,352.45,375.3,397.15,409.95,413.65,414.6,415.9,418,419.95,419.35,418.05,419.1,420.65,420.6,418.55,415.2,411.4,407.5,402.8,398.2,394.75,392.8,390.45,388.65,387.25,387.25,387.25,387.8,388.5,389.6,393.2,395.75,397.45,399.55,402.75,408.15,413.1,418.75,424.45,428.6,432.6,437.25,442.75,448.05,453.1,458.7,465,471.45,477.6,484.4,491.6,498.6,506.45,514.75,522.6,529.15,537.45,545.45,553.7,563,573.45,584.1,593.65,606.6,618.5,629.05,641.15,651.7,662.4,672.9,681.9,690.4,699.3,708.2,716.65,724.15,728.8,730.7,730.95,729.4,723.45,715.6,710.9,702.8,694.6,686.7,674.95,663.4,652,637.1,622,604.45,585.8,566.65,549.25,532.05,516.6,503.9,491.35,478.9,466.85,455.8,441.5,427.45,416.1,404,394.05,385.1,376.45,370.1,361.4,354.25,349.75,344.25,335.95,329.55,322.85,316.8,312.4,308,303.7,299.05,295.75,291.45,285.6,281.75,277.7,273.45,270.1,267.8,267.1,266.2,262,259.5,258,255.05,253.95,252.7,251.35,250.85,250.65,248.9,247.3,247.35,247.65,246.25,245.45,245.2,243.9,241.4,237.7,234.5,232.15,229.95,229.6,228.55,226.45,223.7,220.7,217.5,215.65,214.4,213.55,213.8,212.4,210.25,208.75,207.15,205.45,204.05,203.9,203.3,202.35,200.75,199.35,198.95,198.25,197.2,195.7,193.7,190.65,188.95,188.05,185.05,184.4,185.25,184.45,183.65,183.4,183.5,183,182.8,183.15,184.3,183.05,182.05,181.65,181.6,181.65,182.35,184.3,185.7,185.85,185.6,184.75,183.3,181.7,180.1,178.35,176.5,176.55,177.3,177.75,177.35,178.1,178.15,177.2,176.5,175.95,174.4,172.5,170.9,170,169.9,169.6,170.1,170.35,169.8,169,167.7,167.2,166.45,165.9,166.75,167.4,168.6,170.1,170.75,171.45,173.05,174.9,177.15,178.45,179.35,180.35,179.8,179.85,179.95,180.05,181.35,180.4,179.45,179.1,178.35,176.95,175.1,172.85,171.1,169.4,169,168.2,167.25,168.65,169.4,169.2,169.3,168.9,168.85,168.5,167.15,167.05,167.25,167.45,167.1,167.05,167.15,167.5,167.65,167.8,167.25,166.25,165.9,164.3,154.75,146.05,138.05,130.15,122.1,114.15,106.25,98.4,90.5,Ear
5,180.05,199.35,220.15,240.4,261.35,283.45,306,328.9,352.95,375.6,399.25,413.55,416.3,416.65,417.8,419.9,422.1,421.55,420.55,421.4,420.75,420.4,417.4,414.85,411.4,407,402.5,398.95,395.7,394.05,390.15,387.35,385.7,386.3,386.4,386.05,386.25,387.45,390.3,392.8,394.7,396.6,400,404.3,409.5,414.1,419.3,423.6,427.65,431.75,436.45,441.5,447.25,451.4,456.85,463.65,469.7,475.85,483.25,490.1,497.45,505.25,513.55,521.05,530.7,538.95,546.5,555.9,565.55,576.4,586.4,598.45,610.45,621.3,631.85,642.3,653.2,663.6,673.75,683,692.75,702.95,711.7,720.4,724.5,728.95,731.4,730.65,727.1,720.95,717.85,710.6,703.2,696.25,688.25,678.75,667.3,654.1,639.05,623.15,605.1,586.55,569.4,552.5,538.15,524.55,510.15,498.5,486,473.4,457.95,444.4,432.2,420.2,409.6,399.75,392.5,386.2,377.3,368.2,362.7,356.15,347.65,340.45,332.4,326.65,321.7,316.8,312.95,308.05,304.75,302.05,296.35,291.8,287,282.9,279.3,276.2,273.1,270,265.2,262.55,261.05,257.55,256.2,253.65,253.8,252.45,251.15,250.05,247.9,245.45,244.95,243.2,241.85,240.65,239.45,237.8,236.5,236.6,236.85,236.75,236.8,237.15,236.2,234.2,231.3,228,225.3,223.75,222.4,220.1,217.35,215.05,214.3,212.4,208.6,205.95,204.95,203.3,200.75,197.85,195.45,194.15,192.05,190.85,190,188.15,186.7,185.2,184.2,184.15,186.5,187.4,187,186.85,186.35,183.9,182.35,181.25,181.25,181.3,180.65,180.3,180.45,181.3,181.7,183.4,184.65,185.9,187.15,188.1,186.6,185.5,183.25,181.6,181.2,181.4,182.25,183.55,184.9,186.25,188.3,188.6,188.8,187.9,187.55,187.55,186.9,186.4,184.8,183.5,182.55,182.4,182.4,182,181.35,180.9,179.9,179.35,179,178.7,178.2,177.9,177.4,176.95,175.7,174.3,174.1,175.1,177.25,179.1,180.35,180.95,181.1,181.8,181.8,182.8,183.3,182.5,181.3,180.2,178.45,177,175.7,174.25,173.1,171.7,170.5,168.85,168.65,168.1,167.3,167.25,167.35,167.3,167.15,165.95,165.25,165.2,165.15,165,165.2,165.35,164.95,165.2,165.95,165.95,166.8,168.4,168.3,159.25,151,142.55,134.35,125.5,117.35,109.4,101.5,93.55,Ear
6,179.95,199.35,220.15,241.3,262.65,284.55,306.95,331.6,356.05,378.85,402.7,417.4,421.55,423.3,421.4,421.95,423.65,423,421.65,421.85,424.4,424.2,421.95,420.4,417.3,413.15,408.8,403.85,400.15,398.5,394.5,391.75,390.15,389.8,389.55,389.4,389.8,391.1,394.95,395.9,396.6,398.75,400.8,402.75,407.2,411.8,417.05,421.3,425.4,430.2,434.9,439.2,444,449.15,456.65,462.85,469.7,475.45,482.8,490.8,497.5,505.25,513.5,521.35,529.05,538.3,546.35,555.25,565.7,575.8,585.35,597.4,609.15,620.45,629.35,641.05,652.1,663.2,672.1,681.85,692.8,702.5,712.3,720.6,726.3,729.55,733.2,733.75,729.25,722.95,720.7,713.6,707.15,700.05,692.35,682.15,671.45,657.5,643,625.45,607.4,589.1,571.7,555.2,541,527.25,513.45,501.05,488.85,476.45,461.45,447.9,435.1,423.05,413.1,403.9,394.55,388.05,381.1,375.05,368.75,362.15,354.6,348.5,341.35,335.65,330.3,326.15,322.15,318.45,315.4,312.15,306.5,302,296.45,291.25,287.8,285.35,281.75,277.65,272.9,269.85,267.05,262.95,261.35,259.8,257.2,253.8,251.5,248.6,246.4,247.85,249.4,247.95,247.1,246.4,245.55,244.05,242.5,242.15,242.45,241.1,240.95,240.75,238.35,235.7,233.55,230.9,229.55,229.6,227.85,223,218.8,216,214.6,213.7,211.45,208.7,206.45,204.65,202.8,202,202.15,200.5,199.2,196.15,194.45,191.85,190.5,188,186.2,185.1,185.8,187.25,186.7,185.25,183.6,181,179.35,178.65,178.35,178,175.15,175.2,175.5,177,178,180.85,182.05,184.1,185.75,187.05,187.2,185.9,184.1,183.85,183.55,184.85,186.85,187.95,189.75,191.1,192.7,192.95,191.9,190.55,188.55,185.6,182.7,180.1,178.3,177.25,175.75,175.5,175.2,174.7,174.9,174.15,172.2,171.05,170.3,169.9,169.75,170.1,170.75,171.65,171.9,173.4,174.15,176,177.1,178.85,180.45,181.5,181.7,181.8,181.55,181.2,182.7,182.6,181.45,180.3,178.95,177.4,176.25,174.85,174.5,172.85,172.2,170.85,171.2,169.9,168.45,167.4,167.55,166.45,165.35,164.85,164.5,165.45,165.6,165.6,165.4,164.8,164.65,165.95,166.45,167.05,167.25,166.95,166.5,158,150.05,142,133.8,125.75,117.65,109.55,100.45,91.4,Ear
7,176.4,195.85,216.25,236.85,258.05,279.6,301.8,326,351.65,374.85,398.5,413.3,417.3,418.85,419.95,421.55,423.65,422.85,421.6,422.3,423.9,423.75,421.6,418.5,415.25,411.7,407.45,402.95,397.9,395.45,391.6,388.7,386.7,386.35,386.1,386.1,386.75,387.5,390.75,393.2,394.3,396.1,399.35,403.95,409.45,414.55,419.95,424.2,427.5,431.95,436.95,441.45,446.75,452.25,458.9,465.75,472,479.1,486.8,494.15,502.2,510.15,518.1,525.6,532.65,540.95,549.15,558.4,569.25,579.5,588.7,600.3,611.9,622.55,632.55,643.3,655.9,666.25,675.6,685.1,693.5,703.1,711.4,719.35,724.8,727.95,729.35,728.65,724.5,718.5,715.95,709,701.55,693.8,685.15,674.35,661.45,647.3,632.55,615.05,597.55,579.1,562.4,545.8,531.25,518.25,506.85,494.9,484.95,472.6,457.1,443.9,430.4,419.15,409.05,399.5,391.25,385.15,376.15,368.3,363.05,356.5,350.65,344.45,337.2,331.45,326.65,323.2,317.7,314.25,311.8,308.2,303.9,299.5,294.2,289.45,285.45,281.6,278.1,275.1,271.1,270.5,267.15,264.95,262.15,258.95,255.4,252.15,249.8,247.2,244.5,243.8,243.85,242.15,241.7,241.3,239.45,238.6,239,238.95,237.6,234.1,233.3,231.5,231.1,230,227.75,225.5,223.75,222.2,220.25,217,214.15,214.7,213.85,213.25,210.85,208.35,206.2,204.55,203.05,201.35,198.55,197.15,195.4,193.85,193.15,190.85,188.75,187.45,186.5,186.55,187.85,186.2,184.75,183.1,183,181.6,181.5,181.65,182.65,182.8,182.5,182.55,183.95,183.75,184.2,185.8,187.7,190,192.35,193.95,193.85,192.4,190.95,190.35,189.95,190,190.05,190.35,190.95,192.4,193.75,193.8,192.85,192.8,191.45,189.15,185.95,183.5,181.1,179.5,178.2,178.1,177.65,176.7,175.4,174.1,172.7,171.45,169.55,168.2,167.9,166.6,165.7,164.9,164.1,164.05,164.75,166.45,168.15,169.2,169.25,169.6,170.6,171.25,171.4,171.25,170.8,170.45,170.3,169.85,168.7,168.65,167.8,166.9,166.8,166.2,167.55,167.95,168,167.7,168.1,167.95,167.5,166.3,166.05,165.8,166,165.95,166.1,166.45,166.55,166.35,166.3,166.65,166.25,166.75,165.15,163.5,162.4,153.65,145.25,137.05,128.85,121.3,113.35,105.6,97.55,89.7,Ear
8,176.65,196.4,215.95,236.15,257.45,279.1,301,325,349.55,372.25,395.65,409.55,412.8,413.9,416.05,417.65,419.75,418.85,418.45,419.2,421.4,421.1,419.95,417.25,413.2,409.4,405.4,401.05,397.2,394.25,390.55,387.65,386.6,386.3,385.3,385.5,386.35,389.1,393.2,395.8,396.8,398.7,401.75,406.05,411.65,416.55,421.85,426.15,430.15,435.55,440.6,445.8,450.5,456.15,462.9,469.3,476.05,480.85,486.95,493.65,500.85,508.9,516.75,524.5,532.35,540.95,550.4,559.1,569.05,579.75,591.1,603.15,614.95,625.55,635.35,646.05,656.45,666.9,677.1,685.85,694.85,704.2,713.35,721.5,726.8,729.95,730.05,729.2,724.6,717.7,712.7,704.65,697.3,689.45,680.8,669.8,658.65,644.2,628.1,611.2,593.45,575,556.75,539.65,525.15,508.6,496.4,485.15,473.15,461.25,446.4,433.5,421.35,409.55,399.1,389.75,381.9,376.2,368,360.55,354.95,348.3,341.65,335.1,327.85,325.2,319.75,314.2,310.3,305.75,300.55,298.65,294.65,289.65,285.1,280.9,277.65,274.55,272.15,269.35,265.55,262.65,259.9,256.35,254.55,252.05,250.85,250.05,248.05,246.15,245.8,243.25,241.4,240.8,240.25,238.5,235.85,233.8,232.25,230.8,229.05,227.45,227.5,227.8,226.25,224.4,219.65,216.2,215.25,214.3,212.15,209.25,206.8,204.8,203.4,203.45,202.2,199.9,198.9,198.25,197.9,197.15,195.25,193.75,191.9,190.85,192.45,191.25,188.95,187.2,186.5,186.6,187.7,188.8,188.3,185.55,183.7,181.75,180.6,179.8,179.2,178.85,177.75,178,179.75,180.6,180.8,182.25,184.3,186.55,188.5,189.1,187.9,186.3,184.35,184.4,184.1,185.45,187.15,189.9,192.55,195.35,197.05,196.7,194.9,193.4,192.65,190.05,186.95,185.25,183.15,182.35,181.95,182.15,182.1,182.55,182.5,181,178.6,175.85,173.75,172.05,171.6,171.8,171.55,171.8,171.35,172.4,174.05,175.25,176.8,177.75,178.6,178.6,179.2,179.1,179.15,179.1,180.2,181.15,180.5,179.15,177.85,176.2,175.4,173.75,172.45,171.25,169.7,168.3,168.8,169.1,169.45,169.4,168.8,168,167,166.85,165.5,164.35,164.15,164.2,164.6,164.6,164.65,165,164.6,164.85,164.95,164.9,163.65,154.45,145.6,137.45,129.4,121.4,113.3,105.1,97.35,89.35,Ear
9,177.3,196.75,217.65,238.65,260.5,283.1,306.1,330.8,355.6,378.2,401.5,415.35,418.55,420.1,421.6,423.45,424.75,424.25,423.65,424.8,426.35,425.95,422.9,419.25,416.8,414.65,410.85,405.95,401,399.4,395.95,393.45,392.05,391.9,391.5,391.75,392,392.7,396.1,398.6,400.25,402.4,406.15,411.05,414.45,416.3,420.4,424.9,430.05,434.45,439.4,444.25,449.15,454.55,461.5,468.1,474.6,480.65,487.5,494.35,501.5,509.25,517,524.3,532.2,541.15,549.65,558.6,569,579.75,589.65,602.5,614.5,626.2,636.6,647.25,657.9,669.2,678.2,687.05,696.35,706,714.4,721.9,726.75,729.35,729.55,727.75,723.8,716.35,712.05,703,694.65,685.7,676.05,664.8,653.2,638.35,623.4,605.8,587.9,568.8,551.8,535.45,520.9,508.05,496.65,486,472.5,460.2,445.8,433.35,422.55,411.55,401.4,392.4,383.85,377.95,368.65,361.05,353.45,348.2,341.15,334.85,327.8,322.05,316.6,311.55,307.75,304.3,300.45,296.1,290,285.15,280.45,275.2,271.9,269.6,269.2,267.6,265.8,262.6,259.6,256.05,254.35,252.75,250.85,249.1,247.3,245.4,244.05,242.55,241.5,241,240.15,240.2,237.55,233.9,230.15,228.15,226.35,224.15,224.15,222.75,220.4,217.75,215.6,212.45,210.9,209.35,207.55,206.15,204.45,201.1,199.15,197.8,197.75,197.2,197.1,196.6,195.85,194.9,192.5,192.25,192,190.45,189.35,187.55,187.45,187.65,186.8,186.6,187.65,189.3,189.25,187.95,186.25,184.35,182.95,181.85,181.8,182.25,181.7,181.8,181.6,181.9,181.55,181.75,179.5,178.1,177.85,177.8,177.2,175.65,174.1,173.5,171.85,172.5,173.85,175.3,176.65,178.05,180.05,180.95,181.4,181.5,181.4,181.4,180.95,180.45,180.55,180.4,179.6,179.65,179.8,178.85,179.2,177.65,176.05,174.7,173.4,172.25,171.2,169.85,169.1,168.4,168.2,168.1,168.55,170.6,171.95,172.75,173.8,174.95,175.65,176.4,176.1,176.05,175.75,175.6,175.25,174.6,173.75,172.85,172.4,171.7,170.45,169.4,169.1,167.2,167.2,166.7,165.85,164.65,163.8,163.1,163.25,162.55,162.45,162.3,162.5,163,163.05,163.25,162.55,162.8,163.8,165.1,166,166.2,165.15,157,149,140.9,132.85,124.8,116.65,109.2,101.3,93.4,Ear
