,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,BodyParts
0,176.25,194.2,212,229.95,247.95,267.9,287.85,310.65,333.25,354.85,377.9,393.8,400.15,406.25,411.3,415.55,419.5,420.55,422.5,423.75,425.45,427.6,429.85,431.35,433,432.35,431.2,428.35,426.75,425.05,422.2,417.3,412.15,408.85,404.55,399.2,393.65,391,390.6,390.4,389.4,388.15,386.95,386.95,387.3,388.05,389.15,390.4,391.15,393.65,394.8,397.2,400.3,402.3,406.75,411.15,416.95,420.75,424.75,428.9,433.75,438.75,443.8,449.1,455.25,460.55,466.75,474,479.95,486.85,494.55,502.35,510.9,518.8,527.1,537.2,547.65,558.45,569.4,581,592.4,603.65,614.7,624.95,635.3,647.55,660.4,670.6,683.5,696,706.1,719.15,731.15,742.95,752.75,760.1,768.55,774.2,780.15,783.6,785.95,788.15,789.85,791.7,791,788.6,782.75,776.65,765.3,752.4,740.25,724.55,710,694.8,680.2,666.1,649,633.55,613.25,593.7,577.95,561,543.75,526.7,510.8,495.6,483.15,471.25,461.85,450.05,440.15,429.65,419.5,410.1,400.7,391.9,381.75,373.2,365.6,358.55,349.2,342.65,336.8,330.8,325.55,320.15,314.75,309.75,303.55,299.6,295.05,291.35,286.75,280.8,277.15,273.65,272.4,270.35,269,267.1,264.6,262.45,260.5,256.95,253.45,250.3,246.45,241.95,239.4,236.55,234,231.5,228.3,226.55,223.95,222.5,220.85,219,217.7,216.35,214.55,211.25,209.05,208.8,208.8,208.05,206.9,205.3,202.3,200.2,198.1,197.45,199.3,199.15,198,195.35,193,189.35,186.65,185,184.15,184.05,182.65,182.45,182,182.3,183,184.3,187.55,188.95,189.75,188.7,186.15,185.4,183.75,183.25,183.1,183.9,184.9,186.15,187.5,189.65,192.8,193.6,194,194.05,193.8,192.7,190.1,188.7,187.95,187.8,187.8,187.8,188,187.9,187.9,188.25,188.35,188.5,187.8,186.5,184.85,184,182.7,181.25,180.1,180.1,180.9,182.6,184.8,186.35,186.6,186.1,187.65,188.35,187.95,187.65,187.4,185.9,185.05,183.9,182.45,180.6,179,177.35,176.15,175.5,175.3,174.05,173.25,172.15,171.9,172.3,170.9,169.4,168.25,166.7,165.45,165.35,165.35,165.4,165.3,165.35,164.9,165.65,165.25,164.5,165,166.6,167,158.95,150.85,142.55,134.2,126.2,118.25,110.4,102.45,94.55,Elbow
1,174.45,192.15,209.95,227.75,246.2,265.6,285.95,308.4,331.1,353.25,376.95,392.45,398.25,403.25,407.85,412.65,416.45,417.5,420.35,422.5,426.3,429.05,431,433,434,433.95,432.4,430.1,428.4,426.5,422.8,418.1,413.15,407.4,401.25,395.15,390.45,388.2,387.4,386.3,384.7,383.45,382.35,382.2,382.7,383.65,384.95,386,386.95,388.85,390.25,392.3,395.4,400.3,406.6,412.05,418.05,422.3,427,431.95,436.35,441.15,446.4,451.85,458,464.55,470,476.95,483.2,490.25,497.65,505.8,513.95,521.9,529.5,539.85,550,560.45,570.65,581.6,593.65,605.05,616.55,626.6,636.8,647.7,660.05,670.35,683.15,696.05,707.3,720.2,732.9,744.4,753.25,759.9,766.4,771.75,777.25,779.1,780.35,782.5,784.75,787.25,786.2,783.8,779.2,773.2,761.75,748.6,735.55,719.85,705,689.9,676.15,662.25,647.4,632.85,613.15,596.2,581.3,563.6,545.45,527.75,511.9,496.5,483.65,471.85,460.05,447.75,437.1,426.2,414.45,404.3,394.9,385.9,378.5,371.55,365.1,357.8,347.3,341,335.55,329.65,325.4,320.05,314.8,309.65,304.85,299.65,297.05,295.75,293.75,291.2,288.8,286.25,282.75,279.25,276.55,273.65,271.7,268.1,265.45,262.45,258.2,255.2,251.25,247,245.25,243.85,240.25,235.95,232.15,227.5,224.05,220.85,218.2,215.25,212.65,210.85,209.45,207.85,206.8,205.5,204.9,203.9,203.2,201.65,201.4,200.65,199.2,197.55,197.6,198.25,197.2,196.95,196.15,194.3,193.55,192.65,191.6,191.55,189.5,189.2,188.65,188.6,188.95,190.15,190,191.3,193.15,194.4,194.15,193.5,192.55,192.35,192.25,193.4,195.65,198.4,201.85,203.7,205,205.5,205.45,204.8,203.35,201.45,198.7,195.85,193.1,191.95,190.9,189.7,188.75,185.95,183.6,181.2,179.3,177.35,175.4,174.6,174.4,174.2,174.05,173.9,173.75,175.25,177.6,179.65,180.35,180.5,180.55,181.05,181.25,181.8,182.2,181.9,180.85,179.9,178.25,176.85,175.6,174.1,172.75,170.75,169.65,167.15,164.85,162.95,164.05,164.75,164.85,164.4,164.1,163.55,162.9,162.95,163.85,164.55,164.55,164.4,164.35,164.15,164.2,164.55,164.95,165,166.05,166.25,165.15,156,147.75,139.8,131.85,124.1,116,107.9,99.15,90.5,Elbow
2,176.4,194.3,212.1,230.05,248.3,267.7,287.65,310.25,332.95,354.85,378,393.55,400.4,405.4,410,414.1,417.55,418.25,419.7,421.9,424.8,426.75,428.15,429.9,431.55,431.75,430.5,427.55,425.05,423.35,420.15,415.05,408.7,403.5,397.55,391.45,386.5,384.05,383.6,382.25,381.2,380.35,380.3,380.1,380.85,381.75,383.25,385.1,387.4,389.45,390.9,393.15,396.65,401.2,406.95,413.4,419.4,422.95,427.4,431.7,436.25,440.85,445.7,451.25,456.9,463.4,468.7,475.45,482.05,489.1,497.1,505.4,514.05,522.2,531,540.5,549.45,559.35,569.1,580.35,592.2,603.95,615.5,625.6,635.55,646.35,660,671.05,683.15,695.85,705.95,718.6,730.9,742.45,751.05,758.5,765.85,771.9,777.75,780.65,781.55,783.75,785.3,787.35,787.15,784.5,778.35,771,761.15,747.75,735.15,722.4,708.7,694.1,680.5,666.5,652.35,637.9,619.05,600.45,585.4,568.1,550.6,533.2,516.7,501.85,489,477.1,463.2,451.65,441.7,428.4,415.2,405.05,395.4,386.1,377.95,370.6,363.55,356.55,348.55,344.8,340,334.7,329.85,324.2,319.15,314.4,310.95,307.55,304.3,300.6,297.4,293.2,289.45,286.45,283.4,280.15,278,276.1,272.45,266.7,263.45,260.05,256.1,252.55,248.7,244.95,242.15,238.5,234.3,231.6,229.55,229.35,228.1,224.05,221.3,218.4,215.6,213.15,210.9,208.1,205.6,204.95,205.45,205.4,204.85,203.05,201.3,199.85,198.6,197.35,197.35,194.55,192.35,193.1,192.95,191.55,191.6,192.25,193.25,194.2,194.15,192.95,192.55,191.8,191,191.75,193.15,195.3,197.55,199.05,198.2,196.8,195.15,193.75,191.7,191.5,191.2,190.9,191.55,193.05,194.15,194.8,193.4,192.95,192.6,192.1,191.5,190.55,188.3,186.6,186.15,186.35,186.35,185.5,184.35,182.7,182.25,182.5,182.6,183.1,183.8,184.7,186.25,187,188.4,189.1,189.3,190.1,191.9,193.5,194.2,194.25,194.2,194.5,194.5,194.35,193.7,192.4,190.2,187.2,184.45,181.6,178.45,175.65,172.85,170.2,169.75,170.05,171,172.35,173.25,174.1,175.05,174.5,174.35,174.25,173.95,173.45,173.35,173.4,173.25,173.1,173.2,173.75,173.7,173.8,171.85,169.1,167.6,156.8,147.05,137.9,128.95,120.95,112.9,105.15,97.3,89.75,Elbow
3,174.5,192.25,210.15,228,246.1,264.8,285.05,307.3,329.75,351.55,375.6,391.85,399.3,405.2,410.15,414.35,418.8,420.65,423.3,425.3,428.4,430.55,432.15,433.95,435.65,436.55,435.15,432.5,430.45,429.35,424.85,419.05,413.3,407.6,401.3,396.6,391.3,388.1,386.25,385.15,384.05,383.15,382.15,382,381.65,382,383.2,384.95,386.85,388.5,390.15,392.6,395.6,400.15,405.95,410.65,415.7,419.4,423.95,428.7,433.2,438.15,443.75,449,455.75,462.45,469.95,476,482.65,489.45,497.4,505.6,514.2,522.35,531.1,540.65,551.5,562.05,573.1,584.5,596.2,607.6,618.45,628.9,638.95,650.2,661.8,673.6,685.3,698.1,708.85,721.25,733.4,745.1,754.5,761.5,767.2,772.75,776.75,778.3,779.55,782,784.9,786.8,785.85,782.95,776.65,770,759.2,746.35,734.1,718.8,704.05,688.9,674.45,660.9,647,631.65,613.05,595,579.1,561.65,543.35,526,510.95,496.75,485.05,473.3,461.25,449,437,427.95,416.9,405.65,395.9,386.95,379.4,369.45,361.15,353.8,344.95,337.65,331.85,325.9,320.25,314.5,308.6,303,298.55,294.8,291.7,285.9,281.65,277.6,274.3,270.6,266.9,266.7,265.35,263.25,261.2,258.9,257.35,254.4,250.8,246.65,241.95,237.5,235.85,232.1,228.85,226.75,224.2,222.55,220.65,218.7,216.35,214.15,212.05,209.65,207.05,204.5,201.4,200.85,200.8,200.9,201.3,200.2,197.2,195.85,194.4,193.9,194.35,194.8,194.3,192,189.95,187.9,187.8,187.7,188.05,188,186.7,186,185.4,185,184.85,186.25,188.4,190.25,191.8,191.7,190.5,188.55,185.8,185.75,185.4,185.2,185.55,187.3,188.85,190.3,192.4,192.95,192.3,191.05,191,189.9,188.1,186.75,185.25,184.55,184.35,184.15,184.55,184.85,184.95,184.8,184.25,183.1,181.6,180.6,179.75,179.15,179.2,179.7,179.45,180,181.7,183.5,184.95,185,185.6,186.4,187.55,187.4,187.1,186.55,186.5,186.9,187,186.55,185.45,183.7,181.8,179.8,177.7,175.5,172.8,170.55,170.95,172.05,171.95,171.25,169.6,168.4,167.15,166.15,164.9,163.85,163.3,163.1,163.3,163.2,163.6,164.9,165.8,166.25,166.7,166.7,165.05,155.85,147.45,139.55,131.55,123.55,115.55,107.65,99.9,91.95,Elbow
4,176.15,194,211.9,229.75,248,266.65,286.25,308.4,329.8,351,374.2,389.1,395.75,402,407,411.4,415,415.35,417.15,418.2,421.5,423.65,425.75,427.85,429.35,430.55,430.2,427.8,426.6,425.45,421.85,417.1,411.55,405.6,400.1,395.05,389.95,387.05,386.05,386,384.15,383.1,381.45,380.85,381.35,381.7,382.95,383.95,385.35,387.35,388.7,391.55,394.85,399.2,404.6,410,415.25,418.8,423.2,426.75,431.3,436.35,441.75,447.55,453.35,460,465.25,472.8,480.55,488.65,496.9,504.7,512.9,520.85,529.2,538.8,549.9,560.7,571.7,583.75,595.55,606.6,617.7,627.95,638.25,649.15,662.2,673.25,682.95,694.1,704.75,718,731.9,743.75,752.95,759.65,766.1,771.45,776.05,778.15,779.3,781.3,784.1,786.4,786.1,783.75,778.05,771.2,762.1,749.65,736.9,721.2,705.65,690.6,676.6,663.15,648.15,634.25,615.9,598.35,580.35,564.75,546.9,528.95,512.8,497.65,485.45,473,459.95,448.25,438.05,427.15,414.75,405.1,395.5,386.6,379.15,371.25,364.2,357.55,352,344.3,337.7,330.75,325.3,319.9,313.6,308.7,304.85,299.8,295.1,291.6,287.6,284.4,281.5,279.75,276.15,272.6,269.45,266.5,263.65,260.9,260.3,259.3,255.9,253.45,251.45,249.25,247.35,245.3,242.65,239.85,237.75,232.4,229.2,225.05,222.35,219.4,217.75,216.25,214.15,211.35,208.15,205.25,204.55,201.45,198.85,195.15,194.95,194.75,194.2,194.05,194.85,196.45,195.15,194.55,194.1,194,193.9,193.95,194.2,194.75,193.4,194.2,194.25,195.7,196.4,197.6,197.9,198.05,198.55,198.7,197.25,195.1,193.4,191.85,189.15,188.85,189.9,191.7,192.9,193.7,195.15,194.85,194,193.15,192.25,190.95,188,185.8,184.65,183.6,182.8,183.2,183.1,183.25,184.15,182.75,181.2,179.1,178,177.7,177.6,178.6,179.25,179.85,180.65,182.3,183.35,185.85,187.25,188.35,188.95,189.15,189.45,188.65,187.6,186.7,185.25,183.9,182.55,181.1,179.4,176.95,174.9,172.5,170.75,169.05,168.85,167.7,167.85,167.5,168.2,167.95,168.15,167.9,167.75,167.5,167.25,167.5,168.15,169,169.7,169.5,169.2,169.5,168.8,168.1,167.1,166.55,165.4,156.5,147.75,139.7,131.45,123.35,115.3,107.3,99.6,91.55,Elbow
5,178.5,196.4,214.3,232.1,250.5,269.8,290.1,312.25,333.85,355.55,379.45,395.2,401.55,406.7,410.7,414.85,418.05,418.6,419.85,421.5,424.55,426.65,428.35,430.15,431.2,431.65,430.55,428.15,426.6,424.75,420.3,414.5,408.4,403.05,397.6,391.6,386.65,383.5,383,382.65,381.45,380.1,379.35,378.95,379.45,379.95,381.75,382.45,384.55,385.55,386.9,389.7,393.45,398.45,403.55,409.45,414.9,419.2,423.9,427.95,432.4,437.75,442.75,448.5,454.1,460.25,465.25,472.8,479.75,488.55,496.7,505.1,513.8,521.4,530.55,540.1,551.05,561.25,569.3,580.45,592.6,603.55,617.85,628.95,639.85,650.9,663.7,675.1,686.75,699.05,710.1,722.95,735.05,746.3,755.1,762.5,768.25,773.8,781.25,783.85,785.6,788.45,788.55,789.15,788,786,780.6,773.85,762.85,749.4,737.75,723,709.9,695.75,682.1,667.85,653.15,636.2,616.15,597.8,581.55,563.6,544.85,528.5,512.95,497.4,484.15,471.8,459.55,447.7,436.4,424.6,411.55,401.5,391.75,382.75,375.65,370.8,364.1,356.6,347.4,341.35,335.7,330.8,326.45,322.1,316.35,310.65,306.35,301.95,296.45,292.3,288.25,282.25,277.95,274.75,270.8,267.4,265.1,263.4,261.5,258.5,256.9,252.45,248.05,244.05,241.55,238.6,237.2,234.65,232,229.35,227.2,225.4,223.55,219.2,216.35,212.55,210.6,209,206.25,203.6,200.95,200.7,200.45,199.8,198.75,197,194.3,192.85,192.3,191.65,192.1,192.9,192.9,194.3,194.3,193.1,191.95,190.7,190.95,190.9,190.55,190.4,190.8,190.85,190.8,191.95,193.75,196.5,198.55,199.75,198.4,196.6,193.7,192.35,190.35,190.3,191.35,192.65,194.4,195.9,196.8,196.9,196.45,196.5,196,194.1,191.55,188.3,185.85,184.45,184.1,183.55,183.9,182.6,182.25,182.15,181.3,179.95,178.85,178.75,177.65,176.35,174.95,173.35,172.85,173.35,175.3,178.2,179.45,180.45,181.5,181.9,182,182.15,182.2,181.25,180.6,180.7,179.85,178.2,177,175.6,174.6,173.25,171.6,170.1,168.15,165.5,164.45,164.55,164.25,164.85,166,165.8,165.2,165.3,165.2,165.15,165.1,165.3,165.55,165.6,165.15,165.4,165.2,165.7,165.45,166.15,167.2,158.1,149.5,140.9,131.45,123.4,115.25,107,99,90.9,Elbow
6,176.7,194.2,212.05,230.15,248.15,268.95,289.1,309.95,331.6,353,375.8,391.5,397.55,402.8,407.65,411.85,414.8,415.5,417.6,419.25,422.3,424.75,426.25,427.75,429.75,428.4,427.1,426.3,425,423.6,420.3,414.65,409.05,403.45,398.4,392.65,388.9,383.85,382.6,382.3,380.25,379.05,378.25,377.3,376.75,377.45,378.65,379.4,380.75,381.45,382.55,385.2,388.85,393.75,398.7,404.7,409.05,415.1,419.6,423.65,428.65,433.5,438.8,445.1,451.8,458.2,463.6,470.95,475.75,484.1,492.8,500.45,509.8,517.45,526.2,535.75,546.45,557.1,568.15,580,591.85,603.8,614.75,625.55,635.8,646.6,661.45,672.4,686.85,699.85,710.05,723.3,733.7,744.6,753.3,760.5,766.5,771.75,777.2,779.6,780.35,782.4,785.5,786.65,786,783.55,776.3,769.55,758.2,745.2,733.5,718,704.45,690.75,677,663,649.15,634.65,614.85,596.05,581.9,564.5,546.25,529.45,514,499.15,486.8,474.85,462.65,450.25,438.7,428.2,415.7,406.65,397.25,385.8,376.7,368.75,361.75,355.25,346.2,340.35,334.5,328.05,323.1,318.15,312.2,307.75,305.7,302.45,298.9,295.1,291.95,286.1,283.4,283.25,280.6,277.7,275.6,272.8,269.85,266.2,264.55,261.95,257.35,253.25,249.7,243.85,239.4,236.1,232.95,230.1,227.2,224.15,220.85,218.65,216.95,214.45,211.95,210.2,208.1,205.3,202.9,202.2,202.25,201.6,201.45,200.65,198.4,196.2,195,194.2,194.85,195.75,194.75,192.05,190.85,188.95,188.05,188.4,189.15,190.75,190.25,190.6,190.75,191.2,190.9,192.45,194.7,196.55,197.4,197.3,196.35,194.35,192.3,191.15,189.45,189.45,189.75,189.7,190.35,190.2,189.65,188.2,186.85,185.7,184.95,183.15,180.3,178.7,177.3,177.35,176.9,176.75,178.1,179.05,178.8,178.45,178.8,179.15,178.3,178.35,179.05,179,178.8,178.25,177.4,176.9,177.7,179.35,181.05,182.5,182.85,183.65,182.65,181.7,180.9,179.6,178.2,176.5,175.35,174.05,172.9,172,170.4,169.25,168.15,167.65,167.15,165.6,165.75,164.85,164.45,163.9,163.85,163.45,163.25,162.85,163.05,163.1,163.1,163.05,162.85,162.55,162.55,162.8,163.2,163,162.95,162.65,161.6,153,145.05,137.2,129.1,121.15,113.1,105.55,97.3,89.25,Elbow
7,178.8,196.7,214.6,232.7,251.1,269.8,289.4,311.85,334.3,355.8,378.65,393.35,399.35,405.2,410.65,414.8,417.65,418.05,418.85,420.05,423.65,425.65,427,428.2,429.65,430.75,432.3,428.45,426.5,425.3,422.1,417.7,412.35,408.95,403.45,397.6,392.85,389.75,388.9,388.6,386.5,385.75,385.55,385.7,385.9,386.3,384.9,387.25,388.9,390.8,392.2,394.6,397.8,399.65,403.55,409.6,415.2,419.1,422.1,425.5,430.5,435.5,442.4,447.85,453.9,460.3,466.15,473.3,480.35,488,495.95,504.5,512.9,521.2,530.55,540.2,550.85,561.25,573.55,585.95,597.5,608.4,617.55,627.85,637.85,648.95,662.25,673.25,684.8,696.7,709.5,723.3,736.05,747.8,757.3,763.85,769.7,775.45,780.5,782.55,784,785.75,788.1,790.3,790.15,788.15,782.6,776.15,764.95,752.55,737.55,720.2,705.35,689.8,675.6,662.15,647.25,632.55,613.2,595.3,580.2,563.4,545.5,529.35,513.55,495.95,482.35,469.6,457.15,444.75,434.9,424.65,413.7,404.65,395.2,386.4,380.1,372.9,366.05,359,349.4,343,337.5,330.2,325.4,322.65,318.05,313.95,310.8,306.45,301.3,296.95,292.7,286.65,281.6,275.3,270.1,265,261.5,259.1,256.8,253.9,252.3,249.4,245.05,240.8,237.05,232.3,229.7,227,224.85,222.7,220.25,218.55,217.9,218.55,216.05,214.65,212.95,210.6,207.75,205.05,201.25,199.9,198.6,197.35,196.85,196.85,196.3,196.05,195.45,195.45,195.65,196.1,195.15,195,195.4,193.35,192.45,192.05,192.5,192.55,191.85,191.55,191.7,192.45,192.25,191.85,191.85,192.2,192.4,191.15,189.5,187.65,185.35,182.95,180.75,180.7,180.55,180.4,180.9,182.25,183.6,183.65,183.75,183.05,182.65,181.45,178.9,176.85,175.6,175.5,175.85,175.8,175.5,174.75,174.8,174.95,175.3,175.35,175.05,173.75,173.45,173.2,172.6,172,171.4,172.05,173.3,175.25,176.45,178.95,180,180.95,181.6,182.1,181.7,180.35,179.85,179.55,178.85,178.85,177.7,176.2,175.15,174.3,173.8,171.9,170.55,169.8,170.7,170,169.5,169.05,168.6,167.65,167.2,167.25,166.8,167.1,167.25,167.2,168,169.05,168.7,168.3,168.35,169.2,170.1,168.95,167.2,157.65,148.8,140.35,132.35,124.65,116.65,108.85,101.15,93.2,Elbow
8,176.25,194.05,212.05,229.75,247.9,266.65,286.05,308.1,329.65,351.85,375.5,391.25,398.45,404.8,410.1,413.9,418.55,418.45,419.5,421,424.45,426.55,428.6,430.95,432.75,433.3,433.25,430.75,429.75,427.5,423.4,418,411.45,405.35,399.85,394.3,387.95,385.35,384.8,383.95,382.3,380.9,379.7,379.1,379.15,379.95,380.95,382.55,382.5,383.1,384.5,387.05,390.65,394.8,399.9,405.5,411.45,415.8,420.95,425.6,429.65,435.4,440.45,445.6,451.55,458.1,463.4,470.35,478.65,487.15,494.4,502.75,511.35,519.5,528.5,538.25,548.7,559,569.35,581.4,593.2,606.1,618,630.05,640.4,651.35,664.7,675.85,688.2,701.2,712.8,726,739,750.7,759.75,767.3,773.7,779.25,784.25,785.5,787.3,787.2,789.1,790,789.2,786.45,780.2,773.4,762.05,748.95,736.35,720.3,703.05,688.85,674.6,657.75,642.65,627.75,608.35,590.65,575.3,558.3,539.85,522.45,506.85,492,479.3,467.2,455.15,443.1,432.95,422.4,412.2,401.85,392.7,386.55,378.95,371.5,364.3,357.8,348.25,341.8,336.45,329.95,324.1,316.65,310.95,304.8,299.6,294.9,289.75,284.95,281.8,276.1,272.25,268.15,264.8,262.05,260.35,257.2,255.3,252.5,250.45,247.8,244.8,243.7,240.7,238,236.55,234.45,232,230,227.45,225.1,223.05,220.95,218.75,214.05,210.75,210.9,209.8,207.45,205.4,204,203.85,203.35,202.75,200.7,197.8,195.9,194.5,193.5,193.75,195.2,194.55,194.35,192.95,194.15,194.35,192.8,191.45,191.4,189.7,189.55,189.2,189.15,189.3,190.45,193.2,194.25,195.4,195.65,195.3,193.2,190.55,188.35,187.15,185.8,186.05,185.1,186.45,187.9,189.2,189.1,188.2,187.85,187.25,186.05,183.05,181.7,180.4,180.1,179,178.65,178.95,179.05,178.75,178.5,178.4,179.35,178,176.2,175.8,175.35,174.7,173.4,172.55,171.95,173.2,174.6,176.2,177.35,178.85,179.7,180.25,179.7,179.15,177.9,176.55,175.3,175,175.2,174,173.05,171.8,170.8,169.7,168.85,167.85,167.4,168.2,168.55,168.5,169.05,168.5,168.55,168.15,168.2,167.95,167.75,167.55,167.15,167.35,167.25,167.45,167.25,167.25,167.25,167.35,166.75,164.5,155,145.65,136.45,128.2,120,111.95,103.9,96.1,88.35,Elbow
9,175.15,193,211.1,228.95,247.3,265.65,285.5,307.25,328.5,350.95,374.75,390.85,397.5,403.3,408.45,412.25,415.2,414.85,416.45,418.4,421.9,424.05,424.9,426.6,428,429.35,428.15,426.35,425.4,423.25,419.35,413.65,407.55,401.75,396.2,391,386.5,384.6,382.55,379.65,377.7,376.85,376.9,376.75,376.6,377.05,378.85,379.95,381.9,383.7,385.3,387.9,391.45,395.9,400.85,406.5,412.05,416,422.6,428.9,433.55,438.65,443.65,449.2,455.55,462.05,467.15,474.75,481.7,488.75,496.45,506,514.55,523.25,532.1,541.6,552.5,562.8,573.05,584.45,596.3,607.05,617.95,628.05,638.4,649.75,663.75,674.6,685.85,698.75,709.1,720.6,732.85,743.6,752.35,759.5,765.85,771.15,776.8,778.8,780.7,782.8,782.8,784.35,783.75,780.3,773.7,766.4,755.85,743.65,731.7,716.25,702.45,687.9,674.5,660.5,646.3,631.65,612.25,594.35,579.05,562.2,546.65,530.2,514.6,500.1,487.25,475.3,463.35,450.45,439.6,428.5,416.1,405.9,394.35,386.1,378.2,369.7,362.25,355.35,346,338.85,333.5,327.1,320.15,314.7,309.45,303.85,299.15,294.6,289.95,286.25,282,276.7,275,268.9,264.5,262.8,260.8,258.65,256,253.65,251.95,249.05,246.95,243.7,239.55,235.65,233.65,232.2,229.65,227.45,225.75,223.75,221.95,221.85,220.35,217.25,214.65,212.55,210.05,207.3,204.65,204.45,203.2,202.55,202.95,201.6,199.4,196.8,195.3,193.75,193.7,194.15,192.05,190.3,188.5,186.85,186,186.45,187.45,188.75,189.7,189.6,190.35,191.05,191,192.55,194.65,196.6,199.45,201.15,200.5,198.7,197.45,196.7,195.45,195.55,196.4,196.45,197.25,196.9,195.3,193.4,191.4,188.55,186,183,179.8,177.1,175.1,173.7,173,174.15,174.05,174.25,174.45,174.45,174.3,173.85,172.95,173.1,173.65,173.45,173.65,174.5,175.65,177.3,179,180.95,180.8,180.9,181.75,181.4,182,181.25,180.2,178.6,177.25,176.25,175.3,174.4,174.2,175.1,175.4,173.95,172.45,171.15,170,169.3,171.15,173.3,174.15,174.9,174.5,174.15,174.35,174.6,174.5,174.35,174.1,173.95,172.45,171.2,170.15,170.25,170.7,170.55,170.55,169.7,167.45,156.9,147.3,138.05,129.9,121.95,113.6,105.35,97.5,89.6,Elbow
