,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,BodyParts
0,176.05,193.85,212,229.95,248.1,266.9,286.3,308.75,331.1,353.15,376.8,393.15,399.1,404.85,409.25,413.15,416.9,420.05,422.1,423.25,426.2,428.45,429.7,431.9,433.6,434.6,434.7,432.25,430.7,426.85,421.5,415.9,410.9,404.3,399.1,393.05,387.6,384.75,383.65,383.3,381.8,380.75,380.5,380.05,380.8,381.1,381.7,383.3,385.1,389.4,392.55,394.9,398.45,403.35,408.2,414.3,419.45,423.8,428.2,432.9,437.9,444.15,449.9,455.8,460.75,467.4,473.55,479.65,484.6,492.2,500.25,508.5,516.7,525,534.8,544.35,555.95,566.65,577.95,589.4,601.35,611.85,623.05,633.8,645.35,656.15,669,681.1,694.6,706.55,716.4,729.1,741.1,752.5,761.7,769.4,775.9,780.55,785.35,787.2,788.4,790.35,790.65,791.9,790.4,787.9,782.3,774.9,763.9,750.9,739.1,723.1,708.7,693.75,676.85,662.05,646.9,632.2,613,594.85,579.6,562.15,545.6,528.95,513.95,498.9,483.65,471.15,460.4,448.1,437.25,426.9,414.6,404.75,397.65,389.45,382.35,375.65,368.3,361.95,353.5,347.2,340.55,332.7,326.7,321.4,318.15,313.6,307.3,303.05,297.85,296.95,295.85,291.6,287.7,284.95,280.4,276.35,274.9,272.2,268.9,265.65,264.2,261.6,258.05,254.25,250.35,246.25,244.65,242.65,241.9,237.6,234.35,232.95,230.6,227.15,225.25,223.25,220.15,218.25,215.8,212.85,210.65,210.05,209.75,209.9,209.4,207.9,205.55,204.45,204.75,204.1,202.8,202.4,202.05,201.65,200.45,198.9,198.55,198.45,199.05,200.2,198.85,198.2,198.25,199.05,200.3,201.6,203.55,204.6,204.15,204.95,205.75,204.05,201.65,199.75,199.8,199.8,200.45,200.9,202.2,203.25,204.7,205.5,203.8,201.8,199.7,197.85,196.1,194.1,192.6,191.2,190.2,189.15,188.6,188.3,186.5,185.75,185.15,184.55,183.8,183.45,184.3,184.9,186.6,187.5,188.3,190,191.2,192.3,191.9,191.15,190.15,190.65,191.5,191.1,191.1,190,188.7,188,186.65,184.9,183.7,181.3,178.35,175.35,172.65,169.75,167.35,165.8,166.35,165.8,165.85,165.4,164.65,164.05,162.75,161.9,161.85,161.3,160.9,160.75,159.35,159.25,159.45,160.15,161.45,162.65,163.6,164.7,164.75,156.9,148.8,140.75,132.7,124.9,117.15,109.5,101.5,93.75,Forehead
1,178.25,196.55,214.25,232.15,250.25,268.5,287.2,309.3,330.1,350.4,372.9,387.6,393.95,399.3,404.75,408.95,413.25,414,415.3,417.05,418.95,421.4,424.05,426.8,429.15,430.85,431.15,429.1,428.85,428.55,425.5,421.1,415.35,410.55,404.25,398.55,392.65,387.85,386.05,384.4,383.3,381.7,379.85,377.7,376.45,375.85,376.35,376.45,376.1,377.55,378.2,380.25,385.05,388.5,393.55,398.95,403.05,407,410.95,414.45,417.7,421.7,426.6,432,437.75,443.6,448.1,454.1,461.3,467.5,474.75,481.5,486.15,493.55,501.45,509.4,519.2,528.65,537.5,547.3,556.85,566.2,575.35,586.8,595.55,605.65,618.2,627.95,638.85,650.75,661,673.75,686.35,697.15,707.5,717.1,726.25,735.3,743.6,752.5,763.45,774.55,784.9,792,799.35,804.4,805.7,807.3,803.8,798.45,793.85,785.45,778.65,771.75,763.95,754.1,740.9,728.6,713,695.55,677.8,657.65,637.4,618.6,601.35,584,569,554.05,539.1,523.25,509,494.95,479.6,465.8,452.2,440.3,429.45,419.5,409.5,399.05,387.3,378.4,370.25,361.3,354.2,348.5,342.8,337.05,331.4,326.85,322.15,317.4,312.3,306,300.55,296.4,295.3,291.6,289.2,285.9,282.85,278.95,276.9,274.45,269.3,264.5,259.45,255.4,253.85,251.15,247.8,244.95,242.45,239.6,237.55,235.4,232.15,229.3,226.2,224.65,224.5,223.55,221.7,220.95,220.3,218.7,216.5,213,209.05,206.1,203.55,202.15,201.9,202.1,200.4,198.05,195.95,192.35,190.6,189.25,186.65,185.65,183.8,181.85,180.95,180.7,181.55,183.45,185.7,188.45,190.7,191.75,191.65,190.55,189.15,187.85,187.1,188.4,190.2,191.55,193.35,194.45,196.45,197.85,198.1,197.3,196.45,194.65,191.7,188.6,186.5,184.95,183.9,183.65,183.4,183.85,183.2,181.9,181.1,180.85,179.9,179.35,178.2,176.3,176.8,177.2,177.05,177.9,179.3,180.75,181.25,182,182.1,182.35,182.9,182.4,181.9,182.05,181,179.35,178.3,176.8,175.05,174.15,171.65,169.3,167.75,165.65,164.2,163,164.2,164.85,164.65,164.15,163.85,164.65,165.9,165.95,166.1,166.2,165.65,165.85,166,165.55,165.1,166.1,167.3,168.05,168.55,168.3,166.45,157.05,148.95,141.1,133.05,123.9,114.75,106.35,98.3,90.55,Forehead
2,175.15,193.6,211.4,228.75,246.25,264.25,282.75,303.65,324.15,345.25,366.65,380.8,387,393.7,400.05,405.45,410.25,411.85,414,415.2,418.3,420.1,422.55,425.95,428.35,430.15,431.15,430.4,430.8,429.7,428.25,425.7,420.95,414.45,408.35,402.55,396.7,392.4,390.85,389.3,385.85,382.8,382.45,380.7,379.7,378.65,378.65,379.5,379.55,380.65,381.15,381.2,383.7,387.45,391.6,395.05,398.95,402.3,405.75,408.85,413.1,418.4,421,425.4,431.2,437.9,442.15,447.7,453.55,459.7,466.4,473.85,480.4,489,495.45,504.05,512.95,520.35,529.15,538.85,548.2,557.05,566.6,575.65,584.1,593.35,605.85,615.7,627.4,639.1,648.95,661.1,672.9,681.8,693.25,703.7,714,724.7,733.7,743.5,754.95,767.45,778.2,788.45,796.25,803.2,806.05,807.75,805.5,803.55,801.2,795.5,790.7,785.7,778.6,770.8,760.3,749.2,734.05,716.5,697.85,678.4,659,640.8,623.85,606.2,590.75,575.55,559.5,542,526.65,513.85,497.95,483.45,469.95,457,446.6,435.65,426.7,416.55,406.55,397.75,389.5,379.55,371.9,364.75,357.95,352.1,347.7,341.5,334.85,327.25,322.1,315.85,310.85,305.85,300.75,296.45,291.6,287.6,283.25,278.5,275.7,272.45,267.1,262.15,257.6,252.9,248.95,246.3,246.05,244.1,243.8,242.2,240.45,238.35,236.6,234.4,232.85,232.8,232.5,232.25,230.8,230.4,229.95,229.15,227.9,224.85,221.95,219.6,216.15,213.95,210.75,210.1,208.75,207.3,205.9,203.25,200.85,198.15,195.85,193.55,192.25,192,191.25,190.95,190.85,192.8,194.7,196.85,197.95,198.15,197.15,194.9,192.4,190.75,189.35,190.05,191.5,192.1,193.5,195.1,194.85,193.65,193.3,192.1,190.45,187.5,184.4,181.9,180,178.95,178.3,179.15,178.75,178,176.45,174.7,173.5,173.75,173.3,172.85,172.5,172.1,171.5,171,171.05,171.95,173.4,175.2,175.95,176.5,176.55,176.4,176.35,176.35,176.35,176.05,175.2,174.1,172.75,171,170.15,169.15,168.15,168.1,168.35,168.3,167.25,165.45,165.9,165.35,165.75,165.25,165.3,164.65,164.4,164.45,164.6,164.75,164.8,164.95,164.5,164.3,164.4,164.45,163.25,162.2,162.55,162.9,161.75,153.6,145.35,137.25,129.35,121.5,113.7,105.75,97.8,89.8,Forehead
3,173.65,191.85,209.5,227.1,244.85,263.15,281.5,303,323.25,343.45,365.4,379.5,386.05,392.5,400,406.1,411.05,412.5,415.15,418,421.55,424.4,426.95,429.95,432.35,433.8,434.8,433.35,433.7,433.55,431.35,427.8,424.35,418.7,411.5,404.6,398.55,394.2,391.6,388.9,386,382.05,379.3,377.15,375.9,375.1,374.8,374.75,375.25,376.2,376,376.95,377.85,380.9,384.05,387.75,391.65,394.95,398.55,402.4,406.65,411.9,417.6,423.05,427.85,434.45,441.45,447.65,453.05,459.3,466.9,473.45,479.65,486.6,494.95,503.8,513.3,522.3,531.6,541.45,551,560.85,569.8,577.95,587.35,596.45,606.45,616.5,628.55,640.3,649.7,662.1,673.45,683.15,693.05,703.6,713.25,723.45,733.2,742.8,754,765.75,776.45,787.45,795.1,801.15,804.5,807.3,805.45,801.15,798.25,792.55,788.5,784.85,778.45,770.1,759.6,747.55,731.6,713.55,695.6,675.75,656.1,637.25,620.65,604.1,588.6,572.05,555,539.8,524.55,509.5,493,477.9,464.65,451.7,441.35,432,422,411.9,400.35,391.7,384.1,374.5,367.05,360,352.9,347.25,343.55,337.6,333.1,328.75,323.9,316.8,311.45,306.6,302,296.8,293.55,290.2,288.35,283.75,279.25,275.8,270.6,265.7,261.7,257.5,253.7,251.1,247.8,244.55,241.6,239.15,236.5,233.4,230.2,226.65,224.25,223.55,220.9,218.8,217.35,216.8,215.65,214.45,212.65,210.3,207.75,205.2,202.65,200.55,199.15,199.2,197.3,194.1,191.75,189.05,186.6,184.4,182.6,182.1,180.95,180.05,180.25,180.1,180.1,180.95,182.2,184.15,186,186.6,187.35,186,184.8,185.85,186.55,189.05,191.9,194.3,197.7,200.35,202.45,203.65,203.45,202.45,202.3,201.75,201.45,200.95,199.35,198.75,198.15,198,197.8,196.75,195.4,192.9,190.85,189.7,187.95,185.8,184.2,182.5,181.9,181.9,180.6,179.05,177.8,177.85,178.65,180.2,180.6,180.7,181,182.55,183.6,185,185.15,183.65,182.45,181.45,180.65,179.4,177.95,176.45,175,174,172.7,170.7,171.4,170.8,170.4,170.25,170.15,168.65,166.8,164.7,163.55,163.45,162.65,163,162.65,162.4,161.95,161.5,161.8,161.9,163.25,163.85,163.2,154.15,145.8,138.05,129.85,121.7,113.9,106.2,98.3,90.5,Forehead
4,175.15,194.15,212.15,229.65,247.15,265.15,283.65,305,325.45,345.4,367.2,381.65,387.7,393.4,399.25,405.1,409.35,411.5,414.15,414.75,418,419.8,422.65,425.45,428.55,430.1,431.05,429.6,430.3,430.35,428.35,424.8,419.2,413.4,406.9,400.45,395.15,390.6,388.9,387.95,384.75,381.3,378.1,376.15,374.2,373.9,373.6,373.55,373.5,374.65,375.25,377.1,380.6,384.85,388.75,393.7,397.6,400.7,403.6,406.8,410.2,415.3,420.85,425.7,431.35,437.45,442.05,448.1,453.45,459.3,465.85,471.45,477.35,484,492.05,499.7,509.2,519.25,528.9,538.45,548.1,556.9,565.35,574.15,582.85,591.5,604.45,614.6,626.1,638.1,647.9,660.75,672.5,682.95,693.15,704.7,713.9,723.7,733.4,743.15,754.55,767.05,778.2,789.05,797.5,804.6,807.15,809.4,807.65,803.45,800.2,794.1,789.8,784.35,777.45,768.1,757.65,745.5,729.6,712.8,692.9,672.85,653.55,635.3,617.95,600.8,585.55,570.75,555.25,539.7,525.7,510.9,494.65,480,466.3,452.9,441.8,431.45,420.75,409.4,399.85,391.2,382.35,372.2,364.35,357.3,350.55,344.5,339.1,333.95,328.4,323.05,317.95,312.7,307.75,303.35,299.25,295.25,291.65,288.7,285.35,281.15,278.9,276.35,271.45,266.8,262.1,257,253.5,249.6,245.25,242.1,239.4,235.9,233.4,231.25,228.7,224.85,222.6,220.45,218.8,216.45,211.8,209.3,207.6,205.05,203.45,200.45,197.9,196.8,195.95,194.6,193.5,193.65,192.9,191.8,190.95,189.7,189.45,189.65,189.75,189.65,189.55,189.8,190.5,191.5,191.15,192.9,194.2,195.3,196.7,198,197.95,197.05,194.5,192.8,191.05,190.75,190.65,190.75,192,194.8,198.4,199.95,200.3,200.65,199.65,197.7,195.35,193.05,190.65,189,188.5,187.5,187.45,187.15,186.9,186.65,186.4,186.25,185.05,183.25,180.85,177.85,176.8,175.3,175.35,175.95,177.1,177.55,177.95,178.45,178.65,179.15,178.95,178.45,177.5,176.3,175.1,174.15,172.6,171.25,170.3,169.9,168.05,166.6,164.9,163.1,162.3,162.15,163.7,164.3,163.9,163.45,163.75,163.1,162.75,162.8,163.15,162.9,163.25,163.4,163.05,163.05,163.4,165,166.2,167.2,167,167.2,166.5,157.6,149.65,141.7,133.6,125.75,117.95,109.85,101.5,93.4,Forehead
5,178.1,196.15,213.95,231.1,248.6,266.4,284.85,306.6,326.8,346.85,368.35,381.65,387.3,392.6,398.85,404.6,408.45,409.5,411.65,412.95,416.55,419.6,421.95,425.5,428.6,430.55,431.55,429.7,429.65,429.75,428.3,426.1,423.15,417.6,410.65,404.45,398.75,394.1,392.55,390.4,386.65,382.9,380.9,378.45,377.75,377.55,379,379.35,380.2,381.15,381.75,382.8,383.7,386.95,391.15,394.95,398.95,402.75,406.05,409.6,413.85,418.9,423.2,428.6,433.4,439.35,442.25,448.05,453.9,460.15,466.6,472.55,478.6,485.9,493.25,501.15,509.65,518.25,526.95,536.5,545.85,555.7,564.95,573.6,582.25,591.55,604.05,614.15,625.75,637,646.1,658.8,670.95,681.7,691.95,702.65,713.15,723,733.4,744,755.8,767.6,778.95,789.7,797.8,803.9,806.8,810.75,808.85,805.45,805.2,799.85,794.85,789.65,783.2,775.75,765.15,753.5,737.55,719.35,701.4,681.5,661.6,642.8,625.35,607.7,592.05,574.7,558.45,542.65,526.2,513.7,498.25,484.25,470.8,457.65,447.55,437.8,427.75,417.7,408.3,399.75,390.8,381.4,373.65,367.05,359.65,354.1,348.85,343.15,337.8,329.9,325.6,319.2,314,309.7,304.3,299.2,295.4,291.5,285.9,281.15,279.5,276.95,272.85,268.3,264.3,259.6,256.25,252.65,248.2,244.3,242.6,241.85,237.75,233.9,230.75,228.35,226.5,226.15,225.85,224.5,222.4,220.7,219.65,218.15,216.65,213.9,210.9,208.85,207.35,206.5,204.05,202.55,203.65,203.65,203.25,202.05,201,198.9,196.3,194.95,192.65,191.1,189.4,189.4,188.55,189.55,192.15,194.7,197.1,199.2,200.1,199,196.55,194,192.6,191.5,191.6,192.65,194.35,195.9,198.2,199.1,199.25,197.65,197.05,195.65,192.55,189.75,186.85,184.25,181.4,179.7,179.2,178.55,177.15,175.95,175.45,175.15,174.35,172.85,171.45,170.5,169.85,170.05,170.5,170.85,171.95,173.65,175.85,177.05,177.95,178,178.4,178.6,178.85,178.3,176.95,175.55,174.4,174.55,173.35,172.35,171.75,170.5,168.85,167.3,167.85,167.25,166.95,167.3,167.4,167.75,167.7,167.5,167.2,167.1,166.8,166.95,166.9,166.55,166.55,166.4,165.9,165.95,166.6,166.55,165.2,164.2,162.8,153.4,144.6,136.3,128.05,120.2,112.3,104.45,96.8,88.7,Forehead
6,172.1,190.35,207.85,225.25,244.7,263.05,281.3,302.45,322.3,342.7,365,379.9,386.2,392.2,398.9,405.55,410.2,412.25,415.65,417.15,420,421.75,424.4,427.9,428.1,429.4,431.1,429.9,430.95,430.75,428.35,424.05,418.55,413.2,407.7,400.6,394.7,389.35,387.55,385.85,382.85,380.3,378.3,375.9,375.05,374.4,373.35,373.1,373.3,374.2,374.65,376.25,379.4,382.8,386.4,391,395.15,399.5,401.45,404.5,408.55,413.2,417.6,422.6,428.05,433.2,440.6,447.1,452.1,458,464.55,470.75,477.05,484.1,491.7,500.5,509.85,518.9,529.3,539.6,548.8,558.2,567.95,576.9,586,596.25,605.45,615.3,627.85,639.9,648.9,661.2,672.55,682.25,692.2,701.55,711.3,720.5,730.1,739.45,751.75,764.35,775.25,786,794.15,800.8,804.7,807.2,804.85,800.95,799.05,793.4,789.25,784.85,778,769.15,758.15,747.15,731.35,713.65,695.5,675.9,656.1,637.05,619.2,601.85,586.35,571.15,554.95,540.45,527.6,512.8,498.1,484.3,471.3,459.3,449.35,439.2,428.75,418.75,406.5,396.75,388.05,378.3,371.45,364.9,358.05,352.2,347.4,340.6,333.2,328.55,322.35,314.9,308.65,303.8,299.3,292.35,287.6,283.7,280.55,276.6,272.7,270.2,264.7,258.6,253.7,248.5,243.9,240.15,236.5,233.3,230.35,228.05,225.9,224.4,221.9,221.95,221.7,220.7,219.15,216.75,215.65,213.55,213.25,212.85,211.5,208.6,206,204.1,202.05,200.3,199.6,201.1,199.65,197.1,193.95,190.25,187.35,185.65,184.4,184.15,182.35,182.6,182.5,182.75,182.75,184.1,186.5,187.15,187.85,187.25,186,182.7,180.95,179.6,179.1,179.7,181.2,182.65,184.8,186.9,189.35,189.1,188.1,188.2,187.5,185.6,183.15,182.3,181.45,181.3,181.2,181.15,181.3,181.2,181.35,181.5,180.95,179.85,178.1,176.4,175.5,175.4,175.7,174.85,174.55,175.25,176.4,178.25,179.6,181.1,181.75,182.3,182.3,182.3,181.4,180.1,179.6,178.95,178.15,177.4,175.85,174.15,171.85,169.4,167.6,166.15,165.05,163,163.05,161.95,161.3,161.3,161.3,160.65,160.5,160.2,159.65,159.95,160.2,160.25,160.3,160.25,160.4,160.7,161.35,161.25,161.55,163.5,163.3,155.15,147.2,138.9,130.9,123.15,115.3,107.6,99.8,91.6,Forehead
7,175.25,193.45,211.4,228.95,246.5,264.55,283.2,304.15,325.25,345.9,368.4,383.25,389.45,395.4,402,407.35,411.75,413.05,416.75,418.55,422.15,425.8,428,430.55,434.55,436.25,437.55,437.1,436.9,436.3,433.55,429.8,424.75,419.05,413.05,407.2,401.5,397.3,394.15,391.95,388.55,384.75,382.05,380.4,377.65,376.95,376.4,376.5,376.15,377.1,377.7,378.6,381.25,384.85,389.2,394.15,398.45,402.15,404.9,408,411.8,416.7,421.9,426.8,432.05,438.9,443.45,448.9,454.75,461,467.8,474.2,480.15,487.2,494.6,502.2,511.2,519.9,529.85,539.15,548.2,556.8,566.2,575,584.3,593.7,606.05,614.55,625.55,637.1,646.2,656.7,668.2,679,689.6,699.85,709.4,719.05,727.75,737.8,749.45,762.25,773.05,783.7,791.2,796.1,798.55,802.6,801.1,797.2,794.55,790.55,786.55,781.45,774.4,766.7,756.4,744.75,729.45,713.05,695.8,676.25,659.15,641.45,624.6,607.95,592.45,576.8,561.4,545.65,531.8,517,500.9,486.4,473,459.9,449.75,439.55,430.1,418.95,406.5,395.8,384.9,374.35,367.15,361,354.9,346.85,340.25,334.95,328.9,323.5,321.3,315.55,310.35,305.75,301.15,296.5,292.6,289.55,286.35,283.2,280.8,278.2,273,267.2,262,259.05,257.15,254.3,251.2,248.65,242.85,239.2,236.15,234.05,231.25,229.1,227.4,225.95,224.55,221.7,219.1,217.95,216.35,214.75,213.4,213.75,212.5,211.95,211.8,211.8,213,214.55,214.15,212.8,211.45,209.7,208.1,206.45,204.9,205.1,203.2,201.9,201.85,202.8,202.9,201.6,201.75,201.85,201.8,200.8,198.05,195.3,192.8,189.7,188.4,187.4,187.9,189.1,190.75,192.5,195.45,195.9,195.2,193.8,192.6,190.65,187.7,185.35,182.7,181.45,181.4,181,180.9,181.5,180.45,179.65,178.15,176.6,176.35,175.85,174.2,173.1,172.5,171.65,170.1,169.15,170.8,172.4,174,175,175.1,175.7,176,175.55,175,173.9,173.55,172.9,171.55,169.9,168.8,167.9,167.4,166.75,167.05,166.85,165.45,163.65,164.05,164.1,164.2,163.8,163.25,163.1,162.6,162.35,162.1,163.4,164.65,165.35,165.15,165.3,164.8,164.9,165,165.25,165.5,166.75,166.05,157.15,148.95,140.85,133.15,125.15,117.6,109.95,102.1,93,Forehead
8,175.7,195.4,216.6,237.9,259.3,282.1,304.9,329.8,354.65,377.35,400.7,413.95,417.7,419.4,421.8,423.35,424.9,424.4,423.9,424.2,425.1,423.85,420.15,416.4,412.95,408.45,405.1,400.65,397.2,395.75,392.1,390.5,389.1,389,388,389.2,390.6,392.05,395.5,398.75,401.4,404.6,408.7,413.6,419.25,424.75,428.9,433.7,436.3,441.55,447.55,453.45,459.8,466.05,472.4,479.15,486.15,493.95,501.75,509.35,517.95,527.4,536.65,545.1,553.1,562.3,572.25,581.45,593.15,604,614.2,625.95,637.95,648.7,659.1,668.75,678.1,688.7,696.6,702.5,707.15,714.1,719.95,725.5,728.9,728.45,725.8,721.85,714.4,703.9,697,686.45,675.85,665.25,653.55,641.8,629.9,612.8,596.8,579.75,562.7,543.4,526,508.75,494.2,481.7,471.15,461.1,450.2,443.35,430.8,419.55,411.05,400.9,392.55,384.2,376.6,371.95,364.25,357.45,353.5,347.55,340.75,335.25,328.9,322.25,316.65,311.65,308.4,300.95,297.15,295.8,289.5,285.8,282,277.95,274.5,270.9,268.7,266.65,262.45,259.5,259.65,257.5,255.5,254.9,254.05,252.35,251.25,249.95,247.8,244.75,242.75,240.8,239.45,238.35,235.75,233.35,231.65,230.5,229.2,228.25,226.55,225.9,224.4,222.3,219.2,216.85,214.95,213.1,211.9,209.35,207.5,205.45,201.75,199.3,197.7,196.3,196.4,196.45,196.75,196.8,195.7,194.85,195.05,194.85,194.7,192.65,189.9,188.75,187.55,187.05,187.8,189.2,191.25,191.55,191.05,188.95,186.45,185.25,183.35,182.55,180.7,180,179.05,179.6,179.8,181.45,183.8,186.1,188.15,189,188.35,186.85,184.75,184.25,184.5,185.35,186.5,187.25,189.6,191.25,193.2,193.65,193.45,192.25,191,189.25,187.05,184.55,182.8,182.2,182.05,181.85,181.85,181.85,181.7,180.9,179.8,179.65,178.65,178.3,177.75,177.5,177.25,177.5,178.65,180,182.45,185.5,187.5,189.25,190.2,191.85,193.25,193.5,193.65,194.3,195.4,194.45,193.15,191.8,190.25,188.7,187.8,186.1,183.65,181.3,178.45,177.05,175.3,173.65,172.7,171.6,171.25,171,169.2,167.7,166.55,166.45,166.5,166.5,166.6,166.55,165.95,165.4,165.85,165.85,166.55,165.3,165.15,156.9,148.75,140.25,131.25,122.15,114.45,106.6,98.4,90.45,Forehead
9,178.05,197.85,219,240.45,263.25,286.45,309.35,333.9,358.85,381.6,405.1,418.75,421.25,422.6,425.65,426.9,428.5,427.5,426.95,427.1,428.65,428.25,425.45,421.55,416.1,410.95,406.2,401.65,397.7,396.1,392.35,390.3,389.6,388.95,386.95,389.05,390.3,391.9,394.95,397.2,399.7,401.4,404.8,410.15,416,421.6,427.2,432.05,436.75,441.4,447.2,452.9,458.85,465.25,472.4,478.85,486,493.2,501.65,510.65,517.4,527.15,536.15,544.45,552.85,562.15,572,581.1,589.65,600.35,610.25,622.85,634.65,645.65,655.75,665.05,675.1,684.25,690.8,696.05,702.2,707.5,712.85,717.4,720.75,720.35,717.35,713.65,707.8,697.85,690.95,679.3,668.2,657.1,645.95,633.65,620.35,605,589.95,575.8,559.35,543.55,527.55,511.85,497.25,484.85,474.45,464.5,454.2,443.15,428.95,416.85,405.75,394.65,385.2,376.95,370.2,365.35,358.5,349.1,344.1,337.15,329.15,323.1,316.75,311.65,306.5,301.35,296,292.9,290.8,287.55,284.4,281.75,276.15,271.75,268.15,265,261.2,259.05,255.6,253,251.8,248.35,247.1,245.9,245.2,243.95,244.8,244.3,242.4,241.9,239.85,237.8,238.7,238.7,237.05,234.65,234.4,234.45,234,232.7,232.35,231.15,228.05,224.85,220.7,217.9,215.05,212.3,210.85,208.5,206.85,205.25,203.3,202,200.95,200,198.4,195.7,193.2,191.4,190.05,189.85,190,189.5,189.8,189.85,188.2,188,187.2,187.1,187.2,187.9,187.6,187.1,185.85,184.3,183.9,185.2,186.55,187.95,186.9,187.35,188,188.45,188.9,188.7,190.4,190.7,191.8,193.2,193.45,192.4,190.7,188.55,187.3,186.25,185.5,184.85,185,185.6,187.3,187.45,186.9,186.2,185.15,183.6,181.6,180.3,180.25,179.15,178.4,178.15,178.3,178.1,177.6,177.3,177.6,177.1,176.75,176.3,176.2,176.35,176.05,175.6,175.25,175.7,177.25,179.75,180.35,181.05,182.6,183.95,185.2,185.75,187.2,188.5,188.7,189.7,190.1,188.85,187.15,185.65,184.7,183.05,181.95,180.1,177.9,175.65,175.4,175.7,175.45,175.5,174.8,174.2,172.55,170.95,170.25,169,167.3,167.35,167.35,166.6,165.95,166.45,166.05,166.35,166.15,167.2,167.1,157.75,148.65,139.45,130.95,122.75,114.75,106.8,98.75,90.8,Forehead
