,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,BodyParts
0,177.4,196.15,214.25,231.8,249.25,266.4,284.45,304.95,324.75,344.4,365.6,379,384.1,389.8,396.5,402.65,407.45,408.7,411.5,414.45,418.7,421.55,423.85,427.25,430.2,432.95,434.85,434.45,435.85,436.25,434.95,432.5,428.35,422.75,416.8,410.7,404.5,400.35,397.6,394.5,390.65,387.55,384.5,381.1,380.85,381.05,380.35,379.55,378.85,379.5,379.75,381.05,383.35,387.1,390.7,394,397.35,400.1,402.9,405.75,408.3,411.95,417.35,422.9,426.6,430.6,434.85,441.15,446.8,452.65,458.8,464.25,469.85,475.45,482.25,490.5,498,505.35,513.9,522.15,530.75,538.7,546.85,554.7,563.5,573.15,584.95,594.3,604.65,614.95,622.95,634.35,645.2,655.8,665.95,676.15,688.3,699.9,709.75,721.65,734.7,749.9,762.6,775.15,784.4,793,798.8,804.8,808.6,810.85,814.45,815.75,817.2,817.95,815.3,810.8,803.1,794.05,781.9,766.2,751.15,732.65,714.85,697.65,681.65,664.8,649.2,633.9,615.5,597,580.2,561.6,542.9,524.7,509.05,493.45,480.9,469.15,457.15,445.4,433.05,423.95,414.95,404.1,394.15,385.6,377.5,369.35,362.1,355.1,348.15,343.75,338.1,331.95,327.15,323.5,319.4,315,311.95,309.2,303.7,296.9,293,290.15,286.7,282.1,277.3,272.15,269.45,266.35,261.95,256.75,253.45,252.35,249.5,244.9,239.75,235.2,230.9,227.5,225.75,224,221.35,219.7,217.85,216.7,215.4,213.65,212.5,211.7,211.4,210.45,209.8,207.9,206.45,206.4,206.75,205,204.95,204.65,203.85,202.85,200.55,199.25,199.4,198.95,198.95,199.5,199.45,200.05,200.1,198.75,196.65,193.9,190.8,188.5,185.8,185.55,185.2,185.5,187.1,188.85,191.2,191.65,190.85,191.2,190.1,188.4,185.55,183.1,181.65,181.6,181.7,181.95,182,182.1,182.05,181.2,180.4,179.3,177.95,176.55,175.35,175.6,176.45,176,176.3,177.3,179.95,182.75,184.7,185.25,185.5,185.35,186.05,184.9,184.8,184.8,184.3,184,183.3,182.8,181.5,178.9,176,173.3,171,168.5,167.45,166.4,166.7,168.15,168.95,169.45,169.05,170.2,169.95,169.35,169.3,168.95,169.05,168.75,168.4,168.5,168.4,168.55,168.3,168.55,166.9,165.4,164.15,154.3,145.25,136.85,128.7,119.7,111.65,103.85,95.85,88.15,Knee
1,175.85,194.95,212.7,230.05,247.1,265.15,283.35,304.5,324.3,343.75,364.15,378.1,384.1,390.25,397.15,403.7,408.6,410.15,413.45,415.65,419.8,422.85,425.85,429.15,432.9,434.9,436.6,436.2,437.4,438,437.1,433.65,429.1,423.4,416.9,410.4,404.25,400.05,397.1,394.2,389.6,384.7,381.2,378.35,376.1,374.8,374.2,373.4,373.3,374.15,374.95,376.5,378.85,381.8,385.4,388.6,392.2,395.7,398.9,401.85,405.05,410.7,416.8,422.4,427.9,433.4,439.15,444.8,450.6,455.9,462.35,468.55,474.55,481.15,489.05,497.65,506.45,514,522.4,530.95,540.25,547.85,555.4,563.05,571.85,581.8,591.8,601.65,611.65,622.8,631.45,643.3,654.05,664.1,673.45,683.95,694,705.2,716.25,729.4,742.9,758.15,771.15,784.5,794.2,802.25,807.75,812.5,813.8,814,814.75,812.2,812.3,811.7,808.7,804.1,796.95,787.05,772.35,754.1,737.35,717.7,699.45,681.15,664.35,647.75,632.7,616.9,600.65,583.5,566.55,551.9,535.1,518.9,501.3,485.55,473.05,461.3,449.2,438.1,425.05,414.6,404.8,394.15,385.4,377.2,369.05,361.8,354.9,348.55,343.1,336.2,329.9,323.65,321.25,317.2,312,307.5,304.7,301.6,297.7,292.9,290.35,287.35,282.5,277.45,272.4,268.05,265.85,262.4,259.4,255.7,251.85,249.15,245.65,241.45,238.5,235.05,232.65,230.55,229.1,227.75,224.9,223.3,222.25,220.95,219.6,216.65,213.55,211.55,208.95,206.75,205.95,204.45,203.55,202.2,201.1,199.4,198.45,196.5,195.1,193.35,190.95,189.65,189.3,189.15,188.9,189.95,191.2,193.25,194.75,194.85,193.15,191.35,188.35,187.35,185.85,186.1,187.2,190.05,192.75,195.85,198.15,199.1,199.15,199,199.6,199.05,199.05,197.9,196.05,195.45,195.55,195.85,196.25,195.75,194.5,192.9,190.5,187.65,185.8,183.85,183.05,182,180.95,180.9,180.15,180.3,180,181.65,183.25,184.55,184.7,184.8,184.65,184.9,184.9,184.45,185.35,184.9,183.95,183,181.4,179.6,177.75,174.9,172.6,170.15,167.8,164.75,165.1,165,165.55,165.25,165.35,164.7,164.6,164.25,162.85,162.95,162.8,162.5,162.7,164.15,164.3,164.7,164.45,164.65,164.6,165.05,163.6,154.6,146.1,138.15,129.95,122,114,106.15,98.3,90.45,Knee
2,176.6,194.4,212.2,229.8,247.3,265.7,285.2,307.5,328.9,349.35,372.6,388.15,394.4,400.4,406.15,410.45,413.9,415.25,417.85,420.9,425.5,427.95,429.65,432.1,434.9,436.8,436.9,434.45,433.9,433.55,429.95,424.75,419.05,412.35,405.55,399.35,393.75,390.05,388.4,386.2,383.95,382.15,380.7,379.9,379.05,378.35,379.2,380.35,381.25,383.15,384.25,386.55,389.8,394.35,399.8,405.4,410.85,414.1,417.9,421.9,425.45,430.35,435.9,441.1,447.1,453.25,457.8,465.15,471.65,478.15,485.5,492.95,500,507.85,515.65,524.45,534.35,544.75,555.5,566.45,577.7,588.5,599.45,609.45,619.15,630.45,643.7,653.3,662.95,675.55,686.4,700.45,713.35,724.3,734.95,744.15,752.45,760.45,767.9,774.4,781.5,788.9,796.05,802.8,806.8,808.25,806.45,803.95,799.3,790.1,781.35,768.2,757.2,746.65,735.35,723.4,710.35,695.35,676.15,657.05,637.3,619.1,598.75,578.95,561.6,545.3,530.85,516.6,501.7,486.9,474.25,462.2,449,436.85,424.95,413.45,404.35,396.4,387.8,379.25,371.25,362.2,355.35,347.55,341.15,335.25,329.35,324.1,319.2,315.9,311.75,307.5,303.05,299.6,296.35,290.35,285.75,281.95,280.2,277.4,274.2,270.65,268.5,266.25,261.9,257.1,253.2,249.35,248.35,245.6,242.55,239.95,237.05,232.2,229.1,228.7,226.5,223.85,220.85,218.85,216.55,213.95,210.95,210.3,210.2,208.1,206.6,204.25,200.8,198.1,196.1,194.15,194.1,195.05,194.8,194.65,193.65,192.05,191.15,190.6,190.25,190.2,188.6,187.25,186.8,188.15,188.3,189.55,191.75,194.1,196.6,199.35,200.15,198.9,195.95,194.3,192.25,193.15,195.1,196.5,197.6,198.7,200.45,201.85,202.1,201.15,200,198.45,195.7,192.95,189.8,187.1,185.1,184.05,184.15,183.2,183,180.25,178.3,177.55,177.35,177.45,176.9,175.75,174.75,174.55,174.75,175.1,174.95,176.9,178.2,178.35,178.6,178.7,179.1,178.95,178.75,178.55,177.55,176.75,175.5,174.45,173.35,171.75,169.65,168.45,167.6,166.55,166.45,164.65,164.85,164.7,164.45,164.4,163.9,163.65,163.2,163.2,163.15,162.6,162.7,163.4,164.7,164.65,165.05,164.7,163.65,163.35,163.15,163.45,162.9,154.85,146.9,138.95,131,123.1,115.15,107.25,99.4,91.6,Knee
3,178.1,196.05,214.25,231.9,249.95,268.6,288.05,311,333.3,354.65,377.45,391.9,397.9,403.85,409,413.8,417.55,418.55,419.9,421.55,424.8,427.25,428.8,431,432.9,434.05,434.25,431.5,430.15,429.45,426.55,422.2,417.1,411.3,405.9,399.45,394.05,391.05,390.3,389.3,387.4,385.3,383.75,383,382.55,382.65,383.65,383.9,384.55,386.05,386.85,388.4,391.45,396.05,401.45,407.1,412.9,416.95,420.7,424.8,428.8,434.1,439.5,444.9,450.75,457.1,461.65,468.75,475.8,482.55,490.85,498.65,505.7,513.2,521.35,530.65,540.4,549.9,557.9,568.85,580.4,592.15,603.75,613.95,623.85,634.3,647.75,659.05,670.95,683.6,693.55,707.35,721.15,733,743.6,752.55,760.6,768.6,778.7,785.35,792.3,798.2,804.1,810.15,813.25,814.2,811.05,807.4,798.75,788.8,780.75,768.7,757.05,745.35,731.4,718.95,705.2,690.65,671.7,651.45,632.7,612.85,592.35,574.15,558.6,544,528.5,514.55,501.25,487.2,473.9,460.5,447.5,435.75,426.05,414.35,404.85,396.25,387.6,379.65,370.25,362.9,356.05,350.3,344.7,338.25,335.1,331,326.7,321.95,316.4,311.55,306,300.1,296.35,294.05,290.05,286.05,283.35,280.4,277.2,273.95,272.3,267.25,261.05,256.45,251,245.85,243.35,240.4,237.7,234.85,232.55,229.95,227.15,221.85,217.4,212.55,209.55,207.6,205.8,203.05,200.55,198.65,198.6,197.5,196.35,193.3,190.55,189.9,188.95,188.05,188.55,189.8,189.65,190.8,192.35,193.05,193.2,193.45,192.55,192.65,191.25,191.1,190.55,190.75,191.1,192,193.4,193.9,194.5,194.15,193.1,190.45,187.25,185.8,184.5,183.95,184.1,184.45,186.55,188.5,190.55,190.85,190.55,189.55,188.4,187.8,186.2,184.5,183.25,183.6,183,182.85,183.2,182.75,181.85,181.35,180.8,180.35,179.25,177.65,175.65,174.65,173.6,172.7,172.95,173.3,174.9,177.4,179.8,180.95,182.2,183.5,184.05,183.55,183.85,183,181.9,180.95,180.05,179.4,178.95,177.9,176.8,175.45,174.15,172.85,170.5,168.35,166.4,165.5,164.3,163.4,162.5,163.05,161.8,161.85,162.05,161.8,161.7,161.8,162.05,162.15,162.3,162.5,162.45,162.25,162.45,162.1,162.3,153.9,145.95,137.75,129.95,121.15,113.45,105.4,97.3,89.4,Knee
4,179.25,197.45,215.2,232.85,251.35,272.25,292.15,312,333.25,354.5,377.85,393.1,400.1,406.85,412.4,417,420.55,421.7,424.95,426.05,428.95,431.55,433.45,435.35,436.8,435.65,435.1,435.35,435.25,434,430.45,425.3,418.6,411.4,407.5,402.6,399.8,394.65,392.35,391.05,388.4,385.95,384.65,384.35,384.3,384.3,384.9,385.45,385.6,387.5,388.25,390.75,394.3,399.2,402,406.15,409.05,414.35,418.4,422.1,426.3,431.55,438,443.6,449.45,456.05,461,468.2,473.55,480.8,489.15,497.65,505.1,512.85,520.4,529.25,539.3,549.2,560,570.9,582.65,593.15,603,613.15,622.85,633.5,647.4,658.7,673.15,686.45,696.9,709.35,723,735.3,746.85,756.65,764.7,772.3,779.6,785.8,789.7,796.2,801.95,806.25,809.7,811.3,808.6,804.65,796.25,786.05,776.9,764.4,751.95,739.45,727.25,714.85,701.45,687.15,667.85,648.8,633.4,614.6,595.15,578.5,561.45,545.05,531.6,517.65,503.7,488.7,476.4,464.4,451,439.75,427.45,415.75,406.25,395.4,386.2,377.65,367.95,360.15,353.7,345.15,338.75,331.85,324.25,319.2,314.45,310.9,306.9,302.35,298.6,292.7,289.45,286.2,283.05,281.25,279.4,276.7,273.5,270.35,266.75,263.65,258.95,254.4,251.45,246.25,243.65,239.65,234.7,231.35,228.6,225.85,223.1,220.55,217.45,215.4,213.95,212.9,211.5,209.65,208.85,207.6,207.3,207.05,205.9,204.45,202.2,200.8,199.95,198.75,198.05,198.05,196.35,194.85,194.3,192.95,192.2,191.65,190.4,189.6,187.5,187.4,187.7,188.1,188.05,189.3,191.2,192.7,194.15,195.55,195.6,194.3,193,192.2,190.65,189.75,190.15,191.5,194.25,196.35,198.85,199.15,197.95,197.05,195.6,194.1,191.25,189.05,187.35,186.3,185.65,185.85,185.75,185.8,185.45,185.1,184.15,182.7,180.65,179,177.7,177.45,177.25,177.25,177.4,177.5,179.3,182.15,184.55,185.9,187.35,188.25,189.45,188.3,187.35,186.1,184.7,183.55,182.6,182.4,181.05,179.35,178,175.9,174.65,173.25,171.2,168.8,168.2,167,165.35,164.35,163.25,163.1,162.95,162.85,162.9,162.6,162.35,161.9,161.7,161.75,161.75,161.9,162.4,163.3,163.95,163.75,163.05,154.5,146.7,138.6,130.6,122.7,114.55,106.5,98.45,90.7,Knee
5,171.65,189.25,206.9,224.2,242.2,260.6,279.85,302.3,323.9,344.45,367.25,382.45,389.4,395.95,401.15,405.75,410.45,413.3,415.7,418.1,421.9,424.6,427.25,429.65,431.4,432.35,434.1,431.05,430.45,430,427,422.25,416,409.45,404.4,398.45,392.55,389.2,387.7,386.15,383.4,381.75,380.15,379.15,378.95,379.25,378.45,379.9,380.35,382.3,383.3,385.55,389.45,394.05,399.05,405,410.55,413.85,417.05,420.35,425.25,430.95,436,441.95,448.6,455,459.5,466.1,472.65,479.35,487.5,494.75,501.95,509.6,517.25,526.55,536.35,546.25,558.1,570.45,581.25,590.7,601.35,611.75,620.9,631.75,645.9,657.6,670.4,683.5,696.25,711.7,725.4,737.85,749.8,759.6,768.4,776.65,784.45,790.35,796.45,803.4,809.95,815.85,819.4,820.45,816.8,813.35,805.65,795.2,783.05,769.3,757.75,745.65,732.65,719.55,705.6,691.6,671.95,653,635.9,617.1,596.9,578.6,561.25,545.05,529.6,514.75,499.75,485.55,473.7,460.95,448,435.7,423.45,412.1,403.3,394.2,385.95,376.85,366.95,359.2,352.55,343.75,337.1,330.85,324.5,318.2,313.4,308.75,303.45,299.2,293.45,287.85,283.5,276.7,271.95,268.85,265.7,263,260.05,256.85,254.45,251.55,247.5,243.65,241.55,238.15,235.9,234,231.7,228.7,226.35,224.2,222.7,223.25,220.45,216.6,214.3,212.1,209.25,207.05,205.8,205.6,205.85,205.5,205.3,205.5,203.7,204.05,204.6,205.8,207.4,208.7,208.45,208.1,207.95,206.9,206.35,205.7,205.9,205.35,202.9,201.65,201.15,200.7,200.6,200.35,202,200.75,198.85,196.05,193.45,190.6,187.7,185.35,183.2,181.55,180.45,182.25,183.25,184.8,186.8,187.2,186.85,185.6,183.65,181.55,179.05,177.05,176.2,176.35,176.05,175.85,176.15,176,175.55,175.6,175.7,174.65,174.2,173.05,172.4,172,171.35,170.05,170.05,170.4,171.5,174.1,175.85,177.8,179.2,180.4,180.5,180.1,179.95,179.5,179.25,178.4,177.4,176.8,175.5,173.9,172.2,171.95,170.9,169.6,168.1,165.9,165.45,163.6,162.55,161.6,161.3,161.2,160.8,160.85,161.1,161,161.2,161.3,161.55,162.3,162.6,162.6,163.1,163.2,163.4,163.35,162.75,154.65,146.5,138.5,130.45,122.6,114.95,106.95,98.85,91,Knee
6,178.35,195.95,213.45,231.1,248.8,267.25,286.7,308.3,329.65,350.75,373.7,388.85,395,401.3,406.5,410.3,414.4,415.6,417.85,419.85,421.85,424.35,426.9,429.25,432.1,433.55,433.35,431.6,431.15,430.85,427.7,422.7,416.5,409.65,403.1,397.65,391.15,387.55,385.8,385.1,384.9,383.05,381.05,379.8,378.85,379.1,380.1,381.45,380.7,380.25,381.1,383.45,387.6,391.65,396.55,402.15,407.85,412.05,416.4,420.45,424.4,429.7,435.35,441.4,447.25,453.2,458,464.5,472.45,480.75,488.95,496.5,503.6,512,520.25,529.1,538.95,548.1,558.5,569.45,579.9,592.05,604.5,614.75,624.55,635.55,648.65,659.75,672.5,685.65,696.3,710.35,723.15,734.05,744.35,753.7,762.3,770.7,778.65,785.05,792.45,797.25,801.2,806.7,810.1,811.4,809.35,806.25,798.4,788.05,778.35,765.35,752.25,741.8,728.3,715.9,701.95,687.1,667.55,648.5,630.3,611.65,592.55,574.45,558.05,542.15,528.5,514.55,499.6,485.45,473.2,460.85,449.75,437.7,428.45,417.5,408.15,400.45,393.7,385.6,375.8,368.05,361,352.9,344.95,335.15,327.8,321.85,319.7,315.65,310.35,305.4,300.85,295.2,291.05,288.2,284.3,280.4,276.05,272.2,269.3,265.7,263.75,261.55,258.75,257.3,253.55,249.25,245.4,243.15,240.65,238.1,235.5,232.85,230.35,227.65,226.2,222.3,220.95,222.15,220.95,219.7,217.3,215.1,213.35,212.85,212.5,211.4,209.65,208.4,206.95,205.3,205.5,206.1,205.8,204.7,203,201.85,200.5,196.7,195.2,194.1,192.5,192.4,193.25,193.3,193.15,193.8,194.65,194.65,195.8,196.95,195.3,193.45,190.65,188.75,186.85,186.85,187,188.1,189.75,191.55,193.45,193.6,192.4,190.6,189.15,189.1,188.45,188.45,187.85,186.8,186.75,186.05,185.85,185.45,185.1,184.45,184.4,184.3,183.05,181.3,179.6,178.45,178.2,178.4,178.05,175.35,174.05,173.95,174.2,175.7,175.95,177.2,178.55,178.55,178.05,177.05,175.7,174.3,173.85,173.5,173.25,172.15,171.25,170.4,169.5,169.05,168.1,166.55,167.2,167.2,168.2,168.75,168.25,167.45,168.1,169.15,170.15,171.05,170.7,170.8,170.45,170.85,170.6,170.5,170.85,170.9,171.35,171.55,170.05,160.65,151.3,141.9,133.2,125.25,116.25,107.1,98.05,89.4,Knee
7,177.45,195.5,213.3,231.35,249.3,268,289.1,310.2,331.75,353,376,391,397.1,403.9,409.55,413.95,417.45,418.85,420.75,421.7,424.95,427.55,429.85,431.9,433.95,435.2,433.75,432.65,431.8,431.05,427.35,423.3,417.6,410.9,404.65,399,393.25,389.8,386.8,384.15,381.3,379.25,377.55,376.1,375.55,375.45,375.8,376.9,377.65,379.05,380.3,382.15,386,390.6,395.85,401,406.6,410.1,416.05,422.05,427,431.4,436.95,442.95,449.05,455.5,460.4,466.9,473.65,480.3,488.75,498.3,505.4,513.1,522.75,532.2,542.55,552.2,562.45,573.3,583.95,594.85,605.6,615.5,625.55,636.4,649.55,660.05,671.95,684.95,695.15,706.95,720.6,732.6,741.6,750.85,758.8,766.7,774.9,781.05,787.35,793.9,797.85,803.75,806.65,807.7,803.95,800.05,792,782.15,775.55,763.3,751.45,739.8,727.85,715.75,702.55,688.8,669.45,651.25,633.95,615.1,597.55,579.35,563.15,547.3,535.5,523.5,510.3,495.75,481.6,469,456.1,443.95,431.15,419.95,410.7,402.7,395.35,386.3,376.7,369.3,362.05,353.6,346.5,339.25,332.25,325.35,319.5,315.1,309.15,304.45,299.05,292.95,290.2,287,283.15,279.1,275.3,272.3,268.9,265.35,263.65,261.3,257.2,253.45,249.5,244.6,243.5,241.3,239.9,238.3,236.95,235.35,233.05,230.5,228.6,225.95,224.7,224.4,224.5,223.65,222.3,221.65,221.3,220.85,220.1,220.45,219.2,218.2,215.45,213.15,212.3,211.9,211.05,209.55,207.45,205.95,204.85,204.8,204.55,204.35,202.8,201.9,201.6,201.55,201.75,202,202.15,203.45,205.95,206.3,204.8,203.4,200.85,199.25,197.85,196.35,196,194.95,194.7,195.3,196.1,195.75,194.7,193.45,192.4,191.2,189.45,187,184.75,183.45,184.45,184.8,185.1,184.15,183.95,183.7,183.2,183.15,182.3,181.35,180.85,181.05,181.5,181.8,182.2,183.45,185.05,187.45,188.9,190.6,191.6,192.55,193.65,194,193.35,192.55,191.2,190.8,189.4,188.25,188.1,187.75,186.25,184.4,182.2,179.55,177.25,175.5,175.2,174.7,172.75,171.35,170.1,169.2,168.45,168.3,168.6,167.35,167.2,166.7,165.3,163.85,163.25,163.25,163.15,162.95,163.05,162.75,162.2,153.5,145.6,137.65,129.5,121.7,114.05,105.9,97.8,89.9,Knee
8,178.2,196,213.85,231.65,250,268.35,287.75,309.8,330.95,352.05,375.05,390.45,397.35,402.35,407.2,411.95,413.8,415.4,417.6,419.65,422.75,425.45,427.35,429.4,431.8,433.2,433.15,431.05,428.55,425.65,422.15,417.7,411.6,406.3,399.65,393.4,388.3,384.6,383,381.9,380.45,378.8,377.75,376.95,375.85,376.2,376.8,377.5,380.35,384.25,385.55,387.5,391,394.75,399.7,405.8,411.2,415.3,419.45,423.65,427.95,434,439,443.05,449.5,455.95,461,466.55,473.05,479.75,487.1,494.2,501.45,509.7,518.6,527.65,537.05,547.1,558,568.75,579.8,588.75,599.35,610.95,620.55,631.15,644.85,657.45,670.2,683.1,694.9,709.05,724.55,737.2,748.3,758.5,768.65,777.95,786.2,793.1,799.85,807.6,813.85,819.2,821.65,822.6,820.05,816.95,809.15,799.2,789.2,776.9,763.85,751.75,739.45,726,710.5,694.9,675.05,655.8,637.9,617.45,597.75,580.3,562.05,543.95,530.2,514,499.15,484.6,472.3,459.8,446.35,433.85,422.25,410.65,401.3,392.2,384.05,375.2,365,357.75,351.2,342.7,336.75,332.25,325.25,321.85,317.7,313.75,308.7,303.7,299.7,294.6,290.85,287.95,283.85,278.05,273.6,270.5,267.7,264.55,260.95,257.7,255,251.6,248.4,244.45,242.8,240.5,237.65,235.1,231.3,227.7,224.95,221.85,219.15,218.2,216.6,214.75,212.8,211,210.55,210.95,210.45,209.35,208.2,206.35,203.35,203.35,203.55,203.3,203.95,205.8,205,204.5,204.4,203.55,203.2,202.75,201.95,201.5,199.25,197.4,196.45,196.1,196.1,197,198.65,197.1,196.5,196.5,195.8,193.25,190.75,188.85,186.4,185.35,185.7,186.45,187.05,188.05,190.7,190.65,190.35,188.3,185.7,183.7,181.95,180.55,179.15,177.5,176.25,176.15,176.2,176.1,176.75,177.25,177.5,177.85,178.6,178.2,177.15,176.9,177.3,179.05,180.45,180.9,181.6,184.45,186.5,188.65,190.95,192.6,194.25,194.4,194.65,194.5,192.9,191.1,189.65,188.5,187.05,186.2,184.4,182.15,180.45,178.8,177.1,174.2,173.8,172.2,170.3,168.7,167,165.7,164.1,162.5,162.65,162.55,162.65,162.8,162.75,162.3,162.65,163.9,164.55,166.25,167.55,168.7,168.25,160,151.85,143.8,135.7,128.05,120.1,112.15,104.05,96.2,Knee
9,172.45,190.4,208.35,226.2,244.15,262.65,282.2,304.55,326.6,347.7,370.55,385.15,391.6,398.05,404.3,409.75,413.4,416.5,420.25,422.2,426,428.5,430.5,432.8,435.6,436.45,435.95,433.75,432.65,431.45,427.2,422.65,416.95,410.55,404.55,398.85,393.35,389.7,387.1,386,384.2,382,380.8,379.75,378.35,378.7,379.85,379.85,380.3,381.7,384.75,388.6,392.05,396.55,401.1,406.7,411.95,415.9,419.65,423.5,427.1,432.45,437.3,442.6,449.15,455.9,460.8,468.75,475.1,481.75,488.7,494.4,502.05,509.9,518.3,527.75,538,547.65,557.95,569.05,581.15,591.85,605.6,616.1,625.45,635.45,648.15,658.55,671.85,685.45,695.7,709.4,722.05,733.5,744.75,753.65,761.6,771.05,780.65,787.15,792.55,799.05,802.3,808.2,811.25,812.65,810.95,807.65,799.25,789.15,780.15,767.95,756.9,745.35,730.5,717.05,703.5,688.45,670.35,651.1,633.85,614.95,595.25,577,560.35,544.1,530.1,516.65,502.5,488.2,476.1,463.8,450.35,438.6,429.35,418.7,409.9,401,390.15,381.8,371.7,363.85,357.25,348.85,342.65,337.75,332,323.5,318.35,313.95,311.1,307.05,303.35,297.3,293.35,290.15,285.85,281.8,279.25,276.05,272.95,270,268.5,266.85,262.9,257.5,253.2,251.25,250,247.9,243.05,239.95,236.4,234,231.7,228.6,226,223.8,222.1,222,221.75,220.4,218.45,217.1,216.4,216.3,215.25,213.5,211,209.65,208.35,206.7,206.8,207.1,205.5,204.75,204.15,201.55,200.05,198.05,196.95,195.6,192.75,190.95,190.55,190.45,190.3,191.6,192.9,193.8,194.9,195.7,194.9,193.55,192.25,191.35,189.2,188.1,187.4,187.85,188.65,190.6,192.45,193.35,192.55,191.45,190.25,188.5,187,185.5,183.5,182.45,181.5,180.95,180.8,180,179.35,179.6,179.3,178.15,176.75,174.85,173,172.1,172.2,171.9,172.65,174.2,174.7,175.35,176.95,177.9,179,179.35,180,179.75,180.6,181.05,180.6,180.5,179.7,179,178.95,177.45,175.8,174.1,171.6,169.25,167.5,166.3,166.75,166.95,167.15,167.45,168.65,170.7,171,170.3,170.45,170.35,170.4,170.5,170.1,170.45,170.45,170.5,171,170.7,171,171.1,169.35,160.2,151.2,142.9,132.9,122.7,113.35,104.95,96.95,88.95,Knee
