,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,BodyParts
0,176.3,196,217,238.2,260.45,282.7,306.8,329.7,353.75,376.6,398.2,411.25,413.9,415.4,417.1,418.95,421.1,420.25,419.2,419.25,419.6,418.5,415.25,411.8,407.6,403.35,397.25,394.15,391.4,389.65,387.95,386.8,386.8,386.95,387.45,389,390.3,392,393.7,395.25,397.7,400.75,404.8,409.55,414.6,419.75,425.2,429.85,434.55,438.4,443.85,449.25,454.85,460.9,467.45,473.55,479.95,486.8,496.7,506,514.55,523.4,531.55,539.85,547.95,557.1,566.35,575.35,584.2,595.1,606.95,619.15,631,644.05,654.3,663.65,672.55,679.95,686.35,691.9,696.3,700.4,705.8,709.7,711.75,711.15,708.4,704.35,696.8,687.25,678.2,666.25,655.25,641.75,629.55,617.6,605.35,591.3,576.25,559.6,542.25,525.35,507.45,492.65,479.65,467.85,458.45,449.4,439.55,429.9,416.85,405.75,394.95,384.75,376.45,368.75,362.25,357.45,350,343.5,339.9,334.95,330.05,323.8,317,311.4,306,300.95,297.6,294.55,294.35,292.75,288.85,286.1,280.55,277.35,273.6,270.75,268,265.3,261.25,259.4,257.2,254.55,253.55,252.35,250.6,249.45,247,244.15,239.85,238.3,237.9,236.1,236.95,235.7,235.45,235.3,236,236.5,236.15,234.5,234.6,234,232.5,230.5,227.95,223.8,223.1,223.1,222.1,219.45,216.5,214.3,212.35,210.9,208.1,205.2,202.95,201.3,200.65,199.65,198.2,196.4,194.45,192.7,191.05,190.1,187.1,184.25,182.75,182.45,183.75,184.85,183.95,182.35,181.1,178.95,178.1,178.85,179,179.9,179.2,180,181.25,182.7,184.6,186.5,189.35,191.35,192.6,192.65,191.4,189.95,188.9,188.6,188.1,188.35,189,188.55,189.3,190.1,191.35,191.75,190.85,189.8,188.45,186.8,184.75,183.4,182.2,182.15,182.1,182.05,182.05,180.85,179.9,178.65,178.1,177.65,176.8,176.5,177,176.8,176.95,176.5,176.1,176.5,176.95,178.25,179.55,180.8,181.95,182.8,182.7,182.75,182.5,182.35,180.95,179.6,178.25,176.2,174.35,173.75,172.1,170.95,169.65,168.15,166.85,165,164.55,163.5,162.8,161.9,161.85,161.9,161.85,162.1,162.45,162.8,162.85,163.1,162.8,161.75,161.85,162.1,162.55,162.9,163,163.35,163.5,155.2,146.9,138.95,130.95,122.75,114.9,106.8,98.75,90.65,Righthand
1,178.6,197.95,219.05,240.4,261.85,284.3,307.25,331.55,355.7,378.2,401.75,415.75,418.85,420.2,421.1,422.9,421.15,421.4,421.3,422.35,424.3,424.45,421.3,417.75,414.05,409.55,404.65,400.4,395.2,391.9,388.05,385.9,385.15,384.85,384.95,385.6,387.5,388.8,391.75,394.55,396.55,398.5,402.45,407.05,412.25,417.2,423.25,427.8,434.25,441.3,447,452.1,458,464.35,470.5,477.2,484.05,491.4,499.25,507.05,513.2,523.05,531.65,540.15,548.4,556.75,565.55,574.9,584.9,594.95,605.15,617.4,629.15,639.95,650.6,660.25,668.65,676.45,682.85,688.1,694.5,698.55,703.4,707.3,709.45,710.15,707.15,702.7,694.5,684.4,676.75,664.85,651.4,640.15,628.2,615.65,603.9,589.35,574.55,558,541.2,524.6,509.15,494.4,481.65,469.9,460.35,451.05,442.25,433.25,419.85,408.85,400.7,390.1,381.9,374.25,367,362.3,355.95,350.1,346.1,339.75,331.95,325.8,317,309.35,300.75,294.7,289.2,284.2,282.05,281.8,277.8,274.65,270.3,266.85,263.95,261.7,258.7,256.05,252.05,250.55,249.2,246,246.1,246,247.65,246.5,244.85,243.65,241.95,239.1,238.3,236.7,236.45,235.4,233.1,228.75,226.3,225.9,224.85,223,222.5,221.35,220.5,219.1,216.7,215.1,214.75,213.4,210.95,208.1,205.4,202.9,201.1,199.9,198.85,198.95,198.95,197.6,196.35,195.95,195.15,195.5,195.3,194.6,194.65,192.75,190.15,191.35,193.65,195.65,195.75,197.05,196.05,195.05,194.3,193.35,192.55,191.6,191.35,190.75,189.15,188.3,187,186.3,185.2,185.55,187.35,185.55,184.1,182.2,182.05,180.9,179.85,179.2,178.75,178.25,178.9,179.95,181.3,183.25,186.85,187.8,187.75,187.15,186.55,185.05,183.1,182,181.85,181.6,181.6,181.8,181.55,180.55,178.7,178.3,177.25,176.95,176.65,175.3,172.9,172.15,172.15,172.65,172.75,173.6,174.8,176.35,176.8,177.45,179.15,180.75,182.15,182.85,183.5,182.8,182,181.1,180.05,179.25,178.2,177.8,176.15,174.75,173.25,172.05,170.7,169.45,169.65,170.2,168.95,167.35,165.9,164.9,164.25,163.85,163.9,163.5,163.6,163.6,163.6,162.95,163.3,164.1,164.85,165.8,166.85,166.95,166.05,156.95,148.65,140.5,132.6,124.55,116.7,108.85,100.9,93.1,Righthand
2,176.6,195.9,217,238.05,260.25,282.55,304.85,328.75,352.65,374.8,398.3,411.85,415.35,416.75,418.95,420.2,421.4,420.4,421.55,421.8,422.25,422.45,419.9,416.85,412.4,408.3,404.2,400.1,397.15,396.15,392.8,390.65,389.8,389.9,390.25,390.95,392.6,393.75,395.9,399.1,401.7,404.05,407.3,412.1,417.4,422.6,428.35,433.05,437.7,442.35,448.2,455.3,462.05,468.55,476.35,483.25,490.45,497.8,504.9,512.5,520.9,529.25,538,546.25,554.25,563.5,572.5,581.85,590.85,601.2,610.25,620.85,632.2,642.7,650.35,659.75,667.9,676.35,683.05,688.1,691.85,696.75,699.2,702.3,704.8,704.05,702.05,697.5,689.95,679.7,673.05,661,649.1,637.9,626.95,614.95,603.05,588.05,572.8,557.05,540.85,523.4,508.8,493.75,480.15,468,456.6,447.25,437.45,428.3,414.85,403.75,393.35,382.95,371.8,363.95,357.65,352.75,345.2,338,333.65,328.9,322.85,317.65,311.7,306.8,302.15,297,293.45,289.3,286.8,283.7,279.2,275.7,273.95,269.35,265.55,263,259.9,257.35,252.65,250.3,248.75,245.75,244.15,242.75,241.8,238.85,235.5,232.25,229.9,230,229.8,228.9,229.45,229.55,228.25,226.6,226.8,226.15,224.9,222.35,222.1,221.95,220.3,217.8,214.7,213.7,214.1,214.75,213.65,210.6,208,205.35,203.75,202.45,201.15,199.3,198.05,199.5,201.8,203.55,203.5,203.75,203.65,203.65,203.55,202.45,200.9,199.8,199.4,199.35,200.55,201.75,200.15,198.6,197,195.5,195,192.2,190.05,189.4,187.1,185.65,184.85,184.75,184.35,185.3,187,188.15,188.35,188.4,187.45,187.05,185.3,184.6,183.5,182.2,181.65,182,182.55,182.95,184.4,184.65,184.15,182.85,182.75,181.8,180,178.4,177.9,177.75,177.65,176.6,176.8,176.15,176,176.25,175.7,175.5,174.5,173.05,171.4,171.1,171.4,171.25,170.3,169.95,169.75,170.1,171.5,172.7,173.25,173.6,174.05,173.85,173.8,173.45,173.25,172.8,172.55,172.55,172.45,170.9,169.05,167.45,166.55,166.35,166.45,166.2,166,165.4,165.45,165.65,166.7,167.7,168.2,168.35,170,171.3,171.65,171.25,171.25,171.15,171,171.15,171.25,170,169.35,169,167.7,159.2,150.6,142.3,133,124.05,115.15,106.95,97.5,88.4,Righthand
3,178.55,198.4,218.95,240.05,262.25,284.9,307.2,330.15,351.55,373.25,395.45,408.15,412.05,412.6,413.15,413.95,415,414.5,413.6,414.05,414.3,412.8,410.25,406.55,402.35,397.65,393.4,390.05,389.4,388.85,386.35,384.5,382.7,382.65,382.6,384.1,386.45,388.1,392.7,395.5,397.85,401.8,406.5,411.85,417.15,421.8,427.35,432.6,437.05,442.4,448.6,455.9,461.85,468.45,475.7,482.7,489.8,496.75,503.9,511.7,520.95,529.35,537.4,545.45,553.65,563.5,572.85,581.8,591.45,601.4,610.85,621.55,633.15,645.55,655.5,665,675.05,683.25,690,695.6,699.35,703.95,708.7,712.9,714.8,712.95,709.6,704.95,697.1,686.4,679.9,667.8,656.5,643.15,631.55,619.05,605.2,590.2,574.7,558.35,543.2,526.05,510.25,494.4,477.6,466.5,457.25,448.5,438.8,430,415.85,404.95,395,384.9,376.2,368.55,361.2,357.1,351.05,344.6,339.45,334.15,326.6,321.05,318.1,313.75,308.2,302.7,298.05,292.8,289.55,286.05,281.3,278.4,273.65,270.85,267.95,262.1,257.6,256.45,252.35,250.65,249.4,246.85,245.95,243.8,242.8,241.65,241.75,241.1,239.55,238.35,237,234.05,233.45,231.8,230.35,231.3,231.35,228.35,225.9,222.95,222.25,221.2,218.75,216.55,213.85,211.2,210.55,211.95,212.9,213.05,212.1,211.2,209.7,208.15,207.1,205.1,203.35,202.05,201.8,201.65,200.4,200.05,198.9,197.95,196.75,195,191,186.6,183.75,181.95,182.4,183.8,183.5,182.25,180.15,177.85,176.7,176.8,176.7,178.2,178.3,177.95,176.7,176.35,175.9,176,177.8,178.75,179.9,180.5,179.5,177.6,176,174.65,173.85,173.85,174.7,176.05,178.05,178.4,178.75,179.15,180.35,179.85,179.1,177.7,175.55,174.45,173.2,172.55,172.5,172.95,173.1,173.5,174,174.55,174.65,174.3,173.95,172.85,172.65,172.25,172.05,172.35,173.15,174.5,176.45,179.05,180.9,181.7,182.1,181.65,181.95,181.5,180.75,180.5,179.4,178.35,176.8,176.2,175.15,173.85,172.85,171.8,170.7,169.5,167.75,165.2,165.25,166.3,166.35,166.85,167.2,166.95,166.7,166.1,166.15,166.05,165.8,165.4,165.35,166,165.8,165.9,165.7,166.15,166.3,166.85,165.5,155.7,147.25,138.8,130.2,122.35,114.3,106.15,98.2,90.35,Righthand
4,177.25,197,217,238.15,260.5,282.8,305.2,329.15,352.85,374.85,397.3,409.7,412.35,413.4,414.75,416.25,417.75,416.6,414.25,415.15,416.3,414.8,412.3,408.9,404.2,399.85,395.55,391.3,388.8,388.05,385.8,384.4,383.95,384.25,385.9,387.5,388.9,390.1,394.3,397.4,399.95,402.85,407.15,411.45,416.75,421.8,427.5,432.35,436.6,440.8,446.2,452.05,458,463.6,468.35,475.3,483,491.35,499.2,506.55,515.1,524.7,535.2,545.5,553.6,563.35,573.1,583.05,592.85,603.7,613.75,625.55,637.3,648.9,659.6,668.7,677.35,684.1,690.75,696.85,701.35,705.7,708.85,711.6,714.05,713,709.45,704.05,696.15,685.95,678.85,666.85,655.4,643.9,628.85,615.75,603.05,589.1,575.55,558.5,541.5,524.15,507.9,492.45,479.2,467.5,457.45,448.3,438.05,428.4,414.1,403.25,393.25,382.75,377.2,370.4,364,358.85,350.35,343.45,339.05,333.7,328.05,322.4,316.25,311.1,305.25,299.1,294.45,290,286.5,283.35,278.85,275.6,270.85,266,262.1,256.9,252.95,251,247.4,245.8,243.1,239.85,238.3,236.2,234.85,234.45,233.05,231.2,230.1,228.65,227.75,225.25,224.9,224.9,223.55,224.1,224.2,224.55,224.4,223.35,221.3,219.95,217.2,215.45,213.65,211.05,211.15,210.65,210,208.45,207.6,206.55,205.2,204.3,202.95,201.65,201.1,199.95,198.7,197.2,197.6,197.7,197.95,196.55,194.3,191.35,188.15,186.65,185.8,188.55,190.4,192.25,192.6,191.85,190.8,189.1,187.45,186.25,185.1,185.25,183.7,183.35,183.8,184.95,186.75,189.55,192.55,193.55,194.35,192.75,190.5,188.65,186.2,184.75,184,184.2,184.9,185.65,187.35,189.25,191.5,192.1,191.25,191.7,190.95,189.85,187.95,187.1,186,184.85,184.15,183.95,183.9,182.85,181.55,180,178.6,178,177.6,176.75,176.2,176.05,175.7,173.8,173.9,174.5,175.35,176.8,178.55,179.6,180.15,180.05,180.45,181.85,182.55,182.65,182.55,181.75,180.35,178.7,177.5,175.75,174.3,172.9,171.45,169.7,169,168.45,169,170.4,171.75,172.95,173.15,171.6,170.65,170.4,170.25,169.9,169.95,170.25,169.7,169.85,169.95,170,171.15,173.85,174.75,174.5,173.65,163.25,153.35,144.05,135.55,127.7,119.9,112,104.1,96.5,Righthand
5,176,195.3,216.6,238,260.15,282.55,304.75,328.45,352.35,375.1,398.35,411.2,414,415.75,417,419.25,420.9,420.3,419.45,419.7,420.05,420.45,417.45,413.4,409,404.75,400.85,396.85,394.05,392.5,389.1,387.5,387.05,386.7,386.55,387.4,389,390.3,394.6,397.2,400.75,402.65,405.95,411,416.25,421.4,426.7,432.15,437.2,442.05,447.75,453.8,460.55,468.45,475.55,483.6,490.9,498.7,506,514.45,522.9,531.9,541.25,550,558.15,567.5,576.85,586,594.5,604.7,614.65,626.15,637.25,646.65,656.4,664.05,672.05,679.75,686.5,691.85,696.05,700.7,704.8,708.65,709,708.5,705.55,701.9,694.7,684.6,677.4,665.25,653.75,642.4,631.25,619.3,607.6,592.7,577.35,560.85,544,526.7,511,495.55,483.75,471.1,460.55,446.95,436.3,426.35,412.7,401.8,391.05,380.55,371.55,363.75,356,348.45,340.2,334.6,329.8,324.4,317.55,311.45,305.65,301.3,297,294.75,290.1,285.3,282.8,279.55,275.45,272.7,268.7,264.7,262.55,262.6,261.25,257.3,254.25,252.25,250.7,248.1,245.9,242.9,240.75,239.95,241.25,241.9,240.6,239.95,238.6,235.75,234.25,233.2,231,226.95,223.75,221.3,218.75,216.3,215.8,215.6,214.9,213.8,212.05,208.8,206.3,204,202.55,200.55,198.95,197.75,197.15,196.3,195.45,196.05,198.2,200.25,201.05,203.95,204.35,203.35,202.95,202.6,202.3,201.05,198.05,196.35,195.05,195.15,196.15,197.05,195.9,194.55,193.2,191.55,189.3,187.75,186.75,183.9,181,181.1,181.25,181.45,181.15,182.45,185.35,188.6,191,192.95,193.3,193.1,192.2,191,190.1,190.1,190.75,190.85,192.2,193.15,194.65,194.4,192.85,190.4,188.3,185.7,182.45,179.35,177.05,174.85,173.75,173.05,172.7,172.4,172.4,172.35,172.1,173.05,173,173.15,172.95,172.7,171.75,172.65,173.15,174.55,176.15,177.55,179.05,180.5,181.4,181.25,181.55,181.6,181.35,180.75,179.65,178.2,176.95,176.6,176.55,175.3,174.95,173.2,172.5,170.7,169.6,168,167.95,167,165.8,165.65,165.4,165.25,164.85,164.35,164.5,164.65,164.45,163.5,162.2,161.95,161.95,162.45,162.7,162.95,163.4,164.05,163.4,154.85,146.85,138.85,130.8,122.9,114.6,106.4,98.25,90.25,Righthand
6,177.05,196.7,217.2,238.2,260.15,284.1,306.95,330.8,354.7,377.45,398.65,411.1,414.25,415.4,416.7,418.9,420.6,419.75,418.55,418.95,419.5,418.1,414.95,411.8,407.7,401.6,396.9,392.95,390.2,388.5,387.25,386.4,385.3,385.4,385.25,385.85,387.45,388.9,392.7,395.7,398.05,401.25,406.05,411.95,417.1,423.25,428.7,433.75,438.2,443.45,448.95,454.5,460.15,466.85,473.9,480.55,487.5,495.45,503.7,511.5,519.65,528.6,536.9,544,552.3,560.95,569.95,578.9,588,597.75,607.4,619.35,631.55,642.4,652.8,663.15,672.15,681.15,687.55,693.1,697.55,702.3,707.3,711.05,713.1,712.6,709.9,705.5,698.3,688.45,681.6,669.35,658.5,646.4,633.85,621.3,608.8,592.7,577.6,560.55,544.35,526.9,511.35,495.8,482.4,470.2,459.9,448.95,438.5,429.1,415.35,404.5,393.1,383.05,374.9,365.95,358.45,353.6,347,341.1,336.7,331.95,324.25,318.95,312.65,307.45,303.2,300.25,296.7,292.55,290.25,287.2,283.05,280.2,275.75,271.9,268.4,264.85,262.8,261.7,258.5,256.15,256.85,254.55,253.15,251.7,250.1,248.7,247,244.45,242.15,240.4,239.4,237.15,234.5,233.6,232.4,230.8,228.6,227.3,225.55,224.3,222.45,221.7,220.2,217.95,215.3,211.95,211.25,211,210.55,212.1,211.9,213.25,215.05,215.1,214.05,212.6,211.35,209.7,209.15,208.85,206.4,204.9,203.6,202.3,200.95,198.35,195.3,193.7,192.35,189.25,188.8,187.45,185.9,184.45,183.3,181.65,180.4,179.5,178.5,177.6,177.1,176.65,177.15,177.55,178.05,180.65,182.95,182.95,182.55,182.75,181.65,179.9,177.85,176.45,175.35,175.2,175.4,175.75,177,177.45,177.8,177.8,176.5,174.95,173.4,171,168.45,168.4,168.75,168.8,168.45,168.5,169.4,168.95,168.35,168.5,169.55,170.3,170.5,171.25,172.95,173.95,174.9,176,177.65,180,182.75,185.25,187.4,188.6,190.55,191.55,191.65,192.4,192.15,190.85,189.45,188,186.85,185.55,183.35,182.15,180.65,178.85,177.55,176.5,175,173.8,173.6,173.6,172.6,171.45,170.75,170.05,169.95,169.95,169.65,169.7,169.45,169.45,169.35,168.65,168.05,168.65,168.15,166.6,166.15,164.8,163.55,154.3,145.75,137.75,129.7,121.65,113.75,105.85,97.9,89.95,Righthand
7,177.8,197.6,218.9,240.45,262.1,284.65,307.75,331.4,355.35,377.85,401.25,414.15,416.8,418.8,420.15,422.15,423.75,423.15,422.3,422.85,422.6,421.45,417.85,414.05,410.25,405.65,400.6,397.05,394.1,392.75,389.25,387.65,387.3,388.05,388.2,388.75,390.05,391.45,395.95,398.4,400.5,403.6,407.95,412.8,418.2,423.35,428.95,433.8,438.85,443.55,449.2,455.35,460.85,465.5,472,479.45,487.35,495,502.3,510.45,518.25,527,535.6,544.4,554.6,564.4,573.4,582.5,590.25,600.5,610.3,622.5,635.05,646.15,656.35,665.75,673.95,681.65,688.55,693.9,699,704.25,708.7,711.6,711.4,710.65,708,703.25,696.65,686.8,679.95,667.45,655.65,644.4,632.35,620.25,607.05,592,576.5,559.85,542.75,524.65,508.95,493.9,480.3,467.85,457.45,447.5,437.4,427.95,414.05,403.15,392.5,381.45,372.75,364.65,358.65,354.15,346.7,340.75,337.3,333.25,326.75,321.5,316,311.7,306.25,301.85,299.05,294.2,291.6,288.5,285.75,283.35,279.75,275.8,272.45,269.75,267.6,264.9,260.7,258.2,255.95,252.35,250.25,247.3,246.05,244.45,241.45,240.05,238.75,238.6,236.95,235.4,235.05,234.1,232.05,229.1,227.65,227.7,226.65,226.35,227.45,228.8,227.75,226.7,224.5,221.55,221.25,220.85,220.05,218.4,216.7,214.45,212.9,212.05,210.8,210.4,209.4,206.8,205,201.95,199.25,196.85,195.6,194.15,193.9,193.2,191.25,190.05,188,186.9,187.1,187.1,186.1,183.9,182.65,179.85,178.75,178.6,179.1,179.25,178.35,178.45,179.2,180.05,180.45,181.6,183.4,184.75,187.15,188.45,187.6,187,185.25,184.65,184.15,185.1,186.4,188.05,190.4,192.45,194.05,194.45,193.65,193.1,192.2,190.9,188.3,185.95,183.5,181.8,181.7,181.9,181.85,181.75,180.9,179.75,178,177.3,175.4,174.25,174.25,174.65,175.65,175.3,175.1,175.15,176.5,178.6,180.6,181.8,183.05,184.35,185.85,186.7,188.2,189.35,189.85,188.9,187.9,187.35,185.8,183.8,180.95,179.2,178.1,176.65,175.2,173.3,172.7,172.2,170.9,169.8,168.55,167.25,165.5,164.05,163.35,163.3,163,162.8,162.7,162.4,162.45,162.4,162.1,162.05,163,164.3,164.2,155.7,147.5,139.3,131.2,123.4,115.55,107.7,99.95,91.95,Righthand
8,178.25,197.75,219,240,261.65,284.1,306.85,330.85,354.65,376.7,400.1,413.4,417.1,418.2,419.25,420.35,421.9,421.05,420.2,420.1,420.9,419.8,416.2,415.3,412.5,408.7,404.55,400.25,397.7,396.9,393.75,391.8,390.55,390.45,391.1,391.95,392.8,394.15,397.6,400.45,403.05,406.3,410.5,412.7,417.2,421.5,426.5,431.2,435.25,440.15,446.1,451.8,457.95,464.25,471.75,478.35,486.35,494.1,500.45,508.25,516.65,526.25,535.25,543.85,552.45,562.65,572,582.15,591.75,602.1,611.25,622.85,635.25,646.2,655.35,665,672.9,680.3,688.4,693.85,698.15,701.85,706.6,710.5,712,711.1,709.95,705.8,698.75,688.65,681.95,670.15,658.15,646.95,634.95,622.4,610.75,596.2,580.85,564.9,547.95,530.65,514.05,498.4,484.75,472.4,460.55,450.1,439.5,429.55,415.3,406.3,395.65,384.2,375.35,368,360.55,355.6,350.7,344.9,341.9,340.95,338.4,334.05,328.8,323.9,319,314.45,310.25,305.5,303.05,298.15,293.75,291.7,288.1,283.7,280.85,278.75,274.5,271.35,266.65,260.85,255.25,250.95,249.1,247.6,246.55,244.6,243.2,241.55,239.85,241.5,241.4,240.3,239.65,239.3,237.55,235.35,234.15,232.8,230.8,229.15,229.05,229.45,227.55,224.65,221.5,219.1,218.75,218.9,218,213.35,210.55,207.3,204.8,203.6,201.95,200.2,199.55,199.4,199.2,197.75,195.95,193.35,191.6,190.7,190.7,188.65,185.4,183.15,181.75,181.6,182.65,184.2,184.85,184.15,184.6,183.4,182.15,181.05,181,181.5,180.8,181.65,182.05,182.05,181.2,182.85,185.7,188.45,190.5,193.15,194.9,195.9,196.45,197.25,195.45,194.3,194.1,195.05,196.6,198.3,200.05,200.75,201,200.7,199.8,197.85,195.05,192.45,190.1,187.5,184.6,182.25,179.65,177.05,176.05,176.05,175.15,174.9,174.25,173.55,172.9,172.4,172.25,172.05,171.05,171.75,172.95,174.8,176.3,176.6,176.6,176.75,176.85,177,176.75,176.2,176.5,175.65,174.65,173.2,171.95,170.6,169.2,167.8,167.65,166.35,165.1,163.15,163.45,163.85,163.95,163.55,163.7,162.75,162.6,162.15,161.95,162.05,161.5,161.65,161.6,161.5,161.6,162.1,162.5,162.4,162.8,162.75,161.6,152.85,144.85,136.85,128.55,120.95,113.05,105.5,97.35,89.1,Righthand
9,177.85,197.15,218.3,239.6,261.75,285.6,308.25,331.9,355.95,378.9,402.15,415.6,419.2,420.2,421.3,423.05,424.25,423.75,423.25,424.15,425.5,425.25,422.25,418.5,414.15,408.7,404.05,400.3,397.35,395.7,392.4,390.95,389.45,388.9,388.75,389.6,391.55,392.8,396.9,399.5,401.4,403.2,406.8,411.8,417.3,422.8,428.9,434.05,438.4,442.8,448.2,453.35,459,465.65,472.6,479.2,486.65,494.2,501.5,509.05,517.45,527.3,536.3,544.75,552.65,561.4,570.2,579.55,589,600,610.35,622.6,634.85,645.45,655.45,664.95,674.85,683.35,690.1,695.15,698.95,702.9,707.75,711.75,714.3,713.65,710.9,706.05,698.25,687.9,680,667.45,656.25,644.75,633,620.75,606.85,592.05,577.4,561.65,545.55,529.25,513.05,497.3,482.9,470.8,460,450.05,442.25,431.75,418.35,407.9,396.7,386.6,377.7,369.9,362.6,357.05,349.6,342.5,337.65,331.85,324.7,318.85,312.85,307.35,303,298.85,293.45,290.5,288.4,285.05,281.45,277.85,273.4,268.65,265.75,263.4,261.2,259.3,256.45,257.8,258.6,259.15,258.15,256.95,255.6,254.25,252.95,251.25,249.95,249.95,249.6,247.6,245.1,244.35,242.25,239.4,236.5,234.6,231.8,226.2,224.1,220.7,218.05,215,212.3,208.85,207.3,205.85,203.2,199.95,197.15,198.55,200.7,200.45,199.75,198.55,197.65,196.45,196.35,196,193.05,191.4,190.3,189.15,187.5,184.95,182.4,180.65,180.55,180.9,182.7,181.15,179,177.65,175.9,174.45,174.7,176.05,176,176.45,176.4,177.15,177.95,178.2,178.75,180.75,182.75,184.45,185.7,186.55,185.35,183.7,182.35,181.1,180.1,179.15,179.2,179.5,181.95,184.15,186.25,186.05,185.75,186.25,186.4,184.75,182,180.3,178.95,177.85,177.4,177.3,177.3,177.95,177.7,178.35,178.65,178.25,176.7,175.05,174.4,173.15,173.15,172.6,171.95,172.4,173.45,174.55,174.6,175.5,175.45,176.15,176.35,176.35,176.55,175.7,174.05,173.55,173,172.1,170.65,170.25,169.05,167.75,167,166.55,165.95,166.05,167.45,167.55,167.65,167.05,166.7,165.7,165.2,165.05,165.25,164.25,164,163.5,163.6,164,164.05,164.5,163.95,163.8,163.75,163.05,162.85,154.05,145.9,138.15,130.3,122.3,114.35,106.3,98.2,90.65,Righthand
