,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,BodyParts
0,177.7,197.85,219.1,240.8,262.1,286.35,309.05,332.2,356.3,379,402.45,416.15,419.65,421.35,423.25,424.4,426.15,425.2,424.3,424.75,425.9,424.65,421,416.5,413.05,406.7,402.15,398.7,395.7,393.95,390.5,388.1,386.9,386.7,386.3,387.1,389.9,390.35,394.1,396,397.5,399.7,403.5,408.6,413.55,418.7,424.5,429.55,434.05,439.15,444.55,449.9,455.7,461.95,469.15,476.25,482,490.1,497.5,506.5,515.5,524.5,533.65,542.55,551.7,561.25,570.15,580.4,589.15,599.05,609.7,622.85,636.8,649.2,660.35,670.6,680.9,691.25,700.45,708.3,715.7,723.45,730.9,736.85,740.4,741.75,741,737.7,732.9,724.5,718.55,707.7,696.2,684.9,672.25,660.25,647.35,631.65,615.45,596.95,579.85,561.75,543.85,528.35,513.45,500.15,488.75,477.5,466.4,455.9,441.1,428.35,416.25,404.5,396.1,386.95,378.9,373.15,364.3,357.15,350.75,343.7,336.05,328.35,322,316.35,311.5,307.05,302.4,298.15,294.95,291.8,287.2,285.4,281.55,276.7,273.15,268.1,264.9,262.2,257.9,256,254.25,251.05,249.1,247.85,245.3,242.95,240.5,237.65,235.55,234.05,233.3,229.7,227.7,227.6,225.7,225.65,225.7,226.25,225.65,224.75,224.95,224.8,222.1,218.25,215.95,212.35,211.65,211.1,209.9,208.2,206.3,204.3,202.75,202.2,201.3,199.8,198.7,196.85,195.25,193,191.55,190,189.8,189.6,188.35,189.05,187.3,186.15,185.35,185.3,185.75,186.85,187.1,185.35,185.1,184,182.85,183.1,184,185.4,184.7,185.35,185.85,186.8,187.9,188.1,190.1,191.3,192,192.25,191.6,190.75,188.8,188.6,187,186.7,187.4,187.75,188.1,188.85,189.55,189.4,189.15,188.8,188.85,188.5,188.2,188.3,188.5,189.7,190.35,190.2,190.25,189.75,188.55,188.05,187.75,187.5,187.35,186.65,185.55,185.4,185.2,183.85,182.4,181.15,180,180.4,181.3,181,182.05,183.5,185.15,185.1,185.9,185.3,184.1,182.85,181.15,180.6,180.2,179.1,177.6,176.65,175.4,174.1,172.7,171.05,171.15,170.5,168.95,167.65,166,165.25,164.35,164.15,164.45,164.2,165.3,165.7,165.9,165.5,165.55,166.15,166.75,167.7,168.35,169.05,168.25,159.75,151.65,143.45,135.45,127.4,119.3,111.15,103.05,95.1,Waist
1,173.6,193.3,214.5,235.75,257.9,280.3,303.25,327.4,352.55,375.25,398.65,411.75,415.4,416.5,417.95,420.05,422.15,424.45,424.35,424.6,425.75,425.15,421.8,417.6,413.25,408.7,406.55,401.65,397.6,396.15,391.9,390,388.9,388.15,388.75,389.45,390.75,392.15,395.95,398.6,400.6,402.15,405.6,410.95,416.1,421.25,424.5,430.15,435.1,439.2,445.45,451.5,456.8,462.85,469.35,476.65,483.7,491.05,496.8,503.7,512.55,522.45,532,540.7,550.2,560.15,569.05,579.2,589.3,601.6,612.15,623.6,635.9,647.35,657.85,668.1,678.35,687.7,698.25,707.75,715.2,722.85,730.15,736.25,739.35,740.25,739,735.7,728.85,718.75,709.6,698.9,689.1,679.25,666.3,653.95,641.45,626.2,609.2,590.7,571.9,552.9,534.75,517.35,502.5,488.95,477.65,465.95,453.65,443.3,432.25,421,409.6,397.45,389.4,380.4,372.25,367.15,360.25,352.8,347.7,343.65,337,332.65,324.8,319.45,313.05,308.4,305.25,300.9,297.7,294,289,286.05,281.9,277.1,273.7,269.9,266.25,263.85,260.1,255.95,253.9,249.45,249.1,247.5,247.4,246.35,244.4,241.85,239.2,237.8,236.6,234.25,232.65,230.55,228.35,225.95,224.2,223.25,221.85,219.35,218.65,218.25,216.45,214.15,211.3,207.9,206.9,206.65,207.25,207.9,208.15,207.5,207.75,209.15,208.4,207.65,207.65,207.25,206.05,205.5,203.2,201.9,200.35,198.7,198.45,198.4,197.35,196.65,195.65,194.9,195.45,196.85,196.8,196.3,196.25,195.05,194.2,193.2,193.5,193.8,193.25,193.35,193.7,194.25,193.9,193.85,194.85,195.95,195.7,194.2,191.95,189.25,186.6,184.85,183.35,182.7,182.85,185.45,188.1,190.1,191.9,192.1,192,191.75,190.7,188.9,186.8,184.4,183.4,183.45,183.1,182.9,182.8,182.7,181.95,182.4,182.95,181.75,179.95,178.7,178.45,178.25,177.95,177.45,178.1,178.95,179.55,181.05,181.65,183.2,185.25,186.95,188.65,189.25,189.3,187.8,186.05,184.65,183.6,182.6,181.5,180.6,179.75,178.7,177.1,175.4,174.1,172.7,173.1,172.75,172,171.35,169.85,168.9,167.65,167.65,167.8,167.8,167.9,167.75,168.25,168.95,169.3,169.7,170.3,170.65,171.15,171.35,171.2,161.9,152.7,143.8,135.45,126.85,119,110.85,102.8,94.75,Waist
2,175.8,195.85,216.8,238.25,260.3,282.85,305.8,330.4,355.15,378,400.3,413.95,417.45,419,420.45,422.6,426.6,425.8,425.35,426.9,427.7,426.45,423.05,419,414.7,410.45,405.55,400.85,397.35,395.65,393.65,391.6,390.3,389.4,389.35,389.8,388.7,390.1,394.3,396.25,398.65,400.7,404.45,409.55,414.8,419.3,425,429.9,432.05,435.95,441.35,446.95,453.1,459.6,466.6,474.15,481.9,489.2,496.75,505.2,513.45,523.25,531.95,540.65,549.3,559.1,568.05,578.1,590.95,604.05,615.1,628.05,640.3,651.75,662.3,672.9,683.35,694,702.9,710.4,717.85,724.45,732.5,738.7,742.5,743.65,743.55,740.45,733.8,723.35,716.75,705.5,695.2,685.2,674.15,661.5,648.8,632.85,616.05,598.05,580.2,562.3,544.7,528,513.4,498.85,486.25,474.7,462.65,452.15,437.55,425.05,412.15,401.5,392.25,383.4,372.8,365.95,357.8,350.4,344.9,338.5,330.65,324.4,317.95,314.4,310.85,307.45,304.25,299.85,296.75,293.1,289.45,284.9,280.45,276.15,275.1,273.4,271.6,269.6,265.65,263.45,261.9,258.5,256.35,251.3,247.45,244.55,240.4,238.3,236.95,236.8,236,233.7,232.6,230.6,228.1,225.85,224.15,225.5,225.75,225.3,225.2,225,223.2,223.55,222.2,219.25,220.2,218.95,215.95,213.3,211.5,209.8,208.25,208.25,208,204.85,202.3,198.45,196.45,194.25,191.85,189.95,189,187.7,186.85,185.85,183.3,181.95,182.05,182.1,182.7,184.1,183.65,182.45,180.9,180.6,181.75,182.5,183,184.25,184.65,185.05,185.5,185.05,184.45,185.1,187.2,188.55,189.6,190.75,190.5,189.2,187.7,187.5,186.9,186.65,186.55,186.9,186.9,187.15,187.9,188.6,188.6,189.6,189.85,188.8,186.5,185.2,184.5,183.45,182.75,182.25,182.15,181.8,182,182.1,181.55,181.1,180.4,179.15,178.85,177.75,177.25,176.65,176.2,176.1,177.05,178.65,179.2,180.6,181.4,182.95,184.95,185.45,185.65,186.1,185.55,185.55,184.8,184.3,182.8,181.8,180.8,180.2,179.9,179.6,179.5,178.8,179.3,178.9,179.6,179.75,178.6,177.6,176.15,174.6,174.05,172.9,173.15,173.2,173.25,173.35,172.9,172.9,172.75,172.75,171.75,171.7,171.3,161.95,152.4,142.9,134.05,125.5,117.3,109.45,101.7,93.8,Waist
3,178.15,197.8,219.1,240.55,262.8,285.5,310.8,333.85,358.2,381.8,405.75,419.8,423.1,423.85,424.55,426.35,428.6,427.8,427.6,427.7,428.9,428.05,424.45,420.6,416.2,411.45,404.2,401.1,397.75,395.5,391.55,389.55,388.7,388.85,389.6,389.8,390.45,391.7,393.05,394.5,396.25,399.75,403.45,408.05,413.75,420.55,426.45,431.3,436,440.3,445.55,450.85,456.15,462.3,468.6,476.2,483.5,490.85,500.55,509.95,519.15,527.45,536.75,545.75,554.35,562.7,571.85,582,592.75,605.2,618.7,632.8,646.3,660.2,671.85,682.3,692.65,703.35,712.5,720.9,727.7,734.5,741.85,748.45,752.1,752.65,751.25,747.6,740.55,730.7,722.1,709.15,698.05,685.1,672.65,659.75,646.35,630.15,614.1,595.35,577.2,559.3,539.75,522.5,507.8,493.85,479.1,468.25,457.1,445.7,430.9,419.1,407.35,395.75,386.55,378,370.55,365,356.55,349.75,345,338.35,332.3,325.65,318.3,313.6,312.05,307,302.8,299.75,298.3,296.45,292.05,288.85,282.9,279.75,276.75,273.65,270.55,268.1,263.7,261.7,260.05,256.8,257.05,255.35,253.75,252.45,250.7,247.85,244.6,242.45,241.75,240.3,242,241.4,240.6,239.85,239.65,238.95,238.25,236.6,236.45,236.5,233.15,230.95,228.05,224.35,223,224.75,225.2,225,224.95,224.25,222.7,220.8,218.15,214.95,212.5,210.95,209.75,208.45,207.05,205.55,205.5,204.9,204.65,203.05,199.9,195.35,192.25,190.15,188.75,188.1,186.55,184.65,183.55,182.65,182.9,183.15,183.75,184.35,183.05,183.4,182.7,182.35,182.7,184.4,187.75,190,192.05,192.45,191.5,190.1,188.7,187.65,186.95,186.7,186.8,187.35,188.25,189.3,191.25,191.2,190.8,190.1,188.4,186.8,183.8,181.8,181.15,180.9,181.2,182,181.75,182.7,182.85,182.95,183.25,182.8,182,181.65,181.05,182.15,183.2,184.2,185.75,187.35,189.7,192.3,192.8,194.5,195.1,195.35,196.6,196.65,196.9,196.35,194.6,193.85,192.85,191.65,191.75,190.6,188.75,186.55,184.6,183.35,182,179.5,179.1,177.55,176.7,175.6,174.6,173.6,172,171.25,171.15,170.85,170.75,170.9,169.2,167.6,166.65,166.5,166.1,165.4,164.85,165.5,165.45,157.05,148.75,140.8,132.8,124.45,116.5,108.2,100.25,92.1,Waist
4,179,199.05,220.05,241.4,263.35,286,308.85,333.3,358.2,381.05,404.55,418.65,421.75,422.75,424.5,426.9,426.2,426.9,426.4,426.85,428.35,427.75,424.7,421,417.1,412.35,407.55,402.85,396.6,392.35,388.4,386,384.85,384.35,383.6,384.1,384.4,385.55,389.45,392.2,393.6,395.35,399.2,404,408.9,414.45,419.8,424.85,431.95,438.95,444.7,450.15,455.8,462.4,469.75,477.2,485.1,492.05,499.85,507.45,515.35,526.5,535.5,546.55,555.7,565.25,575.4,586.05,596.45,608.6,619.4,632.2,645.1,656.4,666.85,677.1,687.65,698.65,707.4,715.55,723.25,728.25,735.5,739.45,743,743.8,742.25,738.25,731.35,721.4,715.35,704.65,692.2,681.95,671.25,658.15,644.65,628.3,611.15,592.65,574.3,555.95,538.05,521.1,506.75,493.95,482.6,471.8,460.65,449.9,435.55,422.75,412.95,401.65,391.85,383.6,376.1,370.85,364.05,357.65,353.15,347.05,339.1,332.5,323.05,315.6,309.65,301.65,296.05,291.05,287.6,285.95,281.35,277.3,272.65,268.2,264.6,261.75,259.8,258.15,254.4,252.45,251.05,248.3,247.8,246.65,244.4,245.35,244.05,242.35,240.5,238.7,238.1,236.05,235.05,235.1,233.95,230.1,226.45,223.55,221.15,218.6,218.25,217.95,217.55,216.25,214.95,211.95,211.7,212,211.5,209.8,208.65,207.6,204.6,202.2,199.8,199.65,199.75,199.7,199.95,200.3,199.5,199.3,199.15,199.05,198.75,197.45,194.6,194.5,193.95,196.1,197.55,199.6,202.2,201.95,201.3,199.65,199.1,198.8,199,199.25,197.85,196.7,196,195.65,195.95,197.55,200.35,200.85,202.05,200.6,198.65,195.75,192.8,192,191.35,191.55,191.65,192.05,191.55,191.1,192.15,193.8,193.7,192.6,191.9,191,189.45,186.55,183.9,182.05,180.85,181.1,181.2,181.55,181.5,181.5,181.55,181.65,182.1,182.7,182.6,180.65,180.3,180.2,179.1,178.7,179.3,181.75,184.3,185.9,188.35,190.5,192.1,192.6,192.75,192.65,191.6,190.2,189.6,188.8,187.6,186.65,184.85,183.7,182.95,181.95,180.4,177.85,177.2,176.7,175.9,175.5,175.2,173.75,172.3,170.8,170.8,170.8,170.35,170.05,170,169.95,170.45,170.8,171.45,172.25,173.25,174.65,174.65,165.45,156.15,146.3,137.05,128.7,120.75,112.9,104.6,96.6,Waist
5,180.6,200.55,221.8,243.2,265.15,287.7,310.3,334.2,358.65,381.3,404.15,416.75,420.3,421.25,421.85,422.95,424.3,423.35,424.25,423.05,423.8,423.95,421.3,417.95,413.75,409.7,405.3,401.3,397.75,396.35,393.4,391.55,390.1,389.85,390.2,390.7,392.05,393.1,395.35,399.65,402.15,403.55,406.75,411.05,416.5,420.95,426.75,431.65,436.75,441.4,447.4,454.2,460.4,467.2,475.2,482.55,490.15,498.65,506.25,514.2,523.8,534.45,543.35,552.1,560.75,570.9,580.35,590.2,600.5,612.45,622.35,633.7,645.9,656.85,666.1,676.3,686.55,695.9,704.2,711.5,718.15,723.9,728,733.3,737.1,737.8,736.9,733.95,727.3,717.6,711.55,700.5,690.35,679.7,668.5,656.3,643.15,627.35,611.9,594.2,575.25,556.55,541.9,525.75,511.75,498.65,486.8,476,464.7,453.8,439.8,429.8,419,408.8,396.7,387.95,380.5,371.6,362.5,356.1,352.3,346.75,339.5,333.7,325.85,320.3,314.65,308.75,303.85,299.9,297.9,293.4,287.85,283.45,281.7,276.95,273.25,273.95,273.3,270.95,266.3,263.45,261.95,258.5,256.85,255.4,253.95,251.25,248.3,246.15,243.5,241.9,241.75,240.35,240.25,240.85,240.55,239.35,237.1,236.6,234.9,232.95,232.45,232.05,230.6,227.8,225.05,223.5,223.9,221.85,218.85,216.2,213.35,210.35,208,206,203.45,200.55,198.8,198.7,198.9,200.7,200.85,200.45,200.65,200.4,200.1,199,197.2,196.6,196.5,196.35,197.5,199.05,198.3,196.8,196.4,195.55,194.9,192.45,191,188.55,185.3,184.45,183.9,183.85,183.95,185.25,186.65,186.9,187.35,187.35,185.7,184.9,184.5,184.2,182.75,182,182.7,183.85,185.45,186.7,188.05,188.3,187.3,186.55,184.85,182.2,179.5,178.8,178,177.75,177.65,177.35,176.4,176.2,176.6,176.5,175.95,175.4,174.95,174.85,174.45,174.45,174.7,173.5,173.9,175,176.5,177.65,179.45,181.05,183.2,183.8,184.45,183.7,182.95,182.75,181.7,180.9,179.65,178.45,177.7,176.1,174.8,174.6,173.35,172,170.65,169.5,169.6,168.95,168.45,168.75,169.85,171.05,171.1,170.6,170.25,170.15,170.1,170.1,169.95,170.05,169.85,169.5,170.15,170.15,170.8,170.7,169.4,160.7,151.45,142.15,132.45,123.1,114.15,105.65,98,89.85,Waist
6,176.6,196.1,217.05,238.2,260.2,283.1,306.4,330.65,353.55,376.55,400.05,415.25,418.4,420.15,421.1,423.25,424.6,423.8,423.3,424.5,426.7,426.3,423.45,420.25,415.95,410.9,405.95,401.5,399.9,398,394.4,390.6,389.1,388.55,389.15,389.5,391,392.45,396.55,398.9,400,404,409.05,413.65,419.55,425.75,431.7,436.65,440.75,444.9,450.85,456.15,461.55,467.45,473.5,480.65,488.2,496.15,504.1,512,521.25,528.55,536.2,544.65,552.55,561.35,570.6,580.75,591.45,603.8,613.65,626.25,639.35,652.95,664.85,675.5,686.1,695.95,704.45,711.9,718.45,725.75,733.1,739.6,744.05,744.45,742.85,739.9,733,722.85,716.65,705.7,696.1,683.75,671.7,659.3,646.25,630.5,613.85,595.85,577.65,558.65,540.45,522.8,504.4,491.4,479.75,467.95,455.65,445.1,431.1,419.75,407.05,395.35,386.05,377.35,369.3,363.75,356.4,350.3,345.95,339.95,332.6,326.45,323.1,317.7,312.4,307.55,304.45,300,297,292.85,288.55,285.45,280.75,275.8,271.9,266.05,261.55,258.4,253.9,254.95,254.4,251.6,249.7,247.2,245.7,244.45,243.45,241.85,240.35,240.4,239.9,238.4,237.7,237.85,236.9,237.35,237.45,236.45,235.3,230.55,229.55,229.35,226.95,225.45,222.95,219.5,217.7,218.8,217.75,216,214.7,213.4,212.5,211.55,209.95,208.4,207.15,206.35,206.1,205,203.2,201.6,201.25,199.7,197.75,196.1,193.3,189.25,187.85,186.85,186.7,186.6,185.15,182.9,181.45,178.6,177.25,176.4,175.65,177.2,176.35,176.9,177.7,179.45,181.55,183.5,186.05,187.65,188.8,189.25,188.45,187.35,186.1,186.15,185.9,187,188.3,189.25,191.05,191.75,193.05,193,192.55,191.3,190.55,189.75,188.05,186.7,185.1,184.35,183.55,183.2,183.15,182.95,181.7,181.4,180.85,180.5,178.05,176.55,175.8,175.55,175.25,175.2,174.45,174,174.45,175.5,176.15,176.35,177.45,177.45,177.75,177,177.5,176.55,175.45,174.4,174.5,174.35,173.4,171.95,170.5,168.8,167.75,167,165.9,165.15,166.2,167.15,166.75,166.95,166.7,166.45,165.9,166.2,166.2,166.4,166.4,165.8,165.95,165.8,165.6,165.8,165.35,164.8,164.4,165.25,165.9,156.8,148.45,140.35,132.3,124.4,116.3,108.1,100.2,92.2,Waist
7,179.3,199.3,220.7,242.05,263.95,286.75,309.6,334.35,358.9,381.65,405.1,419.25,422.85,423.05,424.3,426.35,428.4,427.55,426.45,427.3,428.05,426.6,422.95,421.5,417.7,412.95,408.1,403.2,399.55,397.95,394.6,391.85,390.4,390.4,390.05,390.35,391.1,392.35,395.8,399.1,401,403.2,406.75,409.65,414.9,419.9,426.35,431.05,435.35,440.1,445.75,452.3,457.8,464.2,471.25,478.65,486.45,494.3,502.1,509.8,518.65,528.9,540.15,549.4,558.55,569.8,578.05,588.3,599.2,610.95,621.4,633.35,645.95,657.1,668,677.5,686.65,695.85,704.55,712.05,718.65,725.7,730.9,736.35,739.4,738.8,738.35,735.35,728.7,719.05,712.7,702.05,692.1,681.95,667.95,656,643.85,630.25,613.85,595.6,577.45,558,539.85,521.75,506.9,493.55,481.7,470.3,458.8,447.8,433.35,420.75,408.7,396.95,390.1,381.8,374.8,367.4,359.4,352.75,348,342.4,334.9,328.7,321.5,316.55,311,304.55,299.55,295.1,291.7,288.15,283.55,280.5,277.2,273.1,268.7,265.7,262.55,259.55,254.75,253.05,251.95,249.65,248.65,246.5,244.8,244.3,243.85,242.4,241.05,240.45,239.15,236.2,233.7,232.15,230.9,228.75,228,228.3,229.4,229.05,229.4,229.25,227.55,225.65,223.5,220.75,219.15,218.05,216.95,215,213.5,212.55,212.65,212.4,211.4,210.25,209,207.3,205.1,202.85,200.75,200.05,199,197.55,196.8,195.9,194.2,193,191.7,194.05,196.6,198.8,198.5,198.2,197.6,197.3,197.35,196.35,195.9,195.4,193.85,193.3,193.5,194.1,193.6,193.95,195.3,197.05,198.85,197.75,196,194.65,192.9,191.4,190.1,189,188.85,189.85,191.25,192.55,193.5,192.6,191.2,190.65,190.25,189.4,186.9,184.3,182.55,181,180,178.5,177.4,177.2,176.8,176.2,176.25,176.55,175.9,175.25,175.95,176.95,178.25,178.05,177.95,177.85,178.9,180.15,181.5,182.7,184.1,185.1,185.6,186.05,186.6,186.6,185.8,184.25,182.95,182.6,181.3,179.45,177.65,176.4,175.3,175.7,175.9,176,177,178.3,178.2,178.5,179.1,178.15,176.25,175,174.15,174.25,174.35,173.8,173.7,174.2,174.5,174.05,175.3,176.3,177.1,177.45,176.6,166.05,156.65,147.5,138.4,129.75,121.85,113.95,106.1,98.05,Waist
8,177.7,197.15,218.3,239.7,261.9,284.55,307.8,331.3,355.9,378.55,402,415.95,418.75,420,421.2,423.35,425.55,424.95,423.85,424.85,424.75,423.6,420.1,416.7,412,407.2,401.95,398.2,394.6,393.3,390.25,387.7,387,386.2,386.45,387.25,387.85,389,393.45,396.3,399.4,402.2,405.95,410.5,416.35,421.6,427.35,432.7,437.95,442.7,447.95,453.6,460.55,468.2,475.1,482,490.7,499.35,507.05,514,522.55,531.95,541.45,550.05,559.25,569.2,579.25,588.45,598.15,609.45,619.55,632.75,644.95,655.15,665.5,675.75,683.9,692.5,700.35,709,716.25,723.65,730.75,737.3,738.55,739.2,737.35,734.85,728.45,719.1,713.15,701.55,690.5,679.95,668.45,656.45,644.45,629.3,613.1,594.95,576.75,558.3,540.5,522.7,509.6,497.2,483.65,472.15,460.2,449.45,435.3,423.05,411,399.3,389.65,380.25,371.8,364.1,355.65,348.8,343.05,336.25,328.15,321.85,315.1,309,305.75,301.05,297.5,292.45,289.25,285.6,280.85,277.95,274.35,270.4,266.55,264.85,262.2,259.1,255.55,253.2,251.75,248.9,247.25,244.8,242.65,240.05,238.25,237.45,235.85,234.4,234.5,232.65,232.15,230.2,227.95,225.75,224.25,223,221.45,220,220.15,220.2,218.7,216.7,214.85,212.85,211.65,209.95,207.8,207.1,205.1,203.9,202.95,203.5,203.8,203.1,203.6,204.4,204.5,206.45,206.4,206.5,205.4,205.15,204.9,202.95,199.95,198.15,197.4,196.75,196.9,197.35,196.9,196.8,196.55,195.2,194.15,193.15,193.3,190.55,187.6,185.85,186.1,185.2,185,186.55,189.35,191.25,192.8,193.7,193.1,191.6,189.15,187.45,186.4,186.5,186.5,186.55,186.75,188.55,190.3,190.85,190.55,190.65,189.15,187.5,184.75,182.95,181.35,180.35,179.9,179.6,179.25,178.8,178.35,177.95,178.3,179.05,178.7,177.45,176.9,176.55,175.7,175.9,177,178.55,180.15,181.6,183.15,184.5,185.3,185.4,187.4,188.2,189.25,189.6,188.1,186.5,185.85,185.45,184.5,183.45,182.45,180.6,178.7,176.4,174.9,173.5,173.65,173.4,173.05,172.9,171,169.25,167.5,166.45,166.55,167,167.1,166.9,166.7,166.4,166.5,166.8,166.95,168,168.75,169.75,169.35,160.3,151.85,143.9,135.9,127.9,119.2,110.55,102.4,93.85,Waist
9,178.05,197.6,218.85,240.05,261.95,284.8,307.85,332.05,356.95,379.75,400.9,413.9,417.4,418.6,419.75,421.75,423.7,422.8,422,423.4,424.2,423.4,420.15,416.25,411.6,406.5,401.6,397.4,393.55,392.2,390.9,389.6,388,387.65,387.8,388.55,389.25,390.5,394.3,396.3,398.2,400.85,404.55,410.6,416.55,422.05,427.75,432.85,438,442.4,448.1,454.5,460.5,466.9,473.5,480.6,488.55,496.05,503.7,512.45,522.05,531.35,540.4,548.25,556.85,566.45,575.6,585.4,595.5,608.25,619.45,632,644.7,656.1,668.7,679.65,690.05,699,707,714.15,720.45,727.3,734.3,740.45,744.4,745.2,744.1,740.65,732.95,722.55,715.4,702.95,692.1,681.45,667.75,654.95,641.95,627.05,610.7,591.8,573.05,554.35,536.95,520,505.35,492.05,480.25,468.15,457.05,445.85,433.4,423.05,411.65,399.95,390.95,381.9,373.9,368.5,361.6,354.85,350.4,344.05,335.85,329.7,322.65,317.35,313,309.4,305.7,300.8,295.2,290.35,285.35,282.2,277.85,273.65,270.3,267.15,265.15,264.25,260.9,259.8,258.35,254.95,252.7,249.7,246,244.05,242.55,241.55,241.2,240.35,240.5,239.05,238.95,238.8,237.2,235.5,233.05,230.7,228.35,225.15,225.05,225,223.95,223,222.3,219.3,217.75,216.25,214.4,216.6,216.35,215.3,214.25,212.8,211.45,209.75,208.4,207.35,206.3,206.05,203.55,201.8,200.25,198.55,196.8,194.35,192.5,191.25,191.25,188.15,187.1,187.1,185.45,184.3,182.9,181.15,180.55,179.75,180.35,180.35,180.8,181,182.6,183.95,185.25,187.1,188.5,189.1,189.05,188.5,186.75,185.45,184.1,183.15,182.65,182.95,183.6,184.55,185.8,187.75,188.8,189.45,188.5,187.7,186.3,185.2,183.05,182.25,180.45,179.7,179.45,178.95,179.65,179.45,179.45,178.95,178.1,177.3,176.6,175.65,175.3,175.15,174.75,174.25,174.35,174.65,175.9,177.6,179.35,181.4,183.25,184.65,184.9,185.1,183.95,183.15,182.6,183.05,182.2,181.05,180,177.95,176.7,175.05,173.55,173.3,172.4,171.6,172.45,172.5,171.85,171.6,170.8,170.2,170.15,169.75,169.75,169.15,169.25,169.5,169.45,170.3,170.2,170.3,170.8,169.95,169.95,169.35,167.8,158,149.15,140.15,131.75,123.4,115.15,107.4,99.35,91.4,Waist
