,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,BodyParts
0,179.4,199.75,221.4,243.6,266.05,288.35,311.4,335.5,360.05,382.45,405.85,418.7,421.2,421.7,422.3,425.8,427.65,426.7,425.1,425.25,425.85,424.5,421.5,416.95,412.65,408.25,403.5,399.4,395.9,394.8,391.35,390.45,389.9,389.9,390.75,390,390.95,393.45,397.85,400.95,403.9,406.3,409.15,414.35,419.85,425.2,431.65,436.2,441.6,445.15,451.6,458.05,464.45,471.15,478.5,486.15,495.1,502.8,510.65,520.1,529.2,539.1,549,558.5,567.8,578.4,587.3,597.9,607.6,620.1,630.45,642.2,654.5,665.5,674.8,683.4,690.8,697.95,705.75,709.65,712.55,714.7,718.45,720.25,720.25,717.5,712.65,706.4,697.1,685.3,676.05,662.05,648.4,635.3,622.45,609.7,596.7,581.15,564,546.4,529.1,512.95,496.05,480.55,466.8,455.3,446.65,437.9,427.65,418.2,406.45,396.45,386.8,379.25,371.8,364.5,358.4,354.3,347.7,343,340.4,335.9,329.6,324.3,318.6,313.75,308.55,303.35,299.55,295.85,292.1,288.9,284.5,279.1,274.25,268.8,263.4,259.7,256.5,252.75,247.4,245.4,243.25,242.25,241.4,239.45,238.55,237.45,237.75,236.25,234.7,233.55,232,229.15,227.65,228,227.85,226.5,225.75,225.1,224,221.55,222.75,220.7,218,215.75,212.45,209.8,207.85,206.2,203.7,201.9,200.85,200.15,200.5,199.2,198.1,195.95,194.25,192.8,192.05,191.75,188.9,188.15,187.45,185.7,184.3,182.1,178.85,177.5,177.4,177.45,178.35,179.9,178.25,176.9,175.2,173.65,172.65,172.85,173,173.35,173.2,172.75,173.15,174.75,176.15,176.85,179.05,181.75,184.4,186.15,186.3,184.6,183.55,182.65,182.5,183,183.95,185.1,186.75,187.8,190.35,192.45,192.95,192.1,190.85,190.1,188.05,185.5,183.15,181.2,180.05,180.05,179.95,180.85,180.6,180.6,180.75,180.1,179.3,178.3,176.95,175.05,174,173.95,173.8,174.35,175.9,177.1,177,177.55,177.55,178,178.35,177.9,177.2,176.4,175.4,174.3,173.45,172.8,171.75,170.3,169.25,167.75,166.9,165.6,164.2,163.25,163.35,164,165.1,166.25,166.95,167.5,167.45,167.15,166.85,167.15,167.25,167.2,166.95,166.75,166.85,167.25,167.05,167.25,167.15,167.25,167.9,158.8,149.75,140.25,131.15,121.95,113.8,105.8,97.85,89.95,Xiaba
1,181.6,201.7,223.1,245,266.9,291.55,314.2,337.35,361.5,383.9,407.1,420.1,422.2,423.1,423.6,423.6,424.05,423.3,421.25,421.65,422.3,421.65,418.3,413.95,410.05,403.35,399,395.9,393,392,388.85,387.65,387.65,388.35,389.1,390.75,394.4,395.65,399.75,401.85,404.55,407.25,410.85,416.1,421.55,426.75,432.5,438.05,443.2,448.05,454.1,460.35,466.6,473,480,488,494.55,503,511.25,521.05,530.2,539.7,549.4,558.85,567.95,577.85,587.7,597.4,606.65,616.15,625.6,636.9,649.5,660.5,669.25,678.45,685.95,692.15,697.55,700.8,702.4,704.6,707.9,709.75,709.55,707.15,702.35,695.7,686.65,676.25,667.9,654.3,640.7,627.8,615.75,601.45,587.95,573.3,557.45,540.7,525.7,509.6,493.85,480.1,467.9,457.15,447.7,439.2,430.55,421,408.05,397.95,387.3,377.2,368.85,361.25,354.9,350.7,344.75,339.5,334.75,329.8,322.9,316.1,309.65,304.85,300.45,295.35,290.2,286.5,284.25,281.15,277.75,277.2,275.15,271.55,268.6,265.6,263.05,260.95,257.25,255.45,254.05,250.9,248.35,245.45,244.05,243.1,243.05,241.75,240.4,240.5,239.15,234.65,232,231.35,228.7,226.3,223.85,221.9,220.35,217.4,217.6,217.75,217.4,215.25,212.6,208,205.9,205.05,205.4,204.1,203.6,202.2,202.25,201.75,201.8,201.1,200.8,199.85,199.05,199.1,197.2,196.2,194.05,193.15,191.65,191.35,189.95,188,185.15,183.5,183.35,184.3,183,181.85,181.75,181,181.35,182.85,184.3,184.65,183.65,183.8,184.75,185.25,185.1,185.75,186.6,187.5,187.7,187.75,187.15,186.15,184.65,183.55,181.85,180.7,179.55,178.7,179.15,180.35,181.95,182.25,182.35,182.75,182.6,182.05,180.85,180.1,180.05,180.05,179.65,179.3,179.1,178.75,178.3,178.1,178.5,178.7,177.9,177.4,177.15,175.9,175.35,174.5,174.25,174.05,174.9,177.45,179,180.05,180.65,181.05,181.75,181.95,182.3,181.9,180.85,179.65,179.1,178.05,176.8,175.75,174.55,173.15,172.1,171.1,169.55,166.75,166.55,166.25,165.7,165.6,164.8,164.1,162.75,162.25,162.2,162.5,161.8,161.65,161.75,161.95,161.8,162.3,162.35,162.7,162.5,163.2,162.35,153.6,145.6,137.55,129.65,121.6,113.65,105.7,97.9,89.85,Xiaba
2,178.55,198.7,219.9,241.9,264.25,286.9,309.45,333.35,358.1,380.85,404.05,417.35,420,420.85,422.05,423.95,425.25,424.1,423.7,424.6,425.15,423.5,419.85,415.35,410.9,406.2,404.7,400.2,396.75,395.25,391.95,390.5,390,389.9,390.15,390.9,392.3,393.95,397.85,399.85,402.5,405.65,409.8,415.5,421.6,426.8,430.4,436.25,441.2,446.6,453.3,460.1,466.5,473.1,480.4,488.05,496.7,505.3,512.85,520.65,529.9,540.75,550.35,559,568,578.5,587.8,597.25,607,617.3,627.2,639,651.6,662.85,672,680.45,687.2,693.6,699.25,703.65,705.35,707.75,711.35,713.3,712.85,710.1,705.55,699.4,689.85,677.75,665.35,650.25,636,623.8,610.85,597.65,585.15,569.4,553.3,536.9,520.75,502.55,486.2,470.7,457.95,446.05,436.35,424.45,414.35,405.5,395.4,386.35,376.25,364.9,356.75,348.55,342.25,338.45,332.7,326.8,323.4,319,313.1,308.7,301.7,296.9,291.7,290.4,287.9,284.5,282.5,279.3,275.9,274.1,270.75,267.65,264.45,261.5,259.2,257.85,253.4,251.45,249.3,245.65,244.75,242.95,241.1,239.4,238.45,236.6,235.5,234.8,233.55,230.6,229,225.8,222.45,219.15,217.65,217.15,217.25,215.1,215.15,215.65,214.75,213.45,211.9,209.35,207.45,206.05,203.35,201.2,199.8,198.9,198.4,200.2,200.8,200.95,199.95,197.6,195.75,196.05,194.55,193.15,191.9,189.8,188.6,188.2,187.75,188.05,188.95,189.9,191.65,193.15,192.15,190.4,189.35,187.8,187.05,187,187.45,187.1,185.95,185.85,185.45,186.2,187,186.9,186.75,185.5,185.6,185.75,184.75,184.05,183,182.7,181.6,180.95,180.35,182,183.2,184.25,185.3,185.3,185.75,185.4,184.5,183.3,181.55,181.15,180.25,179.25,178.2,177.3,177.15,177.2,176.8,176.65,177.5,176.95,176.45,175.75,176.35,176.5,176.25,176.75,176.35,176.25,176.8,178.8,181.3,184.2,186.25,187.3,188,187.15,186.65,185.6,185,184.4,183.7,183.15,181.95,180.7,179.1,177.15,176.25,175.05,173.85,172.05,170.8,168.6,167.1,165.85,165.25,165.05,164.8,165.15,164.05,163.4,163.15,163.35,163.25,163.95,164.15,165.35,165.4,165.8,165.9,166.3,165.35,156.45,148.1,140.05,131.85,123.9,116.15,108.15,100.85,92.95,Xiaba
3,177.7,197.7,219.2,240.95,263.5,285.65,308.45,332.1,356.05,378.65,401.85,414.4,417.6,418.55,420.25,421.3,424.8,422.8,421.65,422.55,423.75,422.55,419.3,415.2,410.35,406.35,401.6,398.05,395.3,393.85,391.1,390.1,389.45,389.5,390.2,391.45,390.9,393.8,398.2,401.3,403.45,406.45,410.25,415.5,421.25,426.7,432.65,437.9,441.25,445.5,451.8,459.1,465.45,472.05,479.5,487.15,495.8,503.65,511.85,520,529.35,539.25,548.4,557.2,567,577.15,586.95,596.7,607.95,619.3,628.8,639.95,652.6,663.6,672.35,681.2,688.25,695.45,700.3,703.55,705.8,706.8,710.2,711.75,710.65,707.65,703.1,697.1,687,674.9,665.7,651.05,636.95,624,611.45,598.3,585.15,569.9,554.15,537.85,520.95,505.45,489,473.85,461.4,450.5,441,431.3,422.3,413,400.15,390.75,380.35,371.2,361.35,351.4,344.95,340.4,334.45,327.85,324.05,319.2,312.8,308.25,302.5,297,292.55,288.2,284.05,280.1,277.3,274.05,270.5,267.2,265.15,263.25,260.2,257.45,255,253.55,250.45,248.6,248.15,245.35,242.75,238.05,234.2,229.95,227.6,225.8,223.9,222.7,221.6,218.65,217.35,216.8,215.15,213.15,211.4,210.65,209.15,207.85,207.5,209.05,208.35,209.6,208.95,209.3,210.1,210.4,210.1,208.85,207.75,206.8,205.5,204.65,203.45,200.25,198.4,198.5,198.5,197.75,196.15,193.3,193.25,192.75,192.7,192.1,190.95,189.95,189.9,190.25,191,192.4,192.45,191.65,190.55,190.7,191.55,189.9,189.15,188.8,187.5,187.35,186.3,186.15,186.3,186.45,186.35,186.9,187,186.2,186,184.6,182.6,181.05,179.6,179.45,179.5,180.8,182.45,183,183.65,182.85,182.05,180.3,177.85,175.4,173.35,171.45,170.05,170.55,169.95,170.15,170.4,171.05,171.45,170.65,169.65,168.4,166.75,166.15,165.5,166.15,166.65,167.25,168.05,168.95,170.3,172,173.3,174.3,176,176.8,178.55,178.5,178.2,177.9,177.55,177.5,177.2,177.35,177.65,176.35,175.05,173.7,172.5,171.4,170.4,169.3,169.5,169.25,169.15,169.7,168.85,168.1,167.4,167.25,167.5,167.15,167.25,167.3,166.9,167.15,167.1,167.2,167.5,167.85,167.85,168.3,167.4,158.25,148.45,138.8,129.85,121.6,113.7,105.85,97.75,90,Xiaba
4,178.1,198.4,220.35,242.4,265.1,287.7,312.25,334.9,358.85,381.35,404.25,417.5,420.05,421.4,422.35,423.95,425.25,424.35,423.1,423.6,423.5,421.45,416.95,412.6,407.8,403.5,397.75,395.55,392.55,391.35,388.35,387.25,387.5,388.1,388.9,390,392.15,394,396.25,398.2,401.7,405.5,410.1,415.75,422,426.75,432.15,436.9,442.15,447.45,453.95,459.8,465.65,472,478.8,486.5,494.5,502.5,513.05,522.8,531.55,541.35,550.6,559.35,567.9,578.25,588.2,597.85,607.8,618.7,630.65,642.85,655,665.85,675.55,684.3,692.05,699.8,704.55,707.5,709.2,711.1,713.75,715.95,715.9,713.3,708.55,702.95,693.3,680.6,669.15,654.95,641.15,628.15,615.4,602.2,588.8,572.4,557,540.65,524.6,508,491.15,476,463.1,451.9,442,432.15,422.55,413.25,400.6,390.7,381,370.7,362.1,353.6,347.4,343.8,338.3,333.55,330.5,326.45,321.75,314.85,308.65,303.75,299.1,294.3,290.1,286.3,283.45,280.2,276.2,273.15,268.35,266.8,264.65,261.8,258.7,256.1,252.35,249.65,247.7,246.2,245.4,243.7,242.5,241.6,241.6,241.5,240.95,241.05,240.95,240.2,241,239.5,236.8,234.8,233.85,232.4,230.55,228.3,228.35,228.2,226.65,224.55,222.7,219.35,217.25,214.35,212.85,210.05,208.1,207.1,206.35,205.05,202.85,201,199.75,199.35,198.75,198.4,196.8,195.35,193.85,192.75,191.25,190.35,187.5,187.25,185.65,185.4,185.65,186.15,185,183.45,183.1,181.7,182.4,183.15,183.3,184.65,184.7,185,185.2,186,186.5,187.95,190.95,192.65,194.1,195.4,195.65,194.9,193.55,193,192.2,191.65,190.35,189.8,191.15,191.45,192.75,194.1,194,193.15,192.35,190.65,188.3,186.05,185,184.25,183.05,181.8,181.4,180.6,180.65,180.9,181.2,180.9,179.55,178.25,177.35,175.85,175.45,175.25,174.95,174.95,174.75,176,177.2,177.85,179.15,180.25,181.35,181.95,182.6,182.85,181.55,180.45,179.95,179.7,178.05,176.8,175.35,173.7,172.15,171.15,171.1,169.9,170.2,170.2,169.4,168.3,167.35,166.35,164.7,163.35,163.1,163.35,163.45,163.55,164.1,164.25,164.25,164.55,164.9,164.8,165.15,165.45,164.35,155.3,146.75,138.9,130.75,122.8,114.8,106.7,98.7,90.55,Xiaba
5,178.4,198.85,220.45,242,264.5,286.95,309.5,333.35,357.25,379.85,403.2,415.8,418.95,421.1,422.8,425.1,423.3,424.45,423.2,423.65,424.1,422.65,419.25,415.5,411,406.6,402.3,398.2,393.7,390.65,387.3,386.7,386.95,387.05,387.25,388.1,389.5,391.3,395.85,398.35,401.1,404.25,408.2,413.35,419.25,424.7,430.7,436.6,443.65,450.6,457.15,463.35,468.6,474.6,481.55,489.05,497.45,505.5,513.75,522.7,530.95,541,552.05,561.8,570.65,580.95,591.1,600.05,609.95,621.35,631.7,643.55,656.35,667.05,676.4,685.1,692.3,698,702.3,705.3,707.45,708.95,709.55,709.95,709.6,706.7,701.35,695.55,685.4,672.3,662.3,648.3,632.95,619.75,607.05,593.7,580.95,566.7,551.5,535.6,519.55,503.1,487.45,473.1,460.55,449.15,438.35,429.05,419.95,411.15,398.1,387.9,378.9,369.05,360.7,352.8,346.6,342.05,335.8,330.4,327,322.05,315.8,309.75,301.85,294.05,290.15,284.7,280.2,276,273.45,270.4,267.85,265.3,261.35,257.75,254.75,252.2,250,247.05,243.6,241.95,240.8,238.9,239.05,239.55,237.15,236.05,234.3,233.05,232.8,231.9,229.95,227.75,226.9,225.95,221.75,216.75,213.7,212.5,211.05,209.65,209.8,209.8,208.6,207.4,206.25,204.6,204.85,204.3,202.95,202.25,200.7,199.6,198.5,198.6,199.65,201.55,203.55,203.7,203.85,202.55,199.85,197.5,195.9,193.85,191.7,188.5,185.45,186.45,187.8,188.4,190.1,191.3,190.95,189.25,188.05,185.7,183.3,182.15,181.6,181.8,181.45,182.05,182.15,182.8,184.6,187.35,189.9,188.7,186.9,185.3,183.6,182.05,180.45,179.3,178.15,178.35,179.25,180.45,180.85,181.5,182.3,182.8,183.35,183.85,183.15,181.85,179.2,177.1,175.95,176.35,175.7,175.75,175.55,176.1,176.75,177.2,177.15,177.25,177.5,177.8,178.25,178.05,177.7,177.35,177.75,178.25,180.95,184.2,186.8,188.2,190.1,192.05,192.65,192.15,191.65,190.65,189.25,187.9,186.7,185.7,184.25,182.8,181.05,179.6,177.85,175.95,173.4,170.9,169.6,168.8,168.75,168.1,169,169.35,168.85,168.35,168.3,168.4,168.65,168.5,168.65,168.75,169.45,170.2,171.35,172.45,174.1,173.85,173.75,164.5,155.15,145.8,136.5,127.7,119.6,111.65,103.85,95.65,Xiaba
6,177.2,197.25,218.55,240.25,262.15,285,307.4,331,355.4,378,401.2,413.7,416.5,418,419.6,421.5,422.5,421.65,423.25,422.35,423,421.55,418.35,414.55,410.8,405.95,401.95,398.55,395.45,393.85,390.35,389.4,388.95,389.95,390.6,391.4,393.35,395.05,396.55,400.85,403.9,408.05,411.95,416.95,423,428.05,433.75,439.2,444.35,449.95,456.9,464.3,472.3,478.25,485.15,493.15,501.3,509,517.2,526.35,535.05,544,553.3,562.2,570.65,581.05,591.1,600.35,610.75,622.2,632,642.6,653.35,664.1,673.65,681.95,689.2,695.4,699.55,702.25,704.1,706.3,706.95,707.6,707.45,705.3,700.45,694.35,683.45,670.25,661,650.35,637.8,625.15,612.1,598.35,585.7,570.8,555.65,539.3,523.35,506.65,493.2,479.35,466.25,454.2,444.7,436.15,427.85,418.9,406.05,392.85,382.1,371.85,362.05,355.55,349.4,345.55,342.05,338.25,335.15,330.7,324.15,318.25,312.65,308.25,303.6,298.75,295.15,291.55,288.75,285.6,281.8,279.65,278.3,274.65,271.5,268.8,264.1,260.35,256.6,255.2,254.25,251.6,249.4,247.25,244.65,240.55,237.8,236.05,235.15,235.4,234.1,231.2,229.2,228.65,226.9,225.05,223.55,222.45,221.2,219.35,219.25,219.75,218.65,216.9,215.35,214.45,214.1,213.25,211.85,209.35,207.55,206.8,205.95,204.9,203.75,202.25,202.4,203.95,204.55,205.55,205.25,205.2,205.5,204.9,204.6,203.75,201,199.2,197.95,197.75,199.25,200.45,199.8,198.25,196.8,194.8,192.55,189.35,187.65,185.1,182.5,181.5,181.3,181.6,181.75,182.95,185.15,186.2,186.5,186.65,185.4,184.05,182.5,181.55,180.45,179.45,179.8,180.4,181.5,182.75,184.15,184.25,183.5,182.4,181.25,178.8,176.35,175.35,174.95,174.8,174.8,173.95,173.75,173.65,173.85,175.25,174.85,174.35,172.85,171.9,170.25,169.75,169.05,168.9,167.4,168.05,169.3,170.2,171.05,170.9,171.15,171.75,172.55,171.7,171.15,169.95,169.5,169.25,169.25,169.15,169.9,168.9,167.85,166.85,166.85,166.1,164.9,164.15,165.1,165.85,165.5,165.65,166.15,167.45,167.75,167.7,167.75,167.8,167.95,168,167.1,167,166.85,166.45,166.55,166.55,167.05,167.55,167.15,158.35,150.4,142.1,133.1,123.9,115.2,107.05,98.9,90.8,Xiaba
7,178.75,199.4,221.15,243.5,266.65,289.1,311.8,335.4,356.9,378.75,402,415.45,419.3,420.2,421.25,422.3,423.7,422.65,421.65,421.9,422.4,420.4,416.6,411.9,406.4,402.1,397.75,392.7,392.3,391.9,388.9,387.8,386.1,386.65,387.5,388.9,390.6,392.7,396.45,398.8,401.3,405.1,409.15,414.25,420.35,425.25,431.1,438.2,443.65,449,455.15,461.1,467.8,473.9,480.95,488.65,497.6,505.55,514.35,524,533.25,542.45,551.7,560.75,569.9,580.75,590.3,599.55,609.25,620.35,630.85,642.45,653.2,665.9,675.3,685.75,693.05,699,704.15,707.25,709.3,711.45,714.4,716,715.5,712.8,708.25,702.05,692.1,679.3,669.45,655.05,642.75,627.75,614.75,599.9,586.25,571.6,555.2,538.25,521.75,504.95,489.15,474.2,461.05,449.25,440.1,427.6,416.85,407.4,394.35,384.55,374.15,364.1,356.05,348.9,343.15,339.1,333.5,327.7,324.45,320.2,313.8,308.75,302.9,298.5,294.2,293.75,291.85,288.85,286.95,284.1,280.4,278.4,275.15,270.6,265.2,258.4,255.4,253.4,249.65,247.85,246.85,244.25,243.5,242,240.3,238.7,237.75,236,234.65,234.05,232.9,230.5,228.55,228.05,227.75,229.2,228.3,227.4,225.8,223.05,222.75,222.25,220.45,218,215.25,211.95,210.05,211.3,210.6,211.15,211.55,210.7,211.1,210.05,209.55,208.95,209.2,209.25,208.95,208.4,206.85,205.7,204.75,203.45,201.2,199.6,196.7,192.6,190.25,187.4,186.65,187.4,185.8,184.1,182.45,180.5,178.35,177.15,177.25,178.7,178.15,177.2,175.95,176,176.75,178.05,180.85,182.5,184.3,185.5,185.35,183.8,182.55,182.2,181.15,180.4,181.2,182.35,183.95,184.15,184.3,184.55,184.85,183.7,182.55,180.75,177.95,176.05,174.85,173.75,173.25,173.25,173.05,173.55,174.05,174.5,174.4,173.95,172.85,173,173.6,174.55,174.95,175.4,176,176.65,178.55,180.15,181.7,182.8,183.55,183.75,184.1,183.3,182.8,181.8,180.6,179.5,178.5,176.9,175.2,173.6,173.45,173.25,173.25,172.75,171.7,170.65,170.2,169.95,169.25,169.05,168.95,168.4,167.8,167.7,167.65,167.65,167.85,168.1,168.3,168.55,167.4,166.8,165.85,166.05,166.05,166.85,166.35,157.35,148.7,140.6,132.3,124.55,116.65,108.7,100.7,92.75,Xiaba
8,178.15,199.15,220.75,242.35,264.75,287.5,310.8,335,359.3,382.05,403.75,416.15,419.25,420.05,421.4,423,423.9,423,421.5,422.25,423.2,421.05,417.7,413.85,409.65,405.45,400.7,396.55,393.5,392.05,390.5,390.1,390.55,391.9,392.85,394.05,396.35,398.25,402.8,405.1,407.55,410.7,414.3,419.85,425.35,429.9,435.8,441.5,446.6,451.85,458.45,464.2,470,475.25,481.95,489.95,498,505.75,514.1,523.4,531.1,541,552,562.5,573.15,584.75,594.15,603.15,613,624.1,634.05,646.5,658.65,670.05,679.4,687.6,695.05,701.55,705.95,708.65,711.85,714.3,716.05,715.85,714.15,710,705.1,698.9,689,676.25,666.7,652.25,639.15,626,610.15,596.7,583.35,567.4,551.8,535.95,519.7,502.6,486.45,471.25,458.3,447.4,437.7,428.3,419.1,409.25,396.1,385.9,375,364.8,359.3,352.65,346.55,343.15,337.5,332.25,328.75,323.45,316.05,310.8,304.75,300.15,295.05,288.5,283.6,279.8,277.95,275.1,271.25,268.8,265.15,260.85,258.05,255.5,252.95,250.15,247.35,246.2,246.35,244.4,242.55,240,238.7,239.4,238.1,237.45,235.7,234.4,233.4,230.5,229.8,228.9,226.15,224.15,222.75,222.1,219.9,217.2,215.85,214.1,211.75,210.05,208.1,205.65,205.55,205.4,204.8,203.15,201.75,201.35,200,199.3,198.65,197.3,196.4,196.05,195.9,196.35,196.5,196.55,196.6,195.15,193.1,190.55,188.5,186.35,184.5,187.2,189.7,190.95,190.5,189.5,188.55,186.8,186.5,185.3,184.85,184.35,182.55,182.15,182.25,183.2,185,187.4,189.6,190.8,191.8,189.2,186.45,184.1,182.75,181.25,180.4,180.3,180.1,180.85,182.5,184,185.8,187.55,188.9,188.75,188.6,187.15,184.7,183.2,182.4,182.15,182.05,183,183.15,183.55,183.95,184.15,184.45,184.5,183.65,183.3,182.45,180.85,179.15,178.35,177.55,178.1,179.05,180.9,181.85,183.3,184.6,185.3,187,187.55,187,185.75,184.05,183.45,182.4,181.55,180.15,178.9,177.7,176.55,175.1,174.1,173.35,171.8,172.15,171.8,171.15,169.95,168.05,166.8,166.05,165.5,165.65,165.15,164.9,164.3,164.5,164.45,164.5,164.65,164.7,164.65,164.1,163.95,163.85,154.8,146.25,138.3,130.25,122.15,114.05,106.5,98.6,90.6,Xiaba
9,181.65,201.55,222.65,244.25,267,289.9,312.35,335.6,359.3,381.8,405.15,418.3,420.85,421.75,422.3,423,424.65,423.7,421.95,423.35,423.3,421.95,419.55,416.25,411.25,406.55,402.75,399.45,397.1,395.9,392.5,391.05,390.4,390.65,391.4,392.6,393.95,395.25,399.35,401.8,405.2,408.55,412.2,417.1,423.25,428.85,434.65,440.5,445.65,450.95,457.55,464.2,471.65,479.85,486.8,494.65,502.7,511,520,529.15,538.1,548,557.4,566.7,575.7,585.8,595.4,605.5,615.5,626.85,636.85,648.9,660.9,670.1,679.35,687.75,695.4,701.6,705.85,708.3,709.9,712.4,715.1,716.6,714.05,711.8,707.05,698.7,688.5,675.6,666.1,651.35,636.35,622.8,609.85,596.75,583.95,569.55,553.95,537.55,521.45,504.15,487.75,471.9,460.45,447.75,438.1,430.7,421.9,413.7,401.1,391.4,381.8,372,363.6,355.05,346.35,338.85,332.15,326.7,322.9,319.65,314.3,309.65,304.85,300.7,296,290.75,285.7,281.15,278.7,275.15,271.25,269,265.9,262.65,261.75,261.95,259.65,257.2,253.5,250.75,248.5,245.65,243.85,242.45,240.65,238.7,237.05,235.3,234.15,235.05,234.65,231.95,230.9,230.5,228.05,225.35,224.5,224.65,224.9,223.7,224.2,224.05,222.05,218.95,216.3,214.15,214.3,213.15,210.85,208.6,206.8,205.7,204.1,203.55,203,202.15,200.75,198.3,196.1,197.15,196.6,195.8,195.65,196.05,196.2,194.55,191.7,190.1,189.5,188.35,189.05,189.85,189.4,187.7,186.6,186.15,186.1,187.55,188.9,187.45,186,185.8,185.2,184.1,183.65,185.35,187.9,189.9,191.7,192.3,192.8,192.8,191.8,191.7,191.2,190.3,190.55,190.4,190.8,190.85,191.4,191.2,190.3,189.75,188.05,185.6,183.25,181.25,179.3,178.45,177.2,175.85,175.5,174.35,172.85,172.55,172.75,172.75,172.4,172.1,172.1,172.45,172.1,172.35,173.6,174.3,175.05,176.75,178.05,179.1,178.85,179.35,180.05,180.15,180.2,179.3,177.7,176.2,174.65,173.45,171.75,170.1,169.95,168.55,166.9,166.1,164.95,163.85,163.25,162.55,162.9,162.65,162.35,162.1,162.7,162.85,162.7,162.8,163,163.05,163.4,163.4,163,163.2,164.6,165.6,167.15,167.7,168.25,160.05,151.7,143.6,135.3,127.2,118.55,110.25,102.3,94.35,Xiaba
