,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,Objects
0,182.95,204,226.05,247.7,269.6,291.85,314,337.15,360.9,383.6,406.55,419.7,422.55,423.4,422.25,423.6,425.45,424.25,422.6,422.4,422.5,420.2,416.9,415.6,412.9,409.45,406.75,403.75,401.25,400.2,397.95,396.8,397.35,398.85,399.6,400.7,402.4,404.15,408.2,411.3,414.3,417.9,421.5,424.45,429.4,433.75,439.1,444.95,450.05,454.9,460.65,467.1,472.65,478.45,486.55,493.2,501.25,509.3,516.65,525.15,533.9,543.3,551.65,559.45,566.9,576,584.1,591.4,599.4,607.85,615.7,624.25,633.85,641.9,647.45,653.35,656.95,660.15,661.75,661.2,659.15,657.5,657,656.2,653.7,649.25,643.7,637.35,627.3,615.35,606.45,593.7,580.45,567.9,555.85,544.65,534.8,522.15,509.55,495.9,483.1,469.8,457.25,444.25,433.35,423.2,414.4,406.4,399.05,391.9,381.75,373.3,365.55,357.15,350.2,343.15,337.45,333.95,331.45,328.25,325.45,323.25,318.1,312.1,306.25,302.55,299,294.95,291.75,288.25,285.35,282.45,278.95,276.9,274.15,271.3,268.2,266.1,262.15,259,255.3,251.85,250.05,249.1,248.75,247.5,246.45,245,242.85,241.05,239.25,241,240.9,239.95,239.45,239.15,237.6,235.7,234,233.6,232.5,230.3,230.2,230.45,228.95,226.8,223.8,221.35,220.6,219.45,217.85,213.45,210.3,207.35,206.15,205.15,203.85,202.15,201.05,199.85,199,198.15,196.9,194.45,192.9,190.2,188.6,185.7,182.95,181.75,181.2,180.95,182.1,183.75,183.05,181.85,180.85,178.35,176.5,175.2,174.6,174.6,173.05,174.55,176,178.9,180.4,183,185.2,186.4,187.15,187.2,186.45,184.95,183.35,183.8,183.9,184.9,186.6,187.9,189.55,190.55,191.65,190.75,189,186.3,183.5,181.25,178.95,177.85,176.7,176.45,175.8,175.95,175.8,173.65,171.8,170.75,169,167.8,166.4,165.35,165.2,164.7,164.8,165.85,166.45,167.3,168.15,168.25,168.05,168.25,168.8,168.55,169.25,170.25,170.35,169.9,169.95,169.7,169.3,169,168,167.7,166.85,166.1,165.4,164.2,163.55,163.55,165.25,166.1,166.45,166.3,165.2,164.2,163.8,164,163.95,164.4,164.45,164.8,165.1,165,165.05,164.95,164.95,165.4,165.55,165.2,164.6,155.6,147.05,139.25,131.4,123.15,114.95,106.6,98.45,90,318Key_cui
1,177.7,198,219.4,241.25,263.75,286.4,309.05,332.1,355.6,377.55,400.1,413.25,416.1,417.5,418.8,419.75,420.8,419.85,418.3,419.4,420.6,419.85,417.35,414.2,410.65,406.85,403.35,400.1,397.95,398.3,395.8,395.1,395.6,396.5,397.55,399.75,402.2,403.9,407.9,410.35,412.6,415.5,418.8,423.4,429.35,435.2,440.7,446.85,451.2,455.4,462.1,468.05,474.05,480.05,487,494.35,502.05,509.75,516.85,525.05,533.95,543.2,551.8,559.25,565.7,573.5,581.95,589.5,598,606.55,613.5,622.9,631.9,639.6,645.5,650.4,656.1,660.1,662.45,663.55,662.15,660.95,660.8,660.2,658.2,654.05,647.3,639.6,629.25,617.4,608.85,596.05,584.25,572.95,561.7,551.2,538.9,525.6,512.3,497.45,483.9,469.9,456.9,444.2,433.95,423.9,416.45,409.8,404.6,396.9,385.85,377.7,368.5,359.65,352.8,345.35,339.75,336.5,331.65,327.6,325.25,321.5,315.55,311.5,305.95,302.6,298.8,294.8,288.95,284.65,281.85,278.4,275.1,272.85,269.35,265.65,262.95,260.75,259.75,258.05,254.45,254.5,254.15,251.8,249.95,246.85,243.8,242.45,242.2,242.25,242,241.7,241.25,239.25,237.8,237.6,235.6,233.15,229.95,227.65,225.45,220.7,220,219.5,218.2,217.7,216.7,213.8,212.3,210.65,208.7,206.1,203.85,205.45,206.4,205.4,204.9,203.45,203.8,203.75,203.8,203.45,201.75,201.2,200.95,200.6,200.45,198.65,195.75,193.8,192.85,192.7,193.15,190.95,188.15,186.2,183.25,180.55,177.8,176.25,175.45,176.05,175.05,174.3,172.7,170.2,168.4,169.15,171.55,174.8,177.45,179.05,179.2,178.5,178.05,178.75,179.3,179.85,180.9,182.4,183.7,184.35,184.6,184.05,183.8,184,183.3,181.75,178.9,175.55,173,171.35,170.35,169.9,169.75,168.65,167.4,166.55,166.55,165.95,165.35,165.1,165.8,165.25,165.1,164.75,164.65,165.4,166.65,168.25,168.5,168.7,169.2,169.6,170.05,170.05,170.3,170.7,169.4,168.3,167.4,166.9,166,165.7,165.5,165.05,164.85,163.95,163.1,163,164.15,165.15,165,164.8,164.45,164.35,164.35,163.9,164.1,164.1,164.45,164.25,164.15,164.3,164.05,164.25,164.7,164.9,165.05,164.25,162.9,153.8,145.5,137.3,129.25,121.2,113.15,105.25,97.35,89.6,318Key_cui
2,178,198.95,219.75,241.15,263.05,285.65,308.15,331.1,354.65,376.8,399.5,412.15,415.15,416.25,417.85,418.85,419.95,419.2,418,418.75,418.75,417.3,415.6,412.75,409.4,406.1,402.8,399.75,397.4,396.8,394.25,393.6,393.35,394.15,394.7,396.95,399.1,400.5,405.1,407.6,410.3,413.45,416.8,421.45,426.75,431,436.35,442,447.1,452.1,458.55,464.8,471.35,477.6,484.25,491.3,498.75,506.95,514.7,523.95,532.65,541.6,550.35,558.35,566.55,575.35,583.45,590.8,598.6,607.15,616.3,626.1,635.55,643,649.7,654.65,658.8,661.65,662.75,661.5,659.75,658.2,657.5,656.45,653.6,649.2,642.8,636.15,626.1,614.1,603.45,589.55,576.7,565.1,553.6,542.85,532.55,520.35,507.55,494.2,480.9,468.45,456.2,444.25,433.75,424.5,417.75,411.25,404.45,397,385.8,377.75,369.3,360.7,353.4,346.15,340.2,336.85,332.3,327.8,325.1,320.15,313.9,309.35,304.35,300.4,296.05,290.75,286.1,282.05,279.2,277.45,274.25,271.65,268.25,264.4,261.7,259.75,256.9,255.5,252.55,250.5,249.6,246.9,245.1,242,239.95,239.25,239.25,238.3,238,236.7,236.55,235.35,234.8,234.5,233.2,231.45,232.2,231.6,231.1,231.3,231.05,230.8,229.2,228.8,225.55,222.6,221.25,221.4,221.2,220.7,220.55,221,220.65,220.1,217.25,214.6,211.8,210,207.65,204.85,202.35,200.65,199.75,198.55,198.4,196.85,194.4,192.15,189.5,187.3,185.6,184.6,184.75,183.95,185.2,184.3,183.55,182.45,182.95,183.05,182.7,183,183.5,183.3,184.5,186.25,188.3,190.8,193.65,195.6,197.2,198.2,197.15,197.95,197.9,198.6,200.45,203.05,205,207.4,209.2,209.35,208.75,208.3,206.75,205.15,203.05,200.2,197.7,195.8,193.1,190.4,188.5,186.25,184.4,183.15,181.35,180.15,179.1,178.45,178.5,178.9,179.1,179.7,180.3,180.6,181.2,182.85,183.9,185,185.7,186.05,186.3,185.9,185.55,184.45,183.15,181.6,180.55,179.05,177.45,175.5,173.8,171.8,169.8,168.3,167.2,165.35,165.4,165.1,164.6,164.75,165.05,166.15,166.75,167.4,167.45,167.8,167.2,167.1,166.95,167.05,167.6,167.55,168.35,168.3,169,169,167.95,158.95,150.75,142.4,133.8,124.5,115.4,106.7,98.9,90.7,318Key_cui
3,178.65,199.7,221.95,244,266.55,289.3,311.85,334.9,358.15,380.1,402.55,415.55,417.6,420.15,422.15,424.1,425.75,424.2,421.7,422.05,422.6,421.1,417.55,413.8,410.4,408.7,405.75,402.85,400.4,400.15,398.15,397.2,397.75,398.05,398.7,400.1,401.85,404.5,409.25,412.55,415.25,418.2,422,427.15,431.8,434.05,439.05,444.15,449.95,454.85,460.9,466.8,472.65,478.25,485.15,492.3,499.5,506.1,513.9,521.65,530.5,539.6,548.3,555.7,562.95,571.5,579.75,587.9,595.25,603.4,610.6,620.25,630,638.85,645.7,650.6,654.55,658.45,659.5,659.35,657.15,655.65,655.05,654.35,652.6,649.3,642.8,635.55,627.45,616.1,607.25,594.25,581.6,568.75,556.35,545.9,535.45,522.65,509.95,496.45,483.8,470.7,457.9,445.55,435.55,425.85,418.65,412.5,403.65,395.1,384.25,375.4,366.65,358.35,352,345.9,340.85,337.7,333.25,328.65,324.4,320.8,315.35,311.55,306.25,301.65,297.35,292.35,287.95,284.8,282.05,279.3,275.75,273.65,270.2,265.5,262.55,259.7,257.3,255.25,252.55,249.8,248.45,245.4,243.6,242,239.8,238.1,236.5,235.05,234.8,234.3,233.05,233.4,234,234.1,232.7,231.65,230.15,230.75,231.25,230.15,230.35,230.05,228.5,226.8,224.85,222.45,222.4,222.25,220.7,219,217.85,214.05,211.45,210.35,209.1,207.1,206.75,205.95,205.45,206.25,206,206.45,207.25,206.2,205.8,204.5,202.35,200.2,198.75,198.35,199.4,201.45,202.15,201.9,201.35,199.95,198.5,196.45,194.45,192,189.3,187.35,186.05,186.8,187.2,188.6,190.9,193.65,196.25,197.85,197.9,196,193.55,191.2,188.5,187.1,186.2,185.95,186.65,187.75,188.55,189.05,188.35,187.1,185.9,183.95,181.3,178.3,175.9,173.6,171.85,170.95,170.65,170.25,170.15,170.05,170.05,170.05,169.75,169.05,168.25,167.45,166.95,166.85,166.85,167.25,168.15,170.75,171.95,172.35,173.5,174.95,176.2,176.4,177.4,177.3,176.95,176.8,176,175.85,175.35,174.4,174,172.75,171.6,170.2,169.25,166.85,166.95,167.85,167.45,166.2,164.8,164.7,163.8,163.85,163.9,164.15,164.7,164.95,165.4,165.5,164.8,165.1,164.85,165.35,165,165.35,164.5,155.4,146.8,138.8,130.9,122.8,114.8,106.8,98.95,90.75,318Key_cui
4,179.5,200.55,222.9,245.3,267.85,290.25,312.45,335.35,358.65,380.7,403.3,415.9,418.7,419.35,420.1,423.05,424.95,423.3,421.7,422.35,422.6,420.45,416.5,412.3,408.5,404.9,401.9,399.05,397,396.55,393.85,393.1,393.4,394.45,395.6,395.85,397.5,400.85,405.6,408.65,411.4,414.9,418.9,423.9,429.3,433.9,439.65,444.05,449,453.2,460.2,466.45,472.85,478.7,485.9,493.6,501.3,508.3,515.4,523.9,532.9,542.05,550.65,558.55,566.05,575.1,583,591.95,599.95,608.4,615.45,624.1,632.35,639.95,645.65,649.7,652.95,655.95,659.7,659.9,658,656.2,654.7,653.55,651.2,646.85,640.25,632.65,622.25,611,602.4,589.15,576.45,564.55,552.95,542.15,532.25,519.35,504.5,489.7,476.75,463.9,451.95,439.75,429.05,419.5,412.15,405.3,398.4,391.45,381.55,373.75,365.7,360.05,354.95,349.45,344.3,342,337.1,332.95,329.75,325.65,319.7,315.65,311.05,307.2,303.35,299.45,295.3,291.05,286.85,284,280.5,275.85,271.1,266.7,263.35,259.95,257.35,254.6,251.6,249.75,248.45,248.1,247.65,246.7,245.45,244.5,243.6,242.65,241.85,241.2,240.5,238.6,238.85,239.65,239,238.1,237.15,237.4,236.15,234.6,235.15,232.75,229.95,226.8,224.3,220.85,219.9,218.6,217.2,215.6,214,211.9,210.7,208.3,206.55,204.45,205.45,205.45,205.5,204.25,202.7,201.2,200.2,199.6,199.2,199.55,198.7,198.55,199.05,199.55,200.5,202.65,202.1,202.25,201.95,200.75,198.25,196.15,194.35,194.3,193.1,193,193.55,194.4,194.2,193.65,194.15,194.05,193.95,193.6,192.15,190.05,187.55,184.9,182.15,181.2,180.55,180.3,181,181.5,181.8,181.7,180.35,178.75,177.35,176.05,173.7,172.25,170.7,169.7,169.45,169.4,169.25,169.3,169.25,168.75,168.4,167.95,167.75,167.45,168.25,168.6,169.45,170.5,170.9,172.7,174.3,176.05,177.6,178.55,179.25,179.2,179.4,179.65,179.8,179.65,179.2,179.3,178.55,178.4,177.15,175.4,174.25,172.4,171.05,168.05,166.2,164.8,163.85,164.25,164.7,166.6,168,168.6,168.9,168.75,168.7,168.85,169.15,168.9,169,168.95,168.55,168.3,167.95,168.15,168.1,168.95,169.7,160.4,151.4,141.55,132.1,123.1,114.5,106.5,98.6,90.6,318Key_cui
5,178.65,199.6,221.7,244.1,266.65,291.15,314.25,337.1,360.6,383.15,405.9,419.05,421.55,422.4,424,426.45,428.4,427.6,426.2,426.85,426.9,424.9,421.55,417.5,413.75,408.1,404.1,401.45,399.45,398.5,396,395.45,396.25,397.4,397.85,398.85,402,403.5,407.85,410.55,413.35,416.75,420.45,425.55,430.9,435.2,440.65,446.25,451.05,456.05,462.55,468,473.6,479,485.9,493.2,499.3,507.4,514.8,523.1,531.85,540.65,549,556.3,563.9,573.35,582.05,589.65,597.5,604.6,611.5,620.6,629.95,638.15,644.5,649.6,653,655.75,656.85,656.6,654.65,654.25,653.7,652.9,650.35,645.85,638.85,631.5,621.25,610.65,602.1,589.8,576.45,563.95,552.1,541.4,531.35,518.45,505.65,491.9,480.2,466.55,454,442.05,431.75,422.45,415.25,408.45,401.75,393.7,382.6,373.9,366.5,358.75,352.2,344.75,339.3,336.9,333.05,329.25,326.4,322.7,317.05,312.5,307.1,302.8,298.45,294.8,291.25,289,287.4,284,280.25,279.75,277.75,274.05,271.25,268.75,265.6,262.95,258.45,256.05,255,252,250.75,249.45,248.5,246.85,245.9,244.3,242,242.1,241.15,236.9,234.4,234.9,232.9,230.6,229.4,229,229.2,228.85,228.6,228.95,227.85,224.95,222.1,217.8,215.85,214.65,214.4,213.1,211.75,212,212.05,211.3,210.3,209.05,208.75,208.15,206.7,204.85,203.15,202.15,200.9,201.1,201.05,201.1,199.6,197.85,196,194.6,195.15,195.2,194,192.5,192.15,192.45,191.2,189.85,188.7,188.15,187.25,186.65,186.1,185.4,184.45,185.15,186.65,188.7,190.15,190.55,189.5,188,186.35,185.65,184.25,182.55,182.8,183.85,185.35,186.5,187.85,187.8,187.65,186.65,185.45,183.1,180.35,177.8,176.15,175.75,176.2,176.55,177,176.55,175.75,174.3,173.7,173.45,173.25,173.35,173.1,173.6,174.35,175.3,176.7,178.25,179.55,182.2,184.7,186.45,186.95,188.05,188.85,189.5,190.15,190.8,190.15,188.7,187.9,186.95,185.75,183.95,182.35,180.9,179.25,177.75,176.25,173.55,172.4,171.45,171.65,170.85,169.85,168.3,167.25,166.2,165.45,165.7,164.9,164.6,164.8,164.85,164.4,164.2,163.95,164,164.8,165.15,164.3,155.45,146.2,137.45,129.2,121.35,113.25,105.45,97.75,89.65,318Key_cui
6,179.3,200.25,222.3,244.4,266.45,288.75,311,334.2,357.8,379.95,402.65,415.35,418.5,420.2,422.1,423,425.15,424.35,422.4,422.85,423.6,422.1,418.65,414.85,411.4,408,406.9,403.5,401.2,400.65,398.1,397.35,397.25,398.05,398.45,399.85,401.25,403.1,407.05,409.95,412.4,415.45,419.3,424.15,429.6,434.3,437.95,444,448.95,453.9,460.05,466.35,472,478.05,485.05,493.05,500.95,508.35,514.15,521.05,529.6,537.05,545.8,555.45,563.75,572.55,580.4,588.15,596.05,604.45,611.95,621.15,630.55,638.05,644.45,649.3,653.1,655.8,659.2,660.4,658.55,658.6,657.5,654.9,651.85,647.35,640.9,633.4,623.3,611.5,600.8,586.85,574.6,562.3,550.45,539.4,529.65,517.65,505.1,491.95,478.8,465.8,452.95,440.35,430.75,421.75,414.8,408,401.15,394.1,386.1,378.45,369.7,361.95,355.1,347.85,342.2,339,333.7,328.85,326.35,321.75,317.1,313.4,307.65,301.45,296.1,291.75,287.7,284.15,281.5,278.55,275.05,272.55,269.4,266.35,263.05,260.85,259.95,259.65,256.7,255.1,253.45,250.25,249.4,250.8,251.05,250.05,249.9,248.6,246.7,246.2,245.5,244.4,243.25,241,238.5,236.55,233.85,231.25,230.15,228.95,228.75,229.05,226.7,223.7,220.7,217.9,216.2,214.55,212.5,210.05,208.15,206.05,205.55,206.65,205.95,204.15,202.55,200.9,198.85,197.05,195.4,194.05,193,191.1,189.4,189.05,187.7,187.95,190.4,193.3,195.95,197.8,198.15,197.35,197.25,197.15,197.75,197.8,197.85,198.2,197.4,195.6,195.15,196.15,197.8,197.9,199,199.15,197.8,196.25,194.65,193.1,190.3,188.85,187.65,186.2,185.45,185.8,186.95,188,188.85,190.1,189.45,187.85,185.4,182.95,179.75,177.85,176,174.8,173.4,172.9,173.4,172.95,172.35,171.85,171.8,171.55,171,170.5,170.3,170.35,170.75,171.6,172.4,173.5,175.45,177.55,180.5,183,185.8,187.25,187.5,187.35,187.05,186.25,185.5,185.1,184.9,184.2,183.05,181.85,180.85,179.5,178.15,176.6,174.9,172.9,171.65,168.95,166.35,164.45,164.15,163.7,163.5,163.3,162.95,162.5,162.2,161.8,161.95,162.2,162.75,163.75,164.25,164.3,164.65,164.85,163.4,155.4,147.4,139.6,131.25,123.35,115.15,107.1,99,91.05,318Key_cui
7,178.45,198.8,220.3,242,263.9,286.1,308.15,330.45,354.1,375.95,398.7,411.85,414.9,416.1,417.35,418.85,422.3,421.7,419.6,420.75,421.75,420.4,417.3,413.7,410.35,407.15,404.4,402.35,399.85,399.35,397.35,396.75,396.4,397.55,398.35,399.6,399.45,401.2,405.6,407.55,410,413.65,417.6,422.7,428.05,432.75,438.25,443.85,447.7,452.45,458.05,463.35,470.05,476.05,482.85,490.2,498.05,506.25,514.2,522.75,531.5,540.45,549,556.9,564.5,572.95,581.25,589.4,598.7,607.5,615.35,625.3,634,641.4,648.1,653.5,657.7,660.4,661.8,661.8,660.95,658.25,657.55,654.45,651.7,647.1,640.45,632.6,622.2,610.4,601.35,588.6,576.05,564.2,551.85,540.75,530.6,518.5,505.8,491.55,477.7,465.95,453.4,443.05,433,424.75,417.9,411.3,403.8,396.15,384.85,375.95,367.05,359.95,353.8,347.35,341,337.3,332.6,327.65,324.2,320,314.5,310.4,305.35,300.65,296.35,292.55,290.2,287.35,285.35,282.1,278.75,277.35,275.8,273.55,271.35,269.5,269.05,269.95,268.1,266.05,264.65,262,260.15,256.15,253,250.15,247.2,244.85,243.25,243.2,243.75,240.85,238.75,237.15,235.9,234.65,231.35,227.55,224.35,221.95,222,222.15,221.35,221.9,221.3,219.3,219.25,218.8,217.95,215.7,212.7,209.9,208.15,206.4,204.2,199.45,196.45,195.3,196.15,196.25,194.45,192.6,190.95,189.05,186.75,184.85,182.35,180.3,179,178.4,178.95,180.1,179.4,178.3,177.7,178.85,180.45,180.95,179.7,179.3,178.25,178.3,178.7,179.45,181.1,183.1,183.95,184.8,185.05,186.4,186.15,185.4,184.3,184.1,183.25,182.4,182.2,183.1,185.35,187.35,189.25,190,189.9,189.5,188.4,186.95,185.9,185.2,185,183.1,183.05,182.55,181.95,181.15,179.95,178.65,177.1,175.6,173.1,170.95,169.55,168.35,167,166.2,165.55,165.25,166.55,168.2,169.3,170.85,171.05,171.6,171.85,171.55,171.65,171.95,172.1,171.75,172.35,172.25,171.6,171.05,170.55,169.45,168.3,167.35,166.25,164.6,164.8,165.1,166.5,167.65,169.8,172.3,173.85,174.75,175.45,175.6,175,175,175.2,175.05,175,175.55,175.4,175.35,174.85,175.1,173.85,164.65,154.7,144.95,134.85,124.15,114.3,105.15,96.4,88.5,318Key_cui
8,179.4,199.5,220.85,242.3,264.3,286.75,310.65,332.75,356.05,377.85,399.9,412.55,415.6,417.05,418.05,419.4,420.5,419.5,417.5,418.3,418.25,417.65,415.25,412.55,409.6,406.45,402,400.05,398.15,397.9,396.25,395.85,395.75,396.5,397.3,398.9,401.05,403.2,406.25,408.55,411.85,415.4,419.1,423.5,428.5,432.3,437.6,443.4,448.25,453.4,459.5,465.5,471.6,477.2,484,491.15,499.1,506.6,515.85,524.7,532.85,541.15,549.55,557.4,566.05,575.6,583.55,590.7,598.7,606.7,615.15,623.45,632.4,641.45,648.4,654.1,657.95,661.1,662.1,661.6,660,659,658.4,657.45,654.05,649.9,643.7,636.6,626.5,614.85,604.8,593,580.8,568.15,556.1,544.95,534.95,522.25,509.65,496.25,483.5,469.85,455.85,443.75,432.9,422.5,414.95,408.75,401.75,394.45,383.65,374.9,366.05,357.3,349.35,341.95,335.85,332.75,329.1,325.75,323,319,314.15,309.7,304.75,301.45,297.05,293.05,289.65,286.45,284.55,281.7,277.95,275.95,272.7,271.15,269,266.45,264,261.1,257.15,255.2,254.8,252.55,251.75,250.15,249.7,247.85,246.35,244.6,243.1,243.1,242.5,239.85,240.45,239,237,235.5,233.2,233.2,232.5,230.9,230.8,230.55,230.5,228.55,226.3,223,221.35,220.25,219.8,218.85,218.45,217.35,216.05,215.05,213.5,211.35,210,208.35,207.75,207,205.3,203.55,200.4,198.75,197.35,196.75,194.9,193.1,190.75,188.65,188.25,189.65,189.1,188.2,188.35,187.95,187.75,188,187.8,187.6,186.25,186.25,186.25,186.35,185.95,186.6,188.6,191,193.85,196.5,197.75,198.55,199.65,199.95,199.65,198.75,199.05,199,199.35,199.85,200.7,199.8,198.85,197.35,196.1,193.45,190.7,188.25,185.8,183.2,180.5,177.85,174.75,172.4,169.95,168.8,167.85,166.85,165.7,165.4,165.95,167.6,169.85,172.55,174.4,177.2,179.95,182.55,184.25,185.65,186.85,187,187.4,187.05,187.55,187.05,186.8,186.3,186.65,186.35,184.8,183.05,180.4,177.3,174.8,171.9,169.25,166.85,166.4,165.25,164.5,164.6,164.4,164.45,163.5,163.3,163.45,163.5,163.25,162.8,162.95,162.3,162.1,162.3,162.5,162.95,162.55,162.75,162,153.75,145.6,137.45,129.3,121.3,113.45,105.65,97.05,88.9,318Key_cui
9,178.95,199.7,221.05,242.95,264.95,286.6,308,330.55,353.7,376.3,399.1,411.85,414.75,415.9,417.9,419.5,418.2,418.65,417.25,417.6,418.6,417.05,413.9,409.85,406.4,403.85,401.8,399.15,395.8,392.9,389.95,389.75,390,391.2,391.55,392.6,394.65,397.45,402.15,405.35,407.85,411.4,415.85,421.2,426.6,431,436.15,441.95,448.4,455.2,462,467.55,475.65,481.6,488.8,496.25,503.6,510.5,517.95,526.05,532.8,541.2,549.6,559.8,568.2,577.1,585.8,593.3,601.25,609.45,617.05,626.25,633.65,641.25,647.4,652.05,655.75,658.95,660.45,660.75,660.8,659.85,659.25,655.9,652.6,648.05,641.35,634.1,623.7,611.95,602.9,590.35,575.8,563.7,552.25,541.75,531.8,519.2,507.85,494.65,481.25,468,455.2,442.7,432.1,422.4,414.95,408.55,401.6,394.2,383.25,374.4,367.35,359.35,352.15,344.85,338.95,335.4,328.8,323.7,320.9,316.4,310.05,305.55,299.4,293.85,289.35,283.1,278.6,274.4,271.95,268.85,265.6,263.7,261,258.55,255.65,253.8,252.35,249.8,246.35,244.9,244.75,242.6,242.3,241.9,240.1,240.15,240.1,239.8,238.7,237.7,236.9,233.85,232.4,231.8,229.35,223.85,219.3,216.7,214.15,211.15,210.6,210.5,209.3,208.5,206.9,204.5,203,202.5,202.4,202.4,201,200.25,199.65,198.9,198.55,200.55,201.85,202.55,202.7,202.65,201.2,199.6,198.2,196.35,194.85,193.25,190.55,190.35,189.75,190.8,193.35,195.65,196,195.55,195.25,194.05,193.85,193.85,194.15,194.45,193.3,193.35,193.65,194.2,195.4,196.8,199.25,198.4,197.55,195.05,192,188.95,186.3,183.45,180.85,179,178.8,179.45,180.15,180.7,181.9,181.95,181.45,179.7,176.95,174.6,171.95,170.35,169.15,168.75,168.85,169.25,169.65,170.4,170.95,170.85,169.7,168.55,167.85,167.4,166.95,166.95,167.6,170,172.85,173.95,175.65,177.7,179.4,180.4,181.15,182.2,182.7,181.85,181.25,181.3,181.2,180.8,180.05,179.6,178.5,177.1,175.65,173.25,170.3,168.6,167,164.95,164.6,165,165.25,164.5,163.5,163.6,163.4,163.4,163.65,163.7,164.1,164.05,164.2,164.45,165.45,166.35,167.7,168.6,168.7,168.75,167.45,158.2,149.1,140.55,132.55,124.5,116.65,108.6,100.45,92.55,318Key_cui
