,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,Objects
0,181.45,200.35,218.45,236.95,255.8,275,295.3,318.1,340.65,363.65,387.05,403.3,411.2,417.5,421.55,425.1,428.4,428.45,430.25,431.75,434.1,435.45,437.6,439.1,440.6,441,440.4,438.1,436.55,434.35,430.8,425.45,418.85,412.35,406.6,401.05,395.7,393,392.05,390.9,389.15,388.45,389,388.75,388.85,389.85,390.6,391.5,392.6,394.25,395.95,398.6,403.15,407.9,413.1,419,424.5,427.85,432.4,437.3,441.65,446.05,449.25,454.65,460.7,466.9,472.85,480.4,487.25,494.25,501.7,509.05,516.5,526.65,534.85,544.3,554.2,564.95,575.4,586.95,598.65,610.35,621.65,631.95,641.95,653.2,666.1,676.4,688.65,701.95,713.15,726.85,739.6,749.6,760.2,767.8,775.25,781.2,787.35,789.5,792.1,794.6,796.8,798.95,798.3,796.15,790,783.5,772.6,759.25,747.7,732.8,718.85,703.6,689.45,676.65,662.7,648.35,628.95,610.9,595.5,577.9,559.95,543.35,528.25,513.55,501.25,489.6,477.4,465.2,453.65,442.4,430.25,420.2,410.3,399.85,392.3,384.1,377.4,370.6,361.85,355.05,349.35,342.2,337.35,331.9,327.2,322.3,318.2,314.35,310.35,307,303.8,299.3,295.7,293.25,288.35,285,282.55,279.85,276.05,273,271.55,268.95,264.45,260.55,256.75,253.05,251.4,249.35,248.65,248.05,247.55,245.75,243.65,241.25,240.05,238.7,236.4,235.55,235.45,234.85,233.15,233.2,232.85,231.9,230.6,227.15,223,219.8,215.35,211.35,208.4,207.6,206.35,205.25,203.85,200.9,199.7,198.5,197.3,196.1,195.15,194.65,194.65,195.15,194.7,196.75,199.45,202.2,204.95,207.35,208.55,209.3,208.5,207.5,207.05,208.15,209.3,210.8,211.95,213.7,214.65,213.6,212.35,211.7,212.15,212.05,210.2,207.4,205.2,202.7,200.1,198.05,196.1,194.95,193.55,192.15,190.65,189.25,187.8,186.5,185.35,185.4,185.9,185.85,185.45,185.1,186.9,189.15,190.7,192.55,193.95,194.35,194.6,193.85,193,191.8,190.65,188.9,187.55,186.25,184.65,182.7,180.6,179.15,177.2,174.8,172.3,170.6,171.15,170.75,170.15,169.1,169.25,168.65,168.2,168,167.65,168,168.2,167.85,168.1,168.6,168.75,167.75,166.9,167.15,167.2,166.75,164.45,154.95,146.2,138.2,129.95,122.25,114.1,106,98.2,90.15,AirPods
1,181.35,199.6,218.4,236.85,255.7,275.15,295.75,318.5,340.95,363.05,387,402.95,410.55,417.2,422.35,425.55,427.8,428.1,429.65,431.65,434.9,437.5,438.45,440.35,442.05,442.3,441.6,439.1,437.95,436.55,432.8,427.1,423.55,418.05,412.55,408.1,404.2,400.9,399.95,399.2,396.85,395.1,394.2,393.5,393.15,393.6,393.7,394.55,395.4,397.15,398,401.2,402.55,406.55,411.55,416,420.55,424.65,429.3,434.2,439.2,444.05,449.45,456.55,461.4,468.4,474.65,482.35,489.6,496.3,504.75,512.2,520.1,527.75,535.95,545.9,557.1,567.7,578.15,588.95,600.45,612.15,623.9,633.35,644.8,655.55,668.55,679.55,691.75,705.45,716.3,729.25,741.4,753.25,763.05,771.95,779,784.15,788.95,791.9,794.85,799.05,802.1,804.85,805.2,803.2,798.3,791.55,780.25,767.05,754.95,740.2,727.15,712.75,698.8,684.5,669.95,656.05,637.4,618.5,601.8,582.15,562.85,544.95,529,514.3,500.95,487.1,473.75,461.35,449.2,441.8,430.25,419.6,409.6,399.35,390.75,383,376.3,369.75,360.65,354.7,348.9,341.85,335.9,329.95,324.9,322.5,321.55,318.05,315.45,307.95,303.05,298.15,294.4,291.15,287.2,283.15,280.55,277.7,276.65,272.85,271.1,268.85,264.85,260.95,256.5,251.95,248.4,245.6,242.85,241.05,240,238.1,235.85,234,232.5,231.2,229.25,227.45,224.05,222.25,220.25,219.65,220.05,219.65,219.1,217.65,214.9,213.2,210.95,208.4,205.65,205,202.65,201.4,200.1,197.7,196.3,196.6,198.65,201.15,201.8,201.8,201.45,201.55,201.55,201.85,203.4,204.75,206.9,208.55,209.65,209.55,208.75,206.55,204.35,203.75,204.05,204,202.7,200.95,199.75,198.25,197.1,195.95,195.85,194.25,192.05,189.95,187.65,186,184.55,183.4,183,182.75,182.05,180.75,180.1,179.7,178.95,178.8,178.4,178.5,178.15,178,177.65,179.05,180.8,182.5,183.1,183.9,184.85,185.5,185.8,187.55,190.45,192.15,192.45,191.7,190.75,189.75,188.5,186.8,185.75,183.95,181.5,178.6,175.85,173.7,174.3,174,173.15,172.55,172.4,170.1,166.9,165,163.8,163.1,163.15,163.05,162.8,162.35,161.8,161.95,162.25,162.25,163.65,164.25,163.85,155.3,147.35,139.1,131.05,123.05,115.1,107.05,98.95,91.25,AirPods
2,188.25,207.55,226.3,244.2,262.1,281.4,302.05,324.6,347.05,368.65,392.15,408.25,415.4,420.2,421.95,424.6,427.75,428.3,429.7,431.25,433.05,434.15,435.65,437.95,439.75,440.15,439.35,436.75,435.3,434.65,430.85,425.9,420.35,413.9,408.45,402.4,396.55,393.3,391.9,390.75,388.9,387.95,387.3,387.35,388.4,388.9,389.35,390.75,391.85,393.05,394.85,397.25,400.15,405.7,410.65,416.6,422.35,426.15,431.1,435.85,440.6,445.35,451.3,455.65,461.2,467.4,473.35,480,487.05,494.65,502.45,510.35,518.85,525.85,534.65,544.15,554.9,565.35,575.95,587.2,598.7,610.5,621.3,632.45,642.35,655,668.05,679.4,690.7,703.15,713.75,726.6,738.95,751.7,761.2,768.85,775.5,781.25,786.8,789.55,792.7,795.5,797.45,799.6,799.75,796.7,791.4,785.05,774.95,761.75,749.9,735.1,719.5,704.4,690.6,676.85,662.9,648.75,629.75,614.4,598.05,579.4,560.95,544.15,528.6,513.65,501.2,489.35,477.35,465.45,455,444.35,436.25,426.3,416.55,407.1,399.2,391.65,384.9,374.7,365.45,358.8,353.15,346.1,341.05,336,331.05,326.45,322.3,318.35,314.95,311.65,308.5,304.65,301.6,298.15,293.65,289.65,287.2,285.05,282.25,281.5,280.65,278.6,274.55,270.2,265.1,260.4,258.2,255.1,250.85,247.95,243.8,240.75,237.55,234.6,232.75,230.95,228.4,226.85,225.7,221.95,217,214.85,214.05,212.65,212,209.8,206.7,204.75,203,201.05,199.7,199.3,199.05,199.1,198.2,196.25,195.6,194.95,194.7,195.15,195.5,195.75,195.75,196.45,196.55,198.25,200.5,202.45,204.35,206,206,205.75,203.55,201.9,201.6,201.6,202.2,203.75,205,206.2,208.5,209.25,209.5,208.9,208.95,208.7,207.9,207.9,206.9,206.35,205.95,204.5,203.7,203.15,200.7,199.4,198.15,197,196,194.9,193.35,192.05,190.3,188.85,187.95,186.95,186.35,186.6,187.05,186.65,186.85,187.2,187,186.65,186.2,185,183.75,182.2,181.65,179.95,178.35,176.5,175.3,174.75,172.65,170.65,169.15,167,167.05,166.9,166.2,165.65,165.95,165.45,165,165.5,166,165.85,164.4,164.3,164.35,164.9,164.85,164.8,164.85,165.3,165.3,165.7,165.35,156.4,147.9,139.7,131.65,123.8,116.1,107.55,98.9,90.85,AirPods
3,180.2,198.65,216.75,234.6,253.5,272.95,293.15,316.25,338.75,360.55,384.45,400.55,407.95,414.3,419,423.65,426.9,427.85,430.55,432.6,435.5,436.95,438.35,440.5,441.8,442.1,441.3,437.9,436.3,435.25,431.35,426,420.05,413.4,407.45,401.95,397,393.7,392.65,391.95,389.95,389.1,388.6,388.6,388.05,388.6,389.35,390,390.85,393.15,394.7,396.75,400,404.4,409.85,415.2,419.75,424,428.6,432.4,437.4,442.7,448.25,453,459.45,466.45,472.9,480.8,488.05,494.35,502.2,510.2,518.2,526.35,534.5,543.6,553.75,564.05,573.55,585.1,596.4,607.55,618.85,630.05,640.25,651,663.75,674.85,686.95,700.05,710.5,723.75,736.65,748.75,759.3,768.35,776.15,781.65,788.3,790.8,793.25,796.4,798.95,801.45,801.7,799.8,794.6,789.5,778.55,765.8,754.2,739.75,726.35,712.05,697.65,683.15,668.65,654.6,635.7,618,601.75,583.65,565.45,548.2,532.8,517.95,504.95,491.95,479.85,466.9,455.7,443.9,430.8,420.15,410,400.25,391.8,383.75,376.1,368.8,361.2,354.3,348.2,341.45,333.7,327.75,322.45,317.45,313.9,310.1,305.6,301.85,298.55,292.95,289.35,286.95,283.55,280.1,278.25,276.05,272.4,269.7,268,265.2,263.1,260.4,256.85,252.85,249.8,247.25,244.4,241.65,241.3,240.6,239.75,236.35,233.5,230,227.3,226.5,224.8,223.1,220.3,219.4,218.8,217.35,215.95,213.25,210.75,208.5,206.9,205.35,202.65,201.25,198.85,198.6,198.25,197.25,196.2,193.7,192.25,191.25,190.2,188.85,188.65,188.15,188.7,190.45,192.55,194.7,196.35,197.65,197.05,195.7,194.6,192.85,191,190.6,190.85,191.85,193.85,196,197.2,197.45,197.7,197.45,195.65,193.7,191.2,189.05,187.2,186,185.6,185.45,183.65,181.8,180.6,179.8,178.3,176.9,175.3,173.35,172.45,171,169.1,168,168,168.65,170.9,173.75,176.15,177.9,178.6,178.8,179.9,180.4,180.4,180.2,180.05,179.9,179.25,178.55,177.45,177,176,175,173.5,171.8,170.7,168.95,168.05,167.1,166.2,166.25,165.75,165.6,165.5,164.85,165.2,165.2,165.7,165.85,166.2,166.55,166.6,166.45,166.5,166.4,165.15,165.05,164.95,156.15,148,139.85,131.75,123.8,115.8,108.1,99.75,91.75,AirPods
4,183.75,202.65,220.7,238.55,258.6,278.55,299.25,321.95,344.8,366.35,389.95,405.7,412.55,417.8,421.75,425.25,427.95,429,431.5,432.3,434.25,435.45,437.5,439.35,439.15,438.75,437,434.15,432.25,431.25,427.8,422.9,416.9,411.65,406.4,401.25,396.65,393.6,392.2,391.3,389.7,389.25,388.6,388.9,389.3,390.1,392,393.2,394.5,396.55,397.9,399.75,403.15,407.25,412.25,417.7,422.2,425.6,429.85,434.05,438.6,442.85,447.9,453.35,459.35,465.55,471.95,479.6,486.4,493.3,500.95,508.9,516.95,524.65,532.95,542.6,553.7,564.35,575.2,586.8,598.45,609.55,620.65,631,641.35,652.45,664.55,675.3,688.05,701.25,712.15,725.95,738.55,750.55,760.25,768.55,774.85,781.9,788.85,792.6,796.05,800.7,804.25,807.4,807.75,805.9,800.8,795,783.75,770.35,758.75,743.6,730.1,716.05,702.6,688.95,674.9,659.9,640.1,621.2,604.55,585.7,566.55,548.35,532.65,518.15,505,492.6,480.2,469.4,460.55,450,438.95,428.65,418.05,408,400.4,393.05,385.35,378.3,369.55,362.5,356.35,349.8,344.25,337.5,331.6,325.6,320.4,314.65,307.25,302,296.25,290.2,287.05,284.8,280.9,277.05,274.75,271.95,268.45,265.65,262.5,259.55,255.4,252.65,248.95,245.4,243.75,241.25,239.7,238.4,237.35,236.55,234.25,230.2,227.1,223.45,221.3,220.8,220.8,220.7,220.95,220.5,219.6,218.85,218.25,216.05,213.65,211.8,209.5,208,208.25,209.65,208.3,206.8,204.1,201.25,199.05,196.7,194.05,191.7,188.6,187.25,187.1,186.95,187,188.2,189.9,191.3,192.45,192.1,189.85,186.05,183.8,183,182.9,183.5,184.4,185.25,187.55,189.85,192.8,193.35,193.55,193.95,193.65,193.4,193,193.5,194.5,195.55,195.25,195.35,195.35,195.75,196.35,196.5,196.45,196.75,195.95,194.8,193.7,193.6,192.2,190.85,190,188.75,188.25,188.3,188.8,188.95,190.5,191.25,192.3,191.65,191,190.1,189.3,187.85,186.1,184.5,182.65,181.15,179.95,178.7,177.6,176.5,174.9,172.65,171.15,170.1,168.6,167.6,166.65,166,165.55,165.3,164.75,164.7,164.85,164.8,164.9,164.45,164.15,163.7,163.05,162.85,162.95,164.25,164.35,155.65,147.6,139.45,131.3,123.45,115.2,107.25,99.3,91.2,AirPods
5,178.85,196.95,214.95,233.4,251.9,271.35,291.1,313.75,336.55,359.05,382.9,398.8,406,412.05,416.9,421.6,426.25,427.05,429.4,430.65,433.35,435.75,437.9,439.75,443.1,443.55,443.95,441.8,440.2,438.5,434.95,430.15,424,417.3,411.15,405.2,399.15,396.55,396,396.05,394.95,394,392.9,392.1,390.8,391.05,391.2,392.1,393,394.95,396.45,399.85,403.45,408.5,414.1,420.05,425.55,429.5,433.3,437.05,441.1,445.3,450.6,456.9,462.05,468.75,474.35,481.4,488.6,495.1,502.75,509.45,517.55,525.1,534.45,543.7,554.25,564.7,575.3,586.95,598.7,610.45,621.8,632,642.45,653.45,666.6,677.4,689,702.5,714.1,727.95,740.65,752.55,760.85,768.3,775.4,781,786.75,789.2,792.1,796.3,800.05,803.1,803.55,801.7,797.2,791.2,780.55,766.95,754.35,738.5,724.4,710.25,697.05,683.55,669.05,654.6,635.25,618.4,602.05,583,566.6,549.3,533.05,517.95,504.45,492.15,479.9,468.05,456.9,446.8,435,424.7,414.55,405.05,396.95,389.9,383.4,374.75,366.05,359.4,350.75,342.95,337.55,332.35,327.85,323.65,320.1,316,311.1,307.25,306.45,302.95,299.95,296.9,293.2,288.55,285.2,282.65,279.4,276.05,273.65,271,267.3,263.25,258.2,253.25,250.15,247.8,245.5,242.5,237.35,234.75,231.4,228.75,226.15,223.8,222.45,222.3,221.45,220.1,218.75,218.6,217.9,217.05,215.85,214.1,212.6,211.1,209.7,207.75,207,205.75,205.7,204.7,204.1,203.25,202.55,201.1,200.55,200.45,198.45,197.45,197.6,197.75,198.85,199.6,200.85,201.1,201.85,202.55,201.25,199.2,196.25,193.75,193.05,193.1,194.1,195.4,197.3,199.15,201.45,201.6,201.9,201.6,201.1,200.8,199.75,199.6,198.4,197.5,197.45,197.5,197.5,197.7,195.55,193.4,191.2,189.5,187.9,186.7,185.9,186.45,186.35,186.6,186.6,185.5,186.2,186.45,187.85,189.3,191,192.8,193.85,195.1,196,196.55,196.75,195.85,194.25,192.45,190.15,187.1,184.1,181.15,178.4,177.05,174.4,172.85,172.6,172.2,172.05,171.2,170,168.7,167.55,166.35,165.1,165.1,165.5,165.4,165.45,165.5,165.55,166.25,166.55,167.7,167.95,167.9,167.4,158.4,148.65,139.75,131.8,123.65,115.7,107.75,100,91.75,AirPods
6,179.95,198.1,216.5,234.55,253.05,272.45,292.2,314.75,336.4,358.4,382.45,398.95,405.3,410.85,417.35,422.2,425.55,426.35,428.25,429.95,433,435.2,436.95,438.5,440.3,440.35,439.95,437.3,436.45,434.95,430.75,425.2,419.65,416.1,408.75,402.65,397.3,394.25,393.9,393.15,391.4,390.3,389.45,389.15,388.85,389.8,390.8,392.4,392.3,394.45,396.1,398.4,402.15,404.3,409.2,414.6,419.8,424.5,428.55,432.55,437.35,442.1,447.15,453.25,458.85,465.1,470.65,478.2,487.35,494.65,502.45,510.4,518.05,525.65,533.55,543.4,554.8,562.95,572.35,584.25,596.75,608.1,619.15,630.4,641.25,653.05,666.5,677.1,688.75,702,712.85,725.7,738.85,751.25,761.75,769.55,775.7,783.15,790.6,794.2,796.35,799.75,802.9,804.35,804.5,802.05,797,791.4,780.45,769.1,758.55,744.2,731.1,716.7,702.7,689.4,675.35,661,641.15,622.55,605.9,587.85,569.1,552,535.65,520.95,507.8,494.8,482.9,468.45,456.15,444.95,431.9,421.25,411.1,401.3,393.6,385.6,377.55,369.95,361.05,353.15,349.1,342.15,336.35,330.05,324.2,319.6,315.1,310.95,306.35,301.8,297.95,292.2,288,284.65,279.5,275.7,273.55,270.8,268,265.85,262.7,260.9,258.35,255.9,252.95,248.65,246.3,244.05,241.95,240.5,238.45,237,233.2,230.05,228.2,226.75,225.7,225.35,225.25,224.95,223.45,222.25,221.25,219.4,217.85,215,212,209.5,206.55,204.35,203.8,204.55,206.1,206.15,206.1,204,203.25,202.3,200,197.65,194.55,193.25,193.05,193.75,193.6,195.15,196.95,197.95,199.65,200.45,199.2,196.7,193.8,191.85,189.95,189.75,190.25,191.55,193.85,196,197.95,198.25,197.35,196.35,196,194.85,193.3,192.25,190.75,189.55,189.1,188.5,188.15,187.15,186.2,184.35,181.6,178.5,175.75,174.3,173.95,173.3,172.7,171.75,171.3,172.2,173.85,175.7,178.2,180.9,183.05,184.45,185.25,185,184.3,184.6,184.6,184.5,184.45,183.9,182.25,180.9,179.85,178.7,177.05,174.5,171.9,171.55,170.7,169.35,169.4,170.45,171.45,172.1,172.3,171.7,171.4,171.65,171.65,171.5,171.6,171.5,171.4,171.4,172,171.9,172.2,170.1,169.7,160.45,150.4,140.3,130.75,122.2,114.15,106.2,98.5,90.45,AirPods
7,183,201.2,219.35,237.4,257.7,278.1,298.75,321.55,344.75,367.25,391.2,407.5,414.45,420.45,426.75,431,434.25,435.25,436.7,437.8,441.2,443.6,445.75,448.25,447.65,447.5,446.85,444.6,442.15,440.15,436.05,430.25,424.85,418.05,409.9,406.75,403,399.9,399.65,399.1,396.85,395.65,395.2,394.75,395.45,395.25,395.3,396.3,397.7,399.7,401.3,404.25,407.65,412.45,418.15,420.9,424.85,429,432.6,436.25,440.95,445.75,450.05,454.6,459.3,466.25,472,476.55,483.3,490.55,496.85,504,511.95,519.85,528.3,537.8,548.3,558.65,569.4,581.15,592.4,603.95,615.05,626,637.45,648.35,661.7,674.9,688.1,701.05,713.5,727.3,739.8,752.25,762.3,770.25,776.6,782.3,788.05,791.15,794.95,798.25,801.6,804.95,805.4,803.6,799,793.4,781.65,768.55,756.55,741.25,727.5,713.95,699.75,686.15,672.2,657.5,638.25,619.35,602.3,584,565.35,547.85,531.75,516.8,503.65,491.1,479.1,466.3,455.45,445.05,434.8,423.9,412.05,402,394,386.5,380.6,373.75,364.65,357.95,351.85,344.15,338.55,333.1,328.35,323.7,319.65,316.25,311.8,307.6,302.9,297.35,295.2,292.25,289,286,282.15,278.95,276.05,273,271.5,268.8,264.7,259.75,254.65,250.15,248.3,245.7,242.8,240.35,237.05,234.3,231.7,229.1,226.2,223.55,221.85,221.85,220.95,219.3,217.75,217.85,218,218,217.1,215.95,212.85,210.75,209.5,208.4,208.1,209.4,209.5,209,207.2,204,202.5,201.1,199.95,199.05,196.3,194.4,193.35,193.45,194.1,194.45,196.55,198.35,200.3,201.35,201,199.15,196.25,194.25,192.9,192.8,192.7,192.9,195,196.7,199.25,200.8,201.65,201.3,200.95,200.25,198.9,198.65,198.85,198.45,198,197,196.45,196.05,196.05,197.6,198.75,199.55,199.4,200.4,200.45,200.1,200.2,200.45,200.05,200.4,201.25,202.45,202.15,202.55,203,204.4,206,206.3,205.5,203.35,200.95,199.7,197.75,194.65,191.85,189.05,185.8,183,180.75,178.05,175.05,171.85,170.5,168.7,167.45,166.05,164.5,163.5,163.5,163,163.2,162.1,161.45,161.5,161.9,162.25,162.4,163.3,165.75,168.4,170.55,171.8,172.1,163.85,155.85,147.85,140.15,132.25,124.2,116.4,108.2,100.15,AirPods
8,178.9,197.2,215.4,233.7,252.25,271.8,292.3,315.4,338.2,359.95,384,399.85,406.85,412.65,417.6,421.75,426,427.1,428.4,429.55,432.5,434.4,436.3,438.5,440.15,441.75,440.3,437.2,435.2,433.95,430.05,425.65,420.1,414,408.5,403.5,398.85,395.9,394.9,393.7,392.25,391.6,390.75,390,389.85,390.85,392.3,393.45,394.8,397.4,398.95,400.85,403.8,408.35,413.4,418.45,423.1,426.15,429.85,433.5,437.75,442.5,447.65,453.15,459.25,464.05,469.35,476.75,483.8,490.1,497.85,506.5,514.95,523.25,531.95,541.95,552.85,563.75,574.95,587.6,599.1,610.05,621.2,631.85,642.7,653.75,667.15,678.2,690.6,702,712.75,726.45,739.1,750.75,760.65,768,774.15,780.1,786.2,788.65,791.7,795.65,798.95,801.2,800.85,798.85,793.4,786.9,775.6,764.2,752.2,735.65,721.5,707.15,693.6,680.5,666.45,652.2,632.5,614.45,598.25,579.6,563.1,546.25,529.8,513.6,501,488.8,476.95,464.6,454.1,443.15,431.15,420.8,410.7,401.1,393.15,385.6,378.55,371.3,362.25,355.6,347.4,339.75,334.65,328.05,321.45,316.3,311.8,308,303.65,300.3,296.6,290.75,283.9,280,274.7,270.9,269.5,268.6,266.25,263.05,261.25,260.1,257.35,257.1,255.05,252.05,250.5,248.1,246,244.4,242.8,241.8,242.05,240.15,239.05,236.15,233.3,230.7,230.2,229.05,227.55,226.1,225.3,223.7,221.1,217.7,215.55,214.4,211.95,209.2,207.95,208.6,208.6,207.6,207.2,205.2,203.8,202.1,199.45,198.35,195.45,193.9,192.55,192,193.35,195.2,195.85,196.5,198.15,200.4,201.35,200.55,199.35,198.8,198.35,199.5,201.7,204.05,206.35,208.75,210.95,211.45,212.1,211.6,210.25,208.15,205.55,203.3,200.8,198.1,195.75,193.8,192,189.85,187.65,185.4,182.4,179.9,177.45,175.2,173.95,173.1,173,173.95,175.05,176.65,179.15,181.4,184.05,187,189.45,191.85,194.05,195.1,195.35,195.3,195.05,194.4,193.85,193.2,192.2,191.3,188.3,185.4,182.8,180.35,177.8,177.05,177.25,175.95,173.8,171.45,169.35,168.3,167.65,167.55,167.15,167.3,167.8,168.1,169.65,170.45,171.05,170.8,170.45,170.25,170,168.55,166.8,157.2,148.9,140.7,132.65,124.6,116.4,108.3,100.55,92.65,AirPods
9,183.5,202.4,220.85,239.4,258.6,278.65,299.35,322.1,344.9,367.5,391.55,408.05,415.95,421.85,425.15,428.9,431.45,431.3,432.8,433.6,435.75,437.25,438.65,439.85,440.6,440.15,438.9,436.95,432.3,430.2,426.5,420.85,414.7,408.55,403.5,397.75,393.8,391.35,391.05,390.2,388.45,387.7,387.25,387.15,388.05,388.9,390,389.9,392.95,394.7,397.15,399.75,403.45,408.4,413.4,418.85,424.6,428.65,432.5,436.55,441.85,446.75,451.95,458.35,463.95,470.6,476.5,484.5,493,501.1,507.85,516,523.9,531.4,540.45,550.15,561.3,572,582.75,593.8,607.1,619.05,632.7,643.25,654.15,665.3,678.4,690.25,701.95,714.9,726.55,739.85,752.85,764.7,773.85,780.85,786.15,790.35,794.9,797.25,795.9,796.4,794.8,794.1,792.35,789.4,782.6,774.4,762.05,747.4,733,717.45,702.85,687.3,669.8,655.85,641.8,627.85,608.75,591.15,576.6,559.7,542.75,526.9,511.25,496.55,484.95,473.3,461.95,450.05,440.35,429.65,417.25,407.95,401.25,391.75,383.9,376.8,369.95,363.35,354.35,347.95,342.05,334.95,327.25,321.2,315.8,311,307.15,303.4,299.05,294.4,290.85,284.6,281.55,278.75,274.85,271.1,268.9,266.1,263.7,260.9,259.6,258.45,257.45,254.35,250.25,246.35,244.05,241.55,238.7,237,235.55,234.85,232,229.15,224.5,221.6,218.95,218.65,218.05,217.65,216.2,215.25,214.55,214,213.2,211.2,209.1,206.8,205.15,202.95,201.9,202.3,202.35,201.85,203.7,202.75,203.75,203.35,203.7,202.65,200.25,197.45,196.75,196.85,196.75,196.7,197.55,199.95,202.25,204.6,204.6,203.25,200.25,198.35,196.4,195.95,195.9,196.5,196.7,197.85,199.5,202.1,203.3,203.2,203,203,201.8,199.7,197.15,194.4,193.1,192.15,192.2,192.2,192.05,191.55,190,186.8,183.85,182.55,181.8,181.85,181.55,181.4,181.6,182.7,184.45,187.5,190.3,192.75,195.25,197.65,199.15,199.45,199.15,198.55,197.25,197.8,197.7,196.4,194.95,192.25,189.15,186.35,184,181.5,178.65,175.35,174.75,175.05,174.25,172.9,172.2,171.9,171.4,170.5,170.55,170.1,170.15,170.15,169.85,169.6,169.85,170.1,169.7,169.7,169.75,169.5,168.4,158,148.25,139.1,130.05,121.35,113.05,105.15,97.3,89.45,AirPods
