,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,Objects
0,184.05,202.2,220.9,239.8,259,278.4,298.7,321.55,343.85,365.2,388,402.9,409.15,414.45,416.75,420.1,423.65,424.2,426,426.95,429.6,431.8,432.9,433.7,434.25,434.5,434.2,431.4,430.05,427.5,424.5,420.55,415.5,409.45,404.1,398.35,392.95,389.75,388.5,387.45,386.35,385.55,385.6,385.8,386.25,387.05,387.4,388.85,389.95,393.75,395.65,397.9,400.65,405.5,410.5,416.15,421.3,424.9,428.85,433.15,437.15,441.35,445.6,450.7,456.75,463.05,468.9,475.6,481.95,488.55,495.95,503.95,511.8,519.3,527.8,537.1,547.15,556.7,567,578.3,589.9,600.9,611.9,622.1,631.85,641.95,654.35,664.05,674.7,686.7,696.6,708.6,720.25,731.2,740.15,747.4,754.5,761.2,766.95,769.35,771.55,774.25,776.85,779.6,779.55,778,773.35,768.05,759.25,747.75,737.7,724.1,711.75,698.95,686.35,673.3,659.3,645.4,627.5,611.7,597.2,580.95,563.75,548.05,533.25,519.2,506.3,494.6,481.95,469.2,457.8,447.35,436,425.65,415.2,405.9,398.25,390.05,382.35,373.95,364.3,356.8,350.6,341.8,335.85,330,324.65,319.75,315.8,312.6,308.45,302.95,300.55,296.45,293.45,291.25,288.15,285.25,282.7,279.65,276.55,274,271.8,269.8,265.85,262.1,257.7,252.8,251.4,248.3,245.4,244.75,241.6,239.6,236.9,233.8,231.25,229.1,227.9,226.8,225.45,222.5,220,219.7,217.6,215.6,214.75,214.85,212,210.2,208.05,206.2,205.4,205,204.65,203.35,201.85,199.1,197.5,197.3,197.45,197.95,196.45,195.2,196.65,198.1,198.45,198.25,199.95,201.85,204.05,205.05,204.15,202,199.2,196.6,195.75,197.05,198.15,199.35,199.8,200.85,203.05,203.55,203.25,202.9,202.3,200.75,198.1,195.3,192.75,190.6,188.95,188.6,188.85,189.25,187.35,184.3,182.35,180.65,180.15,180.2,180.5,180.5,181.15,181.05,181.7,181.6,183.85,186.9,189.2,190.75,192.2,192.4,192.6,192.45,192.5,192.85,192.1,190.75,189.3,187.35,184.7,182.2,179.45,176.65,173.95,172.8,170.9,168.05,166.75,165.75,166.15,166.15,165.4,164.95,164.75,164.4,164.6,165.3,165.75,166.1,166.45,166.45,165.9,166.25,166.2,166.25,165.8,165.75,165.4,157,147.5,138.9,130.95,123.05,114.9,106.85,98.7,90.15,bowl
1,179.15,197.4,216,234,252.4,272.15,292.4,314.35,336.15,357.85,380.95,396.3,402.65,408,414.6,418.85,422.55,423.2,426.3,428.7,431.9,434.45,436,438.85,440.2,440.1,439.8,438.1,437.4,436.15,432.95,428.3,423.3,417.25,409.75,404.85,399.3,396,394.45,393.25,391.25,389.3,388.3,387.2,387.65,387.95,388.25,389.45,389.2,390.85,392.25,394.4,397.5,402.4,407.5,412.2,417.45,421.35,425.45,429.6,433.75,438.95,444,448.65,454.55,461.1,466.65,473.25,481.5,488.5,496.35,504.1,511.15,518.55,526.25,535.6,545.7,553.5,562.4,573.05,584.55,595.35,606.45,616.9,626,636.6,649.25,659.8,670.25,682.25,691.75,703.8,716.1,727.45,736.9,744.15,751.2,758.95,766.55,770.45,773.45,777.5,781.1,784.1,785.4,783.35,778.6,773,763.9,752.6,743.1,730.65,718.85,706.6,694.05,679.4,665.4,652.1,633.85,616.05,600.15,582.1,563.55,547.4,531.85,517.85,505.45,493.45,481.3,468.35,456.65,445.25,432.95,421.8,412.4,404.5,396.7,388.35,379.75,371.85,362.7,355.4,350.9,343.8,338.4,331.65,326.45,322.25,320.1,317.25,313.55,310.05,306.85,302.85,298.65,295.8,291.9,288.65,287.5,286.4,283.6,281.05,277.2,273.35,269,266.9,263.35,259.4,255.9,252.95,250.1,247.35,244.55,242.45,239.7,237.4,234.55,230.85,228.25,226.1,225.45,224.4,223.15,223.05,222.95,221.55,220.25,217.55,215.45,213.75,212.2,210.85,210.25,209.6,209.65,209,208.6,207.2,205.7,203.5,201.6,199.8,196.95,195.9,195.55,195.85,195.25,196.15,196.7,198,199.4,201.05,201.15,199.55,196.45,194.25,192.8,193.2,194.5,197.1,199.8,202.3,205.1,206.4,206.55,205.15,203.65,201.6,198.7,195.8,192.9,190.3,188.65,187.75,187.9,187.6,186.6,185.3,182.75,180.2,177.4,174.7,172.75,171,169.65,169.55,170.65,172.2,175.15,178.45,181.4,183.75,185.5,187.35,188.7,189.45,190.25,190.85,190.9,190.95,190.65,191,190.15,189.1,187.45,186.35,184.55,182.1,179,177.45,175.25,172.8,170.8,169.05,167.35,166.15,164.7,163.9,163.95,163.65,163.85,163.35,163.15,163,163,162.5,162.15,162.5,163.2,161.55,161.4,153.25,145.2,136.95,129.2,121.1,113.2,105.05,97.05,89.1,bowl
2,180.05,199.8,218.95,236.95,256.65,276.35,296.4,317.1,338.9,360.4,383.3,399.2,406,412.65,418.3,422.05,425.95,427.05,429.45,430.9,433.5,434.7,435.8,438.5,439.25,439.55,439.45,439.55,438.55,437.5,434.9,429.7,424.85,418.35,412.3,409.1,404.65,401.25,398.05,396.05,393.65,391.85,391.95,390.85,390.65,390.85,391.6,392.05,393.15,395.3,395.85,398.05,400.3,404.85,409.85,412.55,416.8,420.8,426.4,431,435.05,439.85,443.25,448.5,454.05,459.95,464.3,469.2,475.25,481.8,488.4,495.3,503.2,511.15,519.1,528.55,538.1,547.35,558.05,569.15,580.25,590.6,601.05,610.85,620.45,631.25,644.5,657.15,669.5,681.95,693.75,708.2,721.15,732.5,742.55,751,758.9,766,773.05,778.15,783.65,789.75,794.4,799.2,802.25,803,800.3,796.75,788.95,779.25,770,756.9,745.05,733,721.8,710.05,696.3,682.25,663.2,644.85,627.85,609.5,591.85,574.65,558.45,543.05,530.4,518.15,505.5,491,478.9,467.2,456.05,444.85,431.15,419.5,411.15,403.35,397.15,388.75,378.85,370.55,363.65,355.6,348.95,343.25,337.2,330.9,325.5,321.05,316.15,311.4,305.7,300.1,298.2,294.9,290.65,287.35,282.9,279.7,276.8,273.8,271.8,269.7,265.45,260.1,254.25,249.8,247.4,245.35,242.15,239.2,236.15,233.65,230.95,228.15,225.15,221.15,218.7,217.2,215.7,213.05,210.2,208.55,208.15,207.6,207.5,205.95,203.3,201.75,200.4,199,199.2,200.75,200.35,200,199.95,198.7,198.55,198.45,197.95,198.1,196.45,196.25,196.45,197.15,197.45,197.55,199.05,200.9,202.7,203.75,202.65,200.35,198.05,196.65,195.1,195.8,196.55,198.2,200.5,203.3,205.9,205.35,204.45,203.75,203.6,203.15,202.85,201.25,201.6,202.8,203.8,203.9,203.7,202.5,202.1,199.9,197.95,195.7,192.3,190.5,190.15,191.2,191.8,191.75,191.7,192.35,192.55,193.85,193.95,194.35,195.15,196.55,198.5,199.4,198.85,198.7,198.3,198.95,200.65,200.25,199.1,196.6,193.8,191.7,189.5,186.7,184.25,181.6,180.35,178.15,175.9,173.65,171.75,170.25,169.35,169.2,168.9,167.75,166.55,165.5,164.6,164.5,164.25,164.05,164.6,165.75,166.55,167.7,167.85,159.2,150.9,142.8,134.55,127,119.25,111.35,103.5,95.3,bowl
3,180.1,198.55,216.8,234.85,253.55,272.25,291.9,314,336.1,357.9,381,395.6,402,407.65,413.15,417,420.4,421.25,424.45,427.05,430.7,433.2,435.1,437.15,439,441.65,441.85,440.1,439.1,437.1,433.55,429,423.6,418.05,412.1,405.95,400.5,397.4,395.2,393.2,390.85,388.65,387.1,386.1,385.55,384.4,384.7,385.6,386.3,389.6,391.85,394.05,397.15,401.6,406.45,412.15,417.45,420.75,424.05,428.3,432.85,437.8,443,448.75,454.9,461.2,466.8,473.3,480.35,486.4,493.3,501.65,508.95,516.7,524.9,534.35,544.2,554.45,565.5,576.05,586.05,596.45,606.85,616.6,625.75,635.95,648.65,659.75,671.4,682.25,692.55,704.75,718.1,729.15,739.2,747.35,754.95,761.55,768.95,774.3,780,786.2,791.6,796.65,799.1,799.8,796.9,792.75,784.3,776.05,766.95,754.2,742.1,730.75,719.55,707.7,694.4,678.5,659.55,640.9,622.95,604.55,587.9,571,553.3,537.9,524.5,511.9,499.5,485.7,473.85,462.15,449.7,437.95,426.2,415.15,407.15,401.7,394.5,386.55,377.95,370.25,361.7,352.9,348.8,343.7,338.55,333.35,328.1,323.25,317.9,313.55,309.3,304,297.55,293.7,288.35,283.5,279.75,276.9,274.05,270.85,269.05,267.15,262.8,257.85,252.9,248.35,246.2,244.1,241.75,240.3,237.6,235.45,235.2,233.65,232.4,230.9,229.55,229.1,228.65,227.1,224.85,223.45,222.8,221.75,219.3,216.3,214.95,214,213.15,211.3,211.25,211.7,211.65,210.3,209.65,208.15,206.6,205.45,204.7,204.8,203.4,202.85,203.25,203.25,204.55,206.3,206.55,206.2,206.05,205.2,203.5,201.55,199.15,197.6,195.35,193.15,194.6,194.75,194.85,195.55,195.3,194.6,193.25,192.65,192.15,191.3,190.6,191.5,191.6,191.75,191.55,190.7,190.05,189.1,187.85,187.9,185.7,184.2,182.9,181.4,182.05,182.05,181.55,180.85,180,179.8,179.85,179.95,181,182.25,183.2,183.95,184.35,184,183.65,182.75,182.45,181.95,181.2,180.5,179.25,177.75,176,174.6,173.2,171.3,168.85,166.65,166.1,165.3,164.45,163.75,163.3,163.15,163.55,163.55,163.15,163.35,163.4,163.6,164.25,164.6,165.1,165.15,165.05,165.05,164.95,165.2,164.1,155.15,147,139.1,131.3,123.45,115.15,107.3,99.35,91.4,bowl
4,180.35,198.65,216.6,234.55,253.05,272.25,292,314.3,336.55,358.5,382.05,398.2,404.75,410.7,415.45,421.05,424.1,423.8,424.8,426.8,431,433.75,435.6,437.75,439.85,440.7,440.6,438.85,437.45,435.9,432.25,427.1,421.3,415.2,410.15,403.7,398.6,396.4,395.55,393.25,390.65,388.55,387.55,387.15,386.75,387,387.6,387.05,386.75,388.45,389.3,391.45,395.1,399.55,403.8,408.85,414.5,417.7,421.55,425.9,429.95,434.85,439.9,445,451,457.25,463.25,471.05,479.25,486.05,494.5,502.85,510.25,518.05,526,534.65,544.15,554.1,564.55,573.15,585.05,595.45,607.05,617.35,626.7,637.5,650,661.6,673.95,686.8,696.65,709.1,722.1,733,743.25,751.9,759.45,766.4,773.5,780.4,783.9,790,794.2,798.75,800.7,800.1,796.7,792.55,783.85,773.6,764.15,752.55,741.4,730.05,718.3,706.5,693.45,679.7,660.95,643.55,628.1,609.45,590.6,572.95,557.2,542.65,529.45,516.25,503.05,489.6,478.2,465.55,452.2,440.85,429.35,417.6,408.9,401.55,394.7,385.95,376.3,368.8,362.7,354.6,346.2,339.5,332.7,326.6,321.9,317.75,312.8,309.25,306,301.9,298.7,296,292.75,288.2,285.1,283.55,280.65,277.2,274.75,273.15,272.15,269.6,266.65,263.3,261.25,258.15,255.2,251.65,248.15,244.55,241.55,238.85,233.85,230.4,227.55,226,224.7,223.1,221.6,220.7,219.75,218.1,216.8,214.2,210.9,209,206.9,205.05,204.45,204.9,204.6,203.8,204.55,204.1,204.05,203.9,204.1,204.5,203.05,202.4,202.05,201.85,201.85,202.6,203.85,204.4,205.6,206.25,205.55,203.8,201.05,199.55,198.25,197.85,198.05,197.9,198.65,199.95,201.35,201.85,200.85,199,196.9,195.05,192.6,191.25,190.05,189.05,188.4,187.45,186.85,186.45,187.4,187.7,188.35,187.4,185.65,184.25,182.55,180.7,180.05,180.6,181.1,181.8,184.2,186.4,188.25,190.9,192.35,193.75,194.75,194.2,191.55,189.05,185.8,184.35,183.05,181.5,181,179.6,178.6,177,175.4,173.9,171.35,169.25,168.95,168.9,169.85,170.15,170.7,170.9,171.05,171.05,171.15,170.65,170.85,171,170.55,170.6,170.55,170.85,170.95,170.95,171.05,171.3,170.35,159.95,149.45,139.95,130.75,122.2,114.05,106.1,98.1,90.45,bowl
5,182.7,201.15,219.6,237.55,255.7,276.85,297.2,320,341.95,363.75,387.15,402.7,408.95,414.1,418.65,423.05,425.95,426.4,427.7,428.8,431.25,432.8,434.5,436.9,438.55,437.1,436.1,433.65,432.7,430.95,427.25,421.95,418.8,413.95,408.75,402.85,397.75,393.55,390.55,389.6,388.45,387.85,386.9,386,386.5,386.95,388,389.05,390.05,392.55,394.15,396.8,397.4,400.8,405.8,411,416.3,421.2,428,432.5,436.5,440.8,445.9,452.3,458.1,464.5,469.3,476.2,482.85,488.7,494.95,502.85,513,520.85,528.5,537.75,548.1,557.85,567.9,578.7,590.05,602.1,612.5,621.25,630.85,641.35,654.7,665.2,676.05,688.65,700.35,712.7,722.2,733,742.5,749.9,756.3,761.75,767.05,769.85,772,772.35,774.8,777.45,777.85,775.55,769.95,763.65,754.1,742.05,731.1,717,704.6,691.05,677.65,664.65,650.9,637.25,618.25,600.55,585.3,569.6,552.45,536.1,520.8,506.95,495.15,483.3,471.15,459.5,448.3,437.8,426.15,415.35,406.95,396.1,387.55,379.75,372.9,366.1,357.2,351.1,345.35,338.6,332.85,326.65,321,316.15,312.55,308.7,304.75,301.6,298.15,294.45,290,288.85,286,282.25,279.55,276.7,274.35,270.85,268.9,266.85,264.15,263.4,260.05,255.95,252.1,249.4,247,244.05,241.25,238.6,236.05,232.65,229.35,226.6,225.25,224.45,224,223.4,222.1,220.85,219.45,216.2,215,214.25,214,212.55,210.25,208.05,207.5,207.65,207.2,207,206.55,206.5,206,205.35,203.6,201.8,198.5,197.35,197.25,197.3,197.65,197.55,198.65,200.2,202.2,204.65,204.95,203.95,201.95,200.4,199.05,197.75,197.25,198,198.85,200.35,203.3,204.45,204,203.4,202.75,201.5,199.35,197.45,196.75,195.2,193.45,193.7,193.45,192.25,191.9,191.8,191.75,190.4,189.95,189.55,188.5,187.1,186.3,186.1,186.35,187.2,188.75,190.4,191,191.6,193.45,193.65,194.55,195.4,194.75,193.3,191.6,191.25,189.5,187.8,186.5,184.9,183.55,182.05,179.8,177.75,175.1,172.45,171.45,171,170.25,168.85,167.2,166.05,165.65,165.65,165.4,164.75,165.2,165.4,165,164.85,164.4,164.1,163.45,163.65,163.75,164.2,163.7,154.45,145.2,137.05,129.25,121.35,113.35,105.3,97.5,89.65,bowl
6,181.95,200.6,218.65,236.7,255.5,275.05,295.4,318.15,340.75,362.5,386.05,402.25,409.05,414.35,418.3,422,424.65,425.75,427,427.75,430.5,432.2,434.4,436.3,437.3,437.3,436.3,433,429.05,428.1,424.95,420.15,414.6,408.65,403.45,398.05,393.15,389.6,388.65,387.75,385.85,385.15,384.35,384.5,385.15,385.8,386.55,387.8,391.25,393,394.3,396.45,399.75,404.8,410.1,415.8,421.55,425.85,430.35,433.95,439,443.3,449.6,454.5,459.8,465.4,470.95,478.6,485.4,492,499.65,507.7,515.45,523.05,530.85,539.85,549.5,559.45,569.2,580.9,591.75,602.8,611.95,622.15,632.15,643.2,655.8,665.75,676.65,688.7,698.05,708.45,720.25,731.9,741.3,748.8,755.25,761.1,766.9,768.8,771.1,773.35,775.7,777.9,777.95,776.05,770.9,765.25,755.6,743.5,732.4,719.55,707,692.6,679.45,665.15,651.8,638.05,619.5,602.6,587.2,570.5,552.85,535.4,520.8,506.75,493.05,480.75,468.5,456.45,445.9,435.8,424.2,414.5,404.5,396.15,388.3,380.65,373.95,367.1,358.05,351.35,345.3,339,333.15,327.9,324.15,319.85,316.1,312.5,308.3,303.45,298.45,292.65,289.25,286.25,280.3,276.15,273.4,270.55,267.75,265.05,263.7,261.95,257.95,253.8,250.1,246.05,244.25,241.75,238.75,236.45,234.15,231.8,229.15,226.05,225.75,223.85,221.9,221.05,220.3,218.6,216.75,216.05,215.6,215.25,214.45,213.05,212.9,212.7,212.3,211.9,213.35,215.1,214.9,214.7,213.9,211.55,210.05,208.6,207.55,207.5,205.4,204.1,204.15,204.3,204.35,204.6,202.95,201.95,201.8,201.55,198.8,195.95,195.85,195.7,195.45,196.9,198.45,200.1,202.45,203.5,205.8,205.8,204.8,203.35,201.9,200.75,199.5,198.3,197.1,196.1,196.4,196.7,193.9,191.15,188.3,185.95,184.25,183.15,181,179.8,179.05,179.4,180.3,181.1,182.15,182.95,184.35,186.75,189.15,192.05,194.5,196.85,198.55,200.4,201.65,201.55,200.8,199.65,198.5,197.25,195.55,193.7,190.55,188,185.55,183.15,180.65,177.75,177.2,175.9,174.05,171.85,170.65,168.7,167.2,166.5,166.35,166.25,166.3,166.35,166.35,166.5,167.4,167.35,167.9,168.65,168.85,169.3,168,158.5,149.65,141.25,132.75,124.85,117,109.1,100.9,92.85,bowl
7,181.8,200.55,218.8,237.05,255.75,274.8,294.95,318.2,340.8,362.3,385.55,400.3,406.2,411.4,416.5,420.85,424.45,425.1,426.25,426.8,428.45,430.2,432.15,434.2,435.6,436.25,435.65,432.25,430.6,430.45,427.35,423.1,417.95,412.4,406.4,401.2,395.9,393.15,392.3,391.65,390.95,389.2,387.9,387.25,387.5,388.15,388.95,390.25,391.35,391.05,392.35,394.45,397.7,401.75,406.85,412,417.6,421.6,426.35,431.05,435.1,440.3,445.45,450.95,456.75,463.15,468.8,475.95,482.5,490.4,498.35,506.1,513.6,521.55,529.9,538.95,548.6,558.05,568.55,579.05,590.6,602.35,613.75,623.5,633.4,643.5,655.75,666.15,677.5,689.5,699.05,711.45,722.9,734,742.75,750,756.85,762.35,767.2,769.8,771.75,773.35,775.55,778.25,778.05,776.95,772.2,766.05,756.2,744.4,733.4,719.2,707,692.1,678.75,666.45,650.75,637.4,619.55,602.05,587.4,570.7,552.8,536.15,521.4,507,494.7,483.15,471.3,459.4,449.2,438.9,426.5,417.4,408.2,398.55,392.65,385.05,377.1,370.2,360.8,354.2,348.45,341.4,334.4,327.5,318.9,312.5,307.55,303.4,298.45,294.05,291.1,286.5,282.95,279.35,275.85,273.05,271.2,268.6,266.25,263.25,261.75,260.05,258.1,255.6,255.3,253.05,252.2,249.85,246.55,243.65,240.55,237.8,235.2,232.6,229.85,227.55,228.6,229.8,230.1,228.6,226.55,225.4,224.25,223.2,222.05,219.9,216.85,215,213.5,212.05,211.95,213.8,212.9,212.65,211.6,208.85,204.65,201.4,199.1,198.65,196.6,195.5,195.45,195.7,195.25,195.85,197.5,198.4,200.3,202.2,203.1,201.6,200.05,198.45,198.2,199.3,200.65,202.3,204.35,206.1,208.25,209.25,208.55,207.8,207.5,206.25,203.85,202.15,200.2,197.95,195.65,194.1,193.65,192.35,190.5,188.9,187.1,184.95,182.45,179.9,179.45,178.55,178.95,178.1,177.15,176.9,178.2,180.7,182.9,184.5,186,186.55,186.8,186.95,186.5,185.05,183.75,183.3,182.3,182.05,180.2,178.15,175.45,173.95,172.7,171.7,170.05,167.2,166.7,166.8,165.9,166.6,167.45,168.15,168.75,169.05,169.1,168.7,168.9,169.2,168.9,169,169.1,169.2,169.25,169.7,169.6,169.95,169.3,159.85,151.35,141.95,132.7,123.7,114.75,106.45,98.6,90.8,bowl
8,181.9,200.35,219.15,237.65,256.4,275.75,295.8,316.15,337.65,359.35,382.4,397.8,404.4,409.85,413.45,417.75,420.75,421.2,423.05,424.4,426.75,428.25,429.2,430.35,431.4,431.6,430.9,429.7,428.35,426.55,423.6,419.6,413.95,408.1,402.7,396.85,392,388.85,387.9,385.75,383.1,382.45,382.15,382,382.4,383.25,384.55,386.45,388.3,391.2,392.5,394.25,397.55,402.45,408,413.9,419.45,423.55,427.6,432.9,438.35,442.9,447.9,453.85,459.95,465.95,470.45,477.45,484.1,490.15,497.5,506.45,515.7,523.3,530.5,539.5,549.5,559.65,569.35,580.15,591.3,602.3,612.65,622.15,631.5,642.15,655.6,666.5,677.8,689.7,699.95,711.15,720.9,731.75,741.7,748.95,755.65,760.2,765.75,768.2,770.6,773.35,775.8,775.7,774.75,772.65,766,759.75,749.9,737.85,726.15,711.8,699.7,685.8,672.45,659.6,645.7,632.85,615.55,598.55,583.35,566.35,548.95,535,520.9,506.85,493.05,480.7,469.3,457.55,447.4,437.3,426,416.35,407.3,396.95,385.3,377.05,368.75,361.3,352.45,345.7,340.1,333.35,328.5,324.3,322.9,319.4,315.1,311.8,308.25,303.9,300,295.4,291.45,289.05,288.85,285.5,283.85,281.6,278.75,275.9,273.95,271.8,267.7,263.05,258.35,252.6,248.8,245.3,242.85,240.25,237.05,234.05,231.5,229.2,226.65,222.65,219.35,217.3,214.95,212,209.25,207.7,206.9,205.45,204.5,204,203.15,202.2,199.3,198.05,197.8,198.7,198.5,197.7,197,196.6,196.4,195.7,196.65,197.9,197,196.85,197.15,197.6,197.8,198,199.15,200.35,202.4,203.05,202.9,200.75,197.65,196.35,195.3,196.05,197.55,199.85,201.1,202.4,204.3,203.8,202,200.25,199.15,198.9,198.2,197.6,196.4,196.6,195.55,195.15,195.05,194.7,194.15,193.15,191.7,190,188.55,187.4,187,188.1,189.75,191.4,192.25,191.85,192.35,193.15,194.2,194.5,196.05,197.65,199.4,199.3,199.55,199.4,198.75,197.5,195.85,194.7,192.9,190.9,188.95,187.35,184.75,182.6,180.3,177.95,177.2,177,176.4,175.7,174.3,173.35,172.35,170.9,170.05,170.15,170.2,169.45,169.4,168.3,167.65,166.25,166.2,166.2,166.1,165.85,164.6,155.2,146.2,137.4,129.25,121.1,112.55,104.65,96.8,88.7,bowl
9,178.1,195.6,213.6,231.6,250.65,270.35,290.55,313.4,335.9,357.75,381.05,397.1,403.95,409.35,413.45,417,419.85,422.8,425.05,426.45,430.25,433.55,435.3,437.15,437.7,437.9,436.85,434.05,432.65,429.35,424.7,418.8,413.45,407.8,402.6,398.15,393.75,390.1,389.1,388.4,385.55,383.5,382.75,382.7,383.05,383.2,384.35,385.6,386.6,390.95,394,396.95,400,404.4,409.55,414.5,419,422.9,426.8,430.4,435.45,441.65,448.1,453.85,460.4,466.95,472.2,479.2,486.25,492.25,499.75,507.15,514.85,522.5,530.25,539.4,549.95,559.65,570.05,581.55,592.7,602.45,611.55,620.95,630.2,640.45,653.25,663.65,674.15,686.15,696.05,708.7,720.2,732.55,742.95,750.9,757.65,763.6,768.6,771.35,773.3,776.55,780.15,783.15,783.1,781.65,776.55,770.55,761.2,749.2,739.95,726.1,713.65,699.45,685.9,672.25,658.45,645.5,628.3,610.85,595.95,578.5,560.35,543.4,528.7,513.45,499,486.8,474.15,464.7,452.55,441.75,430.05,419.4,409.05,399.65,391.35,383.3,375.65,368.75,359.65,353.4,347.4,339.75,333.85,329.4,326.85,322.9,319.85,313.6,308.2,303.7,298.85,293.5,289.55,286.05,282.3,278.45,275.7,273.15,273.05,271.8,271.2,270.8,268.05,265.05,261.15,257.2,255.2,253.05,251.35,249.2,247.65,245.85,243.5,241.15,239.4,237.7,236.45,234.65,230.65,225.85,222.9,220.9,219.65,218.15,217,215.15,211.8,209.05,209.4,209.35,208.85,209.35,209.2,208.7,207.25,205.55,203.85,203.25,202.2,202.15,199.6,198.35,197.85,197.5,197.45,196,196.35,197.8,196.2,195,193.7,191.1,188.25,186.65,185.75,185.5,186.8,188.75,191,193.4,196.2,197.25,197.6,197.8,197.55,197.75,196.15,194.2,192.75,192.35,192.6,192.5,193.2,192.7,191.6,190.1,188.25,186.7,185.6,184.85,184.15,184.4,184.15,184.05,183.7,185.2,188.2,191.05,192.5,192.85,192.95,195.2,197,197.55,198.1,197.95,197.35,196.45,194.75,193.05,191.35,188.5,186.15,183.35,181.2,178.6,175.6,173.2,173.6,173.95,173.65,171.55,169,167.6,165.9,165.05,164.55,164,163.75,163.75,163.3,163,162.65,163,164.2,165.2,166.75,167.7,167,158.05,150,142.15,134.4,126.45,118.75,110.8,102.9,94.85,bowl
