,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,Objects
0,192.4,214.8,238.9,262.85,286.6,310.15,333.45,357.75,381.9,404.9,428.6,440.65,443.1,443.5,444.35,444.9,446.6,444.45,441.85,442.35,441.1,438.7,434,429.15,424.6,420.4,416.7,412.7,411.35,411.3,408.75,407.15,407.55,410.75,412.65,415.05,417.95,420.55,425,428.15,430.65,434.3,438.65,443.8,450.05,455.85,462.65,470.15,475.5,481.15,488.25,496.05,503.55,509.55,517.4,525.95,535.2,545.35,556.4,567.85,579.3,591.5,603.4,614.5,627.6,641,653.3,664.95,676.75,688.85,700.15,713.5,726.9,738.5,748.55,756.25,761.55,765.15,766.45,765.05,762.85,760.15,758.35,756.6,750.7,742.7,732.9,721.8,708.15,691.65,678.15,659.45,641.25,624.1,608.3,593.3,577.7,561.9,545.6,530.2,513.75,497.5,482,466.75,454.05,443.4,434.6,426.25,416.45,408.3,396.75,387.35,378.15,369.3,361,353.2,349.25,345.85,340.65,334.7,332.55,328.35,322.45,317.65,311.4,306.55,303.2,299.45,298.9,296.8,296.05,295.55,293.1,290.75,287.6,284.4,280.9,277.85,276,273.75,270.25,268.55,267.5,264.85,263.3,261.5,258.45,257.15,253.8,251.8,249.65,247.25,246.3,243.95,243.7,244.55,244.75,243.9,244.5,245.6,245.2,245.4,246.35,247.7,247.3,245.45,242.65,239.2,238.4,237.2,236.35,236.15,235.8,235.55,234.4,232.65,229.4,227.2,223.7,221.25,220.1,218.35,216.45,214.95,214.2,213.05,211.75,211.2,208.25,207.75,206.15,205.5,205.5,205.4,204.95,203.6,203.9,202.9,203.25,203.1,203.35,203.7,203.25,203.55,203.35,204,205.2,205.3,207.45,208.3,209.5,210.25,209.7,211.1,210.2,210.65,210.7,211.15,211.85,213.35,214.75,215.65,216.55,215.7,215.9,215.9,216.25,215.45,214.7,213.5,212.25,211.3,210.4,208.6,208.1,206.85,205.7,205.45,205.05,204.5,204.35,204.7,205,205.9,205.55,205.2,204.75,205.6,206.65,208.1,209.3,209.9,210.3,211.3,212.55,213.6,214.6,214.75,214,214.2,213.9,212.35,211.9,210.55,210.3,208.9,208.55,208.35,207.05,205.65,206.1,206.15,206.7,206.8,206.3,205.8,205.3,204.45,204.85,203.75,202.3,201.75,200.1,199.3,198.05,198.8,197.85,197.1,197.45,198.55,198.65,188.35,178.25,167.85,157.75,147.7,136.9,126.85,116.6,107.15,a
1,191.15,213.25,236.55,260.05,283.95,307.95,331.25,354.55,379.45,402.2,425.7,436.8,438.9,439,436.8,437.55,439.45,437.6,436.1,437.35,438.25,436,432.25,428.95,424.8,420.7,417.2,414.75,412.7,412.6,410.3,410,410.9,412.45,413.35,415.3,417.8,420.95,425.2,428.4,431.5,434.55,438.35,442.75,448.55,453.55,460.55,467.3,473,479.35,486.75,494.6,501.9,509.8,520.55,528.75,537.6,547,558.35,569.25,581.1,594.1,606.3,617,628.2,640.45,652.3,663.6,675,686.8,697.95,711.25,725.05,737.05,745.2,753.75,759.85,764.45,764.85,763.25,759.9,757.25,755.6,753.6,749.2,742.5,733.55,723.8,709.1,691.8,678.45,659.6,641.15,623.2,606.65,591.3,577.25,561.8,545.85,530.05,513.9,497.6,481.9,466.5,453.8,443.1,433.6,424.9,417.95,411.15,399.75,390.8,382,373,365.15,357.5,351.85,347.5,344.35,340.85,339.35,338.55,334.55,331.1,325.2,320.9,317.65,314.5,310.45,307.25,306.1,304.1,300.1,298.3,295.75,293.65,290.9,287.65,282.6,279.05,274.9,269.55,266.25,262.45,261.75,259.4,256.25,252.95,251.3,248.45,245.5,246.85,247,244.85,244.6,241.85,239.3,238,237.15,236.5,235.55,234.4,234.65,234.95,232.65,230.9,227.95,225.05,223.65,223.1,222.65,219.2,217.7,217.25,215.45,215.95,215.05,213.95,213.9,213.3,213.15,212.45,211.3,209.85,209.55,207.6,206,204.35,203.7,201.85,201.1,201.1,202.25,203.3,203.4,202.95,203.1,202,202,202.4,203.55,204.5,204.45,205.85,206.2,208.2,209.9,211.5,212.1,214.4,215.1,215.05,214.8,213.8,213.5,213.35,212.3,212.15,212.2,213.2,212.95,213.2,213.8,213.5,213.75,212.65,212.3,212.15,211.5,211.1,209.75,208.95,207.6,206.8,205.5,203.9,203.65,203.7,203.75,203,202.9,203.85,204.4,204.55,204.3,205.05,205,205.25,206,206.2,207.95,209.6,211.35,212.95,214.2,215.85,215.8,215.05,212.7,211.45,209.4,207.45,205.15,203.8,202.05,200.45,199.65,199.15,198.45,198,198.45,197.95,197.7,197.25,196.75,195.95,195.85,195.95,197.85,198.9,200.4,201.05,202.95,203.5,204.8,205.85,207.5,207.3,206.6,206.35,205.75,195.7,185.25,174.95,164.65,154.5,144.4,134.35,123.75,113.4,a
2,187.35,209.85,233.45,257.25,281.05,304.85,328.45,352.7,377.75,400.6,424.05,435.1,437.35,438,439.05,440.3,442.35,440.5,439.65,441,441.25,438.55,434.65,429.9,424.8,420.25,416.7,413.5,411.45,411.25,409.05,408.35,408.45,409.9,411.35,413.65,416.45,419.55,423.55,426.35,428.8,432.65,436.4,442.05,449.5,456.75,463.85,470,475.2,481.95,489.5,497.3,504.9,513.25,521.9,530.9,540.4,549.8,560.4,571.65,583.95,596.1,608.4,619.4,629.95,640.65,651.95,665.25,677.05,688.2,698.85,711.9,725.55,736.7,746.55,754.05,762,768.1,770.2,770.6,768.2,765.75,763.8,761.7,757.35,750.9,741.55,729.65,716.05,700,687.5,669.05,651.25,634.7,618.75,603.2,586.1,568.8,552.55,534.95,517.95,501.4,485.65,470.2,457.8,446.65,438,430.25,423.5,416.3,404.8,399,390.85,381.75,373.25,366.05,360.7,356.7,351.15,346.25,344.5,340.25,334.8,329.9,323.8,319.4,314.15,308.3,303,299.15,297.2,292.25,287.3,284,281.25,277.95,274.4,271.6,268.8,266.1,261.95,262.85,262.8,260.9,260,258.9,256.65,255.95,254,252,249.45,247.5,247.5,246.2,245.4,244.8,243.4,242.8,242.95,243.25,243.15,240.55,240,239.7,238,235.25,234.25,231.15,230,228.15,226.7,225.6,224.1,226.25,226.5,225.15,223.95,221.3,219.4,218.5,217.95,217.15,215.55,215.25,214.85,213.95,212.2,212.2,209.35,209.55,208.05,208.15,209.1,207.4,205.95,206.1,205.35,204.4,203.55,203.25,203,203.45,203.05,203.2,203.45,203.9,204.45,204.4,206.6,206.5,208.8,210.3,209.75,209,207.75,206.7,204.95,204.3,205.5,206.45,207.95,208.1,208.6,208.55,207.9,208.05,207.95,207.65,206.9,206.95,206.25,204.35,203.6,202.7,202.25,202.85,204.25,204.55,204.6,203.35,202.3,202.7,203.15,203,203.25,203.45,203.8,203.85,205.05,206.55,207.6,209.45,210.5,211.65,213,213.55,214.05,214,213.4,213.15,212.5,210.35,208.6,206.05,204.75,203,201.35,200.35,199.45,198.85,199.55,199.5,200.15,200.65,201,200.75,200.15,200.7,200.6,202,201.9,202.3,203,204.15,204.35,205.5,207,208.3,208.75,208.6,208.25,197.3,186.6,175.85,165.05,154.3,144,133.4,123.2,112.45,a
3,188.1,210.2,233.05,256.65,280.6,304.95,328.6,352.95,377.9,400.75,424.4,436.35,438.65,439.35,439.9,440.65,441.25,439.35,437.1,438.15,438.4,436.3,432.35,427.35,422.25,417.8,414.05,410.45,407.95,408.25,406.55,405.45,406.35,408.2,410.65,413.65,416.55,419.3,424.7,428.3,431.25,434.45,438.75,444.4,451.2,456.25,463.3,470.5,476.9,481.8,488.7,496.85,504.85,512.35,519.45,528.4,538.5,548.5,559.75,571,583.5,596.35,608.85,620.55,631.55,643.95,656.05,667.05,678.1,691.2,702.65,716.25,729.35,740.9,750.6,757.35,761.8,766.05,766.75,765.5,761.45,757.85,755.6,752.65,748.05,741.1,730.4,719.15,704.5,687.05,672.7,652.6,633.85,616.55,600.25,585.35,571.45,555.4,537.5,520.5,504.35,491.4,476.1,461.2,448.35,437.9,429.85,422.2,414.5,407.25,395.55,387.15,377.9,368.75,361.35,353.95,348.45,344.35,340.25,335.7,333.3,325.95,319.9,315.2,309.7,305,301.2,297.75,294.35,290.25,287.3,286.35,283.75,282.2,277.55,274.05,270.45,268.35,267.6,265.5,262.45,261.15,260.05,257.6,256.35,254.7,251.75,249.6,249.25,249.6,249.9,248,246.9,244.55,245.85,245.85,244.9,243.45,242.45,242.7,242.6,242.45,242.55,242.65,241.3,239.1,237.05,233.7,231.15,229.3,227.5,226,224.8,223.35,222.35,221.35,219.75,218.05,216.25,215.4,215.65,215.75,215.2,215.1,215,214.45,213.95,211.9,211.25,208.4,208,208.2,209.65,211.7,211.75,210.8,210.5,209.7,209.8,210.3,209.25,208.35,208.05,207.95,208.2,208.45,208.2,210.1,210.05,211.65,212.1,212.6,211.3,210.45,208.7,208.55,208.25,208.15,208.05,208.45,209.65,209.95,210,208.9,207.75,206.7,207.1,206.75,206.35,206.8,206.05,205.25,204.6,203.45,203.15,202.45,202.35,201.3,201.3,200.3,199.85,200.25,200.9,201.9,202.85,203.8,203,202.2,202.75,204.1,205.6,207.4,209.4,211.4,212.75,213.55,212.6,211.9,211.85,211.45,211.9,211.45,210.75,209.55,209.1,207.8,207.35,207.2,206.3,205.2,205.65,204.4,203.85,203.7,203.15,202.9,203.35,204.7,204.45,205.3,204.2,204.8,204.95,205.85,205.95,206.95,207.95,208.85,209.75,210.2,210.45,200.6,190.45,179.7,169.6,159.2,148.9,138.35,127.95,117.3,a
4,184.85,207.1,230.8,254.7,279,303.05,326.55,350.7,375.5,398.45,422.1,432.55,434.3,435.1,436.4,437.55,438.1,439.55,438.75,440.5,441.25,439.1,434.55,429.9,425.25,422.95,419.4,416.65,414.9,414.5,411.95,411.4,412,413.7,414.75,417.15,420.65,423.55,427.95,430.9,434.15,437.4,441.7,446.95,452.5,456.15,463.75,470.35,476.5,483.2,491.3,499.55,507.9,515.85,524.75,534.05,544,553.2,564.1,576.5,587.05,600.25,612.8,624.2,635.25,646.95,658,668.75,679.45,690.65,700.85,713.25,726,737.45,746.15,752.45,756.35,760.1,759.4,756.35,753.3,749,745.6,741.7,736.9,729.85,719.3,707.85,695.1,678.05,664.7,646.25,627.25,608.9,592.1,577.45,564.3,550.6,536.2,520.3,505.5,490.25,475.25,460.75,449.05,438.7,430.7,422.9,412.55,405.45,393.55,384.45,375.8,367.15,360.8,354.3,347.6,342.25,337.7,333.4,329.85,326.9,321.75,316.95,310.55,306.15,301.4,298.2,295.7,291.95,289.95,287.1,283.9,282.5,279.55,275.4,272.85,270.6,266.75,263.75,260.6,257.85,256.35,255.6,256.3,254.55,253.35,251.05,250.4,250.35,249,249.05,248.25,247.95,247.9,247.05,245.3,242.7,241.6,241.4,241.85,241.25,242.05,241.05,238.55,235.95,233.45,230.95,228.55,226.5,225.4,223.75,223.35,220.6,219.35,219.15,218.15,216.9,216.85,216.45,215.95,215.35,214.15,214.05,213.8,212.9,212.45,210.5,209.8,208.55,209.55,210.5,211.7,213.45,212.75,212.3,211.5,211.5,211.3,212.05,212.5,213.45,212.7,212.75,212.2,213.15,212.65,214.25,214.85,216.65,217,218.1,217.95,216.8,215.65,215.05,214.2,214.4,214.85,214.35,214.85,214.05,214.55,213.8,213.35,212.5,212.55,211.4,209.7,207.8,206.15,203.5,202,200.65,199.6,199,199.35,199.05,198.7,199.05,197.4,197.3,197.75,198.8,199.25,199.9,200.05,200.95,201.6,203.45,204.25,205.6,206.5,208,210.4,210.85,211.9,211.55,210.2,209,207.85,206.7,204.9,203.35,201.05,199.7,198.7,198.45,198.9,198.05,198.85,198.45,197.65,196.9,195.85,194.85,193.65,193.5,194.5,194.1,194.95,195.9,196.95,198.25,199.5,200.35,201.45,201.2,200.8,200.5,200,190.3,180.95,171.5,161.6,152.2,142.2,131.7,121.35,112.05,a
5,188.2,210.35,234.05,258.05,281.95,306.05,329.7,353.65,378.5,401.6,425.2,436.1,437.85,438.6,439.35,443.25,445.35,442.05,439,440,440.75,437.95,433.2,428.2,423.6,418.9,414.9,411.5,409.35,409.2,407.05,406.4,407,408.3,409.7,409.5,412.15,416.6,422.4,426.05,429,432.85,437.55,443.15,449.6,455.55,463.05,469,475.45,479.4,486.7,495.05,503.4,511.2,519.9,529.15,538.55,548.15,559.2,570.35,582.2,594.95,607.15,618.45,629.3,641.4,652.7,665.4,676.4,690.5,701.3,714.15,727.15,738.65,748.05,755.35,760.25,764.3,767.4,766,762.4,758,755.4,752.65,748.35,741.3,731.45,720.15,705.2,687.6,674.55,655.8,637.65,620.15,604.4,588.7,574.7,558.6,540.05,524.15,508.5,493.4,478.1,463,450.7,439.6,430.65,422.9,415.85,409.1,399.85,391.55,384.5,378.45,371.6,364.8,359.6,356.7,352.4,347.6,345.8,343.05,338.7,334.6,328.95,324.7,320.4,313.95,309.55,305.05,299.45,295.75,289.9,284.7,280.5,277.35,274,270.4,266.85,264.35,260.2,257.85,255.4,255.45,254.8,253.2,251.75,252.15,251.2,250.5,249.8,250.3,250.3,249.05,249.55,250.2,249.6,249.15,248.95,248.35,247.7,247.05,247.1,244.05,241.65,239.4,237.45,234.35,232.5,231.25,230.35,228.85,228,226.7,224.85,220.3,217.25,214.75,213.85,215.1,215.2,215.15,214.7,214.8,214,213.8,212.75,210.45,209.9,208.6,208.55,209.1,209.95,211.45,211.15,212.8,213.25,212,212.1,211.1,211.55,211.6,210.4,210.3,211.1,211.5,212.15,214.55,215.65,216.85,217.5,217.7,216.65,214.85,213.35,212.4,212.05,212.8,212.65,212.75,212.3,212.35,213.65,213.7,213.45,213.6,212.55,211.3,210.75,209.9,208.95,207.45,206.75,206.65,206.2,206.85,206.35,206.15,205.15,204.85,205,204.85,204.8,204.35,204.05,203.1,203.35,204.1,204.25,205.75,207.2,208.4,210.45,212.45,214.05,214,214,213.8,212.7,211.6,209.95,209.1,206.95,205.8,203.7,202.8,202.3,202.5,202.2,201.95,201.35,201.75,201.5,201.1,200.25,199.1,198.3,196.7,197.3,196.8,197.1,196.55,197.15,196.75,197.4,197.95,197.25,196.8,196.5,196.8,197.45,186.6,175.65,165.05,155.3,145.85,136.25,127.3,117.85,108.75,a
6,189.55,212.3,236,259.9,283.65,309.6,333.7,357.75,380.8,403.7,427.3,440.3,442.6,442.85,443.7,444.7,446.2,444.35,442.5,443,443.9,440.8,436.15,431,426.55,420.45,415.9,412.65,411.9,412.05,409.85,407.25,407.65,408.9,409.9,412.35,416.1,418.45,423,425.4,427.75,431.15,435.95,441.45,447.95,453,459.95,467.1,473.6,479.9,487.05,494.85,502.55,510.7,520,528.65,537.35,547.5,558.9,570.95,582.9,595.95,607.65,618.8,629.7,642.25,653.4,664.05,675,685.75,696.75,708.25,721.8,733.4,742.75,750.3,755.3,760.15,760.9,759.85,757.25,754.4,752.8,751.05,746.9,740.3,731.55,721.15,707.3,691.2,678.35,661.5,643.7,626.75,610,595,581.35,565.7,549.85,533.25,519.05,503.2,487.25,474,461,450.2,441.55,430.8,421.7,413.95,401.3,391.95,382.45,373.6,366.85,359.7,353.35,349.15,344.1,339.6,335.95,332.25,327.15,320.6,315,310.05,305,304.3,301.45,297.75,295.9,293.1,289.8,288.85,286.25,283.45,280.55,278.25,276.3,275.2,271.25,268.8,266.8,265.65,265.05,263.7,261.75,259.35,257.95,257.15,255.55,253.95,253.55,250.15,248.8,247.5,246.1,244.5,242.2,240.15,239.05,238.2,239.6,238,235.8,232.45,230.15,225.8,224.5,223.25,222.6,222.8,221.9,221.05,220,219.7,219.05,217.55,216.95,216.1,215.2,213.85,212.15,211.3,211.25,211.6,210.55,211.55,208.35,207.2,205.4,205.35,205.75,206.75,206.6,205.05,204.45,202.85,203.25,203.8,204.95,206.05,205.75,206.5,206.15,206.5,207.7,207.65,210.55,211.6,214.55,215.3,214.5,213.5,212.05,212.05,211.25,211.4,211.35,212.05,212.75,213.7,214.35,213.3,212.95,212.3,212.2,211.7,211.3,211.45,210.65,210.35,210.45,209.25,208.2,207.35,206.4,206.1,204.75,204.05,202.5,201.75,201.5,202,202.4,203.05,203.1,203.8,204.2,204.5,205.15,205.45,206.55,208.25,210.55,211.15,211.9,210.9,211.35,210.65,210.95,211.5,210.6,209.55,208.7,207.25,206.3,205.55,205.25,205.15,205.3,205.75,205.1,205.1,204.65,204.8,204.25,204.8,204.8,205.75,205.8,204.75,204.05,203.8,202.8,202.55,203.1,203.1,203.2,203.05,202.85,192.05,181.95,171.55,161.1,150.5,140.4,130.25,120.15,109.75,a
7,185.45,207.6,230.85,254.45,278.15,302.1,326.05,350,375.05,398.15,421.6,433.1,435.65,436.35,437.15,439.2,440.05,441.15,439.05,439.15,439.5,437.45,433.9,430,425.6,421.35,419.2,415.8,413.6,413.35,411.1,409.9,410,411.2,412.45,414.5,417,419.55,425.1,428.45,430.6,433.35,436.85,441.85,447.8,452.95,457.4,464.2,469.65,476.15,483.5,490.65,497.6,505.4,514,522.75,532.05,542.2,550.6,559.75,572.35,584.2,596.1,606.4,617,628.8,640.9,652.6,664.65,676.05,687.05,701.6,715.9,727.6,737.8,746.6,753.45,758.35,762.65,765.05,762.6,762.1,761.95,761.5,758.75,754.05,745.5,734.8,720.7,704.7,689.05,669.6,651.85,636.1,620.4,605.5,590.8,574.6,558.05,540.4,524.05,507.15,490.7,474.1,460.6,448.7,439.65,432.1,423.8,416.15,406.95,398.45,388.7,378.6,370.85,363,356.3,352.1,346.85,342.3,340,335.25,330.7,327.65,321.8,315.8,310.1,305.5,301.45,297.5,296.3,294.55,291.2,288.1,283.55,279.1,276.1,272.8,269.5,266.6,262.5,260.95,258.15,254.15,253.4,252.95,251.35,249.75,248.9,247.35,245.45,243.9,243.95,243.05,243.15,241.8,239.7,236.45,235.05,234.15,232.8,231.4,231.4,231.25,229.25,227.1,224.95,222.15,220.95,219.95,218.65,218.25,217.1,215.75,213.55,213.95,213.6,214.1,214,215.15,215.6,215.45,214.2,214.4,214.05,213.6,213.4,213.5,210.65,210.55,211.3,211.55,212.3,213.6,214.7,214.15,213.8,212.85,213.2,212.9,213.4,213.4,212.85,212.4,212.3,212.15,211.8,211,212.95,212.35,211.25,210,209.3,208.3,207,206.7,206.6,206.75,206.35,206.75,207.55,209.35,210.6,211.15,210.6,210.65,211,209.7,208.25,207.5,206.7,206.4,205.6,204.55,203.7,203.15,201.05,200.45,200.5,200.05,199.3,199.1,199.2,199,199.75,199.7,199.45,200.35,202,203.7,205.4,206.95,208.4,210.3,212.65,213.25,215.35,216.4,214.9,213.7,211.6,210.3,208.4,206.9,205.4,205.1,204.2,204.1,203.65,203.8,203.8,203.4,202.8,202.4,201.95,201.9,201.3,200.95,202.55,203.55,205.5,206.2,208.2,209.4,210.4,210.85,211.6,211.55,211.8,211.4,211.35,201.05,190.9,180.55,169.9,159.4,148.75,138.05,127.5,117,a
8,187.75,209.75,233.35,257.25,281.45,305.45,329.3,353.65,378.8,401.8,425.45,436.6,438.8,439.3,440.1,441.5,445.8,443.95,441.8,442.75,443.95,441.55,436.35,430.9,425.3,420.5,416.35,413.1,410.65,410.65,408.1,407.4,408.05,409.85,410.85,413.1,413.3,416.1,420.65,423.7,425.9,430,434.9,440.65,447.5,453.15,459.9,466.35,469.9,474.7,481.65,490,497.45,505.35,514.1,523.55,533.8,543.65,554.25,565.2,577.65,589.35,601.2,612.4,623.8,636.25,647.95,659.05,672.9,685.9,697.65,710.3,724.2,736.85,746.55,753.95,759.35,764.7,766.2,765.65,765.05,762.4,761.55,758.5,754.15,748.15,739.3,729.3,715.5,699.2,686.4,667.85,649.6,631.35,615.55,599.95,585.3,568.6,552.6,536.25,517.6,501.3,484.9,471.4,458.55,447.35,438,429.6,421.15,413.55,400.6,391.45,381.6,373.45,366.35,358.15,352.2,345.45,339.15,333.6,331.05,327.25,321.9,316.95,311.05,305.85,302.6,299.6,296.3,292.4,291.1,288.15,284.85,281.8,278.4,277,274.55,274.7,273.2,271.8,268.2,266.65,264.95,261.8,260.55,256.3,252.75,249.65,248.2,247.65,246.65,246.25,246.65,244.95,244.1,241.6,238.9,238,238.3,238.1,237.9,237.3,238.6,238.65,237.3,237.5,236.05,233.15,231.85,229.6,228.5,227.95,226.35,225.1,223.95,224.35,222.9,219.3,217.45,217.25,217.5,217.15,216.1,216.2,215.85,215.45,213.6,213.25,209.75,209.8,208.55,208.8,209.95,210.95,210.35,209.55,209.2,209.3,208.7,208.9,208.6,209.05,208.45,208.45,208.85,209.4,210.55,210.6,212.95,212.8,213.65,213.15,211.45,210.6,209.3,208.85,208.9,209.1,209.45,209.2,209.65,209.15,209.05,208.25,207.1,206.3,205.2,203.9,202.5,202.1,201.5,201.45,201.7,201.65,201.7,201.15,201.4,200.95,201.55,200.9,198.95,198.2,198.45,199.1,200.25,200.7,201.5,202.9,204.45,206,207.1,208.55,209.5,210.8,212.25,213.05,212.8,213.6,210.8,210.1,209.65,209.75,207.1,205.25,202.8,201.8,200.65,199.1,198.3,197,197,195.45,196.1,195.75,195.55,195.6,194.65,193.3,194.6,195.25,196.65,197.1,198.2,198.65,198.8,198.75,200.1,200.65,200.6,200.3,199.35,189.65,178.65,168,157.2,146.55,136.85,127.2,117.5,107.25,a
9,186.75,208.5,232.3,255.85,279.55,303.4,329.15,353.05,378.15,400.9,424.55,437.1,439.45,440.2,440.9,442.1,443.65,441.55,439.55,440.3,441.5,439.1,434.15,429.5,425.05,420.65,414.75,411.5,408.9,408.7,406.15,404.45,404.65,406.35,407.45,409.9,413,415.65,418.95,421.95,424.75,428.5,433.05,438.7,444.9,450.5,457.3,464,469.65,476.25,484.1,492.5,499.8,507.15,516.45,525.75,535.1,545.25,557.25,569.1,580.4,593.25,605.8,617,627.75,639.65,650.9,662.7,674.85,686.3,699.1,712.35,726.6,738.4,749.95,758.1,764.6,769.35,770.55,768.95,766.3,764.2,762.75,760.75,757.6,752.35,741.95,731.35,717.3,701.4,686.6,667.9,649.75,632.45,613.95,597.8,583.35,566,550.3,533.65,517.85,500.9,483.4,468.8,455.15,442.45,434.95,426.6,417.9,409.95,397.55,388.2,379.15,370.55,363.45,356.5,349.75,347.25,342.75,338.7,336,331.9,326.7,321.8,316.3,313.1,308.8,304.75,301.1,298,297.45,296.1,292.4,289.25,283.95,281.7,278.85,274.3,270.15,267.55,264.15,262.65,261.85,257.85,256.65,254.3,253.4,251.55,251,249.35,246.35,244.85,243.75,242.6,244.4,243.6,243.1,243.9,244.75,244.65,244,243.65,244.8,245.4,243.75,241.6,239.4,236.5,234.9,233.75,233.65,233.25,233.65,233.85,232.6,230.7,228,225.3,223.75,223.7,223.85,222.5,221.4,220.95,220.9,220.15,216.35,215.25,212.75,211.95,209.4,208.3,208.1,208.05,207.4,206.7,206.6,205.55,205.1,205.3,205.7,206.6,206.5,207.25,207.2,207.6,209.9,210.5,212.2,212.5,215.15,216.1,215.25,214.5,213,211.65,211.15,211.5,212.05,212.1,212.25,212.05,211.85,210.95,211,211.7,211.8,211.8,211.35,210.75,209.3,207.85,207.55,207,206.6,206.45,205.6,204.9,204.15,204.1,203.35,203.8,204.2,204.6,204.6,203.85,202.3,201.65,201.75,203.15,203.6,204.85,205.85,207.1,209,210.4,211.65,211.3,211.35,210.35,210.75,209.8,209.35,208.9,208.4,206.5,206.6,206.85,206.65,206.15,207.15,207.5,207.6,206.9,206.3,206.2,205.95,207.35,207.15,207.35,206.35,206.9,206.45,206.5,206,207.75,209.2,209.65,210.35,210.35,210.2,199.55,189.15,179.1,168.8,158.05,147.5,136.45,126.35,116.1,a
