,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,Objects
0,177.6,197.15,217.95,239.15,260.95,283.05,305.2,328.35,350.75,373.1,394.45,407.95,410.75,412.4,413.65,414.7,416.2,415.6,415.25,416.45,417.9,417.4,415.15,412.4,408.85,405.7,402.35,399.45,398,396.75,395.4,393.4,392.45,392.5,392.75,393.9,395.45,397.2,401.2,403.6,404.85,408.35,411.5,415.6,420.35,424.4,429.7,434.1,438.5,443.5,449.05,455,461,466.7,473.1,479.4,485.8,491.7,497.75,504.4,512.1,519.25,527.6,535,542.3,550.3,557.4,565.25,573.15,581.8,589.8,599.45,608.75,619.25,627.55,634.45,641.3,647.8,653.9,659.35,663.65,667.95,671.2,674.65,676.45,675.95,673.15,669.6,663.6,655.05,649.1,639.65,630.15,619.1,609.3,599.65,589.6,577.45,564.05,548.8,533.85,518.55,505.05,490.95,476.25,466.1,458,448.6,438.45,428.95,417.25,407,398.2,389,380.95,373.2,366.8,362.4,355.6,349.25,345.1,339.95,333.4,328.2,324.9,319.3,313.9,309.2,304.55,299.65,296.05,291.9,286.55,283.45,280.1,277.45,272.75,266.5,261.8,258.85,254.95,252.3,249.8,246.35,244.95,243.8,243.15,242.7,242.3,241.15,239.9,238.9,238.95,236.2,234.55,232.9,232.8,235.2,237.95,238.85,237.85,237.8,237.9,238.3,236.55,233.85,230.2,226.5,226.55,228.35,228.25,228.55,227.65,227,225.9,224.65,222.95,220.05,216.85,214.85,214.2,212.6,211.55,211.1,210.9,211.05,209.85,208.45,204.5,200.35,197.5,195.25,194.05,194.3,193.45,192.5,192.15,192.4,193.1,194.55,194.75,195.45,195.2,193.95,192.65,191.75,192.9,194.5,196.95,198.7,200.35,201.8,201.85,200.6,198.55,196.65,194.8,192.8,191.75,190.55,191.05,190.9,190.75,190.75,190.6,189.9,188.65,187.3,184.95,183,181.05,179.65,178.65,178.3,178.15,178.5,178.9,178.9,178.65,178.05,177.25,176.8,176.75,176.9,176.95,176.85,177.15,177.15,178.05,179.25,180.15,179.9,180.65,180.75,181.35,180.7,179.35,178.3,177.05,176.2,174.85,174,172.65,171.05,169.75,168.45,167.35,167.3,167.05,166.6,168.15,169.9,169.65,169.35,168.65,168.35,167.95,167.7,168.2,167.95,168.35,167.55,167.4,167.75,167.85,167.8,167.85,166.65,166,165.2,164,154.35,145.85,137.9,130,122.25,114.55,106.7,98.25,90.35,Glass_cui
1,177.1,197.15,218.4,239.5,261.2,283.25,305.5,329.2,353.05,375.75,399,412.45,415.95,417.4,419.4,421.6,423.3,422.7,422.1,423.15,424.2,423.95,421.3,418.05,414.35,410.9,407,403.4,400.75,399.35,397.3,395.55,394.75,394.8,395,395.5,396.2,397.2,400.25,402.85,404.85,406.95,410.05,414.6,419.8,424.1,429.9,434.6,438.5,443.3,447.6,453.15,458.3,463.75,469.5,476.05,482.6,489.45,496.45,503.25,510.9,518.6,527.65,536.45,543.55,551.9,559.9,567.6,575.8,584.55,592.6,601.9,612.6,621.3,629.05,636.15,643.25,649.55,655.15,660.15,663.6,668.1,670.75,672.55,673.8,673.1,670.15,667.15,660.85,651.6,645.6,636.2,626.4,617.55,606.3,596.35,586.1,572.65,559.15,544.55,530.4,514.95,501.85,488.55,477.1,466.55,457.5,448.5,438.95,430.35,418.3,408.45,399.2,389.85,383.55,375.75,368.9,365.2,358.3,352.1,347.9,343.1,335.8,330.5,325,319.9,313.8,306.4,302.05,298.9,296.95,294.2,289.15,285.6,282.35,279.35,276.45,273.4,270.1,267.25,262.7,259.85,257.65,254,252,250.95,248.45,248.5,247.35,244.05,241.25,239.9,239.65,237.35,235.15,233.65,232.25,231.3,232.3,232.9,231.65,229.75,227,225.7,222.8,220.4,220,218.05,217,217.15,216.85,217.05,216.7,216.8,216.65,215.6,213.75,211.2,209.25,208.25,208.3,208.05,209.6,209.85,210.9,210.75,210.65,209.2,206.9,204.55,202.3,201.95,202.5,202.4,202,202.1,202.15,201.6,201.9,201.6,202.55,203.25,202.4,202.3,202.1,201.8,201.65,202.75,205,206.25,207.35,204.9,202,199.9,197.35,194.75,192.85,192.6,192.45,192.55,192.75,193.85,195.75,196.35,196.35,196.05,194.9,193.35,190.75,189.2,188.3,187.75,187.25,187.2,187.4,187.05,186.35,184.85,182.9,181.15,179.1,176.6,174.45,172.85,171.15,169.7,168.2,167.2,167.95,169.2,169.65,169.5,170.2,170.6,171.1,171.85,172.3,172,171.35,170.5,169.65,169.6,169.6,169.05,168.7,167.6,167.4,166.95,165.7,165.05,164.55,164.65,164.65,164.3,163.5,162.9,161.95,161.55,161.5,161.65,161.65,161.2,160.7,160.9,160.5,160.3,160.7,162.15,163.5,163.15,163.2,155.25,146.85,139,131,122.7,114.9,107.1,99.25,91.3,Glass_cui
2,178.8,198.6,219.25,240.4,261.85,283.7,305.45,328.45,352.15,374.5,397.65,411.05,414,415.15,416.2,417.4,419.55,418.8,418.55,419.2,419.45,418.2,415.75,414.5,412.05,408.75,405.65,402.85,400.5,399.45,396.3,394.35,393.65,393.65,394.15,395.05,395.5,396.6,400.1,402.55,405.65,408.5,412.1,414.5,418.65,423.15,428.2,432.4,436.1,441.15,446.85,452.15,458.45,464.95,470.9,477.1,483.8,490.15,496.75,504.05,511.2,519.6,527.35,534.75,542.05,550.15,557.55,565.1,573.5,581.7,589.35,599.35,607.75,615.7,623.85,631.15,638.85,646.05,651.25,656.65,660.85,665.25,669.4,673.3,673.5,673.25,671.4,667.7,660.6,652.3,647,636.95,628.15,618.9,609.2,599.25,588.65,576,563.45,548.4,534.2,518.6,503.95,490.1,479.85,468.95,459.6,451.05,442.05,432.95,420.3,410.1,399.95,390.45,382.45,375,368.05,362.15,354.85,348.4,342.2,336.85,331,325.3,318.65,313.9,309.95,305.95,302.05,297.25,294.3,291.05,286.35,282.75,278.6,275.5,273.25,272.1,269.65,266.7,264.6,262.75,260.6,257.95,256.95,255.15,253.25,251.65,251.55,252.35,251.45,250.8,250.9,249.05,248.7,246.6,243.4,239.45,237.6,236.35,234.4,232.4,232.4,231.7,229.7,226.85,223.45,219.95,217.3,214.15,212.4,210.85,208.7,206.95,205.35,205.25,204.85,204.5,203.3,202.5,201.05,202.5,201.25,200.55,200.45,200.5,200.6,200.65,199.4,198.2,196.25,195.6,196.05,196.9,195.8,194.45,194.05,193.85,194.8,197.05,199.4,198.55,198.4,198.7,198.1,198.1,198.2,198.2,199.55,201.45,204.15,206.4,207.9,209.45,210.65,210,208.65,207.35,206.45,205.05,204.6,204.5,204.7,204.4,204.05,203.05,202.05,201.55,201.15,200.85,200.95,200.45,198.9,197.15,194.9,193.9,193.3,192.5,192.2,191.5,190.25,188.5,187.5,186.2,184.7,184.4,183.75,182.15,180.95,180.55,179.95,179.95,180.35,180.55,180.65,180.8,180.65,180.05,179.35,178.65,177.95,178.1,177.7,177.1,176.6,174.95,173.9,173.25,171.8,169.75,169.15,168.25,167,165.85,165.1,164.6,164.3,164.4,163.85,163.85,164.2,164.2,163.7,163.6,164,164.4,164.3,164.8,164.85,165.25,164.5,155.1,146.8,138.6,130.6,122.35,113.9,105.8,97.95,89.9,Glass_cui
3,179.15,199.1,220.1,241.25,263.3,285.7,308.35,331.7,355.6,378.25,399.5,411.2,414.05,416.45,417.5,418.95,420.8,419.85,419.5,420.35,421.75,421.55,418.95,415.55,411.95,408.6,404.75,401.4,398.5,397.3,396.4,395.45,394.7,394.15,394.5,395.4,395.75,396.45,400.3,402.85,404.55,406.5,410.35,416.2,421,425.4,430.85,435.3,439.25,443.8,449,454.8,459.85,465.15,471.3,476.95,483.8,491.35,497.95,504.7,512.35,520.1,527.5,534,541.2,548.95,555.45,563.15,572,580.5,588.8,598.2,608.15,616.7,624.9,633.35,640.4,647.15,652.4,656.75,660.8,665.4,669.25,672.1,673.5,672.95,670.65,667.2,660.45,652.05,646.25,637.3,629.05,620.1,610.85,600.45,590.2,577.25,564.25,550.3,535.8,520.4,506.85,493.7,482.25,471.7,462.4,452.1,441.85,431.9,419.35,408.15,399.8,391.35,382.85,375,368.55,364.25,357.95,352.1,347.85,342.7,336.6,330.75,324.2,319.2,315.15,312.5,309.5,307.05,305.3,302.9,296.15,291.8,288,285.15,280,276.05,274.25,273.4,269.95,267,264.25,261.6,260.05,257.9,256,254.4,253,250.55,247.85,246.3,246,244.15,243.2,242.2,243.4,243.45,241.8,240.6,239.75,239.95,240.7,240.35,238.8,237,234.7,231.85,230.3,228.45,226.05,226.5,225,225.45,224.4,222.2,220.15,217.1,215.3,212.7,210.95,208.8,206,204.55,203.2,201.6,199.9,196.95,193.9,192.25,191.7,188.7,188.1,186.15,184.7,184.25,183.95,183.2,182.4,181.85,181.1,180.65,179.6,179.2,180.25,181.75,183.25,185.65,188.75,191.05,193.15,194.8,195.1,194.6,193.25,191.55,189.25,187.75,186.7,186.75,188.4,190.35,192.7,194.05,193.35,191.8,190.75,189.15,186.65,184.95,182.75,181,179.85,179.05,178.8,178.2,177.5,177,177.5,177.05,175.4,173.6,172.15,171.05,170.7,170.6,170.3,170.35,171.5,173.4,175.75,178.55,181.35,183.9,185.95,188.05,188.75,189,188.35,187.75,187.1,187,186.15,184.65,183.35,181.9,180.85,180.95,180,177.7,176.7,174.4,171.7,169.2,167.15,165,164.2,163.85,163.85,164,164.25,164,163.6,163.65,163.95,165.45,166.25,165.7,165.85,165.95,164.9,156.4,148.45,140.55,132.4,124.45,116.4,108.6,100.45,92.35,Glass_cui
4,179.3,199.3,219.95,241.35,262.75,284.45,306.6,329.9,353.6,376.15,399.35,413.2,416.05,417.05,418.45,420.3,422.6,422.15,421.75,422.6,422.75,422,419.85,416.65,413.5,410.25,406.55,403.25,400.8,399.4,396.6,394.8,394.65,396.4,396.25,396.65,396.85,397.6,401.3,403.65,404.6,406.55,409.85,414.2,418.95,423.6,428.75,433.55,437.75,442.3,447.1,452.4,457.8,462.45,468.45,474.8,481.9,488.85,495.05,502.2,510.05,518.55,526.55,534.05,543.1,551.05,559.1,566.85,574.45,583.8,592.6,602.4,611.6,620.45,628.1,635.8,642.75,649.15,654.35,658.85,662.25,666.1,669.65,672.45,672.45,671.7,669.35,665.85,659.85,650.65,644.6,635.15,626.6,616.75,607.35,596.9,585.55,572.7,561,547.75,533.65,518.85,504.8,492.05,480.75,470.4,461.3,452.2,442.2,433.2,420.55,409.8,399.3,389.9,382.5,374.9,369.2,364.9,356.8,349.9,346.15,340.45,334.2,328.25,321.7,317,312.05,307.3,305.75,302.7,300.3,296.9,292.35,289.1,285.25,282.4,279.65,276.55,274.2,270.6,265.5,263.85,262,258.35,257.15,255.7,254.7,253.8,251.65,249,246.95,246.45,246.15,244.5,243.45,242.2,240.5,239.4,238.95,239.55,239.75,239.3,239.2,239.85,237.65,234.9,231.95,228.5,226.25,225.15,223.75,222,220.05,217.5,215.65,214.7,212.85,210.6,209.6,208.25,205.9,203.15,201.4,199.95,199.6,199.35,198.75,197.55,194.55,192.55,191.35,190.35,191.15,191.75,189.65,186.3,184.5,182.4,180.1,178.8,178.8,178.45,177.2,176.95,176.8,176.65,176.75,178.35,181.15,182.7,183.8,183.95,182.7,182.05,181.6,182.15,181.45,181.75,182.45,183.4,185.4,187.8,189.7,190.45,190.3,189.65,188.6,186.65,184.55,183.05,181.85,181.5,181.35,180.95,181.3,180.85,180.6,179.8,179.4,178.55,176.75,174.8,173.95,173.25,172.3,171.8,171.6,171.9,172.8,174.65,176.1,177.65,178.35,179.15,179.15,178.75,179.9,181.1,181.45,181.35,180.95,180.8,179.65,178.1,177,175.85,174.4,172.8,171.1,169.2,168.75,167.35,166.8,166.1,165.7,165.8,164.35,162.75,161.75,161.55,161.55,161.1,161.5,161.55,161.75,161.85,161.8,162,162.1,163.5,163.85,155.8,147.55,139.7,131.9,124.05,116.1,108.15,100.15,92.1,Glass_cui
5,181.65,201.25,222.25,243.15,264.3,285.95,308.1,330.95,354.35,376.5,399.75,413.5,416.55,416.05,417.2,418.1,419.95,419.35,419,420.15,421.55,421.85,419.7,418.55,416.3,413.85,411.25,408.15,405.75,404.75,401.9,399.85,399.25,399.3,399.75,400.3,401.05,402.55,405.75,407.65,409.6,411.3,414.5,417.3,421.85,425.95,430,434.8,438.65,443.6,448.75,453.1,457.55,463.25,469.35,474.65,481.3,487.55,492.55,499.4,506.35,514.5,522.25,529.8,536.5,544.4,552.3,560.15,569,577.8,585.75,595.75,606.85,615.9,623.05,631.1,638.25,644.55,651.8,657.05,661.35,665.6,668.95,671.75,673.25,672.45,671.55,669.05,662.7,654.3,648.85,639.6,630,620.05,611.5,601.75,591.4,579.15,566,551.55,537.2,521.4,508.25,495.3,484.05,473.85,463.45,453.6,443.45,433.6,421.05,410.3,399.95,390.8,382.2,374.95,369.05,364.45,359.6,353.85,349.25,346.7,342.45,337.7,332.35,326.9,321.85,317,313.85,309.85,306.5,303.35,298.8,295.75,291.8,287.25,283.2,279.75,274.25,270.85,267.15,262.45,257.7,252.8,249.7,247.9,245.9,244.7,243.4,241.65,239.55,238.1,237.3,235.9,235.3,235.55,234.05,233,232.45,232,230.25,228.45,228.35,228.85,227.8,226.1,223.85,220.45,219.05,218.65,218.6,218.85,219.3,218.55,217.15,215.55,213.9,211.8,210.55,208.75,208.1,207.55,206,204.2,202.1,200.6,199.25,197.55,194.25,191.8,189.55,187.75,185.9,184.75,183.45,182.2,181.65,181.05,180.6,180.7,181.25,181.85,181.1,181.3,182.5,183.35,184.55,186.65,189.3,191.15,193,193.75,193.1,192.55,191.75,192.15,192.3,192.7,194.15,196.3,197.7,198.85,200.4,202.1,202.95,202.7,201.65,199.4,196.8,194.8,193.05,191.95,191.6,190.8,189.65,187.4,185.05,182.6,180.75,179,177.75,176.7,175.7,173.65,172.2,171.05,170.05,171.7,173.9,176.75,179.65,181.2,182.45,182.25,182.45,182.45,182.55,182.55,181.75,180.7,179.05,177.75,176.75,175.95,174.3,173.5,173.1,170.7,168.3,165.75,164.75,165,164.7,164.95,165.35,165.25,165.1,164.95,164.95,165.3,165.65,165.3,166.55,167.5,167.9,167.5,167.4,167.45,167.75,167.6,166.15,156.45,147.8,139.8,131.5,123.55,115.45,107.45,99.45,91.05,Glass_cui
6,178.5,198.2,219,240,261.2,283.15,304.8,327.8,351.4,374.1,397.35,411.05,413.9,415.65,417.05,419.3,421.6,420.8,419.3,420.05,420.55,420.45,418,414.85,411.95,408.45,405.25,402.5,400.1,398.65,395.45,393.5,392.9,393.25,393.7,394.15,394.25,395.6,398.8,400.85,402.6,404.6,408.2,412.75,418.05,423.35,428.95,432.8,436.75,441.5,446.55,451.75,457.25,462.7,468.8,475.95,482.5,489.1,495.6,503.3,510.9,518.9,526.85,534.55,541.35,549.15,556.55,565.25,573.6,582.35,590.8,600.75,609.85,617.95,625.6,632.1,640.95,647.75,654.4,659.45,663.65,667.85,671.3,674.6,676.15,674.55,671.9,668.1,661.6,652.6,646.4,637.3,628.75,620.05,611,600.85,589.4,576.5,562.6,547.45,532.35,517.3,504,490.2,478.2,466.95,457.95,449.2,441.55,432.65,421.05,412.55,403.25,394.3,386.2,378.75,371.55,366.95,360.15,354,350.35,345.3,338.85,333.35,327.45,323.55,319.2,314.55,309.1,305.05,302,296.05,290.45,286.15,283,280.25,277.95,275.1,272.65,269.45,264.85,264.25,262.75,259.85,258.55,257.15,255.65,254.45,253.15,251.45,248.6,248.15,248.45,247.15,243.95,242.1,239.9,238.3,237,237,237.05,233.7,232.35,231.9,229.85,227.6,224.8,221.7,220.2,219.6,220.4,219.65,218.2,218.75,219.15,217.1,215.6,213.75,212.75,211.85,210.6,208.85,207.4,206.45,205.8,205.15,204.8,204.45,202.85,200.85,198.35,196.45,196.2,195.15,194.7,195.4,195.4,194.15,193,191.5,190.4,190.5,189,188.15,186.75,185.45,184.25,182.7,183.65,185.6,187.9,190.6,191.35,190.65,188.45,186.1,183.45,182.3,182.25,182.9,184.35,187.15,189.65,190.25,191.4,192.4,192.6,192.65,191,188.4,185.8,183.25,181.7,181,180.8,180.55,179.95,179.7,179.85,179.8,178.8,176.3,175.35,175.1,174.55,173.65,173.05,173.15,173.9,175.65,176.65,177.15,176.3,176.6,177,177.95,179.4,179.85,179,178.1,177.55,177.35,176.2,174.65,173.35,171.95,170.8,169.55,168.45,168.6,170.4,171.1,172.25,171.95,171.85,170.95,169.8,169.05,168.95,169.15,169,168.7,168.35,169.25,169.25,169.3,169.55,169.25,169,167.2,164.8,155.35,146.55,137.85,129.35,121.25,113.2,105.25,97.3,89.1,Glass_cui
7,177.4,197.25,217.6,238.3,259.65,282.65,305.5,329.25,352.95,375.35,398.6,411.7,415.25,416.65,418.45,420.5,422.85,421.55,420.45,420.9,421.65,420.5,418.95,416.75,413.55,409.2,404.75,400.8,398.2,397.1,393.85,392.65,392,392,391.85,392.9,393.5,395.65,398.9,401.9,404.05,407.3,410.8,414.65,419.75,424.55,429.65,434.95,439.05,443.75,449.6,454.95,460.2,465.5,471.75,477.35,484,490.25,497.35,503.75,510.95,518.6,525.7,533.3,540.35,548.6,557.65,565.05,573.1,580.6,588.25,597.05,606.65,616.2,623.75,631.6,638.35,644.6,649.95,654.35,658.7,662.6,666.65,670.1,671.95,670.6,667.6,664.15,657.85,649.85,643.9,635.1,625.95,616.25,607.4,596.9,587.1,574.7,560.5,546.4,532.25,518.55,504.35,490.9,479.25,468.8,458.8,448.85,438.85,430.1,418.2,408.25,398.5,389.05,380.55,372.95,366.1,360.65,354.65,348.25,345.4,340.05,333.4,326.8,319.85,315.25,311.75,308.3,305.35,301.6,297.35,295.05,290.8,286.75,281.2,276.9,273.9,271.7,270.35,268.7,264.65,262.05,260.8,258.35,257.05,255.1,252.3,250.45,248.85,247.25,246.85,244.95,244.75,244.15,245.8,246.5,246.2,245.4,244.05,242.85,241,239.1,238.95,239.15,237.65,234.95,232.55,229.6,228,226.65,226.8,225.95,224.5,222.4,220.55,219.5,217.15,214.5,212.3,210.45,208,205.95,203.95,202.45,201.2,200.5,199.65,198.1,195.7,193.6,190.6,188.9,188.55,189.25,189.45,187.65,186.95,187.1,188.15,190.3,191.95,193.55,193.4,193.15,193.7,194.15,194.8,196.2,198.55,200.25,201.25,200.9,199.6,197.85,194.6,192.75,190.65,188.85,187.7,186.2,186.1,185.65,185.15,184.45,183.05,181,178.9,176.3,173.75,172,171.2,170.85,170.4,170.65,170.4,169.95,169.55,168.25,167.45,166,164.15,163.85,164.65,165.55,166.35,167.25,168.05,169.45,170.6,172.05,172.65,173.2,173.85,173.55,174.1,174.55,174.4,174.5,174,174.4,174.6,173.7,172.2,170.8,169.1,167.9,166.85,165.4,164.4,163.35,163.85,164.95,165.2,165.65,165.45,165.3,165.4,165.1,164.5,164.65,164.15,164.1,164.25,164.15,164.5,164.45,164.25,164.15,164.1,163.95,162.8,153.45,144.95,136.7,128.7,120.45,112.2,104.4,96.85,88.45,Glass_cui
8,178.95,198.35,219.25,240.15,261.5,284,306.9,329.65,353.4,376,399.25,412.6,415.1,416.8,418.5,420.75,423,422.3,422.25,422.85,423.8,423.9,421.55,418.55,416.2,414.3,410.85,407.65,404.85,403.25,399.95,398,397.3,397.25,397.5,398.1,399.05,400.35,403.8,406.25,408.65,410.8,413.9,418.35,422.45,425.1,429.5,434.25,438.2,442.7,448,453.3,458.6,464.15,470.3,476.5,481.7,487.1,493.55,499,505.55,513.8,521.75,529.25,536.7,544.85,551.9,560,568.65,578.1,586.35,596.7,606.4,614.85,622.1,629.45,637.5,645.1,649.9,655.4,659.4,663.2,667.55,670.9,672.05,670.75,669.2,665.5,660.3,651.65,646.4,635.85,626.2,617.2,608.35,598.2,587.85,575.2,562.55,548.7,534.65,519.55,505.25,491.1,479.65,469.95,458.45,449.85,438.6,429.3,417,406.85,397.45,388,380.1,372.55,366.2,362.45,356.3,350.55,345.15,340.7,334.05,327.5,321.4,314.05,311.1,306.4,303.65,300,297.15,294.65,289.9,286.75,282.5,279,276.2,272.75,270.5,268.55,265.2,261.9,259.9,258.4,256.8,257.55,256.7,255.6,254.2,252.55,250.5,248.9,248,247.95,247.45,248.1,247.2,246.6,245.6,244.1,243.8,243.8,243.85,242.75,239.9,237.25,234.2,231.2,229.2,227,224.45,222.2,220.1,216,213.55,210.8,208.15,205.2,203.05,201.9,200.7,198.85,197.8,198.2,199.9,198.45,198.25,197.5,197.15,197.85,198.4,198.85,200.5,202.05,202.3,201.65,201.2,200.55,199.85,199.7,200.15,200.7,200,199.75,199.4,200.45,200.5,200.5,200.45,199.65,200.1,200.05,198.7,197.35,195.2,193.1,190.35,189.75,189.85,188.95,187.9,187.1,186.55,185.3,183,180.95,178.45,176.3,173.85,172.25,170.9,169.95,169.55,168.65,168.8,168.65,168.9,167.6,167.3,168,168.85,169.65,170.6,172.4,173.7,175.3,177.9,180.15,181.65,184.65,186.95,189.9,192.1,193.95,195.25,196.1,196.45,195.75,194.5,193.4,191.5,190.25,189,186.15,183.85,181.9,179,176.25,174.5,171.9,171,169.95,169.3,169.3,168.7,167.75,167.15,167.15,167.1,166.95,167.85,167.9,167.4,167.6,168.05,168.15,168.25,168.65,169.65,170.05,168.7,159.1,149.7,140.25,131.4,123.3,115.3,107.35,99.45,91.45,Glass_cui
9,178.6,198.3,218.9,239.9,261.3,283.05,305.25,328.5,352.55,375.1,397.95,411.25,414.05,415.9,417.1,419.85,422.45,421.75,420.55,421.25,422.75,422.15,419.75,416.55,413.3,410.1,406.25,403.3,400.6,399.35,396.9,395.35,394.6,394.65,395.3,394.7,395.85,397.05,400.9,403.9,406.35,409.3,413.2,417.8,422.95,427.7,432.95,435.85,439.15,443.45,448.05,453.2,457.75,462.65,468.75,474.8,480.65,487.15,493.75,500.1,506.7,514,521.6,528.75,535.95,544.55,552.15,560.8,569.45,578.75,587.55,598.5,609.15,617.9,625.4,633.65,640.8,647.4,653.8,658.75,662.65,667.2,670.75,674.35,675.65,673.85,671.6,668.75,662.4,653.3,647.25,638.3,629.1,620.25,610.65,599.75,589.85,577.55,563.8,549.35,534.7,519.25,505.75,491.7,480.2,470.65,462.25,453.5,445.05,435.8,424.95,413.75,403.7,393.45,384.1,376.7,370.2,365.85,358.65,352.15,348.55,343.45,336.5,331.3,325.25,319.8,314.25,309.15,303.75,299.55,295.15,290.6,285.8,283,281.1,278.3,274.95,271.9,269.25,266.35,261.7,260.6,258.85,258.35,257.6,256.55,253.2,251.1,248.7,246.75,245.25,244.85,244.8,242.8,241.65,240.55,239.4,237.95,237.65,236.95,236.25,233.6,233.8,231.35,228.65,226.05,225.25,223.05,223.1,223.1,222.75,221.8,220.3,219.35,218.05,215.5,213.55,211.3,210.3,211.05,210.9,209.85,207.75,206.4,205.6,204.15,203.8,203.55,201.95,200.35,197.6,197.45,198.1,199.35,199.4,200.05,199.7,199,197.55,196.1,195.35,195.15,193.9,193.55,193.95,194.55,195.2,194.65,195.5,195.55,196,194.95,192.6,189.85,186.9,184.15,181.6,179.6,178.55,177.25,177.35,177.55,177.95,177.3,175.85,174.05,171.3,169.4,167.6,167.15,166.65,166.05,166.4,166.4,166.85,167.5,168,168.85,169.3,169.65,169,170.35,171.8,172.65,172.95,173.4,174.4,175.4,176.4,177.9,179.8,181.8,183.15,184.4,184.75,184.5,184.15,182.6,181.7,181.2,180.8,179,177.3,175.75,174.8,173.3,171.95,170.6,169.9,168.15,166.6,165.15,163.95,162.9,161.85,161.15,160.6,160.75,160.5,160.65,160.9,160.55,160.55,160.7,160.25,160.8,161.65,162.2,161.7,161.65,161.55,153,144.75,136.65,128.9,121.05,113.15,105.25,97.65,89.6,Glass_cui
