,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,Objects
0,179.2,198.1,216.05,234.6,253.4,273.3,294,317,338.8,360.5,384.85,400.85,408.9,414.6,419.8,423.95,427,427.9,429.8,431.9,434.9,436.4,438.75,440.2,441.8,441.65,440.65,438,437.25,436.2,431.95,426.35,422.2,417.5,412.05,407.4,403,400.15,399.5,399.35,397.4,396.6,396,396.15,396.35,396.8,397.3,398.3,399.25,401.7,403.7,406.65,408.45,411.8,416.9,421.9,427.1,430.9,433.95,438.1,443.05,447.5,452.3,458.25,463.15,470,478.45,485.55,492.7,499.35,506.7,514.2,521.9,530.65,538.6,548.5,559.4,570.25,582.05,593.1,604.9,616.95,628.5,638.4,649.75,660.7,671.4,682.85,694.75,707.3,718.1,731.9,744.4,755.25,764.9,773.25,779.45,784.4,789.25,791.4,792.75,793.9,795.5,797.35,796.1,793.2,787.2,780.1,769.2,756.05,743.35,727.15,712.1,696.9,682.6,667.2,652.6,637.7,618.1,599.65,584.3,567.4,549.55,532.4,517.6,503.4,490.9,477.45,463.95,451.75,441.25,430.8,419.2,409.75,400.35,391.3,383.95,377.05,371.25,365.2,355.8,349.3,343.55,336.3,330.2,325.05,321,318.8,317.6,314.3,310.9,309.25,306.65,301.2,297.95,295,290.4,286.45,284.8,283.25,282.15,279.4,276.75,274.3,270.8,267.1,262.6,258.25,255.35,252.55,249.85,245.75,243.55,242.8,240.7,238.7,237.5,236,233.15,231.4,229.95,228.65,228.3,228.15,227.8,226.65,225.2,222.2,218.8,217.1,214.75,212.4,209.7,208,205.15,202.75,201,198.5,197.2,196.05,194.5,193.45,190.85,189.45,189.15,189.2,189.45,190.2,192.3,193.7,195.25,196.7,197.65,196.95,195.75,195.35,193.15,192.6,192.55,192.6,192.95,194.05,195.55,196.45,196.7,196.1,196.2,196.65,195.35,193.95,192.6,191,189.85,189.15,189.15,188.9,189.7,189.55,189.1,188.8,188.6,188.3,187.55,187,186.65,187.55,187.15,187.1,187.95,189.65,191.35,193.2,194.95,196.4,197.35,198.65,199.65,200.25,200.4,199.5,197.8,196.4,194.9,192.85,190.25,187.35,184.9,181.95,179.25,176.55,174.3,172.3,170.8,169.3,168.45,165.65,162.9,161.15,160.05,159.4,160.15,160,160.2,160.35,160.3,159.95,159.9,160.05,161.05,161.05,160.8,153,145,137.25,129.35,121.65,113.9,105.75,97.65,89.85,Nothing
1,184.4,203.05,220.9,239.05,257.75,277.5,298.1,321.1,344.35,366.9,390.95,406.85,413.65,416.85,420.9,425.05,428.8,428.65,429.35,430.2,432.5,434.05,436.6,439,440.65,440.95,439.55,436.9,434.95,433.05,429,423.8,417.8,411.05,405.6,400.55,394.75,392.05,391.95,391.75,390.1,389.15,388.25,388.2,388.4,388.45,389.6,390.85,392.15,393.7,395.5,399.4,403.25,409.5,414.35,419.8,425.6,429.9,434.65,438.95,443.65,448.5,453.5,458.65,463.9,471,476.3,483,489.7,497.55,504.75,511.05,519.3,526.35,535.25,544.6,555.15,566.35,576.8,588.55,600.6,612.75,624.35,634.75,645.55,657.05,670.55,681.65,693.8,706.25,717.5,731.35,743.7,755.6,765.3,772.7,778.55,783.25,788.25,789.8,790.85,792.65,794.6,796.25,795.6,792.45,786.8,780,768.45,754.9,742.3,726.25,711.6,696.55,682.05,668.2,654.35,639.9,620.35,602.05,584.6,566.75,548.25,531.05,515.7,500.85,488.7,476.75,465.5,453.6,443.1,432.4,420.6,410.45,400.95,391.95,384.45,377.1,371.9,366.25,360.25,354.45,349,342.4,336.85,331.2,325.05,319.75,315.15,311.25,307.35,303.45,300.15,297,294.55,291.5,287.55,283.35,279.55,276.25,273.05,269.7,268.1,265.65,261.9,258.4,255.1,251.55,249.45,247.05,244.2,242.15,239.4,234.9,230.9,229.4,227.45,226.15,225,224.2,223.55,222.35,218,215.95,213.2,211.3,210.1,209,207.55,207.25,206.85,206.7,207.8,209.1,209.2,207.1,205.8,202.95,200.5,198.7,199.3,199.6,200.95,202.25,204.55,206.2,206.45,206.55,207.15,207.05,207.65,208.7,208.55,208.55,208.1,208,207.6,208.3,209.95,212.05,211.85,212.75,213.4,212.65,212.3,211.75,211.75,211.55,209.95,207.65,204.85,201.8,199.2,196.55,194,191.4,189.45,188.65,187.85,187.3,187.3,186.6,186.85,187.2,187.55,186.5,185.3,184.4,184.7,187.5,189.45,190.75,191.85,192.35,192.4,192.65,192,190.9,189.55,187.85,185.35,183.25,180.8,178.25,175.3,173.7,172.1,170.9,169.8,167.3,167,166.5,165.95,165.65,165.65,165.4,165.25,165.15,165.5,165.25,165.1,164.6,164.7,164.85,164.8,164.85,166.15,166.25,165.9,165.4,163.8,155.2,146.8,138.55,130.55,122.6,114.6,106.35,97.85,89.85,Nothing
2,181.15,199.5,217.55,235.8,254.15,273.4,293.7,316.6,339.4,361.95,386.1,401.8,409.1,415.7,419.75,423.35,427.4,428.05,429.95,431.05,433.95,435.65,437.65,439.85,441.4,441.95,441.3,438.2,436.7,434.9,430.95,426.05,420.3,413.85,408.35,403,398.2,395.85,395.45,394.25,392.35,392,391.5,391.15,392.25,392.7,393.15,394.9,396,397.65,399.35,401.65,405.1,409.25,414.75,420.55,425.5,429.3,433.6,438,443.6,448.05,452.6,457.65,462.9,469.4,475.5,482.05,488.9,496.5,504.2,511.8,519.55,527.35,535.65,544.7,554.95,565.55,575.8,587.35,598.65,610.5,622.4,633.25,644.45,655.65,668.95,680.7,692.75,705.35,715.85,729.15,741.5,753.9,763.8,771.3,778.05,783.15,788.3,790.2,791.25,792.6,794.05,795.15,793.35,790.55,784.25,778.05,766.65,753.15,740.25,727.45,713.85,698.5,683.95,669.8,655.6,641.45,622.3,603.95,587.65,570.3,552.75,536.85,521.95,507.6,495.35,482.45,470.45,458.2,448.25,435.2,425.1,415.2,405.45,396.75,388.75,381,374.55,368.3,361.5,355.65,349.3,342.2,336.2,331.1,326.85,323.4,320.8,317.35,312.7,308.45,303.05,298.15,294.95,292.25,288.7,284.75,281.35,278.2,274.6,271.25,269.85,267.35,263.75,259.75,254.6,249.35,246.15,243.5,241.45,239,238.8,237.7,234.35,230.75,228.55,226.8,225.9,225.8,224.7,223.3,220.6,219.25,218.75,217.85,217.35,214.7,211.85,209.2,207.05,205.4,202.55,201.75,202,201.6,200.4,197.7,195.8,193.3,191.6,190.55,189.1,187.15,185.3,184.7,184.7,185.65,187.15,189.5,191.8,193,191.9,189.8,187.05,184.8,183,183.55,184.65,186,187.55,189.5,192.5,195.1,197.15,197.45,196.45,195.7,193.4,190.85,187.9,187.05,186.8,186.55,186.6,186.4,185.2,183.5,181.5,181,180.35,179.4,177.8,176.35,175.2,174.2,173.4,173.35,174.85,177.4,180.4,182.7,185.5,187.7,189.95,192.35,194.7,196.05,195.95,194.9,194.5,193.3,191.8,190.15,188.55,187.2,186,184.7,184.4,183,182.5,181.55,179.55,177.6,175.2,172.6,170.45,168.9,169,168.9,168.35,168.05,168.1,168.25,168.25,168.2,169,169.6,168.1,166.95,165,155.15,146.15,138.05,130.05,122.1,114,106,97.9,90.1,Nothing
3,178.1,196,214,232,251.8,271.65,292.05,314.95,337.7,359.9,383.9,400.1,407,412.7,417.3,421.3,425.25,426.25,429.15,431.1,433.9,436.45,438.5,440.2,439.95,439.75,439.05,436.55,434.9,433.2,429.2,423.95,418.25,412.35,407.6,402.85,397.8,395.2,393.95,393.2,391.45,390.45,389.8,390.1,390.4,390.85,391.7,392.75,393.7,395.9,397.65,400.35,404.3,408.6,413.2,418.3,423.5,426.95,432,436.85,442.15,446.85,451.6,456.85,463.35,469.4,477.25,484.45,491.8,498.55,506.35,514.15,521.85,530.15,538.75,548.25,559.1,569.8,580.15,591.3,603.1,614.9,626.95,637.7,647.9,659.6,670.45,681.35,693.25,706.4,716.85,729.35,741.55,753.45,762.95,770.35,776.35,782.95,789.05,791.45,792.25,792.5,793.9,795.75,794,791.95,786.25,779.1,767.8,754.3,741.7,726.35,711.75,696.55,681.85,666.65,652.6,636.9,616.3,597.6,582.45,566.55,548.6,531.6,517.45,502.65,490.35,478.35,466.4,455.75,446.95,436.2,424.6,413.2,403.25,394.9,386.65,380.05,374.25,367.8,358.35,351.95,345.95,338.8,332.95,327.25,322.2,318.85,316.35,311.2,305.45,302.5,299.35,295.75,291.6,288.7,285.35,281.15,277.9,275.1,272.4,269.35,266.2,263.4,261.5,258.8,255.6,251,247.7,245.45,242.95,240.85,238.15,234.9,233.4,231.25,228.25,224.55,221.9,220,218,215.05,213.75,213.8,211.75,210.5,208.8,205.85,202.9,200.45,198.05,195.5,195.35,198,197.7,197.3,197.4,197.5,198.55,198.15,198.05,198.5,196.95,195.35,193.9,193.1,192.75,193.9,195.45,197.5,200.15,201.55,200.85,197.9,195.2,192.15,190.2,188.9,187.45,188.85,190.95,192.8,195.75,197.4,198.9,199.2,199.15,199.3,199.45,198.25,196.5,194.75,194.05,193.6,193.15,194.15,194.2,193.9,193.9,192.95,191.8,191.15,189.8,187.9,186.2,184.85,183.3,182.1,180.75,181.4,182.5,184.2,185.4,188.5,191.6,192.7,192.7,191.5,190.35,189,187.5,185.75,184.3,182.85,181.2,180.1,179.35,177.75,176.1,173.8,173.3,172.55,171.6,168.75,166.2,163.9,162.3,162.25,162.35,162.3,162.1,162.55,162.65,163.05,163.45,163.65,163.1,163.45,163.85,165.4,164.95,156.15,147.8,139.65,131.55,123.65,115.85,107.8,99.45,91.65,Nothing
4,181.2,199.25,216.85,234.75,253.3,272.9,292.95,315.75,338.25,360.45,384.7,400.35,407,412.85,417.25,420.75,425,426.15,428.2,429.6,433.15,435.85,438.45,440.65,444.05,444.9,443.95,441.15,439.9,438.5,434,429,423.5,417,410.85,405.55,400.45,398.2,397.35,396.25,394.1,392.85,392.4,392.3,390.3,390.1,391.15,392.35,393.5,395.55,397.65,400.35,403.85,408.95,414.55,420.2,425.15,428.65,432.65,437.35,441.8,446.8,451.85,458.05,464.6,471.35,477.1,485.15,492.4,499.3,506.75,514.55,522.3,530.3,538.45,548.05,559.05,569.45,580.35,591.75,603.8,615.35,626.7,636.75,646.9,657.9,671.3,681.3,692.4,705.5,716.2,729.3,741.65,753.35,763.55,770.6,776.7,782.9,788.05,789.75,790.55,791.45,792.65,793.65,792.75,789.95,783.95,777.3,766.9,753.45,740.45,724.5,710.5,695.15,680,666,651.7,636.55,617.25,600.5,585.85,569.25,551.6,535.6,519.95,505.35,492.8,480.95,468.85,456.55,446.85,436.4,423.85,414.3,405,395.9,387.65,379.45,372.15,364.2,355.1,348.55,342.75,335.15,330.45,325.6,321.65,314.75,309.45,304.85,299.4,294.2,293.45,289.15,285.4,282.35,278.75,275.55,272.75,270,267.65,264.4,263,261.8,258.1,253.7,248.05,245.5,244,242,239.75,238.5,233.1,229.65,227.2,224.7,221.85,219.2,217.85,216.45,214.25,212.05,209.35,208.15,206.65,205.85,205.6,204.55,203.75,203,202.85,202.55,204.2,205.45,205.3,204.85,204.8,203.3,202.35,202.2,201.5,201.75,200.1,198.7,199.35,199.85,199.8,200.75,201.1,201.4,201.4,201.25,199.3,196.75,194.3,191.55,190.9,192.1,193.8,195.55,197.65,199.2,201.75,202.8,202.6,202.45,202.35,201.25,200.05,198.9,197.95,197.1,196.9,196.75,196.1,196.4,195.25,194.35,193.8,193.45,193.55,193.35,192.75,192.65,192.85,192.8,192.75,192.15,193.15,195.4,197,199.05,200.85,202.35,203.55,203.05,201.95,200.3,198.05,195.4,192.55,190.65,188.6,185.6,182.8,179.65,177.2,176.25,173.25,170.15,169.4,168.55,166.95,165.3,164.45,164.65,164.2,163.8,163.45,163.6,164.7,164.65,164.55,164.55,164.6,166.35,166.8,166.75,166.8,166.85,166.65,157.2,148.55,140.85,132.8,124.5,116.65,108.6,100.7,92.45,Nothing
5,180.8,198.85,217.15,235.25,253.6,272.95,293.7,316.6,339.55,362.1,386.55,402.5,409.1,414.75,420.9,424.1,428,429.25,431.65,433,435.8,438.3,440.25,442.05,443.8,444.15,442.8,439.9,438.25,436.6,431.75,426.85,423.8,419.15,412.2,407,401.8,397.9,396.75,396.35,394.7,393.6,392.85,392.65,392.6,393.05,393.6,395.15,396.35,398.25,400.5,402.85,403.6,407.15,411.8,416.95,422.2,427,431.8,435.35,440,444.85,449.85,455.85,462.15,468.8,474.85,481.75,488.5,495.45,502.55,509.95,518.35,526.05,534.8,544.95,555.8,564.55,573.95,585.95,598.6,610.3,621.75,631.95,642.25,653.3,666.75,677.6,689.65,702.15,713.25,726.85,739.4,751.15,760.3,767.25,773.1,779.3,785.75,787.95,788.55,790.1,791.9,793.4,792.45,789.55,783.2,776.8,765.55,754.15,743.35,727.95,713.45,699.95,686.1,672.7,658.7,645.25,625.7,606.95,591.6,576.6,558.3,541.65,526.9,512.95,500.65,488.55,475.9,461.95,450.05,440.2,428.95,417.5,407.7,398.05,390.05,382.05,374.55,368.2,359.15,349.85,346.1,338.8,333.55,328.65,323.8,318.6,315.15,312.1,308.15,304.15,300.05,294.8,291.55,288.45,284.85,281.8,280.25,277.7,274.7,272.15,268.5,266.15,261.55,257.8,254.1,251.1,249.6,246.8,243.75,242.1,240.25,239.25,234.75,232,227.5,224.1,221.75,221.1,220.2,218.4,217.3,217.15,217.05,215.9,214.7,212.35,209.8,208.1,206,202.6,202.3,202.6,204.2,204.05,205.3,205,204.1,202.55,200.9,200.25,197.2,195.7,195.35,195.25,195.25,195.65,196.25,197.65,200.15,202.3,201.75,200.1,198.05,196.5,196.2,196.4,197.95,199.9,202.15,204.95,206.95,207,205.8,204.15,202.6,201.15,198.7,195.95,193.3,191.35,189.9,188.95,188,187.4,185.55,182.85,179.95,177.55,175.3,173.2,172.9,173.35,174.25,175.75,177.1,178.1,180.7,183.5,185.85,187,187.5,187.2,188.35,188,187.55,187.3,187.65,187,186.85,185.85,184,182.2,179.75,176.8,174.4,173.15,170.65,169.9,170.55,171.2,172.05,173.15,172.55,171.65,171.25,171.15,170.5,170.9,171.05,171.05,171.25,170.8,170.9,171.6,171.15,170.25,170,168.6,166.1,156.1,146.75,137.75,129.25,121.6,113.7,105.8,98.05,89.7,Nothing
6,180.5,199.4,218,236.1,256.2,275.85,296.1,317.55,339.9,361.5,385.6,401.65,408.4,413.9,417.95,422.25,425.75,426.95,428.95,430.2,432.7,433.95,435.1,437.05,436.7,436.6,435.3,433.75,432.3,431.7,427.55,422.55,417,410.65,405.35,402.85,399.85,396.1,395.05,394.25,392.55,391.55,391.75,391.9,392.55,393.35,394.8,396.65,398.2,400.05,401.8,404.5,408.05,413.9,419.5,421.95,425.6,430.3,435.3,439.9,444.5,449.3,453.75,459.3,465.1,471.55,477.45,482.25,488.8,495.25,501.4,509.05,516.75,523.95,532.55,542.3,552.9,563,573.65,585.25,596.8,608.8,620.6,630.95,641.15,652.5,665.6,678.9,691.4,705,717.25,730.15,743,755.05,764.95,772.35,778.2,783.2,787.65,789.95,792.55,794.75,795.45,795.55,794.75,791.5,785.3,778,766.25,752.85,740.5,727.75,714.3,699.35,684.45,670.65,656.75,642.55,623.95,605,588.8,570.55,553.4,538.2,523.05,509.25,496.95,484.95,472.6,460.6,449.75,436.55,425.25,415,404.9,392.55,383.9,376.1,368.4,361.9,353.15,347.2,341.05,333.55,328.4,322.65,317.35,312.95,309.75,305.5,301.35,297.55,294.1,290.3,287.55,287.7,285.55,283.2,281.7,279.5,276.2,273.55,272.5,270.55,266.4,262.2,258.85,254.6,251.85,249.5,247.35,245.05,241.7,238.3,235.6,232.45,229.2,226.7,225.2,224.05,223.35,221.1,219.25,218.55,218.4,218.75,217.35,215.45,213.5,211.95,209.55,207.7,206.5,206.45,205.9,205.55,204,201.7,200.15,200.8,201.3,203.15,203.3,203.05,202.95,202.35,202.65,203.9,205,204.9,205.6,206,204.8,203.1,200.65,198.05,196.8,196.1,196.55,195.6,195.9,195.85,195.5,195,193.9,192.4,190.65,189.05,186.5,185.5,184.7,184.05,183.7,183.5,183.2,184.3,184.65,184.6,183.9,183,181,178.45,176.5,175.75,176.25,177.05,178.65,179.85,182.15,184.7,186.85,188.95,191.4,193.45,195.35,195.25,195.35,195.1,193.65,193.25,192.8,192.7,192.25,191.25,188.95,186.65,184.3,181.65,179.05,176.15,175.05,173.15,170.75,168.85,166.85,165.65,164.35,163.15,163.4,162.9,162.6,162.05,162.05,161.75,161.75,161.9,161.4,161.2,161.75,161.95,161.25,152.95,145.15,137.15,129.4,121.35,113.1,105.2,97.15,88.95,Nothing
7,179.9,198.8,217.9,236.5,255.15,274.1,294.45,317.4,340.2,362.2,386.05,402.7,409.75,415.65,420.7,424.2,427.65,429.3,431.55,432.85,435.25,436.7,437.55,438.4,439.7,442.4,441.85,438.75,436.9,435.9,432,426.25,420.35,414.7,408.75,404.05,399,395.6,394.35,393.45,391.55,390.35,389.7,390.3,390.7,389,389.3,390.9,392.25,393.55,395.25,397.4,400.6,405.05,410.7,415.9,421.85,424.65,428,431.9,437.1,442,446.9,452.15,458.25,465.3,471.4,478.6,485.4,492.8,500.8,508.8,517.05,524.8,533.6,543.15,553.85,565.45,577.65,590.2,601.35,613.35,625.25,636,646.6,656.85,669.65,680.55,692.5,703.4,714.25,727.25,739.55,751.3,760.6,770.6,777.6,783.1,787.5,789.15,790.65,791.9,793.25,794.5,793.35,791.45,786,778.95,768,756.15,743,727.35,712.7,697.45,683.1,666.6,651.45,637.25,619.1,600.9,585.4,568.4,552.15,536.2,518.8,503.35,489.95,477.7,465.05,452.8,442.25,431.85,420.25,410.45,401.85,392.5,384.4,377.3,370.65,364,355.3,348.55,340.65,333.4,329.45,324.6,319.2,314.7,311.2,307.6,303,298.95,296.1,290.7,283.1,279.7,276.85,272.6,269.5,266.95,264.75,262.05,261.4,259.6,257.3,254.9,253.15,250.55,249.2,247.15,245.6,244.5,242.25,240.95,241.65,239.7,237.2,235.8,234.05,232.8,230.9,228.7,225.6,223.75,222.3,220.75,217.7,213.8,212.1,210.7,209.2,207.65,208.1,208.65,208.3,207.7,206.2,204.45,203.1,202.45,202.05,202.75,202.45,202.65,202.85,202.45,203.25,205.1,205.25,205.3,205.35,205.3,203.05,200.15,197.15,194.9,193.05,190.3,190.8,192.35,194.35,194.8,195.1,194.25,193.7,193.45,192.3,190.45,188.2,186.9,185.7,184.75,184.6,185.5,185.45,185,184.65,185.05,183.2,180.9,177.9,176.25,176.25,176.4,175.8,175.1,175.45,176.5,178.55,180.25,182.65,184.95,187.05,188.7,191.4,193.4,194.3,194.95,194.85,194.45,194.45,194.65,193.3,191.2,189.25,187.75,186.4,184.4,181.65,179.6,179.15,177.45,175.1,172.95,170.45,167.95,166.2,165.1,165,164.7,164.4,164.15,164.8,165.15,166.4,167,166.5,166.35,166.2,166.55,165.05,156.2,148.15,139.95,131.75,123.85,115.9,107.7,99.8,91.9,Nothing
8,180.7,199.4,217.7,235.8,254.75,274.6,295.25,318.4,341.5,363.85,388.05,403.8,410.65,416.3,420.2,425.05,429.2,430.4,432.65,433.9,436.55,438.45,440.3,442.5,443.2,443.2,442.65,439.5,437.3,435.9,431.75,427.15,422.05,416.1,410.25,403.75,398.65,395.6,394.95,394.75,393.25,392.25,391.75,390.95,391.55,392.2,392.75,393.25,393.3,394.7,397.3,399.25,402,406.45,412.3,417.85,423,426.9,431.75,435.75,440.45,444.95,449.85,455.6,461.7,468,473.65,481.45,489.45,496.65,503.15,510.9,518.7,526.5,534.8,544.7,555.45,566.2,576.35,586.9,599.9,612,624.05,634.9,645.8,656.8,669.8,681.05,692.95,705.9,717,729.7,742.55,754.75,764.7,771.8,777.75,783,788.2,791.15,791.1,792.25,793,794.1,792.05,789.05,782.9,775.7,765,751.5,738.75,725.3,712.5,697.55,679.85,665.3,651.3,634.6,615.35,597.55,582.65,565.65,548,531,515.5,501.15,488.9,477.25,465.2,453.3,443,430.5,416.55,406.1,399.55,390.85,383.15,377.8,371.65,365.4,356.5,350.1,344.4,338.05,331.15,325.45,320.15,315.2,310.7,307.2,303.95,301.9,300.2,295.75,292.3,290.1,286.3,282.85,279.35,276.1,272.8,269.9,268.1,265.8,264.6,261.7,257.5,254.4,253.3,250.45,246.25,241.7,237.35,234.45,229.9,226.3,221.8,219,218.4,217.5,216.95,215.8,214.3,213.55,213.65,212.95,212.95,209.7,206.05,203.65,202.25,201.7,202,202.3,203.5,203.05,204.25,202.2,199.85,198.1,196.15,194.35,191.85,190.6,189.8,189.65,189.05,190.2,192,193.7,196.25,197.95,197.7,197.2,195.95,195.5,194.75,196.45,198.15,200.45,202.9,205.7,207.4,207.6,206.6,206.15,206.55,206.8,205.9,204.75,202.15,199.7,198.75,197.4,195.9,194.2,192.55,190.2,188.6,186.25,183.8,181.7,179.85,178.75,177.8,177,176.4,175.9,176.95,178.95,181.35,183.9,185.5,187.65,189.6,190.15,189.95,189.2,188.25,188.25,187.8,186.75,186.6,185.7,184.75,183.1,180.7,178.45,175.75,173.05,171.85,171.55,172.6,173.45,173.5,173.2,172.9,172.7,172.2,171.9,172.35,172.5,172.55,172.4,172.35,172.25,172.35,172.45,172.6,172.55,171.55,161.3,150.3,139.3,129.5,120.6,112.5,104.55,96.8,88.85,Nothing
9,179.5,197.7,216.45,234.45,252.7,274.25,294.75,317.65,339.9,362.6,387.05,403.5,411.05,416.7,421.4,425.6,429.4,430.5,432.5,434.7,438.55,441.15,442.2,444.1,445.9,444.15,443.5,441.1,440,438.05,433.55,428.2,422.5,416.45,410.3,404.25,398.8,394.4,391.8,391.15,388.45,387,387.05,387.5,387.95,388.2,388.6,389.55,390.85,392.7,394.65,397.15,401.15,406.1,412.15,417.9,423.4,428.6,433.7,437.85,443.3,448.6,452.95,458.25,464,471.3,476.55,484.1,491.2,497.65,504.35,512.05,519.55,527.7,535.95,545.35,556.5,566.75,578.3,589.95,600.8,611.9,623.7,634.05,644.7,655.55,669.3,679.7,691.4,705,716.5,729.1,741.35,752.65,762.05,769.25,774.55,779.95,785.1,786,787.2,787.65,787.75,788.75,787.6,784.3,778.3,771.7,760.75,746.85,734.25,718.85,704.2,689.45,674.9,660.75,646.4,631.9,612.8,595.05,580.6,564.6,548.65,532.35,517.35,503.35,491.2,479.25,467.4,456.2,445.8,435.2,423.25,412.4,403.9,395.6,387.2,379.5,373.1,366.55,357.4,350.95,345.1,338.3,333,327.65,322.35,317.3,313.05,308.3,303.2,299.05,294.95,290.2,285.85,282.65,279.75,276.95,274.95,273.35,270.75,268,266,264.45,260.65,257.7,253.25,248.65,245.55,242.45,240.1,237.9,236.25,234.25,231.6,228.7,226.05,223,219.6,216.7,214.4,212.55,210.55,209.35,208.25,206.55,205.8,204.15,202.55,201.95,201.45,201.2,202.2,203.85,203.5,202.85,202.65,201.75,202.95,203.15,203.7,204.1,202.4,200.6,200.5,200.55,200.65,201.95,203.6,203.95,204.05,203.8,202,199.4,196.5,194.35,192.8,192.7,192.4,193.8,195.2,196,197.75,198.5,198.05,197.55,197.5,196.85,195.15,193.7,192.3,191.05,190.45,190.1,190.05,189.65,188.2,185.6,183.6,180.8,178.6,177.1,176.15,176,175.95,175.35,174.9,175.55,176.45,179.35,182.2,184.65,187,189.35,192.35,194.7,196.8,198.45,198.35,198.65,197.7,197.2,197.3,196.1,194.5,192.8,190.5,187.85,185.65,182.9,181.85,179.7,177.7,175.4,172.5,169.55,167.35,165.65,165.1,164.6,164.8,164.4,162.95,162.25,162,161.8,161.85,161.9,162.4,162.6,161.55,153.45,145.25,137.2,129.35,121.65,113.6,105.7,97.7,89.85,Nothing
