,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,Objects
0,183.5,202.2,221.6,241.75,261.45,282.7,304.6,329,353.45,376.65,401.95,417.75,423.75,427.5,430.65,432.1,432.8,430.95,431.5,432.55,433.7,435.5,435.45,434.2,433.6,431.35,428.25,423.95,420.8,418.75,413.7,408.4,403.2,398,395.25,393.4,392.35,391.95,392.65,393.6,394.75,394.55,395.5,398.05,400.75,403.3,406.8,409.45,411.5,414.15,417.45,421.5,427.4,434.4,439.25,446.25,452.6,458.6,464.9,470.65,476.9,483.55,490.1,496.05,502.35,510.4,516.9,525.7,535.4,545.4,554.35,564.4,573.75,583.2,594.7,605.4,617.4,629.05,641.9,656.4,671.15,685.7,699.8,713.4,727.55,738.7,749.8,758.3,763.95,768.95,775.6,781.4,786.85,791.2,792.1,790.2,786.45,779.75,772.4,760.1,747.2,733.5,721,708.3,694.45,681.1,667.6,653.25,637.5,620.85,602.25,583.4,565.7,547.5,532.25,518.75,505.3,492.35,477.2,465.6,455.45,444.45,432.45,421.8,410.7,401.55,393.15,385.55,378.25,370.4,364.55,358.2,350.8,345,339.1,332.95,329.35,328.05,325.3,320.1,312.9,308.4,304.6,299.5,296.35,292.2,289.2,285.7,282.85,281.05,278.15,276.5,274.05,270.65,267.95,266.3,263.35,260,257.5,255.65,254.65,253,252.15,251,247.8,245.1,241.35,237.7,235.65,232.75,230.4,227.7,225.8,223.4,222,220.45,218.95,217.65,216.2,216.05,215.9,216.6,216.05,215.95,216.2,215.45,214.65,214.25,214.1,214.9,215.35,215.25,216.1,217.85,217.5,216.7,215.55,213.8,212.5,211.05,210.05,207.95,206.35,206.05,205.7,205.65,205.9,206.35,206.8,207.15,207.65,207.85,207.35,205.5,202.3,198.9,196.3,194.6,193.9,193.75,193.65,194,194.1,193.9,193.9,193.6,193.3,191.65,188.9,186.35,183.85,182.4,180.95,180.3,180.6,182.15,182.9,183.55,183.95,184,183.75,183.7,183.5,182.4,180.65,181.1,181.4,182.55,184.95,187.35,190.6,192.4,194.25,196.05,197.65,198,198.3,197.7,196.95,195.9,194.25,192.5,191.25,189.7,188.15,185.35,182.85,181,179.3,177.4,176.2,175.05,173.2,171.6,169.7,167.85,166.4,166.2,165.8,166.8,167.7,167.95,167.55,167.4,167.95,168.3,168,167.75,167.3,167.45,166.75,157.95,149.85,141.65,133.9,126.15,117.95,109.15,100.95,91.8,Oneplus
1,183.15,201.95,221.7,241.85,262.3,283.55,305.75,330,354.65,377.65,400.7,416.1,422.7,425.7,428.2,430.05,431.35,431.05,431.8,432.5,435.95,437.2,436.85,435.65,434.3,432.05,428.7,424.25,421.2,419.15,415.9,411.25,406.4,402.5,399.3,396.95,395.45,394.1,395.45,396.5,395.5,395.8,397.2,401.25,404.1,407,410,413.7,415.9,418.7,422.15,426.55,431,435.65,440.35,445.9,451.8,457.8,463.8,469.5,475.95,482.4,488.4,492.7,499.25,506.65,513.15,521.45,530.65,540.5,549.2,558.9,568.8,578.7,592.1,603.45,615.2,627.05,639.45,653.6,668.85,683.55,697.3,710.2,722.15,733.2,745.25,753.35,760.05,765.85,773.35,779.65,785.65,790.5,789.6,787.7,784.4,777.8,770.3,757.75,745.35,732.15,719.65,707.35,694.75,681.6,666.65,651.5,634.75,618.4,599.7,580.45,562.4,544.8,529.6,516.65,504.75,494.35,480.15,468.65,457.9,446.2,434.1,423.1,412.35,403.5,396.7,389.5,381.95,373.2,366.75,360.5,353.15,347.75,341.4,335.05,329.35,324.8,320.75,317.2,310.5,305.05,301.1,296.35,292.65,288.7,284.25,280.95,277.95,275.4,271.9,269.3,266.65,262.6,260.55,259.55,257.75,255.8,253.7,250.5,248.9,248.85,248.65,247.45,245,242.8,240.7,238.55,237.65,236.7,235.5,235.7,234.35,232.85,231.25,228.45,225.85,223.2,220.75,219,216.55,213.4,211.2,210.9,211,209.65,208.6,206.95,206.15,204.4,203.6,200.3,200.15,200.85,200.55,200.2,199.95,198.25,199.35,201.15,202.65,204.5,204,202.6,202.5,202.65,201.6,201.85,201.75,203.15,203.95,204.8,204.3,201.95,199.25,197.6,196.05,195.5,194.2,192.5,192.2,191.6,192,192.15,190.8,189.5,189.1,187.8,185.9,183.35,181.85,181.2,180.65,181.05,180.7,179.65,179.2,179.7,181.05,182.1,183.05,184.75,186.2,187.35,188.45,189.7,191.2,192.8,194.4,196.1,197.1,197.9,198.4,199,199.4,199.55,198.9,196.6,194.05,191.85,189.45,186.8,183.8,181.7,178.9,175.65,172.8,171.65,170.65,170.65,172.45,173.3,173.9,173.85,174.15,174.8,174.8,174.85,174.95,175.05,174.4,174.25,174.3,174.05,174.15,174.35,174.7,172.85,172.5,171.15,168.95,158.9,149.45,140.6,132,123.1,114.5,106.6,98.3,90.25,Oneplus
2,183.4,202.45,222.5,242.6,262.85,284,306,330.75,355.35,378.4,403.8,420.4,426.3,429.65,432,433.25,434.9,435.95,436.45,437.9,438.75,439.6,438.95,437.9,436.55,434.3,430.85,424.05,420.2,418.15,412.65,407,402.15,399.85,397.85,395.95,394.5,394.05,395.7,396.4,395.7,396,396.8,398.85,401.4,404,407.55,413.1,415.8,418.7,422.1,426.4,431.65,434.9,439.3,444.85,451.05,456.55,462.15,468.2,474.8,481.7,488.35,495.65,504.4,511.65,518.1,524.4,533.7,543.7,552.85,563.15,573.15,583.7,594.7,606.55,618.75,630.9,643.55,656.75,671.7,685.9,700,711.75,721.45,732.9,744.35,754.3,761.5,766.6,773.7,779.4,784.85,788.95,789.5,787.4,784.45,778.65,771.9,760.65,746.55,732.95,720.5,708.95,697.45,684.95,671.2,657.6,640.95,624.5,605.75,586.45,568.7,550.95,536.2,522.45,508.85,497.25,481.35,468.45,459.2,448.35,436.5,425.45,413.75,403.9,396.5,388.4,382.15,374.2,367.85,361.65,354.7,349.05,342.6,336,331.6,327.4,324.85,320.55,314.05,310.05,306.2,301.25,297.95,295.1,291.1,287.35,283.25,280.65,277.6,275.15,272.15,268.25,267.05,266.55,263.7,260.5,257.25,255.3,253.55,252.7,252.35,252.25,250.8,247.45,244,241.3,239.7,238.25,236.9,235.15,233,230.35,227.1,224.4,221.4,219.1,217.4,215.75,213.5,209.95,206.55,204.7,203.65,203,202.65,200.5,198.35,195.9,194,192.75,194.6,196.95,197.45,196.65,196.5,195.2,195.7,197.5,200.2,201.8,202.3,202.15,202.5,202.65,202.55,204,206.2,208.5,211.15,213.4,212.35,210.3,207.35,206.25,205.05,204.35,203.4,202.3,201.85,202.3,203.2,202.55,202.15,202.15,202.05,201.15,199.15,197.75,194.8,192.15,190.1,189.25,189.35,188.85,188.7,189.05,189.15,188.75,187.3,186.15,184.95,184.9,184.4,184.35,183.65,184.35,185.35,187.2,189.25,190.4,191.4,191.8,192.55,191.75,190.75,190.55,189.5,188.2,187.45,186.05,184.6,182.9,180.35,177.7,176.15,174.05,172.6,170.75,170.65,170.95,171.2,171.1,170.3,170.7,170.4,168.75,168,168.1,167.7,167.75,167.95,167.7,168.05,167.85,167.65,167.15,167.7,168.45,168.3,158.9,150.05,141.95,134.05,125.7,117.65,109.7,101.9,93.7,Oneplus
3,180.7,199.5,219.35,239.15,259.35,280.55,302.55,325.45,349.3,372.3,397.35,413.5,419.8,423.1,425.1,427.8,430.15,430.05,431.05,432.15,434.35,435.55,435.8,436.2,435.15,432.95,429.7,426.8,423.75,422,417.1,412.55,408.35,404.55,401.4,398.9,396.95,396,397.7,398.6,397.8,398.1,398.4,399.15,401.55,403.9,407.05,410.2,412.85,415.25,418.8,422.75,427.3,432.35,439.45,444.5,450.5,456.65,461.75,466.6,472.85,479.15,485.7,492.45,499.2,507.2,514.45,522.65,532,541.95,550.8,560.45,569.95,579.6,589.1,601.3,614.55,626.45,638.7,652.8,667.8,682.05,695.5,707.65,719.85,730.65,742.8,751.5,757.65,762.65,769.1,774.65,779.9,785,785.8,783.75,778.95,771.8,765.15,753.8,740.45,727.55,715.55,704.4,692.15,679.15,661.65,647.85,632.2,615.75,597.25,578.6,561.5,543.45,528.4,515.3,503.1,492.9,479.95,467.75,458.25,447.05,434.95,423.45,412.7,403.4,397.4,386.75,378,370.4,364.4,358.3,350.95,345,338.25,331.55,326.8,322,316,310.8,303.1,298.05,293.4,287.95,284,280.65,276.95,275.7,274.9,273.2,271.7,271.7,271.15,268.15,266.2,265.05,261.95,259.4,257,255.8,255,254.25,254.8,254,251.4,247.85,244.9,242.15,239.55,236.15,232.05,227.15,223,219.85,218.6,217.15,215.6,212.55,211.8,211.2,210.8,210.1,209,208.15,208.15,208.25,205.95,202.6,199.2,198,196.65,195.8,196.55,198.8,198.65,197.85,197.05,196.35,194.7,193.55,192.15,190.25,187.15,186.25,185.15,185.2,186.9,189.75,192.95,195.15,198.55,200.65,199.6,197.6,194.7,193.15,191.6,190.05,189.3,189.5,190.4,191.25,192.75,193.6,193.6,192.4,192.4,191.25,189.85,188.05,185.2,183.1,182.75,182.15,181.8,180.55,179.65,179.9,180.25,179.6,178.95,178.95,178.85,178.25,178.6,179.4,178.55,179.3,180.7,182.1,183.15,184.25,185.1,185.85,186.45,187.4,187.8,187,186.45,186.2,185.2,184.65,183.55,182.2,180.15,177.4,175.95,173.15,170.3,168.45,168.85,169.15,169.65,170.55,171.25,170.85,170.1,170.2,170.6,170.9,170.65,170.65,170.45,170.2,170.05,170.3,170.15,171.2,171.35,171.3,170.45,160.9,151.3,141.7,132.65,123.9,115.75,107.8,99.4,90.7,Oneplus
4,184.2,203.6,223.7,243.95,264.4,285.2,306.8,331.5,356.05,379.2,401.85,417.35,423.4,426.8,429.6,431.7,433.15,432.8,433.15,434,435.9,436.2,434.95,433.8,432.1,429.95,426.7,422,418.55,416.4,413.6,408.75,403.85,399.5,395.9,393.05,391.55,390.55,390.55,391.55,391.25,392.25,394.2,396.6,400.25,404.4,408.4,411.15,413.75,416.35,420.1,424.55,429.6,434.55,439.25,445.4,452,458.15,465.2,470.8,477.7,483.9,489.7,495.9,501.95,508.2,514.65,523.6,532.6,542.35,551.3,560.9,570.7,581,592.7,604.15,615.8,626.5,638.75,651.95,665.15,679.3,693.55,706.7,718.2,729.3,740.45,748.4,754.7,760.4,766.65,772.8,778.3,782.4,782.85,781.55,778.75,773,766.1,754.45,742,728.6,716.75,704.65,693.3,680.75,667.2,653.95,641.2,624.35,606.1,587.2,569.65,551.4,536.35,522.75,509.6,498.95,484.1,472.1,462.55,451.65,438.65,426.85,414.85,405.35,396.55,388.3,377.55,369.95,363.6,357.25,349.6,344.4,337.9,331.15,326.15,319.15,314.7,309.95,304.3,302.95,300.8,296.5,293.95,290.55,286.95,283.3,280.5,277.8,274.7,272.1,269.35,265.45,264.1,262.85,260.25,260.4,259.55,258.15,255.4,250.75,249.1,247.45,244.3,240.95,238.95,236.95,236.55,235.55,234.65,234.15,234.15,235.75,235.05,233.05,230.65,227.75,226.3,225.4,224.95,223.6,221.55,221.3,221.5,221.4,219.75,217.55,214.9,212.75,210.75,209.15,209.15,207.5,205.85,205.4,205.1,205.05,203.45,202.75,201.65,201.1,199.6,197.8,197.55,197.1,197.85,198.45,198.9,200.6,203.05,204.2,202.65,200.45,197.85,196.45,195.5,195.75,197.25,198.8,200.6,201.55,203.15,204.45,203.45,202.25,200.85,200.15,200.25,200.5,199.95,199.55,199.5,199,198.75,197.35,196,193.05,190.55,187.7,185.45,183.85,183.2,182.35,182.35,182.55,183.25,183.75,184.4,184.5,185.2,186.05,188.1,190.3,193.1,194.9,195.95,197.1,198.25,199.35,199.25,199,197.45,195.85,193.85,192.55,190.4,187.6,186.3,185.2,185.05,184.05,182,180.7,178.8,177.2,175.45,173.95,172.5,171.55,170.75,170.85,170.95,170.95,171.1,170.5,170.85,171,169.7,168.15,166.05,156.4,147.3,138.3,129.5,121.15,113.2,105.4,97.35,89.25,Oneplus
5,186.2,205.55,224.9,244.85,265.15,288,310.75,335.35,359.75,383.35,408.75,423.65,429.8,433.05,435,435.75,436.7,435.75,436.2,437.6,439.4,439.85,439.7,438.55,437.4,433.45,429.65,425.1,421.95,419.2,413.75,408.5,404.55,400.15,396.7,396.15,395.65,394.9,395.95,396.6,396.7,396.85,398.05,399.9,402.3,404.75,407.85,411,413.4,416.15,419.7,423.2,427.5,432.65,438.45,442.8,448.15,454.35,460.3,465.85,472.15,479.05,485.4,491.9,499,506.9,515,521.85,530.7,539.65,548.4,558.6,567.75,577.9,588.7,600.3,612.6,624.4,636.85,650.65,664.75,678.8,692.85,706.7,718.3,729.15,739.2,749.2,755.9,762.05,768.7,774.35,780.7,785.3,786.9,785.45,782.5,775.65,766.2,753.7,740.9,727.9,714.1,701.7,689.95,677.5,663.5,649.5,633.4,617.25,599,580.2,562.55,544.25,528.7,515.5,503.2,492.95,480.45,468.6,458.85,447.45,436.75,425.2,414.25,404.35,396.3,388.05,380.4,372.1,364.75,359.2,351.6,345.7,339.2,332.2,326.7,319.55,314.2,309.8,302.5,298.1,294.35,289.2,284.95,281,277.3,274.2,271.1,268.55,266.8,263.2,260.7,257.1,254.65,252.7,250.25,250.2,250.5,249.3,248.55,247.2,246.3,245.3,242.1,239.1,236.65,232.4,231.25,229.45,227.25,225.35,222.65,220.8,219.35,218.7,215.9,213.7,211.75,210.05,207.95,205.25,202.95,201.95,202.7,202.9,201.5,201.8,200.95,200.55,200.1,199.8,200.85,202.8,202.85,201.1,200.6,199.8,198.85,199.05,199.65,200.4,199.55,199.05,198.25,197.7,197.8,197.9,198.2,199.05,200.6,202.25,202.25,200.85,200.55,201.15,201.3,200.95,201.6,202.7,204.05,205,206.25,206.95,207.7,207.15,207.4,206.15,204.1,202.2,199.55,196.8,195.5,194.15,191.7,188.85,185.7,183.65,181.8,179.9,178.25,177.6,177.3,176.95,176.5,177.45,177.25,178.2,180.35,182.5,184.3,185.75,187.05,188.15,188.8,188.85,189.55,189.7,190.55,190.7,190.5,189.2,187.95,187.3,185.75,182.95,180.25,177.75,175.25,173.05,173,173.05,173,173.1,173,172.8,172.3,171.6,170.25,169.05,168.15,168.4,168.25,167.35,166.65,167.25,168.8,169.75,170.6,170.65,169.25,160.1,150.7,141.65,133.15,125.2,117.2,109.2,101.1,93.3,Oneplus
6,182,201.15,220.85,240.5,260.5,281.4,303.3,327.6,352.75,376.3,401.7,418.15,424.85,429,431.9,433.25,434.5,434.05,434.05,435.4,438.4,438.75,437.9,437.15,437.2,436.65,433.65,429.75,425.8,423.3,418.1,413.25,407.7,403.15,399.65,398.05,397.2,396.75,398.5,399.3,398.7,399.95,401.65,403.8,405.35,406.1,408.95,411.55,414.3,417.05,420.15,423.5,428.7,433.85,439.35,444.8,450.2,454.75,460.3,465.65,472.05,478.2,484.25,490.65,497.25,505.35,512.85,522.05,531,540.9,550.1,561.5,570.65,580.4,591.35,602.5,615.25,628.3,640.35,654.5,669.4,683.65,697.3,709.7,721.45,732.6,742.85,750.45,756.9,762.6,769.35,773.45,778.55,783,783.6,781.75,777.7,770.35,763.75,751.95,738.4,725.15,713.5,702.35,690.45,677.6,664.75,651.1,635,618.1,599.45,581.1,564.8,547.15,532.7,519.75,507.1,497.15,482.5,469.75,458.65,450.6,439,427,415.95,406.45,397.8,389.55,381.55,373.05,366.75,360.45,352.5,346.9,339.85,333.25,327.85,323.55,320.15,316.3,310.95,303.4,299.05,294.8,291.95,288.55,284.95,280.1,276.85,274.3,271.55,268.75,266.5,265.6,265.35,264.6,261.95,259.15,256.65,254.7,253.05,251.7,250.95,249.25,246.1,242.9,239.8,238.05,237.25,236.4,236.2,235.6,235,231.7,228.8,226,223.55,221.05,219.2,218.35,217.65,215.05,212.6,212.1,212.15,210.6,210.05,209.95,209.65,209.7,209,208.6,208.8,209.3,209,208.5,208.8,208.45,209,208.7,208.05,208.3,207.45,207.05,206.75,207.75,207.35,206.9,206.95,207.4,207.6,208.25,208.05,207.8,207.75,208.15,207.05,207.2,207.05,207.05,208.65,211,213.6,214.6,214.9,214.9,214.5,213.35,210.85,207.75,204.9,202.3,199.65,197.05,193.95,191,188.75,186.25,184.7,184.15,182.75,181,179.2,177.95,176.65,176.25,177.15,178.3,179.6,182.35,185.05,188.2,191.05,193.6,196.65,199,201.25,202,201.05,199.75,199.25,199.05,197.75,196.25,195.15,193.3,190.55,187.75,186.4,185.5,185.55,183.65,181.8,179.5,176.8,174.3,172.05,170.6,170.2,170.25,169.3,168.85,169.05,169.7,169.35,168.8,168.9,169.15,169,167.2,164.85,155.55,146.65,138.5,130.45,122.45,114.55,106.65,98.8,90.8,Oneplus
7,182.8,201.1,220.65,240.85,261.35,282.65,304.6,329.7,354.6,378.1,404.05,419.75,426.4,429.5,431.9,434.8,436.45,435.1,435.7,437.05,439.65,441.05,440.6,439.1,437.35,434.8,431.55,426.5,422.6,420.1,414.05,408.45,403.5,399.15,395.25,391.6,390.3,390.45,392.6,393.8,393.55,393.95,395.15,396.95,399.6,402.15,405.8,407.9,410.45,412.5,416,420.35,425.5,430.6,435.65,441.2,447,453,458.25,463.9,470.6,477,483.75,490.25,497.15,505.1,511.3,521,530.1,540.9,549.75,559.7,569.3,578.9,590.55,602.5,615.05,626.3,637.4,649.25,663.15,678.4,691.4,704.75,716.25,727.2,738.8,746.85,753.95,759.3,766.1,771.9,777.3,782.5,783.25,780.8,776.5,770.05,764.35,754.45,741.65,727.95,717.25,705.65,694.3,681.6,667.95,654.35,638.05,621.5,605.95,588.2,570.8,555.35,542.1,529.8,518.15,508.05,494.15,481.75,471.75,460.45,447.5,435.75,424.55,415.1,406.45,398.05,390.8,382.6,373.9,366.55,359.15,350.8,342.8,334.8,328.5,323.65,319.5,315,308.4,303.85,299.25,295.85,293,290.2,287.5,285,282.35,280.15,276.7,274,271.15,268.6,266.55,266.4,264.6,262.2,260.05,258.65,257.85,256.65,257,254.9,251.35,247.2,242.8,238.75,236.6,234.6,233.9,232.85,231.45,228.65,226.75,222.25,219.65,216.4,214.6,214.25,212.85,209.85,207.5,206.3,206.45,206.7,206.8,206.1,203.9,202,199.25,197.75,198.05,199.05,199.15,200.8,200.25,199.45,198.5,197.05,195.7,195.85,194.1,192.5,191.1,190.35,190.6,190.85,192.1,193.5,194.95,195.5,194.25,192.05,189,187.15,186.7,187.6,189,190.7,193.6,196.15,199,200.3,201.25,200.95,199.9,198.85,197.45,196.15,194.35,193.7,193.25,193.4,193.4,192.55,190.95,189.1,187.1,185.1,183.1,181.55,180.3,179.6,178.5,177.5,177,176.45,176.75,177.8,179.9,180.7,181.5,181.95,182.65,182.6,182.15,181.25,180.3,179.35,178.3,177.5,176.2,174.95,173.5,172.4,170.85,169.9,168.95,167.65,166.05,165.45,164.8,164.55,163.6,163.05,162.9,162.9,163.9,164.6,164.5,164.05,163.65,163.75,163.7,163.45,163.75,163.4,162.95,162.85,163.2,154.65,146.55,138.1,130.25,122.35,114.25,106.2,97.3,88.6,Oneplus
8,178.45,196.75,216.5,236.25,256.6,279.25,301.7,325.45,349.85,373.5,399,416,421.9,425.5,428.3,430.1,431.75,431.8,432.4,434.05,437.3,439.15,438.3,437.5,436.2,432.75,428.85,424.75,421.35,418.85,413.7,408.2,403.35,398.85,396.05,394.85,395.7,394.55,395.6,396.2,395.8,395.85,397.8,399.7,402.45,404.5,407.6,411.1,413.65,416.4,419.6,423.4,428.75,434,438.85,444.2,447.9,454.1,460.1,466.35,471.7,477.8,483.65,489.9,496.55,504.95,511.65,520.05,526.55,535.3,544.15,556.3,565.8,575.95,587.45,598.75,610.85,623.55,636.2,649.4,665,679.75,693.4,706.6,718.65,728.8,740.9,749.55,758.9,765.75,772.75,776.25,781.95,786.4,787.15,785.2,781.95,774.45,767.3,755.6,742.6,729.55,717.6,705.95,693.05,680.75,666.8,652.85,636.7,619.55,601.45,583.2,565.75,548.3,534.15,521.55,508.45,497.85,482.75,470.7,460.15,448.85,437.35,426.45,415.85,406.45,398,389.8,382,374,367.1,360.75,353.5,349.8,345.2,338.85,334.4,330.4,326.95,322.15,315.2,310.5,306,300.25,296.75,293.35,289.55,287.1,285.5,285,283.55,281.35,278.65,272.65,267.95,266.55,263.9,261.25,259.45,257.9,256.9,255.7,255.25,254.85,252.05,248.4,245.15,240.25,238.2,235.15,232.8,231,229.75,228.45,226.65,224.55,222.1,219.1,217.3,217.2,217.5,216.15,214.1,212.95,212.3,212.2,212,211.85,209.95,207.45,205.45,204,203.75,204.6,204.75,203.95,204.1,204.05,203.45,203.05,202.4,203.15,203,203.3,204,203.85,203.85,204.4,205.05,206.15,206.95,207.6,206.35,204.7,202.6,200.75,198.3,196.7,196.7,195.9,196.1,196.5,197.55,197.35,196.4,195.35,194.15,192.45,190.3,188.8,187.65,186.55,186.45,187.05,187.15,187.4,188.3,188.1,187.1,186.5,185.6,184.85,183.7,183.25,184.1,184.9,186.35,187.65,189.95,193,195.3,197.45,199,199.35,199.3,198.6,196.9,195.7,194.7,193.8,192.6,191.65,190.25,188.4,185.8,183.4,180.75,179.1,177.3,175.1,174.25,173.3,172.7,172.15,172.3,172,171.7,171.4,171.6,171.45,171.25,170.35,170.15,170.7,171.15,171.8,171.7,171.25,170.3,169.75,169,159.7,150.4,141.1,132.05,123.7,115.75,107.95,99.95,92.1,Oneplus
9,176.65,195.3,214.9,234.7,255.15,276.5,297.95,322.1,346.85,369.8,394.5,410.45,416.95,420.85,424.85,428.1,429.6,431.45,432.65,434.6,436.95,438.65,437.9,436.7,435.45,433.2,432.45,427.45,423.65,421.6,416.95,412.25,407.4,402.1,397.7,395.6,394.8,394.65,396.1,395.95,395.8,396.2,400,401.9,404,406.05,407.05,410.9,413.4,416.1,419.5,423.7,428.75,434.85,440.6,446.35,451.5,457,461.6,466.65,472.95,478.7,483,489.95,496.7,505.2,512.1,520.15,529.25,538.95,547.8,557.65,567.45,577.6,588.4,599.5,611.95,624.4,638.1,652.3,666.7,681.75,695.35,707.85,720.25,731.25,742.75,751.35,757.7,762.95,768.8,773.4,777.75,781.7,782.95,780.75,776.9,769.8,762.45,750.75,738,724.4,712.35,700.95,688.8,675.85,662.2,648.85,633.25,617.5,600.75,582.8,566.5,549.15,533.9,521.2,509.15,499.3,486.3,474.35,464.55,453.75,441.3,431.05,419.6,408.75,400.9,392.3,384.4,375.75,368.75,362.3,354.35,347.85,341.3,335.4,330.8,325.35,319.3,314.75,307,301.9,299.4,294.4,292.05,289.35,284.9,282.6,280.55,279.35,276.45,273.9,271.95,268.7,265.8,260.85,257.35,254.9,253.5,252.05,251.4,249.25,246.9,244.7,240.95,238.25,235.25,230.25,228.2,225,222.85,220.8,217.9,215.7,214.65,215.65,213.85,211.6,208.9,206.9,204.95,203.35,201.45,200.6,200.9,200.85,200.2,201.45,200.25,201.95,202.7,204.15,206.6,209.05,209.35,208.45,208.1,206.3,206.65,207.65,208.7,210.2,210.15,210.7,210.75,210.5,210.75,209.5,210.65,209.75,210.7,211,210.05,208.55,206.65,205.75,205.35,205.1,205.1,206.25,207.2,207.2,208.05,207.8,206.65,205.65,204.6,203.45,201.25,199.65,197.65,195.7,194,192.25,190.95,190.25,189.5,190,190.2,189.3,189,188.75,189.25,189.4,190.15,190.85,191.9,193.3,195.05,196.65,197.15,198.6,199.95,201.65,203.7,204.15,203.6,202.5,200.35,198.25,195.45,193.9,191.5,189.35,186.8,184.3,182.05,179.35,176.45,173.85,173.45,171.45,170,168.75,167.15,165.35,164,163.35,163.9,163.55,163.65,163.6,163.9,164.4,164.4,165.35,165.65,166.85,167.8,168.8,168.35,160.2,152,143.7,135.4,127.7,119.7,111.4,103,95.15,Oneplus
