,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,Objects
0,180.9,199.4,217.6,235.8,254.5,274.1,294.65,317.85,340.55,362.95,387.25,402.85,410,415.9,421.3,426,430.1,431.4,433.15,434.8,436.95,438.75,440.55,442.4,443.6,444.1,443.15,439.7,438,436.3,432,426.85,420.8,417.15,412.25,407.45,402.6,399.6,398.65,397.4,395.25,394,393.55,393.5,394,394.4,395.75,397.75,399.4,400.75,402.4,404.8,408.4,410.45,415.05,419.8,424.5,428,432.2,436.95,442.05,447.2,451.6,457.3,464.5,469.55,474.15,479.2,485.7,491.45,499.45,507.25,515.15,523.75,532.2,541.85,552.9,563.75,574.55,585.85,598.5,610.35,622.25,632.55,641.95,654.1,667.6,680.45,692.45,707.1,717.65,731.2,743.7,754.7,763.1,769.55,777.15,782.9,788.6,790.5,790.95,792.65,794.75,796.45,795.35,792.45,786.35,778.7,767.3,754.1,741.55,725.55,710.9,696.1,682.45,668.9,652.5,637.15,616.9,598.3,582.9,565.35,547.2,530.3,515,501.1,488.95,477.6,468.55,456.35,445.95,436.7,425.1,415.05,405.75,396.8,389.05,382.05,375.15,368.95,360.5,354.2,348.1,341.15,336,330.95,326.65,322.75,317.1,312.95,308.1,303.35,299.55,294.1,290.35,287.05,283.5,279.95,278,274.95,271.65,269.8,268.6,268.3,266.4,264.3,261.45,257.75,253.7,250.3,247.45,244.3,241.65,239.2,236.8,235,233.35,231.45,229.85,229.3,229.25,226.8,224.65,222.5,219.8,216.8,214.2,211.75,211.05,212.2,212.5,212.9,214.35,215.8,215.5,213,210.85,209.55,209.1,208.4,206.95,206.45,205.25,203.9,203.85,204.15,204.55,204.95,205.4,204.6,204.1,203.25,200.75,198.35,195.65,194.9,194.15,192.35,191.4,192.1,193.5,194.3,195,194.9,193.8,192.45,190.6,188.9,186.5,184.6,183.2,182,181.65,181.55,181.35,181.7,181.8,182.45,183.2,183.7,183.8,184.65,185.5,186.65,188.15,188.5,189.3,191.15,193.25,196.05,198.75,201.5,204.4,206.65,208.85,209,209.6,210.7,210,207.5,204.75,201.85,199.1,195.85,192.5,190.45,188.6,185.65,183.3,180.5,179.95,179.3,176.95,175.2,173.3,172.05,169.85,166.65,165.15,165,165,164.85,165.15,165.25,165.1,165.5,165.45,165.2,166.15,168.05,167.5,157.7,149.3,140.95,132.8,124.8,116.8,109.05,101,92.8,Plastic_cup_empty_water
1,182.6,201.3,220.05,238.45,256.9,276.3,296.95,320.2,343.65,366.25,390.4,407.05,414.1,419.9,424.85,428,431.2,431.85,432.6,434.15,436.95,438.15,439.6,441.8,443.4,443.7,442.3,439.1,436.6,434.8,430.3,424.15,417.95,412.2,406.55,401.15,395.95,392.45,392.35,391.5,389.35,388.6,387.65,386.65,386.8,387.2,388.1,389.15,389.8,390.35,392.35,395.4,399.05,403.45,409.75,415,420.45,424.6,428.5,432.15,437.25,442.05,447.2,453.45,459.35,466.3,472.45,480.15,487.95,496.5,504.1,511.55,519.75,527.4,534.8,544.55,555.45,566.05,576.75,589.1,600.7,612.8,624.55,634.75,645.55,656.65,669.15,679.8,691,702.55,713.5,727.4,739.95,752.25,762.15,769.6,775.2,781.3,786.65,790.2,792.05,793.25,794.25,795.4,794.15,791.25,785.7,778.75,768,756,743.35,727,712.5,697.1,682.3,668.35,654.55,640,623.65,604.6,589.2,575.1,558.25,542.05,527.25,513,500.75,488.5,476.35,464,453.6,443.4,431.35,421.1,411.6,402.3,394.5,386.1,375.9,368.2,359,350.3,343.9,336.85,331.3,325.85,321.2,316.55,313,309.4,306.35,304.95,303.8,300,296.8,293.95,290.45,287.45,285.75,283.6,280.55,276.85,275.1,272.4,268.15,263.7,258.85,254.95,251.8,248.7,245.45,241.75,237.85,235.6,233.1,231.05,228.9,227.05,225.5,224.7,224.35,223.9,222.25,220.1,219.9,219.15,218.85,217.8,216.15,214.65,211.8,209.1,208.4,208.05,207.65,206.45,204.6,202.15,200.4,199.15,197.15,194.85,191.95,192.5,192.35,193.05,192.95,193.2,194.9,196.5,199.1,200.45,199.7,198.25,196.75,196.6,197.15,197.9,198.75,199.9,202.3,204.4,207.65,208.65,208.9,209,208.35,208,206.75,205.2,202.5,200.8,200.15,199.6,198.3,195.65,192.65,190.4,189.25,188.15,186.55,186,184.65,183.7,182.65,182,181.3,181.5,182.7,184.5,186.55,187.85,188.3,188.15,188.65,188.95,189.1,188.5,187,185.6,184.05,182.75,180.85,179.1,177.7,176.25,175.1,172.7,169.65,167.1,166.85,166.7,166.6,166.85,166.55,165.85,165.75,165.85,165.85,166.6,166.9,168,168.95,169,168.8,167.95,167.35,167,167.35,167.35,166.05,157.05,148.45,140.2,131.95,124.2,116.05,108,100.3,91.4,Plastic_cup_empty_water
2,180.1,198.3,216.6,234.75,253.45,273.1,293.65,316.6,339.4,361.8,386.1,402.15,409.35,415.25,419.75,423.6,427.25,428.1,430.25,431.65,435,437,438.6,440.9,442.45,442.65,441.5,438.7,437.1,435.6,431.1,425.95,419.4,415.55,410.3,405.35,400.75,398,396.9,395.75,393.95,392.75,391.85,391.65,392.6,393.9,394.9,396.45,397.4,399.05,401.25,404.1,408.4,410.65,415.3,420.8,426.1,430.1,434.6,439.5,444.65,449.7,455.3,460.2,465.55,471.75,477.1,483.75,490.75,497.5,505,512.45,520.2,528.2,536.75,546.2,554.85,563.95,574.65,585.75,597,608.5,620.05,631.25,641.75,652.25,665.7,676.95,688.75,702.35,713.1,726.45,739,750.7,760.6,768.2,776.5,782.55,787.45,788.8,790,792.25,794.35,796.15,795,792.55,786.45,779.3,770.8,757.55,745,732.25,717.9,703.1,688.15,674.4,659.9,645.7,627.05,609.75,594.3,576.7,558.25,540.95,525.55,511.3,499.05,487.45,473.35,460.65,450,436.3,423.55,413.25,403.6,393.6,385.55,378.4,371.15,364.5,356.4,352.9,348.95,344.85,341.6,336.8,332.75,329.25,326,322.5,318.15,313.7,310.25,304.55,301.7,299.35,295.85,292.45,290.25,287.4,283.7,277.65,273.95,268.75,262.9,257.9,252.5,247.25,244.2,242,239.6,238.4,237.05,238.5,236.75,235.9,235.7,234.85,234.55,234.25,233.7,233.8,231.65,230.95,230.35,230.05,229.85,227.2,224.2,221.4,219.65,217.75,217.1,215.05,214.05,211.55,208.65,205.3,203.25,202.7,202.95,201.5,200.35,199.35,198.3,196.85,196.45,197.8,199.4,200.4,201.35,201.7,199.8,197.15,193.8,191.9,190.3,189.45,189,188.85,189.7,190.75,192.6,192.9,193.25,193.75,192.9,191.7,189.4,187.7,186.25,185.4,185.7,185.6,186.1,185.9,184.25,182.65,181.3,179.75,177.4,175.75,174.75,174.7,175.45,176.1,177.1,178,180.6,183.4,185.55,187,188.25,189.65,190.95,191.85,193.75,194.65,194.45,193.85,193.1,192.6,190.85,188.75,186.05,183.2,180.2,177.7,174.8,173.9,174.45,175.3,176.35,177.35,177.85,178.2,177.75,178.4,178.5,178.5,178.9,178.8,179.1,178.95,178.65,179.1,179.35,180.6,181.85,181.55,180.8,170.45,160.15,149.95,139.75,129.7,120.45,111.1,102.75,94.8,Plastic_cup_empty_water
3,181.1,199.3,217.15,235.45,254.4,274.4,295.2,318.65,341.65,364,388.35,403.95,411.1,416.45,420.75,424.3,428.25,429,430.55,431.9,434,435.8,437.4,438.65,439.45,439.05,437.3,433.65,431.45,430.05,425.6,420.15,414,408.05,403.45,400.2,396,393.4,393.3,393.15,391.45,390.7,390.7,391.35,392.35,393.35,395.1,397.2,399.4,400.85,402.65,405.8,410.1,415.25,420.1,423.65,427.6,431.5,435.55,439.25,444.75,449.9,455.2,460.55,466.1,472.7,480.35,487.15,493.2,499.8,507.35,514.9,522.35,530.55,539.2,548.9,559.95,570.1,580.75,593.3,605.2,617.25,628.7,639.8,650.85,662.25,673.3,684.5,696.7,710.35,720.95,733.65,746.3,757.45,766.45,773.45,779.6,784.55,786.9,786.3,786.2,786.95,787.25,786.8,784.75,780.85,773.9,766.45,754.4,739.95,726.4,710.65,695.35,680.1,662.8,648.45,632.95,618.45,601.35,584.8,569.95,552.55,535.2,518.8,503.3,489.2,477.45,465.7,454,442.35,431.35,422.35,411.5,401.25,392.2,382.95,375.95,369.15,363.2,356.9,348.1,342.45,337.05,331.25,326.5,320.9,315,309.6,306.3,302.5,299.85,294.95,291,286.1,284.75,282,278.3,274.3,271.7,269,266.5,262.8,260.25,257,252.6,249.1,244.9,241.25,238.8,236.45,233.85,231.45,229,227,224.85,222.75,220.45,217.95,215.35,213.75,212.45,211.4,210.75,211.2,211.5,210.75,211.05,210.15,208.05,206.1,204.3,202.95,202.8,203.2,203.15,201.3,200.4,198.45,198.85,199.65,200.25,200.4,198.5,197.75,197.5,197.35,197.05,197.05,199.05,201.15,203.4,204.6,204.15,204.05,202.65,203.15,203.15,204.35,204.95,205.25,206.15,207.4,209.6,209.45,209.1,208.95,209.5,209.3,207.25,205.9,204.5,203.05,202.35,200.8,199.55,198.45,196.8,195.6,194.35,193.5,192.5,192.15,192.1,192.9,193.55,193.5,193.3,193.55,194.55,196.15,197.55,199.5,201.5,202.5,203.1,201.8,200.8,199.3,198.1,196.95,194.95,192.55,189.9,187.1,183.9,181.55,178.9,176.3,174.15,172.1,171.35,170.25,168.65,167.45,166.6,166.4,166.15,165.95,165.25,164.1,163.95,163.7,163.25,162.95,163.05,163.35,163,163.4,163.2,162.75,161.7,152.6,144.2,136.35,128.4,120.65,112.7,104.9,97.15,89.45,Plastic_cup_empty_water
4,181.55,200.25,218.95,237.6,256.75,276.65,296.9,319.9,342.95,365.5,389.8,406.2,413.4,418.85,422.75,426.55,428.8,429.25,431.05,432.25,435,436.7,437.85,439.35,440.5,440.45,439.15,435.15,433,431.25,427.1,421.45,416.15,410.05,404.3,399.75,395.8,392.95,391.6,390.85,388.8,387.8,387.5,387.5,387.55,387.6,389,391.2,392.7,395.05,396.9,399.45,402.9,408.05,414.05,419.35,424.35,427.95,433.05,436.8,442.5,447.7,452.25,458.35,464.05,471,476.5,484.3,491.4,498.4,506.45,514.1,522.3,531.25,540.05,549.85,561.05,572.95,583.45,596.5,608.3,620.05,632.45,642.6,653.35,664.45,678.1,688.95,699.55,711.35,721.95,735.5,747.55,758.3,766.55,773.1,778.35,781.7,785.65,785.45,784.15,783.35,782.5,782,779.75,775.9,768.65,761.05,750.3,736.5,722,705.15,689.55,673.2,658.8,644.4,629.3,614.95,595.75,578.65,563.25,548.75,532.9,516.75,502.15,487.9,475.6,463.45,451.4,440.15,430.6,420.05,408.65,400.15,390.8,381.65,374.3,367.95,362.15,356,349.05,341.85,335.9,329.85,325.15,319.3,312.5,307.15,303,298.55,293.4,289.7,285.9,282.85,280.55,278.75,275.4,271.65,269.25,267.2,264.85,261.95,260.35,257.65,253.2,250.5,249.2,246.6,245,242.45,240.45,237.9,235.45,230.05,226.6,223.75,220.55,217.55,215.95,213.8,212,209.1,206.85,206.55,207.05,205.4,204.45,203.45,201.7,200.65,199.15,198,198.65,200.35,200.35,199.7,199.5,198.25,197.1,196.9,197.1,198.6,197.3,196.8,196.35,197.55,197.85,197.65,199,201.25,204.4,206.6,206.7,205.15,202.3,200.25,198.05,198.4,199.2,200.7,202.15,203.75,205.85,206.45,205.45,204.5,204.05,203.15,201.45,199.05,196,194.1,192.75,192,192.1,191.5,192.15,191.35,190.05,188.6,186.7,184.55,182.9,181.45,180.4,178.7,176.75,176.35,175.65,177,178.95,180.5,181.55,183.15,184.15,185.05,184.85,183.85,182.45,181.1,179.85,178.5,177.05,175.65,174.85,175.15,174.55,173.1,172.6,170.8,170.05,168.6,167.4,166.05,165,163.9,163.05,162.55,162.2,162.05,162.75,163.85,163.8,165.3,166,165.9,165.85,165.8,165.45,165.65,165.1,156.6,148.7,140.55,132.35,124.35,116.35,108.45,100.9,92.9,Plastic_cup_empty_water
5,181,199.5,217.55,235.55,254.1,273.8,294.55,317.3,340.4,362.5,386.75,402.7,410.15,416,419.55,423.05,425.4,425.45,427.25,429.4,432.3,434.1,436.15,437.65,438.65,438.6,437.4,433.45,431.35,430.5,426.05,421.05,414.75,408.65,402.6,396.4,392.05,389.45,389.05,388.25,386.6,385.65,385,385.35,386.2,387.2,388.5,390.4,392.35,393.4,395.6,398.45,403.1,408.65,414.9,420.55,425.85,431.3,436.6,440.45,445.4,450.65,456,462.15,468.15,474.4,479.5,487.25,493.75,501.75,509.2,516.85,524.4,532.6,541.45,551.05,561.85,571.75,579.75,590.9,603.35,614.6,626.25,636.55,647.35,658.55,672.15,683.65,695.5,708,718.65,731.7,744.2,754.6,763,769.3,774.35,778.6,785.45,787.05,786.25,786.45,786.35,786.4,784.8,781.5,774.45,766.85,754.5,739.75,726.8,711,695.5,680.75,666.45,653.3,639.45,625.25,605.6,588.35,574.15,558.2,541.55,525.5,509.8,495.05,482.6,470.5,458.9,448,438,427.05,415.9,406.05,397,388.3,380.05,373.15,366.6,359.85,351.3,344.9,338,332.9,328.75,323.05,317.75,312.5,308.6,305.05,301.3,298.2,294.95,288.8,285.15,282.35,279.2,275.8,273.75,271.45,268.2,265.25,264.85,261.25,257.2,253.9,251.3,248.4,246.85,244,241.15,238.5,236,234.25,232.1,226.85,222.95,219.95,218.6,219.15,219.1,217.8,215.7,215.15,214.65,214.45,213.25,210.55,207.75,205.1,202.45,200.5,200.25,201.35,201,202.7,203.8,203.5,202.5,200.05,197.75,196.2,194.3,193.25,192.7,193.05,193.05,194.25,196.15,199.15,201.95,203.4,203.15,201.2,197.95,195.7,193.85,192.4,192.1,193.05,195.85,198.75,200.55,200.3,200.2,200.4,200.15,200.35,199.05,196.5,194.2,192.75,191.45,191.15,191,190.6,190,189.2,187.6,185.2,182.9,180.75,179.8,179.9,179.4,177.85,176.6,175.35,175.45,177,178.85,181.15,183.8,186.15,188.95,189.9,189.9,189.05,189,188.95,187.75,186.95,186.05,184,182.15,180.4,179.8,179.3,178.7,176.9,174.8,173,170.8,168.6,166,164.55,163.65,163.7,163.2,163.6,164.5,164.5,163.9,164.1,163.75,163.9,163.05,162.25,161.15,161.1,161.55,153.15,145,136.95,129.05,121.15,113.25,105.3,97.65,89.4,Plastic_cup_empty_water
6,181,199.55,218,236.25,254.9,276.05,296.5,317.9,340.2,362.55,386.3,403.25,410.1,416,420.4,424.3,426.95,428.15,430.5,431.4,433.75,435.25,436.8,438.75,439.7,438.15,436.9,435.7,434.6,432.95,429.25,424.1,418.25,412.1,406,400.4,397.9,393.7,392.65,392.25,390.9,390.85,390.9,390.55,391.7,392.45,393.5,395.1,396,398.1,399.75,401.6,405.15,410.15,415.25,421.15,424.05,429.15,433.7,438.1,443.15,447.35,451.4,457,462.4,469.1,474.9,481.55,486.2,492.65,500.65,511.25,519.05,526.4,535.35,544.7,555.85,566.1,576.85,588.45,599.85,611.75,623.55,634.05,644.85,655.85,669.3,680.5,694.7,708.1,718.8,729.65,742.4,754.55,763.75,771,776.7,781.8,786.8,788.65,789.6,790.9,791,792.4,791.2,788.65,782.5,775.5,764.65,751.8,739.3,725.2,710.6,695.45,681,667.1,653.35,639.3,620.25,601.75,587.2,570.25,553.75,536.6,520.75,505.6,493.2,481.25,468.9,455.85,445.25,432.65,421.05,412.15,403.35,393.1,384.45,376.7,369.9,363.55,354.55,347.8,342.6,336.25,331.4,326.6,322.15,317.7,314.2,310.8,307.15,303.75,300.35,294.05,290.1,288.25,285.6,282.4,279.55,279.65,278.4,277.25,276.65,275.4,272.6,267.75,262.75,257.15,254.05,251.75,248.65,246.7,244.6,242.65,240.1,237.45,234.25,231.65,229.55,225.35,222.1,217.55,214.5,213.05,211.8,212.05,211.6,210.85,209.1,207,204.55,201.9,200.9,201.35,200.75,200.45,200.15,198.9,199.35,200.55,201.5,203.15,201.9,201.6,201.45,201.4,201.15,202.2,204.85,206.65,209.2,211.6,212.1,211.55,210.2,209.2,208.65,208.9,209.05,208.9,209.55,210.65,212,211.45,211.15,210.55,210.4,210.05,208.35,208.45,207.75,206.95,205.55,203.75,203.05,202.05,201.05,199.7,198,196.3,194.75,193.3,192.05,191.5,191.05,190.9,191.1,191.2,191.55,191.6,191.6,191,191.9,193.05,193.35,192.8,191.8,190.3,189.4,188.15,187.15,187.2,186,185.85,184.15,181.95,179.1,176.35,174.15,171.75,171.15,170.4,168.9,168.1,167.25,166.35,165.8,166.05,165.9,166.15,165.95,164.5,163.9,162.1,161.65,162.1,162.4,162.75,162.3,161.9,161.15,152.85,145.05,137,129,121.35,113.35,105.3,97.4,89.35,Plastic_cup_empty_water
7,178.95,197.95,217.05,235.5,254.2,273.95,294.35,317.3,340.35,362.15,386,401.4,407.9,413.05,418,421.95,424.9,427.7,430.15,432.15,434.95,435.75,436.4,438,439,438.85,439.35,435.8,433.8,432.4,428.8,424.4,419.6,413.9,407.85,402.35,397.55,394.25,392.8,391.4,389.35,389.1,388.15,388,388.55,389.35,388.9,391.3,393.15,395,396.15,397.9,400.7,405.4,411.1,417.25,422.4,425.8,428.5,431.7,436.6,442.1,447.75,453.65,459.65,466.45,471.4,478.1,484.85,492.65,500.35,508.25,516.65,525,533.35,542.7,553.95,564.85,577.4,590.3,602.25,612.85,624.3,634.75,645.2,655.7,669.5,680.65,692.3,704.95,718.85,733.6,746.4,757.65,767.2,774.85,780.2,785.2,790,791.5,792.5,794.6,796.7,798.05,797.05,794.85,789.15,782.05,770.8,756.75,741.45,724.35,709.65,695.05,680.45,665.9,651.95,638.1,619.3,601.15,586.2,568.7,550.55,535.5,521.25,504.7,491.6,479.65,467.85,456.05,445.3,434.6,422.3,412.3,402.85,394.15,386.5,378.75,371.75,365.35,356.5,349.95,344,335.35,329.1,324.75,319.6,314.3,309.35,304.9,299.85,295.8,292.35,286.35,282.6,277.25,273.15,270.45,267.95,265.05,261.9,259.05,257.45,255.5,251.5,248.6,244.75,240.55,238.55,237,235.65,234.3,233.25,232.35,230.4,229.65,227.9,225.05,223.85,222.35,220.25,217.6,214.75,213.45,212.85,212.1,212.4,212.65,210.95,208.95,206.4,204.25,202.85,203.25,202.6,202.55,201.45,200,198.3,198.05,197.85,198.2,197.35,196.5,196.9,197.3,196.8,196.55,197.8,199.2,201.5,203.8,204.3,203.9,203,202.05,202.15,202.7,204.05,206.1,208.35,209.4,211.65,212.45,211.95,211.25,210.85,209.65,208.8,207.8,205.6,202.85,200.95,198.95,197.25,195.2,192.2,190.4,189.55,188.25,187.4,187.8,187.7,188.05,188.5,188.85,188.4,189.1,189.75,190.6,192.8,195.5,197.45,198.35,198.8,198.85,199.45,197.95,195.95,193.9,192.45,190.75,188.1,185.5,183.05,180.05,177.6,175.05,172.5,170.6,170.15,168.5,167.45,166.85,166.4,166.1,165.3,165.5,165.8,165.85,165.35,165.25,165.5,165.55,164.9,165.05,165.4,165.6,165.65,166.6,165.7,156.7,147.9,139.55,131.4,123.55,115.7,107.7,99.45,91.6,Plastic_cup_empty_water
8,180.55,199.1,217.1,235,253.3,272.85,293.35,316.15,338.95,361.35,385.6,401.65,407.75,412.9,417.45,420.95,425.1,425.6,427.95,429.75,432.8,434.8,436.5,438.45,440.5,440.5,439.3,436.6,434.7,433.45,429.6,424.5,419.6,413.75,407.75,402.75,396.85,394.2,393.7,393.55,391.4,390.35,390.3,390.4,390.45,390.75,391.75,393,392.65,392.85,393.75,395.85,398.75,403.65,409.5,415,420.65,424.55,428.85,433,437.65,442.25,447.25,452.85,458.2,465.3,471.35,478.65,487.2,495.5,503.7,511.45,519.35,528.55,537.1,546.7,557.3,568,578.5,589.75,600.75,614.45,625.85,637.5,648.75,659.35,672.05,683,695.3,708.5,719.6,733.6,746.45,756.9,766.7,773.95,780.25,785.15,790,791.5,794,793.55,795.1,796,795.1,792.8,787,780,768.6,754.45,741.2,724.6,708.65,694.6,680.1,666,651.8,638.35,620.7,603.6,588.15,570.85,552.55,535.9,520.6,506.4,494.65,483.3,471.9,460.25,450.3,439.75,429,417.8,407.6,398.85,391.2,383.3,374.9,367.95,358.9,353.25,347.55,339.75,333.7,326.4,320.15,313.1,308.2,304.1,299.3,295.8,292.25,286.75,283.55,280.85,276.75,273.3,271.4,268.7,266.1,262.4,260.65,257.75,253.9,252,248.05,245.35,243.5,241.4,239.65,238.45,238.3,238.1,236.35,233.4,230.65,226.1,222.8,220.9,220.85,220.6,219.85,220.5,220.55,219.4,218.9,217.7,215.9,214.55,213.05,211.8,211.05,210.8,209.8,208.95,208.45,208.45,208.7,208.5,205.7,204,201.4,200.1,200.55,200.5,200.8,201.75,202.15,202.7,203.2,202.4,200.35,197.55,194.75,192.75,191,191.1,191.15,191.5,193.35,194.95,196.85,197.2,197.05,197.4,197.45,197.2,197.45,197.95,198.55,199.4,200.2,201.55,202.3,202.2,201.95,201.25,200.75,200.5,199,196.85,195.8,195.2,192.65,191,189.55,188.35,187.4,186.7,185.95,185.1,184.8,183.95,183.3,182.65,182.45,181.35,179.8,178.65,178.15,178,176.6,174.8,174.3,173.5,172.55,170.8,169.25,167.35,167.1,168.65,169.95,171.25,171.8,171.75,171.05,170.35,170.45,170.1,169.9,169.9,169.7,169.8,169.7,169.8,169.25,169.45,169.4,169.85,169.05,158.4,148,138.3,129.6,121.6,113.6,105.95,98.15,90.25,Plastic_cup_empty_water
9,178.05,196.15,214.9,233.3,251.7,271.3,294.15,317.1,340.05,363.1,387.3,403.7,410.35,415.6,419.9,423.9,427.4,428.05,430.55,432.6,435.85,438.15,439.7,441.25,442.85,442.6,439.15,436.25,434.5,432.35,428,422.35,417,411.7,406.15,401.25,397.2,394.75,392.35,389.8,388.15,387.45,386.7,386.3,386.4,387.1,388.35,389.65,390.7,392.75,395.75,400.6,404.7,409.65,416,421.75,426.65,430.75,436.15,442.8,448.4,453.45,458.3,464.3,470.65,478,483.5,491.15,498.9,506.15,513,520.8,528.6,536.65,544.15,553.15,564.3,575.1,586.5,598.45,610.55,622.2,633.9,644.9,655.95,666.75,679.95,690.8,702.25,715,725.85,736.55,748.7,759.55,769,775.75,781.3,785.1,788.8,787.9,787.9,787.4,784.75,784,781.4,775.35,767.65,759.25,746.85,731.7,717.85,701.7,686.25,671.1,656.25,642.55,627.45,613.2,594.25,577.2,560.8,544.7,530.8,515.05,499.9,487.55,476.3,465.15,453.5,442.35,432.5,422.45,410.7,400.6,391,382.85,375,368.6,363.05,357.7,349.55,343.4,338.05,331.65,327.15,322.45,317.55,312.4,308.4,304.35,298.8,294.3,291.05,285.85,282.45,277.5,274.3,270.45,267.65,264.75,262.25,259.2,256.95,254.4,250.05,246.4,243.3,239.45,237.3,235.75,235.4,234.3,233.25,233,232.2,231.6,230.3,228.7,227.1,225.3,223.9,222.3,220.65,220.15,220.5,220.05,218.6,218.25,217,215.45,212.95,210.85,209.85,209.2,207.85,206.45,205,203.35,201.85,201.2,200.05,199.25,200.05,200.7,200.15,199.75,199.85,199.8,201.2,201.95,203.2,204.05,202.65,200.4,198.1,196.6,195.1,193.35,194.35,195.8,198.8,200.8,199.55,198.9,199,198.5,196.65,194.9,191.5,189.2,187.35,186.65,186.85,187.9,187.75,186.8,185.3,184.65,183.5,182.6,181,179.95,178.85,177.65,176.8,177.45,178.7,180.55,182.9,185.9,188.5,190.05,190.9,190.6,190.35,190.55,190.6,190,188.65,187.7,186.5,185.5,185,183.7,182,179.15,176.7,173.8,171.4,168.5,167.65,167.2,167.15,166.65,166.9,166.5,166.2,166.1,165.85,165.55,165,164.65,164.15,163.85,163.55,164.15,164.1,164.4,164.5,164.6,164.1,154.7,145.7,137.45,129.15,120.95,113.1,105.15,97.45,89.3,Plastic_cup_empty_water
