,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,Objects
0,182.4,200.55,218.8,238,257.5,277.4,297.8,321.5,344.5,367.05,391.2,407.5,414.1,419.4,422.85,426.35,429,428.45,428.8,430.1,431.9,433.95,435.5,436.35,437.05,437.15,436.45,432.75,430.7,429.1,425,419.85,414.25,407.75,402.65,397.85,393.35,391,391.5,391.1,391.25,391.15,391.35,391.3,391.45,391.85,392.75,394.6,396.4,397.4,399.2,402.45,407.8,413.45,419.45,425.05,430.2,435.05,439.35,443.35,448.15,453.2,458.6,464.85,471.2,478.7,484.3,491.95,499.65,508.65,517.15,525.2,531.95,540.45,549.75,560.35,572.7,584.2,596.5,609.7,622.35,635.85,648.75,660.85,671.95,683.25,697.7,708.3,718.55,730.25,740.4,752.9,764.65,775.15,783.05,788.1,791.75,793.9,795.5,793.35,790.75,786.6,783.7,779.9,775.3,769.15,759.75,750.9,737.85,721.95,707,688.75,672.35,654.85,640,626.55,610.35,596.3,577.4,560,546.05,530.85,514.1,499.05,485.55,472.45,460.95,449.2,438.2,427.85,419.1,410.2,399.45,391.7,382.7,373.2,367.4,361.5,356.15,351.25,343.5,338.05,333.05,326.85,322.25,316.75,309.95,304.8,301.95,298.05,293.3,289.15,286.2,280.75,276.4,274.25,270.75,267,264.5,261.65,258.8,255.9,253.7,251.65,247.7,244.75,243.85,241.9,240.85,239.2,237.5,236.4,234.65,233,231.95,229.95,227.7,224.5,223.95,223.5,224,223.6,223,222.65,222.3,221.65,220.2,217.55,214.4,212.8,211.65,210.6,211.3,212.65,212.2,211.25,210.75,210.3,209.35,208.05,205.35,202.6,199.9,198.95,199.1,199.4,199.65,200.85,202.25,203.35,205.3,206.45,205.9,204.6,202.45,201.05,199.85,199.9,199.9,201.45,203.95,207,209.2,209.05,207.9,206.9,205.9,204.4,202.05,200.2,197.45,195.25,193.05,191.45,190.45,188.95,188.1,187,185.45,184.1,182.45,180.1,179.25,179.6,180.25,180.55,180.75,181.6,183.85,186.4,188.2,189.65,191.35,193.6,195.75,197.5,197.95,197.55,196.75,195.75,194.25,194.9,194.1,192.1,190.15,187.9,186,183.7,181.15,178.2,177.35,176.7,176.05,176.05,176.55,176.35,176.2,176.05,175.3,174.7,174.35,173.25,172.65,172.25,171.75,171.7,172,172.4,172.55,172.45,171.5,162.5,153.65,143.45,132.9,123.2,113.95,105.2,97.4,89.45,Plastic_cup_full_water
1,179.15,198.05,217.1,236.05,255.75,276.15,296.75,317.95,340.55,363.1,387.75,403.9,411.05,416.1,420.5,424.8,428.2,429.1,430.5,432.6,436.2,437.45,438.1,439.35,439.15,438.3,437.5,436.35,434.75,432.9,428.05,422.45,416.4,410.05,404.45,399.1,396.25,393.5,393.3,391.55,389.1,389.65,389.8,389.65,390.95,391.7,392.3,394.35,396.6,398.5,400.65,403.6,407.65,413.4,419.05,424.7,428.45,432.85,437.55,443.8,450.25,454.65,459.65,465.25,470.95,478.5,484.7,491.7,498.5,506.5,514.5,524.2,534.25,543.45,552.9,563.5,575.5,586.6,598.45,611.2,623.25,636.1,648.55,660.3,671.55,682.95,698.3,709.85,721.2,733.4,744.25,755.3,765.15,775.55,783.5,788.75,792.4,794.4,795.7,792.95,790.45,787.4,784.7,779.6,774.8,768.75,756.35,745.95,731.9,715.95,700.45,682.55,666.05,648.65,633.65,619.6,604.8,590.9,573.15,557.2,543.2,527.5,511.25,498.4,485.3,472.3,463.45,453.25,443.5,433.25,424.2,414.15,403.1,394.8,386.15,376.45,366.55,359.25,355.25,349.95,341.9,335.5,330.9,325.45,320.7,315.85,310.95,306.85,303.4,300.1,296.2,294.05,291.25,285.75,281.4,279.5,279.1,276.95,272.25,268.4,265.85,263.7,262.15,259.75,255.8,253,249.3,246.4,243.9,240.9,239.75,237.75,236.85,236.4,234.95,232.65,229.95,227.15,225.5,224.7,223.15,220.9,218.45,216.8,216.25,215.05,213.45,210.45,208.2,206.85,203.85,201.55,200.6,200.4,200.35,199.9,199.5,198.15,197.2,196.05,196.5,198,199.05,200.05,200.4,200.1,200.5,201.75,203.4,204.75,207.05,209.55,210.35,209.4,206.85,204.85,203.6,203.35,204,206.05,207.1,208.15,207.55,206.4,205.1,203.75,202.2,199.8,196.7,194.6,192.45,190.75,188.55,187.05,187.3,188.3,189.05,189.7,190,189.3,188.65,187.8,188.05,189,190.45,191,192.55,194.6,197.25,200.2,202.1,203.55,206,208.15,209.4,209.45,208.8,207,204.45,202.85,201.05,198.6,196.05,193.45,191.45,189.9,187.05,184.1,181.45,178.2,176.95,174.75,172.25,170.6,168.95,166.8,165.1,164.4,164.5,163.9,163.65,163.85,163.85,163.4,163.2,163.2,163.5,163.75,163.65,163.7,163.45,155.25,147.15,138.65,130.3,122.35,114.25,106.1,98.1,90.2,Plastic_cup_full_water
2,179.3,197.65,216.55,235.7,255.05,275.05,295.85,319.1,341.9,364.25,388,404.25,411.45,416.45,420.5,424.65,428.55,432.05,433.9,434.45,436.85,438.25,438.8,441,441.45,441.5,440.3,436.85,435.15,431.45,425.85,420.05,414.2,408.4,403.05,397.25,392.6,389.15,387.8,387.55,386.25,386.05,386.7,385.7,386.95,387.7,388.95,390.9,392.85,397,400.6,404.3,408.65,413.6,419.5,425.55,430.5,435.05,439.95,444.65,450.25,456.9,463.85,469.75,475.65,482.7,488.35,495.95,502.1,510.35,518.75,526.75,535.75,544.35,553.3,563.25,574.9,586.35,598.35,611.6,623.65,635.45,646.15,657.7,668.2,679.4,693.5,704.8,716.4,728.05,738.6,750.8,761.6,771.45,778.95,784.5,788.4,791.4,793.75,791.25,788.35,784.55,781.85,779.65,775.55,769.45,760.45,749.85,736.35,719.65,704.3,686.75,670.4,654.4,639.2,624.6,609.55,594.4,576.35,559.6,545.35,529.75,515.55,499.7,486.35,473.45,459.85,449.75,442.5,433.75,425,415.6,404.55,395.5,387.35,379.35,372.9,367.75,361.75,356.1,349.2,344.95,337.9,331.75,326.5,321.75,319.45,315.5,309.85,306.35,302.2,298.7,295.9,291.35,288.4,285.75,282.5,278.1,275.85,273.15,270.4,268.8,268.55,268.15,266.1,262.8,259.05,253.55,250.3,246.65,244.15,242.15,240,238.25,235.8,234.45,232.85,231.05,228.65,228.25,227.45,225.55,222.8,220.55,219,218.2,217.25,216.45,214.65,212.65,213.75,214.45,215.35,216.55,215.65,214.1,212.95,211.25,211.05,209.8,208.15,205.5,202.95,201.6,201.2,200.95,200.75,201.55,202.9,205.35,205.3,204.8,203.3,200.65,198.6,196.85,195,195,195.25,196.45,198.8,201.65,204,204.55,204.2,203.4,203.55,203.9,204,203.4,201.6,200.35,199.85,199.45,198.95,198.25,197.85,196.7,195,193.5,191.45,189.35,188.1,187.5,186.45,186.05,184.85,183.95,182.95,182.9,183.4,183.5,183.65,184.05,185.45,186.1,186.8,186.6,185.55,184.35,183.7,182.7,181.4,179.85,178.7,176.6,174.95,172.7,170.8,168.65,168.25,168.8,168.55,168.3,167.05,165.8,164.05,162.9,162.7,162.6,162.15,162.4,162.4,162.5,162.25,163.4,164.95,167.1,168.55,170.1,170.7,161.4,153.15,145.1,137,128.95,120.9,112.9,104.95,97,Plastic_cup_full_water
3,183.85,202.1,220.5,239.6,258.75,279.65,301.15,324.9,348.15,371.1,395.15,409.35,415.6,420.1,424.4,427.5,430.75,431.3,432.3,433.3,434.1,436.05,437.85,438.7,439.2,437.5,435.15,431.75,429.95,427.65,423.8,418.75,413.65,408.05,402.7,397.75,393.1,389.95,390.05,390.25,390.3,389.5,389.1,389.4,390.65,392.1,394,395.55,397.15,399.5,401.85,405.05,410.3,415.6,421.3,426.95,432.75,437.55,442.2,446.95,451.9,457.4,462.65,468.75,474.75,482.05,487.6,495.2,502.55,510.8,518.1,525.6,532.1,540.45,549.6,559.8,571.45,583,595.25,608.6,622.2,635,647.45,660.85,672.7,683.9,697.8,708.55,719.1,730.4,741.95,754.95,767.3,778.05,785.75,791.3,794.95,796.45,797.75,794.6,790.25,786.9,784.5,779.75,774.3,768.05,759.2,749.95,736.45,720.6,704.6,685.75,668.9,652.05,636.35,619.95,602.9,589.35,571.15,558,545.3,529.9,513.4,498.1,484.7,471.8,460.45,449.8,439.85,429.45,421.25,412.55,401.7,392.4,384.5,378.15,373.6,368.1,362.8,354.15,346.5,341.25,336.5,330.4,324.7,319.55,314.25,307.9,303.5,299.65,294.5,290.55,287.45,282.9,279.3,276.75,273.65,269.55,266.7,264.1,260.8,257.95,256.5,254.6,251.55,247.9,244.1,241.3,240.05,238.85,237.45,237,235.45,234.25,232.5,230.6,229.1,228.05,226.6,225.6,227.05,227.25,224.65,223.95,223.3,223,223,221.85,219.85,216.75,214.2,211.7,211.55,212.05,211.3,210.1,208.75,206.35,205.6,205.65,204.05,202.55,201.95,201.7,202.2,202.1,201.9,202.75,203.55,205.6,208.05,209.95,210.05,208.7,206.6,204.65,203,202.65,203.35,203.75,203.25,203.35,204.55,204.7,204.15,203.85,203.3,201.8,200.2,198.05,195.8,193.25,191.3,190.1,190,189.5,187.75,186.4,184.35,182.95,182.45,182.35,181.65,178.9,177.75,176.95,175.35,175.05,174.8,176.8,178.15,179.05,179.2,179.35,179,178.55,179.05,178.15,177.25,176.3,174.55,172.8,170.95,170.65,169.55,167.9,167.5,166.6,166.1,164.55,164.85,165.35,166.3,166.3,166.3,166.7,166.6,166.4,166.75,167.6,168,167.95,167.8,168.1,168.05,168.25,168.1,167.85,167.6,167.15,165.9,156.65,147.6,139.5,131.35,122.8,114.4,106.75,98.4,89.25,Plastic_cup_full_water
4,180.15,198.35,217.2,236.3,255.5,275.4,296.1,320,343.05,366.15,390.25,406.6,413.45,418.55,422.45,425.7,428.45,428.7,430.15,432,434.9,437.25,438.1,438.35,439,438.8,437.1,432.9,430.8,428.55,423.95,417.8,411.35,405.1,399.6,395,391.3,389,389.65,389.75,389,388.15,388.95,390.1,390.85,391.55,393.2,395.55,397.7,399.9,402.35,406,410.85,416.35,422.45,427.7,433,437.6,441.5,445.35,449.55,454.75,459.4,464.85,471.2,478.55,484.75,492.2,499.7,507.3,515.35,523.6,531.55,542.65,551.7,562.4,573.45,584.85,597.1,610.15,623.6,636.75,648.7,660.3,671.65,683.15,697.8,709.25,719.55,730.95,741.6,753.65,765.7,774.15,782.6,787.05,790.7,792,792.8,790.1,786.9,783.15,780.45,777.15,772.05,764.35,752.5,741.35,728.55,713,697.55,679.95,663.55,646.35,630.6,616.15,601.6,588,570.05,553.95,540.15,524.8,508.75,493.8,480.1,468.1,458.6,448.75,437.95,428,419.7,410.45,399.15,388.85,379.1,369.95,362.65,356.15,351.05,345.25,337.85,332.65,328.55,323.2,318.6,313.7,308.7,304.35,300.95,297.95,294.85,291.85,289.25,285.35,282.55,281.2,278.55,275.3,272.25,269.3,266.4,263.25,260.95,258,253.7,250,246.9,243.25,240.75,238.2,236.25,234.2,233.45,232.7,230.8,228.4,226.65,225.3,224.3,224.35,223.35,221.2,218.7,217.65,217.75,218.2,217,214.5,212.4,210.25,206.65,205.15,203.85,204.05,204.1,203.25,202.4,199.3,197.25,194.95,193.4,193.6,193.45,193.6,192.25,191.5,191.75,193.35,195.05,196.8,199.8,201.65,202.15,201.9,200.45,199.4,198.1,198.9,200.1,202.6,205,207.2,208.65,208.85,209.5,209.3,208.35,207.05,205.4,203.15,200.25,197.8,195.7,193.55,192.45,191.35,190.5,190.6,190.8,190.25,188.95,187.25,186.7,186.7,187.9,187.75,188.4,189.45,191.1,193.15,195.5,197.55,199.95,201.55,202.4,203.15,202.65,200.9,198.2,195.85,194.2,193.2,190.9,188.4,185.1,183.35,181.9,179.7,176.8,174.5,173.35,172,170.35,169.5,168.55,167.15,166.3,165.95,165.9,166,166.05,166.65,166.5,166.55,166.9,166.65,165.2,164.75,164.55,164.8,164.5,155.5,146.6,137.85,129.55,121.7,113.85,105.85,98.2,90.2,Plastic_cup_full_water
5,181.5,199.8,217.9,236.8,256,276.05,296.6,319.55,342.6,365.9,390.85,406.5,413.5,418.5,422.4,425.9,429.25,430.4,431,431.9,434.35,435.85,436.45,437.1,437.55,436.85,435.7,432.9,431.05,428.65,423.95,418.55,414.85,409.9,404.95,400.25,396.5,393.5,394,394.85,393.9,393.65,395.05,396.2,396.75,397.7,399,400.55,402.4,404.3,406.6,409.45,411.3,416.05,421.6,426.65,431.5,435.75,440.8,445.7,450.95,456.55,461.5,468.75,474.75,482.4,490.1,496.9,504.55,512.2,519.65,528,536.9,545.15,554.25,565.1,576.85,588.45,600.25,612.5,624.85,637.6,649.9,659.4,670.65,681.45,693.95,705.5,715.8,727.5,737.85,750.3,761.4,771.6,778.8,785.2,789,790.25,791.25,788.7,785.3,781.6,779.05,776.05,771.75,765.75,755.9,746.7,732.85,716.9,701.85,683.3,666.4,649.2,634.3,618.15,603.2,589.9,572.3,556.15,542.9,527.6,511.2,496.25,482.8,470.4,460.05,448.3,437.4,427.65,419.05,410.3,400.05,391.6,383.4,375.65,369.65,363.45,356.7,350.1,341.65,336,331.85,326.1,321.4,315.7,309.7,305.9,303,299.85,296.35,293.3,290.8,285.6,281.85,279.15,275.15,271.7,269.5,267.65,266.3,264,261.65,259,255.65,252.55,247.7,243.3,240.85,237.85,234.65,231.65,229.2,227.65,225.8,222.75,219.95,217.1,214.65,212.9,210.85,208.75,206.95,206.7,205.95,205.35,206.6,205.65,204.05,202.4,200.1,199,197.55,197.85,195.35,193.95,193.65,191.85,190.9,189.7,188.75,187.9,185.65,184.95,185.1,185.15,185.1,186.3,188.1,189.75,192.4,193.4,194.15,192.9,191.9,190.9,188,187.45,188,189.8,192.2,195.2,197.25,196.9,195.65,194.35,192.8,190.15,187.3,184.75,181.95,180.45,179.95,180.2,181,181.9,183.6,183.95,184,183.45,181.9,180.8,181.7,182.9,183.85,184.7,186.35,188.75,191.1,194.1,197.2,199.25,200.4,201.25,201.7,202.05,202.4,202.8,202.5,201.2,199.85,197.8,194.9,192.05,189.4,186.75,183.6,181.2,179.1,176.35,175.25,173.9,172.85,171.4,170.45,168.2,166,164.4,163.35,163.45,163.25,163.35,163.15,163.3,162.95,163.4,163.9,163.4,164.8,166.35,165.75,157.2,148.75,140.85,132.75,125,117.05,108.95,100.85,92.65,Plastic_cup_full_water
6,188.05,206.6,225.05,244.1,263.6,283.6,304.2,328.1,351.05,373.4,398.1,414.35,420.6,422.65,425.85,428.15,430.55,430.8,432.05,433.25,435.25,436.8,438.15,438.9,439.25,438.75,436.5,433.15,431.25,430.2,425.9,421,414.55,408.4,402.8,398.5,394.3,392,392,391.3,389.9,389.4,389.35,389.25,390.4,391.3,393.65,395.1,396.5,398,399.55,402.1,406.05,411.95,417.5,422.9,428.85,432.7,437.55,442.6,447.8,453.4,459,465.2,470.8,478.15,483.85,491.3,499.6,508.5,516.5,524.7,532.8,540.95,550.4,560.95,572.85,584.85,596.95,609.3,622.95,636.35,648.25,659.75,671.15,683.75,697.9,708.85,720.05,731.1,742.2,754.55,766.9,777.25,784.65,789.6,792.55,793.45,794.9,792.85,789.45,785,782.35,779.8,774.95,767.65,757.95,748,732.9,716.7,700.9,683.05,665.75,648.6,633.2,618.45,603.85,589.65,570.4,554,537.15,521.25,504.75,489.25,475.9,462.95,452.1,441.95,433.15,422.95,414.6,405.45,395.1,386.1,377.95,370.6,364.25,358.95,353.2,347.4,341.95,337.45,333.15,327.15,322.7,317.35,312,307.15,303,300.1,296.4,294.15,293.45,291,288.25,285.5,282.4,279.2,277.2,274.55,272.6,269.7,267.5,265.35,261,257.7,254.3,250.1,247.55,244.45,241,237.45,233.3,229.65,226.95,223.95,220.6,217.95,216.4,216.05,214.95,214.05,211.6,211.15,210.85,210.35,210,209.55,208,207.05,205.95,204.95,204.65,205.05,204.65,204.2,204,202.7,202.1,202.5,202.4,202.1,201.8,201.3,201.15,201.1,200.95,201,202.35,203.5,205.55,207.25,208.1,208.75,208.5,208.4,207.5,208.05,209,208.85,209.85,210.4,211.6,211.3,210.3,209.2,207.75,206.25,203.5,200.75,197.9,195.85,193.5,190.9,188.8,186.25,185.5,184.15,182.7,181.3,179.95,179.5,179.2,179.1,180,180.95,182.65,184.3,186.5,189.6,192.35,194,195.7,197.6,199.35,200.8,200.1,199.45,198.15,196.55,195.2,193.45,191.5,189.7,187.15,184.4,181.45,178.4,175.55,172.8,171.55,170.4,169.2,167.1,165.05,163.45,163.1,162.35,162.8,162.75,162.75,162.65,162.85,162.85,163.3,163.45,164,164.7,165,164.95,164.65,156,147.7,139.85,131.8,123.75,115.5,107.55,98.95,91.05,Plastic_cup_full_water
7,179.55,198,216.7,235.35,254.7,274.6,294.85,318.55,342.15,365.1,390.05,405.8,412.7,417.7,421.95,426.25,430.4,431.55,433.55,435.05,437.95,439.55,440.95,441.7,442.05,441.7,440.75,436.8,434,431.65,426.6,421.8,415.95,409.9,403.9,398.6,394,391.3,390.6,390.05,388.35,388,387.45,387.9,389.55,390.7,392.5,395.1,397.45,399.6,402.15,405.45,409.75,415.15,421.45,427.5,432.9,437.15,442.05,446.85,452.4,457.75,463.35,469.95,475.4,483,488.4,495.5,502.65,511.15,518.85,526.75,534.95,543.45,552.55,562.25,572.9,584.3,595.15,608.2,622.05,635.4,648.05,658.85,670,681.05,695,705.95,716.85,728.35,739.55,752.45,764,774.75,782.2,787.75,792.8,794.5,796.8,793.9,788.95,785,782.2,779.7,775.3,768.75,759,748.95,734.6,718.1,705,686.8,669.9,652.2,636.55,621.85,606.9,592.9,574.65,557.75,543.9,528.3,511.25,495.65,482.15,469.7,459.2,446.1,435.25,424.5,412.7,403.4,392.8,384.1,376.2,368,360.75,354.9,348.55,343.65,337,332.3,328.35,321.8,315.8,310.6,305.7,304.1,301.85,300.1,297.55,294.95,292.7,288.2,283.65,281.1,278,275.05,273.25,270.45,267.4,264.1,261.65,260.15,257.3,254.2,251,247.65,246.15,243.15,238.9,234.8,233.85,232.5,229.9,227.3,224.9,221.65,219.8,219.15,218.95,217.8,217.3,216.75,216.6,215.6,214.5,212.85,210.2,208.75,208.4,209.1,208.6,209.8,211.25,211,210.2,208.85,208.1,206.7,204.25,203,199.95,198.3,196.6,196,195.55,195.9,197.05,198.4,199.75,199.9,198.55,196.85,195.25,194,192.85,193.15,194.4,196.15,198.6,201.4,204.05,206,207.6,207.65,206.7,204.7,202,199.2,196.4,194.6,193.4,191.9,190.3,188.6,187.05,186,184.45,182.9,181.5,179.65,178.25,176.75,175.3,174.65,174.4,175.15,176.8,179.45,182.35,184.8,186.05,187.55,188.3,188.55,188.75,187.6,186.25,184.5,182.9,181.85,180.7,179.55,178.1,176.35,175.55,174.25,174.05,172.15,169.65,167.6,166,164.6,164.45,164.9,164.85,164.65,164.65,165,165.15,164.65,164.55,164.45,164.5,164.3,164.35,164.05,163.35,162.6,162.6,154.4,146.6,138.6,130.2,121.55,113.25,105.45,97.45,89.5,Plastic_cup_full_water
8,179.55,198.15,216.55,235.4,254.85,274.9,295.6,319.75,344.05,367.4,392.2,408.5,415.5,420.65,424.9,428.55,431.8,432.35,433.2,435.15,438.1,439.65,441,441.9,442.55,442.15,440.6,436.55,433.25,430.75,425.75,420.15,414.6,409.25,404.5,400,395.75,393.5,394.05,393.55,391.8,391.85,391.8,392.05,392.15,393,394.3,396,398.15,400.35,402.6,405.75,409.85,415.1,420.1,425.25,430.5,435.85,440.25,444,448.7,453.55,459.05,465,471.45,478.25,486.2,493.85,499.75,508,516.1,524.35,532.9,541.4,550.9,561.8,574,584.75,596.65,610.15,623.5,636.3,648.85,660.3,671.15,682.7,694.65,705.75,717.7,729.15,740.15,752.85,765.25,776.15,783.55,788.15,791.4,794.2,795.75,793.5,791.45,787.9,784.65,782.15,778.2,771.9,760.15,747.25,732.9,716.5,700.9,682.4,664.55,646.8,630.95,616.65,601.55,585.65,566.65,549.9,534.6,519.35,502.95,487.3,473.15,460.2,450.95,443.3,434.35,425.5,418.2,409.25,399.6,390.7,382.45,374.15,367.75,362,356.15,350.7,343.5,338.35,333.75,327.8,323.35,318.35,314.25,309.3,305.1,300.2,293.8,290,285.75,281.3,277.85,275.45,272.7,269.65,268.2,265.25,262.25,258.85,255.3,253.6,250.05,246.95,243.4,239.7,237.4,235.45,233,230.55,228.65,227.05,225.1,222.9,220,217.4,214.4,212.6,211.1,208.6,208.45,207.5,206.8,206.25,205.4,204.85,202.65,200.25,199.05,198.55,198.5,199.95,198.55,196.45,194.95,193.8,194.45,195.75,196.65,198.1,196.8,195.5,195,194.95,193.9,194.05,196.1,197.8,200.05,202.15,203.25,201.35,200.3,200.15,200.7,201.25,201.1,201.05,201.95,203.15,205.15,206.3,206.5,206.65,207.9,207.25,206.6,207.05,206.75,205.55,204.5,203.65,203.6,202.6,200.9,199.6,199.65,199.9,199.4,199.35,199.75,200.5,200.9,200.6,200.65,200.95,200.95,201.55,202.1,202.9,203.45,204.9,206.15,207.05,206.9,205.95,204.45,201.6,200.15,197.95,195,191.75,189.4,187.3,184.5,182.3,180.2,177.35,175.9,174.35,172.8,170.9,169.35,168.05,167.25,166.65,165.8,166.05,165.05,164.65,164.5,164.5,164.2,163.85,163.5,163.5,163.45,165.1,165.3,156.5,148.35,140.4,132.25,124.2,116.05,108.05,100.25,92.2,Plastic_cup_full_water
9,184.45,202.65,221.45,240.45,259.8,280.25,300.85,324.35,348.35,371.15,395.2,411.4,418.5,422.6,424.1,427,429.85,430.75,432.75,434.55,437.35,439.4,440.6,441.25,443.75,443.25,442.05,438.6,436,434.1,429.8,424.35,418.95,413.05,407.65,402.5,397.75,394.95,394.5,394.7,392.75,391.9,391.75,392.35,391,391.25,392.25,394.05,395.7,397.85,400.5,403.75,407.7,413.05,419.25,425.45,431.05,435.75,438.45,443.45,448.8,454.55,459.8,465.35,471.55,478.8,485,492.25,499.8,508.3,515.7,523.7,531.7,540.4,548.95,558.7,571.2,582.45,597,608.65,622.25,635.25,647.45,658.9,670.35,681.85,695.4,707,717.5,729.05,740.65,753.05,766,776.75,784.65,789.75,792.75,793.95,794.9,793.1,789.3,785.9,783.65,781.15,776.25,770.05,760.9,750.55,736.25,719.4,703.4,685.2,667,649,633.6,619.55,604.55,590.3,571.5,555.9,542.9,527.35,510.35,494.9,481.2,468.4,457.55,447.5,438.5,428.5,419.9,410.95,400.85,392.8,384.45,375.75,368.95,363,357.15,351.85,343.85,337.4,332.9,326.9,322.45,317.85,313.25,307.75,303.45,299.9,295.5,291,290.25,286.25,283.2,281.25,279,276.3,273.6,268.95,266.05,264.25,263.15,262.2,259.6,256.55,253.6,250.1,247.85,245.45,243.55,242.3,237.7,234.9,232.45,229,225.7,222.5,221,219.95,217.85,215.25,212.05,210.25,207.5,206.55,203.3,201.25,199.45,198.5,197.35,197.2,198.3,199.85,199.6,199.6,199.5,198.45,198.1,197.8,198.15,198.3,197.05,196.35,197.5,197,198.4,200,201.4,201.95,202.7,203.2,202.85,201.3,199.2,196.65,195.1,194.9,194.75,195.5,196.6,198.5,201.25,201.35,200.2,198.85,197.6,196.55,195.5,194.85,192.8,191.1,189.6,188.05,186.9,186.8,186,184.6,183.35,182.15,181.7,180.8,179.6,179.2,179.6,180.85,181.95,182.1,183.65,184.6,186.6,188.4,189.3,190.55,191.15,191.85,191.6,191.4,191.45,190.65,188.55,187.05,185.6,184,182.15,179.5,177.05,176.05,172.85,170.85,170.4,169.1,167.85,166.65,166.25,165.3,164.85,164.95,164.5,164.95,165.7,165.6,165.55,165.95,165.85,166.25,166.5,166.3,166.85,167.45,166.65,157.8,149.55,141.6,133.6,125.65,117.5,109.2,101.3,92.9,Plastic_cup_full_water
