,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,Objects
0,181.8,200.15,218.65,236.95,255.7,275.3,296,319.5,341.75,363.95,388,403.8,410.35,415.2,419.1,423.4,427.85,428.05,429.55,429.35,432.25,434.1,435.4,436.9,438.6,438.3,436.5,433.15,432,430.35,426,421.05,415.35,409.9,405.35,399.65,393.4,390.9,390.25,390.35,388.6,388.15,387.15,386.8,386.45,387.65,389.3,390.75,390,390.05,391.7,394.15,398.1,402.95,407.85,413.45,419.45,423.55,428.1,432.9,437.65,441.7,447.3,453.4,459.2,465.5,470.45,477.7,486.9,495.9,503.85,511.55,519.4,527,535.4,544.75,555.35,565.5,575.8,587,598.05,611.75,623.45,634.1,645.1,656.25,669.6,680.2,691.85,704.85,715.9,729.85,742.8,755.25,764.25,771.65,778,784.15,790.1,792.4,794.85,795.15,796.9,798.9,798.05,795.85,790.55,783.95,772.8,759.1,746.55,730.6,713.85,699.5,686.3,672.25,657.8,643.25,624.05,605.7,590,572.4,554.1,536.65,521.4,506.45,494,481.85,469.45,457.4,446.7,435.85,425.2,412.95,402.55,393.05,385.3,377.45,369.95,363.1,354.65,348.4,342.95,336.25,329.8,322.7,317.1,311.65,307.4,303.85,299.65,295.6,292.55,288.1,284.35,281.45,278.15,275.15,273.8,273.3,271.7,269.2,267.75,265.9,263.4,261.4,257.75,253.7,252.2,249.65,247.5,246.15,243.75,242,239.95,237.9,234.25,229.5,225.95,222.15,220.55,218.55,216.75,214.9,214.15,213.2,212.35,212,209.55,208.05,205.95,203.8,203.55,204.7,204.4,203.35,203.15,202.65,202.1,201.45,199.85,199.7,198.1,198.75,198.3,198.6,198.85,199.2,200.45,201.6,203.35,205.2,206.2,205.2,202.95,201.45,199.9,199.9,200.1,201.7,203.65,204.8,206.35,206.1,205.45,204.6,204.05,202.15,199.55,196.9,194.4,191.85,190,188.1,187.25,186.7,185.95,184.95,183.5,181.8,179.25,177.05,174.5,173,172.8,172.5,171.65,171.9,173.8,176.7,179.25,181.55,182.8,184.05,185.3,185.05,184.5,184.15,183.8,184.75,184.75,184.4,184.25,183.35,181.35,179.85,178.6,177.45,175.6,173,172.15,171.7,172.8,174.3,176.15,178.65,180.2,181.1,181.35,179.5,178.7,178.65,178.45,178.1,178.15,177.65,177.3,176.9,177.2,177.25,176.05,166.45,155.65,145.15,134.25,123.35,113.7,104.55,96.4,88.6,Popcan
1,183.7,202.5,220.8,238.85,257.65,277.4,298.95,321.45,343.95,366.5,390.6,406.9,414.15,419,422.4,425.9,429.2,429.45,430.75,432.15,434.9,436.55,438.2,440.3,441.45,441.65,439.95,437.65,436.2,434.6,430.2,424.5,418.6,413.35,407.9,402.55,397.7,394,391.05,388.05,386,384.95,384.55,384.25,384.45,384.85,385.25,386.7,388.1,390,392.15,394.4,397.55,401.75,407.25,413.45,418.25,422.8,429.4,435.6,440.9,445.95,450.35,455.65,461.7,468,474,480.95,487.5,494.2,501.35,511.8,520.4,529.95,538.6,547.65,558.4,568.95,579.8,591.15,602.45,613.5,625.4,635.95,646.15,657.4,670.5,681.45,693.35,706.25,717.35,728.2,740.55,751.4,761.85,770.7,777.45,783.25,788,790.15,791.9,793.65,793.3,794.7,793.95,789.85,783.75,777.2,766.3,752.7,740.3,724.55,710.15,695,679.5,664.15,649.8,635.25,616,597.9,582.8,566.3,550.9,534.65,519.55,506.9,494.45,482,470,458.55,448,437.35,425,414.55,404.65,396.85,388.4,379.35,371.6,365.2,356.45,350.1,344.3,338.95,334.4,330.05,325.85,322.4,320.35,317.2,312.8,309.15,305.65,300.6,297.1,292.8,289.15,287,285.15,282.25,278.75,275.3,273,268.55,263.8,257.7,253.6,247.7,242.7,239.55,236.8,234.45,232.6,230.5,228.55,226.95,225.45,223.75,222.8,221.75,220.85,218.25,215.45,215.15,214.8,215.15,213.35,211.6,210.05,207.9,206.2,204.5,204.35,205.7,205.55,203.9,202.2,200.05,198.65,198.5,198.7,200.1,200.15,200.05,200.1,199.75,200.25,201.65,202.95,203.75,205.3,206.65,205.65,202.75,201.05,200.65,200.25,200.55,201.75,202.5,203.5,204.8,206.5,206.8,206.4,206.6,205.7,204.55,202.95,201.3,199.45,198,197.3,197.35,196.2,194.1,192.8,191.3,190.05,188.9,187.5,185.9,183.3,180.85,178.85,177.1,176.8,177.45,178.45,181.35,183.8,186.6,188.55,190.55,191.85,192.3,190.95,189.65,188,186.2,184.55,182.9,182.75,182.5,182.25,181,179.4,177.15,175.05,172.3,171.35,169.4,167.85,165.9,164.2,163.3,163.05,162.95,163,163.25,163.35,163.45,162.95,162.8,162.7,163.2,162.75,162.7,162.95,162.6,161.25,152.3,144.05,136.15,128.25,120.4,112.75,104.7,96.6,88.65,Popcan
2,180.35,198.3,216.25,234.55,253.3,272.9,293.3,316.5,339.35,360.95,384.85,401,408.4,414.7,419.15,422.8,424.45,426.05,428.6,430.5,433.55,436.4,438.5,440.35,442.05,442,441.25,438.25,434.4,431.3,426.9,421.15,415.1,408.45,402.75,397.3,392.25,389.45,388.75,387.8,386,384.85,384.55,384.4,384.3,385.2,385.95,386.95,389.1,393.3,395.5,398.55,402.3,407.4,412.55,418.6,424.05,428,432.55,436.65,441,447.1,452.3,458.65,464.2,470.35,476.3,483.5,491.6,499.05,506.55,514.55,522.65,530.6,539.1,548.45,559.05,570.45,580.8,592.4,604.25,614.25,625.25,635,645.7,656.9,669.9,680.8,693,705.35,716.25,728.8,741.7,754.5,765.1,773.5,780.15,784.05,789.3,791.95,794.35,796.7,799.3,801.1,800.4,797.95,791.85,785.25,774,760.3,747.7,732.65,718.45,702.95,687.95,673.05,658.45,644.45,625.05,606.6,590.85,573.65,555.45,538.45,522.3,505.6,493.25,480.5,470,458.3,447.95,437.15,424.6,414,403.9,394.45,386.3,379.2,373.05,366.05,356.7,349.75,343.25,336.35,331.65,328.15,322.85,317.5,311.7,307.9,303.3,299.5,296.55,291.5,287.9,284.95,281,275.6,271.15,269.75,266.8,263.5,261.7,259.05,255.05,251.85,247.75,245.25,242.8,240.25,237.3,234.65,231.75,229.6,227.1,224.55,221.8,221.45,221.15,219.65,219.25,219.45,218.1,217.75,218.4,217.55,217.1,214.65,212.1,212,212.4,212.75,213.95,215.4,215.6,215.3,215.3,213.35,212.9,211.5,209.4,206.45,203.95,202.75,201.6,201.6,201.75,203.1,204.95,204.05,203.7,202.7,200.1,197.1,193.85,192.1,191.15,191.8,192.3,193.95,195.8,198.25,200.55,201.05,201.45,201.05,200.15,199.45,199.05,199.25,199.3,198.6,198.15,197.85,198.4,198,196.9,195.45,194.1,193.1,193.5,193.95,194.25,194.75,194.6,194.7,195,195.85,196.5,197.15,197.4,198.9,200.8,202.55,203.3,202.95,201.9,200.1,198.75,196.65,194.05,191.7,189.1,186.55,183.55,180.35,177.9,174.55,171.8,169.3,169.6,169.85,169.15,167.55,166.15,165.7,166.55,166.95,166.5,166.45,166.35,165.75,165.25,164.95,165.45,166.55,166.7,167.85,168.2,168,165.75,155.75,146.85,138.9,131.15,122.85,113.95,105.7,97.9,90.1,Popcan
3,182.2,200.6,218.95,237.05,255.5,274.55,294.75,317.35,339.95,361.8,385.75,402.25,408.9,414.15,417.6,421,425.15,426.6,429.85,430.2,433.15,435.45,437.6,439.7,441.05,441.6,441.1,439.1,437.85,436.5,432.3,426.55,421.15,418.05,413.55,408.25,402.85,399.85,397.55,397.45,395.5,394.3,393.1,392.85,393.35,394.25,394.55,395.65,396.75,398.7,400.65,405.25,409.15,412.6,417.55,422.8,427.85,431.4,435.95,440.65,445.1,449.9,456.5,462.05,468.1,474.35,480.15,486.65,493.45,500.9,508.5,514.65,522.1,528.75,537,546.55,557.55,568.3,578.55,589.6,601.4,613.1,626,637.55,647.95,658.85,672.5,683.75,695.4,707.85,718.15,730.6,742.8,754.85,764.55,771.85,778,782.85,787.75,789.4,790.55,792.5,792.25,793,792.4,790.55,784.65,778.2,767.2,753.7,741.2,725.75,712.75,698.05,682.95,669.45,652.95,638.65,620.3,603.2,588.5,570.85,552.4,535.45,520.25,505.3,492.85,480.6,468.3,456.75,446.7,436.3,424.45,414.15,405.05,395.3,389.75,382.6,375.75,368.75,359.9,354,347.9,340.65,334.65,328.65,322,314.1,309.45,304.4,299.55,296.35,291.6,285.9,282.4,279.85,275.8,271.7,268.7,265.55,262.45,259.25,256.15,253.85,251.05,248.1,245.65,245.15,244.9,243.55,242.1,239.85,238.2,237.1,234.9,231.75,229.7,227.15,225.2,226.5,226.25,225.5,225.25,224.75,223.1,222.35,221,218.65,214.9,212.6,209.95,207.5,206.6,206.7,206.4,205.95,205.2,204.95,204.2,201.15,198.45,196.1,193.45,192.4,193.25,193.55,193.6,194.7,196.45,197.8,198.85,200.65,200.7,199.25,197.1,195.75,194.05,192.95,194,195.9,198.9,201.2,203.6,203.9,203.45,202.55,202.7,202.1,201.15,200.95,201.25,200.05,198.5,197.7,196.7,196,195.65,194.75,193.5,192.05,190.2,188.45,185.9,185.2,183.75,181.75,180.15,179.2,179.3,180.25,181.8,183.3,185.35,187.55,189.6,190.8,191.4,190.95,189.3,187.85,186.9,186.4,186.85,185.7,185.05,184.65,183.5,181.9,180.2,177.5,176.1,174.7,173.05,170.9,169.55,168.2,166.35,165.95,166.05,166,165.6,165.4,165.1,164.85,164.1,164,164.1,164.65,164.7,164.75,163.15,154.35,146.05,137.95,129.2,120.6,112.85,104.7,96.75,88.75,Popcan
4,181.8,200.55,219.15,237.5,256.35,276.05,296.35,319.4,342.2,364.75,388.8,404.85,411.55,417.35,424.2,428.5,432.25,433.3,434.75,435.8,438.05,439.45,440.65,442.5,443.8,443.85,443.15,439.95,438.15,436.35,432.15,427.1,421.4,415.45,408,402.05,397.3,393.9,393.15,392.05,389.3,389.25,389.2,388.8,389.05,389.7,390.65,392.15,393.1,394.8,396.65,399.15,402.3,406.55,411.4,416.85,421.65,426.15,430.85,435.5,441.2,445.2,449.9,454.95,460.3,466.95,471.75,479.05,486.35,493.9,501.7,509.25,520.05,528.25,537.25,546.6,556.3,566.7,577,588.6,600.25,611.6,622.6,633.4,644.3,655.1,668.95,679.85,692.2,705.25,715.8,729.35,739.45,750.95,759.85,767.3,774.65,780.45,786.2,787.85,789.2,790.65,792.95,795.65,795.4,792.35,786.4,778.6,766.6,751.9,738.85,723.2,709.55,695.05,680.75,667.25,652.8,638.4,619.4,601.6,587,570.95,552.95,535.5,519.75,505.75,493.6,482.35,471,459.5,449.6,438.55,425.55,415.35,406,395.95,387,375.75,367.05,361.05,351.7,345.4,339.6,333,326.3,320.7,315.25,310.1,305.3,300.85,296.1,292.75,288.95,283.1,279.25,276.85,274.25,273.95,272.75,269.45,266.65,263.05,261.35,257.95,255.3,251.75,247.7,244.25,241.65,241.65,240.3,237.95,236.45,234.85,232.7,230.15,227.35,224.4,221.5,219.55,217.9,215.4,213.05,212.55,212.15,211.35,211,208.5,206.05,201.65,198.55,196.5,196.05,196.75,196.25,195.45,195.55,195,196.6,198.15,198.2,199.25,198.05,196.75,196.65,196.55,196.05,197.45,199.7,201.4,202.75,204.1,203.85,204.5,203.95,203.75,202.85,203.25,203.05,202.9,204.45,206,207.45,209.2,209.3,209,208.65,208.15,207.15,206.2,205.05,203.6,202.85,200,198.1,195.7,193.9,191.85,189.55,187.45,185.75,183.9,183.3,180.7,178.25,176.95,176.55,176.6,177.35,179.55,181.9,184.6,186.8,188.7,190.45,192.1,193.15,193.55,193.45,192.75,191.25,189.9,188.7,188.65,188.65,188.3,187.05,186.15,185.3,183.15,182.85,181.9,180.3,179.3,178.4,177.7,176.3,174.85,174.45,174.5,174.9,175.15,174.6,174.2,173.75,173.4,172.4,171.1,169.55,169.1,168.2,158.55,149.45,140.45,131.45,122.35,113.9,106.05,97.9,89.85,Popcan
5,179.55,197.1,215.4,233.8,252.2,271.3,291.7,314.5,337.3,359.25,382.95,399.05,405.85,411.4,416.1,419.75,422.5,423.5,424.55,426.9,429.9,432.65,434.1,435.8,437.35,437.9,436.7,434.05,432.3,430.45,426.2,420.5,414.75,408.9,402.85,397.75,392.65,389.85,389.15,389,387.7,386.1,385.95,385.85,386.3,386.95,388,388.3,389.55,392.3,394.65,397.8,401.7,406.55,412.25,417.6,422.95,427.1,431.85,435.15,440.45,445.85,452.05,456.7,462.15,468.05,474,482.3,489.1,496.15,503.6,510.75,518.5,526.65,534.75,544.4,555.4,565.85,575.95,588.4,599.45,611.25,621.2,632.45,643.3,655,668.15,678.95,690.9,703.55,714.35,727.5,739.6,750.7,762.95,771.65,778.55,784.2,789.5,790.75,792.6,793.95,796.05,798.05,797.35,794.9,788.9,781.7,770.7,757.6,745.35,730,715.85,701.4,684.7,669.95,655.15,640.5,621.35,603.4,588.25,571.25,553.05,535.9,520.65,506.25,493.05,479.1,466.1,456.4,446.6,436.9,425.5,415.6,406.25,396.75,388.8,381,373.75,367.1,358.15,352.1,346.9,339.65,334.4,329.75,325.7,323.75,321.1,314.45,309.1,303.95,299.45,293.65,290.2,287.15,283.5,279.9,278,276.95,273.95,271,268.6,266.95,262.7,258.25,254.25,250.25,248.05,246.1,243.45,241.75,240.2,238.85,236.3,233.65,231.3,228.8,227.25,225.05,224.9,223.25,221.95,221.15,220.85,219.65,218.65,216,212.9,210.8,209.5,210.75,211.6,211.2,209.65,208.7,208.1,206.5,205.8,205.5,204.75,205.45,205.6,205.35,205.3,205.6,205.1,206.25,207.9,210.05,212.4,210.55,208.45,206.75,205.15,203.65,201.7,201.4,200.7,200,200,200.35,200.15,200.5,200.25,199.4,198.5,196.35,193.6,190.25,187.15,185.5,185.1,185.2,185.2,185.15,184.7,184.55,184.75,184.8,183.7,181.9,180.55,178.8,177.75,176.75,175.25,175.85,177.7,179.25,180.55,182,182.7,183.25,184.4,185.5,186.85,186.9,186.55,185.45,184.15,183.45,181.75,180.6,179.25,177.75,177.7,176.25,174.5,173,173.15,173.05,172.3,172.1,170.7,168.35,165.9,164.7,162.9,162.4,163.1,163.2,163.3,162.75,162.5,163.1,163.1,164.75,166,168.4,169.85,160.8,152.65,144.45,136.4,128.55,120.65,112.15,104.5,96.65,Popcan
6,182.5,200.65,218.55,236.5,254.8,274.3,294.7,317.9,339.7,361.3,384.7,400.45,407.2,412.25,416.8,420.8,424.05,424.4,425.5,426.4,427.6,429.6,431.55,433.35,434.7,435.2,434.45,431.1,430.35,429.65,426.4,421.1,415.5,410,404.35,398.75,393.75,390.95,390.45,390,389.65,388.55,388.15,388.3,389.1,389.5,390.35,392.1,393.15,394.7,396.3,398.9,402.85,408.25,413.35,419.7,424.95,429.1,433,437.15,442.3,447.6,452.25,458.2,463.7,470.55,475.7,483.05,490.15,497.2,505.2,512.8,520.35,527.25,535.55,544.75,554.95,565.05,576.3,588.15,599.75,611.2,623.1,633.25,646.4,657,670.8,681.35,693.35,706.5,716.45,730.15,742.9,755.05,764.45,771.2,778.15,784,789.15,790.65,792.05,793.45,795.25,796.85,793.8,791.3,784.9,778.5,767.55,754,741.65,725.6,711.05,696.2,682.15,668.9,654.75,638.25,619.4,601.8,585.3,568.2,550.45,533.5,518.3,501.35,488.4,475.65,463,450.95,440.9,430.95,419.1,408.75,399.4,390.1,382,376.85,370.45,363.35,355.95,349.75,344.15,337.45,331.85,329.8,325.9,321.6,317.7,314.3,310.8,307.65,304.85,299.95,296.05,292.95,289.7,284.25,279.8,276.9,273.6,270.95,269,267.5,263.9,259,254.5,251,249.8,246.95,243,239.45,235.95,233.4,231.1,227.05,224.3,223.7,223.65,223.15,222.8,222.85,219.55,216.9,216.1,215.85,215,212.7,210.2,209.15,208.75,207.75,208.05,209.4,208.7,209.7,208.9,207.15,205.25,204.4,203.5,200.95,200.25,199.75,199.75,199.25,199.1,199,199.95,200.7,202.3,203.8,204.55,205.05,205.05,203.3,202.25,202.3,204.2,205.5,206.9,209.3,211.75,213.85,214.3,214.75,214.9,215.3,214.6,214.05,212.3,210.15,207.75,204.4,202.35,202.1,201.9,200.85,199.15,197.5,195.9,194.4,193.5,192.85,191.6,191.4,191.6,190.5,190.4,191.35,192.45,194,195.15,196.25,196.7,196.05,194.35,193.3,191.95,190.7,189.25,187.35,185.35,182.5,180.6,177.85,175.15,173.85,171.65,169.2,168.3,166.75,165.5,164.65,163.8,163.2,163.2,163.55,163.5,164.75,165.55,166,165.5,165.65,165.4,165.4,165.55,165.4,165.8,165.7,165.1,156.9,148.9,140.85,132.7,124.75,116.7,107.9,99.85,90.7,Popcan
7,179.7,198.05,216.9,235.85,254.55,273.6,293.85,315.3,337.65,359.65,382.35,398.55,405.85,412.25,417.3,421.7,425.35,426.15,428.65,430.7,433.9,436.05,437.1,438.5,439.45,440.3,439.55,437.9,436.5,435.25,433.1,428.8,423.45,417.2,410.55,404.75,399.6,396.65,395.5,394.5,391.65,390.25,389.5,390.2,391.3,391.75,392.6,394.2,395.25,397,398.05,400,402.9,407,412.3,417.45,423.1,426.35,430.25,435,440.4,445.45,450.3,454.4,459.95,466.5,471.8,478.95,486,493.15,500.9,508.45,516.35,524.25,534.05,543.1,553.7,564.45,575.45,586.9,598.7,610.55,622.6,633.6,644.2,654.9,668.45,679.4,691.4,704.3,715.05,728.4,741.05,753.15,761.5,769.7,776.2,781.75,787.2,788.9,791,792.55,794.05,795.3,794.25,792.15,787.6,780.05,769.1,758.5,746.6,730.65,715.85,700.65,686.75,673.4,659.1,644.6,624.95,606.75,591.15,573.9,555.85,538.95,523.8,509.6,496.15,485.5,473.75,459.1,448.1,437.7,425.9,416.05,406,395.8,386.95,379.3,372.5,366.55,357.95,351.05,345.5,338.4,332.6,326.45,320.75,315.45,310.65,307.2,304.1,300.9,298.2,293.7,290.55,288.25,283.55,279.75,277.85,274.55,271.3,268.7,267.6,266.1,262.3,258.2,254.1,250.05,248.15,244.2,240.2,240,238.35,237.2,235,231.9,230.6,228.25,225.25,223.85,222.2,220.3,217.5,216.7,216.55,216.75,216,214.3,213.2,213.8,213.25,210,209.25,208.75,207.9,207.7,207.25,206.35,206,205.7,205,204.5,202.6,200.05,198.8,197.85,197.75,198.35,198.6,198.2,198.9,200.05,200.15,200.2,199.25,197.85,196.9,196.95,197.9,199.35,202.2,204.45,207.35,209.35,209.65,209.8,210.1,208.65,206.1,203.9,201.8,199.6,197.3,194.7,193.55,192.75,192.05,189.5,188.15,187.45,186.65,186.05,185.9,186.05,187.25,187.4,187.2,188.65,190.4,192.9,194.35,195.65,196.25,196.9,196.65,197.45,197.4,197.55,196.6,194.75,192.2,190.3,187.2,184.35,181.25,178.3,175.6,174.1,172.3,170.2,170.45,169.85,169.25,168.55,168.3,166.7,165.35,164.95,164.45,164,163.9,163.5,163.6,163.55,163.45,164.5,164.6,163.5,164.65,165,163.8,154.75,146.6,138.4,130.25,122.25,114.4,106.6,98.9,91.05,Popcan
8,182.4,200.85,218.9,236.55,256.5,276.65,297.05,319.85,342.35,364.5,388.75,404.95,412.05,417.65,421.7,426,429.7,430.15,432.1,433.2,435.3,437.25,439.7,442.5,443,442.8,442,439,437.65,436.4,432.25,426.35,421,417.65,413.1,410.5,406.15,402.5,401.45,400.55,398.25,397.5,396.45,395.45,395.4,395.6,396.3,398.3,400.2,401.95,403.75,406.5,409.55,411.55,415.8,418.5,423.15,427.75,432.25,436.9,441.85,446.35,451.2,457.6,464.25,470.45,476.1,482.6,488.75,495.9,503,510.5,519.1,527.35,536.05,545.45,556.05,566.4,577,588.15,599.95,611.5,623.1,633.15,642.6,654.45,667.8,679,691,703.2,714,727.1,739,751,761.05,768.65,777.3,783.7,788.65,792.5,794.5,796.3,798.1,799.8,799.35,796.7,791.4,784.55,773.5,760.1,747.55,732.05,717.6,702.7,687.8,674.05,657.45,642.6,624,604.1,588.3,571.1,553.2,536.35,521.2,507,494.15,482.85,472.3,460.7,450.6,440.6,428.75,418.4,408.9,399.45,391.6,380.4,371.7,364.75,356.05,349.65,343.8,337.25,331.9,326.25,321,316.4,312.55,309.4,306.2,303.25,300.65,295.7,292.25,289.4,285.15,284.75,284.25,282.45,279.25,277.65,276.5,276,273.7,271.6,269.45,266.65,264.4,261.75,257.2,254.8,252.45,250.35,247.85,245.05,242.5,239.5,236.2,233.75,232.35,228.7,225.8,222.9,220.7,217.55,214.75,210.9,206.95,205.2,204.05,201.2,201.35,202.05,201.85,201.2,201,199.05,197.5,196.3,195.2,194.6,192.75,190.75,190.1,190.75,190.95,192,193.45,194.45,195.65,196.45,194.15,191.45,188.4,186.55,185.15,185.25,187.1,189.6,191.65,193.2,195.4,197.45,197.9,197.15,196.2,194.7,193,190.6,189,187.7,187,187.3,187.45,186.75,185.1,184.3,183.15,181.75,180.65,180.25,179.45,178.2,177.1,176.8,176.55,176.25,176.25,177.95,179.95,182.05,183.9,185,185.9,186.3,186.7,187.6,187.2,185.8,184.3,182.95,181.25,179.45,177.85,175.7,174.25,172.95,171.8,169.85,168,166.65,165.45,164.5,163.9,162.8,162.25,160.8,160.45,160.3,160.75,160.85,161,161.3,161.4,161.85,161.5,161.65,162.65,164.25,165.85,157.45,149.05,140.75,132.35,124.8,116.95,109,100.85,93.15,Popcan
9,181.65,201.05,220.2,239.05,257.75,277.4,297.65,320.65,343.9,366.2,390.5,406.3,413.8,419.35,424,427.7,431.45,432.3,433.6,434.65,436.95,437.55,439.1,440.5,441.65,441.5,440.75,438.4,436.05,434.15,430.15,424.95,418.95,412.55,406.9,401,395.6,392.95,392.25,391.95,389.95,389.05,387.85,387.4,387.6,388.3,388.7,389.5,390.6,392.5,393.85,396.1,399.55,404.1,409.95,415.45,421.05,425,429.6,433.85,439.35,444.55,449.15,454.35,460.65,468.05,474.3,480.9,488.5,495.6,503.35,511.3,519.3,527.6,535.65,545.65,556.35,566.6,577.45,588.7,599.95,611.35,623.35,634.35,645.1,655.3,667.4,678.65,690.2,703.55,714.8,728.65,741.35,753,762.1,769.35,775.7,781.35,786.4,788.6,789.95,791.9,793.25,795.15,794.25,792.2,787.4,781.1,769.75,755.85,743.1,727.15,713.2,698.65,684.55,670.9,656.6,642.15,624.6,608.05,592.9,578.05,560.55,543.4,528.75,514.25,502,490.15,479.1,467.5,457,447.1,435.1,424.3,414.75,405.95,398.05,390.95,382.75,374.95,365.75,357,350.8,343.85,338.05,332.65,327.4,322.35,317.85,313.9,310.65,309.05,307,303.85,300.65,297.65,293.15,289.4,286.7,283.7,281.25,277.8,276.45,275.05,271.65,268.1,264.15,259.65,256.85,254.35,250.95,246.95,244.05,240.8,238.15,235.55,234.25,232.1,230.55,229.55,228.2,226.4,224.8,222.5,220.9,219.4,218.15,216.95,215,213.3,211.9,209.95,209.25,210.2,209.9,208.7,207.5,204.9,203.6,202.3,201.05,200.55,198.45,198.25,198.3,198.35,198.4,198.85,200.3,201.5,202.5,203.85,204.25,203.9,202.3,202.4,202.25,202.5,203.55,205.7,207.5,209.8,211.85,212.8,212.7,212.35,211.9,210.75,208.25,205.65,203.05,200.05,197.65,194.75,192.9,190.8,189.2,188.7,187.35,185.65,184.75,183.7,182.85,181.65,180.35,179.55,178.35,178.95,181.15,183.45,185.75,187.3,187.9,188.35,188.95,188.15,187,185.9,184.75,183.4,181.7,180.1,178.1,176.8,175.4,174.25,173.8,171.7,169.35,167.6,165.65,164.3,163.7,163.5,163.15,163,162.65,162.35,163.15,164.4,164.7,164.8,165,164.8,164.65,164.1,163.75,163.6,163.6,163.5,163.8,155.8,147.55,139.55,131.65,123.75,115.95,107.75,98.7,89.55,Popcan
