,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,Objects
0,171.45,189.05,206.8,224.9,243.45,262.5,282.2,304.75,327.35,349,372.65,388.25,394.4,400.05,405.2,409.25,412.25,414.65,416.15,418,421.15,423.5,424.85,425.95,426.65,426.6,425.05,422.3,420.4,417.65,412.15,406.85,401.6,396.35,391,385.75,381.55,378.55,378.3,377.8,376.15,375.2,374.95,375.05,375.65,376.45,378.45,379.75,380.8,384.15,386.9,389.95,393.4,397.5,402.45,408.3,413.4,417.95,422.4,427.05,431.9,437.25,443.2,448.55,454.05,460.3,465.7,473.4,480.35,487.25,495.2,502.2,510.65,519,527.85,537,548.15,558.35,569.05,581.25,592.9,604.25,614.4,624.85,635.4,646.45,658.9,668.15,679.45,691.2,701.4,715,726,736.8,745.55,752.3,758.15,762.6,766.85,766.8,767.95,768.75,770.45,771.25,770.4,768.8,763.05,757.35,746.9,734.9,722.55,706.5,692.6,677.95,663.8,650,635.6,621.7,602.85,585.85,570.45,553.85,536.65,521.55,506.7,491,476.95,464.6,452.25,441.45,431.95,422.15,410.3,400.95,390.85,379.4,371.4,364.5,357.45,350.55,342.15,336.05,329.95,322.9,317.35,312.65,309.1,303.85,299.35,293.2,287.65,283.25,279.65,273.5,270.45,269.7,266.15,261.5,260,257.45,253.6,249.55,247.05,244.3,240.65,236.85,232.85,229.1,227.6,225.05,222.35,219.5,216.95,215,211.9,209.7,207.2,205.5,202.1,199.6,198.6,196.55,194.95,193.55,192.05,191.4,190.2,187.8,183.95,182.4,182.55,182.75,182.95,183.8,183.55,182.45,182,180.2,179.85,179.6,178.95,179.25,177.85,177.85,178.05,177.45,178.8,180.9,184.25,186.9,186.6,186.05,185.4,183.95,182.55,181.55,180.35,181.15,182.5,183.7,184.15,185.2,185.95,184.35,183.1,182.15,179.7,177.6,174.2,171.9,171.1,170.65,169.9,169.2,170.3,170.35,170.5,169.35,168.05,166.7,166.45,165.4,165.05,165.65,166.65,166.7,167.4,167.65,169.4,170.3,170.15,170.6,171.55,172.4,172.9,173.1,172.85,172.35,171.8,171.3,171.2,170.45,170,168.85,167.2,165.2,164.2,163,161.75,160.6,161.75,161.85,161.8,161.45,159.1,157.6,155.65,154.45,153.65,154.7,153.75,154.25,153.7,153.85,153.7,155.65,157.15,158.1,158.35,158.3,157.7,149.55,141.35,133.55,126.3,118.6,111.35,104.25,97.05,88.9,Soundbox
1,175.7,193.95,212.1,229.85,247.4,266.1,285.95,308.75,331.25,352.55,375.4,390.7,396.85,401.8,406.25,409.95,412.75,413.15,414.55,415.75,417.65,418.9,420.2,421.55,423.35,424.2,423.2,420.95,419.2,417.7,414.05,409.05,403.1,397.6,391.45,385.65,380.95,378.1,377.4,377.45,377.2,376.75,375.85,376.2,376.75,377.55,378.65,379,379.95,382.45,384.8,388,394.1,399.2,405.3,411.15,416.2,420.4,425.1,430.1,435,440.1,445.65,451.3,457.2,463.45,469,476.45,483.75,490.85,498.2,506.1,512.45,520.3,528.9,538.9,550.3,561.35,572.55,584,595.85,606.5,617.1,630.2,640.7,651.15,662.8,673.05,683.9,695.85,706.75,719.05,730.25,740.8,749.15,755.7,761.5,766.3,770.9,772.25,773.5,775.05,776.45,774.55,773.7,771.35,766.45,760.35,750.75,738.5,725.4,709.8,696.15,681.65,667.7,652.4,634.85,620.05,603,585.3,567.4,551.2,534.65,518.6,502.65,487.85,475.15,462.3,448.8,436.45,426.25,415.35,403.25,394,384.75,377.3,372.8,366.3,357.3,350.85,343.95,337.5,331.55,324.8,320.3,315.2,310.4,304.25,300.75,296.3,291.55,287.65,284.2,278.15,274.1,270.6,266.6,261.7,258.25,255.35,252.85,248.65,245.95,243.15,239.15,235.3,231.8,229.3,227.25,223.45,219.8,217.2,214.5,212.15,210.2,207.8,205.05,203.75,202.8,200.35,200.3,198.85,196.8,195.25,193.9,193.75,193.4,191.25,188.8,187.95,187.95,188.2,189.1,190.5,189.55,188.35,187.7,185.6,184.2,184.2,181.75,181.45,180.35,180.3,180,178.45,177.05,177.6,178.75,179.7,179.9,179.8,178.3,176.5,174.95,174.35,172.55,171.8,172,172.85,174.2,175.95,177.6,177.45,176.45,175.85,175.2,175.05,172.85,172.05,171.3,170.45,170.25,169.75,169.55,168.5,168.4,167.95,168.05,166.9,165.8,164.8,164.6,163.2,163.85,164.1,163.75,163.5,164.45,165.2,165.7,165.55,165.65,166.15,166.05,166,165.8,166.05,164.4,164.2,163.5,162.7,161.2,161.4,159.8,158.65,158.05,157.1,156.4,155.95,157.75,158.35,158.6,158.7,158.95,159.9,160.55,161.05,161.7,162.35,162.75,162.7,162.8,162.6,162.7,163.1,163.15,163,163,163,161.2,153,144.95,136.9,128.85,119.95,111.3,102.5,94.9,86.4,Soundbox
2,174.5,192.15,210.2,227.75,246.15,264.9,284.65,307.4,330,352.8,375.5,390.75,397.5,402.35,405.85,409.2,412.9,413.35,414.55,416.5,420,422.5,424.15,426.2,427.35,427.8,426.45,424.25,422.55,419.45,416.55,411.85,405.15,399.4,394.45,389.95,385.55,383.3,383.3,382.75,381.1,379.9,380.75,380.35,380.45,381.45,382.75,383.6,384.3,386.85,388.2,390.95,395.9,400.9,405.9,411.2,417.3,421.6,426.3,430.4,435.55,440.7,444.25,449.5,455.5,462.15,467.7,474.4,481.95,488.9,496.5,503.95,512.25,522.5,530.6,540.55,550.15,560.75,570.8,582.05,593.1,604.7,616.1,627.05,637.85,649.05,662.75,673.35,684,696.1,706.5,719.35,730.35,738.8,748.25,754.55,761.2,765.6,770.7,771.55,771.2,771.3,772.35,773.1,771.85,768.2,761.05,752.55,741.2,727.9,715.55,699.85,686.7,672.7,659.1,645.45,630.85,616.55,597.1,579.65,566.1,550.05,532.85,516.65,501,485.95,473.6,463.55,452.45,441.15,431.25,421.35,408.45,398.4,388.8,379.8,372.25,364.1,357.6,351.3,341.3,335.7,330.15,322.75,317.35,312.45,307.8,302.3,297.35,294.05,289.1,284.35,281.05,274.95,270.05,265.9,261.8,259.55,257,254.8,253.35,249.8,247.85,246.6,243.6,240.25,236.9,233.5,231.95,227.95,228.05,227.65,226.25,224.35,223.2,222,221,218.4,215.15,212.3,209.6,206.75,204.45,202.95,202.55,202.25,201.35,199.85,196.7,195.25,191.25,188.8,187.6,188.6,187.7,186,183.1,179.75,179.35,179.2,178.95,179.35,178.4,178.1,176.55,175.75,175.5,176.25,179.8,181.2,182.2,182.55,181.85,180.15,178.15,177.5,177.3,178.75,180,181.4,183.45,184.55,184.4,183.1,182.3,180.65,178.65,177.3,173.4,171.85,170.85,170.1,169.55,169.7,169.8,169.15,168.7,166.9,165.85,164.2,162.3,161.05,161,161.15,161.25,162.1,163.1,163.1,164.15,165.05,164.8,165.3,166.05,166.1,166.55,166.3,165.55,165.8,165.1,165.8,165.25,165,163.5,162.75,161.6,160.85,161,160.2,160.1,159.5,160.7,160.7,161.15,161.1,160.65,160.3,160.3,159.75,159.5,159.1,159.6,159.3,160.15,159.55,159.95,159.4,157.9,157.6,157.3,158.35,158.4,150.2,141.75,133.7,125.75,118.35,110.4,102.95,95.8,87.9,Soundbox
3,175.8,194.8,214.4,235.1,256.3,278.5,301.25,325.45,350.4,372.85,396.2,410.4,413.05,415.15,415.9,417.4,419.05,418.25,416.8,418.05,420.15,420.45,418.7,415.7,412.25,408.15,403.4,399.3,395.35,393.8,390.2,387.4,387.2,385.95,385.9,386.15,386.55,387.35,391.1,393.95,395,396.55,399.25,403.15,408.15,411.9,417,420.7,424,427.7,432,437,441.3,446.95,453.25,459.6,467.1,474.3,481.25,487.65,495.15,502.8,511.45,521.1,528.95,538.55,549,558.1,568.7,579.75,590.45,602.65,614.25,625.1,635.55,646.5,656.2,666.05,675.75,686.7,696.25,706.85,716,722.35,727.6,731.15,730.8,730.95,727.1,721.4,718.6,711.45,705.05,698.2,689.55,678.35,668.45,655.15,639.15,620.4,602.35,583.1,566.45,550.3,537,523.85,511.5,499.4,485.65,473.3,457.4,443.8,430.7,417.6,406.85,397.6,387.9,380.8,371.9,363.9,357.75,351.15,342.25,334.55,325.5,318.95,313.4,305.95,302.55,297.9,295.65,292.8,287.55,284.3,279.6,274.9,271.45,268.8,267.6,264.95,260.5,257.85,255.7,252.35,250.75,247.8,245.35,245.6,243.85,241.9,237.95,234.85,233.5,230.5,229.6,228.75,227.4,224.6,222.55,220.8,220.35,219,218.15,216.95,214.35,211.7,209.6,206.65,205.2,203.8,205,204.1,203,201.95,200.45,199.5,198.25,197.65,196.8,195.85,193.85,192.35,191.7,192.05,192.2,191.85,189.3,186.5,183.15,181.55,178.05,177.4,176.6,176.85,175.4,172.85,171.25,168.55,166.55,166.75,166.85,167.1,165.85,165.6,165.65,165.9,166.6,168.2,169.7,170.05,171,171,171.85,171.35,170.7,171.7,170.85,171.3,172.45,171.7,172.45,172.9,173.35,172.3,170.9,169.6,168.85,168.8,168.3,168.45,167.7,167.55,166.35,165.55,165.5,164.6,165.05,164.75,164.65,165.15,164.5,164.15,164,164.15,164.5,164.8,164.85,164.05,163.7,163.5,164.1,164.4,165.55,165.95,166.4,167.85,168.35,168,167.2,166.65,166.35,165.85,165.45,164.35,163.55,162.45,162.35,161.65,162.95,163.05,164.1,164.75,164.4,164.3,163.95,161.9,160,159.25,159.45,159.7,159.25,159.1,159.1,159.4,159.45,159.9,159.9,160.35,160.35,160.9,160.95,152.05,143.75,136,128.15,120.7,113.2,105.7,97.65,90.05,Soundbox
4,180.1,199.1,219.05,239.9,261.2,282.95,305.75,329.75,353.8,377.05,400.4,414,417.3,415.6,416.1,417.1,418.85,418.5,418.1,419,421.2,420.6,418.45,415.85,412.55,408.75,403.75,399.2,395.8,393.55,389.8,387.7,385.5,384.05,383.4,382.85,383.1,383.6,387.4,390.55,392.1,394.4,397.35,400.75,405.3,409.7,415.15,419.45,423,427.15,432.65,438,443.7,451.2,457.65,465.05,472,478.5,485.2,491.7,499.35,507.8,516.05,524.35,532.5,541.4,549.15,558.15,568.75,579.8,588.5,600.4,611.7,621.15,630.85,641.15,651.8,663.15,672.5,682,691.35,701,709.9,718.1,723.5,728,730.9,731.65,727.45,720.85,718.15,711.2,704.55,697.3,689.55,679.75,668.55,653.55,638.8,620.9,603.3,587.45,571.2,554.05,540.4,525.75,512.9,500.3,487.8,475.15,460.3,446.6,434.4,422.6,412.15,401.75,393.6,386.65,376.6,369.1,361.95,352.65,344.4,338.1,329.8,324.4,318.85,314.35,310.2,306.4,302.9,298.2,292.2,287.7,282.15,277.5,273.5,272.15,270.65,267.45,264.5,261.75,258.95,255.05,253.45,250.2,247,244,241.5,239.25,237.3,237.9,237.55,235.85,235.75,235.55,233.15,229.3,227.65,227.25,225.6,223.15,222.95,221.75,219.2,217.4,215.65,213.1,212.75,211.75,209.55,205.95,203.65,201.25,199.05,197.25,196.5,196,194.25,192.35,191,190.75,188.25,187.75,185.55,183.9,182.5,179.5,176.2,173.9,173.25,173.25,174.05,174.85,173.65,171.75,170.05,167.9,167.2,166.85,167.45,167.3,167.25,167.15,168.5,168.45,168.9,170.9,172.95,173.2,174,173.8,172.65,172.1,171.05,170.6,170.1,169.9,170.55,172.35,172.5,172.55,173.2,172.45,171.75,170.9,169.7,168.1,165.3,165.4,164.1,164,163.75,162.8,163.25,163.15,162.9,162.5,162.1,160.65,159.75,159.5,159.35,159.6,160.05,160.15,161.45,161.85,162.7,163.9,164.45,164.7,164.9,165.15,165.45,165.4,165.1,165.1,164.45,163.7,163.75,162.9,162.35,161.55,160.5,160,159.15,158.75,158.85,157.7,159.5,160.95,161.45,161.75,161.75,161.85,161.2,161.05,161,161.65,162.45,162.95,162.65,163.05,162.9,163.5,162.6,162.25,162.55,162.5,161.6,152.2,143.85,135.8,127.55,119.65,112.25,104.4,96.7,88.85,Soundbox
5,175,194.1,214.15,234.9,256.45,278.2,300.9,325.35,350.2,372.75,396.45,410.9,414.75,415.85,417.2,419,421.25,419.95,419.7,420.7,421.7,420.85,417.8,414.85,411.15,407.55,404.05,399.3,394.1,392.2,388.1,385.25,383.45,382.95,382.45,382.45,383.35,384.4,387.65,390.3,392.1,394.25,397.85,401.9,407.3,411.45,416.2,421.1,426.55,431.45,436.9,442.2,447.4,452.95,459.45,466.15,472.5,478.75,485.8,492.3,499.85,508.65,517.35,525.05,532.55,541.5,548.8,556.9,566.7,577.1,586,597.65,609.45,620.7,630.65,643,654.25,664.8,674,684.25,694.2,703.9,711.95,720,725.45,728.25,729.9,729.15,724.85,718.85,716.4,708.95,701.85,694.7,686.9,674.55,662.75,648.85,634.55,616.45,597.7,578.7,562.25,546.9,532.95,520.35,508.5,496.2,483.1,470.65,456.05,442.85,430.4,418,407.6,398.4,389.9,383.95,375.5,367.85,363.6,357.25,349.5,341.8,333.55,327.15,321.5,317.75,314.2,309.95,305.85,301.85,298,295.1,291.1,286.45,282.5,278.85,274.45,272,267.5,264.5,262.65,258,255.65,252.95,250.15,247.45,244.45,241.8,238.9,237.4,234.55,230.9,228.55,227.4,225.6,222.9,221.35,218.85,215.5,213.85,212.6,212.25,210.6,209,207.5,205.15,205.35,204.15,202.35,200.45,201.5,201.1,198.2,196.35,195,194.35,194.05,193.25,193.15,192.15,189.6,189.1,188.75,187.65,186.35,183.2,180.1,178.95,178.35,178.45,176.7,176.85,177.95,177.05,175.5,173.2,172,171.95,171.65,171.5,171.8,171.35,171,170.65,171.35,174.4,176.25,176.75,177.65,177.35,176.3,174.3,173.25,172.55,172,171.8,172.6,173,173.7,174.65,175.85,175.7,174.55,173.5,171.15,167.85,165.7,164.45,163.9,164.7,164.05,164.4,163.95,163.35,162.25,161.7,160.45,160.65,160.15,159.75,158.9,158.5,158.45,158.45,158.45,159.2,159.95,161.65,162.8,163.2,163.7,164.2,164.35,164.2,164.35,164.3,163.75,163.1,162.15,161.7,161.3,161.2,160.3,160.1,160,159.7,159.9,158.85,157.8,156.7,156.85,156.45,156.45,156.8,156.4,156.45,157.2,157.2,157.6,157.3,157.6,157.75,158.3,158.45,158.25,158.35,158.35,158.55,159.1,151.35,143.3,135.25,127.3,119.35,112,104.15,96.4,88.5,Soundbox
6,175.15,194.5,214.1,234.95,256.2,278.3,300.85,324.85,349.1,371.5,394.4,408.5,412.3,414.3,416.35,417.8,419.55,418.95,419.45,420.75,422.3,421.4,419.2,415.45,412.1,408.15,403.6,399.45,396.25,394.55,391.5,388.65,386.75,385.15,384.7,385.2,385.9,386.35,388.6,390.25,392.3,394.55,397.95,402.85,407.5,411.7,416.85,421,424.1,428.55,433.05,438.25,444,449.9,456.15,462.65,468.75,475.25,482.45,489.75,496.9,505.05,514.15,522.3,530.7,540.95,551.6,560.9,570.4,581.25,590.8,603.9,615.5,626.55,636.65,646.9,657.65,668.1,677.6,688.1,697.95,707.95,716.05,723.3,728.45,730.7,729.85,729.4,726.65,719.9,717.6,709.15,701.75,694.55,685.4,674.95,663.85,652.35,637.8,619.85,602.8,584.5,568.25,551.9,537.45,523.85,512.6,500.8,487.6,475.45,460.4,447.1,434.15,422,412.05,402.4,394.25,385.85,376.1,368.4,362.2,355.5,346.85,339.75,332,325.35,320.6,316.75,313.8,310.7,308.2,303.95,299.5,295.05,289.8,285,280.8,277.35,275.35,272.05,267.3,263.85,261.95,258,255.6,253.4,249.45,246.1,243.55,240.2,235.5,233.95,232.35,228.95,228.05,227.25,225.1,222.65,221.2,220.25,218.45,218,217.4,217.85,216.9,214.4,212.2,209.45,208,206.9,205.7,204.05,202.35,201.35,200.2,199.6,199,198.4,196.35,194.45,193.3,191.1,189.35,188.2,187.2,186.4,183.45,180.3,176.9,175.5,174.85,175.05,176.05,178.9,179.05,178.85,177.35,174.3,173.65,173.4,173.25,173.6,172.55,172.9,173.15,174.65,177.35,179.7,182.25,182.85,183.8,184.25,182.85,179.75,177.45,175.15,173.75,173.45,173.55,174.95,176.2,176.25,176.8,175.5,174.5,173,170.65,168.45,166.1,164.9,164.05,162.65,162.55,162.55,162.35,162.15,162.05,162.65,162.15,161.6,160.35,160.4,160.85,161.9,162.2,161.7,162.7,163.75,165.6,167.55,168,168.8,169.5,169.75,170.3,170.35,169.85,168.7,169.35,168.95,169.55,168.8,167.85,165.85,164.65,163.2,162,160.85,158.7,157.05,158.45,158.8,158.5,158.8,158.45,157.9,158,158.55,157.7,157.65,157.1,157.6,157.05,157.45,157.2,158.15,158.3,158.5,159.4,160.5,159.7,151.25,143.2,135,127.3,119.7,112.1,104.35,96.85,88.85,Soundbox
7,176.75,196.55,217,238,259.2,281.5,304.6,328.8,353.1,375.65,399.55,413.7,417.45,418.75,419.65,420.85,422.1,421.35,421.25,421.75,422.75,421.45,418.7,416.05,414.9,410.1,405.15,400.4,396.95,395.6,391.4,389.05,387.45,386.8,385.75,385.85,386.2,387.3,391.25,393.75,395.55,397.9,401.2,404.4,407.3,413.3,418.55,423,426.4,430.55,435.25,440.25,445.55,451.6,458.85,466.25,472.3,478.5,482.9,490.15,498.1,506.35,514.95,523.2,530.8,538.45,546.3,555.25,565.95,576.85,587,599.55,611.45,621.65,631.35,641.25,652.15,662.4,673.65,682.9,692.05,701.75,710.2,718.15,723.2,726.6,728.5,729.55,725.1,717.7,715.25,706.1,698.3,691.3,683,670.35,660.1,646.45,632.1,614.4,596.85,578.3,561,544.3,530.65,517.3,505.7,492.75,480.55,468.7,452.45,440.1,428.6,416.2,406,399.5,390.55,384.45,375.75,369.6,365.15,358.9,353.4,346.85,339.5,333.85,328.75,323.75,319.05,314.55,310.35,305.9,299.5,295.85,292.1,288,284.85,281.2,277.35,273.05,267.1,264.4,259.5,255.6,253.45,249.8,245.6,242.35,239.25,236.5,234.8,232.7,234.2,231.7,229.7,227.7,225.15,223.45,222.55,221.15,218.5,216.1,216.65,216.35,214.75,214.3,213.1,211.8,212.2,211.95,210.15,209.45,205.65,203.6,201.55,200.45,199.75,198.3,196.4,195.1,194.9,193.95,192.2,192.4,190.1,187.7,184.65,180.85,178.1,175.3,175.05,175,174.95,175.4,174.6,172.4,169.6,166.5,165.7,165.6,165.35,165.25,163.85,162.45,163.65,164,165.35,168.05,170.35,173.1,173.8,173.4,173.5,173,171.95,171.05,172,173.2,174.8,176.7,178.8,179.35,180.15,180.25,179.6,179.35,178.7,176.5,174.35,172.8,171.6,171.35,170.5,170.7,170.8,171.8,170.85,169.5,168.3,167.35,167.2,167.45,167.8,168.35,168.3,168.05,167.75,167.4,168.95,170.3,171.2,171.6,172.4,172.2,172.4,171.95,172.1,171.8,171.25,169.85,167.9,166.5,165.5,163.1,162.1,160.9,160.75,161.1,159.3,157.7,158.35,158.45,158.2,157.95,157.55,157.25,156.15,156.45,156.3,157.8,158.6,158.85,158.7,159.1,159.1,160.25,160.85,160.7,160.7,161.05,160.35,152.3,144.35,136.7,128.95,121.1,113.6,105.8,98.25,89.55,Soundbox
8,174.9,193.75,214.55,235.8,257.25,279.1,301.55,325.7,350,373.1,396.8,411.05,415,416.3,419.05,420.7,422.75,422.3,422.2,423.35,425.35,425.05,421.45,417.85,414.4,410.6,407.45,403,399.55,397.6,393.7,390.8,388.8,387.75,385.85,385.35,386.05,386.75,389.15,391.75,393.5,395.8,399.3,403.75,408.35,413,416.45,420.85,424.4,428.4,433.55,438.8,444,449.35,455.65,463.15,469.7,476.15,484.05,491.2,498.7,506.2,513.6,521.45,529.65,538.3,547,555.85,566.4,577.3,586.55,599.2,611.9,623.4,634.35,644.6,655.1,667.15,676.85,686.7,696.4,707.25,717.65,723.7,728.65,731.85,732.9,731.6,726.8,719.85,717.1,709.3,701.05,693.15,684,673.8,662.8,647.85,632.9,614.15,596.1,577.45,559.95,545.05,531.35,517.9,506.45,495.85,483.85,474.7,459.7,446.1,433.35,421.55,411.05,400.55,391.85,385.35,376.9,370.1,364.75,358.1,350.4,342.7,334.3,327.5,321.7,316.95,312.5,305.05,300.5,296.1,291.2,286.9,282.05,278.15,274.5,270.95,266.15,263.05,257.75,253.65,252.8,249.7,247.6,245.1,241.9,237.75,234.4,231.85,229.65,229.15,228.8,226.85,226.15,225.25,222.95,220.6,219.55,217.2,214.95,213.1,211.25,211.5,210.8,209.6,208.25,207.15,207.7,207.5,205.75,203.4,201.05,198.75,195.25,191.55,190.5,189,189.15,188.55,191.25,193.25,192.55,192.15,190.8,189.4,188.2,185,182.25,180.2,180.1,180.15,180.8,181.65,182.45,183.1,181.55,179,177.05,177.3,174.45,172.55,170.5,169.25,168.95,169.55,169.1,170.5,171.6,171.85,172.15,171.9,171.3,170.05,169.1,168.6,168.25,169,169.75,170.6,171.85,172.55,173,172.85,171.9,170.45,169.25,167.45,166.1,166.9,166.75,166.4,165.65,165.8,165.6,165.85,166.5,167.15,167.65,166.3,164.7,164.15,164.25,164.55,165.55,166.4,167.9,169.85,171.3,171.7,171.75,172,172.7,173.1,173.1,172.25,170.7,169.65,167.85,167.85,167.4,167.15,166.05,164.9,163.1,161.55,160.65,159.3,157.85,157.95,158.25,158.55,158.7,158.55,159.85,160.6,160.65,159.8,160.35,160.15,161.2,160.95,161.45,160.9,160.75,161.3,160.9,161,161.2,159.95,160.4,152.25,144.05,136,126.9,118.5,110.45,102.95,95.1,87.6,Soundbox
9,174.55,193.65,213.9,233.7,255.65,278.65,301.25,325.45,350.4,373,396.55,411.25,414.55,416.4,417.05,418.75,420.85,419.9,419.5,420.1,421.45,421.15,418.3,416.35,412.65,407.65,402.95,398.55,394.65,393.25,389.3,386.25,384.6,383.7,383.8,385.8,386.2,387.05,390.1,393.55,395.15,396.95,400.6,404.9,409.35,413.95,419.25,423.5,427.05,431.45,436.65,441.8,447.65,453.35,460,465.05,471.7,478.25,485.7,491.9,500.15,509.2,517.95,525.55,533.25,542.3,550,558.2,566.95,577.05,587.1,599.2,611.25,621.9,632.35,642.65,653.25,663.45,672.7,683.2,692.6,701.45,709.8,718.15,723.7,726.5,728.5,728.75,725.9,719.5,715.55,707.3,699.55,691.8,683.1,672.95,661.85,648.75,634.1,618.3,600.95,582.3,565.2,546.5,532.55,519.5,508,496.55,484.15,473.5,458.75,446.55,436.3,425.1,414.15,404.1,395.8,389.1,380.65,370.55,364.75,358.3,351.45,346.75,338.95,333.15,328.45,323.55,319.45,313.7,310.55,306.95,301.95,298.85,293.25,288.4,283.65,279.95,275.75,271.9,266.35,263.6,259.6,255.8,253.7,251.1,247.45,244.5,241.9,240.05,236.8,234.35,230.75,226.1,225.8,225.65,223.9,221.45,220.45,219.25,216.95,214.55,215,213.95,211.2,206.85,203.9,201.95,201.6,200.8,200,198,196.8,195.7,194.65,193.7,193.1,192.65,191.9,191.3,191.35,190.95,189.65,189.25,189.5,190.55,188.6,185.1,181.6,179.3,178.25,178.95,178.4,179.5,178.45,177.35,175.75,173.1,171.65,171.65,172.1,172.1,170.7,170.75,170.4,169.8,170.25,172,173.5,174.6,175.25,175.1,174.45,173.4,172.3,170.6,169.65,169.4,170.35,170.7,170.7,171.3,171.95,171.35,171,170.45,169.95,169.1,167.45,166.1,167.25,167,166.8,166.4,166.15,166,165.6,165.6,165.1,165.85,166,166.1,166.3,165.8,165.2,165.7,166.95,167.65,169.9,171.45,170.85,171.65,172.15,172.55,172.85,173.55,174.5,174.9,174.3,173.95,173.5,173.15,172.1,171.5,170.7,168.65,167.15,165.6,163.95,162.75,162.95,162.25,162.4,162.35,162.05,160.65,159.6,158.35,158.35,157,156.9,156.2,156.4,155.8,156.05,157.2,157.35,157.6,157.7,157.55,157.35,149.15,141.15,133.2,125.45,118.15,110.3,102.95,95.05,87.6,Soundbox
