,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,Objects
0,182.7,201.35,220.9,240.8,261.25,281.7,303.85,328.55,353,376.05,401.1,417.1,423.25,426.05,429.15,432.1,434.45,434,434.3,434.8,437.55,438.75,437.5,436.1,434.3,432.55,428.85,423.9,420.8,419,413.8,408.35,403.9,400.45,396.7,393.25,391.05,389.85,391.3,392.75,392.45,392.8,394.95,397.25,400.9,405.25,408.75,410.6,413.05,415.6,418.9,422.75,427.3,432.85,438.25,444.5,451.25,457.1,462.3,467.85,473.9,480.65,486.9,493.3,499.35,505.85,512.3,522.8,531.5,539.75,549,559.45,568.9,578.2,589.2,600.65,611.2,622.7,635.45,649.7,664.4,678.9,692.95,706.45,718.65,729.05,740.55,748.1,755.4,762.9,769.95,776.8,783.25,788.1,788.95,787.2,785.4,779.95,773.65,762.45,749.15,736.3,724.6,713,701.45,689.95,676.9,663.9,650.15,634.05,615.9,599.6,582.35,564.5,549.7,536.9,521,509.2,493.45,481.2,471.75,460.15,447.15,435.2,423.75,413.25,404.45,395.85,385.5,376.85,370.45,360.45,352.35,346.15,339.15,331.6,329,325.45,321.6,315.95,309.1,306.2,303.4,298.35,294.7,290.95,287.45,284.3,281.8,279.3,276.05,273.65,271.2,267.75,266.15,265.6,263.5,260.85,259.4,257.8,255.75,252.55,251.8,251.85,249.45,246.35,243,239.55,237,234.75,232.65,230.8,228,228.35,226.6,224.2,221.35,218.25,216.7,216.9,216.95,215.45,213.55,212,211.45,211.2,210.8,210.35,209.35,208.5,207.1,206.25,206.9,205.15,204.75,204.25,204.2,203.8,202.9,201.85,200.75,200.7,199.4,199.55,199.45,199.35,199.8,199.6,200.95,201.35,202.75,203.85,203.6,202.65,199.7,197.7,195.55,194.4,194,194.05,194.95,195.4,196.25,196.05,195.8,196.1,194.7,192.7,189.8,188.2,186.85,185.55,184.75,184.1,184.5,184.85,184.35,182.8,182.3,180.95,179.5,178.3,177.15,175.9,174.75,173.25,172.8,174.05,176.2,179.1,180.3,181.4,181.6,181.65,181.5,180.8,180.8,181,180.15,179.55,179.2,178.65,177.7,176.9,175.65,174.15,172.75,172.65,171.9,171.35,173.15,173.2,173.7,174.1,175,174.95,174.3,174.2,174.2,174.05,173.4,173.3,173.55,173.15,172.8,172.95,173.2,171.2,170.35,168.55,165.95,156.55,147.65,139.15,130.15,121.6,113.9,105.95,97.9,90.15,Stainless_steel_cup_empty_water
1,179.45,198.4,217.35,237.4,257.75,280.95,303.4,327.75,352.5,375.2,400.6,417.05,423.45,428.05,430.4,432.55,434.95,436.15,436.85,438.5,439.7,441.1,441.55,440.6,439.55,435.2,431.65,427.3,423.85,422,416.45,411.05,405.9,401,397.75,396.5,395.3,394.8,395.9,396.6,396.7,396.85,397.8,399.65,401.35,403.65,406.45,408.95,411.45,414.15,417.8,422.1,426.95,432.2,437.8,442.45,447.65,452.85,458.35,464.2,470.35,476.85,483.15,489.85,496.8,504.95,514.4,521.95,530.7,538.15,546.65,556.2,565.65,575.6,586.55,598,610,621.75,635.15,649.3,663.9,677.95,691.8,704.1,716.1,726.9,736.2,746.4,753.95,763.45,771.15,777.9,785.1,790.45,792.2,791.5,788.95,782.45,773.15,761.75,749.3,739,727.8,717.05,706.15,694.85,681.95,668.1,651.45,634.05,615.95,596.5,578.1,560.1,544.65,530.65,517.35,506.95,494.4,481.5,472,458.15,445.45,433.3,421.05,410.6,402.15,395.5,389.15,381.75,374.1,368.85,361.05,355.3,348,340.95,335.6,331,327.15,322.5,314.55,309.85,305.4,300.45,297.35,293.8,286.95,280.6,275.8,271.65,268.95,264.9,262.4,258.05,256.9,256.65,254.45,252.35,250.45,249.1,248.2,246.65,245.8,244.55,241.9,239.25,238.25,236.5,235.85,234.65,233.8,232.2,230.65,229.7,227.25,224.55,221.95,218.9,217.05,215.35,213.25,211.3,210.25,210.15,210.3,209.15,208.7,207.95,205.85,204.75,202.3,201.1,201,201.45,201.8,200.1,200.1,199.35,198.5,199.85,201.2,202.2,201.35,201.3,201.1,201.05,201.3,201.4,202.7,203.85,206.4,207.9,207.8,206.05,202.9,202,200,198.95,199.25,199.35,200.55,201.8,203.25,202.35,201.25,200.8,200.55,199.75,198,196.35,194.1,192.3,190.75,190.45,190.65,190.3,189.8,189.4,188.65,187.55,185.95,184.9,184.4,185.4,185.9,186.3,185.45,185.2,186.75,187.4,187.8,187.85,188.7,188.95,189.25,189.35,189,187.75,186.55,184.8,182.95,181.65,180.15,177.25,175,172.05,170.25,168.5,166.05,164.95,166.35,168.3,168.75,168.4,168.1,167.2,166.9,167.1,166.75,166.65,166.45,166.15,165.1,165.1,165,165.1,164.85,164.55,165.05,164.8,163.1,153.15,144.3,136.3,128.35,120.65,112.55,104.4,96.65,88.7,Stainless_steel_cup_empty_water
2,183.3,201.95,221.1,240.85,261.15,282.55,304.4,328.85,354.1,377.75,403.6,419.95,425.65,429.6,432.8,434.65,436,435.9,436.4,436.55,438.4,440.1,440.25,439.5,438.85,437.7,434.7,429.25,424.65,421.85,415.75,409.4,404.85,400.25,396.9,394.35,393.4,392.7,393.9,394.75,394.55,394.5,395.85,398.1,399.9,400.7,403.7,408.05,410.85,413.9,417.6,422.3,427.2,432.6,437.9,444.05,449,453.9,459.7,464.3,470.3,476.2,481.9,488.3,494.9,503.2,509.95,518.05,527.15,536.65,545.55,555.6,565.15,575.2,586.1,597.3,610,622.65,635.15,650.35,663.3,677.85,691.9,704.7,716.55,727.35,738.7,747.45,754.8,760.75,766.95,773.1,779.4,784.6,786.45,785.25,782.6,776.4,770.25,759.1,748.85,736.35,724.85,713.1,702.45,691.3,678.55,664.9,648.6,632.7,615.7,596.7,579.5,561.45,546.55,532.7,519.3,508.8,493.75,480.2,468.3,457.75,445.9,433.05,420.9,410.35,400.8,392.75,386.25,378,370.7,364.5,356.6,351.05,343.6,336.8,332.05,327.7,323.65,319.45,313.85,308.8,303.8,299.8,296.6,292.7,289.55,285.3,281.75,279.15,276.55,273.55,270.65,268.75,267.3,266.3,263.5,260.65,258.55,256.95,256.35,254.35,254.35,253.65,250.8,247.4,243.95,240.9,238.5,235.7,233.05,230.9,228.5,223.3,220.5,218.85,216.15,213,211.65,211.95,210.6,209.45,208.05,207.7,207.85,206.4,206.05,204.85,203.4,201.75,201.3,200.75,202.05,204.15,204.4,203.6,203.6,201.75,199.05,196.05,194.6,193.15,190.25,189.65,189.4,190.9,191.1,192.05,193.4,195.3,196.55,196.3,194.45,192.2,188.95,186.95,184.15,184.85,186.8,189.8,192.6,195.35,197.85,197.75,196.65,195.4,193.9,191.6,188.9,187.25,185.55,185.55,185.4,185.55,185.75,185.55,186.65,186.25,185.45,183.6,181.5,179.6,178.7,178.1,178.15,178.55,179.75,181.3,182,183.9,186.2,188.5,190.15,190.85,191.1,190.45,189.45,188.65,187.35,185.75,184.65,183.9,182.55,181.2,179.55,177,175.3,174,173.5,171.45,171.1,170.15,169.75,168.9,168.85,168.7,168.1,167.55,167.3,167.2,167.75,168.7,169.35,169.5,169.55,170,169.05,168.55,168.15,168.3,167.05,157.45,148.3,140.2,132.15,124.15,116.45,108.3,100.4,92.8,Stainless_steel_cup_empty_water
3,181.75,200,219.25,238.9,259.35,280.45,302.55,327.35,351.8,374.85,399.95,416.5,422.7,426,429.45,432.45,434.7,433.9,435.05,437.05,439.8,441.25,441.5,441.1,440,437.6,433.9,429.05,425.8,423.55,418.3,412.45,407.3,402.5,398,393.75,391.25,390.7,392,392.4,391.85,392.35,393.15,394.8,397,399.55,403.55,405.7,407.9,410.8,414.25,418.95,424.15,430.05,435.65,441.5,447.4,453.45,459.1,464.1,470.8,477.2,483.25,490.1,496.8,505.2,511.15,520.25,529.6,539.3,548.65,558.65,568.65,578.65,589.5,601.5,614.35,626.75,637.75,651.25,665.5,680.65,694.9,707.5,719.45,730.3,741.8,750.5,757.65,763.95,770.85,776.7,782.75,787.95,791.05,789.1,785.75,778.95,774.15,764.2,751.95,738.7,727.65,716.85,705.35,693.15,680.15,666.85,650.15,633.6,616.6,599.35,581.55,565,549.45,537.3,526,517,503.4,489.8,479.35,467.6,454.15,441.45,429.5,419.25,410.6,402.1,394.8,385.95,377.55,369.35,361.35,353.9,346.35,338.45,332.2,326.3,321.45,318.7,312.55,308,302.9,299.9,297.55,293.95,289.75,285.7,283.1,281.2,278.45,276.05,273.45,269.05,266.85,266,263.2,260.05,257,253.8,252.2,250.3,250.55,247.6,244.2,240.95,238.45,235.35,233.4,230.7,228.35,226.1,223.9,221.6,220.05,216.4,213.35,210.25,208.15,206.85,205.2,203.95,202.5,201.85,201.5,201.25,200.7,199.25,197,195.45,195,194.45,195.1,196.55,196.25,196.95,196.8,195.95,195.5,195,194.6,193.8,192.15,191.95,192.15,192.05,192.45,193.95,195.65,197.25,198.9,201.4,203.05,203.05,200.9,199.2,198.5,199.2,200.5,202.2,203.6,205.65,207.9,208.9,208.8,208.2,207.7,207.3,207.05,207.35,206.5,204,201.2,199.1,198.35,198.5,197.8,196.5,194.4,191.6,190.35,188.85,188,186.35,184.95,184.4,183.45,182.65,182.6,183.4,184.25,185.2,186.2,187.65,188.85,188.15,187.2,185.85,185.75,186.05,185,183.8,182.45,181.1,179.85,178.05,176.3,174.4,172.05,169.8,167.9,166.6,165.5,166.75,168.5,169.45,169.55,169.55,169.4,169.3,169.15,169.75,169.5,169.3,169,169.25,169.2,169.4,169.25,168.95,169.85,161.7,153.6,143.1,132.25,122.55,114.05,106,97.7,89.6,Stainless_steel_cup_empty_water
4,180.45,199,219.05,238.6,258.85,282.2,304.9,329.5,355.35,379.55,405.45,422.5,428.4,431.95,434.7,437.5,439.5,439.05,439.75,441.7,444.35,445.45,444.2,443.5,442,437.8,433.8,429.45,424.65,421.55,415.4,409.45,404.7,399.95,395.7,392.75,392.3,390.9,392.3,391.05,390.1,390.45,392,393.95,396.75,399.2,402.5,405.5,408,410.65,414.2,418.55,424.05,429.6,435.25,441.45,445.75,452.25,458.1,465.35,471.6,478,484.25,491.1,497.65,505.4,511.8,520,526.35,535,543.7,553.45,564.8,574.75,586.3,597.95,610.75,622.35,635,648.95,664,678.85,692.9,705.75,717.55,728.3,740,748.4,758.1,765.45,773.2,779.85,784,789.4,790.75,788.05,784.45,778.45,771.95,760.95,748.2,735.6,724.65,711.65,700.75,689.25,676.35,663.05,647,630.25,611.3,592.15,574.4,556.35,541.7,530,517.85,507.75,492.95,479.55,469.65,457.8,444.95,435.45,423.9,413.55,404.6,396,387.95,379.5,373.4,366.6,359.1,355.2,349.9,342.3,335.8,329.55,324.45,320,315.15,311.9,308.8,303.25,299.15,293.4,288.9,285.65,282.85,279.95,276.1,273.45,270.55,264.95,260.95,260.5,259.2,257.6,256.75,255.1,251.85,248.85,246.2,244.5,242.1,240.3,237.05,233.6,232.3,231.15,231,229.35,227.45,225.2,223.7,220.85,218,215.1,212.2,210.7,208.55,206.1,204.35,204.6,204.4,204.45,204.65,203.05,200.9,199.15,196.45,195,195.6,197,196.95,196.45,196.15,195.8,197.05,198.3,199.5,200.9,201,200.75,200.85,201.15,201.6,202.55,204.25,206.15,209,211.5,212.5,212.45,211.7,211.95,211.65,211.55,211.6,211.9,212,212.1,212.7,211.7,210.45,208.8,206.9,205.1,203.65,201.05,198.2,196.15,193.3,190.95,188.35,186.35,184.25,182.2,179.45,177.2,176.05,175.35,174.3,173.85,173.2,173.45,174.55,176.2,177.5,179.85,182.5,184.6,187.1,188.95,190.65,190.55,190.35,189.55,189.4,189.3,189.6,189.4,188.9,187.6,186.55,184.65,182.45,180.45,177.85,175.55,174.55,172.55,170.4,168.8,167.55,166.85,166.25,166.65,166.45,165.85,164.7,164.2,163.95,164,163.95,164.05,163.95,163.4,163.4,163.65,162.65,154.1,145.95,137.7,129.35,121.2,113.35,105.05,97.2,89.35,Stainless_steel_cup_empty_water
5,182.25,200.85,220.4,240.05,260.45,281.95,304,328.8,353.3,376.45,401.8,418.3,424.8,428.65,431.85,433.75,434.1,433.55,434.7,436.45,438.9,440.65,441.05,440.95,440.1,437.8,436.75,430.9,427.1,424.8,418.1,412.45,407.35,402.9,399.3,397,395.6,394.15,395.3,396,395.6,395.75,395.65,396.85,398.55,399.85,400.8,405.25,408.1,410.85,415.6,419.9,424.4,429.65,434.7,440.25,446.3,452.6,456.9,461.5,466.9,472.6,479.3,486.1,493,501.45,508.25,516.85,526.15,536,545,555,565,575,586.3,597.25,609.7,621.85,636.6,651.15,666.7,681.2,695.15,707.6,719.75,731.1,742.3,750.7,758.1,764.75,772.45,779.4,786.25,792.35,795.55,795.45,792.95,787.5,780.9,769.75,757.25,745.15,734.3,723.7,712.45,700.9,688,674.35,657.75,640.85,622.15,602.8,584.85,566.55,549.8,536.05,523.05,511.4,495.6,482.7,471.75,459.6,447.25,437.1,425.25,414.95,406.35,398.15,389.95,381.35,374.45,367.85,359.45,352.6,344.85,337.25,331.65,326.6,322.45,318.4,312,307.95,303.45,296.7,293.3,290.15,286.4,282.9,280.6,278.2,275,272.2,269.8,266.15,264.55,261.05,256.9,253.9,253.95,253.5,252.35,250.5,249.7,248.5,245.7,241.35,238.7,235,233.3,231.05,229.05,229.1,228.4,228.2,227,227.5,226.3,223.35,219.6,217.6,217.1,216.5,214.75,214.2,214.45,214.35,213.1,213,210.9,211.75,213.2,212.6,213.25,213.45,213.2,212.8,212.65,212.1,211.35,209.7,207.75,205.95,203.7,202.9,202.8,202.85,202.65,202.25,203.9,203.6,204,203.85,203.6,202.7,201,199.45,198.05,198.05,197.95,199.7,202.05,203.9,205.95,206.95,207.1,206.8,207.15,205.85,203.95,201.45,198.05,195.65,192.95,190.9,189.5,188.75,188.25,187.25,186.75,184.55,182.8,182.1,181.4,180.05,177.85,176.85,175.75,176.45,178,180.85,184.1,187.8,190.85,192.95,194.65,194.9,195,194.7,193.9,193.85,192.35,191.35,190,188.35,187.1,185.3,183.55,181.35,178.75,175.95,173.2,169.55,166.95,165.4,163.7,162.4,161.8,161.05,161.15,160.9,161.15,160.45,160.6,161.15,161.45,162.55,164.4,165.05,165.2,165.5,166.5,158.4,150.1,141.7,133.7,126,117.45,109.65,101.55,93.55,Stainless_steel_cup_empty_water
6,182.8,201.1,220.55,240.35,260.45,281.85,304,328.1,352.15,375.9,401.1,416.55,423,426.75,429.5,431.35,433.35,431.7,432.5,434.15,437,438.95,439.05,438.3,437.5,435.1,431.8,427.8,425,422.1,416.85,410.7,406,401.4,398.1,395.8,393.35,393.75,395.15,395.55,394.8,395.1,396.4,397.85,399.85,401.75,404.3,407.3,408,410,413.4,418.25,423.1,429,434.35,439.7,445.35,450.25,455.85,461.45,468.05,474.1,480.05,486.95,494.45,503.05,510.5,519.5,530.15,540.35,549.7,558.75,568.25,578.2,588.8,600.5,613,625.95,638.7,653.2,666.4,682,696.05,709.25,720.6,730.65,741.75,749.65,757.3,764.7,771.75,779.4,786.35,791.85,794.75,793.85,791,785.2,779.55,768.05,757.1,743.15,731.35,719.6,708.5,697.9,685.2,671.9,655.1,637.7,619.5,599.8,580.2,562.95,546.6,529.8,516.5,504.9,489,476.05,465.65,454.45,442.2,430.35,418.45,407.35,398.4,390.15,383.75,376.05,369.2,362.4,356.15,348.7,342.8,339.75,335.3,331.2,326.8,322.15,314.85,310.4,305.95,301.4,298.05,292.55,287.95,283.3,279.45,276.45,273.1,270.65,268.1,264.25,261,259.2,256.7,253.75,252.45,250.9,250.2,248.1,247.15,245.85,243.05,241.55,239.25,236.85,235.1,233.15,232.35,231.55,230.95,230.9,230.45,228.75,225.6,221.05,217.75,216.3,216.5,215.5,215.05,215.4,214.95,214.65,214.45,213.35,211.6,210.75,208.8,206.45,205.05,204.5,203.8,203,203,204,204.25,203.45,200.4,199.1,196.25,193.95,193.75,193.8,193.55,194.55,195.65,195.85,196.75,197.65,199.2,199.4,199.45,199.25,198.8,199.05,200.25,202.8,205.75,208.35,210.6,211.15,210.55,210.3,210.45,209.5,209.2,209.3,208.85,207.7,204.95,202.6,199.8,196.85,194.75,192.6,191.05,189.15,187.2,185.35,184.5,184.1,183.65,182.65,181.1,180.65,180.9,182.05,182.8,184.6,185.5,186.3,186.6,186.85,186.2,185.8,184.75,183.6,182.3,181.25,179.5,178.4,178.7,177.55,176.45,174.7,172,169.25,169.2,168.95,170.4,172.55,173.7,174.5,174.55,174.2,173.95,173.6,173.5,173.2,173.4,172.85,170.95,171.15,170.7,170.75,170.85,171.05,170.45,160.9,150.5,139.55,129.9,120.85,112.75,104.8,96.85,89.05,Stainless_steel_cup_empty_water
7,181.2,199.3,218.6,238.35,258.6,280.05,302.9,326.3,350.8,374.5,397.25,412.65,418.8,423.1,427.2,429.05,430.55,429.6,430,431.7,434.7,436.5,436.45,435.8,434.95,432.8,429,425.45,422.05,419.55,416.8,412.75,408.2,403.7,400.3,397.9,396,395.6,395.4,394.15,392.95,392.9,394.3,395.75,397.55,399.3,402.35,405.6,407.75,410.35,413.55,417.95,423,428.2,432.65,437.25,443.05,448.9,455.95,463.3,470.25,476.55,482.4,489.05,495.95,504.4,510.75,519,528.15,537.7,547.4,558.65,568.4,578.65,590.05,601.95,614.4,626.05,638.75,652.85,667.2,682.3,696.25,710,722.4,733.2,745.05,753.7,761.3,768.5,775.4,780.7,786.85,792.3,794.85,794.5,791.8,786.05,779.45,768.45,756.35,743.9,730.45,718.65,707.45,694.15,680.75,666.9,650.5,633,615.2,595.25,577.5,559.3,544.2,530.45,516.95,506.1,491.7,477.95,467.35,455.55,445.15,433.4,421.35,412.6,404.3,396.85,390.3,383,376.35,370.35,362.3,356.35,347.75,342.85,338.8,334.65,332,331.35,325.95,322.15,318.2,313.05,309.65,305.6,301.4,295.8,290.25,285.95,281.85,278.45,276.45,272.6,270.85,267.2,263.75,260.55,256.5,251.25,248.8,245.9,244.65,243.2,240.45,237.25,235.6,233,232.35,232,230.55,229.15,226.65,224.5,223.4,221.15,218.65,217.05,216.35,216.4,215,213.95,212.05,211.85,211.7,211.9,210,209.1,207.4,204.35,202.95,201.95,201.95,202.7,202,201.75,201.05,198.6,196.8,195.75,195.6,195.8,197.25,197.55,197.65,197.5,197.4,198.9,200.75,202.75,204.2,205,204.6,203,200.15,198.2,197.2,197.35,198.3,199.55,200.65,201.55,200.4,199,197.65,196.2,195.25,193.65,191.25,189.65,188,186.9,186.4,186.45,186.7,186.05,184.65,183.1,180.9,177.9,176.65,175.65,175.35,175.25,175,175.05,174.45,174.75,175.8,177.05,178.1,180,181.55,182.8,184.15,185.25,186,186.55,186.4,186.2,185,183.85,182.6,181.15,180.3,178.75,178.2,176.6,175.05,173.65,173.85,172.1,170.45,168.65,167.15,165.8,164.4,162.95,162.95,163.1,163,162.75,162.2,162.4,161.95,161.85,161.2,161.15,162.5,163.6,163.65,155.4,147.45,139.65,131.8,123.75,116.05,108.45,100.45,92.4,Stainless_steel_cup_empty_water
8,182.45,201.55,221.55,241.65,261.6,282.15,303.8,328.75,353.75,377.35,403.25,419.35,425.4,429.8,433.8,437.1,436.95,437.65,438.1,439.1,441.4,442.1,440.85,439.65,438.8,437.25,434.75,429.25,422.85,417.15,410.9,405.5,401.1,396.8,392.15,388.6,386.55,385.95,387.6,388.15,387.3,387.65,388.65,390.95,393.2,395.1,397.95,401.7,406.75,412.8,416.55,420.8,425.7,431.25,437.05,442.85,448.6,454.5,460.05,465.95,472,480.45,489.75,495.95,502.85,511.4,518.2,526.1,535.15,544.4,553.35,563.4,572.7,583,594.1,606.05,618.65,630.65,643.75,657.95,673.2,685.8,697.2,710.05,722.05,732.6,743.9,753.3,760.2,767,774.5,781.15,785.35,789.55,790.5,788.4,785.2,779.3,772.75,761.15,748.25,735.05,723.25,712.05,700.7,689.1,675.4,661.45,645.5,627.85,609.3,590.05,574.6,557.15,542.6,529.1,515.9,504.4,488.65,478.15,468.45,457.55,445.4,433.5,420.45,407.5,398.25,387.5,378.25,370.25,363.4,356.35,348.85,342.9,336,329.15,324.4,320.25,316.4,310,303.2,298.25,294.35,289.15,287.15,286.2,283.55,282.75,281.1,278.7,275.5,272.95,270.15,265.8,264.25,263.7,260.8,255.65,252.45,250.5,249,247.7,247.3,246.85,243.5,239.75,236.75,232.6,231.95,230.8,230,229.2,228.7,228.15,225.85,223.4,220.65,219.55,218.4,217.15,214.8,211.95,209.05,208.05,208.5,208.5,207.8,207.25,205.5,205.55,205.45,206.85,207.35,208.15,208,207.65,207.8,207.55,207.35,207.2,207.75,208.75,207.95,206.9,206.6,206.8,207.05,207.55,208.35,207.2,205.95,203.4,200.6,197.7,194.7,192.2,190.1,189.45,189.25,189.15,189.55,189.8,190.4,190.15,189.2,187.75,186.15,183.7,180.35,178.5,177.65,176.9,176.85,176.55,176.5,177,177.05,176.05,175.3,174.45,173.65,172.95,172.9,173.4,174.2,175.35,176.25,178.05,180.9,183.7,185.45,186.1,186.5,188.35,189.5,189.05,188.25,187.55,186.95,186.55,186.1,185.9,184.95,183.3,180.6,178.1,175.95,174,171.65,168.9,167.85,167,166.75,165.25,163.95,163.25,164.25,164.55,164.15,164.15,164,163.9,163.5,163.35,164.4,165.55,166.5,167.65,168.65,169.45,168.8,160.65,152.25,144.1,136.25,128.4,119.1,110.75,103.05,94.85,Stainless_steel_cup_empty_water
9,180,199.3,219.35,239.9,260.3,281.15,304.1,329.1,354.25,377.9,403.35,420.1,426.1,429.9,432.75,434.95,436.6,436.95,439.35,439.5,441.65,443.05,442.15,440.7,439.45,437.45,433.8,429.1,424.95,422.55,416.65,410.7,406,401.25,398.05,396.15,395.05,394.85,394.7,396.25,395.9,395.35,396.8,398.5,400.55,402.7,405.55,408.6,411.1,413.45,417.9,423.75,429.25,434.5,439.45,445.05,451.75,457.45,463.1,469.05,475.35,481.55,487.7,494.05,501.25,510,516.65,524.85,534.35,544.25,552.65,560.65,569.3,579.55,590.5,602.35,613.25,625.65,638.2,652.3,666.75,681.6,696.45,711.15,723.05,733.7,744.85,753.2,760,766.9,774.7,781.7,788.3,793.5,795.75,793.9,792.1,785.7,779.25,767.4,754.75,741.7,728.75,715.85,704.7,692.75,679.7,666.05,649.75,632.4,613.55,594.15,576.85,559,541.8,528.75,515.1,501.5,485.3,472.15,461.45,450,437.9,426.75,414.65,404.55,395.85,387.9,380.3,371.7,365.2,358.85,350.8,344.7,340.2,333.25,328.1,326.25,323.25,319.45,313.65,309.15,305.35,300.15,296.3,292.2,288.15,282.45,277.6,274.35,270.35,267.65,265,261.15,258.45,255.55,251.7,248.65,246.9,244.85,242.7,241.3,240.6,239.1,236.9,234.25,231,229.6,229.65,229.05,227.7,225.55,223.85,221.85,220.2,219.55,217.75,214.85,211.85,211.8,212.5,211.6,210.1,209.9,209.8,209.05,208.8,207.15,205.6,203.6,201.95,201,201.35,202.45,201.95,201.5,202.05,202,202.1,200.5,198.6,197.3,194.9,193.55,193.25,192.95,193.35,194.8,196.2,197.85,200.2,201.2,200.15,200.85,200.2,199.9,199.45,199.15,200.5,201.7,203.2,205.45,207.45,208.05,207.55,207,206.55,205.7,204.05,202.5,199.95,198.8,198.6,195.9,194.5,192.75,190.85,189.8,188,186.15,184.8,183.35,181.45,180.55,180.1,179.25,178.35,177.3,177.5,178.2,180.35,181.75,182.65,183.7,185.2,186.35,186.95,186,184.55,183.8,182.6,181.35,180.9,179.6,178.05,176.85,175.35,174.5,173.3,172.4,172.1,171.4,170.6,169.75,169.05,168.55,167.9,168,168.15,168.05,167.95,167.9,168.8,169.05,168.75,169.35,169.2,169.2,169,169.15,168.45,159.7,151.35,143.25,134,124.5,115.4,106.8,98.9,91.1,Stainless_steel_cup_empty_water
