,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,Objects
0,179.7,198.9,219.2,239.55,260.6,282.4,305.5,330.4,356.15,380.05,405.25,420.5,424.95,426.95,429.5,431.7,436,434.8,435.2,435.65,438.05,438.9,437.05,434.95,432.25,429.2,424.2,419.1,414.95,412.55,407.2,403.45,400.85,398.6,396.55,395.35,393.05,393.05,395.3,398.15,398.75,399.1,401.25,404.45,408.35,411.5,416.25,420,421.55,423.85,427.8,432.05,436.7,442.5,448.5,455.4,461.85,468.55,475.05,481.05,488.25,495.95,503.75,511.2,519.15,528.35,536.2,545.75,557.4,568.8,579.45,591.2,602.55,613.35,624.45,635.9,648.6,660.75,672.5,685.05,696.45,710,722.65,736,745.5,752.75,759.45,762.95,763.45,762.8,764.3,762.65,761.25,759.05,755.05,747.95,739.05,728.1,715.55,699.6,683.4,665.2,649.3,631.6,616.3,602,588.55,575.45,560.55,545.95,528.75,512.6,496.25,482.1,469.6,456.4,445.3,436.3,425,417.6,411.35,402.9,391.8,382.75,374.25,367.3,360.4,354.1,348.9,343,338.3,333.75,328.65,323.05,317.4,313.6,307.1,302.7,299.1,293.35,287,283.3,280.7,276.55,272.7,266.7,263.1,259.85,256.7,253.95,251,248.5,247,243.7,242.05,241.55,242.8,241.6,240.2,238.75,237.7,236.85,237.4,236.9,236.05,236,233.3,230.3,229.7,228.6,228.15,227,225.1,223.25,221.5,219.55,216.65,212.95,210.75,208.4,208.75,208.1,206.3,206.55,206.05,205.85,205.95,205.65,203.15,201.1,198.25,196.85,197,198.45,198.3,197.8,197.85,198.95,200.05,201.05,199.7,198.9,197.3,195.55,195.15,195.15,195.3,195.9,197.4,198.95,200.9,202.15,201.9,199.75,196.95,194.3,191.35,189.55,188.45,189.45,190.65,192.1,193.7,194.6,194.75,194.2,193.7,192.55,191.75,190.95,189.2,187.65,186.7,186.65,186.45,186.2,186.7,185.65,184.75,183.2,180.6,178,176.85,175.8,175.4,174.95,174.15,174.7,175.95,177.85,179.7,180.9,182.3,183.45,184.3,184.3,184.2,184.15,183.65,183.25,183.45,183.25,182.05,180.95,178.7,176.7,175.25,172.8,169.7,167.15,167,167.3,168.4,168.9,169.15,171.25,172.5,173.35,173,172.65,172.75,173.05,173,173.05,173.15,174.1,173.95,174,174.1,174.3,173.3,163.9,153.35,143.7,134.8,124.65,114.9,106,98.3,90.25,Stainless_steel_cup_full_water
1,182.1,201.25,222.1,243.15,264.65,286.8,311.25,334.25,359.1,382.35,407.6,423,428.1,430.65,432.6,433.15,434.4,433.9,434.05,434.7,437.6,438.25,435.75,433.15,430.25,426.4,420.35,417.45,413.6,411.65,406.5,403,399.65,397.1,395.8,395.1,394.55,395.05,395.3,395.7,395.7,397.2,399.8,403.15,407.35,411.3,416.1,419.35,422.8,426.15,429.6,434.55,439.2,444.65,450.45,457.15,463.85,469.5,477.9,486.55,493.75,501.65,509.65,516.85,524.15,533.1,540.8,550.4,561.25,570.9,582.8,594.9,606.5,617.7,629.1,640.4,652.85,665.45,677.75,690.7,704,717.3,729.3,741.55,751.2,759.05,765.45,768.9,768.65,768.6,768.4,765,763.6,760.95,756.05,749.2,740.55,728.95,716.6,699.75,681.85,663.45,645.25,628.55,613.65,599.1,585.9,573,558.4,543.95,527,510.75,495.3,479.6,466.65,455.75,445.75,437.5,425.95,416.9,410.1,400.8,392.05,382.9,373.6,366,359.1,352.6,347.1,341.15,337,332,325.55,321.85,316.7,312.35,308.3,302.35,297.4,291.95,285.85,282.55,279.75,275.55,272.65,269.35,266.4,263.6,261.1,258.65,256.15,255.15,253.9,250.65,248.8,247.05,244.7,244.8,245.15,245.35,243.9,241.7,241.5,241.1,239.6,237.5,235.9,232.55,230.15,229.8,227.75,225.75,223.25,220.55,218.8,215.75,213.5,211,209.65,208.4,207.25,206.05,204.2,203.4,202.9,202.4,200.55,198.8,197.65,194.55,193.1,192.3,193.4,196.05,196.55,196.75,196.25,195.1,194.9,196.35,196.95,197.55,197.8,198.6,199.1,199.1,199.25,201.25,203.3,205.9,208.25,210.55,211.55,211.7,210.3,209.35,208.1,209,209.1,208.85,210.6,212.9,214.25,214.4,213.9,213.2,212.05,210.25,207.4,204.85,202.3,199.2,196.5,193.7,192.35,190.75,188.85,186.4,184.1,181.75,179.3,177.55,176.65,175.35,174.35,173.4,173.15,173.6,175.1,175.9,176.55,176.75,176.75,176.65,177,176.75,177.25,177,177.1,176.8,176.35,174.95,172.85,171.35,169.5,168.15,166.55,164.65,164.65,164.85,166.5,168.05,168.85,169.25,168.8,168.45,168.15,167.9,167.4,167.5,167.25,167.05,167.05,166.8,167,167.1,167.25,167.65,166.3,165.75,164.55,155,146.25,138,129.85,122,113.75,105.65,97.55,89.3,Stainless_steel_cup_full_water
2,182.6,202.45,223.1,243.9,265.2,288.05,311,335.8,361.35,385.4,411.2,427.45,432.8,435,436.85,437.8,436.55,436.8,437.2,439.55,441.2,441.3,439.95,437.65,434.55,430.1,425.35,420.7,414.55,409.25,403.2,398.7,395.45,393.3,391.5,391.1,390.95,390.7,393.65,395.6,396.5,397.2,399.35,402.85,407.1,410.75,415.8,419.25,424.6,430.6,435.6,439.8,444.5,449.4,455.1,461.65,468.5,475.1,481,487.3,493.65,503.55,510.45,519.65,527.35,536.5,544.45,554,564.15,575.35,585.25,597.6,609.4,620.9,632.55,643.4,655.35,667.5,679.9,692.7,706.5,718.3,731.4,741.5,751.65,759.05,764.5,767.4,767.05,764.4,765,762.3,757.4,753.6,747.8,739.8,731.05,719.15,706.1,689.15,670.8,652,634.3,617.2,601.15,586.75,573.2,560.45,546.35,533,516.25,500.25,487.35,472.95,461.45,451.8,441.6,434,422.95,412.6,405.45,396.5,386.65,378.5,368.6,358.2,352.15,343.45,337.15,331.3,327,322.5,316.45,311.95,305.8,300,295.9,291.95,288.85,286.35,280.75,277.5,274.75,269.85,268.4,268.45,265.55,265.45,264.7,262.65,259.45,257.65,256.45,253.9,252.75,251.8,248.95,244.85,242.35,240.5,238.6,236.35,236.4,236,233.6,230.5,227.75,224.7,222.3,220.75,219.65,217.65,215.1,212.05,210.35,208.35,206.75,206.65,205.85,205.5,206,205.3,203.5,202.85,203.25,203.35,202.6,201.1,198.8,198.8,198.2,198.55,199.95,202.2,202.35,201.9,201.65,199.4,198.75,197.95,197.95,198.75,197.45,196.7,196.25,196.45,196.85,197.75,199.85,199.95,200.7,200.65,200,198.2,195.1,192.95,190.55,190.45,190.35,190.95,191.05,190.95,191.8,191.1,189.55,187.9,185.6,182.65,179.55,177.35,175.2,174.05,173.2,172.8,172.95,172.9,172.8,171.8,170.75,169.8,168.8,168.5,168.9,169.85,170.45,170.25,170.65,172.3,173.9,174.85,175.85,176,176.15,177.35,177.95,177.6,177.8,177.6,177.2,176.75,176.4,175.7,174.05,172.5,171.2,170.3,169.2,167.5,166.35,165.15,165.7,165.45,165.2,164,163.5,163.1,162.55,162.7,162.55,162.75,162.2,162,162,161.95,162.4,163.4,164.6,165.7,167.15,167.95,167.5,159.4,151.5,143.55,135.4,127.6,119.5,111.3,103.35,94.9,Stainless_steel_cup_full_water
3,180.4,200.1,220.6,241.6,263.15,285.15,308.15,333.25,358.9,382.95,408.45,424.15,429.05,431.25,432.9,434.15,435.2,434.25,436.4,436.5,437.85,438.55,436.65,434,430.65,427.05,422.55,417.4,412.85,409.95,404.4,400.5,397.95,395.75,394.8,394.15,394.05,395.2,396.2,399.75,401.5,402.1,404.25,407.45,412.1,416.05,421.05,424.6,428,431.8,436.35,442.25,447.3,454.2,460.5,467.4,474.2,479.6,485.95,491.85,498.7,506.15,513.85,521.45,528.7,537.35,544.7,554.7,565.4,576.4,586.1,596.7,607.9,617.85,628.7,639.7,652.35,665.2,676.6,689.45,702.7,716.4,728.9,740.15,749.4,757.25,763.3,766.45,765.9,763.05,763.95,760.8,758.1,754.4,748.6,740.65,730.9,718.2,705.2,687.55,668.65,649.4,632.65,616.25,601.4,586.1,572.45,558.7,544.15,530.45,512.9,496.9,482.6,468.75,454.5,444.45,434.8,424.75,413.35,403.65,396.85,389.15,378.95,370.05,361.05,354.2,348.5,342.8,339.4,335.45,331.95,327.9,321.85,315.8,312.65,306.65,302.2,301,298.5,296.25,290.7,287.2,284.5,280.6,278.5,276.1,272.4,268.25,262.9,258.65,255.1,253.2,251.6,249.75,248.4,247.8,246.25,244.8,243.7,242.65,242.1,240.3,238.8,238.4,235.5,232.3,229.75,227.8,227.45,227.05,227.45,227.25,226.45,225.35,223.8,222.05,219.8,216.55,214.8,215.75,215,215.75,216.05,216.1,216.35,216.25,215.75,214.8,213.45,211.3,208.65,205.75,205.1,205.45,204.7,203.85,203.6,203.35,202.9,200.35,198.9,196.25,194.6,193.05,192.25,191.75,191.4,192.45,193.9,196.35,198.1,200.2,200.15,198.4,196.1,194.4,192.5,191.55,191.9,193.2,195.95,198.55,200.9,201.6,201.35,201,200.4,198.85,196.2,193.15,191.1,188.8,187.8,187.6,187.85,187.3,186.65,185.55,183.3,180.55,178,176.35,173.85,173.25,172.95,172.1,171.45,170.9,171.95,173.85,175.65,177.6,178.9,180.1,181.15,182.15,182.7,182.55,182.1,182.05,181.2,180.3,180,178.45,177.3,176.05,175,173.6,172.2,170.35,169.9,169,167.7,167,167.5,167.85,167,167.1,167.3,167.25,167.7,168.1,168.15,168.4,168.4,168.75,168.85,169.3,169.2,169.9,169.65,160.85,152.5,144,134.3,124.7,116.2,107.55,99.55,91.7,Stainless_steel_cup_full_water
4,183.4,202.95,223.55,244.55,265.75,287.75,310.75,336.15,359.05,382.35,406.9,422.05,427.1,428.8,429.5,429.5,430.55,430,430.35,431.15,433.55,433.35,430.95,428.05,425.05,421.3,416.4,410.8,409.05,407.2,402.55,398.75,395.9,394.2,393.05,392.8,392.45,392.65,395.4,397.4,397.2,398.95,401.95,405.45,410.2,414.55,419.55,423.6,426.85,430.7,435.45,440.15,445,450.55,457.25,463.8,470.6,477.05,483,489.15,497.25,505.35,512.95,520.5,527.75,536.45,544.7,553.6,563.95,574.7,584.5,596.75,609,621.8,632.7,644.4,656.95,669.1,681.35,694.1,706.9,719.65,732.2,744,753.3,760.45,766.15,769.2,768.45,765.75,767,764.85,761.65,755.9,750.2,741.9,732.75,721,707.7,690.5,671.9,652.8,635.5,618.55,601.55,586.8,573.15,561.25,549.95,536.75,519.65,502.85,486.7,472.1,460.05,449.7,439.4,431.8,421.05,412.3,405.35,396.9,386.8,378.2,371.2,364.45,358.45,352.2,345.05,339.25,334.65,329.75,324.35,320,314.7,309.35,303.85,295.85,290,286.8,281.6,278.65,276,271.95,269.85,266.7,263,259.65,256.8,253.5,250,248.4,247.6,245.15,243.3,241.8,241.25,243.05,243.6,242,241.5,240.6,240.8,240.45,238.25,235.3,232.5,229.35,227.65,228.5,228.2,227.6,227.05,226.3,225.6,224.25,221.85,219.4,217.8,216.45,214.95,213.05,210.95,210.3,209.85,209.8,210.1,208.35,206.35,203,201.05,199.25,198.1,197.55,196,195.5,195.05,193.2,192.05,190.95,189.75,190.95,190.35,190.15,189.9,190,189.7,191.15,192.9,195.25,197.8,200.25,201.45,202.45,201.85,200.7,200.75,202.25,204.6,207.15,210.05,211.15,213.1,214,213.7,213.15,212,210.5,208.7,206.25,203.4,200.25,198.3,195.75,195.7,195.1,193.4,191.7,189.9,188.9,187.55,186.05,184.75,183.2,182.7,182.25,182.2,182.2,182.65,184.2,185.75,187.45,188.7,189.9,189.75,189.7,189.2,187.7,186.2,184.6,183.1,182.25,180.7,179,178.8,178.3,177.65,177.5,177.1,175.55,175.7,174.7,172.95,171.7,170.6,169.75,169,169.3,169.45,169,168.95,168.25,168.35,168.3,167.15,165.9,164.9,164.1,163.3,163.5,162.75,154.4,146.35,138.35,130.2,122.05,114.2,106.1,98.2,90.45,Stainless_steel_cup_full_water
5,179.35,199.3,220.1,241.35,262.8,284.8,307.95,332.95,358.4,382.15,408.15,423.75,428.55,430.8,432.4,434.05,435.15,434.2,434.1,436.15,438.6,437.55,435.2,432.2,429.65,426.25,422.05,417.05,412.95,410.35,404.8,400.8,398.05,396.4,395.25,395.6,395.9,396.4,398.95,400.7,401.05,403.15,406.15,409.55,413.3,416.75,420.7,424.3,427.5,431.9,435.95,440.4,445.15,450.25,456.4,462.5,469.3,475.85,482,488.15,496.1,504.15,513,522.15,529.6,538.9,546.75,555.95,566.35,576.85,587.15,598.6,610.45,621.55,632.45,643.2,655.45,667.4,679.85,692.5,704.95,717.9,728.8,739.85,750,756.85,763.05,766.5,765.95,763.15,763.75,761.7,759.05,756.1,749,741.45,731.3,718.7,705.35,688.15,669.75,650.75,633.5,615.65,599.45,585.2,571.65,558.55,544.15,530.45,512.85,496.7,481.4,466.45,456.4,446.35,437.15,429.85,419.05,410.1,403.35,395.15,385.1,376.35,367.25,359.6,351.95,343.4,337.7,333.7,330.15,326.25,320.7,316.5,310.85,304.75,300.5,296.5,292.3,289.15,283.75,280.15,277.25,272.7,271.05,268.1,266.35,266.2,264.7,260.4,257.3,254.95,253.5,250.8,249.2,249.15,247.75,246.4,245.8,244.9,243.9,243.05,242.75,243,240.6,238.15,235.1,231.6,229.9,229.5,227.95,226,223.65,220.95,219.35,216.85,214.15,211.65,209.9,208,206.9,204.9,203.8,203.7,203.7,203.3,203.2,202.3,200.5,198.7,197.65,196.85,197.8,197.7,196.9,196.1,195.8,193.8,193.2,193.35,193.35,194.05,192.6,191.6,191.25,191.75,191.6,192.25,193.85,195.5,197.5,199.45,200.4,203,202.9,202.2,200.95,200.8,200.65,200.6,201.35,202.1,204.2,205.25,205.9,205.3,205.55,205.75,204.2,201.55,198.95,196.95,194.2,191.25,189.65,188,187.1,186.6,185.9,185,184.05,183.65,182.8,181.75,181.1,181.2,180.85,179.85,180.7,183.85,186.2,187.7,190.05,191.8,194.15,196.25,196.9,196.3,195.75,195.4,194.55,193.75,192.35,190.6,187.85,185.4,182.8,180.8,179.05,176.55,176.4,176.9,176.75,176.8,175.7,174.35,173.05,172.95,172.7,172.8,172.6,172.05,172.1,172.15,172.25,172.15,172.3,173.8,174.6,175.25,174.15,164.05,154.25,144.6,135.2,126.35,118.05,109.75,101.7,93.3,Stainless_steel_cup_full_water
6,181.6,200.9,221.55,242.7,263.65,285.4,308.25,333.5,359.2,383,408.15,423.6,428.35,430.2,430.95,431.9,433.35,432.7,433.7,434.55,435.6,435.8,434.05,430.55,427.8,424.3,419.55,414.65,410,407.25,402.4,398.15,394.95,393.25,392.65,392.85,392.9,393.45,396.5,398.4,400.15,401.45,403.7,407.65,412,416.55,421.55,424.95,428.6,432.5,436.05,441.05,446.8,453.5,459.85,466.45,473.05,479.2,484.85,491.35,498.8,506.4,513.6,521.85,529.3,537.8,545.6,554.8,565.35,576.35,587.25,599.6,610.9,621.4,632.35,642.65,655,667.45,679.4,691.35,704.05,718.05,730.75,741.85,752.05,759.75,766,769.5,768.55,766.2,766.5,762.75,759.5,755.9,750.15,743,734.05,721.95,708.85,692.45,675.95,656.9,640.1,622.8,606.8,591.7,578.85,565.8,551.6,537.95,521,505.55,491.15,476.05,464.1,453.6,441.85,431.2,419.1,412.55,405.15,397.3,389.75,383.1,375.5,368.65,361.8,355.9,350.75,344.45,340.25,336.75,331.1,326.55,320.9,315.6,312.6,311.65,309.95,303.8,297.4,293.65,288.05,282.1,278.35,274.65,270.7,267.55,264.75,262.5,259.7,256.85,254.65,252.05,250.35,248.55,245.8,242.9,240.65,239.1,237.75,236.5,237.5,237.4,235.95,233.35,231.1,227.9,226.8,224.8,222.85,220.5,217.9,215.9,214.9,213.45,211.95,210.15,208.8,208.25,208.3,209.65,208.55,207.7,207.1,207.15,206.75,205.5,204.25,203.95,203.3,202.75,204.15,205.65,205.25,205.2,204.8,203.2,202,199.95,198.15,194.85,191.8,191.3,191.15,191.5,191.6,192.55,193.3,193.85,194.95,196,195.95,194.15,191.45,189.9,188.5,188.45,188.9,190.75,192.5,194.45,196.35,196.4,195.45,193.95,192.3,190.55,188.7,186.75,185.15,184,182.65,181.75,181.85,181.55,181.55,181.15,181,181,180.9,180.5,181.5,182.7,182.6,183.75,185.65,186.35,187.05,188.8,189.7,190.15,190.35,190.85,190.75,189.6,188.75,187.85,186.2,184.2,182.05,179.9,177.55,175.1,173.05,170.2,167.9,166.45,165.1,163.55,164.15,165.5,166.1,166.45,166.6,166.95,166.9,166.85,167.15,168.15,168.3,168.15,167.6,167.55,167.85,168.4,167.65,167.9,167.9,168.3,168.25,158.5,149.6,141.15,133.05,124.7,116.25,108,100,91.15,Stainless_steel_cup_full_water
7,182.3,201.95,222.3,243.2,264.85,286.95,309.8,335.05,361.2,385.6,408.9,423.45,428.4,430.65,432.75,433.75,435.25,434.8,434.65,436.1,438.5,439.05,438.35,436.3,433.05,429.55,425,419.7,414.8,411.4,407.8,404.95,402.65,400.25,398.55,398.1,398,398.45,400.85,403.25,403.85,404.9,407,411.3,415.85,420.4,425.6,429.45,432.85,436.45,440.8,444.8,448.6,454.05,460.9,467.1,473.2,479.5,486.05,492.05,499.45,507.45,514.35,520.5,527.9,536.05,543.65,552.7,563.5,575.5,585.8,597.4,609.45,620.75,633.9,646,658.4,670.05,682.2,694.95,708.25,721.05,733.65,745.25,754.3,761.55,767.1,770.5,769.25,766.25,767,764.85,762.5,759.05,750.7,742.2,733.05,721.4,708.4,691.5,672.3,653.4,636.6,619.35,604.05,589.15,575.75,561.75,547.85,533.8,516.1,499.75,484.45,469.3,457,446.5,436.8,428.35,417,407.7,401.5,393.75,383.7,375.55,366.5,359.6,353.8,348.85,343,337.2,333.65,329.4,323.55,319.55,314.75,310.35,305.9,302.15,299.25,297.35,294.45,291.85,289.55,286.05,284.5,282.05,278.7,275.85,273.6,271.05,267.55,265.75,264.8,263.55,263.05,262.05,260.6,259.5,257.65,254.5,250.75,248.6,248.1,246.95,244.5,241.4,238.3,235,234.1,232.3,230.7,230.9,230,228.65,226.2,223.35,220.5,217.45,215.95,215.8,215.7,215.35,214.75,214.85,214.65,213.9,213.65,212.85,211.6,211.6,211.45,209.6,209.45,209.55,209.3,208.9,208.5,206.95,205.6,204,202,199.75,197.15,195.45,195,195.2,195.35,195.7,196.5,197.45,199.7,201.45,201.65,201.75,201.15,201.15,201.15,202.1,203.5,205.5,208.1,210.45,212.75,213.95,214.85,214.2,212.95,211.4,208.85,207.65,205.25,202.3,199.65,196.6,194.05,191.3,189.4,186.95,185.35,183.75,181.6,179.95,178.6,177.55,175.45,174.8,174.45,174.9,176.4,177.15,178.5,180.25,181.8,183.05,184.2,184.25,183.4,183.3,182,180.75,180.15,179.25,177.65,176.4,175.6,174.1,172.75,173.1,173.2,172.65,173.3,174,175.15,175.85,176.8,177.9,178.9,179.25,179.65,179.7,179.4,179.55,179.8,179.75,179.2,179.5,179.55,177.85,176,174.75,173.55,162.95,152.45,142.35,132.4,123.2,114.1,105.6,97.6,89.6,Stainless_steel_cup_full_water
8,182.35,201.7,222.1,243,264.5,286.55,309.85,335.1,360.65,384.6,409.85,425.05,430.2,431.8,432.85,433.85,435.45,434.25,434.85,435.85,436.7,437.6,436.3,433.55,430,425.9,420.65,415.45,411.4,409.1,403.5,399.15,396.1,396.15,396.4,396.55,396.65,398.05,400.6,402.9,403.7,404.35,406.45,409.75,414.15,418.55,423.8,427.55,430.75,434.25,439.2,443.95,448.7,452.2,457,463.4,469.75,475.2,481.85,488.15,495.3,502.75,510.3,518.35,528.25,535.9,543.8,551.5,561.95,572.5,582.5,594.85,606.6,617.6,628.75,639.85,652.4,665.35,676.8,689.05,702,715.45,727.95,739.35,746.45,754.5,759.85,764.85,764.5,762.1,762.45,759.5,757.25,754.3,749.4,741.85,731.6,718.55,705.3,691.3,673.25,654.35,637,619.95,604.5,590.15,576.7,563.5,548.9,535.4,518.3,502.15,488.65,473.95,461.3,450.2,441.4,434.1,423.45,410.9,403.75,395.45,386.25,377.4,368.65,362,356.3,350.25,347.1,341,337.05,332.55,326.2,321.75,316.7,311.75,304.4,299.3,294.4,290.85,284.95,281.25,277.3,273.5,271.95,269.25,265.85,262.65,258.25,255.9,253.05,251.3,248.65,245.8,244.55,244.3,245.25,244.85,245.05,244.4,244.05,244.2,245.75,245.85,243.9,240.55,237.85,234.9,233.35,232.35,231.8,231,229.95,228.4,226.7,223.95,221.2,217.75,216.1,216.2,216.2,215.95,214.65,213.95,212.95,212.85,211.7,210.1,208,205.65,203.45,201.65,202.85,203.9,204.25,203.3,203.15,202.5,201.6,200.05,197.95,195.3,192.35,191.2,191.1,190.85,191.5,192.9,195,196.4,197.35,198.55,196.2,193.8,190.4,188.95,186.8,185.95,185.95,186.45,188.3,191.1,193.8,194.45,194.9,194.05,192.7,190.75,188.1,187.1,186.05,184.55,183.65,183.8,183.85,182.95,182.6,181.55,180.85,180.15,178.95,176.75,175.35,174.65,173.05,172.85,173.1,173.75,174.85,176.25,177.95,180.05,181.9,183.4,184.65,186.75,188.85,191.25,192.95,194.15,195.25,196.05,195.2,193.6,192,190.55,189.05,187.55,186.25,184.55,184.2,183.3,181.95,180.4,179.2,177.05,174.25,171.75,169.55,167.25,164.75,163.05,162.55,162.75,162.85,164.3,165.4,166.5,168.3,170.1,170.15,161.05,152.7,144.75,136.8,129,121.3,113.2,104.95,97.05,Stainless_steel_cup_full_water
9,182.65,202.05,222.55,243.55,265.5,288.15,311.1,336.3,362.35,386.35,411.4,425.75,431.2,432.5,434.1,435.2,436.75,436.35,436.6,437.55,440.1,440.3,438.95,437.9,434.45,431.55,427.9,422.7,417.8,414.9,409.55,405.75,402.55,401.15,399.75,399.1,399.3,399.5,402.15,403.95,404.15,404.95,406.55,408,412.25,416,419.9,424.05,427.25,430.85,435.85,440.7,445.05,450.15,457.4,463.8,470.35,475.45,481.65,488.2,495.2,503.55,511.3,519.15,526.75,534.2,542.15,550.85,561.45,572.4,581.95,593.85,605.95,617.1,626.7,638.15,649.7,663.45,675.2,687.55,700.95,714.85,727.65,739.35,748.65,756.2,764.25,768.65,768.95,767.4,768.7,766.1,763.6,760.65,755.35,747,738.3,726.1,713.25,695.9,677.4,657.75,640.45,623.6,608.05,593.25,577.6,563.85,548.95,534.75,516.8,500.55,485.75,470.3,458.4,449,439.65,432.4,423.35,416.5,409.9,402.05,392.15,383.55,374.9,367.4,360.4,353.7,348.25,341.6,337.85,333.4,327.35,323.6,318.25,312.5,307.45,302.55,295.8,289.5,283.5,279.6,276.75,272.85,268.1,264.7,262.35,259.8,257.3,255.55,253.7,254.9,253.9,251.1,249.35,248.15,246.8,245.2,245.85,246.25,246.05,245.35,246.55,246.5,246.55,244.7,241.8,238.35,236.9,236.25,233.9,229.3,226.3,223.5,221.75,220.25,218.1,215.3,212.95,212.35,211.45,209.75,207.9,205.95,203.5,201.95,200.85,199.15,197.15,194.3,192.75,191.1,191.8,193,191.65,189.9,188,186.35,184.65,182.35,180.5,179.85,177.25,177.05,178.7,179.7,180.45,182.25,183.95,185.95,188.1,191,192.05,193.3,193.65,195,196.15,197.1,199.5,201.85,204.6,206.95,210.1,210.6,210,208.85,207.25,204.7,201.6,199.45,197.45,194.75,192.8,190.15,188.9,186.7,184.55,183.05,180.9,179.4,177.4,175.55,173.35,171.9,171.55,171.65,171.25,173.7,176.35,179.15,180.9,182.9,183.75,184.25,183.9,183.25,182.4,182.05,181.1,179.95,179.05,178.15,177.2,176.7,175.7,174.45,173.75,171.1,170.6,169.2,169.1,168.75,168.65,168.4,168.45,168.2,168.55,167.9,168.2,168.85,168.6,168.85,169.05,169,168.95,169.2,169.4,169.45,167.75,166.95,166,156.4,147.35,139,130.95,123.1,114.8,107.15,98.9,90.15,Stainless_steel_cup_full_water
