,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,Objects
0,182.75,202.15,221.8,242.4,263.45,285.05,307.35,332.7,357.85,381.55,406.8,421.05,427.45,431.4,433.4,434.55,435.6,434.85,434.75,436.65,438,438.05,437.4,435.6,433.25,430.45,426.6,421,416.75,414.35,409.2,404.65,400.1,396.35,394.25,393.3,393.05,392.95,394.85,395.9,397.6,398.35,400.2,404.2,407.7,410.6,414.3,417.95,420.7,423.4,427.1,430.8,435.95,442.5,448.35,454.2,460.2,465.45,470.65,476.3,482.6,489.55,495.7,501.2,508.45,517,524.7,533.6,543.3,553.5,562.65,573.5,583.6,592.8,603.45,615,627.3,639.9,653.55,667.4,681.95,696.9,710.85,723.45,736.3,746.45,756.1,763.55,768.9,772.05,776.8,780.1,783.45,786.4,785.45,781,775.05,766.5,757.4,744.05,728.7,713.25,699.5,685.6,670.2,656.25,642.9,628.8,611.9,595.85,578.45,560.85,544,526.45,512,499.55,487.25,475.3,460.75,449.25,440.5,429.7,418,407.45,397.4,389.05,381.4,373.9,367.8,360.75,355.2,349.4,342.3,336.8,330.6,324.5,319.9,317.65,314.45,309.85,302.95,298.8,294.6,290,286.9,283.35,279.15,275.4,272.95,271.15,267.45,264.75,262.15,258.55,256.65,256.55,255.35,252.95,251.2,249.6,249.15,248.5,248.7,247.55,244.75,241.45,238.3,234.85,233.15,230.95,230.45,229.2,228.1,226.15,224.85,222.25,220.7,219.5,218.35,218,216.6,216.6,216,215.6,216.05,215.65,215.3,214.4,212.45,210.25,207.8,205.9,204.7,203.9,202.55,201.8,200.35,197.65,196.2,194.15,193.05,190.5,187.55,186.65,185.75,186.15,186.3,186.9,187.8,190.65,193.45,195.9,197.4,198.8,198.15,196.7,193.9,193.65,193.6,194.95,196.75,198.35,201.25,202.15,202,201.6,200.55,199.3,197.4,194.35,191.25,189,187.05,185.75,184.8,184.1,183.95,183.55,183.35,183.2,182.45,181.2,178.65,176.65,174.35,173.3,173.1,174.15,176.1,179.25,182.05,184.5,187,189.55,191.55,193,194.4,194.15,192.95,191.6,190.15,189.7,189.85,189.85,190.3,188.2,186.65,184.2,181.55,179.1,178,175.8,173.65,171.2,168.95,167.15,166.6,167.1,168.4,169.1,169.6,169.2,168.7,168.5,167.75,167.9,168,168,168.65,168.5,167.45,158.95,150.65,142.4,134.5,126.4,117.35,108,98.65,89.75,Succulents
1,182.25,201.65,221.5,241.3,261.55,282.7,304.9,329.8,355.05,378.85,402,416.7,422.15,424.8,426.85,428.5,430.1,429.95,430.3,431.75,434,434.55,433.9,433.05,431.55,429.2,425.35,420.35,416.2,413.3,410.1,406.5,402,397.65,395,393.8,393.45,393.05,394.9,396.65,397.5,398,400.25,404.25,407.25,410.25,414.4,417.75,420.25,423.45,427.1,430.6,435.65,441.2,447,453,458.5,464.3,470.4,475.8,482.4,489.45,495.15,500.1,507.35,515.15,522.35,530.9,541,551.05,560.4,571.3,581.85,592.75,606.15,617.15,629.6,641.3,653.65,667.75,681.3,696.2,709.8,722.55,733.6,744.45,753.85,760.7,765.05,770.3,775.8,779.2,782.8,785.35,782.55,778.7,773.4,765.8,756.9,743,727.7,711.7,698.45,684.85,671.4,656.95,642.7,627.4,610.85,592.25,573.85,556,538.8,521.15,505.75,493.2,480.85,470.5,456.6,445,436.5,425.9,413.6,403.15,393.3,385.5,378.4,373.3,368,362.15,356.25,350.7,343.85,338.6,332.75,326.75,321.9,317.9,315,310.95,304.15,299.3,296,290.9,287.65,283.5,280.65,276.95,273.1,269.45,266.8,263.75,261.7,258.3,257.15,256.7,254.75,252.45,250.4,249.3,248.3,248.4,248.6,248.2,245.9,242.9,239.3,236.55,235.5,234.35,232.3,232.8,232.05,231,229,224.65,222.35,220.15,217.75,216.75,217.2,216.1,213.8,213.4,212.85,212.7,212.35,210.5,208.75,207.25,205.95,202.7,201.85,203.1,203,204.3,203.6,202.85,202.35,200.8,198.25,196.65,195,193.15,192.35,190.65,189.85,190.8,192.6,194.55,197.4,200.1,200.85,200.55,200,199.65,200.15,200.05,201.45,203.65,206.2,207.4,209.65,211.3,211.5,212,211.6,210.5,209.05,207.1,204.4,201.9,199.3,196.85,194.45,192.1,190.45,188.55,187,186.15,185.6,185.85,185,184.95,184.8,184.65,184.65,185.05,186.1,188,189.85,191.15,192.9,194.45,196,196.7,196.2,195.75,194.35,192.95,190.7,189.3,187.5,185.3,183.45,182.1,180.3,179.45,177.45,175.2,174.55,174.45,174.1,173.25,172.3,171.7,170.65,170,169.7,168.9,169.05,168.4,168.9,168.55,168.3,168.65,169,169.45,170.75,172.3,172.15,162.65,153.45,144.4,135.65,127.3,119.3,111.45,103.8,95.95,Succulents
2,182.3,201.5,221.6,241.1,261.8,283.3,306,331.15,356.9,380.45,405.95,421.65,427.35,430.8,433.25,435.25,436.9,436.8,437.85,438.95,439.5,440.85,439.85,438.8,436.8,434.45,430.4,425.2,420.6,418.25,412.65,407.9,403.7,402.25,400.25,398.95,398.35,397.65,400.3,401.9,402.15,402.05,404.05,406.3,409.3,411.55,415.1,418.35,420.9,423.85,427.85,432.2,437.1,439.75,444.25,449.9,455.75,461.45,466.45,472.15,478.75,485.45,491.35,498.7,508.15,515.9,523.25,530.5,539.85,550.4,559.25,570.45,581.25,592.25,603.5,615.1,628.25,640.8,653.4,666.7,680.9,696.1,710.45,723,731.75,742.45,752.4,761,766.15,769.1,774.45,776.9,779.6,781.95,780.9,776.8,771.1,762.3,753.3,739.8,724.45,708.7,694.65,680.8,667.9,654.3,640.55,627.45,611.55,595,577.3,559.75,543.15,526.05,512.05,499.5,487.2,477.4,463.1,451.15,442.15,431.3,420.9,411.25,401.25,392.8,384.75,376.35,371.5,365,358.7,353.1,346.65,341.6,335.15,328.6,323.45,319.85,317.05,314,307.7,303.75,299.05,293.9,290.75,287.25,284.35,280.9,276.7,274.55,271.65,268.65,265.85,261.9,259.45,257.75,255.25,252.6,250.65,248.6,248.15,247.8,247.75,248.2,245.75,242.8,239.4,236.55,234.35,233,232.1,232,231.95,231.4,230.65,229.75,227.95,225.15,223.3,222.75,221.25,219.1,217.35,216.15,215.85,215.25,214.9,214.35,212.8,210.05,207.8,205.7,205.3,205,204.1,202.5,201.9,200.9,200,198.8,198.15,196.95,194.75,192.95,191.1,190.3,190.3,190.8,192.4,194.95,197.7,199.45,198.2,197.5,196.6,196.6,195.35,194.4,194.3,194.75,195.9,197.9,200.6,202.25,203.4,203.65,202.45,202,200.1,197.15,194.2,192.25,190.95,189.95,188.45,187,187,187.6,187.95,188.25,188.55,188.85,188.75,187.55,187.1,187.55,187.75,187.8,188.4,190.6,192.4,193.7,194.8,195.4,197.2,198.65,199.3,200,200.8,201.35,200.7,199.15,196.8,195.05,193.3,190.5,188.6,185.85,184.1,182.3,182.2,182.15,182.2,181.85,180.25,178.4,176.4,173.55,170.85,168.2,166.5,165.65,164.9,165,165.1,165.7,165.95,166,166.8,168.05,168.2,158.55,149.3,140.65,132.5,124.65,116.6,108.85,100.9,93.1,Succulents
3,183.9,202.85,222.9,243.5,264.65,286.25,308.65,333.8,359,382.9,408.65,424.7,430.8,433.05,432.7,433.35,435.35,435.65,436.55,438.05,440.4,441.3,441.15,440.6,438.5,436.25,432.85,427.5,423.1,420.45,414.7,410.1,406,404.65,402.1,400.7,399.75,399.35,401.05,402.5,403.1,403.8,404.6,406.1,409.1,411.4,415,418.5,421.7,424.65,428.55,433,437.65,440.8,447.5,452.4,458,463.45,469.05,475.45,482.55,489,495.35,501.35,508.4,516.85,523.95,532.45,542.45,552.85,561.85,571.95,582.1,592.95,602.6,615.7,628.65,641.45,654.65,667.45,681.4,696.7,710.85,724.35,735.8,745.55,757.4,765.4,769.9,773.4,779.05,782.15,785.35,787.55,786.95,782.65,776.95,768.35,758.8,745.25,731.55,715.95,702.1,688.2,674.15,660.75,645.1,630.9,614.4,597.1,578.5,560.75,544.05,527.15,512.7,499.55,487.75,477.9,466.75,455.85,445.15,436.55,424.85,414.4,404.5,395.45,387.5,379.7,373.1,366.4,360.65,355.1,350.3,344.9,338.5,332.8,327.4,322.75,316.9,312.35,305.85,300,296.6,291.25,288.2,285.5,281.85,278.6,275.75,273.1,269.6,269.9,268.35,266.15,265.8,265.7,264.3,262.3,259.95,257.9,256.45,254.25,253.5,253.15,250.95,247.4,244.6,241.3,239.95,238.4,237,231.95,227.55,223.7,220.8,218.1,215.35,212.65,210.4,208.9,207,204.9,204.1,202.85,199.95,198.25,197.1,196.05,194.75,194.05,193.7,193.4,193.4,194.6,194.45,193.8,193.55,192.75,193.9,194.55,195.25,195.7,193,192.65,194.75,196.6,197.25,198.05,199.5,200.85,202.7,204.15,204.9,205.45,204.95,205.15,204.8,205,205,206.45,208.7,211.1,213.5,214.25,213.5,211.8,210.05,208.25,205.8,203.55,200.8,199.15,197.1,194.95,192.75,190.2,188.5,186.9,185.45,183.55,181.95,180.55,179.55,178.65,178.3,178.25,178.25,179.85,181.6,182.95,184.25,184.7,185.5,185.7,185.8,185.4,184.95,184.6,184.1,183.1,181.4,179.85,178.35,177.45,176.25,174.55,173.5,171.05,168.35,166.9,167.3,167.25,167.45,167.5,167.5,167.35,166.9,166.35,166.5,167.25,167.35,167.7,168.9,169.9,170.75,171.95,172.7,172.5,172.85,172.95,171.55,162.5,153.35,144.9,136.65,128.65,120.5,112.35,103.55,94.8,Succulents
4,180.55,200.05,220.8,241.15,261.95,283.45,305.85,331.45,357,381,406.55,421.95,427.9,431.05,433.55,436.15,437.35,437.05,437.5,439.65,442.45,442.65,440.55,438.55,436.55,433.85,430,424.5,420.45,417.8,413.25,408.7,404.4,400.6,397.9,395.4,393.95,393,394.8,395.65,395.55,396.05,398.2,401.05,405.3,409.45,413.5,415.65,418.45,421.25,424.25,428.5,433.55,438.65,444.35,450.9,458,464.25,469.9,476.3,483.25,490.15,497.4,504.1,510.5,517.6,524.3,534.05,543.55,553.95,562.75,573.25,583.35,594.3,605.25,617.15,628.85,640.3,652.9,665.7,678.75,693.5,706.25,718.75,729.9,739.9,749.65,756.75,761.4,764.3,769.45,772.75,776.45,778.75,777.85,772.85,767.4,759.65,750.95,738.25,724.45,709,695.2,681.8,668,654.2,640.95,627.4,613.55,596.95,579.05,563.65,546.55,529.45,515.5,503.9,491.85,481.6,467.45,455.05,446,435.4,424,413.8,403.85,395.75,387.85,380.2,371.25,364.5,358.2,349.65,342.7,336.9,330.15,323.1,318.1,313.8,310.45,306.65,301.65,300.05,298.1,293.9,291,287,283.4,280,277.85,276.5,274.45,271.95,269.2,265.9,264.9,265,263.6,261.8,260.25,258.85,256.55,253.1,251.8,250.5,247.8,245.3,242.5,238.9,236.25,233.75,231.95,230.35,229,230.05,228.25,224.2,221.25,218.15,215.45,214.7,213.55,211.3,208.45,207.4,207.4,206.75,206.2,206.2,204.85,203.85,202.25,201.1,201.2,199.9,199.25,199.95,199.65,198.35,197.9,196.95,195.55,195.5,194.4,193.5,193.25,193.5,193.5,193.5,194.8,195.95,198.2,201.2,201.7,200.7,198.55,196.75,195.05,195.2,196.45,198.05,201.3,203.35,205,205.9,206,205.35,205.4,205.1,203.75,202.2,199.75,196.3,194.65,193.15,192.4,192.55,191.45,189.95,188.5,185.65,183,181.05,180.05,179.65,178.6,177.65,176.4,175.65,175.75,176.75,178.7,181.15,183.4,185.35,187.8,188.65,190.15,191.4,190.6,191,190.2,189.7,188.5,186.85,184.9,183.25,181.6,180,180.15,179.95,180.25,179.7,177.95,176.3,174.1,172.2,170.35,168.85,169.85,170.45,170.9,170.65,170.85,170.5,170.2,170.3,170.7,170.85,170.3,169.5,168.25,158.7,150,141.6,133.5,125.55,117.85,109.9,100.75,91.95,Succulents
5,180.1,199.6,218.95,239.15,259.7,281.3,303.7,329.15,354.85,379.55,403.55,419,425.45,428.85,431.4,433.45,436.05,435.9,436.3,437.65,439.75,439.95,439,437.35,435.7,432.85,429.2,424.05,419.65,416.35,412.5,407.7,402.9,399.75,397.4,397.1,396.1,395.1,396.9,397.55,397.85,398.55,401.25,404.15,407.2,410.05,413.8,416.85,418.9,421.75,425.25,430.1,434.7,439.2,444.25,449.7,455.7,461.95,467.6,474.2,479.15,486.45,492.2,498.4,505.15,513.3,522.4,529.9,540.2,549.95,559.45,569.7,580.3,590.95,602.15,613.6,626.35,639,652.4,665.75,681.25,695.4,709.3,722.4,734,744.05,751.75,759.9,764.45,768.35,773.25,777.05,780.6,783.4,782.75,777.85,771.7,763.45,752.2,738.45,723.4,708.55,695.05,680.95,667.7,654.3,640.9,627.75,612.2,595.5,577.65,559.35,542.45,525.2,511.1,499.45,487.6,477.3,465,453.5,444.65,433.5,421.45,411.85,401.5,392.9,384.95,376.85,369.8,362.9,355.8,351.7,345.2,339.75,332.65,325.4,319.7,314.9,310.7,306.1,302.15,298.65,295.95,290.65,287.75,284.25,280.35,277.3,274.35,271.5,269.6,265.45,262.6,258.55,257.35,257.2,256.2,254.95,254.3,253.2,249.85,247.95,247.75,246.85,244.4,240.95,238.5,234.65,233.1,231.65,230.05,228.3,226.25,223.8,222.5,221.2,219.5,216.95,214.5,213.3,211.45,209.1,206,205.85,205.45,205.45,204.6,203.5,201.65,199.65,198.1,196.5,196.9,199.25,198.75,195.95,193.45,191.15,192.5,193.3,194.45,196.15,196.2,195.5,195.3,195.45,195.9,197.05,199.05,202.35,204.95,207.65,208.75,208.55,206.45,206.45,206,206.6,205.45,205.45,206.5,206.65,207,206.7,206.45,205.45,205.65,204.95,203.05,202.4,201.85,200.65,199.2,196.9,195.95,195.45,195.15,194.2,193.4,192.4,190.25,189.65,189.85,190.25,190.1,190.95,190.55,191.3,192.75,192.8,192.9,193.75,194.4,196.4,198.05,198.6,198.85,198.2,197.2,195.7,194.9,193.5,192.05,189.95,187.85,185.05,182.15,179.2,176.45,173.85,173.1,171.7,170.15,168.5,167.2,165.6,164.4,164.3,164,164.35,164.55,164.7,164.3,164.15,163.95,164.75,164.85,165.4,165.35,165.35,163.75,154.95,146.85,138.6,130.4,122.5,114.4,106.15,98.1,89.8,Succulents
6,181.8,201.15,221.2,241.15,261.8,283.8,306.5,331.1,356.2,379.65,404.75,420.15,426.2,430.55,433.2,434.5,436.25,436.5,436.95,438.1,439.9,440.5,438.8,440.1,439.85,438.15,434.75,429.35,425.35,423.2,417.65,412.6,407.95,404.3,401.7,400.95,400.4,399.7,401.2,401.8,401.85,401.75,404.05,403.75,405.3,407.05,410.15,414.15,416.95,419.6,424.1,428.45,433.55,438.5,444.1,450.05,455.4,460.75,466.75,472.85,478.95,486.8,493.15,500.25,507.35,515.2,522.15,531.35,541.05,551.5,560.3,571.05,581.75,592.4,603.45,614.45,627.3,639.85,652.6,666.25,681.45,695.7,709.65,722.4,733.2,743.15,753.3,759.8,765.2,768.55,774.15,775.75,777.95,779.3,777.7,773.8,767.75,759.05,750.05,736.55,721.2,705.65,691.85,677.8,664.45,651,637.65,624.6,608.1,592.15,574.05,557.85,541.8,525.7,511.6,498.6,485.85,475.9,461.45,449.15,437.6,427.95,418.75,409.2,399.65,390.15,381.65,374,367.1,359.45,353.4,347.4,339.85,333.85,327.75,321.95,318.35,315.05,311.55,308.1,303.9,298.95,292.25,288.9,286,283.4,279.7,276.15,273.8,271.75,268.5,266.1,264.25,263.4,263.05,262.85,260.85,257.85,255.8,254.25,253.75,251.5,251.5,248.7,245.9,243,240.15,237.55,235.5,233.95,232.4,230.3,228,223.9,220.8,218.2,215.6,213.5,212.35,212.25,212.5,212.7,211.85,211.35,210.5,209.6,209.45,208.35,207.85,207.45,207.85,209.05,210.05,211.8,212.45,211.95,211.25,209.6,208.6,207.35,204.95,203.45,201.1,199.95,200.2,200.5,200.35,200.3,200.55,201.4,202.2,202.65,203,202.05,199.65,198.15,195.75,196.35,197.75,199.05,200.6,203.25,205.55,206.9,206.3,205.45,205.35,204.35,203,200.1,197.6,195.2,193.05,190.9,189.75,188.6,188.4,186.4,184.3,182.4,181.3,179.6,178.25,176.9,176.15,176.05,175.4,176.2,176.1,178.55,180.9,183.3,186.3,189.35,191.65,192.85,194.05,194.4,193.75,192.5,191.6,190.35,189.1,187.55,186.35,184.4,183,180.4,178.8,176.25,175.45,174.5,172.3,169.9,167.8,166.25,164.8,163.65,163.85,164.4,164.5,164.95,165.05,165.3,165.15,165.85,165.25,165.35,165.65,166.1,165.2,155.8,147.2,139.05,131.05,123.15,115.2,107.3,99.05,90.95,Succulents
7,181.9,201.05,220.65,240.4,261,282.15,304.15,329.45,354.85,378.85,404.55,421.4,427.5,430.65,432.75,436.1,438.7,438.1,438.85,439.9,442.5,443.65,442.55,441.05,439.05,436.85,433.8,428.8,423.85,420.85,415.2,409.5,404.75,400.55,398.05,394.55,393.4,393.6,395.2,396.2,395.9,396.1,397.8,400.8,404.05,406.8,411,413.75,417.5,419.75,423.35,427.3,432.1,437.3,443.1,449.1,454.25,460.35,466.15,472.25,478.9,485.75,492.7,499.7,506.95,515.1,520.9,529.65,538.7,550.05,559.2,570.2,580.9,592,602.55,614.1,627.55,639.2,650.7,663.05,677.65,693.05,706.9,719.3,730.35,740.85,751.25,758.75,763.2,766.15,771.75,774.55,777.3,778.65,777.9,774.2,768.1,760.05,752.2,739.6,724.25,708.05,694,680.45,667.45,653.7,637.6,623.25,607.5,590.9,574.9,558.35,544.55,528.75,514.05,501.25,489.8,480.25,466.35,454.75,446,435.4,423.6,413.3,402.8,393.9,388.4,379.05,371.9,364.9,356.6,349.6,339.75,333.7,327.9,321.35,315.75,311.65,308.5,305.15,299.7,295.8,292.05,289.15,286.5,281,276.85,275.8,273.6,271.2,268.4,265.6,263.75,260,258.55,257.95,256.4,253.75,251.9,250.25,248.15,246.85,247.35,244.85,241.8,241,238.45,235.95,234.45,232.3,229.45,226.75,223.6,220.85,218.4,214.55,211.95,208.5,206.8,204.35,202.3,199.6,197.2,196.8,196.8,196.15,196.35,194.35,193.1,192.2,192.35,192.9,194.2,196.65,196.9,198.4,198.25,198.25,197.25,197.6,197.6,197.65,196.25,195.15,195.2,195.2,194.85,196.1,196.8,199.45,201.25,202.8,201.95,199.85,197.05,194.5,191.6,190.05,189.9,190.65,192,194.6,197.65,198.05,197.7,197.6,197.35,196.7,195.7,192.9,190.55,188.45,187.85,187.35,187.15,187.25,187.45,187.45,186,184.3,183.35,182.65,181.35,180.8,179.65,178.55,178.35,178.85,180.3,182.7,185.25,188.05,189.85,190.85,191,191.15,190.75,189.65,189.65,189.4,188.65,186.75,185.3,184.2,182.85,181.75,179.6,176.6,173.5,171.1,169.35,167.55,166.45,166.35,166.95,166.2,166.1,166,166.1,166.5,166.6,166.65,166.35,165.85,165.6,165.6,165.6,165.5,165.9,165.75,164.95,156.05,147.4,138.7,130.15,122.15,114.1,106.2,98,89.8,Succulents
8,179.95,199.15,219.1,239.6,260.7,284.05,307.2,331.3,356.6,380.5,406.65,423.5,429.7,433.1,436.2,438,439.25,438.15,438.4,439.45,442.2,443.2,442.45,440.65,438.2,433.65,429.75,425.6,421.4,418.7,412.6,407.15,402.85,399.6,396.85,395.25,395.65,396.6,398.6,400.35,400.95,401.6,402.45,404.6,407.4,410,413.25,416.6,419.45,422.05,426,429.7,434.45,439.05,444.4,450.55,455.65,460.7,466.9,470.95,476.6,483.05,490.3,497.35,505.2,513.9,520.6,529.65,536.6,545.95,554.75,566.75,577.2,588.2,599.4,611.1,624.15,636.65,649.25,664.4,679.25,694.35,708.25,721.35,732.25,741.95,752.2,759.4,766.75,770.8,776.35,778.5,782,784.4,783.7,779.9,773.65,764.9,755.6,741.55,726.7,711.1,697.4,682.95,669.4,655.6,641.95,627.4,611.1,596.9,578.95,561.65,544.6,527.65,513.05,499.35,487.35,478.2,465.1,453.25,443.5,432.45,420.6,410.75,400.3,391.85,384,377.5,371.3,362.4,356.4,350.3,342.85,338.6,333.7,328,322.85,315.1,309.5,305.25,298.75,294.65,290.35,285.9,283.8,280.75,277,273.45,271.25,269.4,266.15,263.6,262.05,256.95,253.65,252.95,250.95,251.7,251.75,251.05,250.35,248.35,247.9,246.7,242.9,238.75,236.4,232.2,230,227.45,225.8,223.85,220.9,218.5,216.8,215.75,214.75,212.9,211.4,210.9,211.1,211,210.65,210.15,210.7,210.8,209.95,208.5,206.35,205.15,203.6,202.45,203.15,205,205.4,204.25,203.45,201.85,200.55,201.35,201.25,202.15,200.85,200.85,201.25,201.95,202.25,203.6,205.15,207.45,210.2,212.45,214.2,214.1,213.25,212.95,212.45,212.55,213.35,212.55,212.75,213.35,215.1,215.15,214.35,214.05,212.85,211.35,209.25,206.75,204.2,201.95,199.2,197.35,195.2,193.35,192.05,191.15,189.9,189,187.55,185.65,184.15,183.3,183.35,183.3,184,185.4,187.35,190.2,192.65,194.5,196.35,198.05,200,201.05,200.6,198.85,197.95,196.5,195.05,194,192.95,191.05,188.45,185.7,183.5,181.1,178.9,175.95,174.7,173.4,171.65,169.85,168.35,166.55,164.9,164.7,164.45,164.5,164.7,164.75,164.6,164.9,164.9,165.25,164.9,164.75,164.85,165,164.05,155.35,147.2,139,130.6,122.45,114.65,106.75,98.6,90.55,Succulents
9,179.1,198.55,218.55,239.05,259.65,280.95,303.65,328.55,353.9,377.45,402.6,418.6,424.6,426.9,428.8,430.1,431.2,433.55,434.35,434.5,437.05,437.6,436.7,434.65,432.65,429.65,427.85,421.6,417.55,412.55,406.55,401.7,397.3,393.95,391.75,390.7,390.1,389.85,392.2,394.05,394.25,394.7,395.6,398.45,401.75,404.9,406.4,410.95,413.3,418.8,423.3,427.75,432.4,437.45,442.9,449.3,455.4,460.75,464.75,469.8,475.95,482.75,489.95,496.45,504.1,512.5,519.65,528.7,537.9,547.75,556.95,568,578.85,590.05,601.35,613.1,625.5,638,652.5,667.3,682.2,696.9,710.8,724.1,734.95,745.1,755.05,762.15,767.5,771.5,775.6,779.25,782.75,784.15,783.25,778.9,773.65,765.3,755.6,741.7,726.5,710.95,697.05,682.6,669.05,655.35,642.05,628.7,612.85,596.3,579.6,561.55,544.35,527.8,513.1,500.4,488.1,478,464.75,453.15,444.4,433.75,422.15,412.75,403.1,395.4,386.5,378.05,370.6,362.95,357,350.25,342.55,336.9,330.85,324.7,320,316.25,312.5,309.05,303.35,298.95,295.05,289.2,285.9,281.75,279,276.35,274.05,272.05,269.05,266.75,265.15,261.8,259.15,255.55,251.75,246.4,242.95,240.45,238.5,237.9,238.15,237.6,234.65,231.35,227.8,225,224.2,223.4,222.8,221.75,220.3,219.25,218.7,219.15,218.3,217.8,218.2,217.95,217.25,215.85,214.15,214.2,213.9,213.35,213.6,212.8,211.7,211,209.9,208.85,208.45,209,208.6,208.45,208.45,208.3,207.85,207.2,206.65,206.7,205.4,205.1,205.25,205.45,205,204.8,204.95,204.6,204.4,204.2,202.9,200.35,197.25,195,193,191.65,189.9,191.2,192.55,193.75,196.05,196.3,195.75,195.8,196.35,195.65,195.4,195.55,195.7,196.05,196.55,196.95,197.15,196.45,195.8,195.7,196.25,195.05,194.15,193.05,191.5,190.9,191.45,191.05,189.9,190.45,190.8,191.9,192.1,193.1,194,194.6,196.1,197.4,197.7,196.55,195.7,194.45,192.5,191,189,186.75,183.55,181.6,179.75,176.9,174.2,171.35,171.25,170.35,169.15,168.6,167.5,165.8,164.5,164.5,164.1,163.85,163.7,163.85,164.75,165.45,165.7,165.5,165.4,165.55,166,166.35,165.9,156.8,148.55,140.3,131.9,124.2,116.5,108.45,100.35,92.25,Succulents
