,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,Deformation
0,167.05,186.85,207,227.1,247.4,267.4,286.85,306.55,324.9,343.5,361.65,370.75,371.7,373.3,373.6,374.05,375.9,378.55,381.5,384.15,388.7,392.45,396.3,400.75,405.05,409.9,415.35,420.05,426.15,430.55,434.95,439.65,443.1,445.15,447.95,449.85,450.7,449.45,449.3,447.95,442.85,438.5,433.25,428.55,422.8,416.1,409.05,403.55,398.25,394.1,389.1,383.65,379,374.6,371.15,368.65,366.05,363.9,362.8,362.6,363.15,362.5,362.95,362.85,363.9,365.95,368.05,369.65,371.6,373.75,376.65,380.5,384.85,390.4,394.75,399.6,405.1,409.6,413.45,416.65,419.8,423.4,427.15,430.15,433.4,437.2,441.3,445.1,449.5,453.4,457.8,461.55,465.45,468.45,473.85,478.6,483.5,489.75,493.5,500.45,506.25,512.7,518.85,526,533.35,540.6,547.55,556.5,566.3,577.25,586,597.2,607.2,617.95,628.8,640,653.05,665.25,682.25,697.1,711.75,727.2,742.7,756.95,770.3,784.5,799,811.65,824.05,837.55,852.1,867.65,884.15,898,908.5,917.05,920.65,922.5,917.9,914.3,910.15,904.75,898.45,891.1,882.25,871.15,860.4,848.7,831.25,810.3,789.95,766.3,741.55,718.1,695.85,675.15,656.7,639.65,621.9,601.9,583.75,565.45,548.3,532.25,517.15,502.45,487.1,473,462.3,450,437.5,428.4,418.45,409.2,400.55,389.6,380.8,372.1,365.95,359.15,352.6,345.95,338.9,333.45,328.15,323.15,317.45,309.55,302.1,297.9,293.85,286.85,282.55,278.5,274.5,272.3,267.8,262,257.65,254.8,252.05,249.4,246.1,241.95,240,237.1,235.65,236.45,236.9,235.8,235.4,234.95,233.35,231.5,229.35,227.45,225.7,225.55,225.55,225.55,225.65,225.5,225.6,225.45,223.3,222.4,220.15,216.6,212.3,209.4,206.85,204.3,201.75,198.7,196.3,193.95,191.35,189.3,187.55,186.15,184.45,182.9,181.75,181,181.75,181.6,182.8,184.2,186.85,189.4,191.15,191.65,192.85,193.5,193.85,193.55,194.35,194.5,193.35,191.8,190.1,189.35,187.9,185.85,182.75,180,176.85,175.3,173.3,172.1,173.05,173.75,173.15,172.45,173.05,173.9,173.1,171.6,171.8,171.8,171.9,170.9,170.75,170.5,170.3,170.9,170.7,169.6,168.85,167.95,165.4,156.05,147.45,139.7,130.3,121.25,113.1,105.45,97.15,89.15,flat
1,166.1,185.15,204.7,224.65,244.5,264.25,283.3,303.6,321.3,338.9,355.8,364.75,364.45,364.45,364.2,364.15,366.15,369.2,372,375.05,380.4,385.05,388.95,392.9,398.05,403.5,409.45,413.5,420.25,426.25,432,436.45,440.9,445.25,448.55,450.65,451.65,450.7,450.7,449.7,444.7,439.95,434.75,428.8,421.6,414.05,406.7,401.45,396.45,392.05,386.65,382.4,378.4,373.65,369.7,366.9,364.7,362.3,361.7,361.25,361.75,361.3,361.45,362.45,364.5,366.15,368.6,370.15,371.6,373.3,376.8,380.2,383.8,388.1,393,397.7,402.3,406.45,410.15,413.05,415.85,419.15,423.55,427.45,430.95,435.4,439.4,442.55,447.25,450.7,454.5,458.3,461.9,465.4,470.35,475.65,480.05,487.4,491.05,496.95,503.3,510.4,517.05,523.7,531.35,539.35,547.8,557.15,566.6,577.65,588.15,600,610.75,621.45,634.05,645.6,660,671.85,688.25,704.3,718.95,734.05,749,764.15,777.95,791.75,805.5,818.6,830.6,846.35,862.35,877.4,892.65,905.3,912.9,920.55,923.65,924.8,920.7,914.9,908.7,902.65,896.25,888.65,878.95,868.55,857.5,845.4,828.3,805.75,782.45,759.1,736.1,714.35,693.75,673.65,655.7,638.55,620.3,602.3,586.15,570.3,554.1,536.35,521.3,505.15,487.05,471.55,460.05,447.95,436.05,423.9,412.65,401.7,392.95,383.75,375.55,367.1,360.55,353.95,346.85,338.05,330.25,325.4,319.5,314.9,312.25,306.55,300.05,295.7,291.65,287,283.75,279.35,274,268.25,262.95,257.15,253.5,250.15,247.3,244.85,241.45,238.35,236.05,233.75,231,229.6,229.4,227.1,225.15,223.35,220.7,218.85,215.25,213.75,212.2,211.7,211.65,212,212.45,212.65,212.2,211,210.3,209.2,208.15,207.6,206.2,206.1,204.5,203.15,200.9,199.5,199.3,198.05,196.2,194.9,193.15,191.7,189.7,188.15,187.9,188.4,187.8,187.6,187.85,187.95,188.5,189.55,191.4,192.8,194.35,194.9,195.25,195.05,194.55,195.05,194.8,194.7,193.45,191.7,190.05,187.5,184.8,182,179.45,176.55,173.9,171.45,171.25,171.5,170.45,170.25,169.55,169.4,168.85,167.15,165.75,164.15,164.15,164.5,164.05,163.95,164.3,164.3,164.2,164.05,164.9,167.3,167.5,158,149.7,141.6,133.8,125.65,117.7,109.75,102.25,94.5,flat
2,166.35,185.85,206.05,225.9,245.8,265.8,284.7,304.65,322.9,341.35,358.45,366,366.3,366.3,365.85,366.2,367.9,372.5,375.25,378.75,382.1,385.55,389.4,395.6,401.5,407.05,412.85,417.05,423,427.95,433.85,439.4,443.65,446.7,449.65,452.05,453.9,452.9,453.1,451.9,447.7,443.55,437.45,429.45,421.45,413.3,405.5,400.45,395.5,391.65,386.2,381.45,377.75,374,372.55,368.85,365.8,364.05,360.9,360.15,360.2,359.2,359.8,361.2,363.25,365.55,368.6,369.6,371.1,373.15,376.1,378.95,382.4,387.05,389.75,394.85,399.9,403.7,409.3,413.05,416.5,420.5,424.4,427.8,431.25,435.45,438.7,442.9,447.4,451.15,455.25,459.4,465.15,468.85,474,479.7,485.4,492.25,496.1,502.7,508.95,516.4,523.5,530.6,538.6,546.25,555.75,564.35,573.7,583.65,594.05,605.4,614.1,624.6,635.2,646.05,658.8,670.45,686,698.55,711.95,726.75,742.95,757.65,770.9,785.25,799.2,812.45,825.45,838.2,851.45,866.85,882.9,897.55,908.5,916.7,919.3,921.55,919.2,915.8,911.75,905.35,897.45,890.3,880.45,868.9,856.75,844.75,827.2,808,788.8,766.05,742.6,719.4,697.45,677.6,660.5,642.85,624.4,606.85,589.45,571.65,554.85,537.8,523.3,508.85,494,478.8,467.5,454.9,441.35,428.85,416.8,405.25,396.3,386.95,378.55,369.9,362.55,355.55,348.85,341.95,334.9,327.15,321.1,313.75,308.35,301.9,295.5,291,286.95,282.75,279.45,276.35,271.55,266.5,261.1,255.5,251.75,248.45,244.7,242.85,239.8,238.2,235.7,234.75,231.8,231.1,230.45,229.05,228.45,227.6,225.8,224.15,222.25,221.7,220.45,220,220.15,220.4,221.55,220.4,219.35,218.4,216.9,215.4,213.6,211.35,207.85,205.15,202.8,200.05,197.45,194.55,191.9,189.3,187.2,185.85,184.45,182.5,180.55,178.9,177.95,176.15,175.3,175.4,175.5,176.3,178.95,180.75,181.85,183.25,184.9,186.05,187.6,187.85,188.8,188.65,187.3,186.4,185.1,184.95,184,183.6,182.25,180.3,178.85,176.85,174.85,173.8,174.1,173.45,171.9,170.9,169.2,168,166,164.45,165.95,167,167.1,167,166.95,166.9,167.05,166.85,166.65,166.5,165.9,166.3,165.3,156.45,148.4,140.35,132.5,124.35,116.5,108.85,99.4,90.2,flat
3,167.4,186.8,207.05,227.45,247.75,267.45,286.35,305.7,323.05,341.35,358.6,366.85,367.2,367.55,366.95,367.9,370.45,373.15,375.95,379.4,383.75,388.5,392.35,396.6,401.15,406.9,412.8,418.2,424.7,429.35,434,438.55,442.65,445.5,448.65,449.85,450.5,448.9,448.9,447.75,443.45,438.7,432.6,426.05,420.5,415,408.6,401.4,397.05,393.45,389.3,385.4,381.75,377.85,374.55,371.2,368.55,366.35,364.8,364.7,364.3,363.05,363.25,363.75,363.35,363.25,364.85,367.9,369.65,371.35,374,377.2,380.8,385.35,390,395,398.6,403.1,407,410.2,414.15,418.8,423.7,428,432.5,436.8,440.75,444.3,447.9,451.6,455.65,459.45,463.6,467.6,472.7,478.4,485.4,491.9,495.9,502.4,508.2,514.15,520.3,527.25,534.7,541.85,550.45,559.5,568.05,578.5,589.35,599.95,609.75,619.7,630.3,641.3,653.95,665.8,682.45,697.15,711.55,726.8,742.2,756.85,771.15,786.05,800.15,812.75,826,838.75,851.75,868.15,884.7,899.7,910.75,919.55,923.25,925.15,921.35,915.4,910.6,904.65,897.9,888.9,879.1,867.95,856.05,844.25,827.7,808.85,788.75,765.15,740.8,716.95,694.6,673.7,655.95,638.6,620.45,602.85,585,567.2,550.5,535.5,520.25,505,489.45,475.2,464.75,452.6,440.35,428.6,418.65,410.9,402.75,393.3,382.95,371.75,363.85,357.3,350.7,343.85,336.7,330.45,324.45,318.85,314.05,307.9,301.5,297.35,293.65,289.3,284.55,278.2,272.95,268.65,265.35,262.05,259.3,256,253.4,250.95,247.45,244.85,242.95,240.45,237.9,235.35,233.5,231.35,229.85,229.15,227.45,225.75,223.1,221.55,219.75,219.6,219.55,219.85,219.9,220.25,220.75,220.05,217.9,216.2,214.3,214.15,213.05,212.5,211.6,209.9,207.75,205.2,203.3,200.9,197.85,195.25,192.6,190.7,188.65,186.75,186,185.85,186.6,187.3,187.9,187.65,188.35,189.2,190.15,191.45,193.1,194.75,196,197.45,199.7,202.55,204.65,205.55,205.55,205.35,203.55,200.75,198,195.1,192.9,190.6,189.15,188.75,189,188.75,187.95,186.45,185,184.2,182.85,179.85,177.35,175.1,174,172.8,172.05,171.85,171.75,172.1,171.8,171.3,170.05,167.25,165.15,155.05,145.95,137.9,130.15,120.9,112.1,104.2,96.4,88.65,flat
4,167.2,186.65,206.25,225.65,245.6,265.8,285.1,305.15,323,341.2,358.45,367.15,367.6,367.45,367.65,368.4,370.3,373.15,375.25,377.8,381.5,386.2,390.15,394.85,399.55,404.15,409.05,413.6,419.95,424.55,429.4,434.8,438.65,442.35,444.9,446.85,448.2,447.85,447.9,447.35,442.3,437.35,432.1,426.2,419.75,412.8,405.55,399.75,394.8,391.9,387.8,382.9,379.3,375.6,371.95,369.05,366.4,363.35,362.5,361.45,361.7,361.05,360.95,362.25,363.75,365.7,368.8,370.2,371.6,372.65,375.1,378.25,381.6,386.25,391.5,395.9,400.25,404.85,408.6,412.8,416.55,419.55,424.3,428.1,431.9,436.25,440.55,444.65,449.4,452.6,456.9,461.35,465.25,468.35,473.1,479.25,485.05,491.6,497,503.15,509,516.85,523.35,529.55,537,544.25,553.05,562.3,571.85,583.3,593.9,602.85,614,624.5,635.35,645.35,657.8,669.9,684.75,699.6,714.45,728.95,744.05,758.65,771.75,785.8,798.95,811.2,824.15,836.65,852.1,869.7,885.35,900.9,913.7,923.95,928.3,929.75,925.95,920.05,913.45,907.25,900.45,893.4,884.15,873.65,861.95,850.4,832.8,813.1,789.55,765.4,740.85,716.15,691.8,670.1,651.8,634.1,615.35,597.25,582.05,564.3,547.95,530.45,515.65,498.15,482.9,468.05,457.55,446.45,435.1,423.8,412.95,402.35,394,384.85,375.9,368.3,362.15,355.8,348,341.6,334,328.45,322.65,319.5,314.3,307.65,300.2,295.15,291.35,287,283.3,280.3,276.45,272.5,268.7,264.05,260.5,256.9,254.25,251.3,248.05,245.35,243.15,240.95,238.55,238.05,238,236.5,236.85,236.15,234.6,232.95,230.35,228.3,225.6,223.85,223.6,224.15,223.85,223.35,223,221.95,220.5,218.75,218.55,216.7,214.8,213.65,210.45,207.9,205.35,202.75,199.9,197.7,196.25,194.6,192.8,191.2,189.9,189.55,189.8,190.6,190.9,191.5,190.9,191.35,192,193.05,193.7,195.4,196.7,197.5,198.3,199,199.5,199.85,200.35,199.5,198.05,196.45,193.9,190.75,188.15,185.4,182.45,179.6,176.65,174.65,174.35,173.5,172.8,171.9,171.15,169.45,167.5,165.95,164.25,163.85,163.9,163.85,163.85,164.1,164.1,164,163.9,164.1,163.9,163.4,162.25,153.3,144.75,136.7,128.55,120.75,113.1,105.25,97.25,89.2,flat
5,168.05,187.85,208.7,229.55,249.75,269.25,287.7,306.85,324.65,343.1,360.7,369.5,370.2,370.4,369.6,370.15,372.15,375.05,377.15,379.45,383.25,387.3,389.9,393.2,398.5,403.7,409.3,413.55,419.95,424.7,429.55,433.85,437.8,441.25,444.15,446.45,447.35,446.45,447,445.85,441.1,436.4,431.9,426.7,419.45,412.55,405.6,401,396.4,393.2,389.1,384.9,381,376.8,373.6,370.3,368,365.5,364.75,364.5,364.55,363.5,362.8,362.15,363.1,364.45,367.15,368.8,370.15,371.05,373.2,376.15,379.45,384.25,388.6,393.55,397.85,402.65,406.4,409.7,413.5,417.15,421.55,426.35,430.45,434.65,438.85,442.4,446.1,449.9,453.55,457.45,463.45,467.05,472.5,478.05,484,490.2,493.25,499.65,505.15,512.1,518.8,525.35,533.05,541.25,549.8,558.95,569.2,580.1,591.2,602.85,611.65,621.8,632,642.75,655.25,667.45,684.25,699.55,715.25,729.5,744.65,758.8,772.1,785.6,799,811.55,824.45,837.4,851.3,866.7,882.8,897.2,908.05,916.25,919.15,920.75,916.9,910.65,904.15,897.3,888.9,882.55,874.15,864.1,852.8,840.75,822.9,802.8,781.4,758.15,733.9,711.7,690.2,670.3,653.45,636.2,618.45,600.85,583.95,567.65,552.55,535.7,520.05,505.05,489.75,475.8,464.85,453,441.25,429,417.6,405.45,396.15,386.75,377.3,369.1,362.15,355.6,349.05,343.2,336.25,330.1,323.85,316.35,311,304.3,296.8,291.55,286.8,283.15,280.05,277.45,272.7,268.05,262.6,256.65,252.45,249.55,246.3,243.3,240.15,237.7,235.8,236,234.6,234.3,235.3,234.9,234.55,233.15,230.4,227.4,224.6,223.15,221.55,221.65,221.85,220.35,219.7,218.9,218.2,216.7,215.8,214.25,212.6,210.55,207.8,205.4,202.3,199.5,197.6,196,194.55,192.35,191.45,189.75,188.2,188.2,187.3,187.15,186.7,186.15,184.65,183.6,183.3,183.85,184.3,187.4,188.75,190.6,192.3,194.25,195.7,196.9,197.25,197.8,198.9,199.6,200.2,199.25,197.5,195.6,193.75,191.75,189.05,186.1,184.1,181.15,182,181.7,181.1,179.25,177.65,175.75,174.55,172.45,170.2,167.8,167,166.95,167.85,169.15,169.4,169.2,170.1,170.1,170.1,169.35,167.3,157.95,149.1,141,133.1,125.15,117,109.2,101.1,93.35,flat
6,170.15,189.9,210.25,230.55,250.6,270.2,289,308.4,326.3,344.45,361.85,371.25,371.3,370.65,371.65,372.95,375.6,376.9,379.15,382.55,385.95,390.3,394.05,398.2,403.3,408.25,413.9,418.7,425.2,430.15,434.5,438.25,441.65,444.95,445.95,447.35,447.7,448.35,448.4,446.7,441.95,437.05,430.75,424.4,417.4,410.5,404.6,398,393.3,387.75,382.4,378.15,374.9,371.2,368.15,365.05,362.3,359.65,358.95,358.2,358.5,357.65,357.9,358.35,359.1,361.25,362.35,365.1,366.6,370.1,374.05,377.25,380.6,384.75,389.65,394.1,400.15,404.75,407.45,410.9,414.5,418.45,423.75,427.7,432.3,435.9,439.85,443.2,447.1,450.6,454.85,458.7,463,467.25,472.15,478.45,483.05,489,493.35,500.15,505.65,512.65,518.95,526.45,533.9,541.8,550.9,560.45,570.6,581.4,592.45,602.55,613.2,625.1,636.1,646.75,658.85,671.7,688.4,703.55,718.35,732.95,747.85,761.85,775.2,791.15,805.05,818.25,830.85,843.35,855.7,872.6,888.45,901.65,913.05,921.3,924.95,926.2,922.65,916.8,911.15,905.8,899.1,892.25,883.3,871.1,858.65,846.35,828.65,809.7,789.25,765.65,741.45,717,694.2,673.45,655.9,638.9,619.85,601.65,584.45,566.25,550.05,533.6,518.6,503.55,488.6,473.85,462.45,450.1,438.4,426.7,415.3,404.2,394.95,386.25,377.15,366.1,359.2,352.55,345.75,339,331.5,325,318.9,313.2,308.15,301.25,294.2,289.1,284.8,279.95,276.55,273.4,268.7,263.65,259.25,256.1,253.1,250.05,247.6,245,241.4,238.7,235.9,233.1,229.8,228.15,227.65,226.75,226.15,225.6,222.55,219.8,216.65,215.1,213.7,213.35,213.25,213.35,213.4,212.55,211.85,210.8,209.5,207.9,207,205.85,202.6,200.15,196.9,194.95,193.75,192.95,192.2,190.75,188.75,187.05,185,183,181.6,182.2,183.2,183.8,184.55,185.3,186.35,187.3,190.35,193.85,196.75,198.85,201.45,203.15,204.35,205.1,205.35,205.6,204.85,203.95,202.2,199.55,196.6,193.45,190.6,187.75,185.3,183.9,181.8,179.15,177.4,175.8,174.45,172.55,172.2,171.4,170.35,169.1,169.05,168.9,168.55,168.65,168.6,168.75,168.65,168.95,168.65,167.35,166.7,165.75,165.75,156.85,147.7,139.55,130.5,121.55,113.25,105.1,97.05,89.2,flat
7,167.5,187.8,208.25,229.15,248.95,268.8,287.65,306.95,324.55,341.65,358.85,367.7,367.45,367.6,367.35,367.9,369.95,372.75,375.35,378,381.85,385.55,388.9,392.35,397.55,402.5,407.95,413,419.6,425.45,430.25,434.85,439,441.2,444,445.9,447.2,445.95,445.9,444.7,439.95,435.1,429.95,423.95,417,410.05,403.05,397.7,392.5,388.6,383.9,379.55,375.75,372.45,369,365.6,362.85,360.95,360.05,359.15,359.3,358.55,358.1,358.45,359.25,360.75,363.05,364.55,365.85,367.55,371.05,374.55,378.35,382.85,387.65,392.9,397.8,402.15,405.95,409.8,413.05,416.7,421.55,425.8,430.45,435.1,439.2,442.8,447.95,451.75,455.5,459.4,463.4,467.4,472.95,478.15,483.3,489.85,493.4,500.4,508.25,514.8,521.1,527.95,534.65,541.65,551.35,559.9,569.45,579.15,589.35,600.4,611.1,621.2,631.1,642.35,655.6,667.45,684.75,699.5,712.45,728.05,743.25,757.5,771.6,785.65,797.9,811,823.85,837.95,851.25,865.85,881.35,895.5,906.5,914.6,917.75,919.55,915.45,910.2,904.9,898.85,892,885.05,876.25,865.95,854.45,842.75,824.4,804.8,785.2,762.25,738.85,716.2,693.95,673.55,654.85,637.95,621.15,603.15,585.95,567.85,551.75,535.4,519.15,502.65,487.85,471.55,460.15,447.65,434.85,423.45,411.65,400.6,391.1,381.75,373.9,364.75,355.6,348.25,341.35,334.05,326.4,319.75,314.75,310.55,305.85,301,295.2,291,287,282.6,279.25,276.05,272,267.9,264.65,262,260.3,258.1,255.2,253.5,249.4,246.35,243.9,240.85,237.85,236.9,235.6,233.7,232.8,232,230.25,228.3,226.75,225.4,222.5,219.6,218.45,218,217.6,216.7,217.5,217.2,215.85,215.65,214.85,213.65,213.1,211.95,209.45,207.85,205.8,203.75,200.9,199.05,197.65,195.85,194.5,193.7,193.2,192.45,191.35,190.45,190.2,190.2,190.3,190.6,191,192.65,194.8,195.35,196.5,197.25,198.75,198.6,198.8,200,200.45,199.9,199.75,199.6,198.35,196.7,194.55,191.65,189.1,186.4,183.5,180.65,180,179.45,177.9,176.55,175.2,174.05,172.05,169.6,167.3,165.65,164.1,162.8,162.45,162.1,161.85,162,161.95,162.05,163.15,163.65,163,154,145.9,138.2,130.1,122.25,114.55,106.7,98.8,90.9,flat
8,163.2,182.85,202.85,223.35,243.5,263.6,282.6,301.85,319.1,337.1,354.5,362.25,363.25,363.6,363.65,364.85,366.65,370.75,373.6,377.1,382.25,386.6,389.9,393.8,398.4,403.1,408.8,413.6,420.75,425.6,430.1,434.45,438.45,440.95,443.45,445.05,446.55,446.2,446.4,445.6,440.6,435.4,430.05,424.35,417.55,410.05,402.6,398.15,393.6,390.2,385.85,381.85,378.1,374.7,372.15,368.7,365,362.65,359.75,357.3,357.5,357.15,357.45,358.35,360.2,362.65,364.7,365.3,366.4,367.85,370.6,373.55,376.9,381.85,386.25,391.55,396.9,401,406.95,411.85,415.15,418.55,423.15,426.35,429.9,434.2,438.85,442.95,445.5,449.25,454.1,458.4,462.8,467.8,472.5,477.8,483.65,490.5,493.7,500.6,506.8,514.05,520.8,528,535.55,543.05,552.25,561.35,572.9,583.6,593.45,604.9,615.25,624.2,635.1,646.3,659.1,670.7,687.6,702.25,716.95,731.65,747.9,763.95,778.55,795.45,808.85,821.6,833.95,845.75,858.5,873.6,889.55,904.65,916.05,924.2,927.1,928.75,924.35,918.85,913,907.75,900.75,892.4,882.05,868,856.75,845.3,827.75,809.15,788.9,765.6,741.15,716.7,693.9,670.95,653.25,635.5,617.35,599.05,582.1,563.25,545.4,528.2,512.9,497.55,481.6,466.15,455.2,443.65,433,422.3,412.5,402.35,393.65,387.25,379.1,371.5,364.4,357.75,351.25,344.45,337.2,330.65,325.05,320.5,316.15,311.25,306.4,302.7,298.15,292.45,287.3,283.25,278.3,273.8,269,263.4,260.2,257.1,254.2,251.15,247.05,244.2,242.3,240.2,237.7,235.85,234.1,231.65,230,228.5,226.05,223.45,219.9,216.7,214,213.35,212.35,212.45,212.55,213.95,215.25,215.3,213.75,212.35,210.95,209.3,206.75,204.95,202.4,200.45,199.05,197.75,197.1,197,197.05,195.95,196.05,195.15,193.6,191.25,189.65,188.35,188.25,188.1,187.9,187.8,189.05,190.65,191.75,193.7,195.2,195.7,196,194.85,194,193.8,192.9,192,191,190.05,188.65,186.7,184.35,181.2,178.5,176.4,173.6,171.2,171.7,171.05,170.1,169.75,169.15,168.95,167.8,166.6,165.5,164.4,163.85,163.65,164.3,164.5,164.1,164.6,165.35,164.6,165.35,166.2,165.7,156.6,148.15,140.1,132.35,124.45,116.4,108.35,100.5,92.7,flat
9,167.35,187.15,206.8,226.95,247.2,266.85,285.5,305.4,322.85,340.65,358,367.05,367.5,367.1,367.1,368.1,369.25,370.8,373.85,377.8,382.05,386.1,389.8,394.1,398.55,403.55,409.25,413.7,420.25,426.05,431.5,436.15,440.1,443.65,446.4,448,449.75,449.75,449.4,447.55,442.55,437.55,431.85,425.95,419.35,412.55,405.45,399.95,393.5,387.05,380.9,376.3,372.7,369.1,365.2,362,358.85,356.85,355.7,354.9,355.5,354.8,355.3,355.65,357.55,359.3,361.7,363.2,366.55,370.4,374.05,377.35,381.35,385.6,390.85,395.85,400.5,404.55,408.6,412.25,415.3,419.65,424,427.4,430.7,435.1,439.45,443.3,447.6,450.95,455.35,459.1,462.8,466.65,471.8,477.4,483.2,490,493.4,500.05,506.15,513.05,520.05,527.25,535.3,543.05,551.7,561,570.85,582.1,592.25,604.1,616.05,626.75,637.9,650.15,663.6,675.05,689.4,703.15,717.85,732.45,747.45,762.05,774.5,787.8,801.75,814.15,826.7,838.95,852.35,867.65,882.05,896.85,907.7,915.5,918.65,920.8,919.55,915.45,909.6,903.55,896.6,889.65,880.9,867.9,854.6,843.55,826.05,807.25,786.65,762.15,738.35,714.6,692.1,670.05,651.75,634.35,616,597.45,580.45,562.7,546.15,529.55,515.4,502.75,488.3,472.45,462.45,450.15,438,426.9,415.35,404.3,394.9,386.25,377.1,367,359.6,354.6,347.95,340.8,333.7,327.2,320.95,315.7,311.35,304.7,296.35,291.35,287.45,282.95,279.45,276.65,273.4,270.45,267.8,264.95,262,257.55,254.3,252.2,248.95,246.5,243.25,240.9,237.7,236.6,236.6,235.5,234.6,234.1,231.3,228.1,223.75,220,216.95,214.9,215.05,214.85,215.35,215.3,215.75,215.55,215.2,214.45,214.25,213.9,212.7,211.35,208.65,206.5,205,203.3,202.2,201.5,200.15,199.45,198,196.65,194.05,191.35,189.45,187.2,185.45,184.2,183.1,182.75,183.1,184.9,186.75,188.5,189.7,191.15,192.3,192.25,191.9,191.2,190.2,188.6,188,187.85,186.15,185.15,183.65,181.65,180.2,177.8,175.15,172.25,172.15,171,170.95,169.85,168.5,167.05,166.25,165.3,164.85,164.8,165,164.8,165,164.55,164.75,164.85,164.7,164.55,164.95,164.9,164.5,155.5,146.35,138.1,130.15,122.25,113.85,105.9,97.7,89.85,flat
