,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,Deformation
0,165.2,183.8,203.3,223,242.85,263,282.75,303.1,321.45,340.15,357.15,365.9,366.5,366.2,366.45,366.5,367.1,369.1,371.75,374.75,378.9,383.1,387,391.3,396.15,400.7,405.75,409.9,416.3,420.95,426.4,431.15,435.55,440.55,442.95,445.6,447.8,447.85,448.9,448.5,445.2,441.5,436.35,431.25,424.9,418,410.85,405.3,400.05,396.05,391.1,386.1,381.75,377,373.55,369.75,366.7,364,360.15,356.45,354.9,353.15,353.2,352.3,352.6,353.55,354.45,355.55,356.25,357.5,359.8,363.4,367.05,370.65,375.25,380.1,383.9,387.95,393.5,399.95,403.35,407.25,410.75,414.8,419.3,423.85,428.4,431.35,435.55,438.5,442.95,446.45,450.15,453,457.85,463,468.6,474.25,477.2,482.25,488,493.95,499.65,505.9,512.25,519.45,526.95,535.45,543.75,553.1,561.55,570.95,579.75,589.45,598.3,608.1,620.3,631.95,647.4,661.05,674.75,688.85,704.85,721.2,735.35,749.95,764.85,778.6,793.7,808.95,824.65,842.6,860.95,878.6,894.55,907.8,915.95,922.4,924.4,925.15,925.9,926.6,925.05,922.1,917.15,909.85,901.9,894.2,879.4,862.9,845.35,824.45,803.35,781.55,759.05,735.65,717.25,699.5,679.65,660.55,641.75,621.75,602.75,583.25,565.7,548.65,531.9,514.7,501.85,487.85,474.2,461.1,448.35,437.75,427.75,419.5,408.9,398.5,390,380.8,371.85,363.55,354.1,346.4,339.4,333.35,327.75,322.3,317.45,313.75,309.35,303.9,299,292.7,287.35,283.65,280.25,274.8,271,268.1,265.55,262.95,260.3,257.55,254.85,252.1,248.15,244.7,241.05,238.1,236.15,234.4,231.55,228.8,225.35,222.3,218.7,217.9,217.1,217.5,217.4,217.25,217.4,215.55,213.85,211.65,210.5,209.05,206.1,203.3,200.25,198.35,196.8,195.05,193.55,191.8,190.55,188.75,187.5,185.3,183.85,182.55,181.45,182.15,183.25,184.55,185.65,186.9,189,191.55,193.7,196.85,199.55,202,204.8,206.3,207.05,208.8,209.45,208.75,207.2,205.35,203.6,201.05,198.55,195.35,193.25,191.15,189.3,187.05,186.4,183.2,180.95,178.75,175.95,173.1,170.75,167.5,165.6,164.8,164.4,164.3,164.9,165.65,165.7,167.15,167.65,166.75,166.15,166.25,166.15,158.15,149.7,141.65,133.7,125.85,117.9,110.25,102.55,94.75,fold_once
1,165.95,185.1,204.7,224.3,244.35,264.3,283.95,303.4,320.85,339.15,356.35,365.15,365.9,365.9,366.1,365.95,366.45,367.55,369.6,374.7,379.2,383.4,386.8,391.1,396.25,401.25,406.05,411,417.95,422.8,428.15,432.85,437.55,441.5,444.65,447.55,449.9,450.25,450.75,448.15,443.65,440,435.6,430.35,423.35,416.4,409.25,403.7,396.9,391.05,385.6,381.25,376.9,373.3,370.3,366.5,363.7,360.45,359.35,359,358.8,356.95,356.2,355.85,356,356.65,358.35,359.3,362.05,365.2,368.2,370.25,373.25,376.95,380.45,384.95,388.65,392.85,396.1,399.4,403.05,407.3,412.2,415.45,420.05,424.3,428.3,432,435.5,438.75,442.7,446.25,449.75,453.05,457.45,463,468.7,474.9,477.9,483.2,487.5,492.95,497.35,503.7,510.6,517.75,525.45,532.8,541.6,551.35,560,570.1,581.55,591.1,601.25,611.4,623,634.25,647.55,660.6,674.2,687.85,702.55,716.85,729.35,743.1,756.5,770.7,785.55,800.05,815.35,833.2,849.3,866.8,882.45,897.1,908.35,915.8,919.9,921.2,922.7,923.75,924.2,923.85,921.45,913.85,905.95,898.2,884.35,868.2,850.3,829.7,808.35,786.45,764.15,741.5,720.85,702.45,682.9,663.7,644.7,625.25,605.9,586.3,567.9,553.1,537.45,521,507.35,492.85,479.75,466.4,453.45,441.15,430.2,419.55,408.6,396.3,386.75,380.1,371.7,362.7,354.05,346,339.45,332.15,326.5,319.4,312.2,307.6,303.55,298.75,294.8,291.4,287.3,283.4,279.55,276.6,273.55,267.95,264.15,261.55,258.05,255.8,252.9,251.1,247.2,245.45,244.9,242.9,240,236.9,232.95,228.25,224.05,221.2,218,216.8,216.8,216.5,217.05,217,216.65,215.3,213.95,212.9,212.9,211.85,208.65,205.95,203.9,203,202.3,201.5,199.95,198,196.35,194.6,192.85,191.5,189.45,187.4,186.8,185.7,184.7,183.95,183.65,183.95,185.75,188.55,191,192.05,193.3,194.8,196.75,197.5,197.9,197.75,196.7,195.3,194,192.65,190.9,189.25,187.5,185,182.5,179.55,177,175.2,174.6,173.9,173.05,172.75,171.95,171.25,169.85,168.75,168.35,168.4,168.6,169.05,169,169.2,169.3,169.15,169.1,168.85,168.95,168.05,166.35,157.75,149.1,139.85,130.65,121.45,113.35,105.2,97.4,89.35,fold_once
2,164.35,183.2,203.5,223.2,243.5,263.35,283.1,302.25,320.05,337.9,354.9,363.85,364.8,365.85,366,365.85,366.4,368.55,370.5,373.4,376.85,380.7,383.4,387.95,392.4,397.4,402,407.55,414.35,420.3,426.45,432.4,437.5,441.15,444.35,447.1,449.2,448.95,449.4,449.25,445.95,441.8,437.15,431.65,425.2,418.05,411.6,405.55,398.85,393.75,387.8,382.05,377.1,372.35,368.7,365.75,363.2,360.9,360.95,359.9,358.55,357.8,357.05,356.45,356.4,357.7,358.75,359.75,362.3,364.3,367.3,371.5,374.75,379.45,384.4,388.55,392.55,396.15,399.3,403.35,407.2,410.75,414.7,418.45,422.9,426.65,431,434.4,437.85,440.85,444,446.1,449.4,451.95,455.75,460.9,466.25,471.95,474.7,479.55,484.4,490.5,497.8,504.35,511.1,518.45,526.5,534.45,543.05,552.1,561.3,570.75,579.8,589.35,599.45,609.1,620.95,632.7,648.05,661.4,675.2,689.25,701.85,715.15,727.75,742.45,756.5,771.25,786.7,803.05,818.9,836.95,855.3,873,888.55,902.7,912.8,920.35,922.8,926.5,928.25,929.05,929.95,929.85,926.45,919.3,911.45,902.7,890.55,874.35,857.6,837.1,815.95,794.25,771.8,750.55,730.55,711.7,691.85,669.95,650.35,630.3,610.75,591.5,574.85,558.25,540.9,524,508.75,494.25,480.25,466.95,454.2,442.25,430.8,419.95,409.4,399.6,391.05,381.8,372.95,364.6,356.9,349,341.9,335,329.45,322.2,313.8,308.4,303.6,298.85,294.7,291.2,287.8,283.7,280,273.7,269.5,267.9,264.8,262.2,258.15,255.35,251.8,249.7,247.25,246,245.65,243.2,241.45,239.75,236.85,233.45,229.1,225.6,222.7,222.45,222.35,220.8,221.25,220.7,220.55,219.1,217.65,216.6,215.7,214.8,212.4,209.95,208.15,205.45,203.15,200.7,199.2,198.15,196.15,194.35,192.95,192.15,190.4,189.2,188.25,187.85,187.6,186.4,184.85,184.95,186.6,189.35,190.4,192.85,195.55,197.65,199.8,200.3,201.1,201.4,200.15,197.85,196.1,194.8,194.15,193.95,192.55,190.45,189.05,186.25,183.15,180.4,179.45,177.25,174.55,172.7,170.75,169.05,167.15,165.3,164.9,165.1,165.05,164.55,162.95,161.15,160.85,161.7,161.3,161.9,163.25,164.35,164.2,155.95,148.05,139.9,131.7,123.55,115.45,107.7,99.85,91.95,fold_once
3,164.95,184.25,204.5,225.25,245.25,265,283.6,303.8,321.45,339.6,357.05,366,366.2,366.2,366.4,366.85,366.85,370.25,372.4,374.55,378.1,381.2,384.15,386.65,390.85,395.6,401.4,406.15,412.75,417.85,423.1,427.75,432.1,435.9,438.95,441,443.15,443.1,443.65,442.85,439.05,436.1,431.5,426.45,420.45,414.05,407.3,401.5,396.8,392.85,387.6,382.9,378.65,374.25,371,368.05,364.95,362.2,361.4,360.7,359.35,358.7,358.3,360.15,361,361.75,363.05,363.75,364.55,366.25,368.85,371.45,374.8,379.65,383.4,387.9,392.15,396.3,399.6,403.35,407.45,411.3,414.85,417,420.9,424.9,429.1,432.45,436.4,439.7,443.4,447.1,452.25,455.4,460.6,465.6,470.95,476.65,479.55,484.55,489.9,494.9,500.7,506.6,513.5,520.65,528.3,536.75,544.8,553.4,562.25,571.9,579.3,588.5,597.9,607.95,619.85,630.7,645.85,659.5,673.45,686.95,701.1,716,730.95,748.7,764.3,778.85,794.2,809.2,823.95,840.9,859.55,876.1,889.6,901.65,909.3,916.4,918.95,920.95,922.25,923.65,924,922.8,916.95,907.65,898.75,890.2,875.6,859.7,843.8,824.75,803.45,782.65,762.35,743.2,725.5,705.3,685.35,666,646.45,625.85,606.25,586.8,569.65,551.35,533.6,516,502.85,488.15,473.6,459.85,447.2,435,424.3,412.8,402.4,394.55,386.35,376.55,370.3,362.5,354.7,346.6,339.55,333.6,328.35,321.35,313.7,310.5,306.35,302.75,299.35,296.7,292.7,288.9,284.9,280.3,276.05,273.1,267.2,264.1,260.2,257.9,255.1,252.9,250.5,249.6,249.85,246.55,244.5,241.8,237.8,233.05,228.65,224.25,220.55,218.7,218.55,217.95,217.1,216.1,215.35,214.35,213.65,211.7,209.75,208,205.15,204.75,204.55,203.3,201.45,199.9,198.5,198,197.2,195.7,194.1,192.8,192.2,191.35,191,190.05,189.1,190.15,191,191.4,192.65,193.15,192.65,192.6,195.3,198.9,201.65,202.9,203.45,204.05,203.45,202.25,200.9,199.65,198.1,195.95,194.05,191.1,188.3,186.25,183.75,180.85,180.25,179.35,176.85,173.15,170.7,168.4,166.65,164.9,164.1,164.2,164.25,164.1,163.7,163.8,163.6,165.45,166.3,166.35,166.7,166.9,166.65,158.05,149.9,142.1,133.8,125.85,117.7,109.6,101.75,93.55,fold_once
4,165.8,184.7,205.2,225.8,245.45,265.2,284.8,305.4,324.2,343.1,360.45,369.65,369.95,369.7,370,370.05,370.5,371.65,373.25,376.25,380.6,385.5,388.3,392.05,397,402.1,407.25,411.5,418.1,423.7,429.25,434.7,439.7,443.8,446.25,448.45,450.65,451.4,452.55,451.8,446.95,442.35,438,432.25,426.4,419.55,412.35,406.8,401,395.7,391.4,387.7,383.45,380.2,376.95,373.95,371.15,368.55,366.15,365.3,364.7,363.15,361.95,361.55,361.75,362.4,363.4,364.1,365.35,367.1,368.7,369.85,372.95,376.4,381,385,388.95,392.65,397.15,401.25,404.3,407.8,412.55,416.15,420.4,424.95,429.5,432.75,436.3,439.15,442.75,446.35,449.7,453.1,457.55,462.6,468.15,473.8,477,481.65,487.4,493.4,498,503.75,510.75,517.4,525,533.85,542.1,551.15,559.85,569.15,578.25,587,595.85,606.5,618.2,628.7,643.8,657.4,671.25,685.25,699.75,713.55,725.75,739.95,754.05,767.1,782.2,797.5,812.95,831,849.4,867.1,881.8,894.3,902.4,910.4,913.35,914.6,915.65,916.95,917.65,918.2,914.65,908.85,901.95,891.95,876,860.8,844.15,823.25,802.15,780.9,760.35,739.85,721.55,701.05,680,660.4,641.6,621.2,601.95,580.8,563.35,545.9,528.55,514,502.65,487.05,472.8,459.8,446.75,434.7,423.5,412.7,401.9,394.3,387,381.05,373.15,366.75,357.95,352.05,344.95,338.55,332.45,324.4,316.25,311.15,306.45,300.75,295.85,290.9,286.2,281.5,278.1,272.2,267.75,261.75,258.1,253.5,250.15,246.8,244.3,241.95,239.45,237.95,236.9,235.1,233.5,232.8,231.25,229.55,226.6,224.25,220.3,219.55,219.4,219.25,218.75,218.1,218.15,216.75,214.75,212.95,211.35,210.75,209.2,206.7,203.9,201.1,198.5,196,194.45,193.25,193.2,191.75,190.4,189.05,187.65,186.6,183.95,183.45,183.5,181.9,180.7,180.15,181.35,184.35,186.55,188.5,189.9,191.45,192.05,192,191.85,192.2,191.5,190,188.25,186.85,186.55,185.1,183.15,182.55,181.65,179.75,177.15,174.55,174.1,173.2,171.95,170.25,170.85,170.65,169.95,169.2,168.35,168.3,168.3,168.3,168.45,168.55,168.85,168.8,168.85,168.7,168.8,168.55,167.95,159,150.9,142.95,133.4,124.2,115.2,106.2,98.15,90.2,fold_once
5,169.15,188.6,208.7,229.05,249.15,269,288.7,309.25,327.7,344.8,361.9,370.45,370.1,368.85,368.45,368.15,368.75,369.85,371.5,374.7,378.6,382.7,385.55,389,393.55,398.2,403,407.3,414,420.65,426.45,431.25,435.9,440.15,442.55,445,447.25,447.9,448.9,448.45,445,441.2,437.1,432.25,426.15,419.8,412.9,406.85,401.15,396,390.25,385.65,381.7,377.75,374.95,371.3,368.45,365.45,364.45,363.85,363.25,361.85,360.75,360.25,360.15,360.4,361.25,362.25,363.45,365.5,368.4,371.55,375.5,379.05,382.95,387.5,391.05,395.3,398.1,401.1,403.55,406.05,410.25,414.25,418.8,423.6,428.25,431.95,435.6,438.75,442.55,446.1,448.85,453.8,459.05,464.25,469.85,475.8,478.75,484.2,489.35,496.15,501.6,506.7,512.7,520.15,528.2,535.2,543.55,552.55,561.25,570.6,579.3,587.35,596.35,606.1,617.85,628.9,644.9,658.05,671.85,685.15,699.6,714.25,727.75,741.3,755.55,770.15,784.85,800,815.35,833.45,852.1,870,885.7,899.85,909.65,917.5,919.9,921.85,923.2,924.4,924.8,923.6,920.2,913.85,905.75,898,886.4,871.35,854.2,833.35,812.45,790.65,768.75,747.35,728.05,708.75,688.45,668.4,649.3,629.1,610.05,591.85,574.35,557.2,540.55,523.25,508.3,495.8,482.75,471.1,457.9,445.9,434.45,423.4,412.45,402.75,394.75,385.9,377.2,368.9,360.6,351.85,344.95,338.3,332.4,325.75,317.45,309.9,304.95,298.45,292.9,287.85,282.9,278.95,274.7,269.45,267.7,266.5,263.45,260.85,257,254.35,251.45,249.2,246.4,245.25,244.6,242.55,240.65,239.25,238.65,236.85,234.8,232.2,229.5,228,225.35,222.85,222.45,222.45,222.1,221.8,220.3,219.5,218.2,216.55,213.9,211.2,208.45,205.4,203.15,200.55,199.1,197.75,196.6,195.15,193.5,192.45,191.25,189.95,188.9,187.8,188.2,188.35,188.75,188.6,190.2,192.95,195.05,196.7,197.8,198.8,199.5,199.25,199.9,201.2,202.3,202.55,201.3,199.55,197.85,196,193.35,190.6,187.85,186.45,184.8,182.9,183.35,184.65,184.45,184.35,182.4,180.65,178.25,175.65,173.25,171.45,171.3,171.05,171,170.85,170.55,171.15,171.2,170.45,169.5,168.6,166.55,155.9,146.35,137.55,129.6,121.85,114,105.9,97.9,90.05,fold_once
6,166.2,185.2,204.8,225.4,245.8,265.7,285.4,305.9,324.15,342.6,360.15,368.55,368.65,368.6,368.35,367.7,368.8,370.7,373.1,377.05,381.6,385.35,388.9,391.75,395.65,400.55,405.8,410.65,417.6,423.25,428.6,433.8,438.25,441.4,443.65,445.9,447.65,447.55,448.4,447.9,443.55,439.85,435.3,430.55,424.8,417.85,410.2,404.1,398.5,394.65,389.75,384.8,380.65,376.6,373.85,371.15,368.35,365.8,365.05,364.55,364.75,363.6,364.15,363.7,363.9,365.2,366.85,367.85,368.85,369,371.25,374.15,377.25,381.2,385,389.25,392.95,396.75,400,403.5,406.35,409.3,412.1,416.25,420.5,424.9,429.1,432.7,436.25,438.95,442.15,446,449.45,453.2,457.45,462.45,468.15,474.3,477.15,482.25,487.35,494.35,500.15,505.95,513,519.65,527.2,534.55,542.85,552.65,561.65,571.05,579.95,588.75,598.8,608.25,619.6,630.05,645.3,658.45,672.35,685.7,699.95,713.5,725.7,739.15,753.15,768.55,783.85,797.8,812.6,830.55,849.15,867.2,883,897.5,907.55,915.2,918,919.85,921.1,922.1,922.15,922.25,918.95,913.3,906.55,897,882.35,867.15,850.25,829.55,808.25,786.6,763.7,741.9,722.2,703.95,683.8,666.05,646.6,627.1,607.65,587.8,570.2,553.25,535.3,517.95,504.1,489.75,476.35,462.9,449.95,437.45,424.95,413.8,403.5,393.2,384.25,372.9,364.45,355.55,347.25,340.55,334.4,328.45,323.75,318.15,311.8,306.85,302.15,299,295.3,291.45,289.1,285.65,281.55,276.8,273.15,270.45,267.15,264.6,261.35,257.4,254.2,250.95,247.4,245.1,243.6,241.85,240.7,237.55,235.05,232.55,230.15,227.5,224.5,223.2,223.6,223.45,223.9,222.65,222.25,221.85,220,219.4,218.75,217.8,217.4,217.65,216.2,213.95,211.25,208.55,205.65,203.7,201.95,200.45,199,198.2,197.6,198.05,198.15,198.25,198.95,198.5,198.55,198.6,198.6,199.25,200.3,202.9,204.95,207.25,208.6,209.35,209.4,208.6,206.8,204.2,201.05,198.6,196.4,193.4,190.55,188,185.9,183.6,180.6,177.65,176.95,175.6,173.95,172.3,170.9,169.1,167.8,167,167,167.25,167.6,167.6,167,167,167.05,166.9,167.25,169.35,170.4,170.95,170.25,160.6,152.2,143.6,135.65,127.45,119.55,111.55,103.55,95.65,fold_once
7,169.7,189.15,208.9,228.5,248.35,268.15,287.6,308.2,326,344.55,362.6,372.1,372.2,369.2,367.85,367.85,368.75,370.9,372.45,375.05,377.8,380.8,384.2,388.1,392.45,397.55,402.4,406.45,413.15,417.9,422.7,427.6,432.55,436.55,439.45,441.8,444.45,444.55,445.4,445.4,442.55,439.9,435.25,430.15,424.1,416.9,410.35,404.45,399.45,395,389.8,384.75,380.25,377.6,374.4,371.85,368.7,365.95,365.1,364.6,363.65,361.3,360.15,360,360.3,361.15,362.3,363.4,364.2,366.15,368.8,371.85,374.95,377.75,381.8,385.65,389.5,392.9,396.25,399.15,402.7,406.45,410.95,415.4,420.05,424.35,428.6,432.1,436.4,439.15,442.35,445.55,448.85,452,456.95,461.15,466.9,472.9,475.55,480.9,486,491.95,498.05,503.3,510.25,517.45,525.05,533.05,540.95,549.7,558.6,568.15,577,588.1,597.5,608.05,618.6,630.95,647,658.85,672.6,686.75,700.1,714.25,726.25,740.65,754.8,769.2,784.5,800.8,817.25,835.4,854.25,870.55,886.35,900,909.55,915.45,917.1,919.5,920,920.55,921.7,921.5,918.3,911.55,904,895.4,881.15,867.15,849.45,829.6,809,787.05,765.05,743.6,724.85,707,687.2,669.1,651.1,632.25,613,593.35,576.3,559.15,542.2,525.45,512.2,495.5,481.3,466.6,453.05,440.9,429.75,419,409.15,399.3,391,380.95,371.65,365.7,359.4,353.6,347.45,341.9,335.85,329.15,322.7,317.8,313.4,308.9,304.75,301.35,297.6,293.2,288.55,283.55,279.45,276.75,273.85,268.15,261.95,257.5,253.55,250.5,247.95,245.85,242.65,239.35,237.4,236.05,234.25,230.1,225,221.3,218.7,216.95,216.4,215.85,216,215.9,216.3,215.55,214.85,214.15,212.7,211.5,210.4,209,206.35,203.7,200.7,199.25,198.1,196.9,195.05,193.3,192.2,190.75,189.35,187.8,186.4,184.8,182.2,180.55,180.65,179.15,178.6,180.25,181.25,183.45,186.15,189.2,191,192.5,192.85,192.95,191.85,190.45,188.65,187,185.2,183.7,183.1,181.45,178.9,178.25,177.55,175.6,176.6,175.1,172.7,170,168.1,166.25,166,166.55,166.65,166.85,166.9,166.85,167.15,166.8,166.95,167.35,167.6,167.75,167.3,167.7,167.2,158.4,150.05,141.65,133.75,125.85,116.8,107.1,98.75,90.55,fold_once
8,166.2,185.3,205.55,225.35,245.35,265.25,285.1,305.7,323.75,342.6,361.2,369.3,369.35,369.6,369.15,369.3,370.35,372.35,375.15,378.05,381.6,385.85,389,392.95,397.35,401.8,406.2,410.45,417.55,422.05,426.2,431.5,437.4,441.65,444.65,447,449.55,449.5,449.55,449.2,446,441.1,436,431.8,425.6,419,412.65,405.55,400.55,396.45,391.2,385.8,380.95,376.05,373.2,370.2,366.9,364.3,363.25,362.45,361.25,360.4,360.1,358.85,359.5,360.55,361.65,364.15,364.45,365.75,368.4,371.6,374.85,379.5,383.65,387.8,392.1,395.85,397.6,400.75,403.85,407,411.25,415.8,419.5,423.4,427.65,430.95,434.35,437.3,440.55,444.1,447.4,449.95,453.5,458.65,464.15,469.9,474.65,480.3,485.4,492.3,498,503.05,510.1,517.65,524.7,532.95,541.6,551.2,562.1,571.7,580.65,589.9,600.55,610.5,622.15,633.35,648.1,661.45,675.85,689.5,702.95,716.8,729.3,743.55,758.45,771.8,787.1,802.35,817.15,834.95,853.45,871.7,887.4,902.25,915,925.3,928.3,931.95,933.5,933.4,933.75,932.05,928.25,921.3,913.3,905.15,890,873.2,854.4,832.65,811.55,789.35,766.8,743.7,720.9,699.9,679.95,657.2,636.65,617.25,597.65,579.7,562.65,545.5,528.55,511.6,498.8,484.45,471.4,461,448,436.15,425.25,415.2,404.75,394.7,386.4,378.2,370.25,361.95,354.3,346.35,339.65,333.7,328.05,321.4,314.7,310.25,305.9,298.95,294.35,289.65,284.65,279.55,275.75,271.1,267,263.7,260.45,257.95,254.05,251,248.4,245.9,242.15,240.4,239.35,237.4,235.65,234.15,232.5,229.75,226.2,222.75,219.55,217.85,217.35,217.55,217.95,217.9,218.25,218,217.2,216.35,215.9,214.75,212.2,210.75,208.35,205.65,202.9,201.9,202.45,202.4,201,199.6,198.55,197.15,196.25,195.95,195.75,196,196.15,195.95,196.2,196.5,197.9,199.55,201.05,202.75,204.45,205.05,204.7,204.4,204.65,204.35,203.65,202.15,199.6,196.8,193.95,190.7,187.4,184.45,182.05,180.5,178.6,177.15,176.45,175.8,174.3,173.1,171.9,170.75,169.25,167.55,166.35,166.1,166.2,166.3,166.05,166.05,166.1,166.35,166,164.95,163.95,162.2,160.8,151.9,143.65,135.6,127.45,119.5,111.45,103.65,95.75,87.85,fold_once
9,165.9,184.5,204.75,225.4,246.35,266.35,285.1,305.75,324.05,342.7,360.15,368.95,369.8,370.4,370.6,370.75,371.45,373.5,375.6,378.55,383.4,388.35,391.25,394.65,398.55,403.25,409.2,413.95,421.5,427.5,433.2,438.85,443.4,447.8,450.4,452.65,455.2,455.2,456.05,455.3,450.6,446.2,441.7,436.25,429.95,423,415.8,409.9,404.25,398.95,393.35,387.5,383.2,377.8,374.6,371.4,367.85,365.15,364.05,363.65,364.15,363.05,362.35,362.15,363.2,365,366.35,366.7,367.25,368.85,371.25,374.5,377.1,381.3,384.8,389,393.4,397.3,399.8,402.55,404.8,408.15,412.3,415.95,419.35,423.2,427.45,431.05,434.4,437.15,440.85,444.35,447.95,450.8,456.2,461.5,465.65,471.6,475.8,482.25,487.6,493.5,498.85,505.2,512.25,519.1,526.9,534.95,543.4,552.85,561.9,571.75,581,590.8,599.9,609.9,623.65,634.9,649.85,662.85,676.95,690.95,705.1,718.6,730.65,744.45,758.3,772.35,787.45,804.35,822.45,840.2,858.5,876.3,892.3,907.15,918.15,926.75,929.45,931.25,932.65,933.6,934.15,934.25,931.65,925.65,918.7,910.5,896.4,877.85,857.1,836.35,814.95,792.95,770.65,748.4,727.3,707.65,687.25,666.65,647.35,629.7,610.8,591.7,574.35,557.2,539.6,522.5,508.15,493.7,480.75,467.15,454.45,442.4,431.2,420.6,409.6,398.55,390.35,381.5,372.85,362.1,353.6,344.65,337,330.25,324.5,316.9,309.85,304.9,300.3,295.7,292.2,288.05,283.45,276.95,271.35,265.75,261.7,258.55,255.3,252.45,248.7,246.4,243.7,241.6,239.35,238.6,238.1,236.7,235.15,233.15,229.1,225.7,221.75,220.65,219.35,219.1,218.7,218.75,218.85,218.65,217.9,216.4,214.9,212.8,210.55,208.45,205.15,202.65,199.65,197.45,195.8,194.1,192.9,191.5,190.25,189.55,189.55,189.2,188.05,187.2,187.7,188.1,188.9,189.65,190.7,191.9,194.6,197.2,199.55,200.5,201.75,203.05,204.95,204.7,205.5,206.3,204.8,202.55,200.85,199.1,196.2,193.45,190.25,187.45,184.45,181.6,178.9,176,175.5,174.9,173.6,172.5,170.85,170.1,167.4,165.55,164.5,164,163.45,163.1,162.85,162.85,162.8,162.7,162.45,162.55,162.75,164.7,165.4,157.05,149.25,141.2,133.05,124.75,116.95,107.8,99.5,91.65,fold_once
