,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,Deformation
0,166.2,185.8,205.55,225.3,245.35,265.45,284.95,305.3,323.4,341.8,359.2,366.85,367.35,368.05,368.05,367.75,368.2,370,372.35,375.45,378.1,381.15,384.75,388.4,392.95,398,403.4,408.75,416.55,422.55,428,433.15,439.1,443.4,446.4,449.1,451.4,451.6,452.25,451.4,448.05,444.3,439.35,435.15,429.05,421.75,414.45,408,401.55,396.15,390.9,385.95,380.6,376.9,373.75,371.6,368.65,365.75,363.9,362.85,362.25,360.7,360,358.95,358.7,359.1,360,360.8,361.4,362.55,364.8,367.65,370.9,373.7,377.45,380.3,384.25,387.6,390.6,394.35,397.25,400.7,404.85,408.25,412.15,417.2,421.9,424.15,427.75,431.05,434.65,437.6,440.9,444.35,448.5,454.05,459.25,464.85,468.5,473.15,478.65,484.75,489.65,495.45,502.35,508.45,515.15,523.4,531.65,540.8,548.9,558.4,567.25,575.95,585.75,594.55,603.9,613.85,628.1,638.95,650.9,663.8,677.6,690.65,702.3,716.25,730.6,744.05,758.75,774.1,790.1,807.7,826.5,843.75,858,871.95,884,893.3,898.65,904.55,909.55,913.8,917,919.7,919.2,915.1,909.8,904.7,893.5,882.1,867.7,849.85,830.9,812,792.5,773.1,755.2,738.75,718.55,697.95,678,656.6,636.65,616.65,598.75,580.7,563.1,544.05,529.1,510.35,494.5,479.65,464.85,451.1,440.05,428.6,417.5,406.2,396.35,387.3,378.1,371.85,363.65,356.05,347.65,341.3,334.9,328.95,322.35,317.55,313.25,308.05,303.5,299.2,293.85,289.05,284.2,278.35,274.5,271.1,267.9,262.5,257.6,254.05,252,248.7,245.7,243.75,241.5,239.45,237.1,235.8,233.6,230.5,226.85,223.3,218.95,216.85,215.05,214.25,214.1,214.2,214.55,213.6,212.95,212.3,211.5,210.55,208.85,207.35,205.1,202.3,199.85,198.1,197.4,197.15,197.5,196.8,196.55,195.3,193.4,191.8,191.45,191.4,189.8,189.65,189.2,187.6,187.15,187.6,189.4,191.4,193.65,195.55,196.8,197.1,197.7,199.1,200.05,200.6,199.65,198.15,195.5,192.8,191.1,188.3,185.65,184.6,183.15,181.25,180.85,179.5,177.3,176.1,174.3,172.6,171.5,170.05,168.35,168.2,168.2,168.2,167.9,167.6,167.5,167.9,167.95,168.05,168.4,169.3,168.6,159.95,151.85,143.25,135.15,127.15,117.85,108.55,100.15,90.85,fold_third
1,166.4,184.95,204,224.15,244,263.8,282.8,303.25,321.5,339.9,357.6,366.4,366.75,366.4,365.95,365.75,365.65,367.95,369.9,372.25,375.55,379.65,383.7,387.15,391.35,396.05,401.1,405.45,412.6,418.6,423.95,429.8,435.15,439.3,441.8,445,447.5,447.5,448.7,448.55,444.75,441.05,436.85,433,427.3,421,414.25,408.45,402.7,398.05,393.35,386.7,381.95,377.7,375.3,371.05,367.35,364.35,362.75,362.05,361.75,360.25,359,357.3,356.35,356.5,357.55,358.15,358.35,358.8,360.2,364.05,366.85,370.6,374,378.7,383.4,387.75,390.3,393.2,396.3,399.55,403.95,407.35,413,417.55,421.5,424.55,428.55,431.5,435,437.85,441.5,444.55,448.8,453.7,459.15,464.3,468.1,473.35,478.4,484.4,489.15,495,500.15,506.9,513.85,522.15,530.6,540,548.85,558.55,567.1,576.2,585.45,594.15,604.75,615.7,629.9,642.85,655.7,668.85,682.35,695.9,708.85,722.55,737.8,751.45,766.2,781.35,796,811.6,829.75,846.5,861.35,875.6,886.9,895.5,900.05,905.85,910.95,914.7,918.4,921.2,920.85,917.75,913.25,907.85,896,881.85,867.1,850.25,832.1,815.05,796.3,777.2,758.3,740.8,720.9,698.6,677.6,656.6,636.2,615.6,596.9,577.45,558.9,540.6,525.8,510,496.3,484.55,469.85,454.8,443.1,432.15,421.2,410.1,400.4,390.95,381.8,373.1,363.9,355.85,348.2,342.85,337.05,330.15,323.6,318.9,312.9,305.05,300.45,296.9,291.95,286.6,282.5,276.6,272.9,269.7,266.45,263.75,260.2,256,253.55,249.3,244.95,242.7,240.55,238.5,237.05,235.9,234,230.15,225.95,223.35,219.8,219.2,219.3,219.35,219.7,219.75,219.85,220.25,219.1,219,219.05,218.05,216.45,214.5,211.75,209.2,206.25,204.35,204.45,203,201.9,199.7,198,196.65,194.5,192.85,191.75,190.2,189.1,187.75,186.95,187.3,187.95,189.85,191.45,193.45,195.2,196.2,195.35,195.45,195.1,195.15,194.5,193.75,192.55,190.8,189,187.45,185.9,184.3,182.1,180.7,178.65,176.15,175.95,175.1,174.45,173.6,172.85,171.25,170.15,168.7,168.05,167,166.55,166.7,166.45,166.25,166.2,166.2,165.9,164.6,163.8,164.4,164.65,155.55,146.55,138.4,130.35,122.55,114.4,106.75,98.7,90.8,fold_third
2,164.15,182.55,202.75,222.5,242.5,262.55,281.05,300.85,318.85,337.3,354.5,363.5,364.4,364.5,364,363.6,364.35,366.15,368.7,371.95,376.7,380.85,383.8,388.05,392.65,397.45,403.25,408.1,414.95,420.3,426.2,432.2,437.05,442.65,446.5,449.1,451.35,451.4,451.95,451.55,448.3,445.7,441.4,435.9,429.65,423.2,416.75,411,405.35,400.65,395.15,389.45,384.75,378.35,373.9,370.35,366.95,364.3,362.8,362.15,361,358.55,357.1,357,358.45,360.05,361.25,361.15,361.45,362.4,364.65,367.85,371.15,375.6,379.75,384.2,388.3,391.55,394.45,397.55,400.9,404.65,408.9,412.15,415.15,418.05,421.8,425.75,430.1,432.6,435.85,438.85,441.7,444.75,449.35,454.75,458.6,464.25,467.35,472.35,477.35,482.7,487.95,493.25,499.6,505.95,512.7,520.3,528.65,538.9,547.7,556.6,565.6,574.5,583.75,592.6,605.35,616.65,631.35,643.85,656.95,670.5,683.85,697.5,709.15,723.4,738.45,752.1,765.2,779.95,794.8,811.55,827.1,841.25,853.15,865.15,873.75,881.6,886.95,891.25,894.65,898.35,902.2,904.7,904.45,900.3,894.65,889.75,878.7,864.6,850.6,833.85,818.25,802.6,786.15,768.95,752.25,734.9,714.1,693.4,673.9,654.75,635.15,614.15,596.2,577.9,560.15,542.1,528.05,512.45,496.85,482.05,467.25,453.55,441.1,429.5,417.8,406.7,397.3,387.95,378.6,367.9,358.25,350.85,342.9,336.95,330.55,322.75,315.2,311.15,307.6,303.1,299.85,295.3,291.75,287.7,284.45,279.35,275.5,271.95,269.1,266.25,262.15,260,258.2,255.75,253.25,251.5,250.65,247.5,244.85,242.45,238.15,234.5,229.85,226.65,223.15,222,221.75,221.95,221.8,221.8,221.45,219.85,217.65,216,213.8,211.7,209.05,206.65,203.85,201.25,199.1,198.25,198.1,196.75,195,193.15,190.8,189.4,187.8,185.75,185.15,184.45,184.55,184.25,184.9,186.6,188.3,190.9,192.9,195.85,198.95,200.9,200.9,200.3,201.1,202.5,204.75,205.7,206.95,207.3,206.45,204.3,201.55,198.75,196.85,194.5,191.9,189.15,189.05,187.75,186.2,184.1,182.8,181.8,179.75,177.15,174.3,171.8,169,167.45,166.15,165.95,165.9,166.2,166.25,165.7,167.2,169.5,170.35,160.75,151.55,143.35,135.5,127.4,119.5,111.55,103.6,95.75,fold_third
3,164.25,183.15,202.75,222.25,242.2,262.25,281.65,302.3,320.6,339.05,356.1,364.65,364.7,364.7,365,365.55,366.5,368.55,370.7,373.3,376.4,380.3,384.7,389.65,394.7,399.4,404.8,409.9,417.5,423.4,429.7,435.55,440.8,445.2,448.05,450.35,453.25,453,454.1,453.8,450.2,447.15,441.8,436.15,430.05,423.65,416.5,410.35,404.2,399,393.3,387.6,383.25,379.2,378.05,374.85,371.4,368.35,366.95,366.8,367.6,366.25,365.05,363.75,363.2,362.95,363.95,364.45,365.25,366.5,368.6,371.55,374.55,378.5,380.35,384.55,388.6,393.55,396.35,398.25,399.8,402.05,406.5,411,415.4,419.8,423.85,426.6,430.05,432.9,436.3,439.45,443.25,445.9,450.2,455.65,460.9,465.35,468.15,473.75,478.85,485.15,490.3,495.45,501.9,508.7,515.8,523.5,531.35,540.65,549.7,558.5,566.95,576.1,585.35,594.5,605.3,616.2,630.05,640.75,652.8,665.15,679.05,692.7,704.75,718.9,733.45,746.65,761.55,776.7,791.95,810.45,829.4,847.75,862.35,875.15,884.65,892.8,897.75,903.45,908.45,912.65,915.6,917.9,917.4,913.3,908,903.4,891.45,878.05,863.7,845.4,827.15,807.3,787.95,769.25,752.3,735.5,716.15,695.85,675.8,655.2,635.15,615.1,596.9,578.65,560.45,542.45,528.35,511.8,495.9,481.15,465.4,451.75,440.25,429.35,416.95,406.05,396.5,386.9,377.55,368.4,359.45,349.95,340.45,334.1,328.35,320.95,313.2,307.9,303.1,297.4,292.95,288.6,284.35,279.6,277.1,273.2,271.1,268.2,265.2,262.55,258.25,256.65,255.7,253.4,250.6,249,247.9,245.8,243.9,243,240.75,237.7,234.75,232.25,228.1,225.05,223.05,222.95,222.05,221.2,220.25,219.2,218.05,216.35,214.85,213.4,211.25,209.85,207.45,204.55,201.95,199.9,197.1,194.95,194.05,192.7,191.3,189.5,188.6,187.55,187.35,186.5,185.4,185.2,183.7,183.85,185.15,186.65,189.3,191.9,194.5,197.4,200.1,201.65,202.55,203,202.9,202.1,200.75,199.3,197.85,195.65,193.85,191.05,189.65,187.2,184.45,182.05,180.95,179.75,177.45,174.6,171.7,170,168.7,166.6,165.45,165.3,165.1,165.6,167,167.35,167.35,167.85,168.15,168.1,167.85,168.05,168.1,158.85,150.7,142.7,134.9,125.9,116.9,109,100.75,92.5,fold_third
4,163.75,182.5,202.35,222.1,241.95,261.8,281.5,301.7,319.85,338.15,355.35,364.75,365.25,366.7,366.8,366.4,367,368.8,371.4,375,378.7,382.25,385.15,388.6,393,398.15,403.2,408.7,416.4,422.25,427.85,432.05,436.45,439.55,442.2,444.95,447.05,447.4,447.85,447.5,444.3,440.85,436.6,431.85,426.95,421.9,415.4,409.6,403.2,398.3,393.15,388.45,384.3,379.8,376.5,373.75,370.65,367.9,366.7,365.45,363.4,361.5,360.65,359.8,358.05,356.45,356.6,356.5,357.45,358.75,361.15,364.05,366.85,371.2,375.6,379.2,382.8,386.25,389.6,393.35,397.95,401.8,405.9,409.9,414.75,419.15,423.45,426.85,430.05,432.65,436.15,439.25,442.5,445.65,450.3,455.75,461.5,466.85,469.4,473.85,478.7,484.6,489.6,495.1,502.05,508.65,515.55,523.15,530.4,539.25,548.2,558.5,567.65,576.25,585.25,594.4,605.85,617.15,631.85,644.45,657.5,670.55,684.55,698,709.45,723.25,738.45,752.25,768.8,784.6,799.2,814.4,833.15,852,868.4,882.05,891.65,899.9,905,909.95,914.25,917.2,919.8,923.05,922.9,919.5,913.8,908.65,896.25,881.55,866,848.95,829.45,809.6,785.8,765.6,747.5,729.55,708.7,689.05,668.3,648.55,628.65,607.35,588.9,570.05,551.35,532.8,519,504.05,489.8,475.6,461.15,449.8,442.45,430.7,419.95,409.8,401.25,390.2,381.05,372.2,362.8,355.05,347.5,341.95,336.95,328.75,319.95,314.6,310.1,305.05,300.8,294.65,288.25,284.95,280.05,274.35,269.95,266.9,264.1,261.05,257.6,254.1,250.4,246.1,242.6,242.1,241.75,239.95,238.05,236.8,234.6,231.75,228.25,225.15,222.75,222,221.35,220.45,219.8,219.85,220.5,220.35,220.6,220.45,219.8,218.6,216.15,214,211.4,208.5,205.85,203,201.15,199.8,197.15,194.15,191.95,191.4,190.1,188.5,187.6,187.6,187.4,187.6,187.1,186.95,188.2,190.35,192.4,193.55,194.65,196.35,198.5,199.95,201.7,202.6,204.2,202.95,201.95,200.65,198.25,195.3,192.15,189.05,186.4,183.9,181,179.65,179.75,180,179.1,177.2,175.1,172.7,170.4,169.3,167.6,167.1,166.3,165.95,166,165.7,165.6,165.75,165.6,165.6,165.55,164.15,163.2,153.8,145.5,137.6,129.55,121.25,113.25,105.15,97.05,89.2,fold_third
5,165.2,183.45,202.6,222.15,242.3,263.6,283.6,304.15,322.1,340.7,358.1,366.75,367.4,368,368,367.8,368.5,370.55,371.85,373.65,376.8,381.05,384.6,388.25,392.6,396.1,400.7,405,412.8,418.5,423.85,429.75,434.95,438,440.95,444.05,446.45,446.3,447.45,447.9,445.7,443.15,439.05,434.55,428.4,421.45,414.35,408.5,402.15,397.05,392.1,386.7,382.2,378.8,375.1,371.2,368.5,365.95,364.65,363.5,362.05,359.8,358.9,358.15,358.05,358.75,361.1,361.95,363.25,364.45,366.7,369.75,372.8,376.1,380.1,384.5,388.2,391.95,394.8,398.45,401.2,404.25,408.25,411.75,415.95,419.65,422.45,425.75,429.05,431.95,435.5,438.45,441.9,446.3,450.95,456.05,461.3,466.5,471.65,476.6,481.85,487.7,492.95,498.8,505.6,512.65,520.35,527.35,535.65,544.9,553.65,562.95,571.55,579.25,588.55,597.25,608.05,619.05,631.65,644.1,657.25,670.65,684.05,697.45,709.1,723.3,737.65,752.1,766.9,782.2,799.15,815,833.45,852.1,868.65,885.05,899.3,913,920.55,926.05,930.55,934.65,937.05,939.25,939.1,935.35,929.95,924.7,912.1,897.35,880.3,863.3,844.85,825.25,803.6,781.95,760.45,737.25,713.75,691.75,670.9,649.75,630.85,610.95,592.8,575.45,557.6,539.05,524.95,510.05,495.1,480.95,466.2,452,440.45,429.05,417,407.15,399,390.05,381.1,371.8,362.65,353.85,345.8,337.9,330,322.9,316.3,311.35,306.85,301.4,295.95,291.35,287.35,282.9,279.4,274,269.4,266,262.6,259.85,255.95,253.95,251.5,248.8,247.35,245.95,244.1,241.6,239.25,238,236.45,234,230,227.2,223.7,222.2,222.15,222.25,222.3,222.25,222.65,221.55,220.2,219.45,218.85,217.3,215.35,215.45,215.8,214.55,212.5,210.3,208.35,205.7,204,202.15,200.85,199.4,198.4,197.35,196.15,195.7,195.65,195.65,195.05,194.9,195.8,195.45,193.9,193.6,193.5,194.35,194.75,194.8,194.95,194.65,194.25,194.3,192.55,190.45,188.85,186.15,183.35,180.15,177.75,175.65,173.65,172.15,173.25,174.1,175.35,174.55,174.2,173.9,172.95,171.7,170.45,168.7,168.55,168.75,168.5,168.35,168.5,168.6,168.5,167.95,166.9,166.15,164.05,154.2,144.75,136.6,128.55,120.6,112.5,104.7,96.65,88.6,fold_third
6,163.25,181.3,200.85,221.55,242.4,262.35,282.05,302.65,320.95,339.35,356.65,365.35,365.2,365.15,364.9,364.65,364.9,367.05,369.75,373.6,378.15,382.3,385.35,388.05,391.8,396.2,400.6,404.25,411.75,417.9,423.8,430.1,436.45,441.05,443.85,446.15,448.5,448.5,448.65,448.1,445.15,442.55,438.65,434.25,428.15,421.7,415.4,410.05,404.25,399,393.45,387.2,382.5,377.7,373.95,370.8,367.5,364.45,363.6,361.55,359.9,357.85,357,355.85,355.85,356.65,357.85,359.15,358.95,359.85,362.1,365.7,368.55,373.1,377.75,381.6,385.9,389.9,392.2,396.4,399.85,403.4,407.4,411.35,416.1,420.4,423.75,426.5,429.5,432.75,435.75,439,442.2,444.9,448.9,454.45,459.55,465.3,468.6,473.7,478.2,483.7,488.7,493.95,499.8,506.35,513.7,521.3,530.4,539.45,548.7,557.85,566.9,576,585.7,594.6,605.35,616.1,630.65,643.4,657.5,670.3,683.75,701.05,714.25,728.95,743.15,758.7,774.65,790.05,805.15,820.95,839.2,856.4,870.75,884.35,894.75,902.55,906.95,911.15,914.45,919,922.8,921.75,920,915.3,910.5,903.9,891,876.15,860.95,844.2,824.35,806.2,787.55,767.5,749.75,733.4,714.15,693.15,673.3,652.25,632.4,612.15,593.8,575,556.8,538.35,524,509.15,494.75,480.35,466.9,452.5,439.65,429.2,417.2,404.7,394.45,385.5,376.4,367.35,357.75,349.95,343.45,336.1,330.1,324.5,317.9,313.25,308.55,303.4,298.7,294.5,290.95,286.9,282.85,278.2,274.85,271.5,268.25,265.2,261.5,258.35,254.7,253.55,251.15,248.3,246.85,244.3,241.6,238.95,235.2,231.2,226.85,223.1,220.2,219.75,219.25,217.85,216.85,216.4,216.6,215.4,213.55,211.05,208.55,205.85,201.65,198.85,196.6,195.15,194.15,193.05,191.8,190.35,189,186.8,185.65,185.95,185.35,184.2,182.45,181.6,181.65,182.85,183.6,184.65,186.05,189.05,190.85,192.3,194.05,196.25,198.6,200.2,200.85,200.95,199.75,197.9,196.4,195.1,193.8,192.05,190.05,187.25,184.95,181.85,180.25,178.2,179.2,179.9,179.6,178.35,176.15,173.75,171.85,170.35,169.85,169.85,170.75,172.05,172.1,171.75,171.35,171.4,171.25,171.6,171.8,170.4,168.7,158.55,149.2,140.25,131.9,123.8,115.75,107.8,99.95,92,fold_third
7,164.15,182.45,201.85,221.4,241.35,261.15,281.05,301.6,319.4,337.95,355.25,362.9,363.8,364.35,364.6,364.7,365.7,367.9,369.95,371.95,375.65,379.75,383.3,387.5,391.7,396.5,401.15,405.65,413.4,419.3,424.85,430.55,435.45,439.25,442.3,445.05,447.25,446.9,447.6,448.05,444.4,441.5,437.25,432.3,426.8,420.55,413.6,405.75,399.55,395.15,390.8,385.05,380.75,376.35,373.3,369.95,366.95,365,364.1,363.45,362.95,360.7,359.7,358.9,358.75,358.9,359.85,362.5,363.55,364.1,365.55,368.8,371.5,375.5,379.2,382.95,386.8,389.75,391.6,394.85,398.65,402.85,406.7,410.2,414.1,418,422.65,425.45,428.9,431.75,435.05,438.2,441.5,444.7,449.05,454.05,459.3,465.3,469.3,474.25,478.45,483.85,489.3,495,501.8,509.1,515.45,523.35,531.7,540.7,550.45,558.5,567.55,576.25,585.25,594.65,606.1,617,631.55,644.2,657.6,670.65,684.1,697.45,709.4,723.1,737.85,751.6,766.45,782.05,796.75,815.25,834.15,853.05,869.35,883.05,892.5,900.15,904.2,907.95,911.7,915.25,918,919.7,919.1,914.3,908.95,903.85,891.9,877.05,861.85,844.75,826.25,806.2,785.85,765.6,748.05,731.5,711.35,690.8,670.85,649.7,629.15,610,592.05,574.65,556.35,537.8,523.25,508.4,493.1,477.7,462.35,448,436.65,424.45,413.15,400.05,390.6,381.7,372.4,364.15,355.95,348.15,340.35,333.65,327.8,321,313.55,307.8,303.55,298.8,294.8,291.7,286.8,283.7,279,275.5,272.4,269.05,266.15,262.8,259.2,256.1,253.65,250.85,248.3,245.6,244.9,243.45,241.45,239.8,236.9,232.95,228.55,225.45,222.8,221.15,220.9,220.75,220.6,219.9,218.75,216.45,214.4,212.75,210.25,209,204.65,201.4,198.2,194.95,192.65,191.05,189.9,188.6,186.85,185.9,184.5,182.8,181.35,181.1,181.45,182,182.95,183.85,185,185.7,188.5,191.5,194.15,196.55,198.9,201.4,204.25,205.15,205.65,205.45,205.1,204.45,202.85,200.95,198.6,196.15,192.95,190.1,187.4,185,182.4,179.8,177.35,176.25,174.65,173.9,172.15,171.5,170.5,169,167.6,167.35,167.05,167.25,167.6,167.6,167.45,168,167.65,167.95,167.7,167.75,169.05,160.15,151.3,141.45,132.15,123.05,114.5,106.5,98.65,90.35,fold_third
8,159.75,178.2,197.6,217.2,236.8,256.55,276.55,296.25,314.5,332.45,349.1,357.85,358.25,358.75,358.85,359.4,360.2,364,366.55,370.3,374.25,378.4,381.95,386.4,391.5,396.65,401.15,407.45,415.15,421.5,427.8,433.1,438.9,443.85,447.35,449.4,451.95,451.8,452.15,451.35,448.1,444.45,440,434.9,429.15,422.55,415.95,409.75,404.1,399.3,394.35,389.35,384.25,379.65,375.65,372,368.9,366.3,365.6,365.9,365.55,363.95,363.2,362.6,361.9,362,362.4,362.45,362.05,362.5,364.8,367.75,371.05,374.55,378.45,383.2,386.95,391.05,393.85,396.55,399.45,403.15,407,410.25,415.05,419.4,423.55,426.6,430,433.35,436.35,439.5,442.8,445.95,450.85,456.25,461.95,466.35,469.45,474,480.45,486.15,491.3,497.5,503.95,510.4,517.75,524.9,533.85,543.3,552,561.2,570.05,578.95,588.3,597.15,607.7,619.35,633.9,646.75,657.9,670.95,685.3,698,709.65,723.85,738.65,752.7,767.2,782.15,797.25,813.2,830.8,847.75,862.4,876.55,887.75,900.1,907.4,912.85,916.95,920.6,923.5,926.25,925.55,921.3,914.25,908.05,895.4,881,866.45,849.85,831.45,812.9,793.8,774.9,756.55,735.95,713.75,691.45,671.55,650.6,629.9,610,592.55,574.3,557.75,539.15,525.45,510.45,495.1,480.8,466.4,452.65,440.55,428.6,417.35,405.5,395.9,386.9,377.7,369.5,360.75,352.15,343.5,337.7,331.35,326.65,319.05,313.25,308.75,303.25,298.95,295,290.6,286.35,281.65,276.9,273.25,270.65,267.1,264.15,260.3,258,256.2,254.15,251.55,248.2,247.35,245.7,243.75,242.25,239.95,237.05,232.8,229.65,226.7,224.9,224.2,223.35,223.65,222.65,222.35,219.8,217.25,213.95,211.7,211.05,210.05,209.15,207.45,204.9,202.55,200.15,198.55,197.1,195.1,193.5,192.35,191.5,190.45,189.9,189.15,189,189.25,188.95,189.4,188.55,187.65,188.1,188.8,189.9,191.5,193,194.9,195.05,195.95,196,195.5,193.85,193.2,193.4,193.1,192.35,191.05,190.6,188.85,187.25,185.15,182.65,182.2,181.45,179.8,178.3,176.45,174.75,172.8,171.2,169.75,169.3,168,165.8,164.4,163.5,162.55,161.55,161.3,161.45,162.65,163.15,162.95,154.5,146.3,138.35,130.4,122.45,114.55,106.7,98.9,91.15,fold_third
9,164.3,182.75,202.3,222.1,241.75,261.3,280.55,300.65,318.95,337.35,354.35,363.05,363.15,363.15,363.3,362.9,363.45,366.25,368.45,371.5,374.8,378.7,381.85,385.7,390.45,395.65,400.8,405.35,412.35,418.35,424.2,429.3,434.4,438.85,442.1,445.05,446.9,446.8,447.5,446.3,442.9,440.35,436.35,431.3,425.5,418.85,411.85,406.85,401.7,397.3,392.3,387.7,383.55,378.95,374.6,371.6,368.9,366.2,362.75,360.55,359.45,357,356.05,355.8,355.5,355.95,356.85,357.2,357.4,358.35,360.25,362.95,365.85,370.6,374.95,378.7,382.75,386.25,390.9,396.25,399.4,403.05,407.15,410.65,414.9,419.1,423.25,425.95,428.85,431.05,434.65,438.5,442.3,445.75,450.4,455.55,460.55,466.05,469.95,474.65,480.15,485.8,490.7,496,502.4,508.95,516.5,524.2,532.7,541.8,550.6,559.5,568.25,576.25,585.05,593.85,604.7,615.5,629.6,640.1,652.1,665.1,679.95,694.85,707.95,722.7,737.25,751.35,766.8,782.25,797.25,813.1,831.35,847.7,862,876.4,887.6,896.55,901.8,908.05,912.6,917.15,919.35,920.75,919.25,914.95,909.65,904.25,892.6,878.2,862.9,847.15,829.1,811.8,793,770.8,751.45,731.75,711.15,690.65,670.85,649.85,630.2,610.05,591.9,573.35,554.8,536.65,522.55,507.95,493.35,477.95,462.45,448.1,437.25,428.9,419.05,410.2,402.65,394.5,385.7,376.15,365.9,357.45,349.45,343.2,337.1,331,322.65,319.25,315.75,311.45,307.05,302.75,297.6,293.1,288.5,282.15,276.4,271.9,268.4,265.6,262.6,259.7,256.8,253.45,250.15,247.05,245.6,241.05,238.65,236.5,234.7,232.5,229.9,227.1,223.75,222.9,222.5,223.15,223.2,222.65,221.95,220.1,218.7,217.25,216.15,214.85,213.9,212.75,209.4,206.4,203.35,200.85,197.7,195.8,194.15,192.75,191.75,190.15,189.4,189.95,190.3,191,191.7,192.25,192.8,193.05,193.35,194.85,197.8,200.85,203.35,206.4,209.15,210.6,210.5,210.35,209.85,208.9,207.45,204.9,202.1,199.5,196.35,193.75,190.9,188.05,186,183.5,182.15,179.85,177.45,173.9,171.55,168.95,167.8,167.8,166.85,165.9,164.65,164.55,164.8,165.2,165.6,165.6,166,166,165.45,165,164.65,156.15,148.2,140.5,132.3,124.15,116.15,106.95,98.7,90.7,fold_third
