,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,Deformation
0,162.65,180.95,200.5,220.85,240.8,260.85,280.3,300.85,319.05,337.7,355,363.95,364.7,364.55,364.35,363.75,364.45,368.3,371,374.35,378.8,383.1,386.8,389.65,394.15,400.6,406.9,412.15,419.9,425.45,431.15,436.9,442.35,446.05,449.1,451.95,454.75,454.65,455.65,455.05,451.05,447.55,442.7,437.95,432.1,423.8,415.6,409,402.4,398.1,393.8,388.8,383.6,380.85,377.65,373.6,370.2,366.7,364.75,364.7,365.3,364.35,363.9,363.45,363.55,363.95,365.25,366.2,367.1,367.5,368.55,370.85,373.85,376.9,380.6,385.2,389.55,394.3,397.45,400.4,402.4,405.15,408.95,413,416.9,420.05,423.85,427,430.85,434.7,438.3,441.5,445.95,449.2,454.5,459.55,464.7,470.05,473.55,478.5,483.5,489.35,494.55,500.25,507.1,514.9,522.15,529.9,538.35,546.95,555.9,565.05,572.95,581.5,590.4,599.85,611.7,621.5,635.05,648.3,662.75,676.95,691,703.95,716.2,731.3,746.6,760.55,775.65,790.9,806.5,824.25,842.9,860,873.55,886.55,894.55,903.2,907.8,910.55,912.45,914.55,916.1,916.15,913.8,907.9,900.8,894,880.55,865.65,851.85,833.1,812.85,793.85,774.65,754.95,737.7,721.3,702.1,681.75,662.2,641.7,622.65,604.85,587.25,569.3,552.45,535.2,521.15,505.7,488.7,474.55,460.7,446.65,435.1,424.75,414.2,402.8,393.15,383.9,374.65,365.8,355.6,346.75,339.8,334.35,328.2,321.1,314.35,309.2,304.5,300.8,296.75,294.05,290.1,285.95,281.2,275.6,271.5,268.45,265.25,262.8,260.1,258.1,255.8,253.05,250.75,249.6,248.7,246.85,245.05,241.5,237.8,234.45,230.5,227.1,224.35,223.2,223.55,223.45,224.05,223.85,223.65,222.55,220.5,219.05,216.8,214.55,211.9,210.75,209.3,207.35,205.95,203.95,202.3,201.05,199.8,198.5,196.45,194.7,192.2,189.35,187.8,185.05,183.5,180.7,180.05,180.4,181.5,182.35,183.6,186.3,189.05,189.85,190.95,190.7,191.05,191.15,190.2,189,188.5,188.2,187.5,187.25,186.2,185.65,183.85,181.15,178.3,176.1,175.1,172.45,169.7,168.45,167.1,165.95,164.1,163.35,164.6,165.85,166.3,167.2,167,166.9,167.15,167.25,167.55,167.45,167.6,167.55,167.1,159,151.1,142.9,134.95,126.9,118.8,109.9,100.4,91.2,fold_twice
1,164.6,183.4,202.55,222.05,241.5,261.15,280.85,300.85,318.85,336.95,354.2,363.3,364.2,365.45,365.15,364.85,365.1,367.1,370.15,373.45,377.75,382.3,386.05,390.05,395.1,400.3,405.25,409.95,417.05,422.7,428.15,433.1,437.6,440.6,443.65,446.5,449.1,449.15,449.1,448.5,444.55,440.5,436.35,432.8,427.35,420.55,413.75,406.35,401.4,397.55,392.7,387.3,382.35,378.6,374.95,371.95,368.1,364.7,363.1,362.05,361.65,359.95,358.7,356.85,356.15,356.8,357.9,360.35,360.55,361.05,363.05,366.65,370.2,374.5,379.1,382.6,387.35,391.55,393.45,395.75,398.5,401.9,406.15,410.05,414.55,418.7,423.1,426.55,430.3,433.35,437.05,439.7,442.95,445.5,450.25,455.9,461.15,466.9,471.85,477.95,483,488.9,494.4,499.75,506.15,512.85,519.3,526.1,534.35,543.35,551.6,561.4,570.1,578.85,587.65,597,608.35,619.6,634.65,648.15,661.95,675.7,689.7,703.2,714.85,728.9,743.15,757.8,773.35,789.85,806.15,823.8,842.7,860.45,874.7,887.4,896.3,903.55,906.65,908.65,913.5,916.4,919,920.3,918.7,913.15,907.15,900.1,885.75,868.85,852.1,833.2,813.3,793.2,773.95,754.8,737.3,719.7,699.9,680.1,657.95,636.85,616.4,597.2,580.55,564,547.35,530.45,516.8,502.1,487.85,473.5,460.9,449.3,437.5,426.15,414.45,404.05,397.05,388.7,380.05,371.2,362.1,353.85,346.2,339.5,332.6,324.7,317.4,312.5,308.05,303.5,297.6,292.75,289.15,285.55,282.25,276.65,270.9,267.2,264,261.45,257.8,253.9,250.15,246.95,244.5,242.3,240.7,238.35,236.65,234.9,232.45,229.5,224.85,221.45,218.25,217.65,217.35,216.85,216.85,216.55,217.2,216.85,216.4,215.65,214.4,214.25,213.4,212.8,210.2,207.45,205.1,202.4,200.85,197.9,195.2,192.7,190.95,189.45,188.5,187.75,187.3,187.9,187.75,187.8,187.8,188.35,189.05,190.5,192.75,194.75,197.9,200.1,202.35,204.75,207.5,208.85,208.05,206.85,205,203.1,200.55,197.4,194.7,192.05,189.7,186.8,185.3,183.6,183.8,183.85,182.1,180.2,177.9,175.75,172.7,170.6,170.15,169.8,169.55,169.25,168.65,168.65,168.5,168.6,168.25,168.15,167.15,166.55,164.4,154.4,145.05,136.6,128.6,120.55,112.6,104.7,96.75,89.15,fold_twice
2,163.7,182.35,201.55,221.75,241.45,261.7,281.3,301.9,320.55,339.15,356.45,365.4,365.4,365.65,365.9,365.85,366.3,368.5,370.95,374.05,378.55,383.15,387,390,394.85,399.05,403.9,407.85,413.85,418.55,423.9,428.4,433.2,437.95,440.5,443.05,445.3,445.3,446,445.7,441.8,438.65,434.4,429.9,424.05,417.8,410.75,405.35,400.25,396.5,391.55,387.1,383.35,379.3,375.9,371.9,369,366.4,364.95,363.8,362.7,360.45,359.3,358.45,358.2,359.15,361.65,362.45,362.7,363.45,365.55,368.6,371.7,375.2,379.4,384.25,388.5,392,395.1,398.1,401.55,404.75,408.4,412.4,416.75,420.8,423.95,427.3,430.9,433.9,437.45,440.7,443.65,446.85,451.85,457.15,462.4,467.4,471.4,476.9,481.65,487.5,493.05,498.65,505.25,511.8,519.1,526.8,535.9,545.05,553.65,563.05,572.45,581.7,590.5,599.65,610.8,622.5,636.8,649.85,663.2,677.35,692.15,706.3,718.7,733.5,748.6,762.65,777.8,792.35,806.6,823.15,841.6,858.9,873.5,886.7,895.6,903.35,906.45,909.3,912.35,914.5,916.45,918.25,916.75,911.45,904.45,898.05,884.2,868.85,853.8,836.1,816.1,795.7,775.65,755.85,738.2,720.4,700.65,680.45,660.7,641.15,618.6,597.3,579.45,561.05,542.95,524.9,511.4,497.2,483.25,468.85,454.8,442.2,430.65,419.9,408.95,398.75,390.05,381.15,372,362.15,356.3,348.5,340.55,333.95,328.25,320.85,313.2,308.25,303.4,298,293.5,289.35,283.7,278.2,272.1,265.3,261.4,257.95,255,252,247.95,245.4,243.2,241.6,239.35,237.95,237.4,235.85,234.65,233.45,230.95,227.5,224.75,222.9,222.35,222.5,222,222.1,222.45,222.6,222.35,221.75,220.5,219.2,217.65,216.3,215.4,214.15,211.8,209.2,206.8,205.25,203.95,202.75,200.95,199,197.2,195.9,194.3,192.95,192.15,191.5,191.1,190.45,190.55,191.05,190.25,190.35,191.1,191.95,193.3,194.35,196.15,195.65,196.5,198.3,199.85,199.7,199.05,197.65,195.55,192.85,190.25,187.7,184.95,182,179.6,177.75,177.35,176.75,176.1,175.2,173.8,172.65,170.45,167.45,164.7,163.05,161.7,161.2,161.3,161.2,161.2,161.05,161,161.3,161.1,162.4,161.4,153.15,144.75,136.45,128.15,120.35,112.25,104.55,96.8,89,fold_twice
3,163.7,183.4,203.1,223.25,243.25,262.9,282.45,302.6,320.95,339.7,357.2,366.2,366.9,367.3,367.15,366.1,366.7,370.45,373,375.75,378.85,382.1,385.15,388.6,393.4,398.75,403.9,408.2,414.55,419.5,424.85,430,435.8,440.1,443.15,446.25,448.6,448.9,448.95,448.35,444.35,440.85,436.75,431.8,425.75,419.3,412.25,406.95,401.8,397.3,392,386.95,381.6,376.55,372.95,370.8,368.05,365.4,364.35,364.25,363.85,361.9,361.1,360.55,360.2,359.95,360.55,361.7,363.15,364.5,366.9,370.05,373.9,378.5,382.4,385.2,389.15,392.25,395.2,398.2,401.35,404.8,408.85,412.75,417.5,422.15,426.55,428.4,431.45,434.55,437.9,441.25,444.45,448.2,452.9,458.45,463.5,469.6,472.95,477.75,483,488.85,494,499.3,505.4,511.95,519.85,528.65,537,545.9,554.4,563.55,572.2,580.25,589.25,598.25,609.85,620.75,635.35,648.75,663.7,678.9,693.55,707.7,720.15,734.55,747.95,761.25,775.75,791.1,807.4,825.9,844.8,861.8,876.65,890.5,899.5,907.5,911.3,913.85,915.1,916.4,918.75,917.65,915.25,910,904.85,898.95,885.9,869.7,852.6,831,811.45,792.15,772.45,752.4,734.8,717.25,697.1,676.8,657.4,637,616.05,598.4,581.7,564.1,546,528.1,514.8,501.15,487.2,474.85,460.35,447.15,435.65,424.3,413.35,402.15,392.75,383.7,374.2,365.45,356.75,349.45,339.85,333,325.35,317.45,309.6,304,299.3,294.15,290.3,287,282.8,278.95,274.55,269.8,266.3,263.1,259.75,256.55,252.95,249.25,247.95,245.7,244.55,243.55,242.5,239.9,237.05,234.2,229.95,225.8,220.8,215.4,212.55,211.1,211.35,210.5,210,209.5,208.85,208.1,207.5,206.5,204.6,202.85,199.7,197.55,195.95,194.55,193.5,191.75,191.15,191.15,189.5,187.8,186.45,186.15,185.85,185.75,186.65,186.6,186.4,186.3,187.25,187.05,189.5,192.85,195.35,197.4,198.8,199.6,199.65,199.5,198.85,198.2,196.25,194.35,192.4,190.05,186.9,184.05,181.3,178.4,175.55,174.1,171.7,168.75,168,167.3,166.3,165.7,165.7,165.6,165.25,164.7,164.8,165.45,166.5,166.5,166.85,166.9,166.55,167.1,167,167.1,166.5,166.8,165.7,156.55,148.2,140.2,131.9,123.7,115.4,107.35,99.45,90.85,fold_twice
4,163.85,182.2,202.6,223.4,243.25,262.95,282.35,302.65,320.3,338.65,355.5,364.45,365.65,366.05,367.7,367.25,367.9,368,369.6,372.3,376.2,380.4,383,386,390.3,395.15,400.05,404.25,411.7,418.4,424.95,431.1,436.35,440.4,441.35,444.5,447.3,449,450.15,450.5,447.85,445.05,440.7,436.1,430.7,424.8,418.15,413.1,407.55,400.35,394.2,388.05,382.5,378.4,375.75,372.35,368.75,365.75,364.15,363.25,361.5,359.3,358.4,356.7,355.95,355.8,356.6,357,357.4,360.2,363.1,366.2,370,373.65,377.3,381.15,385.8,389.25,392.5,395.35,398.75,402.3,406,410.35,415,419.4,424.3,427.95,432,434.7,437.95,440.9,444.2,446.95,451.85,457.2,462.2,468.5,471.95,477.65,482.8,488.4,493.9,499.25,506.1,513.25,520.7,528.25,536.75,545.65,553.65,563.2,571.85,580.95,589.85,599,610.6,621.5,636.55,648.9,662,676.2,690.75,704.95,717.4,731.6,745.6,759,772.95,788.3,804.65,822.55,841.4,860.05,876.5,892.3,905.3,916.55,921.45,924.95,928.3,929.25,929,928.8,925.85,920.1,914.1,907.95,895.45,879.75,863.15,844.15,823.9,803.15,781.15,759,736.6,715,692.95,672.5,652.8,634,615.9,597.9,581,563.1,544.75,527.15,513.55,499.4,485.2,470.95,457.2,444.4,431.3,419.4,408.85,397.75,388.9,381.35,372.35,363.45,354.7,346,337.95,331.85,325.9,318.2,310.25,304.9,300.7,295,290.15,285.15,282.1,278.7,274.75,269.85,266.35,261.85,258.55,255.45,251.65,248.75,246.75,244.5,241.15,239.7,238.6,237.05,235.05,233.85,231.65,229.05,225.95,223.05,220.3,219.75,219.65,219.45,219.7,219.65,220.35,220,218.6,218,217.75,216.9,215.25,212.95,209.9,207.45,205.45,203.3,201.45,199.75,198.5,196.2,193.1,191.3,189.4,188.45,186.8,185.8,186.25,185.2,185.1,185.25,186.6,188.95,191.6,193.45,194.5,195.55,197.35,197.75,197.3,197.85,198.05,196.8,195.1,192.85,191.3,188.9,185.7,183.25,180.45,177.65,174.6,173.25,171.45,170.3,169.85,169.4,167.65,166.9,165.6,165.6,166.35,166.2,166.45,166.75,166.55,166.6,166.6,166.6,167.1,167.1,167.4,165.9,165.5,157,148.3,139.85,131.75,123,114.9,105.65,96.8,89,fold_twice
5,166.3,184.35,204.15,223.9,245.1,264.8,284.35,304.2,322.65,341.05,358.05,367,367,366.9,366.9,367.15,367.9,369.05,370.85,374.15,378.1,382.4,385.25,389.05,392.15,397.45,402.3,407,413.45,419.25,425.4,430.8,436.25,440.35,442.95,445.75,447.75,448.45,448.95,448.35,445.2,442.9,439.2,433.95,428.15,420.75,413.95,409.1,404.4,399.4,393.9,389.1,384.15,380.3,377.5,373.2,370,366.8,365.35,363.35,362.2,359.55,358.25,358.15,357.6,358.75,359.9,359.3,358.1,359.55,361.8,364.95,367.95,371.45,375.2,379.75,384.2,388.2,391.05,395,398.1,402.05,406.3,410.15,415.35,419.45,423.55,427.6,432.85,435.7,439.2,441.95,445.75,448.9,453.65,458.65,464.2,469.35,472.85,478.7,484.15,490.65,497.25,502.85,509.2,516.25,523.8,531.45,539.7,548.8,557.75,567.2,576.05,584.7,594,603.4,614.6,626.1,641.2,654.05,666.9,680.3,693.1,706.95,719.7,734.1,748.55,762.8,777.5,792.9,808.45,824.35,840.55,855.5,869.55,883.2,893.45,900.95,904.35,906.9,909.65,911.55,913.6,914.9,912,906,899.8,893.35,879.2,863.3,847.15,829.9,812.65,795.65,775.6,755.6,736.5,718.9,698.8,678.2,659.1,638.65,618.4,598.5,580.45,560.9,542.4,524.45,511.55,497.3,482.7,468.45,454.25,440,428.95,418.15,407.75,397.15,388.35,379.75,370.4,361.5,352.65,344.65,337.35,333.85,328.8,321.85,315,309.8,305.35,300.5,295.55,292.3,286.9,281.75,275.7,269.6,265.55,263.7,260.8,258.35,255.05,251.35,248.5,245.3,242.4,241.25,241.6,240.85,238.7,237.3,235.75,233.4,231.1,228.65,227.4,226.85,226.6,225.3,225.45,225.35,225.85,225.9,225.7,223.8,221.7,220,215.7,211.9,209.45,207.05,204,201.4,199.25,197.8,196.15,194.7,193.6,191.9,189.75,188,186.8,186.55,186.4,187.1,188,188.15,189.5,192.25,194.85,197.2,200.25,202,203.9,204.3,204.65,204.75,203.5,203.55,203.95,203.7,201.75,199.15,196.5,193.5,191.45,189.5,188.1,185.8,184.7,182.75,180.5,178.75,176.7,175.1,173.25,171.7,171.3,170,168.55,167.15,166.65,166.05,165.85,166.15,165.35,164.35,163.6,162.8,162.05,153.15,144.6,136.65,128.9,120.95,113,105,96.95,88.95,fold_twice
6,165.15,183.9,203.25,223.75,244.3,263.75,282.55,303.05,321.3,339.6,356.85,365.75,366.4,366.6,366.05,365.7,365.95,369.15,371.35,374.5,378.05,382,385.7,388.45,391.5,397.7,404.25,408.95,417.05,424.1,429.8,435,439.9,444,447.5,450,452.2,452,453.4,452.8,449.2,445.55,440.95,436.45,431.25,424.05,416.95,411.8,405.1,398.7,393.5,388.55,383.55,379.4,376,372.75,369.15,365.55,361.7,359.35,358.05,356.05,355.3,354.7,354,354.15,354.5,354.55,355.3,356.45,358.8,361.25,365,369.05,373,376.9,381.75,386.2,390.8,395.6,399,402.85,406.8,410.45,415.8,420.3,424.25,427.6,431.25,434.85,438.05,441.95,446.1,449.2,453.65,459,464.15,469.85,473.55,478.95,484.05,490.15,495.35,501,507.45,514.15,522.1,529.6,538.3,547.2,555.75,564.3,571.9,580.5,589.7,598.7,610,621.15,636,648.9,662.3,677.45,691.05,704.45,719.55,734.6,749.1,763.25,778.15,794,810.25,829.1,848.25,867,883.15,897.25,906.5,914.35,917.8,921.2,924.5,925.85,929.4,930.4,925.05,919.35,913.5,907.8,894.7,879.05,862.95,843.05,823.55,802.6,778.4,757.25,739.35,721.25,701,680.2,660.1,639.05,618.45,599.15,582.95,566.55,548.6,530.1,515.75,500.9,486.15,472,457.85,444.5,436.05,425.75,414.7,404.75,395.85,386.55,377.65,368.85,360.2,351.9,343.6,336.05,328.5,320.45,314.3,309.3,304.65,299.25,293.45,289.1,283.8,279.8,276,269.65,266,262.7,259.55,256.7,252.95,250.8,248.05,244.85,243.25,242.85,241.3,238.95,237.1,235.45,233.15,229.75,226.1,222.85,219.5,217.4,217.5,217.6,217.8,218.3,217.5,216.15,215.25,213.95,212.1,210.25,207.35,204.9,202.2,200.55,199.4,197.95,196.95,195.75,194.7,195.1,193.4,192.25,190.8,189.15,187.2,185.5,184.4,183.7,183.25,182.35,182.7,184.6,187.35,189.45,191.05,193.6,194.6,194.4,193.05,192.35,192.1,190.45,188.4,186.6,186.45,185.85,184.15,182.05,180.65,178.8,177.2,175.45,175.35,174.65,173.8,171.65,170.65,169.7,169.1,168.05,166.8,166.55,166.55,167.25,168.25,168.7,168.3,169.8,170.75,171.95,172.15,172.05,170.1,160.4,151.4,143.35,135.25,127.1,119.3,111.4,103.45,95.6,fold_twice
7,165.2,183.95,204.4,225.1,245.75,265.6,285.35,305.6,324.35,343.1,360.4,369.65,369.9,370.4,370.3,372.45,375.55,378.1,380.8,385.5,388.85,392.95,395.7,398.7,402.3,407.1,411.5,416.8,423.85,429.55,435.05,439.95,445.05,448.85,452.3,452.3,452.45,452.4,452.75,450.4,446.75,443.15,438.15,433.05,427.5,421.1,414.65,406.5,398.2,392.35,387.05,382.5,378.25,373.75,370.5,367.1,364,360.9,359.8,358.75,357.55,355.85,355.65,354.8,354.5,354.25,355.45,357.85,360.95,362.75,365.25,367.85,371.05,375.15,378.75,383.35,387.45,392.3,395,397.5,401.9,405.9,409.7,414.85,419.45,424.45,428.1,431.55,435.05,438.25,441.85,444.95,448.2,451.15,455.7,460.65,465.95,470.45,474.1,480.25,484.7,489.95,495.15,499.6,506.05,512.9,520.95,528.85,537.2,546.25,555.05,565.05,573.85,583.25,592.7,604.15,615.6,626.8,641.75,654.9,668,681.75,696.35,710.45,722.9,736.85,753.65,768,783.05,798.4,814.05,832.05,850.7,868.85,884.6,896,904.7,912.15,914.9,917.05,919.5,921.95,924.2,925.8,922.6,917.7,908.85,900.1,885.75,869.8,853.05,833,813.45,792.65,771.6,752.2,734.25,716.75,697.55,678.05,659.05,638.3,617.85,598,581.45,564,546.15,529.85,517.3,502.85,488.5,474.5,460.05,446.65,435.25,423.9,411.35,400.4,391.4,384.4,377.1,369.05,360.15,351.15,343.7,336.6,330.5,322.7,314.4,309.25,304.8,299.7,294.65,290.35,285.2,280.85,278.5,273.4,269.45,264.2,259.15,256.15,252.55,250.1,247.6,245.85,243.8,243.2,241.95,240.1,238.65,236.85,235.2,232.95,230.55,227.5,224.8,223.85,223.45,223.1,223.15,223,222.25,220.5,218.45,217.05,215.45,214.25,213.15,211.7,210.05,208.9,206.5,204,201.25,199.55,197.55,195.5,194.35,191.8,189.15,187.15,186.8,186.15,185.55,183.95,182.6,181.3,180.95,181.95,182.8,183.55,185.35,187.05,188.55,188.9,189.2,189.6,188.2,187.95,187.55,186.45,184.4,183.15,181.55,179.6,178.25,177.1,175.7,173.5,172.7,173.55,174.5,174.6,174.15,174.05,173.95,173,173.8,175.45,175.75,175.45,175.3,175.05,175.15,175.85,175.85,175.85,175.65,176.65,176.55,165.9,155.1,145.4,136.35,127.1,117.95,109.45,100.45,90.75,fold_twice
8,166.3,185.35,205.05,225.45,245.2,266.05,286,306.5,325.15,342.5,359.15,368.1,369.1,368.8,368.55,368.3,370,371.95,374.1,376.15,379,382.3,385.8,389.6,395.1,399.3,404.1,408.45,414.8,421.65,428,433.7,438.8,443.55,446.75,449,450.6,450.25,450.3,449.95,446.4,443.45,438.9,433.55,426.85,420.3,413.1,407.9,402.7,397.5,392.1,386.6,381.7,376.6,372.9,369.7,366.85,364.5,363.4,362.6,362.05,361.95,361.1,360.7,360.3,360.3,361.2,361.45,361.9,363,365.45,368.6,371.85,376.3,380.15,384.5,388.15,392.6,395.65,399.25,402.95,404.8,408.9,412.25,416.75,420.9,425.1,428.6,432.6,435.6,438.65,441.45,444.7,447.6,452.25,457.4,462.95,467.7,471.25,476.2,480.9,488.8,494.85,500.7,508.6,515.7,523.6,531.1,539,548.5,557.1,566.55,575.35,584.1,593.6,603.8,615.45,626.6,641.55,654.5,667.9,680,693.5,707.7,719.1,734.05,748.65,762.85,778.3,794.1,810.95,829.7,848.4,867.1,883.4,898.25,911.3,921.9,926.35,929.55,932.25,934.3,936.65,938.2,936.5,930.8,924.1,917.3,903.9,888.4,871.55,851.7,831.6,810.6,788.65,766.15,743.7,723.4,702.35,681.6,662.2,641.95,622.15,601.5,583.7,564,545.35,526.8,510.95,495.3,480.8,466.8,452.95,439.9,429.15,418.3,407.8,397.5,388.55,379.9,370.7,361.5,352.2,344.15,336.55,331.9,326.9,320.85,316.2,312.5,308.2,302.7,298.2,294.65,290.05,286.25,282.2,276.65,274.3,271.5,270.65,268.15,264.4,262.15,260.15,258.45,256.65,255.7,254.35,251.85,249.8,248.7,245.75,241.45,238.6,235.45,231.55,230,228.2,227.55,225.25,224.9,224.95,223.45,221.95,220.15,218.15,215.95,212.95,210.9,208.05,205.4,203.8,202.6,199.7,197.85,197.35,196.15,194.55,193.3,192,190.25,188.8,188.6,187.9,187.55,187.35,187.9,189.2,191.55,193.85,196.3,198.8,201.1,202.35,203.25,203,202.35,201.1,199.8,198.4,197.5,197.25,195.2,193.05,190.35,187.85,185.05,182.65,179.55,178.55,176.3,173.75,171.55,170.3,168.35,167,166,166,165.8,165.35,165.15,163.9,163,162.45,162.5,162.85,162.6,162.7,162.5,161.9,153.65,145.55,137.4,129.3,121.35,113.3,105.35,97.4,89.5,fold_twice
9,168.05,186.8,206.7,226.15,246.3,266.1,284.6,304.85,322.55,340.7,357.45,366.45,367.05,367.05,366.65,366.9,365.95,367.55,369.4,371.35,376.55,381.25,384.45,388.75,392.95,398.3,404.65,407.7,413.35,418.75,425.05,429.7,434.9,439.6,442.5,444.6,446.5,446.3,447.1,446.9,442.85,439,434.3,429.15,423.15,415.5,408.45,403.9,400.6,396.6,392.05,387.75,383.35,378.4,374.55,371.15,367.75,365.2,364.55,361.9,360.75,358.85,358.1,358.2,358.3,359.2,360.15,361.15,361.25,361.85,363.55,366.25,369,373.45,378,383.05,387.5,390.95,393.25,397.95,401.25,404.4,408.45,411.5,416.2,420.75,425,428.3,432.35,435.7,438.9,443.7,446.95,450.05,455,459.75,465.35,470.4,473.45,478.55,483.75,489.75,495.05,500.7,506.8,513.3,520.8,529,537.25,546.55,555.5,563.05,572.25,581.5,590.75,600.7,612.35,624.3,639.2,652.25,665.65,679.6,693.9,708,721.2,736.55,750.6,763.55,777.6,792.4,807.1,823.65,842.3,860.45,876,889.35,898.45,905.9,909.9,912.4,914.65,917.2,919.15,918.4,914.9,909.5,903.75,898.4,886.5,871.8,858.5,841.65,821.9,801,779.3,759.25,739.05,721.15,703.05,683.5,664.5,643.5,623.4,605.4,588.35,569.9,551.5,533,518.8,504.15,486.9,471.95,458.05,445,433.9,422.35,413.7,403.4,392.6,383.1,373.85,365.55,357.45,349.55,342.15,335.35,329.65,322.25,316.1,311.05,308.85,304.65,300.5,296.85,292.8,288.85,284.65,279.5,275.35,272.7,269.4,266.55,262.15,258.75,256.35,254.45,251.35,249.75,246.7,244.05,240.65,238.4,235.7,232.75,229.6,226.35,223.05,221.75,221.7,220.85,221.9,222.15,222.5,221.05,218.85,216.65,215,213.3,210.15,207.8,204.7,201.65,198.85,196.15,193.6,191.85,190.55,188.9,187.5,186.35,184.65,184,183.7,184.05,185.05,185.9,186.65,187.7,190.55,192.65,194.8,197.55,200.35,201.95,202.9,202.5,201,200.15,198.2,196.7,194.65,191.6,188.75,186.15,183.4,180.5,178.05,175.6,173.05,170.85,170.7,169.6,167.9,166.45,165.25,164.65,164.45,163.6,163.85,164.05,163.8,164,163.9,165.3,166.5,168.1,169.2,170.2,171.1,171.2,169.8,160.45,151.5,143.45,135.55,127.7,119.9,112.25,104.25,96.15,fold_twice
