,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,Stretchability
0,164.35,183.85,203.55,223.5,243.15,262.75,282.2,302.3,320.5,338.65,355.8,364.4,364.65,365.2,367.65,368.65,370.6,372.95,375.25,377.85,381.9,386.2,389.8,394,399.1,404.25,408.7,412.75,418.75,423.5,428.3,432.65,437.5,441.3,442.05,443.35,444.45,444.45,444.75,444.25,440,435.45,430.3,424.3,417.7,410.95,404.25,398.85,392.85,388.4,383.2,379.1,374.7,371,367.9,365.25,362.7,360.55,359.25,358.3,358.7,358.1,358.2,358.6,359.15,360.05,361.15,362.45,364.6,367.1,370.75,373.7,377.3,381.7,385.8,390.05,394.3,397.25,400,403.75,406.7,409.05,413.45,417.25,421.65,426.1,431.4,435.2,439.05,441.95,445.3,448.55,452.4,455.05,460.05,465,470.1,476.45,481.2,486.65,491.65,498.35,503.95,510.25,517,524.35,531.85,539.4,548.7,557.25,565.75,576.4,588.35,598.45,607.6,617.1,629.05,640.85,655.45,669.05,682.05,696.3,710.7,725.1,737.8,750.8,763.75,777.05,790.2,804.35,818.85,833.1,843.85,855.8,866.8,877.2,882.65,885.8,884.45,881.3,879.1,875.5,871,866.25,859.6,851.2,841.85,831.4,815.35,797.6,778.85,758.95,739.7,720.7,700.55,680.5,662.65,645.45,627.3,609.2,591.3,573.15,556.6,538.9,523.7,508.25,492.55,477.35,463.65,451.45,439.1,426.6,415,403.2,391.95,383,374.1,365.85,359.15,352.2,345.95,339.55,332,325.55,318.9,312.9,307.85,301.25,295.9,290.6,286.1,281.65,277.95,275.05,273.05,268.65,263.9,257.95,252.95,250.25,246.9,244.45,241,238.05,235.85,232.9,230.05,228.85,228.4,227.75,227.5,226.7,224.45,221.35,217.7,214.7,212.75,212.05,212.9,212.8,213.25,212.95,212.45,211.15,209.75,210.05,209.2,207.7,204.6,201.9,199.35,199.45,198.55,197.25,195.95,194.95,193.8,191.7,189.2,187.3,184.6,182.65,183.3,184.4,184.8,184.1,184.75,185.8,188.6,191.7,194.05,194.05,195.15,196.85,197.75,198.1,197.55,197.65,197.2,196.3,196.1,194.9,192.25,189.35,186.6,183.9,181.55,178.9,176.25,173.35,170.65,168.15,166.6,165,164.15,163.05,162.2,161.9,161.9,162.05,161.85,161.8,161.65,161.2,160.95,161.8,162.2,162.2,162.45,162.35,163.25,155.1,146.5,138.4,130.35,122.3,114.3,106.3,98.55,90.4,30percent
1,164.4,183.35,202.95,222.3,243.05,263.15,282.25,302.3,320.1,337.65,355.1,364.1,364.35,364.5,365.3,365.5,367,369.25,371.55,374.35,379.2,383.4,387.35,391.35,394.65,399.4,404.5,408.75,415.2,420.65,424.9,429.25,433.65,437.6,439.7,442.75,444.65,444.4,444.5,442.95,437.75,433.5,427.75,422.75,416.5,409.6,402.95,397.9,392.75,388.6,384.5,379.85,376.05,372.35,369.4,365.2,362.4,360.1,359.7,359.6,359.45,358.4,359.1,358.9,359.85,361.35,363.35,364.1,364.8,366.5,368.95,372.4,376,380.15,384.2,389.2,393.6,397.25,400.25,403.95,407.9,411.7,415.15,419.05,423.5,427.35,430.95,434.6,439.3,442.35,446.1,449.45,452.85,456,461.05,466.1,471.25,477.6,481.45,486.85,491.85,499.4,507.05,513.4,520.25,527.65,535.95,544.3,553.15,563.75,573.1,583.5,592.85,602,611.5,620.8,632.6,643.9,658.65,672.1,685.9,698.95,712.15,726.05,738.1,751.2,763.7,776.3,789.45,802.7,816.9,831.55,845.35,858.2,870.3,880.3,884.95,888,886.05,883.45,879.95,876.3,872.65,868.95,862.75,854.45,846.05,835.9,819.75,801.35,783.3,762.3,742.9,723.05,701.7,682.4,665.3,648.55,630.8,612.55,595.35,577.05,559.4,540.6,523.95,508.05,489.5,473.85,462.65,450.55,437.2,425.7,413.85,402.85,393.55,383.7,375,366.5,360.05,353.1,346.65,340.1,332.55,327.7,322.45,317.1,314.35,307.6,299.8,294.1,290.1,285.3,281.9,278.8,274.15,271.25,266.7,260.7,256.2,253.15,250.25,247.6,244.2,240.6,237.8,235,233,233.25,233.9,233.45,232.2,231.9,230,228.6,226.6,223.95,222,221.9,222.2,221.8,221.65,221.7,222.2,221,219.3,217.75,215.3,213.95,211.05,208.3,206.9,204.2,201.1,197.9,195.35,193.45,192.25,191,189.5,188.85,187.1,185.1,183.5,183.15,183.25,182.95,182.75,181.5,182.1,183.25,182.1,182.2,182.85,183.7,183.7,182.65,181.05,179.35,177.85,176.25,176.55,176.55,176.3,175.65,174.15,172.6,171.1,169.6,167.95,166.95,168.15,168.25,168.6,168.3,168.35,168.2,168.35,168.3,168.1,168.2,166.6,165.45,164.25,163.05,163,163.4,163.2,163.1,163.15,163.25,162.9,154.55,146.05,137.7,129.7,121.7,113.6,105.7,97.85,89.7,30percent
2,166.7,185.4,205.35,224.7,244.05,263.2,281.8,301.75,320.05,337.9,354.85,363.3,363,363.15,363,363.05,363.85,365.5,368.15,371.35,375.5,379.8,383,386.95,392.05,399,405.05,409.4,414.8,420.05,425.05,429.8,433.9,436.95,439.6,441.55,443.35,443.2,443.3,442.5,438.05,433.7,428.35,422.8,415.95,407.85,400.7,395,390.55,386.4,381.75,377.55,374.55,370.7,367.05,364.8,361.85,358.75,355.8,355.2,354.35,353.45,354.15,354.75,355.9,356.8,358.2,359.35,360.6,362.5,365.4,368.1,371.45,376.15,380.75,384.65,389.5,394.45,399.2,402.65,406.3,409.95,414.1,418,422.3,426.7,431.5,435.55,438.6,441.7,445.1,448.75,452.3,454.85,459.95,465.05,470.5,476.3,480.35,485.75,491.15,497.55,503.2,509.75,517.1,524.3,532.35,540.75,551.1,561.15,571.5,581.8,591.3,601.5,611.1,620.95,633.35,644.75,659.95,673.8,687.3,702.55,715.9,729.4,741.55,754.75,767.25,779.25,792.05,804.9,817.8,831.95,847.7,861.05,871,880.15,884,886.9,887.95,886.1,884.05,880,877.55,873.6,866.8,858.5,849.05,839.15,822.7,804.6,788.4,769.05,747,725.25,703.15,683.05,665.4,648.3,627.4,607.6,589.25,570.4,552.2,534.3,519.05,503.55,488,473.3,462.7,450.8,435.6,422.15,410.6,400.75,394.3,386.85,378.9,371,364.4,357.8,351.45,344.15,337.15,330.65,324.25,318.6,311.75,303.5,297.9,293.45,289.75,285.8,282.25,279.05,274.8,270.15,265.75,260.15,255.7,253.05,250,247.2,243.6,241.3,239.35,236.95,235.6,235.95,233.55,231.05,228.85,226.5,223.5,219.9,215.95,213.45,211.25,210.4,211.45,210.9,210.7,211.1,210.85,209.35,206.9,205.2,204.8,204.05,202.1,201,199.45,198.5,197.3,196.75,195.95,194.3,193.2,191.7,189.4,188.2,187,186.3,186.15,186.75,187.8,188.4,188.9,188.7,189.55,191.45,194.6,197.6,199.7,200.5,201.8,202.45,202.4,201.6,200.5,199,197.4,195.6,193.65,190.9,188.1,185.35,182.25,179.6,177.6,175.15,173.85,171.9,169.95,168.75,167.5,165.85,164.25,163.9,163.4,163.4,163.05,164.05,165,165.1,165.2,166.15,166.4,166.3,166.1,165.95,164.5,155.45,147.4,139.5,131.4,123.45,115.4,107.4,99.7,91.75,30percent
3,167.35,186.6,206.9,227.15,246.6,266.2,285.85,306.4,324.15,341.65,358.6,366.55,367.25,367.65,367,369.75,373.4,376.05,378.7,381.35,386.1,389.9,392.8,396.45,401.15,406.35,410.9,414.8,421.35,427.1,432.15,436.35,440.1,442.45,445.2,444.95,444.75,444,443.85,442.75,437.8,433.45,427.7,421.65,415.2,408.2,401.85,395.05,387.95,382.45,377.55,373.45,369.9,366.95,364.1,361.45,358.25,355.7,354.85,354.5,354.15,353.35,353.7,353.95,355.1,355.75,356.3,358.5,362.1,365.25,368.35,371.3,374.45,378.1,382.4,386.55,391.15,395.9,399.15,402.1,406.35,410.1,415.4,419.8,424,428.9,433.7,437.25,440.65,443.6,447.5,451.15,455.1,458.45,463.45,468.8,474.25,479.4,483.05,490,494.9,501.1,506.2,512.4,519.65,527.2,535.85,544.35,553.85,564,573.45,585,595.05,606.9,616.3,626,638.4,650.4,665,678.05,691.6,706.35,721.1,735.5,747.95,761.15,773.55,788.4,802.35,815.6,828.75,841.6,857,868.45,878.95,888.75,893.85,896.85,896.55,893.45,890.4,885.95,881.5,875.35,865.6,856.05,847.05,834.2,816.45,797.95,779.4,758.8,735.85,715.05,694.45,673.95,655.9,638.45,618.75,600.35,582.55,564.55,547.6,531.35,518.75,503.25,486.85,471.7,459.7,447.05,434.35,422.5,411.15,400.25,391.4,383.05,373.8,365.9,361.1,354.1,347.6,340.25,332.6,325.65,319.15,314.2,309.4,304.5,299.2,295.15,291.2,286.6,283.15,279.3,274.5,269.35,264.15,258.15,252.7,250,246.95,245.2,242.05,239.9,237.8,235.3,232.9,230.8,229.35,227.2,226.05,225.9,224.4,223.25,222,220.5,219.85,219.8,219.85,219.6,220,219.1,218.2,216.35,214.1,212.6,210.55,209.25,207.4,205.45,202.9,199.8,197.2,194.55,191.85,190.35,188.65,185.75,184.2,182.3,180.5,179.65,177.8,176.85,176.3,175.3,175.4,174.85,176.05,178.95,181.8,184.15,186.1,187.7,189.4,189.65,190.15,191.2,190.95,191.15,190.25,188.85,188.95,188.1,187.15,186.1,184.4,182.5,180.3,177.65,176.45,175.75,175.2,173.9,171.9,170.1,168.05,166.85,165.55,164.2,163.65,163.5,163.5,163.5,163.4,163.7,164.2,164.25,164.4,164.85,164.65,155.2,145.85,137.6,129.8,122.25,114.45,106.35,98.55,90.9,30percent
4,167.4,186.8,206.45,226.2,246.6,266.95,286.9,306.65,324.6,342.45,359.85,368.6,369.4,369.45,369.05,369.15,369.65,371.95,374.35,377.7,381.2,385.4,389.3,395.35,400.85,405.95,410.1,414.85,421.05,426.2,431.3,435.7,439.45,442,445,447.4,449.2,448.55,448.3,447.2,442.8,438.05,432.7,425.45,418.2,410.8,403.95,398.15,392.9,388.45,382.8,377.95,373.7,370.55,367.5,363.85,361.2,359.3,358.45,357.7,358.25,357.35,357.1,357.15,357.35,358.1,359.5,360.75,362.95,364.6,368,371.85,375.85,380.05,384.3,388.85,392.85,396.65,400.9,404.15,406.3,409.9,414.05,418.05,421.95,426.25,431.25,434.65,437.95,441.9,445.4,448.5,451.9,454.8,459.65,465.2,470.9,476.55,479.8,486.3,492.1,500.2,506.3,511.85,519.25,528.25,536.45,545.55,554.65,564.3,574.25,585.05,594.8,604.55,613.85,623.55,635.7,647.7,662.9,676.3,690,702.6,715.95,729.7,741.85,754,766.6,779.25,793.15,806.3,819.1,832.5,847.6,862.8,874.3,884.3,890.05,893.25,891,887.65,884.75,880.4,876.8,872.25,865.3,855.9,846.5,835.55,818.55,800.35,781.95,762,740.25,717.4,696.55,676.35,657.85,640.5,622.45,603.95,586.1,569.3,552.65,535.55,520.2,503.95,486.9,471.6,459,447,435.3,424.55,414.35,403.85,394.75,386.5,378.3,370.05,362.75,356.35,350.1,341.7,334.5,328.4,322.3,317.3,313.15,306.85,300.6,294.95,289.65,283.9,279,275.65,271.3,265.4,259.25,252.35,249.5,246.35,244.3,242.45,238.9,236.55,234.5,232.65,230.35,229.4,229.05,228.4,228.15,227.6,226.65,224.3,220.9,219.15,218.25,219.3,218.6,218.1,217.3,217.6,218.4,217.8,217.1,216.55,216.1,215.6,213.9,213.4,211.6,209.2,207.65,206.85,205.8,204.15,202.25,200.65,199.45,198.6,196.6,195.2,193.8,192.25,190.7,189.25,188.1,186.65,187.65,188.35,189.85,192.4,194.1,195.6,197.95,198.9,200.05,200.6,199.5,198.05,198.35,198.15,198.6,199.7,199.55,199.15,198.65,197.7,195.4,193,190.65,188,184.65,182.05,179.65,178.05,175.85,173.8,173.6,173.45,171.9,170.3,167.7,164.95,163.3,162.45,160.95,160.5,160.5,160.45,161.4,153.3,145.55,137.45,129.35,121.55,113.65,105.75,97.75,89.75,30percent
5,164.3,182.75,202.4,222.15,241.8,261.15,279.4,299.45,317.95,336.15,353.65,362.4,363.1,362.8,362.5,362.6,362.65,366.1,368.8,372.9,377.1,381.9,385.25,388.95,393.15,398.4,404.45,407.7,412.6,417.5,422.6,427.15,431,434.05,436.75,438.9,440.65,440.2,440.4,439.85,436.55,433.2,428.1,422.35,416.05,409.3,402.35,398.8,395.1,391.9,387.4,382.55,378.2,375.1,372.5,369.7,366.8,364.8,363.95,362.2,361.4,359.2,359.55,360.8,361.8,363.05,364.75,364.9,366.2,367.25,369.45,373.3,377.4,381.8,385.6,389.9,394.05,397.95,400.95,405.5,408.8,412.5,416.3,419.85,424.4,428.9,433.4,437.1,440.55,443.7,446.75,452.05,455.45,458.05,463.1,468.65,474.2,479.35,483.65,489.15,494.9,501.65,508,514.45,521.9,528.5,537.35,546.15,555.15,564.8,575.25,584.05,593.75,604,613.8,622.9,635.3,647.75,662.5,676,689.35,703.35,717.5,733.25,746.6,761.45,774.15,788.05,801.75,815.85,829.15,842.85,859.25,872.7,883.2,892.4,896.55,899.3,897.15,894.05,891.7,888.45,884.95,878.05,869.6,859.05,848.55,834.6,816.95,797.7,778.2,757.85,735.25,714.2,693.4,673.95,654.4,637.45,620,602.3,584.15,565.45,547.3,530,515.15,500.45,485.2,472.25,461.6,449.35,437.25,425.3,414.05,403.05,394.45,385.45,379.2,370.7,362.95,355.6,348.9,342.25,335.8,329.25,322.7,316.9,311.95,304.95,300.1,297.1,296.25,292.9,288.85,285.95,281.6,277.35,272.25,266.4,263.4,260.5,257.8,255.1,251.45,249.35,247.25,245.45,242.6,241.85,239.15,235.35,230.25,227.35,224.35,220.95,217.5,214.4,212.45,212.35,211.7,210.65,210.75,210.9,210.3,209.6,208.85,206.9,205.55,204.7,203.9,204.85,204.9,203.85,203.05,201.9,200.8,200,198.7,197.55,197.35,197.95,197.55,196.4,195.8,194,192.5,193.1,192.6,191.65,191.1,191.2,192.1,194.95,197.5,199.4,200.95,202.7,203.4,202.8,200.7,198.25,195.25,193.45,192.3,191.9,190.3,187.4,186,184.25,182.8,180.8,179.9,177.8,175.55,173.7,171.6,169,167.25,166,165.85,165.55,165.6,165.5,165.25,165.2,166.25,167.2,168.05,169.85,170.3,170,169.4,160.25,151.75,143.7,136.05,128.1,119.95,112.1,104.05,96.35,30percent
6,168.65,188.25,207.95,227.8,247.2,265.85,284,303.95,321.7,339.85,357.05,366.65,367.05,364.9,364.5,365.3,366.9,368.7,372.55,375.15,377.75,381.15,385,388.65,393.5,399.4,405.3,409.85,416.4,421.1,425.8,429.7,433.65,436.6,439.2,441.4,443.05,443.25,441.55,440.5,437.35,433.55,428.05,423.05,416.85,410.4,403.9,398,393.1,387,382,377.65,374.15,371.45,368.3,365.3,361.95,359.55,358.95,358.8,358.7,357.55,357.25,357.05,357.15,357.75,359.4,360.6,361.75,365.9,369.35,372.25,375.3,379,383.2,387.35,391.85,396.6,399.9,403.15,406.2,411.3,415.6,419.95,424.9,429.25,433.5,437.7,441.55,444.5,448.25,451.9,455.3,459,464.2,469.3,474.7,480.3,483.7,490.25,495.85,501.1,507.25,513.4,520.4,528.15,536.4,544.6,553.95,564.25,573.9,584.3,593.95,605.85,615.65,625.55,638.7,650.6,665.65,678.3,691.65,705.4,720,733.8,745.95,758.9,771,782.85,795.2,808.65,822.05,835.85,851.5,861.55,871.15,880.5,883.9,886.4,884.9,883.65,881.75,878.4,874.45,870.35,864.35,856.15,845.25,834.8,818.55,799.75,780.9,760.8,739.25,718.9,699.7,680.5,664,647.5,629.35,609.15,590.65,572.1,554.55,536.8,520.8,504.4,490.5,476,464.7,452.1,439.4,427.7,415.55,404.55,395.25,386.05,377.05,367.55,362.4,356.1,350.45,346.1,339.05,332.55,326.4,321.2,316.65,309.95,302.75,297.55,293.2,288.2,284.45,281.5,276.85,272.2,267.25,261.85,256.45,253.25,249.45,244.45,241.1,238.8,236.45,234.35,232,231.65,231.75,231.45,230.65,229,226.6,223.8,220.7,218.55,217.1,217.15,216.9,217.1,217.2,216.85,217.35,215.9,215.1,214.4,213.35,211.05,208.15,205.2,202.7,201.55,200.2,198.65,197.3,195.25,193.25,191.4,188.75,186.75,185.1,183.35,182.6,183.05,182.9,181.6,180.8,181.75,183.85,187.35,189.8,192.15,194.1,196.2,197.45,198.55,198,197.1,196.8,195.55,194.1,193.3,190.75,187.5,185,183.6,182.35,180.7,179.3,177.15,177.45,176.95,176.55,177.35,178.95,180.15,180.95,180.8,181.1,182.5,182.75,182.65,182.7,182.7,182.35,182.4,181.5,181.2,180.8,179.7,178.2,168.15,158.7,147.9,137.1,126.45,117.05,108.9,100.75,91.45,30percent
7,166.95,185.8,205.5,225.35,244.9,263.8,282,300.7,318.8,336.9,353.9,363.25,363.8,363.25,362,362.05,363.8,366,368.5,371.35,375.1,379.65,383.6,389.8,396,401.8,407.35,412.95,419.2,423.95,428.6,432.7,436.2,439.5,442.35,444.6,446.5,445.95,445.85,444,440.25,436.35,431.5,423.5,415.85,408.75,402.3,396.75,391.8,388.2,384.2,380.1,376.7,373.25,370.3,366.9,364,361.4,360.1,360.1,359.3,357.95,357.25,357.7,358.2,360.3,362.05,363.05,364.35,365.75,368.5,371.65,375.95,380.4,384.15,389,393.4,397.85,401.7,405.7,409.4,412.6,417.05,420.95,424.85,428.15,432.4,436,439.7,442.9,446.75,450.25,452.5,455.3,460.65,465.9,471.25,477.35,480.95,486.6,492,498.8,504.4,512.55,520.15,528.35,537,545.35,554.4,564.4,573.55,583.65,593.85,603.75,612.7,621.75,633.9,645.25,660.05,673,686.25,699.35,712.75,723.85,736.15,748.75,761.3,774.6,787.9,801.55,815.3,830.5,847.25,862.8,874.65,886.1,892.1,895.8,894.1,891.75,889.4,886.05,883.15,879.65,873.05,864.75,855.75,845.15,828.75,810.5,791.45,770.1,747.1,724.3,703.75,683.3,664.5,646.55,628.4,610,592.15,574.2,556.65,538.8,522.3,506.4,490.15,475.85,463.6,451,440.65,429.6,418.1,407.25,397.1,387.7,378.75,370.45,363.15,356.5,349.95,342.5,334.6,328.4,323.15,317.7,312.6,304.55,297.8,292.4,285.75,280.15,276.55,273.75,269.8,264.9,259.8,254.15,250.75,248.05,245.25,243.75,241,236.65,233.5,231,228.25,228.15,228.9,228.4,227.95,227.7,224.8,223.1,221.1,219.75,218.7,218,218,217.85,217.9,218.25,218.6,218.85,217.55,216.4,215.2,212.55,208.5,205.55,203.15,200.4,198.65,196,193.65,192.15,190.65,189.5,188.2,186.6,184.85,183.1,181.8,181.75,182.7,183.2,183.75,185.3,188.05,191.35,192.65,193.8,195.1,196.3,197.3,197.6,197.4,197,196.15,194.6,193.35,191.65,190.15,189.35,188.45,186.55,184.15,181.25,178.65,175.8,175.3,174.2,172.95,171.3,170.3,168.7,167.15,166.25,165.65,165.55,165.55,165.3,165.15,163.95,162.15,162.1,162,162.45,162.25,163.05,163.6,155.5,147.5,139.5,131.4,123.25,115.5,107.5,99.6,91.75,30percent
8,165.2,183.65,203.7,223.45,244.7,264.7,283.25,303.3,320.75,338.65,355.8,364.75,365.2,365.2,364.9,365.6,366.45,368.45,370.55,373.35,378.85,384.15,387.4,391.35,394.2,398.7,404.45,409.05,416.15,421.75,427.65,432.75,436.75,439.85,443.1,445.5,448.35,448.2,448.2,447.6,443.4,438.4,432.7,427.35,421.3,414.65,407.75,401.35,396.6,393.05,388.1,383.05,378.55,374.7,370.8,367.2,363.9,361.2,360.35,359.3,358.9,358.05,359.55,359.35,360,361.15,362.7,364.1,365.05,365.9,367.95,371.05,375,379.15,383.6,388.25,392.4,396.55,400.05,403.25,406.5,409.75,412.95,417.2,421.6,425.85,430.3,434.25,437.6,441.1,445.15,448.35,451.75,456.7,461.9,467.15,472.85,478.45,482,488.15,493.95,500.95,506.75,513.9,521.4,528.8,536.65,545.05,554.4,563.95,573.05,583.6,593.35,601.95,611.75,621.75,633.35,645.25,660.65,673.9,687.3,701.25,716.2,729.35,741.85,755.25,770.25,783.4,797.35,809.9,823.5,837.9,854,866.95,877.4,887.2,892.65,896,893.65,890.85,887.5,883.35,878.4,873.45,866,856.7,842.6,831,813.25,795.6,777.25,756.7,734.4,713.9,694.05,674.4,656.5,639.05,623.3,606,589.4,571.65,555.5,538.95,523.8,508.7,496,482.45,472.65,460.85,447.9,436.1,424.55,413.75,404,394.15,385.5,377.65,367.8,360.05,352.85,345.45,337.45,330.5,324.1,318.9,314.2,306.9,298.7,293,291.15,287.4,283.6,278.55,273.35,268.45,262.15,255.4,252.45,249.25,246.35,244.25,241.65,239.15,236.4,233.55,230.9,231.2,232.15,231.35,228.15,226.6,224.4,222.7,220.25,218.15,217.7,218.35,218.2,217.65,217.55,218.05,217.8,217.15,216.9,215.7,214.6,212.25,208.2,205.65,203.1,200.3,198.5,197.15,196.1,194.85,193.3,191.25,189.65,188.65,187.2,185.75,184.55,184.05,183.85,184,183.9,183.85,186.15,188.85,190.65,193.05,194.8,196.45,198.1,199.75,200.2,199.35,198.25,197.05,195.85,194,192.1,189.6,186.65,184.1,181.65,179.35,176.95,174.55,174.25,172.4,170.55,169.15,167.4,165.25,163.5,163.35,162.9,162.75,162.7,162.65,162.65,162.5,162.25,163.5,165.85,167.6,168.8,170.1,169.45,161,153.1,145,137,129.05,121.25,113.15,105.5,97.7,30percent
9,168,187.25,206.95,227.15,246.75,266.35,284.95,305.15,323.1,341.5,359.1,366,367.6,367.95,367.6,367.55,369.45,372.15,374.7,376.8,377.75,380.8,383.75,387.4,392.15,397.05,403,407.15,413.35,418,422.55,426.55,429.4,432.9,435.35,437.65,438.85,438.55,438.3,438.45,436.35,433.05,428.25,423,417.05,410.95,403.8,397.95,392.85,389.05,384.45,380.1,378.9,375,372.55,371.7,369.2,366.25,365.4,364.3,363.85,362.65,363.25,362.75,362.7,363.3,364.75,366.2,367.55,369.2,372,375.6,376.85,381.55,385.55,387.6,391.25,395.8,399.7,403.3,407.05,411.6,415.8,421.15,425.85,430.05,434.6,439.15,443.15,446,449.9,453.1,456.8,459.55,464.6,470.05,475.75,481.5,484.9,491,496.35,501.85,507.05,512.05,519.4,526.55,534.5,542.05,551.3,561.5,570.4,580.25,589.35,599.05,608.6,617.5,630.5,641.8,656.15,669.2,682.55,696.55,711.3,725.2,737.25,751.05,764.45,777.6,791.25,804.35,817.9,831.7,847.7,861.15,871.5,882.3,887.2,890.2,888.65,885,881.65,877.85,873.65,869.65,863.15,853.95,844.05,834.1,819.4,802.35,783.85,764,742.35,722.3,702.7,682.85,664.55,648.15,630.85,613.7,597.1,578.95,561.6,543.65,528.15,513.2,497.5,482.05,468.65,455.55,443.2,431.25,419.4,408,398.5,389.7,380.6,371.95,365.35,358.35,351.35,345.25,336.8,330.3,324.05,318,312.9,305.75,298.9,293.9,289.75,285.1,281.7,278.45,274.05,269.25,265.55,259.85,255.65,252.1,249.4,246.2,243.6,240.85,238.7,236.25,234.15,233,231.95,230.65,230.05,229.75,227.4,224.45,221.05,218.35,215.6,215.25,215.05,215.3,215.4,214.8,214.3,213.45,212.75,211.55,209.55,207.65,205,202.05,200.05,197.35,195.35,193.75,192.65,191.95,190.45,188.6,187.15,186,184.15,184.15,185.45,185.05,184.35,184.9,185.9,187.35,189.8,192.95,193.85,195.25,196.4,197.5,198.35,198.45,198.8,199.5,198.9,197.5,196.2,194,191.3,189.25,186.4,183.4,180.55,177.55,174.65,172.05,171.65,170.8,169.75,168.8,167.9,167.2,166.75,165.15,164,165.2,165.5,165.85,165.55,165.7,165.85,166.35,166.45,166.4,166.55,166.4,165.3,156.9,149,141,132.95,124.15,115.1,106.75,99,89.65,30percent
