,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,Fruits
0,176.75,196.15,216.7,237.95,259.3,281.1,303.7,327.55,352.45,375.25,398.95,413,416.35,418.7,420.35,422.45,421.75,422.7,423.4,424.9,426.1,426.25,423.75,420.25,417.55,413.95,409.55,405.85,400,395.65,391.8,390.05,389.15,388.85,389.15,390.3,391.15,392.65,395.5,397.35,399.25,401.5,404.8,408.35,412.85,418,423.8,428.4,435.65,443.55,449.25,454.55,460.35,466.05,472.65,479.05,486.1,492.35,499.55,508.2,514.8,523.95,532.25,542.45,552.4,561.3,570.15,579.6,588.2,597.9,607.05,618.2,629,638.9,648.35,658.1,668.25,677,683.25,689,696.8,703,709.75,714.25,715.7,716.25,715.15,712.95,707.55,699.5,694.55,684.95,673.55,663.9,653.1,640.2,628.6,614.95,602.05,586.65,569.1,550.95,535.6,520.6,507.65,495.85,485.25,473.55,462.75,451.8,438.35,427.1,418.85,408.75,400.45,393,384.4,378.15,369.6,362.2,357.4,351.25,343.3,336.65,327.55,318.9,312.05,305.7,299.7,294.4,291.7,288.35,282.85,279.3,275,271.8,270.25,268.65,266,262.3,258.05,256.7,254.7,250.95,250.35,250.05,248.8,248.8,248,246.65,244.05,241.6,241.2,238.95,238,237.25,234.3,229.95,227.7,227.15,225.95,223.75,223.6,222.9,220.7,219.65,217.55,215,214.45,213.85,211.8,210.1,208,205.6,204.1,200.95,198.95,198.7,197.6,196.7,195.9,194.95,192.9,192.35,192.3,190.35,187.45,183.8,178.95,178.75,178.25,180.4,181.35,183.2,182.9,183.8,183.75,182.45,182.75,182.15,181.7,181.35,180.85,180.95,181.7,182.4,184.3,186.2,190.1,190.1,191.2,190.85,190.3,188.3,186,184,182.2,181.9,182.95,184.95,185.9,187.1,187.7,189.15,189.15,189.25,188.3,187.55,186.55,185.4,183.85,181.65,180.6,180.45,180.55,180.75,181.4,181.15,180.3,178.75,178.1,177.95,177.8,176.15,175.45,175.1,175.45,175.85,175.45,177.15,178.7,180.6,181.45,182.75,182.8,182.65,181.65,180.55,178.85,177.95,176.8,175.55,174.25,173,171.25,170.2,169.4,168.3,167.3,166.1,166.4,165.6,165.9,165.1,165.6,164.6,163.6,163.6,164,164.25,164,164.3,164.7,164.65,165.7,167.55,170.05,172.8,174.5,174.8,173.95,165.2,156.1,147.75,139.25,131.55,124.1,116.2,108.3,100.35,Apple
1,177.55,197.75,218.95,240.7,262.35,283.65,305.1,328.5,352.8,375.85,399.5,413.85,417.1,419.45,420.65,422.7,424.1,422.3,423.55,423.95,425.8,424.3,421.3,417.75,414.05,410.65,407.8,404.4,400.85,399.2,395.4,393.2,392.4,392.2,392.75,393.55,394.95,397.1,399.1,401.95,403.8,406.9,410.7,414.95,419.95,424.8,429.6,434.15,439,443.15,448.6,455.4,461.55,466.95,474.45,481.35,489.15,496.3,503.4,511.05,518.7,527.25,535.35,544.1,552.75,562.25,571.45,580.05,589.45,599.65,609.3,619.7,629.65,639.45,647.3,655.25,662.95,670.75,678.05,686.7,692.8,699.25,703.25,707.45,710.5,711.35,710.5,708.35,702.45,694.75,689.4,679.5,670.65,662.45,652.75,642.9,632.65,619.85,606.2,587.95,570.9,553.4,539.95,525.65,512.35,499.45,488.35,478.4,467.7,457.05,443.25,431.05,420.45,409.4,399.8,390.8,381,375.55,365.85,358.95,354.7,349.2,341.55,334.15,326.5,322.2,317.6,313.6,309.35,304.95,301.9,298.3,292.75,288.55,284.7,280.75,279.25,276.5,274.8,271.4,267.65,264.5,262.3,259.05,257.4,254.15,249.25,242.55,238.4,235.35,232.2,230.7,229.8,227.4,226.95,226.3,225.1,223,221.25,220.2,217.15,214.75,213.1,212,209.75,207.9,207.85,208.65,209.7,209.2,208.5,207.45,206.2,204.9,203.25,202.05,200.4,197.5,195.85,197.2,198.3,199.75,200.8,201.3,201.95,201.9,200.45,197.15,194,192.2,191.3,190.5,190.4,190.35,188.45,186,183.3,181.15,180.5,177.6,175.95,174.2,172.25,171.65,170.95,171.4,172.65,175.5,177.4,178.6,178.55,178.45,178.2,177.55,178.05,179,180.05,181.45,182.55,183.55,184,185.2,186.3,186.8,185.75,183.55,181.4,179.5,177.95,176.6,176.5,176.25,175.2,174.95,173.25,172.15,171.1,170.5,170.15,169.9,170.8,170.85,169.25,168.9,169.8,169.85,170.4,170.25,171.3,172.85,174,175,177.35,178.7,179.9,179.4,179.95,179.25,177.7,176.85,174.55,172.95,173.15,171.15,170.2,168.75,168.05,167.75,166.6,166.3,166.75,167.35,165.4,164.6,165.05,166.15,164.5,163.55,164,164.05,164.8,164.75,164.75,165.05,164.55,164.85,164.4,164.05,164.3,164.2,163.85,154.7,146.7,138.4,129.25,120.25,112.45,105.1,97.15,89.3,Apple
2,181.65,200.8,222.2,243.35,265.35,287.95,311.5,335.55,357.75,380.5,404.1,417.8,420.85,421.75,423.25,424.75,426.3,424.9,422.7,423.25,424.75,425.3,422.7,419.45,416.45,412,406.75,402.75,401.6,400.15,396.5,394.3,393.2,392.9,392.85,394,393.95,396.1,400.95,403.5,404.95,407.15,410.35,414.9,418.8,423.2,428.7,433.6,439.25,443.65,449.15,454.85,460.1,466.4,472.8,479.4,487.4,494.25,501.4,508.85,516.55,525.15,533.4,542.5,551.35,560.85,569.75,578.6,587.8,598.25,607.75,619.2,630.8,642.75,652.7,662.5,671.75,679.85,687.3,695.5,702.25,709,715.4,719.6,722.7,723.6,722.2,719.5,712.8,704.9,700.15,690.35,681.75,672,661.7,649.5,638.2,624.35,610.15,592.6,575.6,557.5,541.05,525.85,510.5,498.8,488.35,474.7,463.05,452.2,437.7,425.85,414.8,402.15,392.85,384.45,374.75,369.45,361.55,353.65,349.25,343.9,337.55,332.8,327.15,321,315.9,314.75,310.75,306.4,303.4,299.3,293.65,290.85,287.3,283.9,280.95,275,270.5,268.65,264.85,262.05,258.5,253.65,251.65,246.05,242.15,238.2,235.8,233.5,231.15,230.15,229.3,227.1,225.45,224.95,224.35,225.3,225.1,223.05,221.15,219.75,220.55,220.05,218.75,221.05,220.85,219.9,219.65,220.3,220,221.85,221.05,219.1,218.5,216.35,214.55,212.25,210.55,209.5,208.1,206.6,204,202.8,202.85,201.55,199,195.45,192,188.35,186.1,183.85,184.15,185,183.35,182.4,181.95,181.05,180.85,181.8,181.7,183.15,184.5,185.45,184.2,184.05,184.85,187.1,190.1,191.75,193.55,192.4,190.85,188.95,188,187,184.75,183.45,183.85,183.85,185.9,186.5,185.2,184.95,184.45,183.85,183.15,181.8,179.7,178,176.3,175.9,176.15,176.2,175.75,174.75,175.4,175.5,174.75,174.75,173.75,172.95,173.9,173.25,172.85,171.95,171.65,172.05,173.05,174.3,175.75,176.15,175.95,176.35,177.55,177.95,178.85,178.45,178.6,178.1,177.25,175.65,174.1,171.9,172.1,171.35,171.3,170.9,169.8,168.8,168.95,169.05,168.6,168.8,167.6,167.2,165.45,164.65,164.1,162.9,162.8,162.55,162.5,163.15,162.1,161.95,161.35,160.85,161.35,163.15,163.15,154.55,146.55,138.25,130.4,122.45,114.35,107.05,98.8,91.4,Apple
3,178.45,198.55,219.75,241.3,263.5,286.1,309.2,334.2,358.5,380.75,403.8,418.3,422.2,423,424,424.95,427.45,426.75,425.45,426.35,427.25,426.5,423.4,419.9,416.2,411.8,407.1,402.95,399.55,398.35,394.35,391.8,390.6,391.25,391.4,392.1,392.75,394.3,397.6,400.5,402.45,404.9,408.95,412.8,418.2,423.2,429.2,433,438.15,443.2,450.15,456.65,462.25,468.25,474.75,481.9,489.4,496,504.05,511.3,519.4,528,537.95,548,555.45,564.85,573.1,581.95,591.2,601.25,610.45,622.2,633.7,643.85,653.1,661.65,669.95,678.05,684.05,690.95,696.35,702.65,707.25,710.9,714.2,714.6,713.7,711.05,705,697.3,692.55,682.55,673.95,664.8,653.3,643.25,632.95,619.8,607.3,590.6,574.25,557.15,541.65,526.7,513.35,501.85,491.3,480.65,469.7,458.35,444.9,433.65,422.4,411.95,404.9,395.65,386.05,379.85,370.9,363.65,358.6,352.9,345.45,338.6,331.4,324.85,318.05,310.55,305,301.6,297.6,292.95,288.8,284,279.05,276.1,275.4,274.05,272.25,269.9,266.8,264.55,262.25,258.7,256.85,254.9,253.45,253.25,251.45,248.7,245.8,244.35,241.85,240.25,240.45,240.1,237.85,235.6,233.65,233.8,232.4,231,230.7,231.3,229.6,227.95,226.55,225.2,225.35,223.4,221.4,219.5,217.1,214.8,212.45,210.35,207.75,205,203.65,201,198.9,196.6,194.75,193.3,191.75,190.1,187.55,184.9,181.45,180.3,180.25,182.35,184.7,185.15,184.35,183.95,183.7,182.6,182.45,182.65,183.1,183.15,182.1,182.8,185.1,185.95,188.25,190.8,194.4,195.95,197.5,195.85,193.75,193.2,191.8,189.4,187.2,186.15,185.3,185.15,186.2,187.4,188.9,188.25,187.3,187.55,187.35,185.8,183.75,182.2,180.85,180.25,180.25,179.3,178.9,179.45,180.5,180.25,180.55,181.15,180.7,181.35,181.3,180.95,180.25,179.15,177.3,177.35,178.25,181.7,182.65,184.2,183.65,184.4,187.5,188.65,189,188.2,187.5,186.85,185.9,184.25,182.4,180.85,179,176.9,176.1,175.4,173.7,170.55,170.6,169.55,170.05,170.15,168.55,166.75,166.05,165.9,165.8,164.8,164.55,163.7,163.7,163.6,163.7,165.1,165.95,166.85,167,167.35,166.55,158,149.95,141.65,132.3,124,114.95,107.45,99.45,92.05,Apple
4,179.2,199.2,220.3,241.4,262.65,284.45,307.3,331.1,354.95,377.75,401.15,414.4,417.15,418.4,419.95,422.9,425.15,424.6,424.55,425.35,425.45,423.6,420.8,418.2,415.15,411.6,407.5,403.6,401.35,399.9,396.3,393.8,392.5,392,392.25,393.15,393.15,393.65,397.3,399.6,403.05,406.65,410.35,414.3,418.95,423.55,428.6,433.2,437.55,442.1,447.9,453.8,460.85,467.7,474.1,480.25,488,495.4,502.35,509.6,517.55,526.65,536.5,545.65,553.9,563.05,571.35,579.75,589,599.3,608.45,619.9,630.1,639.6,649.3,658.15,667.6,676.75,684.55,692.1,698.5,705.15,709.65,713.75,715.85,717.1,717.4,715.85,710.4,702.15,697,686.7,677.85,669.45,660,649.1,637.65,623.15,609.05,591.85,573.95,555.9,540.15,525.7,513.2,501,489.3,478.35,466.75,455.75,442.4,432.9,422,409.8,399.8,390.95,381.45,372.8,363.55,358,354.9,349.55,342.35,335.65,329,323.75,318.7,313.75,309.65,305.7,302.65,297.65,291.85,288.45,284.65,281.6,280.35,280.05,277.7,273.45,268,264.6,262.15,258.15,257.15,255.05,254,252.7,250.85,249.75,247.75,246.5,245.4,242.25,240.4,238.35,236.05,234.45,233,232.05,231.6,230.2,230.2,230.55,228.25,225.4,221.75,218.25,216.35,213.2,209.95,206.85,205.2,203.8,202.8,201.95,200.3,199.05,198.4,197.25,194.65,196.7,196.55,195.75,195.9,195.7,193.9,190.65,188.3,187.25,187.05,187.85,188.85,191.1,191.8,191.85,191.65,190.1,190.05,190.75,191.2,187.9,185.35,184.85,183.35,183.15,184,186.45,188.55,189.55,190.6,191.5,191.9,190.25,188.55,186.2,184.8,184.8,184.25,184.55,185.65,187.4,188.35,188.4,187.6,186.5,185.2,183.35,181.25,180,179.1,177.3,175.6,174.8,173.7,174.3,174.5,174.15,173.85,172.95,172.65,172,171.75,171.2,170.75,170.75,170.85,170.95,172.2,173.7,175.4,176.55,177.55,178.6,180.7,182.05,183.8,184.2,183.75,183.05,183.1,182.35,181.85,181,180.75,179.15,179.55,180.3,179.5,178.75,179.25,180.35,179.8,179.35,177.2,174.9,172.4,172.6,172.9,173.55,172.25,171.95,172.1,173.15,173.6,173.95,173.05,172.4,172.85,172.6,171.25,161.35,152.95,144.6,136.55,128.35,119.6,109.6,100.85,92.2,Apple
5,178.55,198.7,220.05,241.3,263.15,285.6,308.1,332,356.55,379.05,400.45,413.75,417.35,417.65,418.8,421.1,423.25,422.15,421,421.7,423.4,421.85,418.35,415.25,411.9,407.75,403.3,398.85,395.45,394.25,393,391.65,389.25,389.15,389.55,389.95,390.6,392.35,395.25,396.8,398.75,402.4,405.85,410.6,415.05,420.35,427.2,432,436.4,440.65,446.3,452.4,459.1,465.25,471.6,479.2,486.5,492.95,501.5,509.95,517.8,525.75,534.15,541.7,550.2,559.3,567.4,576.15,586.2,596.35,605.4,616.6,627.35,637.9,649.2,658.65,667.75,676.05,683.1,690.95,697.55,704.6,711.35,717.4,721.5,722.25,720.8,718.8,712,704.7,699.5,689,681.1,672.9,661,649.35,638.7,625.55,611.2,593.55,576.9,559.05,543.25,527.55,513.7,501.1,489.25,478.1,467.75,456.55,442.75,431.45,419.45,407.8,398.9,390.45,382.75,377.2,369,362.2,357.45,352,345.6,339.15,331.75,326.3,322.35,317.65,312.35,307.8,304.85,301.55,296.25,292.55,288.8,285.3,281.4,277.95,274.55,272,267.85,266.25,263.7,259.7,257.15,254.05,251.75,250.15,248.05,246.3,243.75,242.7,241.9,238.95,237.55,236.55,234.2,232.25,231.25,228.9,226.35,222.9,222.15,222.65,221.8,220.75,218.55,216.45,216.55,215.45,213.85,213.7,213.8,212.75,208.85,206.8,205.9,204.65,204.25,205.55,207.05,208.15,207.6,207.45,207.05,206.6,204.45,200.85,197.15,195.5,194.55,191.7,190.25,190.15,191.3,191.1,190.3,189.15,188.35,186.75,184.2,182.25,179.65,177.8,177.35,177.4,179.15,181.9,185.65,186.75,187.55,188.2,187.55,187.45,186.3,185,183.75,182.7,182.05,182.7,184.25,185.65,187.8,187.5,185.95,183.95,182.85,182.15,179.65,178.8,178,177.9,176.9,176.4,176.6,175.6,175.9,176.7,177.1,176.8,176.2,175.4,173.95,174.9,176,175.95,175,174.9,176.7,177.2,178.75,179.35,180.9,180.3,180.5,180,179.8,179.05,177.85,176.1,175.9,175.3,175.2,173.15,171.25,171,170.5,170.2,168.3,167.75,168.1,168.2,168,168.5,168.4,170.15,169.85,169.1,168.75,169.45,168.5,168.35,167.45,168.15,168.2,167.5,167.15,165.65,164.45,165.05,164.2,155.15,146.5,138.5,130,120.55,111.55,103.35,95.85,87.9,Apple
6,178.5,198.15,218.9,239.9,261.25,283.35,306.25,330.4,355.2,378.25,401.65,415.7,420,421.2,423.1,424.2,426.05,426.1,425.4,426.3,426.45,425.5,423.25,422.45,420,416.15,411.95,407.75,404.2,402.45,398.9,397,395.5,396.45,396.2,397.45,398.4,398.9,402.6,404.75,406.4,409.5,412.25,413.55,417.7,422.2,426.75,431.75,436.4,440.6,446.25,451.55,457.55,462.05,468.55,475.9,482.6,489.95,497.25,504.75,513.35,522.2,530.9,539.75,549.3,559,568.85,576.9,585.5,595.95,605.7,616.75,627.4,637.35,646.85,655.65,665.9,674.75,682.55,690.5,696.75,703.2,709.6,715.4,717.1,717.9,717.35,715.95,711.15,703.65,698.55,689.65,680.65,672.35,663.4,652.75,639.55,626.15,611.4,593.8,576.6,559.65,544.2,528.55,516,503.75,492,480.25,467.85,456.9,442.55,430.65,420.2,408.8,399.05,389.95,382.3,376.3,367.85,360.95,356.25,349.85,342.4,337.3,329.25,323.25,318.1,315.1,312.95,307.25,303.15,298.9,293.05,289.65,284.9,280.1,277.65,274.1,272.4,269.95,265.85,262.4,260.15,255.45,254,251.75,249,245.2,241.15,240.2,239.05,237.55,237.1,235.1,234.2,234.75,232.6,230.35,227.7,226.6,225.65,226.35,227.85,228.1,227.2,226.15,224.55,222.25,222.25,220.3,217.95,216.1,213.9,211.45,209.25,207.25,206.4,205.3,204.3,202.3,200.25,197.4,194.2,193.3,192.45,191.75,191.4,188.85,186.05,184.55,184.2,185.25,186.9,186.7,186.6,184.25,182,179.15,177.85,177.9,177.65,177.65,176.5,175.55,174.6,174.3,174.05,175.85,177.95,179.2,180.35,179.6,177.9,178.15,176.7,177.6,178.05,178.95,180.55,181.85,184.05,186.05,187.15,187.9,188.2,185.8,184.45,184.3,183.35,182.8,181.8,181.05,180.4,180.6,181.2,180.35,179.5,178.5,178,176.9,175.45,174.9,174.65,174.15,173.55,174.65,175.3,175.6,176,178.35,179.9,181.9,181.85,181.65,181.6,183,183.35,184.25,182.9,183.05,181.75,180.8,179.35,178,175.9,174.05,172.4,170.3,168.95,167.35,167.15,166,166.35,165.75,165.4,163.55,162.1,161.35,161.15,160.75,161.45,160.65,160.3,160.35,160.3,160.9,160.6,160.95,162.1,163.45,163.95,155.55,147.55,139.75,131.75,123.75,116.35,108.2,100.75,92.6,Apple
7,177.6,197.2,218.2,239.5,260.8,283.3,306.4,330,354.25,377,400.6,414.6,418.9,420.65,421.75,423.95,425.75,424.65,422.95,423.85,424.3,423.45,421.15,419.7,416.9,413.2,408.8,404.85,401.9,400.55,396.7,394.75,392.9,392.7,392.95,394.05,395.5,397.15,401.5,404.3,407.45,410.55,413.3,415.8,420.25,424.95,429.75,434.9,439.85,444.3,450.35,455.35,461.15,466.95,474.7,479.45,487.3,493.4,500.5,508.2,516.25,525.05,534.2,542.6,550.9,559.55,568.35,577.3,586.6,596.85,605.65,617.2,628.55,638.9,647.95,658.65,666.7,676.2,683.5,690.4,696.2,702.35,708.05,712.95,716.4,717.4,718.75,717.55,711.95,705,700.95,691.75,683.5,674.7,664.3,653.15,642.15,628.3,614.05,596.85,579.6,561.65,547.15,535.05,522.4,510.25,497.3,486,474.95,463.15,449,437.9,426.35,415.65,406.45,398,390.3,385.35,379.7,373.25,368.6,364.1,358.85,350.9,343.25,337.25,331.9,326.15,320.65,315.95,312.15,306.85,301.35,296.6,291.8,288.55,285.3,281.75,276.25,272.9,269.15,265.5,260.35,255.85,252.95,250.55,248.2,245.9,242.95,240.4,239.3,240.2,239.1,238.5,238.65,237.8,235.65,232.95,231.7,231,228.85,227.45,226.9,225.95,224.05,222.55,220.35,219.4,220.95,221.7,219.6,216.2,214.55,211.2,209.1,206.95,206.05,205.1,204.75,204.05,203.5,202.1,202.1,201.6,201.55,198.95,196.65,192.15,188.25,184.8,183.5,182.95,183.6,185.25,185.3,185.45,185,183.7,182.7,182.6,183.3,184.25,182.1,181.75,182.6,184.6,187.2,190.05,193.25,196.6,198.75,199.45,198.5,197.15,195.65,195,194.25,193.7,193.9,194.1,195.35,196.55,197.2,198.1,197.7,197.8,195.35,192.3,188.95,186.35,184.4,183.45,183.9,182.95,181.25,178.7,177.3,177.25,176.75,175.55,174.5,174.4,174.6,174,173.2,171.7,172.15,174.3,175,174.85,176.55,177.6,177.65,178.45,178.95,179.7,178.75,177.3,175.8,175.1,172.8,170.4,168.25,166.1,164.1,162.6,161.5,159.75,159.55,160,159.75,159.95,159.35,159.25,159.65,158.4,158.45,157.75,159.4,161.4,163.3,163.95,166.1,167.95,168.85,169.05,169.4,169.45,169.05,168.7,167.3,158.25,150.25,142.1,133.7,126.3,118.25,111.15,102.15,92.75,Apple
8,177.2,196.3,217.2,237.7,258.8,280.75,303.35,327.8,352.35,375.15,398.5,412.3,416.9,419.15,419.45,420.5,422.65,421.75,421.95,423.8,425.05,425.15,422.55,420.1,416.75,412.9,408.9,404.35,401.3,399.8,396.4,394.75,393.5,392.3,392.65,394.15,395.35,396.8,400.55,402.7,404.85,408,411.75,415.95,421.95,428.45,433.7,438.95,443.05,448.1,454.1,459.25,464.45,470.45,476.65,482.9,489.55,496.3,503.05,510.25,517.65,525.05,533.15,541.2,548.85,557.25,566.05,574.6,584.4,593.85,602.85,614.8,626.75,637.95,648.45,657.95,669.55,678.75,686.1,693.9,700.7,707.5,713.65,718.85,722.7,723,722.75,720.75,714.55,707.15,702.45,692.65,683.6,674.7,664.45,652.8,639.85,626.1,612.3,595.1,577.8,560.1,544.65,529.7,516.1,503.25,492.25,481.3,472.35,460.8,447.2,437.8,427.05,415.5,406,397.2,387.85,381.7,373.75,366.95,362.85,357.95,350.5,344.15,336.8,331.4,325.45,320.15,313.65,309.6,305.15,298.5,292.25,288.8,284.35,278.7,276.1,272,269,265.75,262.65,263.1,262.65,259.7,257.75,255.55,252.8,251.1,249.7,248.4,246.25,245.4,244.05,240.45,240.2,241.1,239.9,238.85,235.6,234.1,230.1,224.05,221.7,221.1,220.5,218.75,217.75,214.9,213.5,212.25,212.1,210.8,210.35,213.2,212,210.65,208.3,206.8,207.2,206.5,206.25,206,204.6,204.75,203.45,203.2,200.8,198.3,194.9,192.45,190.1,189.9,190.3,188.85,187.4,186.55,186.25,184.3,183.45,183.05,182.75,182.95,182.25,181.3,181.8,182.05,183.3,185.15,187.7,188.9,191.15,192.1,192.2,190,188.45,188,187.4,187.9,188.35,188.8,189.75,191.15,191.4,190,188,186.9,185.4,183.85,182.05,180.8,178.95,176.3,174.25,173.6,173.45,173.75,172.8,172.1,172,172.4,172.05,171.5,172.15,173.2,173.45,173.55,174.3,174.9,176.05,177.45,178.9,180.35,182.2,184.1,185.9,184.7,184.7,184.65,184.65,183.35,182.7,181,179.25,177.15,176.45,174.1,172.9,172,171.9,172.95,174.1,175.3,174.25,172.6,171.05,170.5,169.5,168.85,167.95,168.2,167.85,168.35,168.05,168.7,168.05,168.75,168.4,168.75,167.85,166.8,165.45,155.6,147.15,139.15,130.95,123.05,115.25,107.05,99.05,91.05,Apple
9,175.6,195.25,215.45,236.5,259.3,281.25,302.9,327.4,352.35,375.25,398.75,413.55,418.1,420.35,421.9,423.6,425.9,424.9,423.8,425.25,427.45,427,425.4,422.55,417.85,413.95,410.75,406.25,402.25,400.65,396.95,393.8,391.6,390.3,390.65,392.4,393,393.05,397.1,398.95,400.05,402.55,406.2,410.5,415.15,420.45,426.1,430.9,435.8,440.35,446.05,451.95,458,464.85,470.75,477.25,484.7,492.85,499.75,507.95,516.4,525.05,533.4,542.25,551.2,560.2,569.1,577,585.7,595.8,605.2,616.9,628.7,639.1,649.55,658.85,668,676.3,683.55,690.7,697.35,703.45,710.15,715.5,718.3,719,717.8,716.8,711.9,704.2,699.55,689.85,680.9,671.7,662.25,651.45,640.65,627.1,611.95,594.3,576.85,560.5,544,527.65,514.45,501.75,491,480,468.25,457.2,443.1,431.65,420.4,408.1,397.4,388,378.85,370.25,362.4,356,352.7,346.6,339.25,332.45,324.85,318.85,313.9,309.65,305.75,301.35,296.4,294.45,289.6,285.2,281.1,278.2,275.6,276.3,274.45,271.65,266.15,263.3,261.6,259,257.4,255.35,252.2,249.25,246.6,244.3,244.1,240.95,238.75,238,237.9,236.3,234.5,232.7,232.2,231.8,230.55,229.45,228.75,228.25,227.35,225.1,222.5,220.3,220.1,219.65,217.7,215.05,213.05,210.75,208.75,207.2,205.35,202.4,199.1,196.5,194.75,192.85,191.25,190.65,190.05,190.55,189.5,187.35,183.95,181.95,180.05,180.35,181.35,182.5,181.9,179.75,178.25,177.3,177.3,177.15,177.35,177.75,176.9,176.2,175.65,174.5,176.15,177.85,180.9,183.05,186.05,186.85,186.45,185.95,184.2,185,184.8,185.1,185.6,186.05,187.1,188.35,189.3,188.4,187.85,187.75,187.45,186.8,184.9,183.5,180.6,179.7,178.75,178.1,177.8,176.95,176.65,175.25,175,176,175.2,174.85,174.65,177,178.25,179.35,178.5,178.15,178.75,179.2,181.4,182.3,184.65,185.25,186.3,185.8,186.65,186.95,186.9,185.65,185.2,183.7,182,178.75,175.55,173.15,171.8,170,168.7,167.45,167.8,168.05,166.8,166.95,167.3,167.15,165.5,164.05,163.4,163.15,163.15,163,163.25,163.75,164.25,164.6,164.3,164.4,164.65,165.85,164.95,155.65,147.2,138.6,129.45,121.55,113.7,106.35,98.45,90.75,Apple
