,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,Fruits
0,176.8,195.8,213.85,231.8,249.35,266.8,285.45,306.6,327.3,347.6,370.05,385.35,392.55,398.5,403.7,408.35,412.95,414.75,417.4,419.05,421.25,423.25,425.05,427.7,430.9,433.2,434.15,433.05,433.1,433.55,431,426.8,421.25,418.15,412.85,406.9,400.75,396.7,395.05,393.3,390.45,388.15,386.3,383.6,382.05,382.05,382.55,383.25,383.9,384.25,384.55,386.35,388.5,390,393.9,398.25,402.9,405.95,408.75,412.25,416.35,420.95,426.5,432.9,439.9,445.05,448.8,453.35,459.45,466.45,474.2,480.85,487.6,494.65,502.75,512.15,521.65,530.65,540.7,551.65,561.35,570.55,579.65,588.2,595.6,606.4,619.65,631.25,642.35,654.15,663.45,676,688,699.3,709.15,718.9,729.85,741.2,750.9,759.45,769.95,780.75,791.45,802.4,810.2,815.65,818.2,820.45,818.75,815,812.8,806.95,802.35,796,789.2,780.6,768.7,755.7,739,721.9,704.35,685.5,666.9,647.9,630.85,613.15,597.7,582.4,568,551.3,536,521.8,506.05,491.95,479.25,467.05,456.5,446.45,436.7,426.05,414.8,406.15,397.4,387.7,380,373.05,365.8,358.55,350.1,344.95,339.6,335.8,331.65,326.35,321.4,316.45,311.4,306,301.2,297.9,294.45,290.85,287.6,283.7,279.5,276.75,273.15,269.3,267.8,264.55,260.05,253.7,249.45,245.4,241.6,237.9,234.9,231.7,229.5,226,223.8,220.1,217.65,217.65,215.9,213.05,210.45,206.4,201.7,198.55,196.5,196.35,196.7,195.7,195,193.35,192,190.45,189.1,188.65,188.85,188.6,186.45,185.15,185.85,185.75,185.55,187.6,190.1,190.85,192.1,190.7,188.35,187.75,185.15,185.2,184.55,184.9,185.95,187,187.35,188.6,188.95,188.85,187.4,186.8,185,183.6,182.1,181.15,180,180.15,180.45,179.85,179.9,178.6,177.8,177.1,177.2,177,176.65,176.55,177.7,177.5,177,176.6,177.55,177.4,178.05,180.15,181.2,182.85,183.15,184.9,185.5,186.8,188.9,189.55,189.3,188.75,187.4,185.55,184.25,182.35,180.45,177.6,176.1,175.85,174.8,174.05,174.8,173.55,173.8,173.15,173.05,171.4,167.7,165.7,164.5,163.7,163.45,164.15,163.15,163.35,163.6,164.5,164.25,163.7,163.8,164.4,164.75,156.2,147.2,138.45,130.1,122.15,114.75,107,98.9,91.25,banana
1,176.3,195.45,216.1,237.35,259.25,281.85,304.35,328.35,352.95,375.55,399.15,413,416.35,417.15,417.7,419.7,422.1,421,420.9,423.4,424.85,425.15,422.5,420.7,417.45,413.05,408.8,404.3,400.05,398.25,394.7,392.7,391.3,391,391.55,393,393.95,395.4,399.35,401.85,404.4,406.95,410.85,413.8,418.1,423.15,428.2,433.15,438.5,442.75,448.35,453.8,458.65,464.6,471.8,477.35,484.05,489.8,496.8,504.1,511.35,519.5,527.25,535.1,543.75,552.5,561.95,570.7,580.4,590.5,599.4,611.05,622.5,632.75,641.1,650.85,660.2,670.25,676.65,683,689.2,695.35,701.8,707.25,709.9,711.05,711.3,710.75,705.35,697.9,692.7,681.95,673.15,664.75,655,643.45,631.9,617.95,605.05,590.4,573.55,556.65,541,525.55,512.3,499.3,486.5,474.5,462.6,451.75,438.3,427.95,417.2,405.9,397.65,389.45,381.9,375.35,368.95,360.95,356.8,351.25,344.35,338.5,331.65,326.75,321.8,316.5,312.15,308,304.8,302.75,299.35,296.45,292.15,289.15,285.8,283.1,279.05,276.4,271.75,268.75,265.85,261.3,258.65,255.4,251.9,249.15,246.3,244.4,242.15,240.75,238.15,235.25,232.4,230.35,227.75,224.9,222.25,220.8,219.65,218.6,219,219.8,218.45,217.55,217,215.75,215.75,214.45,212.45,208.3,206.05,203.8,203.4,202.65,201.75,201.2,200.4,199.75,198.55,197.6,195.95,193.1,191.85,188.5,185.25,181.8,178.5,177.05,175.95,175.9,176.75,178.1,177.3,176.25,175.75,174.95,174.75,174.35,173.85,173.05,172.6,175.1,177.35,180.4,183.3,186.2,189.15,190.5,192.4,193.1,192.45,191.25,190.25,190.55,190.15,189.45,189.6,190.35,192.2,194.3,194.9,194.1,191.35,189.55,186.8,183.75,181.4,180.1,179.75,178.25,177.6,177.05,176.65,175.05,174.15,174.95,175.85,174.6,173.8,172.6,172.6,172.55,173.35,173.75,174.3,175.1,176.75,178.5,179.75,181.45,183.6,185.15,186.85,187,187.25,185,182.85,182.05,180.95,179.35,177.25,175.25,174.35,172.3,171.95,171.75,170.1,169.2,169.4,169.95,168.9,168.2,166.7,166.05,164.7,164.55,164.35,165.6,165.5,166.3,167.15,167.2,167,167.9,167.7,167.6,167.9,167.4,165.25,155.75,147.05,138.45,130.1,122,114,106.3,98.35,89.55,banana
2,177.15,196.65,217.65,238.3,260.15,282.4,305.05,327.95,352.05,375.1,398.45,412.5,415.1,415.85,416.9,418.3,420.15,419.1,417.9,419.15,421.25,421.15,418.25,415.65,411.85,407.85,403.3,400.05,396.9,395.25,391.9,389.5,390.65,390.35,391,391.6,392.85,395.2,399.6,401.65,403.1,405.25,409.6,413.65,418.75,424.65,430.05,435,439.15,443.8,449.2,455.35,459.05,465.05,471.45,478.4,485.8,491.05,497.6,505.15,513.55,522.25,529.8,538,546.1,554.15,562.6,571.55,580.8,590,598.7,609.85,621.2,631.45,640.8,649.15,658.8,668.15,675.95,684.6,690.6,696.6,702.8,708.35,711.55,711.9,711.3,708,702.5,695.55,690.6,680.05,670.95,662.6,653.15,642.4,630.1,617.3,603.25,585.15,568.15,550.55,534.7,519.3,506.4,495.1,484.75,474.7,465.65,454.95,442.85,433.85,423.35,411.8,402.7,395.5,387.75,381.55,372.3,365,360.5,355.25,348.3,342.7,334.7,328.9,323.25,318.95,312.45,306.85,301.45,295.05,290.2,287.1,282.7,278.65,275.8,272.45,270.5,267.5,263.95,264.65,263.65,260.5,259.2,256.05,253.55,251.6,250.5,249.25,248.6,248.3,247.95,245.7,244.95,243.9,241.75,239.55,237.75,236.65,234.8,229.8,229.05,228.3,226.65,225.95,224.8,222.35,221.5,221.55,221.4,220.2,216.95,217.45,215.65,213.85,212.6,211.3,210.55,208.95,207.25,207.6,206.75,206.65,206.45,205.15,202.15,198.1,194.7,191.85,188.95,187.9,188.65,186.35,185.25,183.65,182.5,179.9,178.4,178.4,178.5,176.85,174.25,173.05,171.25,169.9,170.55,172.85,175.25,178.5,181.75,184,185,185.55,187.15,188.25,188.6,189.8,190.65,191.75,194.2,196,197.65,197.8,198.85,198.2,197.75,196.4,193.65,190.45,186.5,184.65,183.15,181.15,177.9,175.75,173.25,172.25,172.8,172,170.95,170.8,170,169.45,168.85,169.7,169.45,170.05,171.85,173.6,175.3,175.5,175.3,176.35,177.3,178.5,179.5,179.45,178.15,177.8,175.75,174.75,172.9,171.3,170.2,168.5,168,167.5,166.2,165.75,167.75,168.9,169.1,168.8,169,167.7,166.35,165.9,165.3,165.4,166.3,165.35,166.05,165.9,165.95,166.7,166.75,166.3,166.7,165.35,163.35,153.45,145.15,136.8,128.05,119.85,112.55,104.6,96.85,88.95,banana
3,179.2,199.15,219.3,240.05,262,283.5,305.15,327.8,352.15,375.05,398.45,412.25,416.35,418.05,418.45,420.75,422.3,421.35,420.3,420.1,421.55,420.6,418.4,415.4,411.4,408.3,405,402.4,399.15,397.15,393.5,391.75,390.8,390.55,391.25,392.3,393.7,396.95,400.15,402.15,403.35,406.2,409.5,412.8,417.95,422.7,428.45,432.75,436.75,440.2,446,451.2,455.8,461.3,466.85,472.3,479.6,484.75,492.75,501.05,509.3,517.75,526.3,535.8,543.5,552.25,561.3,569.75,579.6,590.1,598.65,609.9,621.6,631.6,641.15,650.45,659.65,668.2,675.45,682.3,687.95,694.2,699.8,704.75,708.4,709.3,707.1,704.05,697.45,690.3,684.95,675.3,666.15,656.5,646.85,636.05,625.05,611.45,595.95,579,561.95,544.55,529.95,515.1,502.1,490.9,480.65,470.95,460.2,448.9,436.3,425.65,415.05,404.85,396,388,379.35,373.75,366.55,359.7,355.95,350.7,343.7,337.35,329.85,323.7,318.15,313.2,308.65,304.7,300.05,297.3,292.25,287.25,282.4,276.75,273.05,269.5,266.35,263.45,259.55,257.15,254.3,251.15,249.55,247.15,245,243.35,240.8,239.6,238.65,235,234.55,234.4,234.45,235.65,235.65,234,233.25,231.85,230,227.8,227.55,227.05,226.25,224.3,223.1,219.7,219.45,217.95,216.55,216.2,213.65,210.9,209.2,207.35,205.5,204.05,203.05,203.05,202,200.7,199.4,198.4,196.5,195.15,191.6,189.45,186.85,185.05,183.65,182.8,183.45,184.65,185.3,184.3,183.2,181,180.4,179.15,178.65,178.75,177.9,177.8,178.5,178.8,181.8,184.65,187.9,189.9,191.35,191.7,191.1,190.3,187.1,186.1,185.1,186.1,186.5,187.65,189.55,190.3,190.75,189.75,188.95,188.3,186.85,184.95,181.85,180.65,181.55,182.6,182.35,182.35,183.05,182.95,182.05,180.75,180.4,179.85,178.4,177.95,178.15,178.35,177.5,176.75,176.55,177.65,179.05,180.5,181,182.2,183.35,184.6,184.45,185,184.55,184.9,184,183.85,182.85,182.35,181.4,181.2,180.65,179.15,177.65,175.95,174.95,173.5,172.3,170.5,170,168.45,168.3,167.55,167.65,167,166.35,165.7,165.9,166.1,165.6,165.3,165.05,165.75,165.75,165.75,165.8,165.2,163.9,154.8,146,137.8,129.35,120.45,112.05,103.9,96.25,88.3,banana
4,171.9,190.7,211.75,233.85,256.65,280.05,302.75,326.65,350.55,373.65,397.1,411.05,414.55,416.85,419.1,421.5,423,424.85,424.6,425.95,427.35,427.25,424.1,419.7,416.25,413.2,409.55,405.35,402.35,400.5,398.3,396.1,394.65,394.05,394.55,394.95,396,397.1,401.55,403.6,405.5,408.1,411.8,416.25,420.1,422.7,427.4,432.75,436.85,441.9,446.65,452.8,459.15,465,471.3,478.25,486.1,491.5,498.25,504.4,512.3,521.4,529.65,537.45,545,553.7,562.05,570.2,579.5,588.6,596.95,607.35,618.15,628.65,637.8,646.4,654.35,663.45,670.8,678.4,685.45,692.3,698.5,703.9,706.8,708.25,707.35,704.65,701.35,694.05,689.05,680.15,669.3,659.3,648.25,637.7,627.75,614.9,600.1,584.05,565.3,547.05,531.3,516.5,503.1,490.5,480.45,470.3,456.95,445.85,433.1,421.65,413,402.7,394.95,387.05,379.35,373.7,366.1,359.9,355.25,350.7,344.7,337.5,329.9,324.3,319.4,315.75,312.15,307.55,303.2,298.5,292.6,289,284.65,280.05,275.6,272.3,268.55,265.15,262.15,259.15,255.2,252.3,250.05,247.3,243.9,241.5,239.3,237.3,235.7,234.45,232.6,232.05,232.35,231.3,230.4,228.2,228.1,226.8,224.95,222.55,222.8,221.9,220.9,219.55,217.85,214.85,214.05,212.55,209.6,207.85,206.45,202.35,200.2,199.5,197.8,196.9,196.15,197.7,197.55,196.25,195.1,194.95,196.05,194.4,192.85,189.85,186.45,185.6,185.6,186.45,187.75,188.65,187.05,186.7,186.35,185.8,185.1,182.6,181.6,182.15,180.95,181,180.8,180.5,180.9,183.1,185.8,186.85,188.15,187.95,186.95,186.4,185.1,184,182.7,182.7,183.6,184.85,186.4,188.15,189,189.1,188.25,189.05,188.15,186.9,186,185.4,184.9,183.75,183.65,183,182.6,181.6,181.5,179.7,178.55,177.4,176,175.1,175.45,174.65,174.75,175,176.45,177.6,177.7,178.95,179.3,179.9,181.05,181.7,182.55,182.6,182.65,182.1,180.9,180.25,180.1,178.3,176.3,175.45,173.6,170.95,168.7,166.55,165.55,164.5,165.3,166.45,166.55,166.55,166.3,165.6,164.2,164.2,165.3,166.7,167.45,168.85,169.6,170.2,170.9,172.7,173.2,173.55,173.75,172.9,171.7,162.45,153.25,144.95,136.8,128.95,120.85,112.6,103.4,94.25,banana
5,179.85,199.5,220.55,241.3,263.15,285.65,308.25,332.15,356.1,378.5,402.1,416.5,420.1,421.15,422.35,425.55,427.15,425.95,423.8,423.75,425,424.15,421.4,417.9,414.25,410.1,405.6,400.75,397.35,395.9,392.6,390.25,389,388.9,388.65,388.4,388.8,389.9,394.75,397.4,400.2,403.15,406.15,410.85,415.55,420.35,425.8,430.65,435.7,438.85,443.6,448.85,454.85,460.7,466.85,473.5,481.05,487.8,494.45,501.9,508.65,517.3,526.45,535.2,543.3,552.35,561.1,570.4,580.25,591.8,600.95,612.1,622.95,632.95,642.65,650.6,658.6,667.55,676.2,682.8,688.85,693.25,698.7,704,707.4,707.55,706.55,703.85,697.1,689,684.3,674.9,665.65,657.4,647.3,636.8,626.6,613.2,598.55,582.75,566.85,550.65,534.95,519.45,506.75,495.7,485.55,475.6,464.7,454.1,441.65,431.35,420.25,410.9,402.45,393.45,384.5,378.2,369.9,362.75,357.45,352.55,345.85,339.5,331.25,324.4,319.3,315.55,311.45,306.8,301.6,296.4,291.35,286,282.2,279.25,276.75,274.5,271.65,268.6,264.95,262.5,259.95,258.4,256.85,254.35,251.45,247.55,244.7,243,242.55,242.45,241.55,239.05,237.15,237,236.45,234.75,233.6,232.5,230.45,227.7,226.4,224.5,223.75,223.45,221,219.5,219.35,217.45,215.25,213.5,212.35,210.2,209.65,205.85,202,199.5,198.55,198.5,197.5,197.25,196.15,195.2,193.6,191.85,189.05,185.3,181.55,180.5,178.7,178.4,178.4,180.4,179.55,180,179.6,177.5,174.65,172.95,173.55,173.4,173.35,172.85,173.95,173.55,176.55,179.8,184.05,186.35,189,189.5,190,188.4,186.7,185.25,184.35,184.65,185.45,186.65,187.25,189.2,189.9,190.15,187.9,187.25,185.1,182.8,179.2,177.1,174.7,173.05,171.35,170.6,170.65,171.5,171.85,171.85,171.5,170.4,170.4,169.55,168.85,167.95,168.8,169.6,170.5,171.7,174.95,178.1,179.3,181.05,181.9,183.75,183.55,183.2,182.15,181.2,180.25,179.45,177.75,177.75,176.85,176.25,174.9,173.95,172.8,171.4,169.2,167.15,166.7,165.6,165.3,163.75,164.05,164.3,164.9,165.35,166.45,166.75,167.3,165.75,166.15,165.6,165.4,165,164.9,165.05,164.65,164.05,164.75,156.25,148,140,131.65,122.6,114.1,105.7,97.5,89.75,banana
6,176.2,195.75,216.4,237.5,259.55,284.1,307.2,331,354.7,376.65,399.15,412.65,415.2,417.05,418.35,420.8,423.25,422.9,422.9,424.65,425.45,425.4,423.3,420.4,416.95,411.1,406.35,402.5,399.85,399.8,397.3,395.85,395.9,395.75,396.6,397.65,398.75,398.15,400.75,401.65,403.95,406.25,409,412.85,417.5,421.7,427.1,431.95,436.75,440.9,446.9,452.6,458.25,463.4,469.6,476.3,482.55,491.4,499.9,509.1,517.05,526.15,537.05,546.1,554.3,564.3,573.75,582.25,589.9,598.3,607.05,618,630.15,640.65,649.75,657.55,665.55,673.15,678.4,683.7,689,693.8,696.85,699.95,702.1,701.5,698.2,694.25,687.9,680,674.15,663,651.5,641.35,630.65,619.7,609.5,596.3,584.85,569.6,553.35,536.55,520.7,507.55,495.45,483.65,473.75,464.75,455.3,445.85,432.1,423.2,412.65,402.2,393.9,385.4,376.95,371.65,362.35,355.25,351.15,346.25,340.3,333.25,325.7,319.85,315.05,309.9,306.5,302.5,299.6,293.95,289.5,287.4,284,281.8,278.7,274.85,271.35,268.6,263.95,260.7,257.8,253.9,251.4,248.95,246.65,244.8,241.55,239,237.2,236.3,234.75,230.8,228.95,227.4,227.15,227.2,228.8,229.2,227.45,224.7,224.9,225.55,224.35,221.75,219.85,216.35,214.95,212.6,210,208.15,206.3,205,204.3,202.45,200.2,197.25,194.75,193.25,193.4,194.6,193.55,192.45,192.15,192.8,190.15,188.4,186.2,185.9,185.05,185.5,186.65,188.55,188.7,188.8,188.4,186.5,184.95,183.4,182.3,181.5,180.7,180.3,180.7,180.6,182.2,183.15,185.55,187.6,190.95,192.2,192.2,190.6,188.05,187,185.65,186.35,187.2,188.85,191.2,193.4,195.2,196.7,197,196.1,196.25,197.2,196.35,194.75,192.55,190.9,190.05,190.1,189.4,189.2,188.8,187.9,186.6,186.4,184.95,183.7,182,179.9,178.35,178.85,178.15,177.25,178.2,180.15,181.25,183.05,183.6,184.3,185.95,185.85,185.15,183.9,182.7,180.55,178.95,177,175.5,174.2,172.55,170.65,169.55,168.5,167,165.1,165.3,164.4,164.1,163.25,162.95,162.5,162.65,162.55,163.45,163.95,164.6,164.45,164.95,165.65,166.05,166.5,166.45,166.55,166.35,166.25,165.55,156.4,147.95,139.5,130.45,121.55,113,105.45,97.4,89.4,banana
7,174.2,193.7,214.85,236.4,258.45,280.9,303.75,327.75,351.65,374.5,397.15,410.25,413.65,415.15,416.7,418.7,420,422.35,421.6,422.5,423.3,423.05,419.7,415.3,411.65,408.1,405.75,401.55,399.65,398.05,395.65,395,394.25,394.6,395.25,396.4,398.35,399.7,403.5,405.55,408.2,412.3,416.05,421.3,426.25,430.7,434.15,439.8,444.15,449.35,455.55,460.35,466.2,472.5,479.3,487.25,494.85,502.85,508.9,515.95,523.05,530.95,540.45,549.15,557.55,566.95,576.5,585.2,593.5,603.25,612.4,624.6,636.2,645.8,653.95,661.25,667.85,673.1,680.2,685.35,688.5,690.7,693.2,695.05,695.15,692.95,688.65,683.4,675.1,664.8,654.2,639.95,626.75,615.3,604.25,592.35,581.25,568.1,553.35,537.05,522.2,507.15,492.9,479.35,467.9,456.65,447.35,438.45,429.15,419.85,409.3,399.95,391.15,380.9,373.45,366.3,359.3,354.85,347.95,341.95,337.5,331.3,325,319.85,312.8,307.3,302.55,298.45,295.85,291.65,289.6,286.95,282.7,280.3,276.4,272.9,268.95,265.25,262.35,260.4,257.65,256.4,254.1,250.25,248.9,246.7,243.6,241.15,238.7,236.45,235.35,234.65,234.3,231.95,229.5,226.5,224.65,221.8,220.4,218.15,216.2,214.05,214.15,214.35,212.85,211.85,211,208.85,207.7,206.75,203.95,202.25,199.75,197.85,197.15,196.9,196.45,196.3,196.75,197.25,196.05,195,192.85,191.5,190.65,190.15,188.3,187.85,186,184.9,185.35,185.65,186.65,188.2,187.35,186.15,185.5,184.4,183.6,183.45,183.35,183.75,183.1,183.55,183.4,183.3,184.6,183.65,184.45,186,185.95,184.75,183.8,182.65,181.45,180.95,179.25,178.1,176.65,177,178.1,179.1,180.5,180,179.95,178.9,177.75,176.8,174.55,172.85,171.35,171.4,171.3,171.3,171.4,171.55,171.55,172.25,173.4,172.8,173.2,173.45,173.65,174.3,174.7,175.4,175,175.2,177.55,179.5,182,184.7,186.6,188.25,188.9,188.95,188.55,188,186.55,186.1,184.35,183.75,181.9,179.8,177.3,175.4,174.8,173.9,172.15,170.7,170.4,168.3,166.45,165,164.95,164.1,165.15,165.75,166.6,166.3,166.6,166,167.05,167.85,168.6,168.95,168.65,168.65,168.7,168.4,168.4,159.9,151.65,143.25,134.7,127.05,118.05,108.9,100.3,92.25,banana
8,183.55,203.2,224.45,246.7,268.45,290.75,312.95,336.4,360.35,383.05,405.7,417.55,420.85,421.4,421.55,420.35,423.35,422.05,421.75,423.5,424.6,423.9,422.4,418.65,414.5,410.55,407.6,404.5,402.3,401,398.35,397,395.95,396.95,397.35,399.35,399.3,401.65,404.45,407,409.55,413.2,415.65,419.8,425.75,430.5,436.05,441.6,445.4,449.8,456.7,463.7,470.25,476.3,483.55,492.2,500.4,507.95,516,524.2,533.4,540.9,550.1,558.45,567.05,577.05,586.05,594.1,603.9,614.25,622.3,631.95,643.7,653.2,660.9,666.6,671.75,676.35,680.25,683.4,684.45,686.8,688.1,689.25,688.55,685.5,679.9,673.8,664.75,653.55,644.85,631.5,618.05,606.35,594.55,582.2,571.35,557.9,544.45,528.4,513.3,498.35,484.35,472.3,461.4,450.5,442.15,434.65,425.7,417,406.85,398.15,388.1,379.3,372.25,363.4,356.35,352.2,345,339.05,334.85,329.45,323.25,317.5,310.35,306,301.1,296.6,292.8,288.75,285,281.7,278.3,274,269.15,267.65,264.85,261.5,258.5,255.6,252.15,251.3,250.55,247.4,245.75,241.15,237.8,233.65,230.7,229.15,227.95,227.1,225.8,224.15,223.75,222.25,221.2,219.85,217.95,216.6,216.3,214.45,213.8,213.45,211.45,212.4,211.85,211.6,212,210.7,208.15,207.4,205.8,203.7,202.6,202.9,201.8,200.1,201.8,205,205.1,205.15,203.85,202.2,202.05,199.95,197.75,193.9,191.05,188.95,188.3,187.15,188.6,190.75,190,188.25,186.55,184.7,181.95,177.95,175.35,174.1,172.95,173.7,173.85,175.7,177.45,181,183.25,186.15,189.05,190.95,190.8,189.4,188.35,187.1,186.55,186.3,187.6,188.75,190.65,192.1,193.6,194,193.7,192.25,191.1,188.55,185.95,183.2,180.3,177.75,176.7,175.65,174.8,174.7,175.1,175.55,174.9,175.1,174.15,172.8,171.15,168.65,167.9,168.1,168.05,168.15,169.7,171.2,172.5,172.6,173.8,175.15,177.05,176.65,175.65,174.2,173.15,171.85,171.25,170.9,170.2,169.8,168.9,166.65,166.4,166.75,165.8,164.9,164.55,165.75,165.9,166.45,166.55,167.75,168.45,169.15,169.95,169.7,169.6,169.4,169.75,169.75,170.2,171.2,170.3,169.45,169.3,170.35,170.05,161.1,151.5,142.15,132.65,123.5,114.4,106.4,98.1,90.35,banana
9,178.85,199.35,221.35,243.1,265.2,287.7,312.05,334.5,358.05,380.15,402.9,415.75,418.6,420.7,422.55,423.5,425.3,424.5,422.95,423.4,424.5,423.6,419.7,416.5,413.25,409.95,404.45,401.95,399.5,399.25,396.9,396.2,396.15,396.95,397.35,399.75,401.9,403.4,405.7,407.5,409.45,413,417.3,421.4,426.6,430.8,437.05,443.1,448.25,453.3,459.7,465.95,472.1,478.1,486.1,494.1,502.35,510,520.2,529.75,539.4,547.9,556.85,566.35,575.15,585.3,593.9,602.2,610.8,620.35,630.65,640,649.4,658.9,664.8,669.4,673.5,677.9,680.2,681.5,680.3,680.1,680.1,679.35,676.55,671.95,665.5,657.8,647.65,634.5,622.85,609.05,596.05,583.35,571.9,560.65,549.3,535.4,521.4,506.4,492.2,477.7,462.95,450.3,437.6,427.35,415.85,407.75,399.85,392.95,381.65,373.25,364.5,354.65,347.75,340.55,334.35,331.35,325.8,320.7,317.85,313.35,308.4,302.75,297.65,293.2,291.95,288.6,285.4,282.05,280.85,278.3,275.3,272.7,267.3,265.7,264.3,261.5,259.5,257.3,253.75,251.95,251.35,248.2,247.85,245.15,242.6,240.35,237.4,234.3,232,231.35,230.2,229.65,231.35,230.6,228.35,226.9,225.9,224.25,222.35,219.55,219.2,219.1,217.6,216.3,216.1,213.4,213.7,215.65,215.1,214.05,213.2,210.65,208.7,206.5,204.9,203.95,203.25,204.65,205.25,205.4,204.2,203.75,202.8,201.75,198.5,195.65,192.8,188.5,186.15,185.05,184.8,185.8,184.7,182.6,181.6,179.2,176.45,175.4,174.6,174.85,173.15,173.55,174.85,176.1,178.35,181.7,183.95,185.8,187.65,188.7,189.8,189.95,189.25,189,188.15,187.65,189.5,189.35,190.05,191.5,192.45,191.15,188.6,187.8,186.35,184.15,181.65,180,178.05,176.4,174.35,172.35,172.1,172.8,173.4,173.7,173,173.25,174.1,173.8,173.95,174.55,175.9,176,175.85,176.85,179.25,181.6,183.45,185.55,186.6,189.25,190.8,191.3,190.45,189.4,187.7,185.75,183.2,181.9,180.5,179.2,177.15,175.9,174.85,173.7,172.25,170.9,171.1,170.05,169.65,168.1,167.2,166.15,165.6,164.7,165.7,166.1,166.55,167.05,167.6,167.35,167.85,168.55,168.8,168.4,167.9,167.45,167.05,158.3,149.75,141.25,132.3,123.35,115.2,107.95,99.75,91.65,banana
