,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,Fruits
0,179.05,197.4,217.55,237.45,258.6,279.7,301.9,325.45,349.55,372.3,396.05,408.75,412.05,413.25,414.55,416.3,418.6,418.25,419.2,420.4,420.55,420.55,417.6,415.7,412.95,409.95,406.05,402.35,399.65,398.15,393.8,390.5,388.65,387.25,386.6,386.8,386.5,386.55,388.05,389.95,393.25,395.45,399.3,402.85,406.6,410.55,415.1,419.15,421.85,424.15,427.8,432.7,437.2,442.35,448.05,454.4,460.75,466.8,473.45,480.25,487.8,496.25,503.4,510.3,517.8,526.05,533.5,541.3,550.75,561.85,571.65,582.4,592.65,602.1,611.3,620.25,630.15,640.65,649.1,658.25,666.85,674.5,684.65,693.85,702,707.7,712.05,713.9,712.15,709.05,708.8,705.1,702.2,699.45,694.05,686.25,678.9,669.95,659.35,643.85,628.05,613.55,597.35,583.2,568.65,555.7,542,530.45,518.25,505.3,489.7,476.25,463.55,449.35,438.55,428.7,417.05,407.6,397.5,389.15,383.55,375.3,367.55,359.8,351.2,344.75,341.45,336.55,330.8,326.3,323.1,318.05,311.5,307.5,302.35,297.8,295.95,292.3,288.4,285.1,279.5,276.95,273.85,269.7,267.8,263.9,256.65,253,250.7,247.6,245.2,243.65,242,239.45,238.35,235.55,231.9,228.75,227.45,226.65,224.9,222.95,222.35,220.95,219.15,218.15,218.45,216.15,215.6,213.95,210.7,208.4,207.05,205.05,203.45,203.65,202.85,202.4,203.4,202.95,203.55,203.15,202,200.95,199.2,196.75,194.5,191.2,188.4,187.2,186.8,186.75,186.8,187.55,186.55,185.9,184.7,182.7,180.1,179.9,179.25,178.8,177.6,177.7,179.35,180.05,182.1,185.5,187.85,189.85,191.75,192.75,192.05,191.8,190.5,189.45,189.65,189.85,190.05,189.8,190.05,190.6,190.65,191,188.55,187.45,185.15,181.85,179.55,176.95,175.85,175.5,176.75,176.7,177.3,177.15,176.2,175.15,175.05,174.95,175.5,175.75,177.45,177.8,177.4,176.35,177.6,179.4,180.7,183.4,183.6,183.05,181.8,181.45,181.35,180.2,180.5,180.1,179.3,178.55,176.9,175.95,173.5,171.65,172.2,171.95,171.55,170.65,169.6,167.65,168.45,168.6,169.5,170.8,171.35,172.2,171.35,171.5,170.9,170,169.85,169.4,169.85,169.7,169.35,170.95,171,171.15,171.35,172.2,172.6,164,154.9,145.05,135.95,127,118.65,110.65,102.8,95.4,orange
1,175.8,194.75,214.05,234.95,255.9,277.3,299.05,320.95,343.4,366.3,389.1,403.7,407.5,409.25,411.25,413.1,415.75,414.75,414.6,416.1,418.6,418.6,417.85,415.6,412.75,408.45,404.1,402.35,401.1,399.2,396.4,393.6,391.55,389.55,388.8,389.35,389.45,391.25,394.7,395.55,396,397.7,400.8,403.1,407.9,413.2,418.8,422.3,425.9,429.4,433.8,437.95,442.75,448.2,454.05,459.95,466.25,472.05,477.6,485.6,492.65,500.15,507,514.15,519.75,527.35,534.15,542.5,550.3,559.75,568.6,578.2,590.65,600.35,610.65,620.1,629.9,639.45,648.6,658.25,668.95,679.75,689.55,699.15,706.7,711.25,714.75,715.8,715.8,713.65,713.3,710.55,705.6,702.05,695.55,688.4,680.45,669,657.75,642.5,625.95,609.45,594.55,578.7,566.75,554.95,541.35,531.15,519.05,506.15,490.9,477.65,464,450.6,439.3,429.3,419.85,413.2,403.55,394.15,388,380.1,370.25,363.4,354.3,347.2,344.5,337.75,331.15,325.15,318.9,313.25,307,302.35,298.15,293.05,286.55,281.95,277.3,273.85,268.95,265.55,263.85,258.9,256.55,253.45,249.55,246.5,243.8,241.45,240.35,238.5,237.3,234.6,232.1,230.7,230.05,228,227.15,227.3,225.45,223.85,222.8,222.7,220.5,219.45,216.7,214.75,214.25,213.8,213.05,211.35,209.2,207.5,206.45,205.75,205.3,204.2,202.8,201,200.35,199.3,197.95,197.95,198.25,197.8,198.15,198,196,193.65,191.85,191.3,192.35,193.4,192.1,190.15,188.65,186.45,185.6,184.7,185.5,186.1,186.25,186.4,186.7,186.15,186.1,185.75,188.1,190.65,192.85,194.7,193.8,192.95,191.8,191.45,191.55,192.25,193.2,195.55,196.4,196.65,197.45,197.5,196.4,194.55,192.75,190.65,187.15,185.7,183.65,181.8,181.15,182,183.4,183.1,181.85,180.95,180.5,178.7,176.8,176.75,175.55,175.25,175.1,175.9,176.95,178.45,181.4,183.15,185.6,186.6,189.25,190.35,192.45,193.1,194.15,193.5,192.95,192.45,191.6,190.95,190.35,189.05,187.5,186.4,185.15,183.25,181.8,180.3,180.6,182.3,181.1,179.1,175.9,174.65,173.3,174.2,174.15,174.3,175.2,175.4,174.65,173.95,173.15,172.85,172.8,172.75,171.7,171.2,168.85,158.2,149.05,140.6,132.45,124.2,115.85,107.05,98.65,90.25,orange
2,176.4,195.3,215.5,235.9,256.8,278.1,299.8,324.2,348.75,371.5,395.05,409.55,413.35,414.35,416.4,418.5,420.4,422.1,421,422.15,423.6,423.75,421.45,419.2,417.1,414.3,410.95,406.45,402.4,398.45,393.95,390.25,388.1,386.6,385.35,385.05,385.3,386.6,389.5,391.5,392.3,394.7,398.05,401.8,405.65,409.05,413.8,417,421.2,426.5,431.45,436.5,440.6,445.95,451.3,457.55,464.15,469.95,476.85,482.9,490.35,498.1,506.75,513.45,521.95,530.35,537.25,545.5,554.15,564.35,573.35,584.25,594.95,604.15,614.15,623.05,632.6,642.3,652.1,663.1,672.9,682.4,690.15,699.4,704.7,709.5,712.9,715.5,714.2,710.75,710.1,706.35,703.4,697.8,691.5,684.35,675.5,665.65,654.4,638.45,621.6,604.8,590,575.35,562.25,550.25,539,527.6,515.1,503.3,488.55,474.5,461.55,452.15,442.45,432.2,422.85,415.85,406,396.5,391.6,385.35,376.55,369.1,360.1,351.7,343.2,337.25,333.75,328.75,324.75,320.1,313.8,308.65,303.45,299.6,296.6,291.75,286.95,283.8,278.4,274.15,271.4,265.9,264.2,262.55,262.55,259.65,255.6,252.45,249.45,247.45,246.1,242.35,239.95,238.9,236.7,234.3,234,233.45,231.85,230.4,230,229.3,227.15,225.15,223.2,219.9,218.8,217.45,215.9,213.55,211.9,210.6,209.6,208.5,206.75,206.2,205,203.85,202.4,200.6,199.05,199.4,198.7,198.1,196.25,193.6,190.75,188.75,189.85,191.95,192.4,194,194.05,192.6,191.95,190.1,189.7,189.4,189.45,189.8,189.15,188.55,189.5,189.5,190.95,193.7,196.8,199.25,198.55,197.7,198.1,197.25,195.45,194.6,193.9,193,191.7,192.05,193.3,195.45,197,196.95,196.05,195.2,193.65,191.9,189.85,187.8,186.3,185.1,183.7,182.6,181.8,180.7,180.15,179.9,179.65,178.65,177.7,176.1,175,175.4,174.65,174.65,174.6,175.2,175.1,176.45,177.6,179.45,180.8,181.8,182.9,183,182.2,181.4,180.55,180.15,179.55,179.15,177.8,175.6,174,171.85,171.25,170.5,169.95,169.2,170.95,170.3,169.1,168.4,167.75,167.6,166.8,166.7,167.6,168.7,168.85,169,168.8,169.5,169.85,171.6,172.05,172.75,174,174.9,173.3,164,155.75,147.25,138.95,130.6,122.95,114.8,106.25,97.25,orange
3,181.05,200.2,220.6,241.55,262.9,284.05,305.9,329.65,353.6,376.45,399.75,413,416.3,417.6,418.65,419.3,421.1,420.1,419.7,418.8,418.65,418.4,416.3,412.85,410,407.5,403.8,400.35,397.25,395,391.8,388.5,386.75,385.25,384.65,384.8,385.25,386.55,389.35,392.85,395.95,398.05,400.5,404.25,408.05,411.55,416.45,420.2,423.6,427.15,431.3,436.55,443.4,450.4,455.9,463,469.2,475.1,482.1,488.9,495.7,503.1,511.1,518.45,525.9,534.05,541.4,549.05,557.95,568.9,577.7,587.7,596.2,604.55,614.25,623.6,633.55,642.85,652.4,661.75,671.8,681.8,690.8,698.7,706.4,712.05,716.3,718.05,716.7,712.15,711.5,707.8,704,700.8,695,686.75,677.65,667.7,656.2,641.2,624.85,608.75,593.25,581.25,567.45,554.45,542.75,532.15,520.45,508.95,494.05,480.75,467.35,453.55,442.35,431.15,420.3,411.85,401.8,395.8,391.45,384.5,376.75,367.55,359.3,352.45,346.4,340.5,336,331.2,327.05,321.55,316.3,312.45,308.7,305.85,304.85,302.05,297.9,290.5,283.9,280.1,276.95,272.2,269.6,266.8,261.15,255.75,251.2,248,246,244.75,243.05,240.15,239.4,238.95,236.5,234,232.1,231.65,229.6,227.35,226.9,226.65,225.05,222.75,222.9,224.25,224.4,223,220.25,217.6,215.3,212.45,209.05,206.35,205.55,204.5,203.4,202.9,204.35,204.9,203.45,202.8,202.3,202.4,201.1,198,194.65,192.55,191.65,192.6,193.9,195.7,196.35,196.3,194.75,192.4,191.2,190.05,187.35,185.75,184.8,185.2,185.25,185.15,185.95,187.2,190.4,192.95,194.65,195.1,195.45,195.6,194.15,192.8,192.3,192.7,194.65,196.55,198.1,199.35,200.4,199.8,199.45,199.1,198.25,196.95,194.35,192.55,191.35,190.05,188.9,187.25,186.6,186.65,185.8,185.3,184.65,184.1,183.05,182.75,182.55,181.35,181.1,179.5,177.65,177.3,178.1,179.55,180.05,180.8,181.35,182.9,183.6,183.95,183.6,183,182.05,180.5,179.7,179.15,178.05,178.5,176.75,176.45,177.4,177.35,176.55,174.85,177.1,178.9,180.6,181.25,181.6,181.5,181.65,181.3,180.3,180.55,180.75,180.15,179.65,179.1,178.4,178.1,177.45,176.3,176.65,177.1,175,164.15,153.35,143,133.65,124.05,115.05,106.85,99.2,90.95,orange
4,178.05,197.45,218.15,238.4,258.9,280,301.8,325.75,349.9,373.1,395.9,410.45,416.55,419.4,421.1,422.1,423.35,422.2,421.6,422.75,424.85,424.3,421.4,419.2,416,412.65,408.8,404.7,401.35,399.45,396.4,391.8,387.45,384.6,383.15,382.6,382,383.1,387,389.9,392.4,395.75,400.6,403.95,409.2,413.35,418.3,421.75,425.95,430,434.75,440.5,446.25,452.05,458.35,465.5,472.6,477.95,484.15,490.05,495.8,502.9,509,516.65,524.1,532.3,539.7,548.75,557.45,566.45,575,584.8,594.7,605.95,616.3,625.85,636.1,646.5,655.85,666.45,677,685.45,693.5,701.6,707.55,712.05,715.15,716.05,714.3,711,710.05,706.35,703.55,698.15,690.95,682.95,673.7,661.55,649.75,633.85,617.25,601.6,588.35,574.35,562.2,548.4,535.55,524.55,512.85,500.85,486,473,460.35,447.05,437.85,428.15,418.65,413.8,404.3,395.3,389.95,382.3,372.55,364.5,355.55,351.55,348.15,343.2,337.3,331.6,328.35,324.7,317.75,313.9,307.4,303,300.7,294.3,290.2,287.7,282.2,279.15,277.1,273.2,271.1,267.55,263.25,259.35,256.45,253.45,249.35,245.85,244.05,240.35,239.35,237.75,234.75,235.4,235,233.55,231.7,230.1,229.25,228.65,226.95,224.65,223.1,220.65,219.7,218.7,220.8,221.2,223.35,222.6,221.45,220.6,219.15,215.9,213.05,212.4,211.65,210.35,209.05,208.75,208.7,208.4,205.95,203,200.25,198.75,194.5,193.2,190.9,192.3,191.9,191.45,190.65,189.95,189.95,188.75,188.25,187.9,187.6,187.6,186.15,186.25,188.3,191.15,194.05,195.9,197.7,198.5,197.8,195.5,192.9,191.1,189.55,187.7,186.65,187.1,188.45,189.5,190.55,189.85,189.35,187.65,186.4,184.95,182.65,180.9,180.1,178.65,177.35,178.3,178.1,177.9,177.9,179.25,180.4,180.5,180.35,180,178.8,178.55,178.45,178.25,177.25,176.45,177.55,180.1,180.5,181.8,182.45,182,182.1,181.85,181.35,179.35,176.85,175.4,173.45,172.15,170.3,168.9,167.75,168.1,169.55,171.9,171.95,170.55,171.2,170.6,170.75,170.45,170.95,170.2,169.65,169.35,170.35,170.4,171.1,170.95,171.8,171.3,171.25,171.5,170.45,168,166.65,166.25,165.75,156.65,148.2,139.8,131.35,123.35,115.45,108.05,99.95,92.15,orange
5,176.75,196.7,216.25,236.9,257.85,279.8,302.15,326.6,351.5,374.25,397.45,411.9,416.3,417.6,419.05,420.75,421.65,421.05,421.45,423.05,424.95,424.55,422.8,419.75,416.95,413.4,409.4,405,401.9,400.25,396.8,393.1,391.8,390.9,390.85,391.6,393.15,394.4,397.2,398.3,398.85,400.2,403.55,406.9,411.25,415.2,419.8,423.8,426.55,430.4,434.65,440.65,444.6,449.85,455.95,461.3,467.05,472.55,477.75,484.4,491.6,498.9,506.5,515.75,522.75,530.25,538.7,546.3,555.35,565.15,574.65,584.8,595.2,604.6,613.5,623.55,633.6,644.1,653.85,663.7,673.6,683.9,693.55,700.9,707.6,712.5,714.25,716.05,714.75,711.1,709.55,704.75,701,697.6,691.6,683.3,674.1,662.4,648.75,632.8,616.45,600,583.6,568.85,555.45,543.65,532.85,521.95,509.2,496.95,481.7,468.65,455.4,441.25,431,421.75,413.1,406.95,399.65,391.8,385.5,377.4,369.7,362.4,354.75,347.7,342.45,335.1,328.25,323.05,320.1,316.9,311.9,309.25,304.3,299.75,295.8,291.7,288.05,284.65,280.15,278.1,275.1,270.5,267.05,263.9,259.75,258.05,256.65,254.05,251.45,248.15,245.4,241,240.35,239.9,238.35,235.8,233.65,233,232.45,230,229.7,229.85,228.6,227.05,225.75,224.1,223.5,221.25,218.35,216.55,215,213.45,211.15,209.1,207.9,206.35,205.65,203.7,201.1,199.95,198.55,197.25,197.1,196.9,194.3,190.4,187.3,186.45,186,185.6,185.1,186.4,183.55,181.85,180.95,179.25,177.9,177.45,177.95,178.2,176.9,177.25,177.7,177.2,179.6,182.25,185.9,187.3,187.95,188.9,191.3,191.65,192.35,191.75,189.4,189.4,190.25,191,191.85,192.55,193.7,193.4,191.75,190.6,188.9,186.7,182.6,181.7,181.5,180.4,178.2,177,176.25,176.4,177.25,177.9,178.85,180.35,180.75,181.3,181.45,180.9,180.85,180.25,179.75,181.1,184.25,186.3,189.2,190.75,192.55,193.65,195.7,197.6,198.45,197,194.45,192.1,190.35,188.85,186.5,184.8,183.2,182.15,181,179.65,177.8,175.7,175.15,176.25,176.1,174.9,173.15,170.45,168.7,168.2,167.75,167.65,167,167.2,168.45,170.1,171.75,172.8,173.15,173.15,174.35,175.45,174.25,163.6,154,145.6,137.4,129.1,120.6,112.4,105.1,97.1,orange
6,179.95,197.95,217.45,237.8,258.8,279.9,301.8,326.15,349.95,372.2,395.75,410.15,414,413.5,414.7,415.65,417.95,417.3,416.95,417.2,419.1,419.7,417.85,414.55,411.7,409.45,406.25,402.25,399.6,398.6,394.8,390.4,388.15,387.15,386.8,388.1,388.75,389.9,393.55,396.05,397.5,399.65,403,406.9,410.55,413.4,417.9,421.35,424.05,427.9,432.3,437.55,442.35,447.85,453.45,459.55,465.95,471.55,476.95,483.75,490.7,498.05,504.75,512.1,519.65,528.95,536.25,544.65,553.55,562.7,571.4,582.35,593.15,602.55,610.9,620.05,630.05,639.75,649.35,659.85,670,680.85,691.25,700.75,707,712.05,715.65,717.1,716.2,713.1,712.8,708.45,703.85,699.55,694.15,686.15,677.3,665.85,653.85,636.9,620.7,603.75,588.4,573.2,561.05,547.45,535.45,523.45,511.05,498.85,484.25,470.8,457.6,444.55,433.85,423.55,413.95,406.4,395.45,387.55,381.2,376.4,369.2,361.5,352.45,345.3,339.75,334.7,330.65,325.75,321.8,317.25,312.05,308.05,303.8,299.75,295.85,293.4,291,287.15,282.1,275.7,271.25,268.2,266.25,263.45,259.55,254.05,249.7,246.4,243.6,242.35,243.85,241.65,239.95,238.3,236.7,235.15,234.1,233.75,231.65,229.9,229.45,227.85,226,224.35,222.75,222.65,222.75,222.65,221.35,219.3,215.05,212.25,210.55,209.55,207.65,205.5,203.7,201.35,200.35,199.9,197.1,196.1,195.85,194,191.6,188.2,185,182.15,180.2,178.85,179.7,180.6,179,177.7,175.5,172.55,171.55,171.6,171.55,171.8,171.9,172.25,171.7,173.6,176.15,179.85,182.25,184.2,185.95,186.9,186.15,186.75,186.1,185.8,186.3,187.75,189,190.5,191.8,193.2,195.15,195.25,194.9,193.7,192.05,189.95,188.5,186.2,184.3,183.85,183.15,182.05,182.8,182.7,182.55,182.35,182.75,183.5,184.1,183.05,181.3,180.8,181.15,180.95,180.6,180.95,182.3,184.65,185,185.25,184.45,184.25,183.25,184.2,183.65,181.9,179.4,176.8,174.75,173.9,173.4,171.7,169.7,167.95,167.25,165.8,163.85,162.6,164.25,164.95,165.55,165.05,165.25,163.5,163.05,163.55,165.3,166.4,167.75,168.3,169.1,169.5,169.65,170.85,171.7,172.1,172.2,172.15,171.4,162.05,153.85,146,137.7,129.3,121.2,112.85,103.85,95.15,orange
7,177.5,196.65,216.8,236.9,257.8,279.25,301.15,325.35,349.5,371.85,395.4,409.95,414.4,415.45,416.95,418.9,421.3,421,421.65,421.6,422.25,422.6,420.3,418,415.3,411.9,408.4,403.9,400.95,399.65,395.85,392.3,389.6,389.05,389.2,389.65,389.8,390.2,392.05,395.05,396.8,398.2,401.55,404.85,409.75,414.3,419.35,423.25,426.65,430.4,434.55,439.25,444.2,449.95,455.2,461.5,467.9,473.9,480.4,486.05,493.5,501.85,508.9,516,522.3,530.25,537.05,545.9,554.65,563.75,572.75,583.4,593.85,603,612.5,622.9,632.75,642.6,652.55,663.3,671.8,681.3,690.4,699.85,706.8,711.1,714.2,715.3,713.65,710.45,709.3,704.95,701.05,697.25,691.5,681.75,672.75,662,649.9,633.65,618.15,600.75,586.65,572.35,559.35,546.75,535.1,521.8,508.7,497.25,482.7,469.6,457.45,444,433.35,424.35,415.8,409.2,398.95,390.1,384.1,377.15,367.25,359.6,352.1,346.1,340.25,333.7,329.25,322.95,318.35,313.75,307.3,303.3,298.6,294.15,290.45,286.5,282.5,279.6,275.5,273.65,271.45,265.6,262.1,258.4,256.25,257.05,254.75,252.65,251.35,249.75,248.8,246.35,245.35,243.65,241,238.65,238.05,237.35,235.6,233.95,234.25,235.45,233.7,232.6,230.05,227.1,226.4,224.75,222,219.3,219.1,218.6,217.3,215.8,215.3,213.1,212.3,210.95,208.75,205.9,204.15,203.35,203.7,202.75,200.8,197.05,193.7,192.45,191.85,192.05,190.85,191.6,190.5,190.7,188.75,187.5,185.3,184,184.7,185.25,184.45,182.65,181,180.35,180.6,182.85,185.4,187.05,187.75,187.5,185.95,183.25,181.2,179.9,179.5,179.75,181.8,183.9,184.5,185.4,185.45,186.45,186.45,186.85,187.25,186.2,184.55,182.75,182.25,181.35,180.8,180.35,180.85,179.35,177.55,177.2,176,176.05,176.95,178.6,180.5,181.35,181.35,180.3,179.05,178.85,179.75,182.5,184.6,185.8,187.9,189.05,189.8,190.75,192.7,192,192.2,190.75,187.9,183.9,180.8,177.8,176.05,174.4,173.95,174.15,174.2,172.55,170.8,170.45,170.05,170.45,169.9,169.45,167.15,166.75,166,165.75,166.15,167,166.95,167.7,167.95,168.55,168.75,168.25,166.9,166.3,166.75,158.6,149.35,140.25,131.5,122.85,115.25,107.1,98.6,90.25,orange
8,180.5,199.4,218.8,239.55,260.7,282.55,304.9,329.05,351.65,373.85,397.6,411.75,415.3,416.1,416.6,418.05,420.05,419.25,418.8,419.1,420.6,421.75,420.6,418,414.8,411,406.85,402.75,401.4,400.15,396.05,391.8,389.35,388.8,388.95,389.3,389.35,391.1,394.1,397.6,398.75,399.6,402.7,405.45,409.8,414.1,418.85,422.15,425.9,429.15,433.35,438.8,444.1,449.45,454.4,460.6,466.55,471.95,478.2,483.25,490.5,499.25,506.65,514.2,521.35,530.5,539.85,548.75,555.95,565.85,575.8,586.05,596.55,605.95,616.1,625.25,635.3,645.45,655,664.75,674.3,683.1,692.35,702.05,708.75,712,713.85,714.6,714.1,710.65,709.45,705.55,701.65,697.3,690.3,682.4,674.35,664.3,652.6,637.05,622.85,606.3,590.6,575.65,563,550.7,539.4,528.8,516.85,505,492.05,478.85,467.05,454.8,445.05,435.1,426.3,417.9,407.2,398.4,390.35,382.65,374.4,366.25,357.6,351.25,344.45,338.65,332.8,327.8,323.35,319.6,313.55,309.55,304.6,300.65,296.5,293.1,291.45,290.05,285.35,282.15,279.75,276,273,269.35,266.05,263.15,260.85,257.8,253.55,250.05,248.2,244.95,244.4,243.65,241.25,236.55,232.15,229.4,227.05,226.1,223.95,223.85,222.15,221.1,219.2,216.8,215.8,214.55,212.35,210.2,207.55,205.3,202.85,200.45,199.65,200,201.5,201.8,202.15,199.7,199.4,197.55,197,195.3,193.65,191.1,188,185.8,184.4,184.75,185.4,187.25,185.7,184.2,182.6,181.65,180,177.95,176.8,177.6,176.8,177.15,178.85,180.35,182.7,184.8,188.6,191.2,193.55,193.6,193.15,191.9,190.9,189.9,188.9,188.15,189,191.15,194.05,196.25,198.9,199.8,198.7,197.75,196.1,194.35,192.1,190.35,188.15,187.65,187.2,186.8,186.65,186.95,186.45,186.65,186.45,186.25,183.95,182.4,181.75,181.35,181.65,182.2,182.55,183.8,185.3,187.4,189.8,190.8,191.9,192.65,194.1,194.5,195.1,193.6,192.75,191.05,190.7,189.1,186.45,184.85,183.2,180.15,178.05,176.8,174.8,173.45,173.65,175.6,177.05,177.8,178.15,178.5,177.6,177.55,176.45,176.55,175.6,176.2,176.8,176.75,175.6,177,177.5,176.25,175.6,175.65,173.95,163.15,152.8,143,133.25,123.75,115.15,107.1,99.45,91.2,orange
9,182.7,201.95,222.6,243.2,264.55,286.1,308.05,331.85,355.85,378.1,401.7,416.4,421.5,421.1,421.25,422,423.15,422.35,420.9,421.35,423.05,422.8,420.6,418.7,417.95,415.75,412.15,408.2,405.35,404.3,400.7,397.4,394.35,392.35,392.05,391.2,391.1,391.05,394.65,395.5,396.5,397.85,400.6,403.35,405.45,408,412.75,416.55,419.6,423.1,426.85,431.6,437,442.1,447.95,455.6,462.25,467.15,474.1,481.6,488.85,497.25,505.15,512.4,519.7,528.5,535.95,544.35,553.5,563.45,573,583.55,594,604.05,612.85,621.8,632,643.8,652.95,663.75,674.05,683.45,692.8,701.9,707.4,710.75,713.6,716.8,715.8,712,711.5,707.5,702.7,695.4,689.5,681.6,672.65,660.5,648.25,631.65,615.2,598.65,581.6,566.35,554.25,542.75,532.15,519.7,507.05,494.4,478.85,465.4,453.4,443.2,433.4,422.55,413.15,406.9,396.5,390.4,384.85,380.05,373.05,365.45,357.15,350.3,343.95,337.6,332.1,327.45,324,319.1,312.6,308.2,303.45,300.45,297.7,293.8,290.35,285.3,281.7,277.7,275.45,270.7,267.55,264.5,260.1,255.35,251.85,249.3,247,244.9,246.65,245.95,245.25,243.6,241.5,239.3,238,237.25,233.35,229.3,227.75,228.4,227.95,225.95,225.2,225.05,224.95,223.75,220.95,219.3,214.45,210.25,207.1,205.3,203.25,201.6,201.45,200.75,200.55,200.75,200.55,200.8,198.5,198.45,197.55,196.25,193.55,191.85,190.9,191.85,193.4,196.25,197.35,197.2,197.2,195.55,194.5,193.95,193.7,193.1,191.5,189.75,191.2,191.35,192.25,193.35,196.7,198.3,199.25,198.15,196,193.7,191,188.5,187.9,189.35,189.45,189.4,190.55,192,192.25,192.4,190.8,188.4,186.5,184.3,180.95,178.6,177.7,177.2,177,176.65,177.05,178.2,176.3,174.65,174.3,173.45,171.8,171.6,171.9,172.15,173.1,175.25,175.05,173.95,175.5,177.45,178.1,178.35,179.45,180.9,180.6,180,180.1,179.3,177.85,178.35,177.45,176.35,174.55,172.45,170.4,168.35,167.75,168.25,168.1,168,170.1,172.8,174.2,173.05,173.6,173.05,172.95,172.2,172.5,172.35,173.35,172.85,173.35,173.7,173.85,173.6,173.65,175.55,176.05,175.45,173.5,162.75,152.85,144.45,135.6,127.5,119.1,111.65,103.55,94.95,orange
