,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,Fruits
0,182.05,200.85,220.85,240.3,260.3,281.5,303.9,328.35,353.55,377.7,402.75,417.15,421.45,423.05,424.5,426.75,429.15,427.95,426.4,427.3,430.2,431,429.5,428.15,426.15,423.6,419.35,414.95,410.8,407.55,402.4,397.65,393.55,390.45,388.9,387.25,385.5,386.85,389.65,391,391,391.95,393.95,396.85,401,404.25,408.65,411.9,413.4,416,419.95,425.1,430.85,437.25,443.3,449.35,456.05,461.45,466.95,474.5,482.1,489.6,496.35,503.65,510.95,518.9,526.2,534.95,546.3,557.95,566.95,577.7,588.45,598.25,609.4,620.05,631.3,642.5,655.2,668.15,679.7,693.65,708.45,722.05,732.55,742.35,751.25,756.9,759.45,759.85,763.3,763.95,765.3,766.95,764.5,760,753.2,743.9,733.05,717.85,702.7,685.55,670,654.25,639.9,625.9,612.25,598.8,583.85,568.75,551.75,536.05,518.5,502.35,489.9,477.25,465.05,452.9,439.6,427.85,420.25,411.1,400.35,390.9,380.95,373,364.8,357.9,351.8,345.15,339.65,333.4,327.1,321.3,315.1,310.65,307.2,306.3,303.4,299.9,294.4,290.15,285.9,281.1,278,272,267.75,263.1,259.15,256.5,254.1,252.3,251.85,248.7,246.1,243.95,241.45,238,235.55,234.4,232.45,230.3,229.75,228.2,225.3,224.3,223.15,221.6,221.45,219.85,218.1,215.25,212.2,209.6,207.85,206.45,206.05,204.8,203.5,202.2,201,199.85,198.6,198.85,199.9,199.85,198.05,194.65,191.45,189.15,187.05,186.85,187.6,189,188.65,188,185.9,184.5,183.5,182.8,182.65,183.55,182.55,182.35,182.1,182.6,184.2,187.5,190.55,193.35,195.7,196.8,197.3,196.75,194.75,193.25,192.7,194,196.85,198.65,200,200.85,201.55,200.55,199.45,197.95,196,193.7,191.15,189,186.9,184.95,183.4,182.85,183.1,182.8,181.95,180.4,178.35,177.4,176.75,176.4,176.5,176.15,176.45,176.95,176.4,176.25,177.15,178.1,179.15,179.95,180.95,181.55,182.05,181.05,181.25,180.95,180.5,178.65,177.5,175.5,173.65,173.3,171.25,168.8,168.25,167.9,166.8,166.35,167.45,168.7,168.9,169.2,169.5,170.6,170.35,170.85,170.6,171.75,171.35,172.1,172.25,171.45,171.3,171.75,171.6,171.85,172.1,171.95,171.3,161.85,152.5,143.25,134,125,116,106.65,98.35,89.85,pear
1,174.15,193.35,213.65,233.6,254.05,275.2,299.15,322.65,347.15,370.15,393.9,408.85,414.05,417.25,420.7,422.6,424.7,424.55,425.45,427.15,430.45,430.6,428.25,426.3,424.05,421.55,416,412.25,408,406,401.75,397.45,393.8,391.35,389.15,387.75,387.7,387.05,387.15,387.35,387.2,388.9,391.9,394.85,398.35,401,405.2,408.7,413.15,416.5,420.8,424.8,429.85,435,441.1,447.75,454.4,460.65,468.5,475.95,483.8,490.05,497.2,505,512.2,521.4,528.7,537.6,546.05,556.3,567.8,580.8,592.15,602.7,612.6,624.25,636.15,648.2,660.6,674.55,686.75,700.1,713.5,725.05,735,743.45,751.85,757.2,760.95,762,762.95,762.1,762.55,763.65,761.85,756.05,749.4,739.2,728.7,713.05,698.1,682.9,664.85,650.45,637.4,622.2,608.4,595,579,563.8,546.8,530.4,514.4,497.7,483.35,470.95,459.65,451.45,438.85,428.25,419.5,409.45,400.8,391.55,382.35,375.75,369.9,363.95,358.45,352.1,346.75,342.05,336.25,330.95,324.05,319.5,316.1,312.6,309.2,304.7,298.55,295.25,293.05,288.4,284.7,281.3,276.3,270.1,265.9,262.15,259.65,256.9,255.1,251.85,251.65,248.65,244.3,240.65,238.35,237.65,237.2,235.5,234.5,233.05,230.95,227.9,225.5,223.7,222.9,224.15,223.4,221.5,219.05,217.05,214.8,213.55,212.45,210.85,208.85,206.85,204.55,202.45,200.35,199.7,199.1,199.25,198.5,196.2,193.8,189.8,187.05,186.5,188.05,190.35,191,190.95,190.65,188.85,187.85,188.65,188.6,189.9,190.15,190.9,191.85,191.85,192.4,195.55,198.45,199.65,200.45,200.6,198.45,196.05,193.55,192.25,190.8,190.8,192.25,192.05,193.65,193.5,194.3,194.35,193.7,192.3,191.3,189.45,186.25,185.35,184.75,183.55,183.35,184.45,184.75,184.1,183.2,183.45,182.95,182.65,182.1,182.35,181.05,179.95,179.2,179.4,177.85,178,180.15,182.45,184.2,185.4,186.65,185.85,187.15,187.4,188.4,186.8,185.4,183.75,182.55,181.05,179.7,177.7,175.3,173.8,174.1,172.95,172.25,170.8,170.5,171.05,170.65,170.15,168.45,167.45,166,165.55,165.75,166,166.75,167.1,167.5,167.65,168.35,168.55,168.15,168.65,167.9,167.2,166.8,157.35,148.5,140.4,132.35,124.4,116,108.15,100.1,92.5,pear
2,181.45,200.85,220,240,260.75,282,303.9,328,352.15,374.9,398.55,413.2,419.25,422.65,424.95,426.35,426.3,427.3,427.8,429.85,432.25,432.65,432.5,430.7,428.6,425.65,421.8,417.5,412.1,407.45,402.3,398.6,394.5,391.4,389.6,388.55,387,385.95,387.35,388.2,387.8,388.1,389.75,391.9,394.7,398.3,402.75,406.45,411.75,418.4,423.6,427.7,432.5,437.75,443.6,450.45,457.55,464.3,470.6,477.35,484.7,494.65,502.6,510.45,517.55,525.75,533,541.3,550.65,560.65,569.9,580.45,591.4,601.35,611.85,622.75,635.45,647.2,658.2,671.2,685,696.2,707.7,719.4,730.45,739.1,747.5,752.9,756.35,757.05,760.5,761,759.35,758.45,755.3,749.6,742.25,732.15,722.75,707.8,691.65,675.2,660.45,645.55,631.45,618.2,604.4,591.05,574.7,559.3,541.75,525.6,510.95,497.2,484.15,471.7,460.45,451.4,438.55,427.6,419.15,409.45,399.2,390.6,378.05,367.35,359.65,349.75,343.55,337.2,332.1,326.7,320.8,314.65,308.95,303.55,297.9,294.1,289.35,284.85,278.8,274.8,271.2,265.9,266.05,264.95,261,260.85,259.1,257.6,255.7,254.5,252.9,249.9,248.95,249.35,249.15,245.05,243.4,242.15,240.15,239.4,238.85,238.25,236.55,234.4,232.15,229.35,227.7,225.2,221.7,218.15,215.55,212.55,209.95,207.05,205,203.95,203.45,202.75,202.65,201.7,201.2,201.7,201,200.3,198.3,195.85,192.7,192.6,194.1,197,199.65,201.85,200.6,199.85,198.75,197.95,196.55,195.55,194.85,193.35,191.4,190.25,191,190.8,193,195.3,198.6,199.1,198.3,195.8,193,191.9,190.6,189.35,187.3,186.55,187.25,188.3,188.7,189.9,192.25,192,190.5,189.6,189.9,189.95,188.4,187.25,185.55,184.95,185.35,185.3,185.2,185.15,186.3,187.45,187.6,188.4,188.3,189.45,189.5,190.65,191.6,192.35,192.2,191.05,190.75,190.85,193.1,193.65,195.55,196.2,197.55,197.2,196.2,193.2,192.2,190.45,190.75,189,185.6,182.5,179,176.4,174.55,174.4,173.75,173,173.25,173.75,172.8,171.7,170.75,172.65,173.1,174.6,174.6,175.1,175.4,175.65,176.15,176.2,177.7,179.25,178.85,177.85,177.9,177.85,176.6,167.45,158.15,149.65,141.2,130.55,120.8,111.95,103.55,94.7,pear
3,178.1,196.7,216.25,235.95,256.5,277.3,299.25,324.25,349.45,372.15,395.85,409.4,415.45,417.9,420.7,422.6,424.35,424.3,427.05,427.55,429.1,429.95,428.65,427.55,425.65,423.25,420.05,415.2,411.55,409.7,406.1,403.1,399.85,397.85,396,395.4,395.05,394.8,394.6,397.1,398.05,399.05,401.65,404.7,408.1,411.3,414.9,417.9,420.2,423.45,427.65,432.45,436.4,442.15,447.8,454.15,459.1,465.15,471.15,477.5,484.9,492.5,498.9,506.2,513.25,522,530.05,539.15,548.55,559,568.15,577.65,589,598.65,608.8,619.7,633.65,645.9,658.9,672.8,685.95,699.65,713.6,726.8,738.1,746.75,753.85,758.85,762.5,764.1,768,769.85,770.75,771.4,768.9,763.3,755.75,745.6,734.2,717.55,701.2,684.8,668.85,651.5,636.35,622.6,610,596.75,581.2,565.4,547.75,530.65,515.1,499,483.3,471.85,460.05,448,435.4,424.85,416.75,406.85,396.8,388.5,380.2,371.95,364.25,358.4,352.3,345.1,339.35,333.7,326.65,320.75,317.5,311.9,307.75,307.15,304.5,301.55,296.5,294.7,292.35,288.15,284.75,281.4,277.05,270.35,266.45,264.35,261.5,259.05,257.1,254.6,254.4,251.6,249.4,246.85,243.95,242.15,240.25,237.05,236.15,234.75,232.3,229.65,228.3,227.85,227.45,227.25,226.95,227.05,225.8,224.25,221.05,221,219.55,216.95,214.5,214.65,214.2,212.05,209.8,209.4,208.9,208.15,206.05,203.6,200.25,197.2,194.35,191.95,191.85,193.15,193.35,192.2,190.45,188,187.85,184.95,183.15,183.2,182,181.05,181.4,180.8,181.05,183.35,186.35,189.65,192.05,192.25,190.8,189.25,187.45,186.85,187.25,189.35,190.9,192.55,194.9,196.9,199.15,200.1,198.15,197.65,198.25,196.7,194.1,190.9,188.95,189.3,188.55,187.55,186.45,186.4,185.85,184.35,183.45,183.6,182.95,182.8,181.7,182.05,183.5,183.3,182.1,181.35,182.25,184.75,185.9,186.55,187.7,189.4,192.25,193.3,194.2,193,192.75,190.4,188.35,186.15,184.5,181.9,179.65,178.45,178.5,178.2,177.65,174.95,174.4,172.55,172.05,170.5,169.1,167.5,165.8,166.55,165.25,165.85,166.5,166.6,166.4,166.1,165.55,166,165,165.15,164.95,167,167.55,159.65,151.5,143.25,133.85,124.8,116.15,107.55,100.05,92.05,pear
4,178.35,196.7,216,236.55,257.3,278.65,301.75,327,350.05,373.05,397.8,412.95,417.8,420.25,421.9,423.75,425,424.2,422.9,423.7,426.4,428.1,427.25,424.65,422.4,419.8,415.95,410.5,408.65,406.45,401.7,397.8,394.1,392.65,391.55,390.8,391.1,391.55,394.95,396.5,398.3,399.6,401.4,404.95,408.55,411.4,414.35,417.15,419.55,423.4,427.3,431.4,437.15,441.65,446.5,452.8,458.85,464.85,469.55,476.45,481.75,488.45,495.95,502.4,509,517.4,524.6,533.45,544.2,554.4,563.4,574.4,585.95,598,609.75,620.45,633.25,645.55,658.75,671.85,686.05,699.4,712.4,724.3,734.7,743.75,753.3,760.4,762.2,762.6,765.1,766.25,765.5,763.8,760.15,755.45,748,737.85,726.95,711.05,695.1,679.1,663.95,649.35,633.95,620.85,606.45,591,575.65,560.7,544.15,527.55,512.75,497.25,485,472.8,460.75,451.95,439.4,429.25,420.9,410.65,399.85,391.65,385.05,376.4,369.65,364.25,358.85,352.35,347.3,341.4,333.4,328.2,322.3,316.8,311.95,303.9,298.65,296.8,290.8,288.25,284.4,278.35,274.05,269.85,265.3,261.8,258.4,255.4,252.4,250.4,250.1,247.5,244.7,243.35,242,243.95,244.95,241.9,240.95,238.95,239.1,238.85,237,235.1,233.45,230.6,231.1,232.8,232.7,232.7,230.4,227.75,226.2,223.5,221.3,218.65,216.95,215.35,212.85,210.2,209.35,209.2,208.7,208.45,207.05,204.85,200.05,195.4,192.4,190.8,191.2,193.5,193.75,194.55,194.75,193.1,191.2,190.4,190.25,191.15,189.6,188.4,188.65,188.4,189.5,190.7,193.35,195.15,197.35,197.05,195.45,193.2,190.8,188.2,186.4,186.75,187.05,188.35,190.05,190.25,191.6,191.85,191.05,190.25,188.9,188.1,187,185.45,183.95,182.65,182.45,181.95,181.5,181.05,179.7,178.2,177.65,176.65,175.8,175.35,173.9,174,173.15,171.85,170.6,170.5,171.4,173.65,175.05,176.1,178.3,179.35,181.45,182.25,183.85,184.2,184.2,184.3,183.3,182.6,182.6,181.35,180.1,179.25,179.95,179.9,178.35,176.5,176.65,177.6,176.35,176.5,175.55,176.1,174.9,174.2,173.05,172.25,172.15,172.25,171.25,171.7,172.85,174.15,173.8,173.15,172.9,172.65,171.75,162.1,153.2,144.05,135.1,125.7,117.25,109.35,101.9,93.95,pear
5,178.75,198,217.4,236.85,257.55,279.3,300.65,324.85,350.2,373.25,398.4,413.3,418.2,421.3,423.1,425.7,428.95,429.25,429.15,430.3,431.05,431.4,431.5,430.4,428.45,425.05,422.4,417.8,412.95,411.15,406.1,401.75,398.4,396.65,395.35,394.3,393.75,393.9,395.95,398.15,399.55,400.6,402.2,405.1,408.3,411.5,415.55,419.3,423.8,426.45,430,434.4,439.15,443.9,449.1,455.05,461.6,467.05,472.7,476.7,483.5,490.8,499.65,508.15,515.55,524.1,531.25,540.35,548.65,559.2,568.6,580.05,592.65,603.3,614.8,626.35,638.5,650.95,662.75,677,690.3,704.05,714.85,725.1,735.15,743.85,751.55,756.1,759.5,760.9,764.1,763.55,762.25,762.1,756.35,749.3,741.9,731.65,721.55,706,689.65,672.8,657.75,642.85,629.65,615.9,602.8,589.4,573.85,559.5,542.5,526.85,511.85,496.05,486.05,475.6,464.55,455.85,442.25,431.35,422.9,412.8,404.75,396.25,386.75,379.45,371.95,364.5,357.95,352.25,347.55,341.6,334.15,328.6,322.15,315.25,309.5,304.65,301.05,298.3,292.9,290,284.95,279.7,275.35,270.6,266.9,265.8,263.15,258.3,254.85,253.3,251,248.25,246.7,246.05,244.45,241.9,240.1,239.15,237.8,236.2,234.65,234.1,233.05,231.65,229.65,225.4,223.45,220.9,217.85,215.4,213.8,212.25,210.9,209.5,207.6,206.85,205.7,204.05,202.85,200.65,199.5,198.35,197.9,197.25,195.75,193.95,191.75,191.2,190.9,192.15,193.25,192.75,191.4,190.75,189.15,185.35,184.05,182.9,181.45,181.6,180.3,180.25,180,179.45,180.35,182.1,185.5,187.75,189.4,189,188.75,189.05,187.3,186.15,186.55,187.45,188.1,188.45,190.1,190.7,191.75,191.6,190.15,190.05,188.4,186.05,182.3,180.15,178.7,176.8,175.35,174.6,174.7,174.9,173.95,173.7,173.4,174.6,175.4,176.05,175.6,175.25,175.2,174.2,174.15,175.4,177.8,179.95,181.8,182.65,184.6,185.25,186.75,187.1,188.45,189.65,190.8,190.1,187.75,186.95,186.7,186.3,185.05,183.4,183.5,182.7,181.75,180.15,179.2,179.45,178.45,177.9,176.6,176.05,175,173.1,171.3,170.3,170.45,170.1,168.6,168.3,168.35,169.35,170,171.9,172.45,173.35,174.05,165.1,156.15,147.9,139.6,130.4,121.4,113.35,105.4,97.35,pear
6,180.25,197.95,218.4,238.1,258.65,281.1,304.1,329,354.05,377.1,401.9,416.75,420.9,423.15,425.5,426.1,427.15,426.85,426.5,428.1,430.45,431.7,429.35,429,427.15,423,418.5,413.55,409.45,407.4,402.15,396.8,393.25,390.35,387.7,386.3,386.1,385.9,388.85,390.45,391.95,393.9,396.35,398.05,401.9,405.9,409.55,412.85,415.6,418.4,423.35,428.75,434.45,441,447.8,455.1,461.1,467.7,473.75,479.8,487,494.25,501.45,508.9,515.1,523.15,530.85,540.15,550,560.7,569.5,580.35,590.35,599.9,610,620.8,633.5,644.7,656.6,670.7,683.1,695.75,708.15,720.55,733.2,742.25,752,756.9,759.55,760.25,763.4,765.35,766.45,766.5,763.85,757.9,750.45,740.95,730.4,714.1,698.35,682.2,666.9,651.95,636.7,623.1,607.95,594.6,579.35,564.65,546.75,528.5,513.4,497.2,483.25,471.1,458.95,447.95,434.45,424.25,415.4,405.65,395.9,387.25,376.7,368,361.15,354.95,349.85,343.35,338.6,333.55,326.65,322.1,317.2,312.25,308.2,306.35,304,301.1,297.6,294.95,291,284.75,282.1,278.95,275.15,271.2,269.45,269.45,268.9,267.8,265.35,262.75,260.6,259.35,258.2,256.05,254.15,250.45,246.65,244.75,244.95,244.75,242.15,240,237.1,234.6,231.65,227.85,224.15,221.35,219.15,216.4,214.85,213.3,211.5,209.6,207.65,207.3,206.35,206.3,205.55,203.15,202.4,200.5,198.8,195.5,192.3,189.5,188.15,187.65,188.9,190.8,191.35,190.8,189.25,186.5,185.05,184.45,184.2,182.1,180.05,180.8,181.1,181.1,182.75,184.5,187.15,189.35,191.2,192.55,192.9,191.45,189.05,187.35,186.25,186.85,188.85,191.55,194.8,196.75,197.95,197.85,198.25,198.25,197.05,196.2,193.7,192.15,189.8,187.45,185.7,185.05,184.25,184.95,185.1,184.9,183.35,182.3,179.15,177.55,177.5,178.15,175.9,175.3,175,174.6,176.15,177.75,179.7,180.5,180.85,182.25,183.85,183.9,183.55,182.35,182.25,180.8,180.35,179.75,177.85,176,176.15,175.1,174.6,174.6,173.2,171.95,172.25,172.2,172.15,171.3,170.5,168.85,168.35,168.45,168.85,168.9,169.75,169.4,169.7,169.05,168.9,168.8,168.9,168.55,168.65,169.75,169.3,160.6,152.05,143.2,134.65,126.4,117.7,109.5,100.5,92.15,pear
7,175.85,194.7,214.4,234.65,255.45,277.25,300.15,325,349.4,372.8,395.3,410.1,415.65,417.8,419.55,422.1,424.15,423.15,422.9,424.25,426.85,427.2,425.7,424.25,421.65,418,413.3,408.15,404.65,402.4,399.6,395.5,390.8,388.15,387.15,386.6,386.45,387.05,389.7,391.9,393,394.05,396.7,399.6,403.95,407.9,412.15,415.65,418.55,421.25,425.3,430.35,436.45,441.75,446.9,452.85,459.2,464.95,470.3,476.9,483.9,491.55,497.95,504.4,510.6,518.85,526.15,535.2,545.1,555.35,564.65,575.55,586.2,597,610.4,620.9,632.9,644.05,655.7,668.1,681.8,695.45,709.25,722.1,732.7,741.15,748.95,753.9,756.45,757.75,761.5,762.1,762.15,761.45,756.05,750.35,743.65,735.25,726.05,710.75,693.9,677.2,660.6,644.45,630.55,616.9,603.85,589.65,574.25,559.85,543.35,527.5,512.9,498.3,484.85,473.5,462.1,452.85,439.7,429.35,421.7,412.75,404.05,395.05,385.3,377.5,369.95,364.4,359.8,353.25,346.95,341.05,334.15,327.75,321.75,315.7,310.1,304.6,301.8,299.5,293.3,289.4,286.15,282,279.75,275,271.7,268.3,264.6,261.1,258.65,256.4,255.05,253.3,252.15,251.35,248.85,246.15,243.3,239.95,239,237.55,237.25,236,233.65,232.35,229.75,226.7,224.25,222.45,219.95,220.55,219.8,220.2,218.65,216.9,215.95,215.35,214.5,214.2,212.15,209.6,207.65,207.9,206.9,205.3,202.5,199.55,196.95,195.6,194.25,190.8,189.65,187.7,186.3,184.7,183.05,180.8,179.55,178.45,178.4,179,177.1,175.65,175.1,175.5,178.55,181.35,184.55,185.65,187.2,187.75,186.6,185.75,184.55,183.95,183.25,183.25,183.75,184.7,186.65,187.65,188.35,188.6,188.25,187.65,184.8,182.25,179.65,178.4,177.15,176,176,174.65,174.95,174.2,174.05,174.4,174.55,174.95,174.2,173.45,172.9,172.05,172.2,172.15,173.8,175.1,176.45,178.05,179.8,179.75,179.75,181.25,182.45,182.8,182.7,181,179.6,178.1,176.15,174.8,174.1,172.9,171.25,169.6,168.05,167.95,167.65,168.05,169,171.95,173,173.2,173.15,174,174.45,175.05,175.15,174.75,175.1,175.25,176.3,176.2,176.7,177.1,176.7,176.25,176.35,176,174.4,163.9,154.5,145.35,135.65,126.3,117.3,109.1,101.05,93.1,pear
8,182.4,202.05,222.2,242.9,263.9,284.85,307,332.05,357.8,380.75,405.65,420.1,425.55,427.25,429.6,430.5,433.05,432.4,432.85,434,434.45,434.6,433.3,430.9,428.05,425.75,421.9,416.9,412.45,410.35,405.3,401.25,396.9,396.85,396.2,396.15,395.15,394.8,396.5,398.2,398.65,399.25,400.6,403.95,407.5,410.25,414.1,417.35,419.9,423.05,427.1,431.35,436.15,439.5,444.1,449.95,457.05,462.9,468.85,475.25,481.55,488.75,496.4,502.6,512.45,520.6,528.15,536.6,544.5,555.05,564.2,575.1,586.3,596.35,607.55,618.5,629.55,641.65,653.95,667.2,681.3,695.3,708.2,720.4,728.35,737.7,745.15,750.6,755.1,756.3,759.75,760.3,760.65,761.45,758.85,753.95,748.15,738.75,728.3,712.85,696.95,680.1,664.8,650.2,636.45,623.15,610.25,596.95,581.8,566.65,549.45,532.65,517.8,501.25,487.55,473.7,461.9,452.8,440.6,430.55,422.2,413.05,403.4,394.7,385.7,377.3,371.35,364.9,362,356.7,352.35,347.15,340,335.2,329.5,325.6,320.85,315.9,311.45,306.25,300,296.1,291.9,286.65,283.3,279.75,275.55,272.7,266.8,263.6,260.65,258.65,257.75,255.3,253.15,250.1,247.65,246.25,244.2,242.55,240.4,239.75,239.55,239.05,237.25,235.95,232.9,230.15,228.85,226.35,223.8,221.45,217.8,214.45,213.3,214.1,212.75,210,208.2,206.6,206.4,203.55,202.1,201.5,200.8,199.4,197.35,193.35,189.9,188.65,186.65,186.35,187.85,188.45,186.45,182.5,180.9,178.3,178.2,179.15,179.45,179.9,177.7,176.9,174.8,172.95,174.7,177.55,181.35,183.1,184.9,184.8,182.9,182.65,182.05,183.4,182.8,184.25,186.2,188,189,190.6,192.1,191.95,192.85,193.7,192.5,192.85,190.3,188.65,187.6,187.15,186.95,186.65,186.25,186.45,187.5,188.65,187.1,185.65,184.25,183.45,183.8,184.15,185.3,185.65,186.75,186.6,188.65,190.7,193.75,194.6,195.6,196.45,197.2,196,195.4,193.35,192.95,191.8,190.85,189.45,187.55,185.85,183.8,181.1,179.05,176.15,173.6,172.2,171.15,172,172.1,171.95,171.8,171.9,169.65,168.55,167.2,167.15,167.35,167.25,167,166.8,166.05,166.95,167.4,167.55,168.15,169,167.85,158.15,149.5,140.9,132.65,124.15,116.55,108.8,101.25,93.05,pear
9,175.55,194.05,213.7,233.45,253.9,275.9,298,322.35,346.65,369.6,394.4,409.85,415.8,418,419.6,421.4,423.35,423.9,424.55,426.8,429.3,429.9,429.05,428.9,427.05,423.5,419.4,414.55,411.55,409.55,404.6,400.2,395.95,393.35,391.9,391.35,390.95,389.9,391.75,394.05,395.95,397.1,398.7,400.1,402.65,406.2,411.2,415,417.9,420.45,424.2,428.4,433.8,439.35,445.8,450.7,457.55,463.8,470.75,477.05,482.9,490.55,497.9,505.4,513.95,522.35,529.3,537.45,547.1,558.15,567.85,579.3,589.75,600.25,609.7,621.85,633.3,646,657.05,669.4,683.2,696.65,709.6,721.5,730.85,739.05,748.3,755.65,758.3,759.65,762.25,762.35,763.2,763.55,761.45,756.8,750.6,740.6,730.35,715.85,698.75,682.4,667.95,654.15,641.45,628.6,614,598.85,582.95,567.4,550.45,534.4,518.35,502.15,488,475.35,463.2,453.8,444.05,433.75,425.65,416.35,405,395.4,385,376.55,369.55,364.05,359.2,352.75,347.6,342.75,336.3,330.25,324.45,318.45,313.95,309.7,303.15,299.3,293.65,289.85,286.1,279.9,276.9,272.6,268,263.35,259.85,257.05,254.95,255.2,254.65,252.1,250.9,249.95,247.85,244.75,242.6,240,238.1,235.55,235.2,235.1,233.2,231.4,230.45,229.3,228.45,226.85,223.7,218.2,214.3,211.9,210.55,208.95,207.4,205.75,203.05,201.3,199.85,198.6,197.65,194.9,194,191.1,187.55,182.95,179.45,177.15,176.9,177.5,178.35,179.65,178.55,177.2,176,174.15,174.15,174.65,174.8,174.6,172.8,174.65,175.4,178.1,179.75,183.55,186.25,188.8,190.25,190.05,188.9,187.7,186.05,186.25,185.9,186.95,187.45,187.75,189.65,191,192.1,191.65,190.9,189.1,187.95,185.7,183.35,182.25,180.35,180.1,179.45,179.9,180.25,179.35,179.25,178.85,179,179.65,179.3,180.35,181.8,182.15,181.65,182.05,182.1,183.2,185.75,186.5,187.7,187.95,189.5,190.3,190.6,191.25,190.7,189.7,188.55,186.7,184.55,183.15,180.85,179,176.95,175.1,174.3,172.3,169.9,169.4,171.2,171.65,172.55,172.9,173.5,173.15,172.7,172.6,173.3,173.8,174.45,173.8,175.1,176.35,176.95,177.05,176.9,176.75,178.5,179.1,178.05,168.65,158.9,149.2,139.6,130.4,121.85,113.55,105.15,96.95,pear
