,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,Fruits
0,177.2,196.1,216.05,236.2,257.05,278.3,300.55,324.2,348.35,370.85,394.35,407.4,411.65,414.35,415.7,417.75,420.25,418.9,417.85,418.9,419.3,419.25,418.45,417.35,415.3,412.8,408.65,404.7,401.95,400.45,396.7,393.3,391.25,391.6,390.9,390.8,391.05,391.8,395.5,396.9,398.5,400.1,401.55,403.95,406.9,409.65,413.9,417.65,421.6,425.55,429.65,433.55,439.85,444.25,450.25,457.55,464.1,469.85,476.95,483.65,491.75,499.4,507.4,514.6,522.75,531.7,539.45,548,555.6,565.25,574.4,585.8,595.05,603.6,612.75,621.4,631.2,642.6,653.25,664.95,674.55,685.4,694.45,703.9,711,716.65,721.7,724,723.9,721.1,720.25,715.7,711.55,708.15,702,694.6,686.15,674.35,661.4,644.9,628.4,611.75,597,581.65,567.5,554.35,542.2,530.6,517.9,505.25,490.9,478.2,465.3,451.85,442.4,431.8,420.55,411.3,399.8,392.65,387.15,380.3,372.2,365.3,357.5,350.15,343,337.25,331.8,326,321.75,315.95,310.15,306.55,301.6,298.05,296,294.7,293.2,287.65,281.8,277.75,274.5,270.05,267.6,264.65,261.75,258.55,255.4,253.2,250.95,250.3,248.5,244.4,242.5,240.45,238.2,236.25,234.7,234.65,233.05,231.3,230.75,229.65,227.55,226.3,224.5,222.15,221.45,219.9,217.5,215,213.55,212.45,211.5,210.05,208.65,206.1,205.05,203.5,202.35,203.45,202.8,201.8,201.3,198.95,196.55,192.9,189.8,188.2,186.85,188.2,190.1,191.6,190.95,191.25,191.1,189.85,188.15,187.55,187.15,184.3,182.25,182.8,183.75,185.6,187.9,190.85,194.2,196,197.2,195.9,194.2,192.7,191.25,189.8,188.65,188.6,188.95,189.6,191.95,193.5,195.1,195.45,195.25,195.1,193.8,191.45,188.6,186.9,185.85,185.5,185.1,184.1,183.25,182.95,182.45,181.9,182.55,183.05,182.15,181.3,180.75,180.25,179,179.05,180.1,181,183.4,186.4,187.4,189.2,190,191.45,191.9,192.4,192.15,191.45,188.95,187.1,186.2,185.75,183.85,182.55,181.4,178.25,175.75,174.6,172.25,169.5,170.45,169.6,169.3,168.35,168.25,166.65,165.6,165.5,165.9,165.3,164.55,164.4,164.65,164.25,163.85,165.4,166.25,166.4,166.4,167.05,166.95,157.95,149.25,141.2,132.7,124.65,116.75,108.5,100.4,92.9,tomato
1,177,196.3,216.7,236.45,257.2,278,299.45,324.1,348.5,370.9,392.65,406.2,409.1,410.75,411.8,413.8,416.6,416.35,416.2,417.1,419.9,420.05,418.2,416.8,414.9,412.4,409.6,404.7,401.25,399.6,397.45,395.05,393.75,392.35,391.7,392.15,392.25,392.15,394.6,395.65,396.15,397.4,399.65,403.95,407.35,411.7,416.15,419.7,422.65,426.55,430.8,436.05,440.7,445.9,451.85,457.55,464.05,470.95,477.6,485.05,491.65,499.55,507.55,513.45,521.1,528.6,536.5,545.25,555.3,565.9,575.6,585.6,595.75,605.15,617.25,627.55,637.45,646.5,656.55,666.95,677.4,688.1,697.7,707.85,714.8,720.1,723.2,724.55,723.35,719.4,718.3,714.85,711.8,708.85,701.65,693.15,685.45,675.2,663.35,647.2,630.65,614,598.55,582.75,569.95,556.75,544.2,531.65,518.4,506.4,491.15,478.35,465.1,451.95,439.7,430.45,420.35,413.15,402.15,393.2,387.4,379.05,370.5,363.1,353.75,347.55,341.75,338.1,333.7,328.4,324.95,319.55,313.55,309.15,304.9,299.15,294.5,290.55,287.85,284.85,279.2,276.25,273,268.1,266.1,263.6,261.8,258.75,256.05,252.8,249.55,247.05,246.35,243.15,240.85,240.5,239.5,236.65,234.1,231.6,229.75,229.3,229.3,229.7,228.6,227.95,225.35,222.7,221.05,219.15,217.35,218.4,216.8,217.15,216.65,215.4,213.95,212.95,213.5,214.3,213.6,211.65,210.5,209.3,207.55,205.5,204.05,199.9,196.8,195.55,194.6,192.4,192.85,192.5,192.35,191.2,188.85,186.5,183.75,182.1,181.7,181.25,179.6,179.1,178.65,176.05,176.3,179.5,183.6,186.1,187.7,187.3,187.3,185.75,183.2,181.65,181.75,182.5,184.15,186.05,187.7,187.95,189.15,190.05,191.65,193.55,193.45,193,190.05,187.95,187.05,186.85,184.65,184.2,184,183.2,183.1,183.1,182.8,183.3,184.45,186.35,186.6,185.5,183.8,182.85,182.65,182.2,182.35,183.2,184.35,185.25,187.35,188.45,190.05,191.15,190.85,188.8,187.4,185.4,182.85,180,178.65,177.25,176.6,175.65,174.75,174.95,175.05,175.3,175.85,176.5,176.15,175.4,174.3,173.35,171.95,172.6,172.65,172.15,172.05,173.7,173.9,174.4,173.95,174.4,174.5,172.95,172.1,171.4,169.8,160,150.65,142.05,133.55,125.55,117.9,109.8,101.9,93.95,tomato
2,179.75,199.25,219.95,241,262.05,283.5,304.85,329,353.85,376.8,400.55,414.8,418.8,419.55,420.7,422.8,424.2,424,423.5,424.7,425.9,425.85,423.6,420.5,417.45,414.2,411.1,406.7,402.2,400.8,396.7,392.95,390.35,391.05,391.35,392.15,392.45,393.4,397.2,399.7,400.2,401.6,404.15,406.95,411.25,415.45,420.7,424.85,428.4,431.65,436.1,441.2,446.1,449.5,454.3,459.05,465.4,470.5,475.7,482.05,489.3,497.3,505.25,512.95,522.6,529.95,536.55,544.3,553.65,563.25,571.8,582.45,592.9,602.8,612.95,622.35,632.2,642.15,652.25,663.1,673.6,683.9,693.45,702.8,708.05,714.4,719,720.4,718.7,715.05,715.45,712.2,708.65,703.8,697.25,690.4,682.75,672.8,659.85,642.85,626.3,609.05,592.35,577.05,564,550.6,539.2,528.7,516.9,505.4,489.85,475.3,463.6,451.6,440.75,430.05,419.6,412.3,402.7,394.1,387.65,380.15,372.65,365.65,356,349.15,342.5,337.3,333.5,327.6,324.05,319.6,312.95,309.45,305.45,300.9,296.85,293.05,290.4,287.9,283,279.5,278.65,274.65,272.7,270.05,266.45,262.55,257.75,255,250.85,249.2,246.75,242.65,239.85,238.8,238.05,236.45,234.5,232.25,231.05,230.3,228,226.85,223.75,220.9,219.55,217.5,217.35,215.95,215.4,213.05,211.65,210.15,209.7,208.7,206.35,203.9,202.9,202.5,201.75,199.45,197.85,198.1,199.1,199.35,197.5,193.8,190.75,189.2,187.65,188.1,188,187.75,185.8,184.1,182.5,180.55,179.75,179.5,178.3,178.65,177.35,175.8,174.9,173.25,172.95,175.05,177.1,178,179.35,180.15,180.75,181.25,180.65,179.55,179,179.1,180.1,182.25,185.45,186.85,188.25,188.05,187.7,188.25,189.35,188.6,187.15,186.25,185.15,183.45,182.45,182.5,183.3,183.1,183.3,183,181.6,179.5,177.3,176.35,174.8,174.6,174.7,173.8,172.2,172.35,173.15,176.15,178.05,180.2,181,181.05,180.3,180.4,179.65,179.3,179.15,178.1,176.7,175.8,176.4,175.1,174.05,173.3,173.55,173.6,173.6,172.25,173,173.1,174,174.1,174.5,174.05,173.5,172.75,172,172.35,173,173.2,172.05,172.75,172.4,172.4,171.35,170.15,170.35,170.15,167.9,157.7,148.2,139.55,130.85,122.8,114.85,106.9,99,90.9,tomato
3,183,201.85,221.15,240.95,261.2,282.45,304,328.15,352.45,375.4,398.8,413.25,417.15,419.4,418.35,418.85,420.2,419.25,418.35,418.45,419.55,420.45,419.3,420.5,419.2,416.45,413.7,410.05,406.55,404.6,400.85,397.75,395.8,394.05,393.1,394.15,394.4,395.25,398,400.65,402,403,406.05,406.15,409.85,413.6,417.5,420.4,424.55,428.05,432.55,437.5,442.4,447.4,454.25,459.5,465.55,470.15,476.9,483.25,490.6,497.85,505.3,512.8,519.4,527.3,535.25,543.7,552.5,562.6,571.2,581.25,592.4,602.35,610.5,620,630.6,642.4,652.7,662.95,673.25,684.7,694.45,704.3,712.2,717.7,723.1,725.7,724.45,721.55,721.6,718.4,713.95,710.45,704.95,697.95,689.4,678.15,665.8,649.95,633.4,616.8,600.65,585.75,572.75,560.75,547.25,534.9,522.05,509.7,494.45,481,468.6,455,445.25,434.9,425.05,418.35,409.2,401.55,395.55,386.75,378.35,370.85,362.45,352.85,345.9,340.2,335.2,329.65,326.35,321.4,314.75,311.25,305.8,300.25,296.15,291.55,287,282.6,276.9,273.9,271.6,266.5,262.8,261.2,258.35,255.8,252.35,249.35,247.1,248.7,251,248.8,247.15,246.65,244.9,242.9,241.25,239.8,237.65,235.9,235.5,235.35,234.7,233.3,232.15,229.6,229.55,228.25,225.25,219.3,214.95,211.75,210.5,208.55,207.25,205.6,204.45,204.05,203.45,202,201.45,200.1,199.4,199.35,196.8,194.55,191.2,189.9,188.4,189.45,190.45,192.25,191,191.1,190.55,188.85,187.95,186.8,186.65,187.3,185.15,184.85,184.1,183.95,186.05,187.85,190.8,192.15,193.5,193.3,192.4,191.7,190.65,190.7,191,191.1,191.8,193.05,194.85,195.9,197.45,197.65,196.6,195.05,192.6,189.5,186.8,185.45,184.95,183.3,181.85,180.55,179.65,177.2,175.25,174.8,174.35,173.9,173.15,172.2,171.65,172.4,172.95,173.9,174.5,176.9,179.6,182.3,183.45,185.75,186.4,187.9,189.55,191.4,191.45,190.9,189.75,188.65,186.8,185.85,183.85,181.25,179.6,177.8,177.05,175.25,172.9,170.4,170.35,169.5,168.9,167.5,166.3,164.25,162.75,162.1,163.25,164.65,166.2,167.25,167.6,168,169.05,169.25,169.9,169.85,169.6,169.25,168.6,159.75,151.55,143.2,134.9,126.95,119.25,111.3,102.45,93.25,tomato
4,176,195.5,215.2,236,257.85,279.75,302.15,326.3,350.45,373.25,396.55,410.65,413.85,415,416.7,419.1,421.25,420.3,419.6,420.65,422.55,422.95,422.1,419.15,415.65,411.8,407.8,403.7,400.65,399.1,395.55,393.25,391.2,390.4,390.2,389.6,389.35,390.3,394.25,396.95,398.35,399.3,401.7,405.5,410.35,415.6,420.2,423.7,427.7,431.15,435.35,439.6,444.85,450.2,456.2,462.95,469.9,475.75,482.3,488.2,495.2,502.95,510,516.7,523.5,530.6,537.4,546.25,554.35,564.1,573.25,584.05,595,604.85,613.95,623.3,633.7,643.8,651.6,662.6,672.7,682.95,692.35,702.25,708.7,713.65,717.7,719,718.2,715.55,715.4,711.55,708.1,704.9,698.8,690.65,681.9,671.4,660.3,644,628.2,611.65,596.75,580.75,567.35,555.2,541.65,530.1,518.9,505.9,492.55,478.65,464.9,451.55,440.75,431.3,422.25,414.7,403.9,395.5,389.2,382.2,374.05,367.25,359.05,352.55,348.9,344.1,337.05,332.1,326.45,322.45,317.4,313,308.1,303.45,299.35,296.5,295.3,293.55,290.15,288.8,286.5,281,277.9,274.3,270.7,266.45,263.45,260.45,256.8,253.95,252.2,250.65,249.7,248.45,245.4,241.75,238.15,234.55,230.85,225.7,224.25,225,224.1,222.35,220.1,218.45,218.2,216.65,215.3,214.45,212.05,211.2,210.4,209.3,206.85,205.45,204.8,204.5,203.65,203.15,202.05,201.25,201.1,200.8,199.7,196.05,193.05,191.4,190.7,189.75,190.6,189.1,188.35,187.6,188.5,187.15,185.7,184.8,184.3,184.1,182.2,181.2,180.9,180.35,181.75,184.4,187.6,188.85,190.35,191.8,191.75,190.9,188.1,187.05,185.65,184.7,185.5,186.4,187.85,188.75,190.65,190.9,189.9,189.05,187.25,185.65,181.9,180.9,178.75,176.45,174.75,174.35,174.05,173.55,172.85,172.6,171.8,171.75,170.9,171.35,170.9,170.85,170.4,170.25,170.45,171.05,173.05,174.65,176.55,178.15,179.1,179.7,182.45,182.4,183.05,182.45,182.6,180.85,180.7,179.3,177.85,176.2,175.7,173.5,172.35,171.05,171.2,172.05,173.6,173.6,173.5,172.95,170.85,170.45,169.45,169.05,168.65,168.65,167.8,167.5,167.8,167.95,167.5,168.5,168.95,170.15,169.4,168.1,166,157.1,148.7,140.45,132.1,123.7,115.6,108.25,100.15,92.7,tomato
5,179.2,198.75,218.3,238.65,259.5,281.25,304.35,328.15,352.15,375.1,398.8,413.45,418.35,420.55,421.05,421.5,423.4,423.05,423.25,423.75,424.7,423.75,422.05,420.4,417.85,414.3,409.35,405.65,402.95,400.5,396.15,393.1,390.8,389.7,389.85,389.5,389.65,389.8,392.35,395.35,396.95,399,402.2,404.4,408.7,413,417.85,421.55,424.7,429.55,434.35,438.75,443.15,448.1,453.65,460.5,466.3,471.9,477.45,483.5,490.25,498.55,506.25,513.7,520.35,528.7,537.8,545.15,554.45,561.95,570.45,580.7,591.3,601.05,610.85,620.35,630.55,640.7,651.6,663.15,672.8,682.75,692.1,701.85,709,712.1,716.15,718.75,717.45,715.85,716.2,712.9,709.65,705.75,699.9,692.85,684.4,673.6,659.75,641.5,625.45,611.65,596.8,582.3,569.25,557.85,544.55,533.3,520.7,508.9,493.4,479.3,465.65,452.45,442.35,431.85,422.9,417.1,409.95,403.15,397.6,386.9,377.5,368.9,360.2,354.5,348.2,342.3,336.8,331,325.8,323.15,317.75,311.65,305.8,299.95,295.15,290.1,285.75,281.9,276.35,273.5,271.25,266.65,263.75,259.6,255.55,251.95,248.35,245.2,243.8,240.45,238.65,238.1,236.95,236.65,235.2,233.95,233,232.1,229.85,228.3,228.4,228.1,227.25,224.5,223.15,221.1,221.2,220.85,219.9,219.05,217.75,215.85,214.95,214.05,212.2,209.1,206.8,204.45,204,202.2,199.8,199,197.25,195.2,192.2,189.2,186.1,183.8,181.75,181,182.65,185.05,184.85,183.35,181.55,179.3,177.7,178.5,179.15,180,179.65,180.4,182.15,184.6,187.2,190.4,193.7,195.95,198.15,198.35,195.95,193.55,190.9,191.1,191.25,191.6,192,192.35,193.05,194.15,195.6,195.05,194.05,193.05,193.35,192.8,190.55,190.4,188.9,187.95,187.55,187.9,189.2,188.15,187.75,188.1,188.5,188.55,188.9,189.25,189.3,190.4,191.2,191.4,189.6,188.85,190.55,191.7,193.55,195,195.8,196.2,195.25,194.9,194.2,193,192.1,191.15,189.45,186.8,183.55,180.55,177.2,176.25,175.6,173.85,172.3,170,169.45,168.9,169.25,168.15,167.65,167.15,166.8,166.25,166.25,165.35,165,165.05,165.75,166.35,167.2,167.15,167.6,169,169.25,169.8,169.1,159.85,150.8,142.5,134.45,126.35,118.4,110.85,102.75,95.15,tomato
6,178.3,196.7,217.2,237.95,259,280.6,302.05,326.6,350.6,373.65,397.2,411.75,415.05,417,418.2,419.65,421.35,419.6,420.1,421.6,423.8,425.15,423.25,420.6,419.55,417.65,414.85,410.45,407.95,406.1,402.5,399.25,397.15,395.4,394.8,395.1,395.5,397.35,399.65,401.2,401.5,402.7,404.6,408.2,409.65,411.4,415.8,418.9,421.95,425.7,430.25,435.55,440.7,446.45,451.95,459.2,465.8,470.4,476.65,481.3,489.7,496.85,504.1,510.2,517.8,526.75,533.95,541.65,550.6,561,569.8,579.45,589.5,598.7,608.05,616.85,627.25,638.65,649.5,662.5,671.7,682.55,693.5,704,711.85,717.35,721.7,724.7,724.85,720.65,720.1,716.95,713.3,709.85,704.2,696.1,687.3,675.9,662.55,645,628.6,611.85,596.1,581.1,568.1,554.5,542.15,531,517.6,505.45,489.9,475.95,463.5,449.9,439.7,430.1,420.45,413.25,402.5,393.65,384.95,377.55,368.1,358.55,349.8,343.15,337.6,331.4,325.45,320.35,316.95,313.2,307.2,303.95,299.6,295.75,292.85,291,290.95,289.8,287.1,283.45,281.45,278.45,275.8,272.6,269.85,267.4,264.3,261.45,258.2,256,254.35,253.5,252.7,250.75,248.7,245.85,242.65,239.35,237.5,235.7,235.1,235,233,231.6,230.15,227.55,227,224.85,223.2,221.15,218.95,214.15,211.25,210.6,207.8,204.6,202.1,201.15,200.1,198.8,197.8,197.65,198.3,197.15,194.85,191.55,188.6,187.15,186.05,186.25,188.5,191.75,192.15,191.15,191.25,190.95,191.45,191.4,191.25,191.6,190,189.15,187.4,187.65,188.4,191.65,194.55,197.35,199.45,198.7,196.5,192.9,190.15,188,184.85,184.95,186.25,188.45,190.75,193.5,195.75,196.3,196.6,196.2,193.7,190.1,187.4,185.7,185,184.95,184.9,185.7,187.35,189.15,191,190.05,189.05,188.25,187.15,185.05,183.25,182.45,182.4,181.85,183.05,185.3,187,188.55,189.1,190.65,190.95,191.85,190.7,189.9,189.2,187.15,185.6,183.6,181.95,181.1,179.75,178.85,176.65,175.4,174.2,173.3,172.35,170.5,171.25,172,172.65,172.55,173.2,172.3,171.45,171.2,170.45,170.45,171.1,171.45,172.15,171.9,172.7,172.85,173.45,173.2,173.25,173.45,172.75,162.1,152.95,143.55,134.15,125.55,117.35,109.85,102.1,94.35,tomato
7,179.6,198.75,219.6,240.5,261.5,282.9,304.55,328.3,353.15,376.1,399.5,412.75,416.2,418.6,420.25,424.1,426.25,426.65,426.05,426.55,426.85,426.9,423.75,421.3,418.25,414.4,410.65,406.6,402.95,400.95,397.5,394.4,393.1,391.55,390.4,388.85,388.8,388.5,390.25,392.05,393.3,394.4,396.9,399.45,404.25,408.2,413.55,417.1,419.8,423.8,428.8,434.75,439.8,445.5,451.75,458.2,465,470.85,478.3,484.75,491.4,499.35,507,514.5,521.65,530.8,537.95,546.45,556.15,565.45,573.65,582.95,592.9,602.05,610.95,619.35,629.2,639.75,648.45,658.2,669.3,680.1,690.05,699.95,706.9,711.1,714.6,716.8,715.75,713.45,713.35,709.8,707.1,704.4,699.3,691.9,683.25,671.85,661.15,645.85,629.25,612.3,598.05,583.4,569.8,558.05,546.95,534.6,521.5,508.85,496.15,483.6,470.45,459.25,449.6,440.05,430.7,423.65,412.9,403.5,398.1,391.5,382.5,374.65,366.15,358.9,352.55,347.9,342.6,336.15,328.65,322.75,315.9,309.45,303.9,299.5,295.25,292.25,288.55,284.7,279.25,275.3,271.35,268.4,267.2,263.85,260.55,255.55,253.65,252.85,251.55,250.55,249.5,245.85,244,243.25,241.8,238.35,236.15,234.4,231.55,229.25,229.5,227.45,224.8,222.95,220.85,220.05,218.6,216.25,213.5,210.2,208.2,206.55,204.5,200,197.75,196.45,195.2,194.55,193.8,193.3,192.2,190.65,190.4,190.6,189.4,186.5,183.65,181.55,180.95,181.4,181.75,182.5,181.7,182.9,182.65,181.65,182.2,183.35,183.8,182.95,181.1,181.45,180.35,180.3,181.2,183.55,185.65,186.4,186.95,186.95,186.6,185.55,184.15,183.6,182.4,182.1,182.5,183.95,186.1,189.1,191.2,191.1,191.25,190.15,189.45,187.85,185.45,185.15,184.15,183.85,183.45,183.45,183.2,182.6,182.6,182.25,180.05,177.95,176.15,174.85,174.5,174.55,175.2,175.85,175,174.3,175.95,177.8,178.95,180.9,181.9,183.15,183.8,184.45,182.8,181.55,181.25,181.2,180.85,179.4,176.9,174.85,172.15,169.85,168.75,168.65,167.6,166.1,165.3,164.7,165,165.25,165.5,164.55,164.7,165.1,165.3,164.8,163.55,163.45,164.25,164.8,164.7,165.2,165.45,165.65,166.35,167.3,168.1,158.65,149.4,139.9,131.35,123.05,115.35,107.25,99.55,91.5,tomato
8,178.55,197.5,217.5,237.95,258.55,282.3,305.65,328.3,352.3,375.05,398.65,412.2,416.75,417.5,418.2,420.35,422.65,422.35,421.8,423.8,426.8,426.7,425.2,422.7,420.45,414.9,409.4,406.6,403.55,401.7,397.8,393.55,392.15,391.35,391.55,391.55,392.6,392.95,396.55,398.2,398.7,400.85,402.75,406.5,410.5,414.8,420.1,423.75,427.4,431.5,435.85,441.4,444.65,449.6,454.35,460.55,466.1,472.75,478.35,484.05,490.75,497.8,505.45,511.85,519.35,526.95,534.2,543.1,549.85,557.6,566.3,577.1,589.3,599.45,608.6,618.15,628.25,637.65,646.95,657.75,668.45,679.15,689.5,699.5,706.25,710.95,715.1,716.2,716.2,714.5,714.05,709.9,705.15,700.95,695.9,688.15,679.5,669.6,658.55,642.9,627.45,610.8,595.35,581.8,569.4,557.85,545.15,534.25,523.2,511.25,496.5,483,469.35,456.7,445.9,435.8,426.05,417.35,406.4,397.25,390.45,383.4,375.05,366.25,358.1,351.25,346.6,341.05,334.9,329.8,326.45,321.8,318.45,312.75,308.1,303.95,300.1,296.9,292.5,289.1,284.1,280.4,277.4,272.9,270.2,267.05,263.4,260.5,258.45,255,252.25,250.3,247.45,245.8,243.85,241.9,239.8,238.3,238.05,238.15,236.3,234.4,233.2,232.55,230.05,227.45,224.8,221.15,220.05,219,217.15,215.05,211.9,209.6,207.7,207.1,205.85,204.55,204.1,202.8,201.1,201.35,201.8,201.75,201.4,201.4,199.8,197.1,193.9,191.4,189.6,190.25,191.35,192.4,192,189.7,189.35,188.15,187.1,188.2,189.95,189.2,186.65,186.2,186.3,186.35,187.8,191.1,193.4,195.1,196.15,194.65,193.9,192.4,191.15,190.7,187.95,186.55,186.6,186.3,187.05,188.45,190.35,189.85,188.45,186.85,184.45,182,180.65,181.15,181.5,182.4,182.8,183.8,183.95,184.75,185.2,185.55,185.85,184.4,182.5,181.45,181,181.6,182.9,184.7,187.05,189.25,190.95,191.55,192.05,192.1,192,191.2,192.3,191.8,192.1,190.5,189.65,188.65,188.45,187.65,186.2,184.7,183.2,180.95,179.1,177.3,175.9,174.7,173.9,173.55,173.1,173.95,173.2,173.55,173.35,173.2,171.9,172.45,172.7,172.85,173.1,172.5,171.1,170.85,170.3,169.35,168.25,167.95,168.5,160.3,152,142.95,134.25,125.05,116.2,108.2,100.5,92.1,tomato
9,176.65,195.45,215.45,235.1,255.8,277.1,298.5,322.35,346.2,369.1,392.75,406.3,411.05,413.55,416.05,419.8,421.65,421.9,422.25,423.55,425.45,426.05,423.9,422.4,419.55,416.85,416.5,411.7,408.2,406.1,402.05,398.85,395.6,393.35,391.65,390.05,389.95,390.2,393.7,395.7,395.95,397.25,400.95,403.65,408.6,412.1,413.95,418.55,422.55,426.65,431.6,436.3,441.15,446.1,452.15,458.9,465.85,472,475.5,480.7,489,496.95,503.3,511.05,517.5,525.9,532.85,540.55,549.6,559.15,567.85,578.3,588.3,598.55,607.25,616.8,626.5,637,648.25,659.05,668.7,678.7,688.7,697.65,704.75,709.35,714,715.9,715.35,711.95,709.25,704.85,701.35,697.6,693.2,685.7,678.3,667.65,656.35,641.15,624.45,607.8,593.05,578.9,566.6,554.6,542.85,532.3,519.4,507.8,495,482.6,470.15,456.9,444.5,434.05,421.5,413,402.25,393.05,387.35,379.5,371.15,364.35,355.5,346.05,339.85,333.6,327.8,322.4,318.55,313.65,307.35,303.7,300.55,296.65,294.3,291.1,287.6,284.2,279.05,276.95,273.55,268.05,265.9,266.1,263.3,260.65,258.45,254.9,252.35,250.6,249.2,245.5,242.9,238.85,236.8,233.25,232.1,231.05,229.55,227.1,226.85,226.9,223.95,221.4,217.7,214.6,212.95,211.8,210.15,208.75,207.25,206,204.95,205.65,204.55,204.5,204.2,204.5,204.2,204.35,202.85,201.6,202.4,201.85,201.6,201.45,200.05,200.55,198.3,197.75,198.45,199.5,198.8,197.25,195.7,193.85,192.3,190.1,189.5,189.35,188.8,188.35,188.25,187.3,188.45,188.75,190.45,189.55,190.7,189.7,188.6,187.45,186,186.4,185.5,185.45,185.4,187.55,189.2,189.75,189.85,189.4,187.6,187.25,185.8,183.7,181.4,179.95,180.1,180.45,181.2,180.7,180.2,179.25,179.85,179.45,179.7,178.7,176.85,177.15,178.6,180,182,183.15,183.6,184.4,186.45,190.3,190.9,192.35,192,191.7,193,192.75,193.9,194.7,195.1,194.5,194.2,192,190.3,188.65,185.8,183.3,182.15,180.8,178.45,175.5,175.25,173.45,173.05,173.45,173.05,173.2,171.4,169.65,168.25,167.1,166.35,165.9,165.5,166.1,165.2,165.3,165,165.15,165.35,165.1,164.75,156.65,148.35,140.15,131.45,122.8,114.35,106.5,98.4,90.95,tomato
