,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,Plant
0,178.25,198.05,218.15,238.05,258.95,279.85,300.55,322.9,346.15,367.6,390.2,403.55,406.6,407.7,408.65,409.8,411.9,411.5,411.4,412.05,412.95,412.2,410.3,410.6,409.65,408.85,406.9,403.9,401.1,400.7,398.35,396.85,396.1,396.5,396.25,396.6,397.25,398.15,400.4,401.95,403.35,404.85,407,408,410.65,412.95,417.3,421.45,424.95,427.95,431.45,435.75,440.25,444.3,449.6,454.85,460.85,466.3,471.25,476.1,482.25,489.05,496.2,503.2,508.95,516.1,522.2,528.75,535.9,543.45,550.85,559.65,568.05,575.85,582.95,590.25,597.1,604.05,611.25,618.25,624.25,630.55,636.2,640.9,644.7,645.8,646.3,645.65,643.7,639.5,636.85,630.6,624.8,619.85,614.05,607,598.85,588.85,578.85,566.05,552.9,539.6,527.25,515.35,504.5,495,485.95,476.95,465.35,455.4,443.8,433.6,423.55,413.4,404.5,396.65,389.8,384.2,375.6,368.8,362.4,356.65,349.85,343.8,337.05,329.45,324.7,321.05,318.3,314.65,311.55,308.4,304.15,300.5,296.75,293.15,289.5,287,284.35,281.25,278.5,275,272.55,268.65,266.75,266.8,265.2,262.8,260.7,258.55,255.85,253.65,252.15,251.05,249.1,247.75,245.75,243.05,241.55,241,238.95,237.35,237,236.55,235.25,232.5,229.55,226.25,224.55,223.05,221.95,220.5,219.2,216.55,215.05,213.45,212.15,210.6,209.75,209.6,210.4,210.5,210.2,210.2,209.45,207.9,206.35,206.2,205.9,204.7,203.1,201.75,200.95,200.6,199.8,197.95,196.35,194.75,193.5,191.3,189.4,187.8,184.9,184.1,184.1,185.6,185.6,185.4,185.8,187,188.65,190.45,191.25,190.85,189.35,188.55,186.85,187.15,187.8,188.4,189.45,191.95,195.15,195.45,194.2,193.35,193.25,191.8,188.95,186.7,184.9,183.15,181.5,180.55,180.55,180.25,180.4,179.25,177.8,177.3,176.45,174.15,171.85,170.8,170.6,170.2,170.1,170.65,171.35,173.3,174.75,175.65,176.15,176.55,176.5,176.3,176.05,175.6,175.25,174.7,174.25,174.2,173.25,172.35,171.15,170,168.65,166.8,165.85,164.2,163.95,163.7,163.35,163.25,163.25,163.2,163.1,163.35,163.65,164,163.85,164.25,164.3,164.15,164.5,164.4,164.5,165,165.05,164.9,164.35,155.55,147.45,139.3,131.35,123.2,115.25,106.95,98.9,90.9,lvluo
1,177.6,197.15,217.3,237.65,258.05,280.2,301.75,324.5,347.65,369.6,392.75,406.4,410.1,411.1,412.35,414.9,417.35,415.75,415.05,415.5,416.3,415.8,414.15,412,410.05,406.55,403.4,400.65,398.8,397.3,394,391.75,390.55,390.3,390.5,390,390.45,392.35,395.1,397.1,398.45,400.3,402.65,406.1,409.95,413.3,418.2,421.25,424.05,426.85,430.7,434.8,439.1,443.35,448.35,454.65,460.75,466.15,472.45,478.55,484.65,491.5,497.8,503.65,510.05,517.05,523.2,530.15,537.1,546.45,554.3,563.25,571.95,580.45,587.85,594.2,600.8,607.55,613.15,618.3,624.25,629.65,635.55,640.7,643.7,645.3,645.4,644.95,642.35,636.85,633.3,628,622.45,616.9,610.7,603,595.35,585.4,575.4,564.2,551.35,538.65,526.4,514.55,504,494.2,485.4,476.7,466.45,456.55,446.6,436.55,428.85,419.05,410.75,402.95,395.3,389.45,381.3,373.45,368.35,361.9,355.3,349.6,342.8,337.95,333.8,329.9,327,323.4,319.1,314.2,307.1,303.2,299.45,295.95,292.8,290.3,287.3,284.25,279.95,277.1,274.1,272.9,273.1,270.65,267.65,265.3,262.5,260.55,257.95,256.4,255.3,252.85,249.35,248.4,247.6,246.2,245.8,245.35,244.3,243.5,243.25,240.1,236.85,234.3,231.8,227.9,226.35,224.4,222.6,219.9,217,214.4,214.35,211,208.3,204.05,200.7,198.2,195.8,193.65,191.4,190.05,188.4,188.15,187.65,186.2,183.7,182,180.8,180.8,181.75,182.45,181.35,181,179.6,179.1,179.2,179.05,179.3,179.3,178.75,178.9,180.25,180.3,180.2,181.8,184.2,186.8,188.7,190.2,190.3,189.8,188.3,188.1,187.9,188.35,189.2,190.9,193.4,195.95,198.05,198.7,197.5,196.25,195.5,194.05,191.7,188.95,186.65,184.8,183.4,183.05,183.3,182.6,181.25,180.6,179.1,177.5,175.1,173.25,170.85,169.55,169.05,169.2,169.55,170.95,172.9,176,179,181.35,182.85,183.5,183.6,182.95,183.2,182.85,182.9,182.3,182.4,181.5,181.95,180.95,179.75,178.5,176.6,174.05,171.35,168.45,165.7,164.05,163.15,162.45,162.35,162.4,162.05,161.5,161.3,161.85,161.6,162.15,162.25,162.5,162.35,162.1,162.1,162,162.2,163.85,165.3,156.9,148.65,140.65,132.5,124.6,116.5,108.65,100.7,92.7,lvluo
2,177.65,197.65,218.05,238.7,259.35,282.45,304.8,328.15,350.3,371.55,394,407.5,411.05,412.1,413.2,415.1,417.2,416.6,416.6,416.5,417.45,417.35,416.4,414.35,412.1,407.65,403.55,399.95,398.75,398.25,395.55,394,393.25,393.4,393.85,394.45,396.1,396.25,398.4,399,400.45,401.65,403.05,406,409.75,413.05,417.6,421.4,424.95,428.2,432.1,436.25,440.4,444.65,449.55,455.5,460.2,466.55,472.05,479.6,486.55,493.25,499.7,505.75,512.5,519.6,526.1,532.85,538.7,545.9,553.35,562.05,571.05,579.05,585.8,592,598.95,605.7,612.2,617.7,622.6,628.2,633.95,639.3,642.35,644.15,644.4,643.4,641,636.7,633.8,627.45,621.45,615.75,609.85,602.6,593.9,583.8,573.3,560.45,548.45,535.65,523.45,512.9,502.8,492.7,483.65,474.95,465.35,455.35,443.55,433.35,423.65,413.55,404.45,396,389.1,383.55,375.65,368.45,363,356.45,349,340.65,333.1,329.05,325.3,321.7,318.55,315.35,312.75,309.05,303.45,301.35,298.4,295.65,291.75,288.95,285.55,284.2,279.45,276.25,273.75,270.85,269.2,266.2,263.6,260.7,259.4,257.45,254.5,252.9,252.25,248.4,246.65,245.6,245.55,244.4,245,243.95,242.9,242.1,242.85,242.65,240.55,237.75,235.05,231.35,228.4,226.55,225.3,223.7,223.55,222.8,221.8,220,217.65,214.9,212.2,209.9,207.9,205.7,203.65,202.2,201.9,201.85,201.4,201.15,199.4,197.8,196.55,196.05,194.95,195.4,194.7,193.85,193.85,194,194.35,195.8,198.35,200.85,201.95,203.25,204.1,204,203.9,204.65,206.15,208.4,210.7,211.55,211.1,209,206.65,205.45,203.75,202.1,201.35,200.45,200.45,200.05,198.85,197.75,196.45,195.95,195.8,194.65,193.35,190.8,188,186.45,185.35,185.05,184.75,185,184.7,184.45,184,183.4,181.3,180.2,180.4,181.05,181.5,182,181.15,181.05,181.5,184.05,186.8,189.6,192.1,194.3,196,196.05,195.6,194.85,193.7,192.75,192.15,191.45,189.95,187.8,185.65,183.05,181.2,179.7,178.1,175.7,174.65,173.1,171.05,168.85,167.2,165.45,164.7,164.2,164.4,164.3,164.3,164.15,163.7,163.4,164.4,164.9,164.9,165.05,164.9,164.75,164,154.7,146.3,138.5,130.5,122.65,114.6,106.6,98.5,90.65,lvluo
3,174.25,193.6,213.85,234.3,255.1,276,297.2,319.75,342.7,364.9,387.5,400.65,404,405.5,407.65,409.95,411.7,413.2,413.4,414.05,415.15,415.5,414.25,412.3,410.4,408.5,408.25,404.65,402.2,401.2,398.15,396.55,395.65,395.65,395.4,395.8,396.25,397,399,400.55,401.95,403.05,405.55,409.05,412.7,415.75,417.95,422.3,425.7,429,433.3,437.25,441.9,446.6,451.95,457.55,463.95,469.6,474.05,478.8,485.35,492.05,497.9,503.3,509.35,516.15,522.35,529.45,535.95,543,550.05,558.5,566.6,574.05,580.85,587.55,593.9,600.9,608,614.45,620.35,626.2,631.8,637.3,640.7,642.6,642.8,642,640.25,636.05,631.65,625.55,620.6,616.3,610.15,602.9,595.2,585.05,575.05,562.3,548.75,535.7,523.7,512.1,501.25,490.85,481.85,471.95,461.15,451,441.2,431.75,421.6,410.9,403.25,394.75,387.2,379.6,370.8,364.35,359.8,353.7,347.1,342.15,336.15,329.8,325.5,322.65,318.75,315.05,312.15,307.7,302.2,297.7,292.9,289.55,286.3,285.5,283.4,280.25,275.1,271.95,268.65,263.25,260.7,260.4,258.35,255.7,255.2,253.6,250.8,249.75,249.25,247.5,244.8,241.85,239.85,235.75,233.4,232.9,231.85,229.95,229.75,229.6,227.75,225,221.25,217.75,215.15,213.95,213.15,212.1,210.75,208.7,208.65,209.3,207.9,208.15,209,207.85,206.85,206.15,204.7,203.55,203.3,203.3,203.65,204.05,204.25,204.3,203.8,202.4,202.4,204.05,204.5,203.95,203.85,202.2,200.35,199.8,199.45,199.55,198,198.35,198.35,198.25,198.35,198,197.5,196.75,197.85,199.85,200.9,200.8,200.6,200.65,200.4,201.65,202.85,204.45,206.9,209.5,212.3,212.85,212.2,211,209.7,207.85,205.4,203.3,200.35,197.8,194.95,192.5,189.35,186.75,184.4,182.05,179.9,178.1,176.4,174.7,173.65,173.05,173.25,173.65,173.85,174.3,175.75,177.75,180.25,182.75,184.5,185.95,187.25,187.6,187.4,187.1,186.65,186.15,185.1,183.75,182.1,180.3,178.25,176.65,174.65,173.15,171.9,170.35,170.05,169.1,168.15,167.05,165.8,165.2,164.85,164.8,165.35,165.25,165.55,165.35,166.45,167.55,168.35,168.65,168.9,169.35,169.05,169,167.9,158.3,149.8,141.55,133.75,125.85,118.1,110.2,101.95,93.8,lvluo
4,178.3,197.9,218.55,239.3,260.3,281.2,302.05,325,348.3,370.55,392.85,406.25,408.9,410.05,411.2,412.9,416.45,415.75,416.05,416.25,417.4,417.3,415.25,412.8,410.05,407.35,405.5,402.8,400.55,399.35,396.95,395.15,394.5,394.25,393.75,393.8,392.8,393.55,395.85,397.4,398.6,400.5,402.9,406.15,410.25,414.3,418.3,421.6,423.6,426.25,430.2,434.2,438.75,444.25,449.35,455.15,461.3,467.05,472.5,478.95,485.1,491.35,497.8,503.9,510.5,517.15,523.55,530.4,538.85,547.4,554.55,563.4,571.5,577.85,584.55,591.25,597.75,605.15,611.15,616.8,622.1,627.65,633.55,639.4,642.7,644.4,644.85,643.85,640.65,635.4,632.7,626.8,621.7,617.1,611.25,604.6,596.75,586.15,576.05,563.9,553.3,540.2,527.95,515.05,503.9,494.5,485.6,476.75,467.1,457.5,445.6,435.25,424.1,414.5,405.2,396.35,388.7,383,374.9,367.3,360.4,354.25,347,341.3,334.85,329.15,323.6,318.8,314.3,310.25,307.85,304,299.35,294.6,291.55,288.1,285,282.4,280.8,279.35,274.75,272,269.25,265.3,262.55,258,255.5,252.5,249.45,247.1,245.6,244.8,244.05,242.55,241.8,241.55,241.4,240.25,239.75,239.55,239.4,238.95,239.7,239.7,238.6,239.05,237.05,235.1,235.3,234.75,233.05,231.1,230,227.85,225.35,223.35,221.1,216.9,212.05,208.3,207.7,206.65,205.8,205.7,205.75,205.15,205.15,205.1,204.7,204.95,204.5,205.65,207,209,209.8,209.8,208.65,209.3,210.05,210.9,209.2,207.55,204.75,203.75,203.45,203.7,203.75,203.9,203.8,203.8,204,203.9,203.8,202.8,200.45,198.15,196.45,195.5,195.8,195.6,196.8,198.85,201.15,200.9,200.2,198.6,196.75,194.5,192.1,189.75,187.55,184.75,182.4,180.45,179.85,179.3,178.8,177.75,176.5,175.75,174.1,172.45,170.55,169.2,168.65,168.95,169.5,170.65,172.05,172.45,172.3,173.05,173.35,173.6,173.7,173.7,173.15,172.9,172.45,172.8,173.45,173.6,173.25,172.95,171.95,170.55,169.4,167.8,166.05,165.6,166.7,166.4,166.6,167.5,168.15,168.95,169.1,169,169.35,168.4,167.75,167.05,166.6,166.8,166.5,166.6,166.35,167.65,168.7,169.45,169.6,161.2,152.5,143.45,134.8,125.6,117.5,109.55,101.35,93.6,lvluo
5,177,196.5,217.05,237.55,258.3,279,301.95,324.5,348,370.05,392.8,406.3,409.1,410.65,412.45,414.3,416.6,415.85,414.65,415,416.3,415.5,412.65,410.45,408.35,406.65,402.45,399.75,397,395.75,392.85,391.05,390.75,390.65,390.65,391.05,391.7,392.95,394.7,395.3,396.25,399,402.25,405.6,409.4,412.75,416.9,420.5,423.5,426.8,430.75,435.3,439.85,444.2,449.15,454.35,460.05,465.35,472.15,479.9,487,493.5,499.85,505.8,511.9,518.3,524.2,531,538.8,546.3,555.25,563.75,571.8,581.25,588.9,596.1,602.95,610.15,616.2,621.45,626.45,632.55,638.6,643.55,646.95,649.6,650.6,649.5,645.8,641.4,637.45,631.7,626.6,619.5,612.8,605.1,597.25,586.85,576.65,563.95,551,537.35,524,512.9,502.1,491,481.9,473.25,463.9,453.85,441.7,431.25,420.8,411.1,402.75,394.65,386.8,381,372.8,365.85,361.95,355.75,349.75,342.85,336.35,331.5,327.35,324.1,320.25,316.45,313.45,311.75,307.65,303.95,298.1,295.25,292.7,289.85,288.1,286.15,280.35,277.1,274.05,270.5,269.35,267.9,265.3,262.05,261.05,260.2,257.8,254.45,253.15,250.8,251.5,250.25,248.4,247.55,246.75,245.7,244.45,242.8,242.65,242.65,239.9,237.2,234,230.9,227.95,226.4,225.2,223.35,221.55,220.15,219.15,217,215.35,212.85,210.75,210.05,210.8,210.85,209.5,208.75,208.9,208.3,208.4,206.95,205.05,202.4,200.35,199.05,199.1,199.25,197.9,197.65,197.55,196.4,194.45,193.85,193.15,194.55,195.7,196.3,196.15,196.25,195.7,196.9,199.25,200.95,202.45,202.55,201.25,199.65,197.65,195.5,193.35,192.7,193.35,192.95,192.2,190.4,188.6,186.5,184.4,182.25,180.9,178.35,175.35,173.25,171.85,171.3,171.5,171.85,171.7,172.45,172.65,173,173.55,174.3,175,176.05,177.9,179.85,182.1,184.45,186.25,189.1,191.2,193.7,195,195.85,196,195.95,196.25,195.2,193.9,192.1,189.95,187.95,186.3,184.2,181.95,179.6,176.75,173.8,171.3,168.85,166.7,164.45,164.5,163.8,163.4,163.1,162.85,162.15,162.05,161.95,162.25,162,162,162.2,162.55,162.3,162.25,162.4,162.15,162,162.05,162.5,161.75,153.7,145.7,137.7,129.75,122.3,114.4,106.45,98.45,90.75,lvluo
6,179.55,199.7,220.4,240.9,261.55,282.35,303.4,326.1,349.05,370.4,393.35,407,409.6,410.9,412,413.4,413.15,413.35,413.4,413.9,415.4,414.25,412.25,410.25,408.25,406.05,403.4,400.2,396.6,394,390.85,389.3,389,388.2,388.1,388.5,389.1,390.1,392.8,394.25,395.3,397.65,400.4,403.75,407.75,411.5,416.2,420.1,425.25,430.7,434.5,438.3,442.85,447.75,453.25,459.05,465,470.95,476.4,482,487.2,495.3,502.7,509.5,516.55,523.3,529.6,536.35,543.1,550.7,558.55,567.65,575.9,583.7,591.4,598.5,604.85,611.25,617.9,623.6,630.15,634.3,638.7,642.8,644.55,646,646.05,644.65,641.2,636.35,633.25,626.95,620.35,614.55,607.5,599.95,592.85,582.5,571.8,559.35,546.65,534.55,521.95,509.9,499.4,489.75,480.9,472.45,462.45,452.65,440.95,432.35,423.75,414.05,405.4,397.45,389.5,384.3,376,369,364,356.55,349.4,342.65,334.45,327.25,321.55,315.6,311.6,307.9,305.2,300.35,295.6,292.9,289.4,285.6,282.55,279.5,276.95,273.75,268.9,265.9,263.8,261.3,261.3,261.6,261.05,261.15,260.15,258,254.5,251.95,250.3,247.15,246.05,245.3,244.45,242.1,240.65,239.7,238.8,239.85,240.55,240.4,238.55,235.45,232.7,229.55,227.75,226.5,226.2,226.25,226.1,225,223.4,222.25,220.55,220.05,218.6,217.55,215.7,211.55,207.85,206,204.5,204.15,203.3,201.3,198.5,199.4,200.15,199.8,200.25,201.65,201.35,200.2,198.95,198.15,199.65,200.35,201.7,202.65,202.35,202.65,204.05,204.25,204.35,206.1,208.5,206.7,203.95,201.75,198.7,195.6,192.85,190.8,188.55,186.8,185.1,184.9,183.85,183.05,183.35,181.8,179.75,177.8,175.45,172.55,170.1,169,168.65,168.35,168.3,168.5,168.45,167.85,168.1,167.75,167.2,166.55,166.85,167.1,167.75,169.15,170.2,172,173.9,176.6,178.85,181.85,184.4,187.05,189.9,192.85,194.6,195.65,195.5,195.45,195.6,195.1,194.45,194.55,193.5,192.05,190.15,187.6,185.4,182.9,180.35,177.3,176.5,175.45,174,170.85,169,167.7,166.9,166.1,165.45,165.3,165.6,165.5,165.4,165.3,165.6,166.4,166.75,166.55,166.8,166.85,165.25,155.9,146.55,138.55,130.7,122.75,114.85,106.85,98.55,90.45,lvluo
7,177.6,196.95,217.3,237.45,258.05,279.15,300.6,322.95,346.1,368.05,390.8,404.3,407.3,408.85,410.2,411.6,414.3,413.9,415.25,414.25,415.6,415.85,414.4,412.6,410.4,408.15,405.45,402.85,400.4,399.4,396.45,394.55,393.45,392.4,392.2,392.2,392.25,392.85,393.9,397.45,398.45,399.8,402.45,405.6,409.05,412.3,416.3,419.85,423.5,426.65,431.65,437,442.15,448,453.55,459.05,464.8,470.4,475.9,481.45,487.4,493.95,500.25,506.2,512.9,519.55,525.8,532.45,540.05,548.2,554.6,561.7,569.4,576.5,583.6,591.25,597.95,604.8,611.4,617.3,623.15,629.1,633.85,639.45,642.85,645.15,645.9,645.65,642.35,637.55,634.85,629.35,624.45,618.65,612.55,604.95,597.75,587.6,577.1,565.05,552.35,538.95,527.5,515.25,504.45,494.15,485.15,475.9,465.25,455.1,443.9,434.25,424.45,414.95,404.15,396,388.1,383.3,376.85,369.95,365.7,359.8,352.35,346.3,339.85,335.15,330.55,327,323.8,320,316.65,312,306.35,301.95,300,295.25,291.75,288.4,285.35,282.55,277.45,274.8,272.65,269.05,264.45,261,258.3,254.25,250.3,249.1,246.55,245.35,244.6,242.9,241.35,240.85,239,236.2,233.35,232.25,230.4,228.2,227.9,227.4,228.05,225.85,223.05,221.3,221.2,219,217.45,215.75,214.15,212.8,211.7,211,209.95,208.9,208.3,209.05,209.7,209.85,208.75,209.25,208.5,208.75,209,207.4,205.85,203.9,202,200.7,200.75,200.65,200.05,199.25,198.65,196.7,195.8,192.55,190.9,189.55,187.6,185.8,186.2,186.35,186.4,187.9,189.35,191.1,192.85,194.05,194.2,193.7,191.45,189.1,187.65,187.6,187.55,189.05,191.3,193.25,195.95,197.95,197.85,196.85,195.75,193.8,191.2,189.35,187.5,186.1,185,184.45,184.95,185.35,185.5,185.45,185.4,185,183.35,182.4,180.3,177.2,175.95,175.2,174.8,175.2,176.9,178.15,178.7,179.15,178.95,178.7,178.55,178.8,178.9,178.55,177.2,175.55,174.05,172.8,171.75,171.3,170,169.25,168,166.85,165.15,163.6,164.65,165.1,165.15,164.95,165.95,166.25,164.9,164.05,163.95,164.1,164.5,164.7,165.15,165.8,166.25,166.2,166,165.8,165.85,166.2,165.6,156.7,148.5,140.65,131.2,121.95,113.9,105.95,98.05,90.25,lvluo
8,179.7,199.65,219.85,240.15,260.75,281.6,302.9,325.9,348,370.05,393.35,408.2,412.1,413.2,414.85,415.85,417.85,417.8,417.7,418.4,419.8,418.95,417.25,415.2,413,410.6,408.05,405.1,404.15,403.15,399.75,396.4,395.2,394.95,394.35,395.1,395.3,395.05,397.1,398.65,399.7,402.1,405,408.5,412.25,415.95,420.1,423.6,426.6,429.75,433.5,437.65,441.7,446.15,451.1,456.3,462.25,467.85,473.5,479.35,485.7,491.95,498.15,504.25,511,517.95,524.35,531.7,539,546.35,553.6,562.6,571.55,580.8,588.45,595.55,602.3,608.9,617.05,623.4,629.65,635.35,640.8,646.2,649.75,651.55,652,650.45,647.85,644.15,642.05,636.4,630.8,624.05,617.45,609.75,602.25,592.45,580.35,566.7,553.3,540.2,528.1,516.2,503.35,493.05,484.25,475.65,464.8,454.25,442.3,431.75,421.7,411.95,403.2,394.85,387.05,381.6,373.7,366.7,361.5,355.2,347.75,341.2,336.25,329,322.85,317.75,313.7,310.05,307,302.75,297.2,293.2,290.1,287.1,283.85,278.3,273.5,270.15,265.9,263.15,260.8,257,255,255.75,254.35,252.4,250.2,247.1,244.15,242.9,242.8,240.45,238.2,236.3,233.75,234.15,234.55,234.5,234,232.6,232.1,231.75,230.6,227.5,224.5,221.85,222.15,224.25,224.3,222.95,222.3,221.75,220.7,220.3,219.4,218.05,216.75,215.85,214.45,213.55,212.75,212.05,211.4,211.05,211.5,210.25,207.15,203.75,201.7,201.1,200.25,200.85,200.95,200.6,200.4,199.15,198.95,198,196.65,196.6,194.65,195.05,194.65,194.95,195.05,195.95,197.65,199.3,201.75,203.25,203.95,204.25,203.5,202.85,202.9,203.6,204.95,207.15,209.25,209.6,210.45,208.4,207.8,207.5,206.55,205.35,203.05,199.8,196.15,193.6,191.1,188.35,186.2,184.15,181.5,178.95,177.1,175.55,174.75,174.6,175.2,176.65,176.85,176.35,176.35,177.2,179.95,182.65,184.95,186.7,188.2,188.85,188.7,188.65,188.25,188.3,187.6,186.2,185.35,184.25,182.85,181.35,179.15,177,175.15,173.35,170.85,168.75,168.25,167.35,166.3,165.75,166.1,165.65,165.55,165.25,164.8,164.95,164.4,164.1,163.95,163.5,163.55,163.9,163.8,163.4,162.8,162.9,162.65,153.8,145.4,137.15,128.95,121,113.25,105.35,97.4,89.3,lvluo
9,178.55,198.4,218.25,238.95,259.8,281.05,302.05,324.6,347.55,369.15,392.4,406.05,409.5,410.95,411.6,412.95,415,414.3,413.9,414.8,415.55,415.45,414.5,412.55,410.45,407.75,405.75,403.4,401.55,400.8,397.5,395.6,395.05,395.75,395.8,396.4,397,397.75,399.75,401.25,402.15,403,405.45,408.5,412.5,416.55,420.75,424,426.75,430.35,434.1,438,442.25,446.45,451.7,457.1,463.15,468.85,474.95,480.55,487.4,494.95,502.95,510.55,516.6,523.4,529.6,536.8,544.25,551.6,558.8,567.35,575.5,582.7,589.7,596.05,602.6,609.25,615.7,622.35,627.65,632.85,636.4,640.05,643.35,644.8,645.2,644.2,641.25,636.65,634.2,629.15,624.05,618.9,610.65,603.35,594.95,584.75,574.05,561.2,548.45,535.15,523.55,511.6,500.2,490.25,481.05,471.65,460.7,451.25,439.4,428.85,418.9,409.15,402.75,395.1,388.1,382.9,375.3,368,363.05,357.1,349.9,343.45,337.35,332.1,327.25,321.15,317.65,314.1,311.5,307.7,302.5,298.55,294.7,291.8,289.9,287.35,285.3,283.8,279.65,276.9,273.8,269.9,268.1,266.5,264.95,265.1,263.35,260.35,257.05,256.7,256.2,254.05,252.25,250.1,247.35,245.5,245.65,245.85,245.2,243.95,243.25,243.15,241.3,238.3,235.15,231.95,230.65,229.25,228.3,225.45,222.95,220.2,218.6,217.2,215.65,213.05,208.95,204.8,202.05,199.95,198.25,196.65,195.7,195.55,195.3,193.95,192.6,191.1,189.3,190.35,191.15,192.5,191.85,190.9,190.45,188.75,187.1,186.85,187.05,187.45,186.95,187.35,187.8,187.55,187.55,188.65,189.95,191.85,194.25,194.05,194.75,194.6,193.2,191.65,189.85,190.35,191.95,193.1,195.55,197.65,200.8,201.65,201.05,201.15,201.2,200.5,199.2,197.1,194.7,192.3,189.9,188.25,188.1,187.9,187.2,185.6,183.75,182.15,179.7,177.45,175.15,174.05,173.7,172.3,170.8,170.35,170.55,172.5,174.45,176.1,177.45,178.5,178.75,179.3,179.25,180.85,182.25,182.7,182,181.45,180.8,179.7,178.25,177.4,176.9,175.75,174.3,172.25,171.85,171.45,170.35,169.75,169.4,168.4,168.25,167,166.55,166.05,166.45,166.8,166.65,166.55,166.75,166.5,166.7,167.55,168.1,169,168.3,159.05,150.9,142.8,134.7,126.85,118.8,110.45,101.55,93.65,lvluo
