,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,Plant
0,184.65,203,222.35,241.7,261.3,281.3,301.65,324.5,347.8,370.45,394.5,410.95,417.1,421.2,422.15,424.6,426.7,425.7,425.95,427.45,430.75,432.6,433,433.2,433.55,433.45,431.8,428.75,426.55,424.6,420.25,414.75,409.5,404.45,399.8,395.7,392.55,391.75,392.25,392.2,391.25,390.65,390.7,391.5,392.5,393,394.95,397.35,398.8,401.5,403.9,407,411.5,416.95,422.3,427.55,432.45,435.95,439.85,445.05,450.5,455.9,461.85,467.05,472.9,480.3,486.55,493.5,501.4,509.65,517.7,526.4,534.7,544,553.15,563.75,575.85,588.1,601,613.45,626.5,639.9,651.65,663.25,674.25,684.95,697.25,707.6,716.25,724.5,733.35,742.7,751.6,759.05,763.65,765.95,766.25,764.65,763.25,757.6,750.5,743.55,737.9,732.15,724.65,716.3,706.05,695.55,682.1,666.35,650.7,633.85,617.85,600.95,586.6,573.15,559.8,548,531.3,516.4,503.05,491.3,477,463,450.9,439.45,429.9,420.65,412.2,403.3,395.95,387.15,377.5,369.9,362.45,355,348.95,340.55,334.9,330,324.05,317.35,313.3,310.05,306.35,302.85,298.65,294.2,290.05,286.5,281.85,278.9,276.15,274.7,272.9,270.45,268.05,267.8,266.2,263.5,261.5,259.4,258.2,255.7,252.3,249.2,246.1,242.1,240.25,238.9,238.25,237,235.55,231.2,228.4,226.4,224.35,222.9,221.9,221.7,221.65,221.5,220.15,219.35,219.5,217.1,215.55,214.85,213.9,214.45,213.2,212.15,212.7,214.1,214.3,214,212.95,210.1,207.85,205.9,203.35,201.05,198.4,197.1,196.55,197.8,198.3,199.05,199.6,198.95,199.6,199.85,198.15,195.35,192,188.85,185.55,185.8,186.65,186.9,188.7,190,191.8,192.25,191.6,191.2,190.25,188.1,185.35,183.2,180.95,179.4,179.2,179.2,179.5,179.9,179.8,178.6,178.05,178.9,178.55,178.35,178.05,177.45,176.85,175.85,175.85,176.7,178.05,180.2,182.15,183.45,183.95,185.15,185.8,186.65,187.3,187.15,186.25,185.05,183.65,182.4,180.9,179.3,177.6,176.1,174.35,172.55,171.15,169.05,168.75,168.95,168.75,167.55,166.85,165.4,165.1,165.05,164.85,164.7,165.6,166.65,166.95,167.2,167.2,167.7,167.5,167.65,167.8,167.95,167.65,158.35,149.7,141.6,133.4,125.8,117.7,109.25,101.3,93.35,Succulents
1,183.85,202.3,221.7,241.45,261.05,282.15,303.45,327.15,350.75,373.45,397.8,413.85,419.8,423.35,426,430.1,432,430.25,430.55,431.6,435,437,437.05,436.75,436.8,435.1,433.4,430,427.5,425,420.5,416.15,411.7,407.05,402.3,397.35,394.4,393.3,393.7,393.3,391.15,390.45,391,391.8,393.2,394.1,396.35,397.8,400.15,402.85,405.75,408.5,411.95,416.65,422.8,427.95,433.1,438.45,444,449.15,454.4,460.3,465.6,471,477.15,484.5,489.25,497,504.55,513.2,520.8,529.2,537.9,546.95,555.9,566.55,578.4,589.45,598.8,610.35,622.85,636.6,648.55,660.15,670.1,680.25,692.85,702.95,711.95,721.35,730.75,740.25,749.5,756.95,761.75,763.3,763.55,761.65,761.9,757.35,751.3,743.3,738.55,733.05,726.65,718.9,708.6,698,683.7,667.35,651.15,634.5,618.35,603.2,589.05,576.1,562.85,551.95,536.25,522.7,510.85,497.4,481.7,468.5,455.7,445.35,435.7,425.9,417.2,408.35,400.8,391.75,382.15,374.15,366.35,358.85,353,347.1,341.15,334.6,327.3,322.35,317.2,312.65,309.2,304.15,299.55,295.05,292,289.65,286.35,283.15,280.55,275.25,272.7,271.3,268.4,265.35,263.95,262.5,260.3,257.7,258.25,256.1,253.2,250.3,247.05,243.6,241.5,240.45,238.8,238.1,236.25,234.4,232.3,228.9,225.45,220.7,216.85,214.05,212.05,209.85,207.45,205.8,205.5,204.6,204.1,202.45,199.4,195.25,192.1,189.65,189.65,191.3,191.4,191.75,192.25,193.25,194.45,195.7,196.8,198.15,197.8,198,197.7,198.05,198.3,199.3,201.35,203,204.35,205,203.5,201.35,198.2,196.8,195.6,195.3,194.45,193.8,194.15,194.25,194.7,194.95,194.9,194.95,194.55,193.75,191.4,189.35,188.45,187.75,187.6,186.95,187.3,186.15,184.4,183,181.9,180.75,179.05,178.2,177.2,175.9,174.4,172.55,171.35,170.15,170.65,172,172.5,173.25,174.4,175.35,175.8,175.7,175.75,175.5,176.25,177.1,176.85,176.1,174.9,173.7,172.85,171.5,170.05,169.7,168.95,167.75,166.55,166.35,165.45,164.85,164.8,164.8,164.2,163.5,162.85,162.1,162.4,162.2,162.4,162.15,161.45,161.4,161.55,162.2,162.2,162.4,163.95,155.3,147.15,138.95,130.35,122.05,114.5,106.75,98.55,90.5,Succulents
2,180,198.3,216.75,235.05,254.05,276,297.3,319.75,342.6,365.1,389.45,404.9,411.85,416.55,419.95,422.8,424.55,424.5,425.4,426.55,429.15,430.45,431,431.5,432,429.4,426.95,424.4,422.75,421.1,416.9,412.15,406.8,401.3,396.3,393.2,392.55,390.4,391.5,392,391.75,392,392.8,394.1,395.1,396.25,398.15,400.4,401.95,403.95,406.1,409.3,413,418.7,424.5,429.55,432.55,437.9,442.45,447.2,451.45,457.1,462.95,469.1,475.6,482.95,488.8,496.45,502,509.75,517.6,528.75,538.35,546.7,555.85,566.45,578.7,589.85,601.45,613.4,626.55,639.2,651.4,662.9,673.85,684.7,697.4,706.9,717.85,728.1,736.95,744.4,753.8,761.45,765.7,766.85,767.3,765.25,763.35,757.95,750.55,743.8,737.75,731.65,724.45,714.05,703.05,692.1,678.15,661.85,646.05,628.05,610.6,594.05,580.3,567.85,554.55,543.75,528.55,514.25,502.45,488.55,473.65,460.45,448,439.15,430.2,421.9,414.05,405.5,397.8,389.1,379.95,373.05,365.45,356.4,350.25,343.95,338.3,332.6,325.3,320.25,316.35,310.75,306.45,301.5,296.75,291.4,287.5,284.5,281.35,278.6,275.75,270.55,267.3,267.1,264.5,261.65,260,258.75,257.75,256.1,255,253.2,250.4,247.75,245.8,241.9,239.65,237.15,235.4,233.65,231.3,229.4,227.95,225.7,223.55,220.85,218,216,213.3,211.6,210.15,210.1,209.95,208.9,207.15,206.9,205.75,205.65,205.3,206.4,208.7,210.45,210.4,209.75,209.3,208.9,209.05,208.75,208.75,207.65,205.4,204.1,203.85,204.5,204.75,204.95,205.75,205.55,204.7,202.8,199.7,196.95,194,191.5,189,187.55,187.55,189.1,191.45,193.25,194.45,194.8,194.85,194.25,193.95,193.25,191.95,190.45,189,189.45,189.75,190.05,190.2,190.8,191.25,191.35,191.1,190.2,188.9,188.4,188.4,187.9,186.5,185.2,184.85,185.5,186.5,188.25,189.85,189.95,191.1,192.7,194.4,194.7,194.75,193.95,191.9,190.6,190.4,190.15,188.8,187.7,186.55,184.7,182.6,179.9,177.6,175.8,175.85,175.6,175.15,173.85,172,170.7,169.25,168.35,168.4,167.85,166.4,166.1,166.2,166,165.95,166.3,166.1,166.4,166.05,165.55,164.9,155.95,147,138.45,130.35,122.4,114.55,106.7,98.85,90.95,Succulents
3,176.2,194.85,213.65,233.15,253.55,274.5,295.8,320.1,343.7,366.6,390.55,406.3,412.55,416.4,419.25,421.6,423.75,425.35,426.3,428.05,431.35,433,433.85,433.8,432.8,431.6,431.1,425.9,423.2,421.45,417.5,412.15,406.75,404.6,401.25,398.4,395.9,394.65,395.85,396.1,395.05,394.75,395.05,395.9,396.75,397.4,397.85,400.8,403.3,405.3,407.6,411.5,415.75,418.9,423.9,428.95,434.1,438.8,441.5,446.2,452.15,459.15,465.2,470.6,477.4,484.8,490.45,497.8,504.8,513.55,521.5,530.15,538.7,546.85,555.95,566.3,577.9,588.95,602.25,615.2,627.45,638.7,650.55,662.5,673.3,683.3,695.6,705.15,714.25,723.1,733.05,742.8,751.85,760.75,765.75,767.65,768,766.15,764.1,758.35,751.7,744.25,737.8,731.65,724.25,716.15,706.2,696.1,682.1,666.2,649,630.95,614.75,597.45,581.9,568.75,556,544.75,528.95,514,501.9,488.6,474.65,462.35,450.4,437.7,428,418.6,409.95,400.6,393.1,384.55,374.95,368.2,362.45,356.5,350.95,345.65,341.8,337.8,331.25,326.85,322.65,317.3,314,312.05,307.3,303.55,300.8,299,297.1,295.45,293.35,288.1,284.15,278.2,274.15,269.6,264.7,261.3,259.35,257.25,256.45,253.45,249.45,245.35,242.1,237.8,234.7,231,227.1,224.05,221.75,220,218.4,218.6,216.35,214.5,214.75,214.8,213.6,211.8,208.35,208.3,207.85,208,207,206.8,205.5,206.35,206.95,208.15,209.85,211.4,211.25,211.1,211.25,210.1,208.75,207.05,205.55,204.7,203.3,202,201.65,201.45,201.9,201.55,202.9,202.65,203,202.85,202.35,202.6,202.4,202.75,202.2,203.2,204.2,206.75,208.6,211.05,213.95,214.45,213.6,212.15,210.35,208.1,205.05,202.35,199.6,197.35,194.9,191.85,189.05,186.3,184.15,182.3,180.7,178.15,176.8,174.8,173.4,173.5,174.55,175.85,177.4,180.1,183.15,186.05,189.1,192.05,194.35,196.1,198.25,199.55,200.3,200.4,199.4,198.75,197.55,196.95,195.75,194.15,191.85,189.3,187.05,184.8,182.3,180.05,178.65,176.85,174.5,173.15,171.15,169.35,167.7,166.95,167,166.9,167.1,166.85,168.1,168.75,169,168.85,168.45,167.65,167.6,167.4,166.7,157.3,149.1,140.85,132.85,124.75,117,108.95,101,92.85,Succulents
4,179.25,197.6,217.15,236.85,257.05,277.75,298.55,321.75,344.85,367.25,391.2,407,413.45,418.1,421.6,423.75,427.85,428.1,429.2,431.5,434.3,435.75,435.5,434.75,434.2,432.85,431.15,427.95,425.9,424.6,420.65,416.05,410.95,405.55,401.05,397.25,392.85,391,391.4,391,390.05,390.3,390.85,392,392.8,393.65,395.45,397.7,398.55,399.4,401.65,405.9,410.05,415.5,420.7,426,431,436.35,441.15,446.05,451.35,456.7,462.5,468.5,474.85,482.75,488.75,495.45,504.15,513.95,521.75,529.25,537.7,546.5,555.75,566.35,578.3,589.3,601.35,614.1,626.35,640.15,651.8,662.75,675.9,687.1,699.5,710.1,719.1,728.25,737.5,747.5,756.4,763.75,768.15,769.9,770.6,768.8,766.1,759.4,753.8,746.2,741,735.35,725.7,716.5,706.35,695.7,682,666,650.4,632.5,614.45,598.65,584.85,571.85,556.05,544.25,528.7,514.5,502.1,487.9,472.8,460,447.6,436.35,426.7,417.4,408.9,400.3,392.4,384,376.5,368.15,359.95,352.25,348.3,342.8,337.55,332.25,324.3,319.55,315.4,309.55,305.6,298.9,293.25,287.6,284.2,280.75,277.35,274.55,271.85,267.8,265.3,263.7,261.55,259.1,258,256.4,255.45,253.7,252.95,251.25,248.3,247.7,244.7,241.75,239,236.4,233.7,231.3,229.1,227.3,225.65,223.7,220.7,217.05,215.1,214.4,214.2,213.35,212.2,212.05,211.75,211.15,211,209.35,206.7,204.35,202.9,201.65,201.95,202.9,202.7,201.95,201.8,201.9,201.95,202.2,201.95,201.85,200.1,199.85,200.1,200.3,200.8,202.2,204.35,207.1,209.25,211.15,210.85,209.5,206.55,203.65,201.9,201.35,201.2,201.75,202.25,202.85,204.6,204.25,204.25,203.45,203.05,202.65,201.65,200.55,198.5,196.5,195.4,194.7,194.65,194.55,193.9,192.3,190.1,187.4,184.35,181.95,180.4,180.3,179.45,179.25,177.95,177.3,178.2,179.1,181.85,184.55,187.2,189.25,191.05,192.7,194.25,195.95,196.95,196.95,196.95,197.05,195.35,193.3,191.8,190.4,189.2,187.45,185.1,182.9,181.4,179.8,179.4,180.3,181.4,182.15,182.6,182.75,182.8,183.25,183.35,183.05,183.35,183.2,182.35,181.7,181.6,182.45,183.65,184.8,184.5,175.55,165.1,154.05,143.2,132.7,121.95,111.5,101.85,93.05,Succulents
5,178.8,197.55,216.55,235.9,256,276.15,298.75,321.55,345.55,369.1,394.05,410.3,416.25,421.25,424.25,427.1,429.15,428.75,429.1,431.3,434.3,435.4,435.3,435.1,434.45,433.5,429.8,426.75,423.05,419.9,414.9,409.25,404.7,399.4,395.25,392.1,389.15,387.65,387.2,386,384.9,385.05,386.15,387.15,388.5,389.6,391.45,393.8,395.95,398.35,400.6,404.3,408.3,413.65,419.25,424.1,429.3,434.85,441.15,447.4,452.75,458.25,463.45,469.15,475.2,482.9,489.15,497,505.4,514.2,522.8,533.5,542,550.75,559.45,569.4,581.25,592.05,603.65,616.3,629.2,640.35,652.4,664.6,675.1,684.75,696.65,705.8,714.35,723.65,732.45,739.85,748.9,757,762.5,764.55,765.15,763.45,761.5,755.75,749.25,743.95,735.65,729.05,722.1,713.3,703.25,692.8,679.35,663.2,646.45,628.85,612.6,595.95,581.2,568.5,555.25,543.4,526.65,511.3,499,485.55,473.45,460.5,448.15,438.5,429.2,420.45,411.9,402.75,396.1,388.05,378.6,370.6,361.75,354.7,348.85,342.9,338.3,333.85,326.75,322.3,319.05,313.8,310.1,305.4,300.4,295.05,291.3,289.45,287.45,286.05,284.9,281.25,279.45,277.4,274.35,271.7,269.75,267.7,266.3,263.55,261.65,259.3,256,252.7,251.15,248.55,246.3,242.6,237.8,233.95,230,227.25,225.85,222.75,220.15,218,215.9,215.25,215.05,214.4,213.65,213.9,213.65,213.25,210.95,209.15,207.25,206.35,205.3,204.25,204.75,205.75,205.05,204.85,204.3,202.1,201.85,201.1,198.85,197.5,195.15,193.35,192.5,192.5,192.85,193.6,195.35,195.9,196.9,197.85,197.05,195.1,192.35,190.55,189.35,190.05,191.15,191.85,194.05,196.15,198.3,199.9,200.95,200.8,200.45,200.1,199.25,200.05,200.95,201.9,202.75,204.55,206.25,206.75,206.55,205.2,203.05,201.45,199.35,197.15,195.15,194,193.4,193.45,193.6,192.95,192.05,191.5,191.2,190.35,189.85,188.55,187.4,185.8,184.55,183.75,183.7,183.3,182.25,181.75,181.15,179.6,177.7,175.1,172.8,171.55,170.2,168.35,168.05,167.8,167.6,167.5,166.7,167,167.05,166.75,165.8,165.65,165.9,165.6,165.35,165.05,164.6,164.55,164.4,163.8,163.7,163.65,162.2,153.15,144.45,136.1,128.5,120.35,112.15,104.35,96.6,88.45,Succulents
6,180.05,199.2,219.2,238.7,258.9,278.8,299.2,322.15,345.7,368.3,392.55,408.45,414.7,419.8,423.5,426.3,427.1,427.35,428.65,430.4,432.3,433.15,432.25,432.1,431.2,430.75,428.95,425.95,421.9,417.7,412.65,407.45,403.95,398.65,393.5,389.75,386.85,385.3,385.3,385.55,384.75,384.3,384.9,385.45,386.9,388,389.8,391.55,395.15,399.8,403.05,406.35,408.9,414,419.75,425.4,430.7,436.05,441.8,446.95,453,460.6,467.9,476.4,482.3,490.45,497.2,505,512.95,521.15,528.8,538.25,546.6,555.6,564.6,575.2,586.9,598,609,621.4,633.8,644.85,655.45,664.35,675.5,685.35,697.3,707,715.5,724.4,732.95,741.95,749.8,757.4,762.5,764.1,764.9,763.35,761.85,756.4,749.3,742.3,736.5,731,723.4,714.75,704.7,694.05,680.05,664.95,649.65,632.2,617.15,600.15,585.25,572.2,558.9,547.3,531.45,516.65,504.4,490.7,476.15,462.95,449.6,436.8,426.4,415.1,406.3,396.75,388.7,379.75,373.3,367.4,361.35,355.6,350.25,344.95,340,335.85,329,324.1,320.05,314.45,311.8,309.7,305.6,302.75,298.7,295.15,291,288.15,282.75,277.25,273.4,270.2,266.45,260.75,256.5,253,251.4,249.1,248.2,246.5,245.4,242.7,240,237.1,236.1,234.05,232.15,229.55,226.5,223.55,221.05,220.05,219.35,220.3,220.3,219.5,218,217.05,215.25,215.1,213.05,211.25,210.3,208.8,206.15,206.85,208.65,209.4,211.5,214.05,214.15,212.1,210.3,207.05,205.65,205,204.3,203.15,200.65,199.35,198.9,199.35,199.05,199.8,201.4,201,199.5,198.6,196.2,193.35,190.5,189.05,187.25,187.35,187.65,188.15,188.8,189.75,191.6,192.3,192.6,191.7,190.85,189.55,187.5,185.05,183.7,183,183.15,183.35,184,183.4,182.9,182.1,181.3,180.9,181.05,181.75,182,181.95,181.35,182.1,183.1,184.35,186.65,189.65,192.05,194.65,196.7,198.7,199.9,200.65,200.45,200.1,199.2,198.1,196.45,194.45,192.5,191.1,189.2,186.4,184.15,181.35,178.5,175.7,174.45,172.25,170.35,168.3,166.7,165.25,164.65,164.1,164.3,163.9,163.95,163.9,163.75,162.6,162.7,163.9,164.85,165.9,165.9,166.05,165.4,157.2,148.9,140.75,132.65,124.6,116.5,108.65,100.5,92.7,Succulents
7,182.3,201,220.1,239.4,259.6,280,301.05,325,348.6,371.35,395.8,411.4,417.5,420.9,423.25,424.85,426.9,426.5,429.7,431.25,433.95,435.95,436.25,436.5,435.9,434.9,432.95,429.05,426.25,424.05,419.65,414.8,410.05,405.6,401.45,398.45,396.05,395.1,393.65,394.35,393.15,392,392.3,393.15,394.8,396.2,398.45,400.5,402.75,405.85,408.4,412.95,417.5,423.05,428.5,432.95,437.5,442.05,446.4,451.45,456.95,462.85,468,473.45,479,486.1,492.25,499.7,507.35,515.2,522.9,530.15,537.95,546.35,555.4,566.3,578.15,589.15,600.7,612.75,625.2,638.15,652.55,665.25,676.05,687.35,699.6,709.3,718.15,727.75,737.1,746.6,755.35,763.2,768.75,770.85,771.5,770.1,768,762.1,757.05,750.65,742.8,735.8,728.55,719.55,708.8,698.7,684.9,668.55,652.35,635.5,619.45,602.35,586.1,572.85,559.05,548.15,533.35,521.75,509.45,495.75,481.5,468.55,456.15,445.25,435.45,425.5,416.75,407.8,400.2,391.15,381.55,374.55,367.85,359.95,354.2,348.2,341.95,333.2,324.7,319.75,316.2,311.2,308,303.15,297.85,290.9,285.4,280.8,276.3,273.3,270.85,266.4,263.85,262.2,259.6,256.75,255.05,253.6,252.1,249.35,247.2,244.55,241.2,238.3,235.45,234.55,234.3,233.65,231.85,230.05,227.8,225.6,223.85,221.65,219,216.05,214.35,215.3,214.45,214.95,214.9,215.1,214.7,214,213.95,212.8,211.55,209.6,208.5,207,207.45,208.7,208.65,208.25,208.15,207.3,206.8,204.8,204.3,202,198.45,196.95,196.55,196.8,196.5,197.05,197.8,199.25,201.05,202.75,202.45,201.45,198.6,198.05,197.75,197.95,198.15,198.85,200.5,202.6,204.95,205,204.15,202.75,201.85,200.6,198.5,196.6,194.25,192.9,191.85,190.6,190.25,188.45,185.6,183.55,181.9,179.8,177.5,174.85,172.65,172.4,172.2,172.15,171.3,171.3,172.3,172.9,173.85,173.8,173.9,174.15,175.05,174.65,175.1,174.35,173.55,173.05,172.5,172.5,172.5,171,170.05,168.45,167.75,166.45,164.85,164.5,165.1,165.3,165.25,165.35,165.75,167,166.6,166.5,166.35,166.7,166.35,166.25,166.15,166.15,165.75,165.8,165.85,165.65,165.9,166.3,166.3,157.85,149.7,141.5,132.4,123,114.85,106.95,99.15,90.95,Succulents
8,179.3,197.55,217.3,237.3,256.8,276.8,297.75,321.15,344.1,367.15,391.65,407.8,414.85,419.8,423.65,426.3,428.3,429.15,429.8,430.55,433.2,434.9,435.2,434.9,434.9,433.95,432,429.15,427.2,424.75,420.2,414.65,408.65,403,397.85,394.2,391.2,389.45,390.25,390.2,389.05,389.3,389.1,390,390.9,392,393.4,394.05,396.15,398.8,401.35,404.6,408.9,413.65,419.55,425.05,430.2,435.2,439.95,445.15,451.6,456.8,462.5,468,474.8,482.05,488.45,496.75,504.45,512.65,519.9,528.8,539.35,549.4,558.25,567.6,579.7,590.9,602.6,615,627,638.95,650.75,662.15,672.9,684,696.35,706.35,715.05,723.4,732.65,742.1,749.25,756.5,761.15,763.95,764.1,762.75,760.9,755.05,748.1,741.95,736.75,730.8,722.5,713.7,703.85,691.7,677.25,661.5,645.65,628.05,611.3,594.25,579.95,567.1,554.25,542.15,525.55,511.1,499.55,486.55,471.1,457.45,446.15,436.1,426.15,417.95,409.75,401.55,393.95,388.1,380.25,373.3,366.2,359.15,352.55,343.85,337.6,333.15,326.45,321.25,318,313.25,309,303.85,297.45,292.55,289.1,286.5,283.75,278.95,275.7,270.85,267.55,265.5,263.5,263.65,263.3,260.5,258.05,255.25,253.7,251.55,248.6,245.7,244.2,241.2,238.75,238.05,236.35,235.05,233.55,232.95,231.65,229.35,227.3,225.2,222.85,221.55,219.55,218.7,217.35,217.15,216.8,216,215.5,214.65,213.7,210.95,208.9,207.4,207.35,207.65,207.3,206.7,205.4,203.9,203.35,202.7,202.65,202.75,201.4,199.8,199.15,199,199.1,199.8,200.95,201.65,203.2,204.6,204.7,203.6,201.5,200.15,199.8,200.65,202.05,203.95,205.65,206,206.4,206.35,205.7,204.8,203.45,201.75,199.8,197.7,195.7,194.25,193.05,192.2,191.15,190,188.5,186.65,184.95,183.2,182.15,182.35,183.5,185.05,186.35,186.9,188.1,189.5,190.65,193.2,195.1,195.35,194.7,194.75,195.8,196.5,196.2,195.3,194.2,193.5,192.35,190.2,187.8,185.6,183.4,181.35,178.55,175.95,174.1,171.45,170.45,169.4,168.6,167.85,167.4,166.25,165.6,165.05,165.2,165.25,166,166.65,165.7,165.4,164.7,164.45,164.9,164.7,164.7,164.7,164.65,156.15,148.25,140.4,132,123.95,115.85,108,99.9,91.65,Succulents
9,181.95,199.95,218.45,237.7,258,278.35,299.2,322.85,346.2,369.4,394.25,410.6,417,420.45,423.8,426.85,429.7,429.55,429.2,430.85,433.45,435.2,435.8,435.9,435.3,434.55,432.95,429.3,426.9,423.65,418.4,412.4,407.1,402.4,397.55,393.7,390.95,389.7,390.25,390.35,389.35,389.45,390.1,390.75,391.65,392.45,394.3,396.3,398.25,401.35,404.35,407.8,411.7,417.05,422.75,428.5,433.7,438.2,442.55,447.2,453.05,459.15,466.45,472.7,479.1,487,495.45,503.25,511.45,519.55,527,535.5,544.5,553.45,562.3,572.55,584.25,595.65,607.6,620.1,633,645.2,655.8,667.15,677.7,687.1,696.45,706.05,714.7,724.45,733.9,743.55,752.25,759.85,765.65,768.1,768.6,767.5,765.75,759.8,752.3,745.25,739.1,733.7,726.75,718.9,709.35,698.5,683.95,667.95,651.55,634.5,618.05,601.1,585.8,572,558.55,546.3,530.05,515.8,503.75,490.05,475.5,461.8,449.55,438.55,427.25,415.95,407.9,398.8,391.35,382.45,373.4,366.35,359.05,351.9,345.8,339.95,334.85,329.55,322.7,318.8,315.85,311.3,307.8,304,301,299.25,296.05,293.95,291.2,289.1,286.1,281.6,278,275.75,273.45,270.95,269.45,268.25,266.35,263.55,261.85,259.25,254.9,251.45,247.95,243.45,241,237.85,235.85,233.25,231.5,229.9,228.6,226.9,224.4,221.45,219.45,218.15,217.45,215.95,213.55,213.1,213.6,213,212.2,210.8,208.6,207.2,204.45,205.75,207.45,208.8,208.85,207.75,206.65,205.35,204.3,203.35,202.6,202.15,200.4,199.05,198.8,198.55,198.8,200.4,201.85,202.8,204.45,202.65,199.7,199.4,198.9,199.35,199.5,200.25,201.6,202.95,204.9,206.55,209.55,210.3,210.25,209.85,209.15,208.9,208.85,209.2,210.45,210.5,210.3,207.9,206,203.75,202.1,201.25,200.85,200.2,199.85,200.2,199.95,200.5,200.7,201.25,200.95,199.95,199.5,199.75,198.65,198.7,199.9,200.7,202.15,204.35,205.1,203.55,201.05,198.65,195.95,193.5,191,188.3,185.25,182.15,180.2,178.3,176.1,173.65,173.2,173.1,172.95,172.9,171.5,168.65,166.4,166.05,165.85,165.6,165.7,165.55,164.95,164.65,164.45,164.55,165.1,166.6,168.6,169.7,169.35,160.3,151.3,142.45,133.75,125.5,117.85,109.8,101.85,94.15,Succulents
