,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,Fruits
0,164.1,181.5,199.2,216.85,234.8,253,271.4,292.35,312.4,331.65,351.55,363.85,366.95,370.25,372.65,374.35,376.5,376.45,376.85,377.85,380.15,381.3,380.8,380.85,380.2,379.45,378.4,375.9,375.4,375.85,374.15,371.15,368.9,366.4,364.15,362,360.2,359.5,360.7,361.7,360.85,360.55,361.3,363.75,365.9,368.15,370.5,371.75,372.9,373.95,375.8,378.65,381.3,384.4,387.75,392.05,396.2,399.4,402.25,404.95,408.65,412.75,417.35,420.05,424,428.1,431.95,437.85,442.9,448.2,453.95,460.1,466.1,471.95,479.7,486.35,494.15,501.3,508.7,515.9,523.35,530.65,537.45,543.7,549.05,554,559.65,563.3,567.35,570.65,573.9,577.3,580.5,583.05,582.35,581.45,579.35,576.05,572.95,568.05,562,556,550.6,545.1,539.95,533.8,527.1,518.65,508.9,499.55,489.35,477.6,466.95,456.25,447.25,438.4,429.8,422.35,411.45,400.8,393.3,384.25,374.2,365.75,357.05,350.5,344.5,340.45,334.35,327.1,321.45,315.5,308,300.75,294.7,289.65,285.6,281.7,277.2,273.7,267.65,263.45,260.2,255.35,251.85,248.1,244,239.8,235.95,233.4,230.4,228.25,227.25,225.5,224,222.5,220.15,217.4,216,213.85,211.25,208.8,208.75,208.95,207.7,206.15,204.25,202.45,203.1,202.35,200.2,201.25,200.9,202.45,202.25,201.45,200.6,200,199.65,199.1,198.85,198.75,196.1,194.35,193.05,190.2,187.7,184.55,181.4,179.65,178.95,176.05,174.6,172.15,169.85,167.65,164.95,162.25,160.95,161.1,161.35,161.6,161.5,160.85,160.8,162.1,163.4,165.1,166.85,166.9,167.4,167.15,166.65,165.95,164.9,164.55,164.6,164.85,165.25,165.2,166.15,166.4,167,167.35,167,166.35,165.65,164.4,162.65,162.6,162.3,162.5,162.2,162.65,163.05,162.65,162.4,162.15,161.85,161.7,160.95,160.8,160.7,160.6,160.7,160.55,160.25,160.5,161.1,162.45,162.95,163.4,163.9,164.1,164.3,164.75,164.6,164.45,164.25,163.9,163.4,162.85,162.15,161.3,160.45,159.65,159.8,160.6,160.65,159.8,160.8,160.7,160.55,160.5,160.2,159.9,159.8,159.4,159.15,159.25,159.05,159.05,160.2,160.65,160.75,161.05,160.95,160.25,160.4,160.35,159.5,151.45,143.75,135.55,127.65,119.7,111.9,104.35,96.75,89,Apple
1,163.5,180.35,197.95,215.75,233.65,251.9,271.95,291.8,311.7,331.7,351.95,364.15,367.45,370.6,373.3,375.15,376.6,377.05,378.05,379.2,381.95,383.35,383,382.75,382.4,381.5,379.05,377.85,377.2,376.4,374.45,371.8,369.2,366.85,364.65,362.5,360.85,358.4,357.35,356,355.05,354.95,355.5,356.3,357.8,359.5,361.45,362.85,363.9,365.45,367.6,370.5,373.05,376.05,379.35,383.75,387.85,392.25,396.85,401.8,405.75,409.8,414.7,419.35,423.5,428.35,432.5,437.35,442.8,448.1,453.9,460.8,466.6,472.35,479.05,485.7,492.8,500.2,507.75,515.7,522.7,529.85,536.05,542.3,547.8,552.65,558.1,562.5,565.95,569.3,571.6,573.95,576.45,579.1,580.05,578.9,577.35,574.25,571.3,565.35,559.8,554.15,548.1,542.95,538,531.25,524.4,517,507.65,497.85,487.9,475.9,466.25,455.35,445.6,437.1,428.25,420.3,408.8,398.7,391.1,381.75,372.85,363.95,355.1,349.45,343.3,337.55,331.4,325.1,319.9,314.75,307.55,302.25,294.7,290.4,284.55,279.8,275.45,271.4,265.85,264.3,261.4,256.5,253.25,249.4,246.15,243.05,240,237.05,234,231.65,230.3,227,226.95,224.85,224.5,223.3,222.65,221.55,219.2,214.35,213.9,214.15,212.75,211,208.9,205.6,205.7,204.6,202.3,200.4,198.2,196.85,196.05,194.8,194.15,192.8,191.8,190.7,190,189.85,187.2,185.25,183.5,181.55,179.8,177.65,174.75,173.2,173,173.7,174.1,174.7,172.65,170.25,167.6,165.05,163.85,164.95,165.5,167.15,167.25,167.55,168.2,168.5,168.75,170.3,171.45,171.55,171.55,170.7,170.15,169.05,168.8,168.75,168.8,168.95,169.6,168.7,169.05,168,168.5,168.05,167.3,166.5,165.6,164.6,163.2,163.05,163.3,163.15,163.2,164,163.85,163.5,163.15,162.9,162.2,162,160.95,160.5,160.15,160,159.85,159.75,159.8,159.95,160.65,161.35,161.45,161.55,162.1,161.7,162.25,162.15,162.25,162.2,162.15,161.65,161.55,161.55,161.75,161.25,160.85,160.25,159.9,159.7,159.35,158.9,159.7,160.1,159.65,159.75,159.35,159.55,159.25,159.15,158.7,158.85,159.25,159.05,158.35,158.5,158.65,159.1,159.4,159.45,160.2,160.25,159.35,151.2,143.45,135.5,127.6,119.65,111.8,103.95,96.5,88.75,Apple
2,163.4,180.95,197.95,214.95,232.6,250.45,268.8,288.75,308.65,327.8,348.45,360.55,364.75,368.1,370.65,372.5,373.85,375,375.7,376.4,378.65,379.7,380.15,380.4,380.1,380.1,379.35,377.9,377.25,377.35,374.8,372.5,369.95,367.15,364.5,363.65,362.1,361.35,362.15,362.85,361.8,361.45,362.3,363.75,365.3,366.55,368.8,370.15,371.3,372.85,375.2,377.55,380.35,383.8,387.65,390.35,394.4,396.9,399.65,402.65,406.6,410.65,415.1,419.2,423.85,428.65,433.35,438.05,443.55,449.2,454.45,460.7,466.65,472.6,478.55,485.3,492.35,499.4,506.9,514.4,521.6,528.9,535.05,541.05,546.2,551,555.65,560.25,563.5,566.65,570.7,573.9,576.9,579.2,580.3,579,577.55,574.35,570.3,564.35,558.6,554.2,549.35,544.45,539.45,533.75,527.35,520.4,511.65,501.8,490.4,478.55,468.3,457.4,447.8,439.65,430.9,423.45,413.6,403.75,396.3,385.5,375.4,366.75,357.9,350.55,343.9,338.15,331.35,324.25,317.7,313.7,307.2,300.45,295.15,290,286,282.1,277.65,275.6,270.25,266.8,263.9,259.65,256.45,252.15,248.2,244.35,241.45,238.8,237.15,233.6,231.7,230.25,228.55,227.1,224.7,222.55,221.15,217.65,214.65,211.6,211.05,209.4,207.2,205.7,201.7,198.9,198.75,198.2,196.2,194.15,191.75,190.15,188.55,187.6,186.95,185.6,185,184.3,184,184,182.25,182.15,181.35,180.75,181.9,179.9,177.1,175.4,174.85,174.85,175.4,176.1,174.35,171.6,168.95,167.6,166.4,166.4,166.5,166.7,165.8,165.65,166.15,166.05,165.9,167.4,169,169.2,169.4,169,168.3,167.75,167.5,167.75,167.6,166.55,167.2,167.45,168.6,169,169.5,168.7,168,167.3,167.85,167.3,166,166.05,166.2,166.3,166.6,166.45,166.45,166.3,165.95,165.9,165.15,165.05,163.9,163.7,163.65,163.7,163.35,163.2,161.75,161.25,161.65,161.75,162,162.15,162.4,162.25,162.8,162.6,162.9,162.75,162.85,162.65,162.4,161.9,161.15,160.45,159.95,159.5,159.35,159.15,158.75,158.7,159.45,159.8,159.55,159.75,159.45,159.15,158.55,158.5,158.5,158.05,158.1,158,158.35,158.35,158.65,159.1,158.95,159.2,159.55,159.65,158.9,150.75,142.8,134.85,126.9,119.35,111.75,103.75,95.75,88.25,Apple
3,162.25,179.4,196.85,214.4,231.85,250.15,268.6,288.5,308.4,327.7,348.4,360.85,364.1,367.35,369.85,372.3,374.15,374.85,374.7,376.3,379.15,380.3,379.8,379.55,379.65,378.7,377.85,376.5,375.85,375.8,373.1,370,367.75,364.85,362.4,359.85,358.1,357.5,358.9,359.8,359.1,359.4,360.85,362.15,363.45,364.9,367.05,368,369.3,370.85,373.2,375.95,378.8,382.4,386.05,390.15,394.45,397.65,400.55,403.35,406.95,410.4,414.9,419.4,424.15,429.05,434.5,439.7,445,450.65,456,462.45,468.1,474.05,480.25,487.05,494.1,501.1,508.4,515.65,523.3,530.95,537.3,543,548.35,553.35,557.45,561.85,565.15,568.05,571,574.35,577.65,580,580.9,580.15,578.55,575.8,572.95,568,561.85,556.05,550.75,545.85,540.6,534.65,527.5,520.3,511.35,501.55,491.45,479.55,469.2,458.65,449.15,440.3,431.6,423.75,412.65,402.2,394.8,385.5,375.55,366.9,358.1,351.35,344.25,336.45,329.7,324.85,320.3,315.15,307.65,302.35,297.45,293.1,289.8,285.95,281.45,277.55,273.7,270.25,267,262.4,259.8,256,252.45,250.65,247.6,243.05,239.15,236.2,234.8,231.35,229.1,226.8,223.75,220.95,219.05,218.7,215.25,214.4,214.5,214.25,212.1,210.75,210.25,208.6,208.85,208.55,206.6,204.75,202.85,201.5,199.9,199.05,198.05,197.35,197.35,195.25,193.85,190.9,188.4,186.05,184.9,182.15,179.3,176.45,173.5,171.45,171,173.65,174.8,175.9,175.45,173.1,170.9,168.1,167,166.7,166.9,167.5,166.95,168.05,168.5,169.7,171.05,172.5,174.2,174.75,175.1,172.4,170.85,169.4,168.05,167.85,168,168.85,169.15,169.55,170.25,170.75,172.25,172.1,171.3,170.1,169.05,167.9,166.35,165.65,165.2,165.1,165.05,165.1,164.95,164.7,164.25,163.6,163.2,163,162.45,162.2,161.2,160.55,160.15,160.05,159.95,160.35,160.85,161.6,162.15,162.3,162.95,162.95,164.3,165.4,165.05,164.85,164.6,164.35,163.8,163.25,162.85,162.35,162,161.6,161.15,160.6,160.2,159.85,161.25,161.7,161.4,161.5,160.45,159.35,159.25,158.95,158.75,158.65,158.45,158.55,158.1,158.15,158.2,158.65,159.15,160.35,160.95,161.3,160.65,152.45,144.55,136.6,128.6,120.65,112.85,105.25,97.65,90,Apple
4,162.15,179.55,197.35,214.7,232.55,250.75,269.15,289.4,309.4,328.65,348.95,360.75,363.75,366.4,369.2,371.45,373.65,375.55,376.4,377.25,380,380.9,380.3,380.3,379.8,378.9,379.2,376.3,376,376.5,374.5,372.4,369.7,367.4,365,362.7,360.65,359.25,360.3,361.1,360.65,360.5,362.8,363.45,365,366.5,367.4,369.65,370.55,371.5,373.6,376.1,379,382.05,385.7,389.25,393.1,396,397.65,400.6,404.95,409.35,412.4,416.9,420.95,426.1,429.8,435.35,439.95,445.65,451.25,457.25,463.45,469.45,475.65,482.55,489.95,497.65,506.15,514.15,520.75,527.7,534,540.35,546.1,550.85,556.9,561.25,565.6,569,572.75,576.5,579.3,582.25,583.3,582.7,581.15,579,575.8,570.45,564.9,559.35,554.5,549.95,544.95,539.65,533.45,526.25,516.95,506.95,495.65,483.9,473.9,462.85,453.5,444.95,436.25,427.5,416.6,406.35,398.65,389.1,379.5,371.65,364.1,356.8,347.5,340.8,334.05,327.1,322.05,316.3,309,303.95,298.4,293.1,289.3,285.7,281.25,277.15,271.35,267.9,264.75,259.45,255.5,252,250.9,246.3,243.05,239.9,236.05,233.95,232,227.95,225.4,221.3,217.65,215.3,214.45,213,210.55,207.55,206.65,205.8,203.9,202,200.4,200.4,201.1,200.7,199.25,197.05,195.55,194.25,193.2,194.5,195.05,193.8,192.9,191.9,191.6,191.5,189.8,188.4,186.15,184.65,181.85,180.75,177.9,177.85,177.65,177.65,178.05,178.5,176.9,174.6,171.8,168.9,167.7,167.5,167.85,167.8,166.9,167.15,168.3,168.35,169.2,169.05,170.55,169.7,170.1,170,169.75,169.15,168.7,169.1,169.05,169.25,168.8,170.45,172.35,173.7,174.25,173.55,172.9,172.15,171.3,169.25,167.2,166.65,166.1,166.15,166,166.15,166.2,165.6,165.2,165.2,165.65,164.25,162.05,161.2,161.15,161,160.8,160.95,160.65,161.15,161.8,162.95,164.75,165.75,166,166.2,166.3,166.4,166,165.8,165.4,164.8,164.55,164,163.45,162.65,162.1,161.1,161.25,161.15,160.9,159.95,159.45,158.8,158.5,158.2,158.4,158.05,158.3,158.05,158.05,158.4,158.75,158.75,158.7,159.3,159.4,159.95,160.35,160.6,160.65,160.55,159.65,151.4,143.5,135.7,127.7,119.8,111.9,104.2,96.55,88.65,Apple
5,165.15,182.65,200.25,217.95,235.75,253.95,272.65,293.05,312.95,332.35,353,365.25,368.2,371.2,373.75,376.1,377.35,377.6,378.35,379.5,381.15,382,382.15,383.2,383.4,382.95,381.5,379.6,378.95,378.75,376.1,373.65,371.65,369.05,366.55,364.35,362.9,361.8,362.7,363.6,362.95,362.6,362.5,362.05,363.1,364.3,366.6,368,369.3,370.9,372.95,375.4,377.9,381.15,385.7,389.2,392.9,395.95,398.95,401.85,405.15,409.25,414.2,418.45,422.8,427.7,431.55,436.75,441.5,446.8,452.5,458.25,464.75,470.8,476.15,483.25,490.4,497.4,504.45,511.85,519.3,526.75,532.9,539.65,545,549.9,555.85,560.15,564.4,568.05,571.4,575.15,577.75,579.75,580.65,579.5,578.15,575.7,573.05,568.2,564.05,558.6,553.9,548.6,543.65,538.3,531.95,525.35,516.15,506.3,496,484.6,474.4,464.25,455.55,447.65,438.85,430.95,422.25,412.75,403.95,396.7,387.2,378.3,369.6,361.75,354.95,348.55,342,334.85,329.45,323.75,316.45,311.2,305.35,300.4,296.35,292.75,286.2,281.3,274.9,268.7,264.7,260.5,257.6,254.5,251.1,247.75,244.9,242.15,240,240.05,239.5,236.65,234.65,232.4,230.15,227.1,224.85,222.15,220.05,217.4,217.2,216.15,213.35,211.1,209.05,207.05,207.1,206.95,204.35,199.85,196.75,194.75,193.25,192.7,191.6,190.7,190.75,190.75,190.4,189.85,187.45,185.2,183.8,181.1,178.5,175.05,171.65,169.5,168.45,168.5,168.95,169.5,168.4,165.9,163.8,160.95,159.8,160.2,160.4,160.95,160.85,162.5,163.9,165.65,166.8,168.45,170.25,170.35,170.9,170.4,169.85,169.05,168.45,169.4,169.75,170.75,170.5,170.25,171.3,171.85,172.45,171.65,170.65,169.85,168.95,167.7,165.85,165.65,165.45,165.9,165.95,165.55,165.2,163.7,162.6,161.95,162.15,161.85,160.9,160.55,160.85,160.6,160.4,160.25,159.5,160.6,161.7,163.55,163.75,164,164.1,164.75,164.7,165,164.9,164.75,164.35,164.05,163.75,163.2,162.15,161.55,161,160.5,161.05,159.75,159.25,157.55,158.5,158.5,158.55,158.15,158.4,158.05,158.05,158.05,158.75,159.35,159.2,160.6,160.55,160.85,160.75,160.95,161.15,161.45,161.6,161.9,160.95,152.75,144.85,137.05,129,121.05,113.3,105.4,97.05,88.8,Apple
6,162.75,179.6,197.1,214.15,231.8,250.05,268.4,288.8,308.55,328.15,348.75,360.75,364.25,367.1,369.65,372.1,374.05,374.35,376.35,377.15,380,381.8,382,382.35,381.95,381.05,380.35,378.7,378.5,378.15,375.8,373.15,370.85,369.05,366.5,363.85,361.6,360.6,360.2,361.2,360.4,359.9,360.1,360.8,362.55,364,365.55,366.6,367.55,369.1,371.5,375,377.55,380.7,384.45,388.4,392.35,395.45,398.65,401.55,405.25,409.65,413.85,417.75,421.8,426.5,430.9,435.85,440.85,446.45,451.95,457.25,463.65,469.5,475.6,482.3,489.45,496.9,504.3,511.55,519.05,525.85,533.95,541.75,547.9,553.55,559.05,563.3,567.15,570.5,573,576.75,580.05,582.95,584.15,583.5,582.1,579.2,576.15,571.8,566.3,560.9,554.75,548.5,543.05,536.9,530.85,524.5,515.45,505.5,495.6,484.05,473.25,462.25,450.95,442.2,433.85,425.95,414.8,403.85,395.65,386.15,376.2,367.9,359.1,351.8,344.8,338.35,331.75,324.8,319.4,313.55,306.3,301,297.65,293,288.7,284.5,280.65,277.05,271.3,267.5,264.05,259.1,255.8,252,245.6,238.8,235.1,231.75,227.95,225.85,226.35,224.1,222.25,220.45,218.05,216.25,214.7,213.15,211.05,208.8,208.45,208,206.65,205.75,206.65,207.9,208.5,208.35,206.95,204.8,200.75,197.9,195.95,194.75,194.2,192.85,192.1,193.5,194,194.05,191.9,190.1,188.4,185.95,183.6,180.65,177.85,176.35,176.05,176.25,176.95,177.15,175.6,173.15,170.75,167.85,166.5,163.8,162.95,162.4,162.15,163.3,164.3,165.25,166.15,167.65,168.95,168.8,169.1,168.8,167.75,167.45,167.05,167.1,166.6,167.05,167.1,167.55,168.2,168.6,169.1,168.4,167.2,166.2,165.65,164.6,163.45,163.3,162.75,162.65,162.9,162.95,163.05,163.1,162.75,162.55,162.4,162.35,161.85,161.75,161.4,162,162.25,162.85,162.95,162.9,163.05,163.9,164.1,164.3,164.65,164.4,164.8,164.35,164.7,164.3,163.9,163.35,162.55,162.1,161.75,160.3,159.55,158.3,157.9,157.9,157.85,157.3,158.8,159.15,159,159.3,160.15,160.7,160.25,161.25,161.1,161.25,161.45,161.65,161.85,161.9,161.6,161.7,162,161.8,162.1,162.35,161.25,152.95,145,137.05,128,119.65,111.85,103.15,95.7,87.9,Apple
7,161.4,178.6,196.3,213.9,231.65,249.9,269.55,290.5,310.75,330.05,350.7,362.85,366.2,369.3,371.7,374.85,377.5,377.9,378.4,380.4,383.5,384.65,384.05,383.8,383.6,382.95,380.3,377.95,377,376.9,374.45,371.65,369.55,367.35,364.6,361.6,358.85,358.05,359.85,360.8,360.05,359.75,360.3,360.95,362.45,363.8,366.85,368.1,369.35,369.95,372.05,374.85,377.8,380.95,384.95,388.6,392.45,395.65,397.95,400.7,404.4,408.4,413,417.5,421.55,426.35,429.95,435.25,440.05,446.65,452.5,458.4,464,469.6,475.55,482.45,489.95,496.75,503.05,510.35,517.4,526.3,533.6,540.3,546.5,552.35,558.5,563.05,567.5,571,573.85,577.7,580.95,583.9,585.15,584,582.75,580.2,578.5,574.25,569.35,562.4,556.85,551.65,546.1,539.6,532.7,525.85,516.3,506.2,497.4,486.7,476.5,467.1,458.6,451,442.15,434.4,423.35,412.45,404.35,394.65,384.55,375.75,367.05,359.8,353.15,346.7,340.2,333.8,327.55,321.3,314.25,307.25,301.15,295.25,291.2,287.35,283,278.7,272.9,269.6,266.55,264.5,262.7,259.65,256.4,253.8,252.85,249.85,245.7,243.05,240.85,237.45,234.75,232.15,229.7,226.8,225.65,224.35,221.7,218.65,218.45,215.9,212.85,210.7,208.85,205.9,203.6,201.35,199.4,197.35,195.6,194.35,193.05,190.7,187.3,185.65,183.5,182.25,181.85,181.7,179.05,177.3,175.15,172.9,170.6,167.35,164.8,164.25,164.2,164.1,164.55,165.15,164.05,164.3,164.55,162.65,162.4,162.6,162.65,162.9,162.75,163.05,163.2,163.9,163.6,164.1,165,167.05,168.2,167.95,167.35,166.35,165.7,165.3,164.95,165.35,165.9,166,167.2,167.6,168.1,167.25,167.3,166.55,166.4,166.35,165.3,163.4,162.05,162.2,162.15,162.45,162.6,162.35,162.1,161.95,161.45,161.25,160.4,159.75,159.6,159.6,159.6,159.55,159.45,159.6,160.35,161.05,161.55,161.5,162.05,162.1,162.55,162.8,162.45,162.4,162.45,162.15,161.85,161.95,161.4,161,160.45,159.75,159.55,159.5,158.75,158.45,158.45,158.85,158.7,159,158.65,158.6,158.9,158.6,158.7,158.8,158.6,158.4,158.6,158.3,158.35,159,159,159.2,159.55,159.75,160.1,152,143.9,135.65,127.75,119.65,111.7,104,96.05,88.25,Apple
8,164.2,181.55,199.3,216.85,234.85,253.1,271.45,291.65,311.3,330.55,350.2,362.65,366.15,369.35,372.35,374.6,376,376.4,377,377.75,380.1,381.05,380.5,380.35,379.9,379,377.9,376.2,375.85,375.7,374.1,371.4,368.8,366.35,363.6,361.45,359.65,358.2,359.45,360.7,359.8,359.65,360.7,363.3,364.9,366.85,370.1,371.65,372.6,374.2,376.55,378.7,382.6,385.85,389.5,393.25,397.4,401.05,403.4,406.2,410.65,414.8,419.2,421.3,425.25,429.45,432.5,437.25,442.5,448.2,453.6,459.65,464.65,470.5,478.25,484.85,491.8,498.1,505.7,513.3,519.75,526.9,533.55,540.35,545.85,551.1,556.75,561.7,565.85,569.3,572.6,576.15,579.15,581.75,581.75,581.3,580,578.1,575.35,570.15,565.1,559.65,554.35,549.5,544.5,539.3,532.75,524.55,515.05,505.15,494.95,484.1,473.7,463.1,453.6,445.25,436.65,428.45,417,406.7,398.9,389.5,379.4,370.55,361.95,354.1,347.7,342.55,336.3,329.45,324.05,317.85,310.65,305.05,299.6,294.65,291.25,287.7,284.15,280.4,274.65,270.55,267.35,262.5,259.05,255.8,252.55,249.7,248.15,245.9,242.65,241.25,240.5,237.8,236,234.15,230.7,228.2,226.05,224.85,222.5,220,219.8,219.35,217.2,214.95,212.6,210.2,209.1,208.05,205.85,205.75,204.55,202.5,198.9,196.95,196.3,195.15,194.65,192.9,192.25,191.75,189.65,187.8,187,184.8,182.15,178.75,175.25,173.4,172.9,169.95,168.9,169.35,169.55,168,165.6,162.9,161.55,161.75,161.6,162.15,161.65,161.35,161.8,161.6,162.7,164,163.85,163.6,163.95,163.95,163.15,162.7,162.35,162.05,161.95,162.1,162.85,162.95,164.25,164.7,165.3,166.4,165.8,166.45,165.75,164.75,165,165.25,164.9,164.9,165.25,164.85,164.9,164.75,164.85,164.8,163.95,163.75,163.4,163.1,162.9,162.35,162.45,162.05,161.85,162.1,162.55,163.05,163.4,163.95,163.55,164.15,164.15,164.25,163.8,163.45,164.15,163.65,162.55,162,161.6,161.1,160.25,159.7,159.4,160.05,159.7,159.45,160.85,160.7,160.75,160.25,160.4,160,159.9,159.8,159,159.3,159.25,159.35,159.05,159.2,159.05,159.6,160.1,159.3,159.7,159.55,158.75,150.55,142.7,134.9,126.9,119.1,111.3,103.55,95.85,87.95,Apple
9,162.6,179.7,197.2,214.8,232.5,251.45,271.2,291.05,311.25,330.55,351.2,363.3,366.8,370.5,373.25,375.8,378.05,378.55,379.15,380.25,383.15,384.7,384.9,384.6,384.35,382.9,380.75,379.5,378.95,379.55,377.2,374.7,372.45,369.6,367.3,364.45,362.05,360.9,359.75,358.25,357.05,356.65,356.65,357.45,358.9,360.6,362.15,363.2,364.1,365.1,367.15,369.55,372.7,376.05,379.85,383.55,387.5,390.2,394.7,399.45,403.05,407.35,412.15,416.75,421.25,425.9,430.05,435.2,440.2,445.25,450.85,458.35,465.7,471.85,477.5,484.8,492.05,499.9,507.65,515.3,522.8,529.55,535.9,542.3,547.75,552.65,558.6,562.95,567,570.6,573.35,575.7,577.05,580.2,581.75,581.35,580.1,577.65,575.35,570.7,565.45,560.1,554.5,549.75,544.5,539.2,532.6,524.1,514.75,505.15,495.55,485.95,476.45,465.5,456.3,447.5,438.85,430.45,418.75,407.95,400.15,391.2,381.85,372.55,364,356.1,350.1,346.35,340.2,333.2,327.5,319.95,311.75,305.9,299.2,294.5,290.45,286.4,281.85,278.45,272.4,268.05,264.6,259.8,256.6,252.75,248.45,244.65,241.7,239.6,236.45,234.85,233.2,230.7,229.7,227.3,224.9,222.15,221.15,218.75,216.25,214.2,214.35,214.8,213.1,212.15,212,209.15,208.5,207.6,205.75,202.9,201.15,199.05,197.45,196.85,195.85,195.2,194.45,194,193.8,192.75,191.3,189.55,188.65,186.85,183.7,181.45,178.65,176.4,175.7,175.7,176.15,176.1,174.6,172.2,169.6,167.1,165.8,166.35,166.4,166.95,167.05,168.3,169.45,170.8,172,174.3,177.1,178.5,178.9,178.85,177.95,177.5,176.9,176.5,176.55,176.8,177.2,176.95,178.05,178.5,177.8,176.15,174.15,172.3,170.4,168,165.5,164.05,163.65,163.75,164.1,164.05,163.95,164,163.8,163.9,163.55,163.25,162.15,161.9,161.9,161.8,161.65,161.45,161.4,162.15,162.35,162.75,163.2,162.95,163.4,163.95,164,164,163.9,163.25,163.15,162.65,162.75,162,161.4,160.85,160.5,160.4,160.2,159.65,159.5,159.3,160.15,160.7,160.35,160.15,160.1,159.45,159.25,159.2,159.2,159.05,158.75,158.95,158.75,158.35,158.15,158.4,158.4,158.75,158.75,159.25,159.25,151,143.05,135.05,127.35,119.7,111.95,104.15,96.25,88.8,Apple
