,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,Fruits
0,175.5,194.75,213.15,231.5,249.85,268,285.8,305.6,325.9,345.85,365.7,377.2,380.7,381.25,382.75,383.35,384.9,386.65,386.05,387.15,387.65,388.5,390.5,392.6,394.6,398.3,401.8,403.55,406.4,410.05,412.9,416.6,419,423.3,427.35,431.55,435.95,440.15,444.85,448.7,453.05,458,461.85,465.95,470.15,472.25,475.25,478.25,479.8,479.75,480.75,481.9,483.1,483.5,483.55,483.3,482.45,479.55,475.8,472.05,466.7,461.15,456.45,451.85,446.6,442.2,436.5,429.6,422.05,415.1,409.2,401.15,394.05,387.3,380.95,374.95,367.6,362.95,356.95,351.15,344.95,339.25,333.85,328.3,323.85,320,315.5,311.5,306.65,301.3,297.35,293.55,289.4,284.9,281.6,279,277.45,273.65,270.15,265.8,262.9,259.9,256.75,253.6,250.6,247.15,246.55,244.15,245.05,244.45,240.65,237.95,236.05,234.25,230,226.35,224.95,225.25,225.35,224.4,224.25,222.8,220.55,219.2,217.8,217.25,215.9,216.5,213.2,211.85,211.15,210.1,207.4,206.6,207.1,205.75,203.95,202.3,200.65,199.55,198.6,200.4,201.7,200.15,200,198.6,197.65,197.1,196.65,196.45,195.85,195.2,195.45,193.95,194.15,194.95,193.3,191.9,190.8,190.5,188.75,187.35,187.15,187.9,186.3,184.65,183.35,181.8,181.8,180.7,179.8,180.05,179.75,181.6,181.05,178.75,178.55,177.4,176.85,176.7,176.5,174.45,172.4,171.15,170.2,169.6,167.65,165.55,163.8,163.35,163.2,162.85,163.05,161.1,159.3,159.1,158.4,156.9,156.95,156.8,157.2,157.45,157.25,157.8,159.35,159.35,159.1,159.1,160.15,160.2,160.3,160.45,160.15,159.9,159.85,160.35,159.95,160.2,160.2,160.4,160.75,160.95,161.75,161.65,160.85,160.9,161.65,162.1,160.95,161.25,161.2,161.3,161,161.2,161.25,161,160.7,160.45,160.15,160.95,160.85,161,160.5,160.35,159.95,160.05,159.55,159.75,160.1,160.25,160.7,160.5,161.15,161.3,161.7,161.6,161.75,161.8,161.85,160.55,160.3,159.6,159.2,158.75,158.4,158.05,157.95,157.5,158.45,158.6,158.7,158.7,158.85,158.7,158.25,157.9,157.65,157.5,157.15,157.25,156.85,156.95,156.95,157.05,156.75,156.7,156.75,156.55,155.8,155.4,154.95,147.2,138.85,131,123.2,115.55,107.95,100.3,92.75,85.25,Banana
1,177.25,196.4,215.5,234.05,252.6,270.7,290.9,310.25,328.55,348.75,369,381.3,383.45,383.35,383.9,384.6,385.65,385.85,385.8,387.35,387.8,389.25,390.4,392.1,394.3,397.7,399.45,402.35,407.5,410.5,413.4,416.95,421,425.55,430.2,434.7,439.45,443.65,447.55,450.55,454.85,459,464,467.55,471.65,475.95,478.8,480.8,481.65,482.7,483.7,484.95,486.1,486.5,486.1,485.25,484.05,482.1,478.75,474.9,470.65,465.75,460.7,456.6,451.4,445.1,439.2,432.35,425.4,418.1,410.55,402,394.2,386.9,380.7,374.95,369.05,363.8,358.35,352.15,345.7,339.75,333.8,328.75,324,317.95,312.85,309.7,305.1,299.6,297.05,293.7,290,285.95,282.6,279.95,277.85,273.7,270.15,266.6,263.3,260.25,256.3,253,250.5,248.85,248.85,248.85,248.3,247.75,243.55,240.6,238,235.6,232.45,229.45,227.75,228.85,229.2,228.65,228.95,227.4,226.4,225.6,223.8,223.75,221.4,219.1,216.5,214.85,214.35,213.15,211.35,211,208.4,205.05,202.75,199.7,196.75,196.5,194.1,193.2,192.3,190,190.25,189.5,189.05,188.15,187.75,187.05,186.35,186.1,186.35,184.85,187.05,189.55,189.25,189.3,189.8,188.25,187.65,187,188,188.4,185.75,183.9,182.05,178.75,178.65,178.15,177.45,177.3,176.75,176.6,175.8,174.7,174.3,172.95,171.25,170.95,170.55,170.45,169.35,168.6,168.1,166.35,164.95,164.95,163.45,163.3,162.9,162.9,162.9,163.05,161.6,160.1,158,156.5,156.5,156.55,157.1,157.15,156.55,157,157.6,158.25,159,159.35,160.65,160.35,160.25,160.05,160.2,159.85,159.65,159.6,159.55,159.4,159.5,159.65,159.95,160.6,161,161.15,161.05,161.25,160.75,160.3,159.2,159.45,159.85,159.95,159.8,160.2,160.3,160.4,160.5,160.4,160.1,160.05,159.7,159.25,159.15,158.4,158.45,158.15,158.25,158.65,158.85,158.8,159,159.15,159.45,159.3,159.6,159.4,159.55,159.6,159.3,159.25,159.05,159,158.95,159.05,158.75,158.1,157.8,157.5,157.35,157.4,157.7,157.55,157.2,157.2,156.8,156.5,155.95,155.65,155.8,155.3,155.2,155.05,154.8,154.85,154.65,155.35,155.25,155.55,155.6,155.85,155.55,147.85,140.05,132.15,124.35,116.85,109.25,101.7,94,86.6,Banana
2,176.3,195.7,215.15,235.7,255.15,273.9,292.3,311.3,331.55,351.85,372.25,384.3,386.85,387.75,388.65,390.15,391.65,391.85,391.15,392.8,393.85,394.9,395.7,395.4,396.75,399.85,403.05,406.5,409.4,412.95,415.75,419.4,423.5,428.45,432.85,436.05,440.75,444.95,449.35,453.3,457.15,461.3,465.2,469.2,472.7,476,479.2,481.4,482,482.1,482.55,483.35,483.55,483.15,483.05,482.8,481.4,479.5,475.9,471.3,466.75,461.85,457.65,453.05,446.8,441.25,435.1,427.9,421.15,414.2,407.3,399.95,393.2,386.75,380.8,374.95,368.85,363.25,357.25,351,345,339.25,334.1,328.9,325.65,320.95,316.95,313.55,309.15,303.55,300.6,296.35,291.65,286.7,283.15,280.25,276.65,272.5,269.1,265.8,262.15,258.6,254.65,251.3,248.7,246,245.25,245.65,245.35,244.7,240.9,237.85,235.35,234,230.85,227.9,227.5,225.75,223.85,221.8,222.5,221.5,219.7,219.05,217.8,217.4,215.25,212.75,212.2,210.6,209.85,208.5,206.7,205.25,204.5,203.2,201.6,202.75,202.75,201.95,199.05,197.7,196.8,194.5,193.9,193,192.3,191.45,189.65,189.1,187.75,187.85,187.8,186.3,185.9,186.75,186.25,185.3,185.25,185.25,185.1,185.7,185.45,185.15,182.6,180.8,178.95,175.95,175.25,174.75,174.65,174.35,174.35,174.55,174.15,172.75,171.55,170.2,168.9,168.7,168.7,167.45,167.6,167.95,168.1,166.85,165.45,165.1,163.4,162.95,162.75,162.9,163.25,163.05,161.8,160.05,158.75,157.15,157.2,157.25,157.45,157.9,157.45,157.35,157.9,158.1,158.55,159,159.6,159.75,159.7,159.3,158.6,158.4,158.15,158.35,158.1,158.65,158.75,158.95,159.4,159.9,160.35,160.45,160.25,160.3,160.65,160.3,160.05,160.1,160.35,160.7,161.05,161.2,161.45,161.3,161.25,160.95,160.8,161.1,160.65,160.4,160.5,160.55,160.5,160.5,160.15,160.4,160.7,161.25,161.25,161.35,161.25,161.7,161.5,161.75,163,163.15,162.85,162.45,162.15,161.75,161.45,160.75,160.25,160,159.5,159.2,158.7,158.25,159.3,159,158.95,158.5,158.55,158.15,156.8,156.45,156.55,156.4,156.25,156.35,156.25,156.35,156.35,156.65,156.85,157,157.1,158.15,157.25,149.5,141.75,133.95,126.1,118.45,110.7,102.9,95.05,87.35,Banana
3,178.7,197.85,216.6,235.7,254.6,272.7,290.6,310.2,330.45,350.5,370.95,382.55,384.15,384.5,385.4,385.85,387.4,387.3,387.15,388.65,389.5,390.7,392.05,393.2,395.15,398.6,403.5,406.1,408.8,412.3,414.4,418.75,423.1,427.35,431.45,436.05,440.35,444.3,448.35,452.45,456.35,460.35,464.45,468.35,471.7,475.15,477.8,480.1,481.25,481.5,482.9,483.35,484.05,484.25,484.35,483.85,482.9,480.6,478.4,474.85,469.55,465.8,461.75,457.8,453.85,448.4,441.55,434.55,427.65,420.8,415,407.8,401.25,395.05,389,383.05,376.7,370.85,363.9,356.55,350.2,343.25,337.15,331.1,325.65,321.55,316.95,313.05,308.25,302.65,295.7,289.9,284.7,279.4,275.8,273.15,268.55,264.3,260.4,257.05,254.3,251.25,248.25,244.8,242.2,239,238.95,239.75,239.25,238.5,236.9,235.3,233.35,231.8,229.2,226.1,226.65,228.4,228.65,227.7,227.15,225.9,224.45,225.1,223.7,223.1,220.85,218.4,216.15,214.35,213.95,213,211.15,210.05,208.5,206.55,205.05,203.4,201.7,200.35,198.25,197.4,198.5,196.25,196.25,195.45,194.15,193.3,193,193.1,192.35,191.75,191.9,190.5,190.7,189.3,188.55,186.45,185.2,184.45,184.15,183.55,182.15,181.5,179.25,177.8,176.8,175.3,175.15,174.3,173.8,173.7,173.35,173.55,172.95,174.55,173.7,173.3,172.9,173.05,173.1,172.4,171.15,170.6,170.1,168.85,168.05,167.7,166.55,166.15,167.05,167.25,167,166.9,165.45,163.6,162.15,160.95,160.75,161,160.9,161.85,161.6,161.95,161.95,162.85,163,162.4,162.6,162.6,161.6,161.1,161.05,161.05,161.1,161.15,160.95,160.8,160.45,161.3,162,162,162.5,162.65,162.8,161.9,161.4,160.4,160,160.05,160.05,160.15,160.35,159.9,159.95,160.1,160.2,160.25,160.7,159.95,159.55,159.3,159.05,158.55,158.5,159.05,158.9,159.4,159.6,159.9,160.7,162,162.25,162.75,163.05,162.85,163.2,162.9,162.65,162.35,161.9,162.05,161.5,161.45,160.75,159.8,159.6,159.25,159,158.85,159.1,158.25,158,157.55,157.15,157.1,156.3,156.15,156.1,156.2,156.25,156.1,156.45,156.6,156.85,157.4,157.3,157.65,157.7,158.1,157.55,149.55,141.75,134.15,126.35,118.55,111.05,103.45,95.75,87.85,Banana
4,177.8,197.2,216.3,234.75,253.25,271.35,289.3,308.4,328.8,348.9,369.3,381,383,384.2,385.2,385.65,386.65,387.3,386.65,388.4,388.95,390.35,391.5,393.6,395.75,399.15,403.6,407,409.45,412.6,415.25,419.45,423.6,427.7,432.15,436.65,440.75,444.8,449.85,453.7,457.95,462,466.25,470.3,474.2,477.75,480.1,482,483.2,483.75,484.5,485.2,485.9,485.65,485.4,483.95,483.25,481.05,477.2,472.65,467.25,462,457.7,452.9,448.05,442.65,436.8,430.25,423.3,416.45,411.05,403.35,396.85,391.6,385.25,379.8,373.6,367.6,361.2,354.75,348.95,343.4,337.7,332.25,325.95,320.95,315.8,311.3,306.4,300.7,296.2,292.3,287.75,282.7,278.8,275.3,272.55,269.1,265.85,262.75,259.35,256,252.5,249.4,248.25,246.15,246.35,247.4,246.55,246.05,242.1,238.9,236.55,233.8,231.4,229.1,226,224.25,223.55,223.3,223.35,221.9,220,218,216.6,215.7,211.6,209.1,208.1,207.2,206.8,205.85,203.65,203.65,202.85,201.7,202.6,203.55,203,200.55,197.75,196.55,196.05,194.9,194.9,194.3,195.35,194.55,193.75,193.3,192.8,193.6,194.15,192.15,191.85,192.15,190.85,189.65,188.8,188.7,188.6,188.35,189.05,189.05,186.45,184.2,182.35,180.5,180.85,180.05,178.85,177.6,177.4,177.55,177.25,175.25,173.85,172.7,171.4,171.15,171.15,172.95,171.65,171.35,171,170.45,169.45,167.75,165.65,164.75,164.7,164.65,164.35,164.2,162.8,162.15,161.3,159.7,159.9,159.9,160.15,158.3,158.05,158.6,159,159.1,159.2,159.85,160.55,160.85,160.65,160.6,160.75,160.65,160.35,160.25,159.65,159.8,159.8,160.1,160.5,161,161.3,161.3,161.5,161.55,161.75,161.5,160.75,160.55,160.65,160.6,160.6,160.65,160.8,160.95,161.25,161.1,160.9,160.9,160.55,160.6,160.65,160.8,160.3,160.95,161.55,161.5,162.05,163.15,163.7,164.1,163.95,164.45,164.45,165.05,165.15,165.25,165.1,164.7,164.55,163.8,163.55,162.8,162.45,161.1,160.15,160.25,159.85,158.85,158.9,159.1,158.9,158.45,158.5,157.8,157.2,157.2,157.05,157.2,156.9,157.05,156.8,156.8,156.6,156.85,156.75,156.7,156.9,156.8,156.4,148.05,140.25,132.4,124.5,116.6,109.05,101.15,93.55,85.75,Banana
5,179.75,198.95,218.15,236.8,255.3,273.8,291.85,310.85,331.15,351.4,371.85,383.6,385.4,385.6,386.25,387.65,388.7,389,388.55,389.95,389.95,391.15,392.05,393.9,396.6,399.65,403.45,406.85,409.5,412.45,414.95,419.1,423.35,428.05,432.55,435.5,439.85,444.1,448.5,452.65,457.4,462.35,466.85,470.95,474.55,478.45,481.65,484.5,485.9,486.8,488.15,489.25,490.35,490.35,490.2,489.8,488.35,485.9,482.35,477.7,472.55,466.75,462.4,457.65,452.9,446.85,440.35,432.35,425,417.55,411.2,402.65,395.6,389.5,383,377,371.3,366.3,361.8,355.55,349.4,343.45,337.45,331.85,326.7,322.65,318.15,315.15,310.85,305.65,301.3,296.85,292,287.05,283.75,281.3,278.55,274.35,269.1,265.45,262.05,259.25,255.85,252.4,249.85,248.05,247.9,247.65,246.15,245.25,243.25,241.5,239.15,237.65,235.95,233.4,232.5,233.4,232.95,232.05,232.6,232.2,231,230.7,228.4,226.7,224.5,222.75,222.05,221.55,219.75,218.55,217,215.6,213.9,212.55,211.25,209.25,208.75,208.1,205.45,203.45,201.75,201.85,202.85,202.1,201.1,199.9,199.55,198.45,197.15,196.7,198.55,197.75,198.2,196.85,195.85,195.2,194.8,194.25,193.65,193.15,194.85,193.1,190.1,188.15,186.7,185.15,184.4,183.85,183.35,182.8,180.65,180.3,178.35,176.9,174.1,172.4,170.65,169.8,169.8,169.7,167.9,167.4,167.85,166.8,165.6,163.75,162.3,161.65,161.3,161.5,161.5,161.25,160.35,160.5,160.7,159.25,159.2,159.35,159.6,159.6,159.55,159.6,160.4,161.45,161.6,161.75,162.15,162.25,162.75,162.6,162.45,162,161.85,161.75,161.3,161.55,161.45,161.45,161.85,162.4,162.95,162.7,161.55,160.7,160.5,160.6,160.45,160.35,160.1,160.2,160.1,160.45,160.3,160.4,160.7,160.65,160.4,160.25,159.7,159.45,159,158.8,158.95,158.9,158.85,159.15,159.25,159.55,159.95,160.15,160.35,160.65,161.1,161.25,161,160.9,160.95,160.75,160.6,160.2,160.1,159.7,159.3,158.8,158.9,158.45,157.95,157.7,157.45,157.55,157.5,158.35,158.25,157.6,157.35,157.2,156.95,157.25,157.25,157.2,156.95,157.15,156.85,156.9,157.05,157.1,157.55,157.6,157.3,149.15,141.3,132.35,124.3,116.75,109.1,101.4,93.8,86,Banana
6,178.65,197.75,216.9,235.5,254.55,273.4,291.85,311.4,331.05,349.9,369.9,381.65,383.9,385.15,386.15,387.3,388.65,388.8,388.15,389.75,389.7,391,392,393.95,395.8,398.4,401.95,404.8,408,412.3,415.25,419,423.1,427.85,431.75,435.65,439.4,443.75,448.7,452.55,456.2,460.65,465.2,469.5,472.9,476.55,479.2,481.05,482.6,483.45,484.75,486.05,486.75,486.3,486.7,486.05,485.4,482.7,478.9,474.05,470.4,464.65,460,455.05,450.8,445.75,440.15,434.05,427.05,420,414.7,407.4,400.05,392.55,385.15,379.5,373.05,368,362.3,356.05,349.3,343.55,337.8,332.4,327.8,322.65,318,314.1,310.15,305.5,300.1,294.8,290.55,287.1,283.8,280.6,278.3,274.75,271.3,267.85,264.85,262.35,259.15,255.75,250.75,248.5,248.05,244.9,242.1,240.45,236.35,233.9,232,230.35,228.8,226.7,225.6,225.95,225.75,224.75,224.95,223.8,221.8,221.2,221.25,220.1,217.9,218.65,218.4,217.35,217.45,216.6,214.5,211.95,209.9,207.45,204.75,200.25,197.4,195.7,192.45,191.25,190.5,188.3,187.95,187.3,186.15,185.35,184.75,183.5,182.2,181.95,181.55,181.15,180.95,182.2,182.4,183.9,184.35,184.5,184.6,184,184.8,185.15,183,181.55,180.25,178.8,179.75,182.1,183.4,184.5,184.7,184.7,184.9,183.55,182.6,181.5,180.35,179.9,179.85,179.85,178.7,178.15,178,176.7,175.35,173.3,170.3,167.2,165.55,164.15,164.2,164.4,162.7,161.2,159.5,158.3,157.95,158.2,158.25,158.65,158.7,159.25,159.6,160.05,160.4,161.05,161.55,161.7,161.6,161.9,161.65,161.45,161.25,161.4,161.2,161.05,161.55,161.6,162.35,162.45,162.45,162.25,162.25,162,161.85,161.5,160.8,160.8,160.7,160.3,161.6,161.4,161.45,161.7,161.85,161.8,161.7,161.75,161.15,161.05,161.1,160.95,160.7,160.35,160,160.25,160.8,160.8,161.25,161.2,160.2,160.2,160.75,160.1,160.15,160.05,159.7,159.55,159.35,158.85,158.45,158.05,158,158,158.05,157.85,157.45,157.6,158.1,158.05,157.8,157.9,157.15,157.05,156.65,156.4,156.4,156.2,156.25,156.1,156.05,155.95,155.45,155.35,155.75,155.7,156.25,156.15,155.25,147.55,139.7,131.9,124.4,116.7,109.1,101.5,93.8,86.05,Banana
7,179.4,199.05,218.05,237.1,255.8,273.85,292.25,311.3,331.6,352,372.5,384.55,386.75,386.95,387.7,389.5,391,391.3,390.1,392.2,392.3,393.05,394.5,395.6,397.95,401.25,404.95,408.9,411.85,414.7,417.75,421.4,425.3,430.05,433.55,437.8,442.05,446.5,450.6,453.9,458.55,462.85,466.75,470.7,473.95,477.7,480.75,482.8,483.85,485.15,485.5,486.15,487.25,487.55,488.15,487.25,485.9,483.1,479.9,475.6,471.1,466.4,462.75,458.55,454.2,449.15,442,436.3,429.4,423.4,417.85,410.05,402.15,395.35,388.5,382,375.5,370.2,364.8,358.15,351,344.5,338.3,332.25,327.1,322.45,319.15,313.7,308.85,301.95,297.4,293.5,289.6,285.3,282.15,279.9,278.1,274.15,270,267.05,264.2,261.45,258,255.1,252.4,249.35,248.15,248.45,248.25,247.3,244.3,242.85,241.1,239.2,236.6,232.8,231.35,232.6,233.5,233.1,233.8,232.7,230.75,230.35,228.75,228,226.15,224,222.05,221.65,220.2,219.6,218.15,215.75,213.85,212.55,210.95,209.05,206.35,204.1,200.5,199.35,198.45,196.1,196,195.35,194.7,193.6,193.2,192.3,191.3,189.1,187.8,187.4,188.6,190,189.35,187.9,187.75,187.5,187.55,188.2,189.3,189.75,187.4,185.3,183.55,181.95,181.3,179.85,179.45,179.3,179.35,179.6,178.3,176.9,175.9,174.9,173.65,173.7,173.7,171.85,170.4,170.05,170.15,169.75,168.3,166.65,164.9,165,164.8,164.75,164.75,164.75,164.6,162.95,161.6,160.3,160.05,160.1,160.1,160.8,160.85,160.8,160.7,160.8,161.3,161.65,162.2,161.75,161.95,161.85,161.95,161.45,160.1,160.2,160,159.8,159.95,160.15,160.55,160.6,161.1,161.15,161.5,161.3,161.9,162.05,161.75,161.95,161.8,161.6,161.45,161.4,161.25,161.4,161.45,161.6,161.7,161.4,161.05,161,160.45,160.3,159.85,159.7,158.95,158.7,158.85,159.05,159.35,159.7,160,160.4,160.9,160.45,160.8,160.3,160.1,159.9,159.7,159.15,159.1,158.2,158.05,157.6,157.3,157.2,157.05,156.85,157.5,157.55,157.2,157.1,156.75,156.75,156.15,156,155.55,155.45,155.1,155.25,155.15,155.6,155.35,155.45,155.4,155.3,155.15,155,154.3,146.25,138.45,130.6,122.75,115,107.3,99.75,92.35,84.75,Banana
8,180.1,199.6,219.1,238.2,257.2,275.75,293.7,313.3,333.95,354.6,374.7,386.35,388.8,389.75,390.45,390.8,390.4,391.75,391.35,393.6,393.35,394.35,395.1,396.45,399.05,402.05,405.7,408.85,410.95,412.9,415.6,419.55,423.2,426.95,431.45,435.75,439.6,443.45,447.7,450.95,455.75,459.45,463.75,467.85,470.5,474.05,477.2,478.7,480.2,481.45,482.5,483.45,484.4,484.85,484.7,483.55,482.8,480.7,477.15,472.75,468.9,464.3,460.1,455.7,451.2,446.25,440.55,433.65,426.35,419.55,413.65,406.05,398.9,392.45,385.75,380.25,374.1,368.7,363.15,356.85,349.45,343.5,337.4,331.25,327.45,322.7,318.05,314.85,310.15,304.6,298.75,293.15,287.8,282.75,278.6,275.5,272.9,268.95,265.1,261.75,258.25,255.35,251.7,248.65,244.95,241.75,240.15,239.65,238.75,237.75,235.8,234.15,233.3,231.95,230.1,227.2,225.95,227,227.35,226.4,226.55,225.3,223.75,223.2,220.2,217.3,216.1,212.9,211.25,210.1,209.25,208.2,205.75,204.45,203.3,201.8,200.5,198.8,196.25,194.5,192.45,191.05,189.9,188.35,189.95,191.6,191,191.65,191.45,190.95,190.1,189.45,189.7,188.3,188.2,189.1,187.85,185,183.7,183.55,184.3,184.35,185.75,185.5,182.7,180.55,178.4,176.75,176.65,175.8,175.3,175.35,175.1,175.1,173.8,171.6,170.35,170.55,170.6,170.5,168.95,168.35,167.1,166.25,166.35,165.3,164.3,162.55,160.6,160.3,160.15,160.2,159.95,160.3,159.7,159.2,157.8,156.35,156.2,156.5,156.4,156.75,156.25,156.5,156.45,156.85,157.2,157.35,157.9,157.9,157.85,158.05,157.9,157.5,157.25,157.4,157.7,157.8,158,157.75,157.5,157.5,158.05,158.15,158.3,158.15,158.25,158.35,158.05,158.25,158.05,157.4,157.55,157.25,157.25,156.9,156.85,156.8,156.5,156.45,156.85,156.75,156.55,156.5,156.1,155.9,155.5,155.35,155.55,155.4,156.1,156.7,157.15,157.8,158.3,158.5,158.6,158.5,158.15,158.15,157.7,157.8,156.95,156.5,156.45,156.4,156.25,156.25,156.05,156.05,156.1,156.05,155.6,155.15,154.9,154.6,154.15,153.75,154.05,153.65,153.95,153.45,154.05,154.1,153.85,153.9,153.95,153.9,154,154.55,154.35,146.5,138.75,131,123.15,115.6,107.95,100.5,92.85,85.45,Banana
9,182.9,202.2,221.35,239.85,258.9,277.55,296,315.1,335.35,355.8,376.2,387.7,390.1,390.5,389.55,389.9,390.65,390.3,390.05,391.9,391.85,393.3,394.85,397.25,399.8,402.85,406.1,409.5,412.5,415.2,417.7,421.65,425.45,429.8,433.8,437.6,441.8,445.95,450.55,453.8,458.9,463.25,467.05,470.9,473.95,477.45,480.2,482.1,482.8,483.45,484.65,485.25,486.15,486.75,485.8,485.1,483.75,482.4,478.35,473.45,467.5,462.2,457.7,452.75,447.7,442.2,436.8,429.65,422.75,416,410.2,402.9,395.95,389.4,384.15,378.35,372.35,366.2,361,355.25,348.8,342.95,337.1,331.5,326.4,322.05,316.6,314.35,310.1,304.4,300.1,295.95,291.15,286.35,282.25,279.3,276.75,272.45,268,264.35,261.65,258.3,255.05,251.9,249.5,247.35,247.75,247.1,246.4,245.7,241.8,238.65,236.4,234.95,232.85,229.65,227.95,228.4,229.1,227.8,228,227.75,225.95,223.45,221.55,220.05,218.05,215.15,212.45,210.65,209.3,207.85,205.7,204.15,202.95,201.45,199.95,199,196.8,195.7,192.75,190.35,189.3,188.45,188.35,186.6,185.45,185.1,185.55,185.05,185.9,188.65,190.25,188.95,188.9,190.5,189.85,188.8,188.2,187.9,187.7,187.35,188.55,188.9,186.9,185.5,183.45,181.5,180.95,181.85,180.45,177.5,175.8,175.75,174.75,172.45,171.05,169.05,167.8,167.45,167.35,167.5,166.3,165.95,165.95,164.85,163.85,162,160.55,158.7,158.2,158.3,158.35,158.15,157.35,156.55,155.8,155,155.25,155.5,155.7,155.5,155,155.3,155.2,155.9,156.1,157,157.05,157.45,157.2,157.05,156.6,156.5,156.4,157.25,156.8,156.75,156.45,156.45,156.9,157.45,157.95,158.05,158.15,158.2,158.35,158,158,158,158.7,158.8,159.4,159.65,159.65,159.05,159.1,159.1,159.2,159.35,159,158.75,158.7,158.55,158.35,158,158.05,158.7,158.65,158.7,158.75,158.9,159.05,159.1,159.4,159.1,159.45,159.55,159.45,159.3,158.95,158.65,158.4,158.05,157.6,157.55,157.1,156.4,156.3,156.2,156.25,156.15,155.8,155.6,155.2,154.9,154.55,154.2,154.4,154.4,154.35,154.35,154.25,154.25,154.45,154.7,154.75,154.65,154.8,154.75,154.65,146.85,139.1,131.4,123.7,116.25,108.5,100.95,93.05,85.25,Banana
