,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,Fruits
0,162.9,180.65,198.4,216.15,233.9,251.35,269.15,286.95,304.9,324.2,343.05,353.5,354.8,356.1,357.25,357.95,358.95,359.35,359.75,361.55,362.25,363.2,364.2,365.15,367,369.1,371.2,373.25,375.6,376.4,377.4,379.6,382.25,384.7,387.2,390,392.65,394.75,397.1,398.05,399.4,401.25,402.45,404.05,404.65,405.6,406,406.15,405.75,405.9,405.8,405.75,405.4,404.7,404.55,402.7,401.15,399.45,396.2,393.3,390.15,386.6,384.4,380.95,377.65,374.1,370.15,365.95,363.1,358.15,354.65,349.85,345.35,339.9,335.15,332.15,327.45,323.55,319.8,315.75,311.5,307.35,303.7,300.45,297.65,295.1,291.9,289.05,283.75,279.55,275.9,271.85,268.05,265.15,262.65,260.45,259.65,256.8,253.8,253.9,252.15,250.1,246.9,244.05,241.85,239.6,238.95,238.75,237.85,237.35,234.75,233,232.25,230.9,228.8,226,224.45,225.05,224.6,221.65,221.4,220.8,219.1,217.9,215.8,214.4,212.65,211.15,210,208.2,207.05,206.8,206.2,205.8,203.2,201.55,200.5,199.5,198.4,195.75,192.8,190.65,189.8,188.85,189.8,189.55,189.05,188.9,188.85,188.6,188.3,186.9,184.8,182.95,184.85,186.1,185.3,184.5,184.35,184.05,184,183.8,184.65,184.6,181.8,180.5,178.25,175.25,173.8,173.05,172.35,172.4,172.1,172.1,170.65,169.25,168.65,167.5,166.15,166.45,166.25,166.2,165.2,164.35,164.2,163.15,162.95,162.6,162.1,161.95,161.95,162,162.15,162.2,161.55,160.4,158.4,157.15,157.25,157.45,157.75,157.95,157.55,158.15,158.45,158.2,158.6,158.95,159.4,159.6,159.6,159.7,159.45,159.65,159.1,158.95,159.2,158.95,158.8,158.55,159,159.25,159.55,159.5,159.5,159.95,159.95,160,159.45,159.45,159.55,159.55,159.9,159.65,160.05,159.95,159.85,159.65,159.65,159.6,159.05,158.7,158.5,158.05,157.9,157.45,157.15,156.85,157.2,157.45,157.25,157.05,157.25,157.2,157.4,157.5,157.75,157.7,157.3,157.3,157.1,156.7,156.55,156.4,155.95,155.7,155.65,155.6,155.45,155.2,155.6,155.75,155.6,155.75,155.6,155.35,154.85,154.7,155.05,155.1,155.15,155.35,155.45,155.3,155.35,155.55,155.6,155.75,155.8,155.7,155.75,147.85,139.9,132.05,124.1,116.5,108.95,101.35,93.65,85.8,Corn
1,164.45,182.15,199.85,217.5,235,252.25,269.45,287.45,305.65,324.35,342.8,353.3,354.05,355.25,356.55,357.45,358.75,359.5,358.95,360.85,362.25,363.7,365.05,366.1,367.6,369.4,372,374.4,376.45,377.95,379.75,381.9,384.6,387.15,389.6,392,394.1,395.8,397.95,398.6,400.15,401.45,402.65,404.25,405.65,407.1,407.5,406.95,406.8,406.6,406.3,405.7,404.8,403.95,403.05,401.45,399.9,397.85,394.9,391.7,388.5,384.85,381.9,378.25,375.05,371.65,367.4,363.4,358.55,353.05,349.45,344.55,340.05,335.95,331.55,328,323.45,319.45,315.9,312.35,308.3,304.9,301.15,298.4,295.25,292.7,290.55,288.5,285.45,282.3,278.5,274.7,271.3,267.8,264.95,260.5,260.1,258.6,256.75,253.75,251.2,248.4,245.9,242.85,240.65,237.35,236,233.1,231.75,230.95,228.6,227.45,225.7,223.7,222.1,222.5,221.3,221.3,219.9,218.3,218.1,217,214.6,213.25,210.7,210.75,209.6,208.8,207,205.35,203.65,201.95,200.05,199.5,199,197.95,196.45,195.35,194.1,192.7,190.75,189.45,189.35,188.05,188.85,188.45,187.55,188.2,188.35,188.3,188.15,187.8,188.25,186.9,186.3,186.35,185.75,183.7,182.4,182.45,182.05,181.7,181.85,182.9,180.95,178.9,177.15,174.65,174.05,172.85,172.3,172.3,171.55,171.6,170.8,169.75,168.95,168.7,168.5,168.4,168.1,168.05,167.1,165.85,165.95,164.95,164.25,163.65,162.85,162.85,162.85,162.8,163,163,162.1,160.5,158.8,157.7,157.9,157.95,157.9,157.85,157.85,157.9,158.45,159,158.75,159.2,159.6,159.6,159.55,159.65,159.25,158.9,158.65,158.8,158.5,158.5,158.2,158.15,158.45,158.8,159.2,159.35,158.85,158.65,159.1,158.75,158.45,158.65,158.75,158.65,159,159.1,159.15,159.1,159.1,159.2,159.05,159.05,158.55,158.25,158,157.65,157.25,156.9,156.75,157,156.9,156.95,157.4,157.35,157.75,157.9,158.25,159.15,159.15,158.85,158.95,158.95,159,158.7,158.65,158.6,158.55,158.2,158.05,157.9,157.85,157.7,157.6,157.75,157.7,157.6,157.3,156.3,156.05,155.8,155.45,155.2,155,155.05,154.95,154.8,154.5,155,155.05,155.05,155.5,155.7,155.55,147.7,139.5,131.75,123.9,116.15,108.6,101,93.55,86,Corn
2,165.4,183.3,201,218.3,235.9,253.2,270.7,288.5,307.2,325.75,344.45,355.1,356.6,357.45,358.5,360.1,359.75,360.4,360.05,361.6,362.15,363.55,364.7,366.15,367.55,369.85,372.45,374.85,376.4,377.85,379.55,381.55,383.7,386.4,389.35,391.35,393.85,395.5,397.25,398.05,399.5,400.9,402.6,404.05,405.25,406.1,406.15,405.95,406,406,405.25,405.3,405.55,405.3,403.95,402.25,400.95,399.35,396.8,395,392,388.6,384.65,381.4,378.5,375.2,371.95,368.4,363.8,358.7,355.15,349.9,344.6,339.55,336.15,332.9,328.4,324.95,321.35,316.4,312.25,307.6,304.7,301.8,298.3,295.55,292.45,289.85,286.6,282.95,280.05,276.9,273.35,270.1,265.95,264.4,263.85,261.45,258.7,255.6,253.05,251.2,248.45,245.2,242.7,240.3,239.8,239.85,239.7,239.25,235.95,233.5,231.95,229.3,228.15,224.9,223,222.6,221.8,220.55,220.45,218.9,216.9,214.4,213.55,212.95,208.95,206.05,203.35,201.25,200.55,199.6,197.95,198.15,197.3,196.5,195.45,195.5,195.4,195.4,193.55,192.75,193.1,193.35,193.25,192.4,194.1,193.35,192.45,191.75,190.5,190.25,190.05,188.35,188.15,189.2,187.1,184.15,181.65,180.2,179.3,178.7,177.45,176.65,174.1,172.1,169.35,167.65,167.2,167.05,166.8,166.5,166.35,166.7,165.5,163,162.45,161.45,161.45,161.25,160.95,160.35,160.35,160.3,160.45,159.6,159.1,158.15,159.15,159.3,160.75,160.9,160.9,160.65,160.1,159.65,159,158.85,158.95,159.35,159.7,160.4,160.05,160.6,161.4,161.9,162,162.35,161.6,161.3,160.1,160.05,160.1,159.95,159.9,159.75,159.9,159.7,159.55,159.15,160.4,160.9,161.45,161.2,160.8,160.6,160.95,160.75,160.35,160.5,159.95,159.85,159.75,159.65,159.45,159.45,159.15,159.1,159.2,159.45,158,157.4,157,157,156.55,156.4,156.1,156.4,156.2,156.15,156.95,157.95,158.15,158.3,158.9,159,159.45,159.3,158.95,158.95,158.75,158.55,158.75,158.65,158.35,158.15,158.1,157.85,157.8,157.75,157.8,156.85,156.75,156.9,156.45,156.1,155.5,155.4,155.4,155.1,155.25,155.15,154.8,154.6,154.95,155.6,155.85,155.95,156,156.25,156.25,148.35,140.55,132.65,124.85,117.3,109.75,102.1,94.55,87,Corn
3,164.45,182.05,199.75,217.4,235.1,252.6,270.15,288.1,307.1,325.55,344.05,354.5,355.95,357,357.75,358.65,359.9,360.95,360.75,362.45,362.9,364.65,366,367.6,369.9,372.15,374.65,376.85,377.8,379.75,381.6,383.85,386.2,389.25,391.5,393.65,395.8,397.25,399.45,400.35,402.35,403.5,404.9,406,405.95,406.55,406.75,406.55,406.55,406.2,405.9,405.15,404.85,404.1,403.75,402.2,401.05,399.15,396.2,392.85,389.25,385.45,382.05,378.5,375.8,372.7,368.95,366,361.7,356.75,353.3,348.7,343.95,339.2,334.95,331.85,327.35,323.9,320.35,316.9,313.05,309.35,306.3,303.55,300.55,297.9,295.3,292.25,289.95,287,284.25,282.45,279.45,275.55,271.95,270.5,270.4,268.05,265.2,262.2,259.7,257.55,254.6,251.4,249.4,246.9,245.85,245.3,242.9,241.35,236.95,233.15,231.9,231.1,229.85,227.25,225.6,224.85,222.9,222.75,223.45,222.95,221.5,219.4,216.85,215.9,214,211.8,210.55,208.45,207.45,206.2,203.65,201.95,200.25,198.4,196.75,196.2,195.9,193.25,189.7,187.35,185.85,185.3,185.65,185.25,184.95,184.35,184.6,184.45,183.9,184,186.65,187,187.45,187.05,185.8,185,185.25,185.05,184.7,184.55,185.6,185.8,183.7,182.05,179.4,177.35,176.15,175.65,175.6,175.35,172.4,171.05,170,169.65,169.25,168.05,166.7,166.45,166.5,166.25,164.7,164.6,164.3,163.45,163.35,162.45,161.4,161.3,161.2,161.05,161.1,161.05,160.35,159.5,158.35,157.05,156.95,157,157.2,157.45,157.45,157.25,157.55,157.5,157.6,158.2,158.7,158.65,158.9,158.95,158.95,158.85,158.55,158.4,158.25,158.3,158.45,158.5,158.9,159.3,159.7,159.8,159.95,159.8,159.9,159.5,159.1,159.05,158.65,158.5,158.3,158.45,158.5,158.5,158.35,158.1,157.9,158.05,157.55,157.25,157.2,156.9,156.7,156.45,156.35,156.45,157.35,157.65,158.15,158.3,158.8,158.9,159.3,159.4,159.8,160.05,159.85,159.9,159.8,159.8,159.4,159.3,158.95,159.15,158.95,158.85,157.95,157.95,158.15,158.1,157.8,157.6,157.35,157.25,156.6,156.3,156.5,156.15,156.2,155.85,156,155.8,156.1,155.95,156.2,156.25,156.55,156.4,155.85,148.05,140.2,132.4,124.5,116.75,109.1,101.45,93.6,86.05,Corn
4,165.8,183.75,201.45,219.2,237.2,254.75,272.25,290,308.95,328,346.75,357.35,359.15,359.45,360.6,361.15,362.65,363.4,362.75,363.2,364,365.65,367.3,368.55,370.15,372.8,375.4,377.6,378.7,379.8,381.45,383.9,385.9,388.1,390.6,393.45,395.85,398,399.5,401.2,402.5,403.6,405.25,406.8,407.65,408.45,408.7,409.1,409.5,409.45,409.25,408.7,409,408.7,407.7,405.85,404.1,402.3,399.8,396.65,393.5,389.75,386.25,383.3,379.9,376.05,372.05,367.6,362.55,357.05,353.15,347.8,342.65,338.4,334.3,330.8,326.4,321.7,317.95,314.3,310.35,306.5,302.55,297.6,294,291.2,287.9,285.4,281.95,278.5,274.75,271.1,267.75,263.75,260.85,259.25,258.95,257.35,254.75,251.85,248.8,246.15,243.5,241.5,239.95,237.5,237.65,237.75,237.45,237,233.85,232.1,230.35,228.85,227.3,223.35,219.05,218.5,217.6,216.3,217.4,216.4,214.6,213.65,212.15,211.85,210.7,208.85,206.85,205.05,204.6,203.45,201.55,200.95,199.5,198.8,199.85,199.35,198.1,196.55,193.1,191.65,190.95,189.3,188.95,187.55,186.45,185.75,186.25,186.85,186.85,186.65,186.85,185.3,185.45,186.55,185.9,185,184.95,184.75,184.55,184.45,185.2,185.2,182.95,181.3,179.2,177.05,175.55,174.45,173.2,173.15,172.8,172.8,172.3,171.2,170.45,169.3,168.25,168.3,169.7,170,168.4,168.15,168.35,168.95,168.45,167.35,166.45,165.65,165.65,165.7,165.75,166.1,164.95,163.7,162.6,161,161.1,161.25,159.95,159.7,159.85,160.35,160.8,159.7,159.9,160.2,160.7,161.1,160.95,160.9,161,160.85,160.5,160.6,160.1,160.4,160.3,160.3,160.65,160.8,161.4,161.15,161.05,161.4,161,160.85,160.5,160.25,160.45,160.4,160.25,160,160.25,159.9,159.75,159.5,159.3,159.05,158.6,158.4,158,157.8,157.65,156.9,156.75,156.8,156.85,157,157.4,157.45,157.95,158.1,158.45,158.7,159.25,159.3,159.05,159,158.95,158.85,158.6,158.55,158.1,158.25,158.15,157.95,158.15,158.2,158.5,158.5,157.95,157.95,157.5,158.25,157.45,157.35,157.4,157.75,157.55,157.3,157.35,157,157,157.1,157.15,157.4,157,157.2,156.85,148.95,141.15,133.3,125.5,116.8,109.2,101.45,93.85,85.85,Corn
5,166.55,184.35,202.3,220.1,238,256,273.9,292.2,310.9,329.7,348.55,359.4,360.6,361.95,362.85,363.75,366.3,366.7,365.85,367.5,368.5,369.75,370.65,371.55,373.35,375.05,377.25,379.25,380.55,382.2,383.7,385.55,387.8,390.1,392.5,394.2,395.1,397.05,399.1,399.65,400.5,402.2,403.4,405.1,405.8,406.65,406.8,406.9,406.9,406.7,406.1,405.75,405.9,405.85,405.55,404.95,403.5,401.3,398.5,395.15,392,388.6,385.7,382.55,379.55,376.3,372.7,368.5,363.9,358.65,355.25,350.45,345.25,340.1,335.85,331.85,327.25,323.55,319.85,317.5,313.8,310,305.8,302.55,299.4,296.55,293.9,291.6,288.65,284.85,281,277.15,273.6,269.95,266.6,265,264.8,262.85,260.2,255.75,252.8,249.95,247.75,244.65,242.55,240.15,239.5,239.6,239.25,238.7,236.05,235.6,234.9,233.95,232.45,230.6,228.7,228.35,227.55,226.7,226.75,225.5,223.85,222.65,219.65,218.35,216.35,214.05,211.6,210.15,209.55,206.85,204.25,202.9,201.15,198.75,197.4,196.35,195.8,196.25,194.15,193,192.05,190.45,189.1,189.2,188.25,187.2,187.6,187.1,185.7,185.8,185.65,184.45,184.9,186.15,185.8,185.2,184.6,182.55,181.9,181.45,182.6,182.55,182.8,180.75,179.55,178.15,177.25,176.65,176.55,176.2,176.1,176.05,174.1,172,169.7,168.15,168.2,168.2,168.05,168,166.6,167.1,166.8,165.95,164.65,163,161.75,161.35,161.45,161.45,161.45,161.95,161.9,161.05,160.6,159.6,158,158.1,158.35,158.6,158.5,158.2,158.5,159.05,159.4,159.6,159.3,159.35,159.35,159.25,159.35,158.8,158.6,158.75,158.9,158.65,158.7,158.55,159,159.05,159.4,159.25,159.5,159.05,159.1,159.1,159.45,159.3,159.2,159.1,158.8,158.95,159.1,158.8,158.7,158.8,158.8,158.75,158.25,158.05,157.85,157.65,157.25,157.1,157.2,157.65,157.8,158.1,158.5,158.75,159.3,159.25,159.55,159.6,159.85,159.9,159.8,159.7,159.4,159.35,159.05,159,158.85,158.8,158.2,157.75,157.55,157.5,157.9,158.9,158.55,158.45,158.25,158.15,157.55,157.3,157,156.85,156.85,156.55,156.5,156.3,156.15,156.05,156.35,156.4,156.35,156.6,156.35,147.45,139.6,131.85,124,116.3,108.75,101.05,93.65,85.95,Corn
6,165.1,182.75,200.55,218.2,235.85,253.4,270.75,288.5,307.25,326.05,344.85,355.1,357.2,358.15,359.15,360.55,361.9,362.45,361.95,363.7,365,366.95,368.6,370.05,371.65,373.65,376.15,378.4,380.15,381.45,383.05,385.45,387.6,389.85,392.3,393.8,395.6,397.45,399.8,400.45,401.5,402.4,403.45,404.55,405.85,406.8,407.4,407.85,407.35,407.4,407.2,406.7,406.2,406.15,405.35,404.3,403.2,401.3,398.15,395.1,391.75,388.5,385.3,382.2,378.85,375.45,371.95,368.05,363.6,358.45,355.05,350.3,345.7,341.05,336.6,331.35,327.9,324.05,320.55,317,312.6,308.25,304.95,301.5,298.2,295.2,292.2,289.55,286.15,282.4,278.2,274.35,270.9,267.3,264.8,264.05,261.85,259.1,255.9,252.95,250.75,248.5,245.35,242.5,240.8,239.15,238.45,235.65,234.15,233.9,231.95,230.75,229.7,228.65,227.1,224.6,223.4,224.1,223.6,222.1,222.1,220.9,219.1,218.5,216.55,215.55,213.4,214.2,213.2,211.15,209.75,208.75,206.15,204.4,202.25,200.95,200,199.35,198.75,198.15,195.95,194.6,193.7,191.8,191.6,190.55,190.4,189.1,189.45,188.9,187.85,187.25,187,185.85,186.25,187.1,186.45,185.3,184.8,183.9,183.25,183,184.05,183.85,181.85,180.45,178.7,177.3,176.55,176.3,175.9,175.4,177.95,179.3,179.3,178.55,177.6,176.55,176.5,176.6,176.7,176.25,174.9,174.7,174.65,173.45,172.05,170.6,169.05,168.65,168.6,168.7,166.15,164.7,163.05,161.5,159.8,158.4,157.05,157.2,157,157.65,157.55,157.55,157.3,157.6,158,158.4,158.9,158.95,159.1,159.1,159.15,159.4,159.2,159.2,159.25,158.95,159.4,159.15,160.05,160.35,160.85,161.45,161.9,162.25,162.4,162.35,162.2,162.2,162.2,162.3,162.3,162.15,162.15,162.05,162.2,162.25,161.95,161.8,160.85,160.4,160,159.55,159.25,158.8,158.4,158.1,157.9,158,158.25,158.1,158.4,158.5,158.9,158.85,158.95,158.7,158.65,158.6,158.75,158.6,158.55,158.4,158.05,157.9,157.8,157.75,157.95,157.95,158.25,158.25,157.95,157.85,157.55,157.2,156.8,156.85,156.5,156.35,156.1,156.3,155.95,155.7,155.85,155.8,156.1,156.3,156.4,156.25,155.65,147.8,139.9,132.05,124.2,116.65,108.9,101.2,93.6,86,Corn
7,166.35,184.35,202.45,220.05,237.6,254.95,272.5,291.1,309.1,328.15,346.05,356.7,357.8,358.85,359.85,361,361.95,362.25,362.05,363.8,364.55,366.2,367,368.25,370,372.4,374.9,376.4,378.5,379.8,382.25,384.75,386.9,389.05,391.65,393.55,395.65,397.65,399.75,400.4,401.35,402.55,404.25,405.7,406.8,407.35,407.65,407.65,407.45,407.15,406.75,405.8,405.6,405.6,404.35,403.15,401.65,399.6,396.6,393.35,390.4,386.75,383.4,380.15,376.95,373.8,369.85,365.5,361,355.95,352.35,349.5,344.7,340.95,337,333.5,329.35,325.45,321.8,318.3,314.45,310.4,307.1,303.75,300.65,297.9,295.05,292.95,289.75,286.05,282.25,276.6,273.55,268.6,266.15,264.55,263.45,260.9,258.05,255,252.2,249.65,246.75,243.75,242.05,239.95,237.05,236.2,234.85,234,231.45,229.6,227.1,225.6,223.4,220.8,219.4,219.75,219.1,217.9,217.85,216.9,215.05,214.15,212.2,211.35,212.1,211,209.8,208.3,206.4,205.15,203.85,203.35,202.05,199.75,195.45,194.15,193,191.5,189,187.95,187.15,185.6,183.15,181.75,181,180.15,180,180.2,180.6,180.2,180.3,178.8,179.55,181.05,183.55,182.9,182.2,181.8,181.6,180.95,181.75,181.55,181.7,180.2,178.45,178.2,177.85,176.7,176.25,176.4,176.25,176.45,175.05,173.7,172.15,171.1,170.7,171.05,170.95,170.65,169.3,169.1,168.75,168.7,167.65,164.9,163.5,163.35,163.05,163,163.15,163.1,162.5,161.25,160.6,159.25,159.25,159,159.35,159.55,160.6,161.35,161.5,161.85,162,163.3,164.45,164.4,164.75,164.85,164.6,164.3,163.95,164.6,164.6,164.8,165,165.15,165.35,165.95,165.2,165,165.15,164.55,164.3,163,161.85,161.9,161.7,161.55,161.55,161.65,161.85,161.1,160.7,160.5,159.95,159.7,159.1,158.75,158.55,158,157.65,157.3,157.4,157.6,157.8,157.7,157.95,158,158.15,158.1,158.15,158.3,158.65,158.5,158.3,158.4,158.2,157.8,157.6,157.5,157.65,157.45,157.5,157.2,157.15,157.1,157.05,157.1,156.95,156.95,156.6,156.25,155.7,155.65,156,155.7,155.65,155.5,155.35,155.15,154.85,155.3,155.15,155.45,155.5,155.85,156,148.1,140.2,132.5,124.6,116.95,109.25,101.5,93.55,86,Corn
8,165.8,184,202.2,220,238,256.05,273.35,291.2,310.15,328.9,348.05,358.5,359.8,360.75,361.85,363.15,364.6,365.1,364.7,366.65,367.3,368.4,369.1,370.15,371.9,374.05,376.75,379.2,380.55,382.35,383.35,385.1,387.35,389.75,392.4,394.95,397.4,399.3,401.65,402.8,404.8,406.3,407.9,409.35,409.85,410.05,410.4,410.05,409.9,409.55,409.2,408.75,408.05,408,407.35,405.95,404.35,402.3,399.05,395.15,391.2,387.6,384.45,380.95,377.9,374.6,371.05,367.5,363.6,358.5,354,348.75,344.15,339.55,335.35,331.65,326.8,322.9,319.55,316.15,312.3,308.25,304.6,301.5,297.95,295.3,291.8,289.4,285.9,282.45,280.4,277.35,274.4,270.7,267.3,265.55,265.4,263.05,260.9,259.8,256.95,254.8,251.9,249.1,247.6,245.45,245.65,245.35,243.8,242.9,239.7,238.3,235.75,234.55,232.8,229.85,227.95,228.15,226.55,223.6,223.65,222.55,220.95,219.75,218,217.25,215.6,213.3,212.45,211.5,210.4,209.3,209.4,209.45,208.9,206.85,206.2,204.95,204.1,202.75,200.05,198.5,197.85,196.45,196.9,195.75,194.4,193.55,192.7,191.25,190.55,189.95,188.35,185.6,185.1,186.35,185.05,184.55,184.25,183.85,183.6,183.25,183.45,183.25,180.9,179.75,177.35,175.7,175.15,174.65,174.2,173.9,173.8,174,173.15,172.5,171.55,170.65,169.5,169.25,169.35,168.9,168.15,167.9,167.9,166.85,166.6,165.5,164.4,164.4,164.45,164.45,164.5,164.5,163.4,162.25,160.9,159.15,159.05,158.95,159.15,159.45,159.25,160,159.45,160.05,160.45,160.7,160.95,160.8,160.75,160.75,160.55,160.35,160.4,159.9,159.75,159.8,159.8,160.15,160.15,160.45,160.8,160.5,160.55,160.05,159.85,160.7,160.25,160.45,160.35,159.9,159.9,159.45,159.35,159.5,159.5,159.35,159.25,159.1,158.8,158.35,158.15,157.7,157.65,157.3,157.15,156.2,156.4,156.7,156.8,157.7,157.85,158.45,158.3,158.55,158.45,158.6,158.25,158,157.8,157.8,157.7,157.55,157.35,157.2,157.15,157,156.95,156.55,157.65,157.3,157.25,157,157.25,156.7,156.45,156.1,156.1,156.25,156.4,156.55,156.5,156.55,156.35,156.6,156.45,156.7,156.85,156.8,156,148.05,140.25,132.4,124.55,116.85,109.25,101.7,94.1,86.3,Corn
9,164.3,182.5,200.55,218.15,236.2,253.9,271.45,289.6,308.65,327.8,346.85,357.65,358.8,359.45,360.55,361.95,362.95,364.05,364.15,366.6,368.3,369.35,370.25,371.4,372.5,374.5,377.25,379.1,380.15,381.45,382.6,384.45,386.95,389.35,391.55,393.55,395.7,397.45,399.75,400.55,401.6,402.85,404.5,406.05,407.2,408.45,408.65,408.6,408.55,408.2,408.25,407.5,407,407.1,407,406.05,404.65,402.2,398.95,395.45,392.1,388.9,385.65,381.9,378.35,373.85,370.35,366.95,362.45,357.5,354.25,350.3,345.3,340.75,336.1,332.15,327.8,324.6,320.9,317.05,313.45,309.6,305.65,302.75,300.1,298.35,294.65,292.05,289.05,285.2,282,278.95,276.25,272.6,270.15,266.1,264.75,261.55,259.8,257.15,254.2,251.5,249.2,246.55,244.3,241.7,241.75,241.35,240,239.45,235.6,232.5,230.35,228.6,226.6,226.65,226.05,227.3,226.15,225.7,226.4,225.55,223.6,222.7,221.2,221,219,216.65,214.95,214.65,214.55,214.1,212.5,211.95,210.5,209.55,207.05,205.1,203.2,200.7,197.4,196.55,195.8,193.95,193.25,191.55,191.05,190.1,189.75,187.55,186,185.25,184.75,183.15,183.35,182.9,183.15,182.45,182.6,182.85,183.25,182.15,184.4,186,184.95,183.3,181.6,180.7,180.8,180.75,180.3,180,179.9,180,179.55,179,177.8,176.55,175.5,174.95,174.15,173.5,170.65,169.05,168.4,167.45,166.05,164.4,162.85,162.3,162.25,162.2,162.05,161.9,160.8,159.95,158.6,157.35,157.1,157.45,157.35,158.2,158.25,157.95,157.75,158.15,158.7,159,159.4,159.6,159.65,159.6,159.75,159.75,159.25,158.6,158.6,158.5,158.55,158.35,158.95,159.05,159.3,160.55,161.1,161.2,161.1,161.15,161.1,161.1,161.05,161,161,160.7,160.9,160.65,160.65,160.6,160.55,160.75,160.3,159.95,159.65,158.5,158.05,157.8,157.45,157.4,157.3,157.55,157.6,157.95,158.1,158.7,158.4,158.35,158.3,158.1,157.9,157.65,157.65,157.35,157.45,156.95,156.9,156.55,156.65,156.35,156.25,155.95,156.5,156.3,156.2,155.75,156.05,156.4,155.95,155.95,155.9,155.95,155.6,155.65,155.2,155.5,155.4,155.75,155.85,156.55,156.75,156.85,156.4,148.5,140.65,132.9,125,116.95,109.4,101.75,94.15,86.35,Corn
