,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,Fruits
0,173.1,192.75,212.5,231.55,250.75,269.85,289,308.25,328.25,347.15,365.7,376.75,380,380.9,381.7,382.05,382.65,381.9,379.75,380.4,380.75,380.15,379.75,379.8,380.4,381.4,382.65,384.3,385.5,388.05,390.2,392.8,394.15,397.1,400.05,403.35,407.2,410.85,416.3,419.85,423.15,427.3,431.55,435.75,439.05,443,446.75,450.5,453.9,458.05,462,466.75,471.7,476.4,480.9,484.9,488.2,491.1,493.1,494.5,496.1,497.95,499.65,501.1,502.1,501.55,501.25,499.45,497,493.45,491.45,487.2,483.35,478.2,473.65,468.55,463.35,458.5,452.05,445.2,437.9,430.5,423.3,416.55,410.35,404.6,397.4,391.5,385.05,377.5,371.75,365.15,358.25,352.4,347.15,342.5,338.8,333.1,328.3,322.65,317.15,311.55,306.6,302.55,299.2,293.8,290.15,287.45,284.2,281.25,275.4,271.4,267.65,264,260.9,257.6,254.65,253.6,250.35,248.25,248.15,246.7,244.15,241.3,237.95,238.1,238.05,237.55,236.15,234.65,234.35,232.85,231,230.55,228.6,226.65,225.4,222.85,222.05,220.8,217.2,214.65,213.1,211.1,210.2,208.65,206.85,204.55,203.6,202.75,200.4,199.4,198.65,195.85,195.7,196.05,194.45,192.4,190.3,188.7,188.1,188,188.7,188.8,187.15,185.35,183.55,182.05,181.8,180.75,182.9,183.95,185,185.1,183.7,182.45,181.5,182.2,182.5,182.7,182.8,182.2,180.75,180.05,179.95,179.25,178.05,175.8,173.75,173.5,170.7,169.1,167.7,167.75,166.4,164.55,162.95,161.25,160.6,160.85,160.75,161.1,160.55,160.3,159.95,159.65,160.05,160.15,161.3,161.1,161.2,161.25,160.85,160.6,160.35,160.25,160.2,160.2,160.45,160.45,161.05,161.5,161.9,162,161.95,162.2,161.65,161.85,160.75,160.8,160.5,160.3,160.5,160.65,161,161.05,161.4,161,160.95,160.7,160.15,159.9,159.75,159.4,159.15,159,159.25,159.35,159.35,159.9,160.15,160.45,160.35,160.55,160.25,160.05,158.95,158.75,158.7,158.6,158.25,158.05,157.8,157.55,157.25,157.05,158,157.85,157.8,157.45,157.85,157.65,157.65,157.4,157.45,157.4,157.45,157.7,157.6,157.4,157.4,157.3,157.25,157.2,157.15,156.85,155.45,155.05,155.1,155.05,154.65,146.8,138.95,130.95,123.15,115.45,107.9,100.05,92.35,84.75,Date
1,173.2,192.6,212.4,231.9,251.05,270.5,290.2,309.6,329.85,349.6,368.6,379.75,381.9,382.45,383.2,383.95,384.1,382.7,380.9,382.2,382.55,382.25,381.6,381.35,382.55,383.85,384.3,385.35,386.35,388.3,390.5,392.9,395.85,398.6,401.95,405.75,410.15,413.9,418.2,421.15,424.3,428.1,432.05,435.9,439.2,442.75,446.65,450.85,454.45,458.35,461.9,466.4,470.95,475.5,479.45,482.65,485.8,488.85,491.15,492.7,494.7,496.8,498.5,499.95,500.2,499.65,499.5,497.3,494.7,492.3,490.45,486.75,482.8,478.3,473.75,469.1,463.6,457.95,452.4,446.05,438.6,431,424.7,418.4,412.8,406.95,400.1,394.75,388.15,379.9,373.55,366.2,359.4,353.7,348.45,344.15,340.7,335.15,329.2,323.8,318.85,314.2,309.55,305.3,299.8,295.6,293,288.45,284.2,280.6,275,271.45,269.4,265.5,261.95,258.1,255.05,254.5,252.6,249.95,249.45,247.3,244.05,241.35,239.35,238,236.75,238.15,238.8,237.85,237.7,236.2,232.55,230.35,230,228.05,225.5,223.85,222.65,221.4,217.8,216.1,214.8,212.85,213.2,212.3,210.25,208.15,205.75,204.5,202.6,201.4,200.8,199.55,198.45,198.9,199.1,197.45,196.1,194.75,194.25,193.1,191.85,191,188.45,185.95,182.85,180.2,180.9,181,180.25,179.9,179.2,179.3,177.7,177.2,176.45,176.85,176.95,177.1,176.95,176.55,176.75,176.2,175.85,175,175.2,173.95,171.35,169.85,169.5,169.55,169.65,169.65,168.4,165.9,163.65,160.7,159.75,159.4,160.4,161.2,160.7,161.05,161.15,161.55,162.4,163.65,165.1,165.25,165.4,165.55,165.35,165.15,165,165.6,165.6,166,165.75,166,165.75,165.95,166.6,166.65,166.4,166.3,165,163.6,162.35,162.25,162.1,161.8,161.65,161.6,161.75,160.7,160.3,159.95,159.65,159.65,159.1,158.65,158.35,158.05,158.2,157.85,158.1,158.4,158.35,158.95,158.9,159.25,159.5,160.05,159.85,160.5,160.6,160.5,160.35,160,159.65,159.35,159.05,158.6,158.55,158.1,157.95,157.75,157.75,157.25,157.85,157.4,157.3,156.8,156.8,156.15,155.9,155.8,156,156.05,155.9,155.9,155.65,155.75,155.2,155.75,155.9,155.85,156.1,156,155.5,147.75,139.95,132.1,124.3,116.65,109.05,101.35,93.5,85.85,Date
2,172.65,191.7,211.25,230.8,250.15,269.5,288.15,307.8,328.2,347.8,367.5,378.45,380.55,381.3,382.2,382.75,383.8,382.6,380.45,381.05,381.45,382,381.8,381.7,382.4,383.4,385.2,385.9,387.15,389.25,390.55,393.25,395.75,399.45,403.2,407.15,411,414.9,419.7,423.2,427.25,431,434.55,438.2,441.9,445.95,449.45,453.75,456.95,460.5,464.35,468.75,473.85,477.45,481.05,484.25,487.1,489.85,491.75,493.55,494.65,496.25,498.05,498.7,498.9,497.8,497.05,494.65,493.1,489.85,487.35,483.35,479.2,475.6,470.65,466.05,460.45,455.55,449.6,442.55,435.05,427.95,421.35,415.45,409.5,403.95,397.9,392.25,384.4,376.95,370.65,363.6,356.8,350.2,344.95,340.2,336.35,331.2,326.2,320.95,315.95,310.45,305.55,301.2,297.35,293.45,291.05,289.55,286.55,283.5,279.15,275.45,271.85,267.8,264.95,262.15,259.85,258.3,255.1,252.75,252.55,250.8,248.1,245.95,243,241.7,239.85,238.4,237.7,238.55,238.85,237.95,236.3,236.25,234.6,232.05,230.35,229,228.5,227.4,224.1,222.65,221.7,219.35,219.25,217.85,216,213.9,211.95,208.85,205.95,205.05,203.85,201.1,200.55,200.75,199.45,197.65,196.55,195.65,194.5,193.4,191.75,192.95,191.15,188.25,186.55,185.45,186.45,186.6,185.9,184.7,183.8,183.75,182.7,182.05,182.1,182.1,182.1,181.75,181.85,181.3,181.65,179.9,178.75,179,177.65,175,171.85,170.2,169.65,169.55,170.15,170.5,168.75,166.7,163.7,161.05,159.35,159.3,159.2,159.75,159.3,159.15,159.3,159.35,159.45,160.45,161.5,161.6,161.55,161.75,161.5,161.05,161.15,161.35,161.85,162.05,162.55,162.65,163.2,163.55,164.1,164.2,163.9,164.1,164.35,163.4,163.6,163.25,163.3,163.2,163.35,163.2,163.25,162.65,162.3,162,161.8,161.55,161.25,160.85,160.85,160.4,160.35,159.6,159.35,159.5,158.85,159.6,159.5,159.35,159.15,159.4,159.35,159.8,159.7,161.05,161.25,161.95,161.7,161.45,161,160.8,161.5,161.25,161.2,161.1,160.7,160.25,161.8,162.4,162.45,162.35,162.5,162.2,162.1,160.8,160.4,159.7,159.65,159.5,159.2,158.95,158.15,158.3,158.1,158.25,158.2,158.7,157.45,149.15,141.3,133.35,125.45,117.55,109.85,101.9,94.15,86.25,Date
3,172.55,191.7,210.95,230.2,249.3,268.4,287.1,306.8,327.4,347.15,367.4,378.55,380.65,381.15,381.75,382.25,382.8,383.15,382.1,382.65,383.2,384,384.4,384.8,385.5,386.35,388.15,388.85,389.6,390.55,391.15,393.4,396.2,399.2,402.25,406,410.35,413.9,418.7,422.1,425.4,428.75,432,435.8,439.45,443.45,447.35,451.55,454.95,459.6,463.65,468.25,473.15,477.45,481.65,485.05,487.85,490.4,492.25,493.7,495.45,497,498.2,498.65,499.15,499.05,498.2,496.5,494.4,491,489.15,485,480.75,476.95,472.5,467.9,462.25,457.5,451.5,444.8,437.25,430.05,424.4,418.5,412.85,406.75,400.4,394.65,387.7,380.65,374.4,367.6,361.3,353.7,347.9,343.1,337.35,330.7,325.2,320.7,316.35,310.9,305.55,301.6,297.6,294.3,291.95,289.65,286.7,283.85,278.05,274.15,270.45,269.7,268.2,265.95,265.6,265.3,262.8,259.7,258.35,256.9,254.55,251.8,248.7,244.95,241.05,238.9,236.85,236.05,235.4,234.4,232.25,229.5,226.5,223.75,222.4,221.3,220.5,219.1,216.45,215.2,213.8,211.55,210.95,211.55,211.6,210.55,209.55,207.4,206.05,205,203.85,201.45,201.55,201.35,199.8,198.15,198.25,198.15,197.2,195.6,196.15,196.85,195.4,193.4,191.6,189.35,189.2,188.3,187.25,185.95,185.45,185.3,184.05,183.15,182.45,182.05,181.05,180.4,179.9,179.95,178.55,177.4,176.75,176.6,176.6,175.2,173.4,172.9,174.35,174.95,175,174.85,173.8,172.15,170.75,168.45,166.65,166.25,166.35,166.5,165.65,165.55,166.25,166.35,166.3,167.6,168.95,169,167.4,166.7,166.6,166.8,166.15,165.75,164.95,164.95,164.9,164.9,165.5,165.7,166.5,166.45,165.4,164.55,163.4,162.15,160.75,160.75,160.85,161,161.05,160.9,160.95,161.05,161.2,161.05,161.4,161.15,160.5,160.1,159.9,159.65,159.7,159.25,159.5,159.35,159.9,160.4,160.25,160.6,160.8,162,163.25,163.1,162.8,162.4,162.15,162.05,161.7,161.5,161.05,160.3,159.7,159.3,158.9,158.9,159.1,158.6,159.7,159.6,159.4,158.1,156.7,156.45,156.4,156.25,156.1,155.95,156.25,156.15,156.05,156.3,156.35,157.05,157.25,157.25,156.65,157,156.45,148.55,140.7,132.9,125.1,117.5,109.75,102.2,94.55,86.85,Date
4,177.1,196.85,216.2,235.65,254.8,273.9,292.75,312.35,332.55,352.75,373,384.15,385.7,386.45,389.05,390.2,389.05,387.7,385.65,386.45,386.5,386.05,385.9,385.7,386.3,388,389.8,390.6,391.75,393.7,394.5,396.95,399.15,401.95,403.3,406.6,410.75,414.15,418.8,421.75,425.85,429.75,433.65,437.8,441.3,444.7,448.1,452.35,455.65,459.05,463.25,468.05,473.6,478.2,482.5,485.8,488.75,492.25,494.45,496.5,497.7,499.65,501.15,501.9,502.65,501.9,501.8,500.55,498,494.55,491.8,488.35,484.4,480.4,476.05,471.55,466.6,461.1,455,448.2,441.1,433.4,426.9,420.55,414.95,409.25,402.15,395.85,389.9,384.75,379.05,371.15,365.1,358.9,353.45,348.6,344.75,338.8,333.2,327.45,321.85,316.7,312.5,308.55,304.6,301.35,299.4,297.1,293.75,288.25,282.2,278.45,273.8,269.7,267.15,265.05,262.7,262.35,260.3,258.2,259.6,259.55,257.6,254.6,250.65,249.4,248.4,247.65,246.9,246.25,246.1,244.5,242.4,241.7,239.3,236.6,234.8,233.75,232.65,231.3,226.5,223.95,222.7,222.2,223.4,220.7,219.2,216.6,214.3,212.65,211.4,211.15,210.9,208.9,205.9,205,203.55,201.75,200.5,199.65,198.45,196.55,195.65,193.8,190.7,189.45,187,185.55,185.65,184.9,183.35,182,180.8,180.3,181.65,182.35,181.65,180.85,180.85,180.5,180.7,180.65,179.25,179.3,178.85,177.9,175.85,173.8,173.65,173.1,172.85,172.8,173.05,173.35,172.35,169.25,168,165.25,164.05,163.75,163.85,163.9,163.45,163.75,164.75,165.9,167.2,168.45,167.75,167.55,168.05,167.95,167.65,166.85,166.15,166.4,165.55,165.35,166.25,166.15,166.5,167.2,167.5,166.8,165.8,164.55,163.65,162.1,160.7,160.9,160.7,160.7,160.6,160.55,160.65,160.45,160.05,160.4,159.25,159.5,158.9,158.4,158.1,158.05,158.15,158.1,157.7,158.1,158.45,158.4,158.7,159.25,159.65,159.85,160.4,160.1,160.45,160.35,160.05,159.9,159.45,159.15,159,158.8,158.05,157.45,157.25,157.15,157.05,157,157.8,157.45,156.95,157.05,156.6,156.5,155.85,155.6,155.5,155.15,155.3,155.25,155.6,155.55,155.95,156.2,156.35,156.5,156.45,156.6,155.75,147.85,140.2,132.35,124.55,116.95,109.4,101.8,94.3,86.8,Date
5,176.05,195.95,215.4,235,254.9,274.45,293.35,313,333.35,352.95,373.1,384.7,386.85,386.4,385.9,386.6,388.05,387.9,386.95,388.4,388.55,387.85,388.1,388.15,388.15,388.9,390.8,391.65,392.7,394.8,395.6,397.2,399.85,403.15,406.7,410.4,413.25,416.05,419.35,422.4,425.7,429.85,433.2,436.7,440.1,443.8,447.35,451.7,455.65,459.6,463.8,468.85,474.05,478.65,482.75,486.15,490.25,493.1,495.9,498.15,500.1,501.9,503.65,504.55,505.2,504.7,503.85,501.95,499.4,495.55,492.7,488.35,483.65,479.8,475,470.2,464.2,458.55,452.25,445.25,438,430.55,424.05,417.8,411.8,405.35,399.65,393.7,387.2,380.55,374.8,368.05,361.75,355.5,349.2,344.75,341,335.7,330.5,325.2,320.7,315.8,311.3,307.25,303.65,300.8,297.9,295.7,292.2,289.25,283.8,279.85,275.6,272.35,271.2,268.25,264.85,262.75,259.3,258.1,256.9,254.8,253.1,250.5,248.3,247.95,247.2,246,244.8,243,242.8,242.35,241.8,240.3,237.75,235.55,235.05,235,234.9,232.2,229.15,227.5,224.5,222.5,221.45,218.95,216.65,214.1,212.25,211.2,210.1,209,209.6,208.5,208.05,207.75,206.05,204.35,204.15,204.05,203,201.85,202.6,202.6,200.1,197.85,195.3,193.65,193.3,192.1,190.2,188.7,186.8,185.15,183.95,182.7,181.8,181.4,180.25,179.05,178.8,178.5,176.3,175.8,174.85,174.25,173.2,171.6,169.95,169.6,169.35,169.35,168.25,168.25,166.75,165.2,163.1,160.65,159.2,159.1,159.15,159.6,159.65,160.05,161.6,162,162.55,163.55,164.6,164.55,164.7,164.7,164.5,164.55,164.35,164.25,164.4,164.35,164.65,164.75,165.3,165.65,166.05,165.05,164.2,163.65,163.05,161.95,160.75,160.9,160.85,160.8,160.45,160.1,160.1,159.85,159.5,159.4,159.05,158.75,158.1,157.65,157.45,157.65,157.1,156.6,157.4,158.3,158.85,158.85,159.05,159.2,159.45,160.05,159.85,160.3,160.3,160.05,159.85,159.65,159.6,159.05,158.95,158.4,158.45,158.35,157.15,156.45,156.15,156.05,156.6,156.45,156.55,156.05,156.2,155.5,155.3,155.2,155.4,155.45,155.4,155.5,155.35,155.1,154.8,154.95,154.95,155.1,155,155.1,154.7,146.85,139,131.15,123.35,115.9,108.25,100.7,92.95,85.35,Date
6,175.55,195.25,214.5,233.95,253.45,272.5,291.6,311.15,331.75,351.45,371.45,382.8,384.35,384.85,385.5,386.05,386.4,385.8,385.4,386.7,387.35,387.8,388.8,389.4,390.05,391.35,392.55,392.75,393.5,395.35,396.45,398.65,401.3,404.25,407.9,411.7,415.95,418.6,421.35,423.85,426.65,429.6,432.25,435.5,438.85,442.3,446.2,451.85,455.25,458.6,463.15,468.35,473.15,477.8,481.1,484.5,487.15,490.2,492.5,495.1,496.8,498.85,500.75,501.5,501.55,501.65,501.25,498.25,496.15,493.45,490.75,485.3,481.1,476.75,472.65,468,462.75,458.25,452.65,446.05,439.15,431.85,426,420.15,414.1,408.6,402.4,396.25,389.35,382.05,375.35,369.2,362.6,356.05,350.75,346,342.3,335.85,330.45,325.35,320.25,314.5,308.7,304.05,300.45,295.85,292.95,291.05,287.9,284.9,279.65,275.85,271.95,267.9,265.85,263.25,257.75,256.7,253.45,250.05,249.1,247.8,245.1,242.9,240.15,238.75,234.55,232.75,230.75,229.5,229.2,228.1,226.25,226.15,223.15,220.4,222.1,220.9,220.5,219.3,216,214.25,213.35,211.25,211.05,209.75,208.35,206.4,205.75,204.05,202.35,201.4,200.7,198.25,198.2,198.75,197,196.1,195.5,194.85,194.15,192.85,193,192.9,190.8,189.65,190.25,189.65,189.15,188.3,187.05,186,185.25,184.85,183.45,182.65,182,180.55,181.3,181.65,182.8,183.05,181.9,181.75,181.45,180.6,179.3,177.2,175.45,175.15,175.3,175.35,176.1,176.35,175.05,172.7,171.1,169.1,166.6,165.45,164.35,164.3,163.45,163,163.5,163.45,164.3,165.5,166.7,167.2,167.55,167.4,166.75,166.4,165.8,165.6,165.25,165.3,164.9,164.95,165.25,165.65,166.1,165.7,165.05,164.55,163.4,162.05,160.65,160.25,159.6,159.75,159.5,159.4,159.7,159.65,159.35,159.25,159.35,159.35,158.95,158.5,159.7,160.45,159.95,159.35,159.15,159.3,159.85,160.2,160.35,160.55,160.5,161.05,161.05,161.4,161.4,161.45,161.35,161.1,160.85,160.6,158.85,157.55,157.55,157.1,157.05,156.5,156.2,155.75,156.35,156.1,156.2,156.25,156.25,155.8,155.55,155.4,155.35,155.35,155.25,155.3,155.2,155.25,155.2,155.5,155.8,156.25,156,155.95,155.4,147.55,139.8,131.5,123.6,115.8,108.15,100.4,92.7,85.05,Date
7,178.1,197.85,217.65,237.05,256.75,275.65,294.75,315.1,335.6,355.6,375.75,387.45,388.8,389.25,390.65,391.05,391.1,390.3,388.5,388.75,388.4,388.55,388.75,389.45,389.7,391.45,392.5,392.6,393.65,395.25,396.5,398.45,401.15,404.45,406.8,410.4,414.05,417.6,422.2,425.9,428.7,432.25,435.5,438.7,441.9,445.15,449.5,453.55,456.8,460.2,463.6,468.35,473.25,477.4,481.3,484.55,488,490.7,492.8,494.45,496.75,498.15,499.5,500.3,501.05,500.7,499.9,498.15,496.1,493.15,490.95,486.55,481.9,477.45,472.7,467.85,462.45,457.2,452,445.2,437.6,430.25,423.95,417.8,412.3,406.55,400.05,393.9,386.55,379.1,373.3,366.55,360.7,354.45,348.8,343.85,339.65,333.4,326.95,321.65,316.45,311.1,305.95,301.5,297.3,293.6,291.1,289.2,286.2,285.25,280.9,276.85,273.55,269.9,267.05,264.35,262.1,262.45,261.1,258.7,258.15,256.8,256.25,254.75,252.1,250.45,248.9,248.25,247.8,244.8,242.2,240.8,237.95,237.3,235.35,233.05,230.85,229,227.1,225.7,222.7,220.6,219.05,216.7,216.05,214.75,213.05,210.75,208.6,207.5,206.75,205.85,205.1,202.6,202.85,203.4,202.6,200.8,199.6,198.7,197.55,196.7,196.05,195.75,193.95,192.1,189.95,187.55,187.5,186.05,184.9,184.25,183.55,183.45,180.45,178.45,176.2,174.8,173.75,173.15,173.15,173.1,170.55,169.55,168.95,167.9,166.9,165.1,163.1,162.8,162.6,162.95,163.1,163,163.4,162,161.85,160.3,160.15,160.15,160.1,160.15,160.05,160.85,161.55,161.25,160.9,161.6,162.1,162.25,162.1,161.55,161.5,161.5,161,160.9,160.65,160.75,161,161.05,161.6,162.1,162.6,161.6,160.65,160.75,160.95,160.75,160.25,160,160.2,160.3,160.25,160.25,160.35,160.25,159.85,159.6,159.25,159.25,158.8,158.3,157.85,157.45,157.25,157.2,157,156.85,157.15,157.8,157.8,158.25,158.2,158.3,158.25,158.4,158.45,158.7,158.35,157.95,157.65,157.05,156.75,156.35,156.1,155.6,155.5,155.2,155,154.5,154.4,154.3,154.1,153.95,153.7,153.45,153.25,153.1,153.3,153.25,153.35,153.8,154.1,154.6,154.45,154.95,154.75,155.1,154.95,154.9,155.1,146.95,139.3,131.4,123.85,116.1,108.55,100.85,93.1,85.7,Date
8,174.85,194.05,213.3,232.75,251.8,270.6,289.65,309.55,329.95,349.4,368.85,380.15,383.9,385.15,384.85,385.5,385.9,385.5,383.55,383.85,383.9,384.6,384.7,384.7,385.85,387,388.25,388.5,389.5,391.75,392.95,395.05,395.75,399.2,402.5,406.35,410.8,414.4,419.1,422.5,425.85,428.95,432.9,436.7,440.15,444.25,448.3,452.7,456.05,459.5,464,468.65,473.5,477.2,481.05,484.25,487.15,489.45,491.3,492.9,494.8,496.8,498,498.8,499.05,498.5,498.1,496.35,494,490.5,487.3,483.25,479.35,474.1,469.5,464.9,459.55,454.7,448.8,442.15,434.45,427.15,420.7,416.05,411.05,405.6,398.4,391.85,385.05,378.25,372.4,365.55,358.9,353.7,348.4,343.2,339.55,333.4,328.3,323.05,318.1,312.4,307.8,302.3,297.75,291.9,287.85,285.95,281.85,278.55,273.35,269.4,265.55,261.85,258.8,255.6,252.7,252.7,250.6,247.95,247.45,246.2,243.1,240.65,237.55,236.3,236.1,234.1,233.3,232.05,231.95,230.75,229.05,227.65,226,224.2,222.3,219.3,217.55,216.2,214.35,213.1,212.15,209.9,208.95,208.65,207.45,206.75,205.5,204.2,202.4,201.05,200.1,198.5,198.6,198.75,197.45,197.2,196.1,194.85,192.4,190.75,190.75,190.25,188.45,187.15,185.8,184.15,184.55,183.6,185.15,186.4,185.95,185.45,183.2,181.55,180.65,179.55,178.4,178.35,178.4,178.15,177.05,176.4,175.7,174.25,172.6,170.25,168.25,167.8,165,163.25,163.05,163.25,162.55,161.4,160.1,157.85,157.85,157.75,157.95,158.1,158,158.25,159,160,160.25,160.7,161.05,161.2,161.4,161.15,161.15,160.8,160.55,160.7,160.25,160.75,160.7,161.05,161.5,161.8,161.65,161.15,160.6,159.95,159.6,159.3,158.7,158.55,158.45,158.7,158.65,158.9,158.9,158.6,158.45,158.3,158,157.65,157.2,157.2,157.15,157.25,157.1,156.75,156.6,156.7,157.15,157.45,157.75,157.75,158.05,158.05,158.35,158.35,158.35,158.2,158.05,157.85,157.35,156.9,156,155.75,155.2,155.15,155.35,155.35,155.1,155,154.8,154.75,154.4,154.55,154.3,154.15,153.7,153.5,153.35,153.2,152.95,153.1,153.75,153.8,154.05,154.2,153.55,153.3,153.2,153.4,153.6,145.85,138.1,130.1,122.4,114.8,107.5,99.95,92.55,85.1,Date
9,175.45,194.95,214.15,233.6,253.15,272.5,292.35,312.8,332.25,352.15,372.35,383.7,385.65,386.15,386.75,387.15,387.85,386.85,385.3,386.1,385.9,386.1,386.3,386.25,386.35,387.2,387.5,387.5,389.35,390.95,391.5,393.55,396.2,399.25,402.6,406,409.8,413.05,416.35,419.1,422.95,426.65,430.3,434,437.65,441.75,446,450,453.45,457.4,461,465.65,470.6,475.15,479.05,482.75,486.05,488.85,491.65,493.35,494.2,495.5,496.95,497.75,497.85,496.85,495.75,494.1,492.05,489.6,487.75,483.2,478.15,473.7,469.45,464.8,459.3,454.35,448.35,441.55,434.35,427.1,420.65,414.65,409.1,403.5,396.85,389.85,382.15,373.95,367.9,361.35,355.25,349.05,343.2,338.35,334.8,328.8,323.75,318.85,313.8,310.15,305.8,301.95,297.65,293.7,291.4,290,287.45,284.15,278.55,274.75,271.65,268,265,261.55,258.55,258.15,256.25,253.75,253.5,250.4,247.55,244.65,242.1,240.65,238.7,237.4,235.5,234.7,234.35,233.05,230.75,229.6,228.95,227.45,226.15,222.45,219.35,216.6,212.65,210.45,208.7,206.8,206.75,205.25,203.8,201.9,200.65,198.95,196.85,195.05,194.1,191.9,190.65,190.7,189.6,189.85,190.1,190.2,189.95,189.25,189.45,189.35,187.25,187.2,185.65,182.4,181.8,180.75,180.15,180.2,179.65,179.55,178.4,176.75,175.4,174.3,173,172.8,172.6,172.4,171,169.9,169,166.3,164.95,164.55,163.4,163,163,162.9,162.9,163.15,161.55,160.15,158.65,156.75,157.05,157.05,157.45,157.65,157.25,157.3,157.55,158,158.15,158.8,159.4,159.65,159.8,159.55,159.6,159.2,159.05,159.2,158.55,158.95,158.65,158.95,159.15,159.3,159.9,159.75,159.55,159.15,158.95,158.5,157.95,158.2,157.6,157.05,156.8,156.85,156.9,156.5,156.9,156.65,156.5,156.1,155.85,155.7,155.5,155.5,155.5,155.3,155.25,155.4,155.7,155.75,156.4,157.45,157.65,158,157.85,158,157.65,157.4,157.2,156.8,156.7,156.65,156.55,156.15,156,155.7,155.55,155.55,155.55,155.05,155.1,154.7,154.7,154.55,154.85,154.6,154.25,154.25,154.35,154.4,154.3,154.45,154.35,154.65,154.6,155.3,155.1,155,154.65,154.7,154.7,147.05,139.25,131.4,123.5,115.85,108.5,100.95,93.3,85.95,Date
