,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,Fruits
0,179.75,198.25,216.3,234.25,253.1,272.45,292.85,316.35,339.35,361.5,385.45,402.1,409.6,415.15,419.65,425.8,430.1,430.75,433.85,435.7,439.6,442.25,444.05,445.95,447.25,447.7,447.05,444.05,442.5,440.85,436.8,430.85,424.3,418.35,412.95,405.8,400.4,396.6,393.8,390.95,388.55,386.2,385.05,384.5,384.35,385.05,386.25,385.9,385.65,388.1,390.3,394.4,398.25,402.8,408.3,414.1,420,424.7,429.25,434.05,438.6,444.3,450.2,456.55,463.35,469.95,475,482.9,491.1,497.75,505.1,512.4,520.95,529.6,537.9,547.6,557.75,568.35,579.35,589.75,601.9,613.25,624.65,635.2,645.05,655.95,669.35,680.75,692.55,705.95,716.55,728.85,740.45,752.1,762.75,770.65,777.3,782.7,789,794.05,797.4,802.05,805.65,809,810.35,809.75,805.85,801.35,793.1,781.6,771.65,759.9,750.5,738.25,723.05,711.1,697.45,684.3,666.1,648.75,632.4,616.05,599.1,582,566.7,552.35,539.35,526.4,512.4,499.1,487.5,474.75,460.15,448.5,440.1,428.8,420.55,412.2,403.05,394.2,384.2,374.9,367.45,358.3,349.2,342.75,336.2,330.45,325.6,321.25,316.05,311.85,307.65,301.85,297.35,294.35,289.9,285.5,283.6,281.15,277.85,273.85,271.2,270,267.75,262.85,259.05,254.75,251.9,247.9,244,242,238.95,236.25,233.4,230.5,226.15,223.25,219.95,217.9,215.85,213.8,211.55,210.15,209.4,208.35,207.1,204.5,202.1,200.4,198.85,195.75,195.2,195.15,193.9,192.95,194.1,192.45,191,189.75,188.85,188.2,185.65,184.5,184.15,184.05,183.85,185.25,186.7,187.55,188,188.1,186.4,184.15,181.75,179.2,177.1,176,176.15,176.7,177.85,177.85,178.55,177.3,175.55,173.35,170.9,168.4,166,164.85,164.4,164,164.3,164.3,164.4,164.05,163.3,162.95,162.5,161.6,160.35,160.05,159.55,159.8,159.5,159.65,159.8,160.05,160.65,161.15,161.25,161.15,161.3,161.5,162.2,162,161.8,161.65,161.15,161.4,160.95,160.85,160.45,159.45,158.7,157.75,157.4,156.5,155.6,155,154.8,155.35,155.05,154.95,154.25,154.25,154.1,154,154.15,153.65,153.75,153.4,153.3,153.6,153.6,154.05,154.05,154.45,154.6,154.3,154.7,146.45,138.6,130.95,123.25,115.5,107.85,100.05,92.55,85,Kiwi_Berry
1,180.7,198.95,217.15,235.3,253.9,272.65,292.6,315.6,337.8,360.4,383.5,399.5,406.95,413.45,418.9,422.65,426.35,426.4,427.75,429.05,432.85,435.8,437.7,439.35,440.8,442.5,442,439.4,438.6,437.1,433.9,429.2,423.45,417.1,410.8,405.4,400.05,396.95,396.05,394.65,391.7,389.5,389.85,389.8,389.7,389.25,390,391.25,392,393.2,394.4,397.1,400.25,404.85,411.1,416.45,421.5,426.1,431.05,435.3,440.05,445.15,448.8,453.95,460.45,467.3,473.1,479.45,486.65,493.95,502.15,509.3,517.35,527.55,534.6,543.6,554.3,564.6,575.1,586.65,598.25,609.2,620.55,631.3,641.4,652.5,665.6,677,688.75,701.7,712.7,726.25,738.55,748.05,758.5,768,776,782.75,789.05,792.9,797.65,803.15,807.8,812,814.45,814.6,810.35,806.4,799.8,789,779.1,766.15,755.1,743.25,731.3,719,705.45,689.75,671.25,653.45,636.75,618.85,601,583.6,566.75,551,538.55,525.15,509.6,496.3,484.9,473.05,459.8,448.2,437.2,426.6,417.7,410.05,402.65,394.6,385.75,378.45,371.2,363.25,357.05,350.6,345,339.6,335.15,330.7,326.15,321.35,317.05,311.05,306.75,302.7,297.85,294.45,290.55,287.15,282.25,277.85,276.3,274.05,269.8,265.95,261.45,256.85,253.65,250.2,248.25,246.15,243.75,242,239.95,236.75,234.3,231.85,229.15,227.45,226.05,224.25,220.55,218.95,217.9,216.55,214.85,211.8,208.7,205.95,201.65,198.95,197.8,196.85,195.15,194.5,194,191.7,190.55,189.4,188.6,187.3,186.75,186.35,186.6,186.7,186.75,188.15,190.75,192.15,192.1,191.95,190.25,188.05,185.55,183.05,179.55,178.4,178.5,178.7,179.4,180.5,179.75,177.85,175.5,174.2,172.4,170.25,167.05,165.6,164.9,164.3,163.95,164.5,164.3,164.35,164.45,164.15,164.25,164,162.75,161.65,161.75,161.9,162,161.05,160.3,160.25,161.2,161.65,162.05,162.7,163.05,162.9,163.15,162.8,162.8,162.6,161.6,161.4,161.4,161.25,160.45,159.55,158.45,159.05,158.9,158.55,157.85,157.3,158.4,158.25,158.25,158.3,158,157.8,157.5,157.2,157.15,156.85,156.45,156.4,156.25,156.35,156.35,154.95,154.85,154.8,154.9,155.1,154.45,146.55,138.8,130.85,123.3,115.55,108.05,100.5,92.95,85.5,Kiwi_Berry
2,179.7,198.05,216.1,234.3,254.25,273.55,293.55,316.2,338.8,360.45,383.8,399.75,407.35,413.9,419.25,423.25,426.85,427.2,429.1,430.65,434.25,437,439.25,441.05,441.15,441.85,441.75,439.4,437.95,435.95,432.3,427,421,414.3,408.25,405.35,400.9,398.1,396.55,395.3,392.7,390.5,388.9,387.9,387.7,389.65,390.3,391.7,393.1,395.7,397.3,400,403.35,408,413.35,415.85,420.25,424.05,428.45,432.95,437.4,442.6,448.1,454.55,460.65,465.65,470.85,475.35,481.75,489,497,504.8,513.15,521.3,530,539.95,550.65,561.15,572.15,583.5,594.9,606,616.65,626.3,636.5,647.6,660.9,674,686.2,699.05,709.8,722.75,735.15,746.85,756.75,766,774.05,780.8,787.3,791.5,796.35,801.65,805.75,810.7,813.35,814.1,811.55,807.6,799.5,789.25,780.15,768.3,757.5,745.9,734.1,720.95,707.2,693.35,675.6,658,641.85,624.05,607.6,590.35,573.75,557.35,543.8,531.3,517.35,503.7,492,479.35,467.5,456.15,443.25,432.7,423.7,415.5,406.3,398.05,387.6,379.55,371.9,363.55,356.8,348.05,340.85,334.4,329,324.25,318.85,314.5,308.35,301.9,299.2,294.9,290.7,286.3,283.65,279.8,276.65,272.95,270.75,268.25,264.05,261.8,256.8,252.15,250.25,246.55,242.65,239.4,236.25,234.05,231.4,228.85,225,221.75,219.7,218.9,217.5,215.25,212.75,211.45,210.8,210,209.9,207.35,204.25,202.3,200.5,198.8,198.25,197.55,196.9,196.15,195.15,192.6,192.95,191.7,190.6,189.8,187.55,186.65,186.5,186.45,186.55,188,190.15,192.25,193.25,192.95,191.65,190,186.9,184.85,183.7,183.7,181.2,180.7,181.7,183.1,184.4,183.2,181.65,179.85,177.6,174.6,171.35,169,167.7,168.75,168.55,168.65,168.8,168.6,167.8,167.6,167.2,166.75,165.65,164.9,164.2,164.25,163.3,163.65,164.2,165.25,166.75,167.55,167.9,167.25,167.45,167.55,167.8,167.4,167.6,166.9,166.8,166.95,167.3,166.5,165.9,165.05,164.9,163.4,162.35,161.6,160.35,159.55,160.05,159.75,159.6,159.45,159.1,158.7,158,157.85,157.6,157.2,155.9,155.8,155.3,155.35,155.4,155.75,155.9,155.95,156.05,156.05,155.35,147.45,139.6,131.8,124.1,116.35,108.9,101.2,93.65,86,Kiwi_Berry
3,175.45,193.1,211.2,229.3,247.8,266.65,286.35,308.9,330,351.4,374.8,391.2,398.9,405,409.6,413.75,418.1,421.55,423.35,424.8,428,431.1,432.8,434.4,435.85,436.75,436.45,434.15,434.3,431.5,426.4,420.3,413.7,407.15,401.45,396.05,390.6,387.05,386.2,385.2,382.95,381.25,380.4,379.9,379.95,380.4,381.05,382,382.9,387,390.4,393.7,397.85,402.85,408.7,414.1,419.45,424,428.6,432.6,437.45,443.8,450.75,457.5,463.8,470.6,476.15,483.2,490.2,497.05,504.7,512.7,520.6,528.3,536.25,546,556.95,567.65,578.55,590.35,602.15,611.9,621.8,631.9,642.05,653.1,666.6,677.85,690.15,703.45,714.15,727.85,740.6,753.2,764,772.8,780.8,786.55,792.85,796.5,800.35,804.9,808.8,812.5,813.7,812.8,808.75,804.7,796.6,785.75,775.7,762.1,750.5,737.5,724.5,712.25,698.15,684.6,666.25,648.85,632.5,614.45,596.35,579.1,563.85,548.9,534.25,520.15,508.2,494.95,483.55,471.7,458.5,448,437.95,427.05,417.55,408.65,399.6,391.4,381.55,374.9,367.75,359.8,352.95,346.6,342.8,338.25,331.5,326.65,321.95,318.35,314.1,307.6,302.7,299.1,295.1,290.45,288.55,285.25,281.95,277.9,275.8,273.25,269.75,265.6,260.95,256.15,252.7,249.2,245.3,241.3,238.35,235.8,232.85,229,225.75,223.8,220.3,218.4,216.85,215.3,212.8,211.3,209.8,209.05,207.95,205.15,203.2,201.9,201.7,201.2,200.45,201.2,199.95,199.95,199.65,197.85,197.75,197.15,195.9,194.9,193,191.8,190.7,189.55,189.05,190.2,191.55,191.75,190.9,189.6,188.25,185.4,183.55,181.4,179.75,179.2,178,178.3,180.05,181.25,183.05,184,184.3,185.05,183.6,181.5,178.6,177.3,176,175.5,175.5,175.45,175.1,174.3,173.5,173,172.65,172.15,170.25,168.9,167.7,165.6,164.1,161.8,161.5,161.1,162,162.55,163.1,163.45,163.65,165.55,167.2,167.9,167.3,166.65,166.45,165.6,165.1,164.65,163.55,163.1,162.6,161.9,161.3,161.2,160.3,159.65,160.7,160.8,160.5,158.55,156.85,155.75,155.35,155.1,155,154.9,155.05,154.65,154.95,155.1,154.95,155.75,156.8,158.1,158.3,158.25,157.25,149.2,141.45,133.8,126.15,118.6,111.15,103.6,96.1,88.6,Kiwi_Berry
4,180.15,198.15,216.2,234.15,252.1,270.9,290.55,313.3,335.85,357.45,381.4,398,405.3,411.45,413.2,415.95,420.05,420.8,423,425.25,428.95,431.6,433.4,435.55,439.8,441.15,441,439.05,437.75,436.75,432.4,426.8,420.5,413.95,408.25,402.95,397.2,394.4,393.65,392.25,390.95,389.65,388.25,387.2,384.95,385.05,385.95,386.9,388.3,389.95,391.85,394.5,398.6,403.35,409.1,415.15,420.9,425.4,428.1,432.55,436.8,442.05,447.75,454.1,460.2,466.85,471.95,478.95,485.4,492.75,500.4,508.45,516.5,525.1,533.9,543.05,553.9,563.85,576.4,588.45,600,610.85,622.55,632.7,643.05,654.3,667.9,677.45,688.1,700.45,711.4,724.7,737.3,748.45,757.85,766.5,773.1,778.95,784.4,787.35,791.1,795.7,799.4,802.95,803.2,801.25,797.6,794.3,786.65,776,767.15,754.7,743.4,731.5,719.15,706.55,693.1,680.05,662,647.75,632.65,615.05,599.95,584.7,571.45,557.7,544.7,532.65,520.5,507.45,494.7,481.85,467.9,456.65,446.15,436.3,427.45,418.8,412.2,402.05,391.2,383.8,373.75,364.45,357.8,351.35,345.5,339.7,335.25,330.4,325.85,322.05,321.2,315.75,311.75,307.85,304.1,300.35,295.65,291.6,288.55,284.35,283.25,280.9,275.9,271.45,266.75,261.2,257.45,254.8,250.75,247.4,241.45,238.2,234.85,231.55,228.45,224.8,222.6,220.75,219,216.95,213.45,211.8,209.25,207.75,205.1,202.05,198.95,196.85,194.85,193.15,192.55,192.65,191.85,191,189.9,188.55,187.1,186.3,184.95,184.45,182.55,181.5,182.25,182.65,183.95,186.2,188.1,188.8,189.55,189,187.3,185.3,182.6,179.55,179.35,178.95,179.4,179.25,180.5,181.35,182.25,181.8,180.45,178.6,176.35,173.7,171.05,169.6,168.9,168.9,169.1,168.95,168.95,169.05,167.9,166.6,166.3,166.6,165.5,164.9,164.6,164.15,164.15,164.1,164.35,164.15,165.6,167.1,167.05,167.25,167.7,168.3,168.25,168.45,167.15,167.3,166.75,165.9,165.7,164.7,163.9,163.15,162.25,161.55,161.05,160.85,159.35,157.95,159,158.9,158.15,157.7,157.85,157.25,156.9,156.6,156.3,156.05,157,157.3,157.4,157.5,157.35,157.45,157.3,157.4,157.5,157.3,156.35,148.5,140.95,133.05,125.25,117.65,110.2,102.5,94.9,87.4,Kiwi_Berry
5,181.3,200,218.05,236.15,255,274.35,294.05,316.9,339.5,361.3,385.15,401.75,408.2,413,417.95,422.3,426.1,425.55,426.1,427.9,430.45,432.2,434.3,436.1,437,437.35,437.4,434.95,433.6,432.15,427.9,422.55,416.65,411.1,404.85,399.3,394.45,392.25,392.75,390.7,388.35,386.75,385.65,384.85,385.35,385.65,386.3,386.9,388.35,389.5,391.15,394.1,398.65,403.5,409.6,414.85,420,424.2,428.7,433.45,438.95,444.1,449.95,456.55,462.85,469.75,475.6,483.95,490.7,497.65,506.2,513.65,521.35,529,537.1,546.8,557.5,568.1,578.55,589.7,601.1,614.25,625.75,636.15,647.05,658.3,670.85,681.1,692.9,707.1,717.55,730.45,743.3,755.75,764.75,771.9,778.5,784.75,790.25,793.75,797,799.45,802.65,806.35,806.9,805.65,802.15,797.5,788.05,777.7,767.35,754.3,741.55,726.25,713.8,702,687.75,674.3,657.65,640.85,625.15,607.8,590.25,573.15,557.2,543.1,530.1,516.6,503.6,489.65,478.1,466.45,454.05,444.25,435.2,425.15,417.75,409.85,400.9,392.05,381.8,374.05,366.65,358.55,352.9,346.6,338.3,332.35,327.65,323.35,318.3,313.85,309.4,304.6,299.15,295.15,290.9,285.65,281.7,278.25,275.35,271.95,270.65,268.55,264.25,259.85,257.25,253.6,249.85,246.35,243.7,241.5,239.5,237.35,235.35,233.3,229.95,226.95,226.95,226.6,226.4,224.5,221,219.1,217.85,216.25,215.7,213.45,211.35,209.1,206.5,205.25,204,204.4,203.5,202.45,202.05,200.6,197.65,195.6,193,191.8,189.8,188.85,188.7,188.9,188.7,189.85,192.35,193.75,194.9,193.95,192.25,189.75,187.1,185.05,183.4,181.45,181.4,181.8,183.15,184.8,186,185.85,184.7,183.75,182.25,179.9,176.8,174.8,173.15,172.6,173,172.6,172.35,171.25,170.15,170.4,170.1,169.45,168.05,166.4,166.8,165.2,164.2,163.55,163.5,164.35,166,167.55,168.35,168.25,168,168.4,168.75,169.05,169.05,168.85,168,167.65,167.35,166.9,164.95,164.7,163.85,162.5,161.45,160.05,158.6,157.25,157.85,158.15,158.05,158.95,159.55,159.15,158.6,158.5,158.5,158.45,158.25,158.4,158.7,158.65,158.7,159.1,158.9,159.15,159.05,159.15,159.1,151.1,143.25,134.2,125.55,117.8,110.25,102.55,94.9,87.15,Kiwi_Berry
6,180.9,199.65,218.5,236.55,255.55,275.5,295.45,318.15,340.95,362.7,385.55,401.6,409.2,415.05,419.7,423.6,427.25,427.75,430.1,431.55,433.75,436.1,437.55,439.45,440.75,440.55,440.25,438.55,436.95,435.65,432.5,427.1,420.05,413.5,408.05,402.8,397.05,393.75,392.4,391.05,388.85,387.15,385.55,385.95,386.65,386.9,389.7,389.75,390.8,392.7,394.75,397.8,402.4,407.05,412.4,418.1,423.9,428.4,432.6,436.8,441.75,446.45,452.25,457.05,461.6,468.4,471.5,479.4,486.55,493.9,501.35,508.65,516.6,524.65,533.2,542.1,551.9,562.35,572.65,583.95,595.7,606.85,617.95,628.5,639.35,650.5,663.95,674.45,686.15,698.7,709.65,723.05,735.55,747.3,756.8,765.15,772.7,778.65,785.4,790.3,794.55,799.35,803.65,807.85,809.9,809.25,805.6,802.5,793.5,782.6,771.95,759.6,748.7,735.7,721.4,709.4,696.55,683.2,664.95,647.1,630.7,613.55,596,579.1,563.4,548.8,535.95,521.85,509.55,496.6,485.1,472.6,458.5,447.8,439,428.85,420.9,413.65,406,398.25,389.85,382.5,375.05,366.45,359.05,352.15,345.65,339.9,334.35,329.45,325.3,321.4,317.05,311.55,307.7,304.5,299.5,294.45,290.75,286.55,281.7,277.25,274.6,271.8,267.6,264.15,260,254.8,252.3,249.35,246.2,243.35,243.95,242.35,240.55,237.25,234.05,231.25,229.15,227.55,225.5,222.45,220.6,219.7,219.2,217.5,216.45,214.75,211.6,209.4,207,205.05,201.75,201.2,199.7,198.25,197.7,195.55,193.85,193.9,192.95,193.3,191,188.35,186.9,186.35,185.8,185.85,186.45,185.95,185.5,184.45,182.3,180.3,177.25,175.1,173.3,172.85,173.6,173.4,174.85,175.65,176.6,177.65,177.35,175.9,174.05,172.6,171.25,171.3,171.35,171.35,171.55,170.65,170.65,170.2,169.15,168.5,167.2,166,164.3,163.4,162.85,162,162.2,162.6,163.4,164.35,164.45,165.15,165.45,165.65,165.9,166.1,166.3,166.15,166.4,165.65,165.25,165.05,164.75,164.25,163.5,163.05,161.45,160.2,158.9,157.4,158.3,157.55,158.3,160,159.85,159.85,159.7,159.6,159.05,158.7,158.85,158.65,158.55,158.3,157.9,157.55,157.6,157.4,157.45,157.55,156.4,156.45,155.4,145.9,137.9,130.1,122.25,114.55,107,99.6,92,84.35,Kiwi_Berry
7,175.8,194.05,212.35,230.6,249.05,270.4,290.85,313.85,335.65,356.85,380.4,396.4,404.15,411.1,416.45,420.95,424.25,425.3,428.1,429.8,433.6,436.6,438.25,440.35,441.9,440.3,439.65,437.15,436.55,435.15,431.35,426.2,419.95,413.75,407.55,401.5,396.9,392.7,389.2,387.8,384.95,383.05,382.25,382.65,382.95,383.4,383.6,384.75,386.05,388.5,390.45,393.75,397.35,401.95,408.45,414.9,420.45,425.7,432.5,437.55,442.65,447.55,453.3,457.85,464.15,471.05,477.15,484.25,491.3,497.9,504.25,511.45,519.8,528.2,536.5,545.9,556.7,567.4,578.45,589.7,601.1,612.45,623.2,633.7,643.5,654.4,667.7,678.35,689.85,703.4,715.35,728.75,740.95,752.8,762.6,771.2,778.05,783.55,789.6,793.05,796.85,800.5,804.15,807.8,808.4,807.3,803,798.55,789.75,778,767.5,754.55,742.65,729.55,717.25,704.6,690.5,677.1,658.25,641.1,625,608.8,592.05,575.55,561.4,547.5,535.25,522.85,509.85,499.4,489.75,478,464.9,453.3,443.6,433.75,425.45,418.15,411,402.9,393.1,384.75,376.6,368.5,362.25,355.2,348.5,342.65,338.2,331.35,324.85,321,317.15,312.6,307.35,303.1,299.2,294.85,290.75,286.8,283.5,279.8,277.7,274.1,268.8,265.65,261.5,257.45,253.55,250.85,248.2,244.85,242.55,240.1,237.75,234.85,232.25,228.1,226.7,225.7,223.95,221.8,219.8,219.15,218.55,216.35,215.2,211.95,209.6,207.1,204.3,202.35,199.5,198.55,196.5,195.2,194.2,192.7,191.3,189.85,189.7,189.4,186.9,185.65,184.8,184.65,184.45,185.6,187.65,188.8,189.4,188.85,188.75,186.7,184.55,182.4,180.3,179.25,178.7,179.1,179.15,179.65,180.55,179.75,178.65,176.65,174.45,172.05,169.45,167.8,167,166.85,166.85,166.95,166.7,166.3,165.55,165.7,164.85,164.05,162.75,161.5,161.4,161,160.8,160.85,160.4,160.9,161.45,162.3,162.55,162.4,162.25,162.55,162.85,162.75,162.75,162,161.6,160.9,160.3,160.35,159.55,159.45,158.5,157.65,157.5,156.75,155.9,155.25,156.3,156.35,156.4,156.2,156.2,156.1,155.8,156.75,156.9,157.25,157.55,157.4,157.1,156.8,156.75,156.85,156.9,156.7,156.85,156.7,155.65,147.9,140.15,132.45,124.55,116.85,109.15,100.4,92.7,85,Kiwi_Berry
8,177.4,195.5,213.55,231.75,250.6,269.3,289.45,312.7,335.05,356.25,379.5,394.55,401.35,407.4,411.9,415.9,418.7,419.2,421.35,424.05,427.4,429.35,430.75,432.2,434.45,435.85,435.55,432.6,431.4,431.25,428.15,424.45,421.45,416.35,410.9,405.8,401.3,398,397.5,397.25,395.8,394.9,395.4,395.55,394.45,394.55,394.85,396.35,397.95,399.25,400.95,403.6,405.3,408.7,413.15,418.3,423.95,428.3,432.25,435.6,439.45,445.1,449.55,457,462.45,469.6,476.2,482.65,489.6,497.65,504.85,512.55,520.05,528.25,537.85,547.5,558.6,569.3,580.4,592.6,605.1,616.2,627.75,636.5,647.65,658.2,670.85,682,692.9,704.2,715.35,728.2,741.2,752.75,761.9,772.8,780.3,786.15,790.5,793.05,795.8,798.95,802.2,805.2,806.4,805.7,801.6,796.85,788.05,777.3,769.55,757.6,745.1,732.8,720.8,705.85,691.35,678.35,661.55,644.9,629.65,613.75,595.95,579.5,564.5,549.95,537.35,525.1,512.4,499.8,485.95,473.05,460.65,449.2,438.2,427.15,418.2,409.5,401.7,392.75,382.7,373.95,367.55,359.2,352.25,346,339.8,333.5,327.75,322.6,317.65,313.8,310.4,304.95,300.35,296.9,293.1,289.4,286.15,284.2,281.95,278.45,275.6,273,268.75,264.3,259.35,255.45,253.55,250.3,246.3,242.35,238.05,235.45,232.7,229.95,226.6,223.2,220.35,217.65,215.25,213.25,211.6,210.65,209.75,208.4,207.75,205.05,201.8,199.85,198.1,196.8,195.3,194.65,194.7,193.85,193.55,191.3,190,188.8,187.65,186.6,184,182.7,181.85,181.7,181.35,182.55,184.95,187.75,189.7,189.95,190.05,188.55,185.4,183.15,180.95,180.75,181.4,182.15,183,183.65,184.15,183.05,181.6,179.8,177.5,174.9,172.15,169.35,167.35,166.9,166.4,166.1,166.05,165.8,165,164.75,163.85,163.55,162.55,162.65,162.6,162.95,163.15,163.4,163.8,164.25,164.65,165.25,165.35,165.15,165.6,165.85,166.2,165.7,166.7,166,165.7,165.05,164.8,164.1,163.5,162.6,161.8,160.75,160,159.2,158.7,157.95,159.25,159.45,160.7,160.95,160.45,160.35,158.95,158.75,158.7,158.35,158.35,158.1,158.05,157.75,157.7,158.1,158,159.1,160.45,160.6,159.3,151.3,142,133.95,126.3,118.7,111.15,103.4,95.7,88.25,Kiwi_Berry
9,178.15,196.6,215.05,233,253.7,273.45,293.5,316.15,338.8,360.85,384.8,401.5,408.6,414.55,419.1,422.95,427.05,428.45,430.6,432.35,436.05,438.7,440.45,442.6,441.95,443.5,442.65,440.35,437.45,436.4,432.4,427.2,421,415,410,404.1,399.4,396.1,395.15,394.8,393.05,390.45,388.75,387.8,388.25,387.35,388.45,389.9,393.1,394.75,396.45,398.85,402.85,407.4,411.95,417.9,422.55,425.6,428.95,432.75,437.4,443.65,449.5,455.7,461.7,468.45,474,480.4,486.55,493.8,501.75,509.45,517.2,525.55,534.95,544.85,555.65,566.9,578.3,590.35,601.8,612.85,624.45,635.25,645.2,656.25,669.55,680.85,692.75,702.95,713.2,726.55,738.6,749.8,759,766.25,772.85,779.05,785.2,788.5,791.95,795.7,799.05,802,802.6,801,797.45,793.35,784.65,776.4,766.6,753.35,741.25,728.95,716.9,704.9,691.2,677.2,658.8,641.9,626.55,608.75,592.2,575.85,559.25,545.35,532.15,518.8,505.35,491.85,480.25,468.35,455.8,444.4,433.2,422.7,414.75,406.8,399.1,389.9,380.45,373.4,365.8,357.5,352.85,346.7,340.85,335.5,330.85,326.35,321.75,317.35,313.5,309.55,303.65,299.4,295.15,290.6,286.95,283.85,279.5,275.6,272.7,270.25,266.1,261.55,257.1,252.45,249.55,245.75,241.4,238,234.55,230,229.15,226.8,223.85,221.7,219.5,217.95,216.55,214.95,212.9,211.6,210.65,210.15,207.6,203.85,201.95,201,201.2,200.45,200.65,201.6,201.1,200.6,199.8,197.3,196.15,194.65,193.6,192.3,190.1,188.65,188.25,187.3,188.25,190.5,191.6,191.7,190.2,189.25,187.1,184.55,181.75,179.4,177.45,176.05,177.25,178.8,180.05,181.45,183,183.05,181.85,180.45,179,176.8,173.95,172.8,172.5,172.6,172.7,172.65,172.55,172.4,171.55,171.8,170,168.55,167.1,165.85,164.95,164.2,163.6,162.55,162.05,162.35,163.3,162.85,164.25,164.3,164.6,164.8,165.05,164.8,165,164.85,164.5,164.35,164.1,163.8,162.9,162.1,161.35,161,160.15,159.25,158.55,158.85,158.8,159,158.75,158.65,158.4,158.1,157.35,157.05,156.95,156.85,156.8,157.25,157.55,157.3,158.7,158.95,159.35,159.4,159.7,160,159.05,150.9,143.05,135.2,127.45,119.75,112.2,104.55,96.95,89.25,Kiwi_Berry
