,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,Fruits
0,165.9,185.35,204.85,223.25,240.15,256.7,273.55,292.25,309.5,326.7,344.35,353.75,355.9,360.4,364.45,368,372.2,373.25,376.55,379.25,381.95,385.35,388.15,391.95,396.3,400.6,404.55,406.6,409.6,412.2,413.9,414.85,414.75,413,410.8,408.1,405,403.25,401.45,398.7,393.9,388.35,382.45,375.9,370.55,366.1,362.25,359.1,357.15,354.75,352.65,351.75,350.7,349.6,349.95,350.3,350.7,350.9,350.7,350.85,352.7,354.5,357.05,361.55,366.2,370.55,373.85,378.15,381.9,386.6,391.35,395.05,399.3,404.8,409.4,414.85,420.3,425.1,430.45,436.45,441,448,452.9,456.65,461.2,466.5,472.95,477.7,483.75,489.1,493.6,499.55,505.25,510.25,516.15,522.95,530.45,539.35,545,554,564.25,572.25,581.95,591.95,602,611.25,621.1,631.9,644,657.15,672.2,687.2,701.75,715.7,728.25,739.6,751.25,759.4,768.55,773.95,779.25,785.25,790.75,795.05,797.1,797.15,795.2,791.5,781.9,770.3,758,744.8,730.35,715.6,701.5,687.2,670.35,654.75,635.6,616.1,597,577.1,558.2,539.45,522.2,507.2,490.1,476.2,462.35,449.7,436.35,423.25,412.3,401.15,390.15,379.05,370.15,361.7,355.25,348.7,340.95,335.5,329.8,324.1,317.9,311.5,307.6,301,297.85,293.3,287.65,282.75,277.4,272.3,268.15,264.6,260.25,254.9,253.3,250.7,247.9,244.2,240.85,238.1,234.75,231.6,228.65,224.1,218.7,214.95,212.7,210.3,209.65,209.6,208.1,206.15,204.4,202.4,198.85,195.75,194.15,191.2,188.35,185.8,185.05,184.9,184.3,186.1,188.3,190.3,192.45,193.5,191.45,189.35,186.25,184,181.8,181.55,180.9,182.25,184.55,186.75,187.75,187.95,187.15,185.6,184.25,181.9,178.9,176.6,174.05,172.3,172.3,171.5,171.4,171.05,170.6,170.15,170.1,169.6,167.8,165.65,165.6,165.75,166,167.1,168.75,170.9,173.3,175.2,176.6,177.2,177.8,178.15,178.5,178.95,179.05,178.4,177.9,176.65,176.1,176.2,174.95,174,173.15,171.5,169.4,167.2,165.5,163.9,164.4,164.25,163.2,164.6,166.05,165.75,165.4,164.85,164.7,164.4,164.2,163.65,163.4,163.65,163.35,163.3,163.25,163.7,163.8,164.25,163.8,155.7,148,138.35,128.9,120.65,112.85,105.35,97.65,90.35,Nothing
1,165.4,184.45,202.5,220.05,237.45,254.4,271.15,288.8,305.5,322.4,340.4,349.25,350.45,353.85,357,360.85,365.8,367.65,370.95,372.5,376.35,379.8,384.15,388.5,391.8,395.65,399.05,401.55,404.9,407.85,409.4,410.65,410.95,410.15,408.65,406.15,402.2,399.4,397.8,395.9,390.45,384.4,378.35,373,368.95,365.6,362.15,360,357.1,355.5,352.8,352,351.75,351.1,351.3,351.4,352.6,353.7,354.45,355.3,357.75,361.05,363.7,367.35,370.9,373.8,377.2,380.45,385.05,388.75,394.1,398.3,402.6,407.7,412.35,417.85,423,426.3,430.15,434.9,440.55,444.35,449.6,453.35,458.35,463.85,470.3,475.45,482,487.6,491.8,497.3,502.8,507.5,513.75,520.55,527.4,536.45,542.5,551.85,559.85,570.3,579.9,589.6,600.35,610.4,622.75,635.4,647.4,658.6,673.3,687.95,702.3,715.95,727.2,737.6,747.9,755.7,764.15,768.75,774.2,779.55,784.7,788.4,789.4,788.1,783.2,777.65,767.55,757.55,745.55,731.4,715.75,701.1,687.7,673.95,659.4,644.9,626.85,608.05,589.05,569.4,551.15,533.95,517.3,502.7,488.9,474.55,460.9,448.65,435.1,423.45,413.45,402.3,390.9,377.8,368.25,359.3,352.15,344.85,337.4,330,323.05,314.8,307.05,300.8,293.9,288.3,285.5,280.9,276.05,270.85,265.5,259.9,253.95,252,248.45,245.6,244.2,241.35,237.9,234.15,229.35,226.95,224.4,221.55,219.25,215.55,211.1,207.45,205.65,203.55,202.2,202,201.5,199.35,196.25,191.4,187.45,185.6,184.65,184.15,182.9,183.15,183.65,181.95,179.05,178.4,178.2,177.65,177,176.1,175.15,173.45,172.1,171.5,170.15,169.75,169.9,170.75,172.1,172.9,173.55,172.25,170.15,169.95,170.35,169.5,168.05,168.1,167.45,167.45,166.9,167.05,166.6,165.45,165.4,164.95,164.7,164,162.9,162.25,162.1,161.9,162.25,161.8,162.1,162.2,163.1,163.75,164.45,164.9,165.45,165.4,166.05,166.25,165.25,165.55,165.3,165.1,164.65,163.9,164.7,164.65,163.65,162.9,162.55,162.3,162,161.7,161.7,161.9,162.05,161.7,161.45,160.75,160.65,160.3,160.3,160.15,160.4,161.45,160.3,159.6,159.7,160.1,159.45,159.7,159.35,159.65,159.85,151.5,143.05,135.55,127.55,120.05,112.55,104.65,96.7,89,Nothing
2,164.7,183.35,201.2,219.1,236.95,254,271,290,307.8,324.45,341.75,351.55,353.7,356.6,359.2,363.2,367.7,371.45,374.95,377.5,382.05,385.75,389.45,392.85,395.3,399.05,402.8,403.85,406.7,409.9,412.55,414.75,414.6,413.95,412,409.3,405.75,401.65,398.9,394.7,387.9,382.1,378.8,373.75,370.25,366.5,362.4,360.05,358.35,357.75,355.7,353.3,352,351.25,351.65,351.95,352.4,351.95,352.45,354.8,357.3,360,361.25,365.35,368.55,372.2,375.85,379.55,383.45,386.2,390.05,394.15,398.95,404.8,410.25,416.1,423,429,434.65,440.2,445,449.05,453.35,457.05,462.3,467.75,473.9,478.85,483.55,489.1,494,499.85,505.5,509.45,515.1,522.6,529.15,537.55,543.35,551.9,561.45,572.45,582.6,592.15,602.3,613.3,625.4,638.25,650.8,663.6,676.9,691.45,705.7,719.55,731.65,740.5,749.7,758.55,766.9,771.8,777.1,781.95,785.9,789.85,791.55,789.2,784.35,778.55,768.9,757.35,746.55,732.75,718.4,704.7,690.7,677.55,663.55,646.55,630.15,610.95,592.7,573.5,555.1,536.25,519.1,504.15,489.75,475.55,461.65,448.9,435.55,423.5,411.65,399.25,387.85,377.55,367.55,359.35,350.05,343.15,336.55,328.95,322.85,317,309.6,303.1,297.55,292.85,290.4,286.05,283.1,278.35,275.8,272.05,267.85,263,258.95,254.8,252.1,248.4,242.95,238.9,235.15,232.35,230.85,228.4,225.6,221.4,216.55,212.95,207.85,204.7,201.2,200.2,199.6,198.8,196.8,193.85,190.85,189.8,189.1,189.3,189.15,188.65,187.95,187.8,187.85,188.45,190.55,193.25,194.45,194.45,193.1,190.3,186.7,184.4,181.65,180.75,180.75,180.9,182.6,183.8,184.2,184.5,183.85,182.5,180.6,177.7,173.95,171.1,170.2,169.75,169.65,170.25,170.95,171.2,171.35,170.75,171.05,171.2,169.35,167.75,166.25,164.15,162.95,161.8,161.55,163.25,166.2,168.75,169.85,171.25,171.35,171.4,171.35,170.75,171.05,171.05,170.75,170,169.9,169.4,168.45,168.65,167.95,168.1,167.35,165.5,164.05,162,162.4,161.8,161.7,161.6,161.6,161.1,161.2,161.05,161.1,161.05,161.15,161.15,161.7,161.3,160.9,160.7,160.45,160.75,159.8,159.75,158.95,150.7,142.75,134.7,126.8,119.05,111.05,103.4,95.55,87.8,Nothing
3,166.95,186.4,204.55,222.45,239.5,259.2,277.65,296.3,314.75,332,349.55,359.3,360.6,362.6,366.8,371,374.95,377.5,381.25,382.8,385.85,388.75,392.8,396.75,401.1,401.85,403.85,405.75,408.25,410.7,412.35,413.8,413.8,413.1,410.95,408.8,405.55,400.8,395.55,391.8,386.45,380.9,374.45,369.1,364.75,361.1,357.15,354.15,351.8,350.4,348.45,346.1,345.15,344.4,345.05,345.3,346.1,347.95,351.2,352.75,354.8,357.15,361,364.45,367.15,371,374.15,377.7,381.2,384.5,389.05,393.9,398.15,403.9,408.45,413.95,420.1,425.1,429.85,435.75,440.2,444.6,448.9,453.2,458.55,464.15,470.8,476.25,481.9,487.8,492.5,497.9,503.4,507.4,514.1,520.7,527.3,535.6,541.45,550.7,561.1,572.85,583.75,593.6,604.25,614.7,626.1,637.4,649.25,662.3,677.5,692.35,706.25,719.6,730.85,741.5,751.15,758.9,767.5,771.85,774.95,778.35,781.85,785.3,787.25,785.25,781.7,777.65,768.55,756.15,743.6,729.25,715.35,701.45,687.4,672.25,657.45,641.15,622.5,603.45,585.3,565.8,547.05,528.25,509.75,494.55,480.4,466.85,453.65,441.9,428.3,415.5,403.7,391.45,380.6,371.6,363.3,356.4,350.2,343.1,336.1,329.05,323.5,318.2,312.45,307.65,301.1,294.45,290.5,284.8,279.95,275.15,269.55,265.05,260.3,255.15,249.95,244.7,240.6,237.35,234.45,231.3,227.3,224.3,221.65,217.7,215.2,210.45,205.2,202.15,199.65,197.9,197.45,197,195.35,192.85,190.55,187.1,186.85,185.85,184.8,183.8,181.45,180.4,180.05,180.05,179.65,181.7,185.1,187,187.55,187.05,187.25,185.5,183.1,183.25,182.2,182.8,182.1,181.35,182.55,184.05,185.9,185.85,184.15,181.6,179.55,177.1,173.65,171.95,170.85,170.8,169.6,169.75,170.3,169.8,169.6,169.1,168.2,168.6,167.85,166.9,165.6,164.7,164.65,165.4,166.2,167.4,168.75,170.05,171.5,171.8,171.8,172.6,173.2,172.15,171.75,171.4,170.8,170.7,169.7,169.1,168.9,168.2,167.6,166.35,165,163.45,162.3,160.85,161.2,161.55,161.55,160.85,160.1,159.95,159.6,159.5,159.55,158.85,158.95,159,158.7,158.8,158.4,159,159.3,159.85,159.95,160.55,159.4,151.1,142.9,134.95,127.4,119.8,112.15,104.2,96.55,89.2,Nothing
4,164.4,182.95,200.9,218.75,237.3,254.05,271.05,289.75,307.1,323.85,341.3,351.05,352.45,355.6,358.7,362.6,366.85,370.55,375.05,377.65,382.3,387,391.65,395.3,398.3,402,405.6,407.05,409.5,412.7,414.2,415.55,416.45,415.25,413.65,412.15,410.45,406.75,404.1,400.65,394.3,387.95,381.75,377.55,372.85,369.3,365.75,363.15,362.2,361.5,360.45,358.75,357.65,357.5,357.8,357.95,356.8,356.55,357,357.8,359.75,362.1,365.1,367.7,371.55,375.5,379.7,384.3,387.2,389.75,394.2,398.6,402.8,407.55,412.5,417.6,423.35,428.55,433,437.7,442.65,446.8,451.35,455.4,459.75,464.9,470.15,475.05,481.4,487.15,491.4,496.55,501.85,507,513.6,520.65,527.35,533.85,539.95,549.5,559.65,572.1,582,592.1,602.15,611.95,622.7,633.75,645.6,658.9,674,689.1,703.45,716.85,727.9,737.25,746.75,756.05,764.2,769.95,774.8,777.75,781.6,782.65,784,782.65,779.1,774,763.5,751.95,739.9,725.75,710.5,695.95,681.75,668.25,653.35,637.7,619.2,599.45,580.4,561.4,543.6,527.6,511,496.8,483.35,470.75,458.55,445.55,431.15,418.65,408.45,397.05,386.45,377,368.85,361.55,355.85,349.4,342.15,335.55,327.45,320.15,312.5,304.65,295.05,287.25,282.3,276.8,272.1,267.1,261.35,257.05,253.35,249.05,245.3,241.6,238.05,235.4,232.8,228.75,226.95,225.4,223.3,221.85,222,217.75,213.7,210.85,208.35,206.2,205.4,205.65,202.3,198.2,194.4,189,186.25,183.35,181.7,180.7,178.6,177.55,176.7,175.95,176.05,178.15,179.95,180.55,180.65,180.05,178.3,174.95,173.1,172.7,172.65,174.5,175.5,176.9,178.3,179.2,181.7,182.25,182.7,183.4,182,180.45,178.45,178.5,177.9,178.5,178.8,178.65,179.15,179.7,178.9,178.15,177.65,177.55,176.2,175.6,173.55,172.9,172.35,170.35,169.15,169.2,171,171.7,172.6,172.4,172.75,173.3,174.1,173.25,173.45,172.5,171.75,170.9,170.9,170.5,169.75,168.45,167.35,166.6,166.45,165.7,164.25,162.9,163.5,163.95,164.15,164.55,164,163.8,162.8,162.5,162.3,161.7,160.8,160.35,160.8,160.9,160.7,161,161.1,161.55,160.9,162.3,162.5,154.25,145.75,137.2,129.25,121.55,113.95,106.25,98.4,90.75,Nothing
5,163.25,182.65,200.8,218.25,235.3,252.45,268.9,287.15,303.95,320.3,337.45,346.85,348.75,350.85,354.9,359.3,363.4,368.4,373.15,376.1,379.6,383.35,387.5,391.95,395.9,398.8,402.65,404.7,408.55,411.95,413.9,414.75,415.5,415.15,412.95,410.4,407.4,403.25,400.55,397.4,391.3,385.15,379.2,373.8,369.5,366.35,362.55,359.8,357.8,356.9,355.6,354.5,352.65,351.65,351.85,351.95,351.9,351.65,351.1,351.7,354.25,356.35,360.35,363.7,366.1,369.65,373.2,377,381.1,383.4,387.75,392.25,396.9,402.55,407.85,413.4,419.2,424.6,430.1,434.95,439.05,443.35,447.25,451.15,456.65,462.55,469.25,474.55,479.45,485.4,489.8,495.1,500.15,507.3,513.3,519.85,528.4,537,542.5,551.6,561.4,571.95,581.35,592,602.7,612.15,622.8,634.2,646.55,658.7,673.75,688.65,703.3,714.5,726.15,736.45,744.15,751.7,760.7,766.5,771.8,777.05,781.85,784.85,786.45,783.05,777.7,772.7,762.45,752.1,739.45,725.6,710.85,697.1,683.5,670.05,656.05,640.65,622.05,602.5,582.75,563.45,545.1,526.85,509.35,496.2,483.8,469.8,457.15,444.85,431.35,419,407.85,394.95,384.4,373.2,364,354.75,348.45,341.6,335.45,327.65,321.25,315.25,309.15,303.4,297.25,292.1,287.2,280.8,275.45,269.6,264.55,260.55,254.9,251.65,247.8,244.75,241.25,237.85,233.3,230.1,226.35,223.65,221.35,218.6,215.45,210.35,205.9,203.5,203.25,202.85,200.75,199.7,198.9,197,195.35,192.7,190.75,189.35,189.1,188.25,186.05,185.15,184.6,184.75,185.15,187.45,190.55,192.35,191.8,190.2,189.25,187.4,185.1,183.5,181.35,180.35,179.95,180.35,181.5,184.05,186.9,187.65,187.9,186.9,185.4,182.95,179.65,178.6,177.65,177.35,177.65,177.95,177.95,177.6,177.3,176.85,176.5,176.45,175.7,173.6,171.3,170.3,169,168.25,168.6,169.05,170.7,171.65,171.6,172.85,173.25,173.85,174.8,174.65,174.3,173.8,173.7,172.75,172.05,171.05,170.6,168.95,167.95,166.9,165.75,165.9,164.85,163.3,163.95,163,163.15,162.6,162.5,162.2,161.85,161.95,161.45,161.7,161.8,162.25,162.4,162.45,162,162.75,163.7,162.7,162.85,163.25,162.75,154.85,146.6,138.7,130,122,114.3,106.5,98.85,91.05,Nothing
6,160.25,179.1,197.3,215.3,232.9,249.55,266.25,284.7,301.7,318.9,336.6,346.95,348.9,351.9,356,360.6,364.85,371,374.95,377.65,382.15,385.95,389.8,392.95,395.85,400.45,403.8,405.55,408.75,411.6,413.65,414.65,415.25,414.8,412.1,409.75,406.3,401.85,399.3,395.9,390.2,384.45,378.5,374.05,370.35,366.15,363.05,360.6,358.5,356.55,353.55,351.6,349.6,348.85,349.45,349.2,349.6,349.05,348.45,350.05,352.05,354.35,357.1,360.3,363.5,366.8,370.3,373.85,378.2,383.2,389,393.2,398.4,403.6,408.4,413.75,419.15,425,430.95,436.35,440.35,444.65,449.75,453.95,458.9,465.05,470.95,476.3,481.3,485.45,489.35,494.95,500.65,505.15,511.9,519.85,527.65,536.6,542.15,550.4,560.6,570.8,579.85,589.45,600,609.35,619.75,630.3,642.3,655.75,671.5,686.3,699.85,713.7,725.25,734.45,743.95,751.1,759.9,765.3,770.05,774.3,780.3,784.4,785.25,784.2,781.6,778.15,768.6,756.75,743.5,729.7,715.45,701.2,687.75,674.45,659.5,644.55,625.9,606.8,588.3,570.15,550.6,531.9,515.35,499.9,485.6,471.6,459,446.45,432.65,420.15,408.35,394.95,380.55,369.75,360.4,351.85,345,337.2,329.7,321.55,316,310.35,304.45,298.7,292.25,286.65,283.3,278.75,273.7,268.5,263.4,260.1,258.05,253.45,248.95,244.45,241.4,238.25,234.8,231.6,228.15,224.9,221.55,219.2,216,210,204.95,201.5,199.55,197.6,196.7,195.35,193.45,191.9,189.7,186.35,183.75,182.75,181.7,181.6,179.1,178.3,177.25,175.45,175.15,176.9,178.95,179.9,179.95,180.3,178.9,178.4,176.8,175.8,175.1,174.55,176.75,179.6,181.8,182.25,183.45,182.5,182.45,182.45,181.6,180.25,177.15,175.65,175.7,174.85,175,174.1,173.85,173.1,172.3,172.55,170.7,168.6,166.6,165.9,165.15,165.35,164.05,162.75,162.4,162.9,164.1,164.95,166.05,167,167.2,167.75,168.5,168.1,168.5,168.35,168,167.05,166.9,166.8,165.6,165.25,165.35,164.8,164.05,163.3,162.25,161.85,161.55,161.05,161.25,161.5,161.35,161.45,161.15,161.2,161.05,161.05,160.6,160.8,161.9,161.15,160.7,161.7,161.95,162.3,162.25,162.45,161.8,153.6,145.4,137.05,129.1,121.2,113.15,105.1,97.3,89.45,Nothing
7,170.35,189.5,208.5,226.4,243.85,260.6,277.65,296.65,313.95,331.7,349.5,359.2,360.9,360.7,363.6,367,371.2,374.7,378.35,380.6,384.7,388.15,391,394.65,398.35,401.85,405,405.9,408.5,410.35,411.95,413.25,412.9,411.7,409.6,406.95,404.05,398.35,395.75,392.75,386.3,380.25,374.7,369.3,364.85,361.9,358.4,356.15,355.1,354.35,352.15,350,349,350.15,350.9,351.45,352.45,354,354.45,355.3,357,360.25,363.7,367.65,371.75,374.5,377.65,381.1,383.8,387.15,392.45,397.55,402.35,406.5,411.1,416.3,420.95,426.3,431.3,435.95,440.6,444.4,448.45,452.1,456.3,460.85,467.65,473.4,479.9,485.45,489.65,495,500.75,505.9,512.3,519.15,526.25,534.65,540.5,550,560.1,570.7,580.6,590.75,601.75,612.65,623.05,634.2,645.7,658.05,673.45,688.3,702.6,716.15,727.55,737.65,747.8,755.85,766.15,771.65,776.75,780.9,785.4,789,789.7,788.95,785.75,780.8,771.15,759.25,746,732,717.55,703.45,689.65,676,659.5,642.8,622.2,602.5,583.2,564.7,546.3,527.95,510.15,495,480.7,467.15,454.2,443.1,431.05,419.1,407.2,394.25,383.25,372.4,364.5,357.35,350.8,344.1,337.25,329.7,323.35,316.7,310.45,304.2,297.6,291.65,288.5,282.45,276.25,270.35,265.6,261.3,256.95,253.35,249,243.9,240.05,236.3,232.9,229,224.15,221.4,216.95,213.35,210.8,206.8,202.1,199.25,196.55,194.7,193.45,192.75,191.1,188.2,186.25,183.9,182.85,181.45,180.35,179.85,179.2,178.6,180.3,181.45,182,183.7,185.35,187.2,188.7,188.65,187.2,186,184.2,183.7,181.7,181.3,181.8,183.15,183.7,184.05,184.85,185,183.95,181.5,178.95,175.9,172.9,171.2,169.9,169.25,169.3,169.1,168.8,168.8,170.15,170.05,169.15,168.7,168.35,168.25,168.25,168.35,168.65,168.25,169.55,170.85,172.1,172.45,172.9,173.4,173.65,173.2,173.65,172.7,171.8,171,170.25,169.2,168.6,168.15,167.1,166.1,164.55,164.55,162.95,161.85,160.95,160.35,161.3,161.85,161.9,162.45,162.35,162.4,162.25,162.8,163.95,164.5,165.05,164.95,165.15,164.55,165.95,166.6,166.55,166.4,166.55,167.15,166.3,157.8,149.55,141.3,133.2,125.3,117.15,108.6,99.6,91.3,Nothing
8,165.7,184.6,202.55,220,237,253.6,270.85,289.85,307,323.7,341.7,351.25,352.8,355.4,357.9,361.55,364.8,366,369.7,372.85,377.2,381.95,387.45,392.6,396.75,400.8,404.3,405.1,408.4,411.35,412.85,413.9,413.7,413.35,411.85,409.85,406.4,404.85,402.85,399.8,393.2,386.2,378.75,372.75,367.85,363.9,359.7,357.5,355.55,352.6,350.3,349.15,348.7,348.5,348.95,348.9,349.95,349.95,349.5,349.55,351.65,354.5,358.05,361.25,365.25,368.6,372.1,375.65,379.05,384.6,389.35,393.35,397.7,403.15,408.4,413.8,419.55,424.7,429.75,435.05,439.8,445.5,449.35,454.4,459.25,465.3,471.75,477.15,483,487.85,492.35,498.05,504.25,508.7,514.65,521.4,528.4,537.05,543,552.3,561.65,570.5,580.8,590.2,600.85,610.5,620.65,631.75,643.5,656.8,672.25,686.95,700.4,715,726.9,737.1,746.85,755.15,763.7,769,773.95,778.25,782.3,785,785.65,784.75,781.95,778.05,769.05,757.65,744.7,730,715.65,700.3,686.05,672.55,657.4,640.6,621.8,602.75,583.45,564.8,546.8,528.85,512.4,497.15,480.15,465.4,451.2,438.35,425.2,413.45,401.45,389.05,378.25,367.15,357.9,349.9,343.45,336.1,329,321.55,315.65,310.8,304.55,298.65,295.65,290.25,287.25,282.1,276.95,272.25,268.05,263.25,258.3,254.75,251,247.35,246.75,244.85,243.95,241.1,237.2,233.95,230.4,227.9,225.15,220.5,215.4,212.7,210.05,207.95,206.55,206.65,205.35,203.75,202.25,199.35,194.3,191.65,188.25,187,185.05,182.75,181.95,181,180.35,182.1,184.4,185.05,186.1,185.1,183.55,182.75,180.45,178.6,176.7,175.95,177,177.75,179.05,179.65,180.25,179.95,179.4,177.95,175.9,173.4,170.85,169.55,167.95,168,168.15,167,167.7,167.55,166.85,167.1,167,166.4,166.05,165.35,166,165.55,164.9,164.9,164.8,165.8,166.65,167.8,168.35,168.75,168.85,168.9,168.7,168.1,168.1,167,166.3,166.3,165.45,165.15,163.65,163.75,163.8,162.65,162.6,161.5,160.85,160.4,161.5,161.75,161.2,162.1,162.7,162.4,161.95,161.65,161.25,160.7,160.65,160.7,160.85,161.55,161.75,162.35,162.05,162.25,162.1,162.2,162.2,153.85,146.5,137.7,128.95,121.35,113.7,106.1,98.35,90.65,Nothing
9,163.45,182.5,200.6,218.5,235.4,252.3,269.1,287.95,305.05,322.25,340.6,350.95,353.3,356.35,361.5,365.05,369.7,373.95,378.35,380.55,384.25,387.7,392.15,395.7,399.85,403.95,407.55,408.85,412,414.85,416.15,417.35,416.9,416.4,413.65,411.8,408.75,404.7,401.85,398.95,393.2,387.35,383.3,378.9,374.8,370.55,367.3,364.8,361.45,360.35,358.5,356.9,356.1,355.45,355.15,355.1,354.8,354.7,355.6,356.5,358.35,360.95,361.35,364.4,367.45,371.25,374.3,378.05,383.35,386.25,390.1,394.25,398.65,403.85,409.4,415.05,420.75,424.65,428.65,433.75,440.05,444.35,449.2,453,458.3,463.85,469.7,474.85,480.15,486.05,490.9,496.2,502,506.6,512.75,519.3,526.8,536.2,542.25,551.3,559.5,569.85,580.2,589.9,600.25,609.9,621.4,632.75,645.2,656.25,670.8,685.6,698.7,712.15,723.1,733.25,742.75,750.65,759.3,764.6,769.75,774.95,779.05,783.2,784.45,783.45,779.55,774.1,763.95,753.55,741.45,726.95,713,698.75,685.7,671.65,654.5,638.6,620,600.6,581.8,562.7,545.55,527.3,509.45,493.75,479.5,466.65,453.9,441.35,427.3,415.3,403.9,391.85,380.55,370.5,363.7,356.45,351.25,345.2,338.55,330.9,323.1,316.35,310.45,304.75,299.15,293.2,289.4,284.75,280.55,276,271.35,267.7,261.05,256.45,250.75,245.45,239.85,235.35,231.5,227.3,223.65,220.75,217.9,214.8,211,206.8,201.65,198.65,195.75,194.15,193.05,191.95,192.8,192.3,192,189.55,188.05,186.8,185.25,185.15,183.25,182.6,182.6,183.55,184.35,185.9,188.7,190.1,190.9,189.45,188.05,186.2,183.95,181.45,179.55,178.8,179.25,180.55,182.4,183.4,184.45,184.25,182.6,180.2,177.75,174.85,171.75,169.8,169.2,169,168.75,168.55,168.4,167.65,167.45,167.05,166.35,165.3,163.9,163.4,163.1,162.15,161.95,162.15,162.85,163.6,164.25,165.1,165.2,166.15,166.6,166.8,167.15,167.5,167.45,167.8,167.65,167.75,167.05,166.4,165.45,165.05,164.4,163.8,163.75,163.15,162.9,163.8,164.05,163.65,164.7,165,164.6,164.55,163.7,162.85,162.45,161.7,161.85,161.7,162.2,162.2,162.55,163.7,163.7,164.1,163.9,163.3,164.4,156.35,147.05,138.75,130.85,122.75,115.25,107.75,100.4,92.75,Nothing
