,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,Fruits
0,175.05,194.1,212.75,231.2,249.2,268.55,286.95,305.3,325.35,344.9,365,376.75,378.4,379.1,379.9,380.7,381.75,381.9,380.45,382,382.25,383.3,384.85,386.35,388.6,390.05,392.5,395.45,397.55,400.75,403.15,405.85,409.2,412.5,415.95,419.9,423.75,427.35,431.7,434.6,438.45,442.05,445.35,448.85,452,455.4,458.3,460.75,462.55,463.3,464.05,465.7,467.5,468.6,469.2,468.6,468.15,466.6,464.15,461,457.5,453.8,449.95,446.3,443,438.7,434.3,428.85,422.25,416.25,411.35,404.9,399,393.65,387.9,383.1,377.5,371.85,366.05,359.6,353.25,347.2,342.3,336.95,331.75,327.3,322.2,317.8,313,307.55,302.65,297.6,291.9,286.65,282.55,279.2,276.6,273.05,269.7,266.6,263.9,260.7,256.8,254.75,252.5,249.7,248.85,248.8,247.5,246.15,242.7,240.35,238.15,235.7,233.4,230.65,228.65,228.8,227.75,226.55,225.95,224.5,222.7,220.3,217.9,216.7,215.2,213.2,212.05,210.65,209.55,207.85,206.25,207.35,207.1,206.05,204.75,203.45,201.8,199.95,197.15,195.75,194.8,192.95,193.05,192.5,191.65,190.9,190.4,189.45,188.65,188.45,188.25,185.05,184.6,184.6,183.85,183.45,183.65,183.7,183.7,183.7,184.9,184.7,182.2,179.3,176.5,173.9,172.6,171.9,171.5,171.45,171.15,171.15,169.55,167.7,166.05,163.5,161.85,161.6,161.45,161.3,160.25,160.1,160.1,159.95,159.6,158.6,158.15,158.05,158.05,158.05,158.05,158.05,157.2,156.55,155.95,155.7,155.75,155.8,156.05,155.85,155.15,155.05,155,155.2,155.5,156,156.2,156.2,156.5,156.4,156.15,155.95,156,156.25,156.15,155.95,156,155.95,156.15,156.7,157.15,157.45,157.7,157.65,157.45,156.9,156.7,156.55,156.4,156.4,156.85,157.1,157,156.9,156.85,156.7,156.7,156.7,156.35,156.25,156.05,156,155.8,155.55,155.55,155.95,156,156.85,156.75,157.15,156.95,157.3,157.35,157.25,157.3,157.35,157.4,157.25,157.35,157.15,156.95,156.55,155.75,155.55,155.15,154.95,154.85,154.35,154.25,153.7,153.55,153,152.95,152.8,152.5,152.45,152.4,152.35,151.85,151.85,151.95,151.95,152.3,152.5,152.65,152.8,152.6,152.7,152.95,145.35,137.8,130.2,122.55,114.9,107.4,99.7,92,84.45,Orange
1,173.3,192.25,211.15,231.1,249.5,267.45,285.25,303.65,323.6,343.55,363.25,374.55,376.75,377.5,378.45,379.45,379.8,379.85,378.9,379.5,380.45,381.5,382.65,382.8,384.95,387.65,390.95,393.55,395.65,398.2,400.75,404.4,408.25,412.85,416.9,421,424.95,428.35,432.1,435.15,439.05,442.85,446.35,449.4,452.4,456.05,458.5,460.75,461.85,462.8,464,465,466.35,466.75,467.55,467.45,466.9,465.85,463.3,460.1,456.1,452.3,448.85,445.85,440.7,435.9,431.8,428,422,415.8,410.2,403.65,397.25,391.55,385.6,380.15,374.6,368.7,363.15,357.3,351.3,345.3,340.05,334.35,330.85,326.7,321.35,315.85,311.2,305.9,302,297.3,292.85,287.75,284.3,281.15,277.1,273.45,269.8,265.95,262.9,259.5,255.65,252.1,249.3,246.15,245.55,245.25,243.95,242.55,238.5,235.55,232.9,230.35,227.25,224.4,224.55,225.55,225.1,224,224.1,223.3,221.3,220.35,218.3,215.1,212.3,210.1,210.3,208.75,208.05,207.15,205,204.4,203.05,201.35,199.65,198.05,197.1,195.75,192.6,190.9,189.85,187.95,188.4,190.4,190.05,189.55,187.6,187.5,186.35,185.7,185.95,184.4,184.6,185.2,185.05,184.05,183.05,182.8,182.7,183.3,184.55,185.25,182.45,180.1,178.5,176.2,175.3,173.75,173.3,173.15,172.85,172.7,170.8,169.2,166.65,164.3,162.95,162.9,162.95,161.4,160,159.05,159.45,158.5,157.5,156.4,155.4,155.6,155.3,155.55,156.05,155.8,156.05,155.05,154.5,154.2,154.1,154.2,154.35,155,154.75,154.8,154.75,155.05,155.15,155.55,156.2,156.2,156.7,156.15,155.55,155.85,155.55,155.75,155.6,155.4,155.55,155.25,155.7,155.95,156.4,156.4,156.5,156.5,156.6,156.8,156.1,156.4,156.3,156.9,157.2,157.45,157.5,157.45,157.55,157.6,157.55,157.8,157.35,157.2,157.25,157.45,157.35,157.15,157.2,157.1,157.5,157.35,157.6,157.4,157.4,157,157.15,157.05,157.4,157.3,157.1,157,156.8,156.25,155.95,155.6,155.4,155.2,155,154.7,154.2,154.3,154.5,154.6,154.15,154.4,154.05,153.9,153.45,153.35,153.3,153.05,153.05,153.45,153.25,153.2,153.15,153.35,153.35,153.2,153.9,154.05,153.7,145.9,138.4,130.65,123.05,115.55,107.9,100.25,92.8,85.4,Orange
2,174.55,194,213.4,231.7,249.7,267.6,285.3,303.75,323.3,343.15,363.2,374.4,376.35,377.2,377.9,378.4,377.15,377.5,376.45,377.9,378.05,378.3,378.7,380.5,383.65,386.05,389,391.75,393.55,395.2,397.05,401.05,404.75,408.85,413.45,417.8,421.55,425.55,429.8,432.7,436.35,440.15,443.6,446.95,449.2,452.7,455.25,457.3,459.1,460.8,461.65,462.25,463.75,464.75,465.15,464.95,464.55,463.1,460.55,457.25,454.05,450.15,447.1,442.65,439.35,435.05,430.65,425.25,419.2,413.15,408.55,402.25,395.65,389.95,384,378.55,372.85,367.6,361.8,355.35,348.7,343.15,337.6,332.75,327.5,323.2,318.55,314.85,310.35,304.8,300.35,295.4,289.8,284.55,280.3,275.85,273.4,269.7,266.2,263.1,259.75,256.25,252.65,249.4,246.6,243.45,242.75,242.25,240.55,239.5,235.65,232.85,231.55,229.55,227.4,226.2,224.35,224.6,223.9,222.4,222.25,221,218.5,216.95,213.1,210.1,208,205.25,203.35,201.2,200,198.5,196.65,195.7,194.05,192.65,191.55,190.35,189.75,188.35,185.45,184.3,183.7,182.3,184.1,185.85,184.8,184.75,184.9,184.85,184.4,184.3,183.95,182.6,182.95,183.05,182.75,180.75,179.05,180.1,180.3,179.9,181.05,181,178.7,176.45,175,172.75,172.15,171.45,170.85,170.65,170.5,170.55,169.4,167.7,165.45,163.95,163.15,161.9,161.7,161.05,159.8,160.25,160.3,159.55,158.35,157.3,156.3,157.8,158.3,160.3,160.95,161.1,160.4,159.8,159,158.9,158.95,159.1,159,159.8,159.55,159.2,159.65,159.6,159.9,160.45,161.05,159.4,159.05,157.4,156.75,156.6,156.55,156.7,156.9,156.85,157.1,157.2,157.7,157.35,157.7,158.75,158.65,158.95,159.7,159.35,158.8,158.85,159,158.95,159.25,159.55,159.5,159.2,159,158.9,158.9,158.7,158.45,158.7,158.7,157.6,157.4,157.2,156.5,156.55,156.9,157.15,157.3,157.2,157.7,157.9,158.15,158.25,158.4,158.3,157.95,157.7,157.6,157.55,157.15,156.7,155.45,154.65,154.4,154.3,154.2,154.25,154.25,154.15,153.45,153.05,152.85,152.7,152.2,152.2,152.35,152.4,152.5,152.35,152.25,152.65,153.8,155.05,155.1,155.35,155.4,155.3,155.25,147.6,139.9,132.1,124.35,116.7,109.25,101.5,93.85,86.25,Orange
3,175.15,194.2,212.8,231.15,249,266.9,284.6,303.1,322.4,342.3,361.95,373.3,374.6,375.1,375.8,376.1,375.5,375.45,373.9,375.05,375.55,376.55,377.85,379.5,382.05,385.5,388.45,390.95,392.75,395.2,397.3,400.5,404.15,408.15,411.95,415.95,420.1,424.3,428.9,431.35,435.2,438.5,441.8,444.85,447.7,450.15,452.95,455.2,457.1,457.9,459.3,460.65,461.9,462.85,463.95,463.7,462.65,461.8,459.25,456.55,454.05,450.25,447.25,444.3,440.65,436.65,432.25,426.9,421.3,415,410,403.7,397.65,391.9,385.25,379.5,374.25,368,361.35,355.15,347.7,342.25,336.3,329.85,325.05,320.15,315.25,311.4,308.55,303.9,299.2,294.05,288.95,284.05,280.55,277.95,275.8,272.1,269.15,265.7,262.55,259.05,255.85,253.15,250.25,247.65,246.95,246.55,243.05,241.4,238.05,235.6,233.5,230.95,228.65,226.2,224.55,225.5,224.85,223.3,221.25,220.1,218.15,217.75,216.25,215.4,213.25,209.3,207.2,204.85,203.9,202.8,202.9,203.3,202.95,202.3,201.4,199.85,198.55,197.25,196.55,195.05,194.3,191.95,191.65,191,190.85,191.75,192.55,192.3,191.2,191,188.8,189.6,189.5,189.15,188.4,187.5,187.2,187,186.9,186.65,187.5,187.35,185.35,183.1,180.85,178.85,177.45,177,176.6,176.15,176.15,173,171,169.65,168.3,165.4,164.15,163.9,163.7,163.3,161.55,161.25,160.9,159.2,157.95,158.8,158.3,158.5,158.25,158.25,158.3,158.55,157.75,156.5,155.05,154.85,155,155.2,155.6,155.85,155.95,156.3,156.3,157.7,157.75,156.3,157,157.2,157.25,157.25,157.25,157.15,157.15,157.4,157.05,157.7,157.75,157.9,158.1,158.6,159.05,159,159.35,159.35,159.6,159.4,158.45,158.55,158.7,158.75,158.45,158,157.85,157.55,157.65,157.2,157,156.95,156.55,156.4,156.35,156.35,156.2,155.75,155.75,155.8,155.95,156.05,156.35,156.4,157.05,157.45,158.05,158.05,158.15,158.15,157.75,157.75,157.65,157.65,157.45,157.15,156.6,156.6,156.3,156.15,156.15,156.05,156.5,156.55,156.2,156.25,155.7,155.45,155.1,154.9,155.4,155.15,154.9,154.5,154.35,154,154.25,154.2,154.65,154.8,154.85,154.65,154.15,146.35,138.5,130.65,123,115.4,107.8,100.15,92.3,84.75,Orange
4,172.85,191.65,210.15,228.05,246.1,264.1,282,300.7,320.3,340.15,359.8,370.95,372.25,373.05,374.1,375.05,375.9,375.45,374.25,374.95,375.6,376.8,378.45,380.65,382.7,384.95,387.8,390.3,392.6,395,397.2,400.5,403.9,407.3,411.45,415.75,420,423.85,428.1,431.35,434.9,438.35,441.7,445,448.1,451.6,454.5,456.7,458.1,459.05,460.35,461.9,462.9,464.15,464.4,464.15,463.75,462.4,459.85,456.75,453.05,449.15,445.9,442.35,439.15,435.45,431.2,425.8,419.55,413.2,407.95,401.55,396.15,390.85,385.1,379.75,374.1,369,363.35,357.1,350.9,345.55,339.6,334.5,328,322.7,317.2,313,308.65,303.7,299.65,294.8,289.95,284.5,281.15,278,275.5,271.4,267.65,264.45,261.5,257.85,254.6,250.85,249.3,246.75,246.1,246.3,245.7,244.45,240.05,236.8,233.85,231.05,228.05,225.65,222.2,220.3,218.65,216.35,216.65,215.5,213.05,211.8,210.05,209.4,208.2,206,203.2,201.05,201.2,200.75,199.45,199.35,198.05,195.8,193.25,193.45,192.45,191.95,188.75,187.25,186.75,184.8,184.7,183.4,181.55,180.15,180.1,180.45,179,178.55,178.65,177.2,177.85,178.75,181.6,181.7,182.1,181.7,181.8,181.65,182.8,183.1,181.25,180,178.95,177.8,177.8,176.75,176.4,176.1,175.75,175.75,174.9,173.15,171.5,169.2,167.95,167.9,168.1,169.5,168.6,169.65,169.45,168.05,166.9,165.2,163.75,163.2,163.1,163.2,163.25,163.4,161.8,161.2,160.1,159.5,159.6,159.85,159.65,158.3,157.55,156.65,156.6,157.1,157.15,157.9,157.9,158.55,158.75,158.6,158.8,158.6,158.75,158.55,158.6,158.75,158.55,158.65,159.1,159.4,159.85,159.85,160,160.15,160.15,159.65,159.8,159.65,159.55,159.8,159.65,159.65,159.45,159.65,159.3,159.15,159.25,158.95,158.55,158.35,158.2,157.9,157.4,157.8,157.85,157.75,157.7,158.05,158.1,158.35,158.25,158.15,158,158.1,158,158.05,158,157.6,157.45,156.9,156.8,156.5,156.45,155.15,154.9,155,155.1,154.65,155,154.7,154.6,154.85,155,154.65,154.4,154.2,154.05,154.3,154.1,154.4,154.1,154.1,154.2,154.6,154.4,154.6,154.4,154.4,154.3,146.5,138.75,130.8,123.1,115.35,107.8,100.2,92.55,85,Orange
5,170.95,189.9,208.5,226.4,244.35,262.3,280.1,299,319.05,338.75,358.35,369.15,371.1,371.55,372.4,373,375.1,375.95,375.35,376.6,377.6,378.75,380.15,382.2,384.5,386.9,389.5,391.55,393.4,395.65,397.75,401.45,405.45,410.35,414.7,418.8,421.8,425.4,429.95,432.7,435.8,439,442.1,445.15,448.25,451.5,454.9,457.25,458.9,460.1,461.8,462.5,463.45,463.6,464,463.7,462.95,460.9,458.1,455.35,452.25,449.1,446.2,443.25,439.95,435.95,431.4,425.9,419.5,413.4,407.95,402.05,395.9,390.25,384.2,378.8,372.4,367.35,361.65,355.25,351.9,345.8,341,335.7,330.5,325.5,320,316.1,312.8,308.3,304.35,299.8,295.15,289.8,286,283.1,281.85,277.95,274.1,270.9,265,261.75,257.25,253.15,250.3,248.3,248.4,248.6,246.8,244.95,241.4,238.4,235.7,234.5,232.45,228.45,226.6,227.4,226.9,225.8,225.8,224.75,222.55,222.5,221.45,221.1,218.8,217.1,215.45,214.3,213.1,211.7,213.3,213.35,212.45,213.3,212.35,209.05,206.55,204.6,201.4,199.7,199.35,197.15,195.95,192,191.3,189.9,189.15,187.85,186.5,186.55,183.2,180.4,179.2,179.35,178.05,178.8,179.15,179.15,179.3,179.2,180.5,180.75,179.75,180,178.4,176.6,176.2,176.2,176,175.8,175.85,175.75,175,172.75,170.9,168,167.15,167,166.8,166.7,165.25,164.35,163.45,162.65,161.25,159.85,158.45,157.75,157.7,157.6,157.55,157.5,157,156.1,155.85,155.9,156.3,156.6,156.95,157,156.6,157.4,157.35,157.55,157.95,157.95,158,158.3,158.3,158.15,158.1,158,157.9,157.85,157.6,157.8,157.3,157.35,157.85,157.95,158.3,157.8,158,158.15,158.3,158.2,157.95,157.7,157.65,157.8,158.1,158.05,157.9,157.85,157.7,157.65,157.85,157.7,156.9,156.6,156.15,155.85,155.65,155.6,155.1,155.15,155.35,155.9,156.1,156.05,155.9,156.05,156.3,156.65,156.6,156.5,156.45,156.5,156.7,156.45,156.45,156.3,156.05,155.8,155.65,155.75,155.8,155.4,155.8,155.85,156.3,156.45,156.15,155.75,155.6,155.5,155.4,155.2,154.95,155.15,154.9,155.05,155.15,155.1,155.15,155.05,155.2,155.2,154.85,147.05,138.8,130.85,123.2,115.55,107.9,100.3,92.65,85.05,Orange
6,171.85,190.7,209.15,227.25,245.4,263.25,281.1,299.65,319.4,338.75,358.2,369.2,371.4,372.6,373.5,374.2,375.55,376,375.95,377.25,377.95,379.25,380.6,382.85,385,387.55,390.3,392.8,394.9,397.85,400.1,403.95,407.35,410.75,414.45,418.65,422.8,426.75,430.5,434,437.3,440.15,443.15,445.85,448.95,452.1,454.8,457.6,459.1,459.8,460.7,461.9,463.65,464.85,465.3,465.15,464.4,462.75,460.15,456.6,453.3,450.6,447.85,445.15,441.35,437.6,433.3,427.3,421.1,414.9,410.45,403.95,397.75,391.7,385.4,380.2,373.65,369.1,364.1,359.05,352.55,346.25,341.2,335,330.8,325.8,321.6,317.9,314.15,309.35,304.6,299.4,294.45,289.6,286.65,283.25,281.55,276.65,272.3,267.9,264.8,261.6,257.45,254.65,251.15,248.9,248.1,247.85,247.9,246.9,243.05,240.7,239.2,237.6,235.6,233.4,231.45,232.05,231.45,230.35,230.25,229.9,229.15,228.65,227.35,226.6,224.05,222,218.15,216.45,216.35,214.95,212.1,210.65,208.2,206.65,206.3,204.95,203.65,201.75,199.2,198.3,196.35,193.3,192.25,190.65,190.15,189.35,189.65,189.1,187.95,188.15,188.2,186.9,187.75,188.4,187.15,186.15,185.85,186.25,185.95,184.3,185.35,186.3,184.75,183.65,181.85,180.05,178.9,178.05,177.55,177.05,176.9,178.85,178.25,175.3,173,170.85,169.55,169,169,168.25,166.95,166.1,165.95,164.85,163.7,161.9,160.9,160.55,160.55,160.6,160.8,158.8,156.85,156.65,156.25,155.9,155.7,155.9,155.85,156.55,156.45,156.8,156.7,156.5,157,157.45,158.05,158.4,158.1,157.85,157.85,157.55,157.45,157.4,157.65,157.65,157.8,158,158.7,158.95,159.2,159.3,159.7,160.25,159.85,159.75,159.25,159.15,159.6,159.7,159.65,160.1,159.95,159.95,159.85,159.65,159.7,159.2,158.35,158.15,158.05,157.55,157.6,157.1,156.75,156.9,157.05,157.6,157.65,158.15,158.05,157.55,157.65,157.6,157.45,157.45,157.35,157.25,157.45,157.4,157.25,156.85,156.45,156.2,156.35,156.25,156.1,155.85,156,155.55,155.5,155.75,155.85,155.65,155.4,155.3,155.35,155.55,155.35,155.3,155.2,155.15,155.05,155.4,155.25,155.55,155.65,155.7,155.3,147.6,139.8,132,124.25,116.65,109.1,101.4,93.55,85.9,Orange
7,170.3,189.25,207.75,225.75,243.85,261.75,279.7,298.65,317.25,335.05,354.4,366.85,369.15,369.75,370.4,371.25,372.55,372.55,372.2,373.95,374.9,376.15,377.5,379.8,382.25,384.8,387.6,389.85,393.55,398.55,401.2,403.5,407.1,410.85,415.2,419.1,422.8,426.8,430.4,433.25,436.3,439.7,443.4,446.5,449,453.25,455.8,457.85,459.55,459.85,461.15,462.5,464.05,465.1,465.9,465.85,465.75,464.2,461.8,459.1,455.65,452.05,448.8,445.05,441.8,436.35,431.5,426.25,419.35,413.4,408.55,401.65,394.15,386.6,380.2,375.35,369.9,364.6,358.8,352.5,346.65,340.5,335,329.8,324.8,320.9,316.55,313.05,309.3,304.4,299.15,293.95,290.55,287.75,283.65,280.25,277.55,274.3,270.75,267.5,264.25,261.55,257.55,254.25,250.35,247.8,246.85,245.65,243.4,241.9,239.3,237.6,234.9,232.35,230.3,227.5,226.3,227.25,226.55,225,224.9,223.4,221.8,220.4,220.4,219.3,218.35,216.85,215.2,213.4,212,210.7,208.8,208.2,206.9,205.6,202.95,199.7,198,196.45,195.25,194.65,193.95,194.25,194.3,193.5,192.3,191.15,191.55,191.3,190.05,189.75,189.75,188.3,188.85,189.85,189.7,189.95,190.25,190.3,188.9,187.7,188.5,186.7,183.6,181.75,179.5,177.9,177.95,180,181.3,181.65,181.2,181.15,179.75,178.2,176.95,175.4,173.9,173.75,173.5,173.15,171.9,171.5,171.65,170.35,169.5,168.15,165.9,162.9,161.25,160.7,161.1,161.3,160.35,158.8,157.7,156.75,156.8,157.3,157.45,158.2,157.85,157.9,157.8,158.85,159.1,160.25,160.95,161,161.1,161.1,160.75,160.55,160.5,160.65,160.55,160.35,160.65,160.4,161,160.9,161.2,161.45,161.85,161.4,161.35,160.3,159.95,159.8,159.65,159.6,159.85,159.85,159.9,159.65,159.55,159.4,159.25,159.2,158.5,158.25,158.4,157.9,157.4,157.05,157.35,157.4,157.25,157.6,158,157.75,158.05,158.1,158.05,158.15,158.15,158.15,157.7,157.35,157,156.85,156.4,156.7,156.55,156.3,155.75,155.75,155.5,155.2,156.15,156.45,156.1,156.05,156.2,155.95,156.05,156,156.15,156.2,156.65,156.7,156.55,156.25,156.3,156.3,156.65,156.6,156.85,156.95,155.95,148.05,140.25,132.4,124.5,116.8,108.8,101.05,93.4,85.85,Orange
8,174.25,192.7,211.4,229.35,247.5,266.9,284.8,302.7,322.4,342.3,362.4,374.15,375.65,376.1,376.3,377.35,378.35,378.25,378.25,379.4,378.8,380.9,382.3,384.95,387.05,388.25,391,395.75,398.75,401.35,403.35,406.7,410.9,414.9,419.15,423.05,427.7,431.75,435.65,438.35,442.4,446.15,449.25,452.2,455.3,458.1,461.1,461.9,462.7,463.25,464.45,465.35,466.5,467.5,468.1,467.95,466.55,464.8,461.85,458.75,454.5,449.85,446.8,443.15,439.5,435.7,431.3,425.7,420.75,414.95,409.9,403.25,396.15,390.1,384.05,378.7,373.3,368.2,362.85,356.75,350.9,344.95,339.25,333.8,328.8,324.4,319.3,315.5,310,304.95,299.95,294.7,290.5,285.55,281.6,276.1,273.4,269.4,265.5,262.15,260.25,257.45,253.95,252.25,250.15,247.85,247.25,246.95,245.2,243.7,241.1,239.15,236.85,235.1,232.9,232.6,231.6,232.5,231.8,230.65,229.4,228.35,226.3,223.95,222.25,221.4,219.75,217.3,215.7,213.9,212.65,211.35,209.45,210,209.8,207.35,205.5,203.9,203.85,203.2,200.75,198.95,198.45,196.3,195.6,193.5,191.85,191.65,191.25,191.25,190.3,189.8,189.8,186.6,186.45,188.45,188.95,187.95,186.6,185.55,185.1,185.05,185.9,186.1,183.85,181.95,180.35,177.9,177.3,176.3,175.6,175.85,175.6,175.55,174.3,172.75,171,169.6,168.5,168,168.05,167.65,166.35,165.95,165.8,165.65,164.85,164,162.95,162.85,162.7,162.65,162.7,162.75,161.25,159.7,159.55,159.05,158.95,159.55,159.35,159.95,159.65,159.85,160.35,160.7,161.1,161.6,162.1,161.95,162.1,162.25,162.05,162.1,161.8,161.9,160.65,159.7,159.7,159.75,160.5,160.7,161.3,161.3,161.15,161.2,161,160.8,160.4,160.6,160.6,160.65,160.8,160.45,160.35,160.2,159.7,160,159.75,159.5,158.85,158.25,157.95,157.6,157.15,156.75,156.65,156.5,156.65,156.8,157.1,156.75,157.3,157.3,157.45,157.3,157.75,157.45,157.2,156.85,156.9,156.85,156.6,156.6,156.7,156.55,156.35,156.25,155.9,155.6,155.65,155.8,155.3,155.75,155.65,155.6,155,154.85,154.95,154.85,154.75,154.4,154.4,154.15,154,154.35,154.5,154.55,154.95,155.1,154.9,147.05,139.2,131.2,123.55,116,108.45,100.8,93.15,85.7,Orange
9,172.25,190.65,210,228.45,247.3,265.7,283.55,302.15,321.4,341.65,361.35,372.9,374.9,375.45,375.85,376.65,377.7,377.65,376.65,377.85,379.3,380.85,381.65,383.2,384.65,386.85,389.9,392.7,395.7,398.05,400.6,404.15,408.2,412.55,416.6,420.8,424.9,429.35,433,436.05,439.7,443.95,447.25,450.75,454,457.75,460.35,462.45,463.95,464.9,466,467.15,468.1,468.45,469,468.45,467.45,465.1,462.5,459.05,455.1,450.9,447.5,443.85,438.55,434,429.4,425.3,418.75,412,406.9,400.4,394.2,388.45,382.75,377.15,371.3,366.35,361.3,355.7,349.9,343.8,338.6,333.5,330.15,325.15,320.5,315.4,311.45,306.65,302.2,297.45,292.8,287.85,284.15,281.75,277.6,273.5,272.2,269.8,266.75,263.75,260.05,256.5,254.35,252.35,252,252.1,251.1,249.95,245.65,242.75,240.35,237.75,234.7,231.7,231.95,232.85,229.2,226.45,226.2,224.7,222.7,221.55,219.15,218.35,216.3,213.75,212.05,210.55,210.5,209.9,208.2,208.15,206.95,205.85,205.4,205.1,205.1,204.9,202.3,200.85,199.85,197.95,198.3,196.65,195.35,194,193.55,193.6,192.95,192.15,192,190.3,191,191.2,190.4,188.7,187.9,186.95,186.7,188,189.15,190.4,188.5,187.3,185.9,184.55,183.7,182.25,181.25,181.1,180.85,180.9,179.15,177.9,176.4,174.95,173.35,173.25,173.05,171.55,170.65,169.85,168.9,167.7,166.45,164.85,163.4,163,162.95,163,164.2,164.3,163.65,162.2,160.7,159.25,159.25,159.35,159.75,159.85,159.1,159.3,159.6,159.8,159.95,160.7,161.1,161.45,161.6,161.35,160.15,159.75,159.55,159.7,159.55,159.5,159.35,159.35,159.85,159.95,160.55,159.8,160.2,160.15,160.15,159.65,159.35,158.9,158.9,159.15,159.05,159.15,159.05,158.8,158.8,158.7,158.55,158.4,157.65,157.7,157.3,157.3,156.6,156.45,156.3,156.35,156.35,157.15,157.15,157.35,157.5,157.9,158.2,158.65,158.65,158.85,159,158.95,158.6,158.55,158.3,157.9,157.45,157.35,157.25,157.15,157.15,156.55,156.9,156.7,156.6,156.5,156.4,155.8,155.65,155.35,155.25,154.95,155.05,155.05,155.4,155.55,155.95,156.3,156.15,156.45,156.9,157.15,157.15,149.3,141.4,133.4,125.6,118,110.3,102.7,95,87.45,Orange
