,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,Fruits
0,165.75,182.6,200.45,218.3,235.9,254.15,273.5,294.7,316,335.85,357.3,370.25,374.3,377.35,380.15,383.4,386.1,386.4,387.8,389.15,391.7,393.8,393.85,393.8,394,393.2,391.7,389.35,385.45,384.3,380.8,376.85,374.5,372.15,369.05,364.75,361.95,361,361.55,361.25,360.5,359.25,359.7,361.3,362.85,364.65,365.8,366.8,369.75,371.95,375.4,378.95,382,385.45,389.8,394.85,399.45,403.1,406.2,410,414,419.45,424.6,429,434,440.25,445.2,451.55,458.6,465.4,470.85,478.05,484.85,492.35,500,507.95,517.25,526.6,535.95,544.75,554.65,564.4,572.9,581,588.5,595.85,605.35,612.6,619.35,626.2,632.8,639.45,646.4,651.95,655.05,656.85,656.55,654.45,652.95,649.3,643.25,637.1,632.25,627,621.75,614.85,606.9,598.65,586.4,573.25,560.1,547.05,534.2,520.15,508.2,496.35,484.95,474.75,460.55,448.15,438.05,426.7,414.65,404.3,393.8,384,374.3,366.35,359.2,351.45,344.8,335.6,325.65,319.05,311.9,305.85,301,296.55,291.9,286.9,280.6,276,271.1,265.35,259.4,255.6,251.85,247.9,244.7,241.1,237.85,236.1,235.8,233.3,232.55,231.75,229.55,226.9,224.65,222.3,219.75,217.05,217.45,217.5,217.25,215.6,214.8,212.05,211.45,210.9,208.95,206.45,203.05,200.45,197.55,195.3,190.95,187.95,186.25,186.25,187.75,187.75,185.7,182.9,181.6,179.4,176.4,173.9,170.85,169.3,168.65,168.6,169,169.85,169.4,167.65,167.95,166.65,166.5,166,164.1,164.1,163.55,165,165.75,166.15,167.4,168.3,168.65,168.55,168.8,168.4,167.9,166.8,165.5,165.4,166.2,167.5,168.8,170.1,171.75,172.95,173.3,172.5,171.35,171.1,169.9,169.85,169.05,168.9,168.75,169.8,169.4,169.1,169.3,168.95,168.3,168,168,166.9,165.35,164.9,164.55,164.6,165.05,164.7,165.5,165.95,167.4,169,169.15,168.85,169.45,170.6,170.6,171.35,171.25,170,169.05,168.85,168.9,168.3,168.1,167.8,167.3,166.75,166,164.65,164,162.9,163.7,164.9,166.3,166.3,166.8,166.1,166.5,166.3,165.35,165.2,164.85,164.8,164.9,164.75,164.65,165.25,165.55,165.8,165.9,165.85,165.65,156.45,147.2,138.6,130.15,121.75,113,105.45,98.05,90.2,Pear
1,167.35,184.85,202.2,219.45,237.65,255.9,274.35,295.3,316.15,336.2,357.8,370.6,375.05,378.25,381.4,383.35,384.85,385.8,387.85,389.5,391.65,392.65,392.6,393.1,392.45,391.65,390.55,388.5,387.75,387.45,383.8,379.6,375.9,372.6,369.25,366.7,365.35,363.55,363.8,363.95,363.65,363.5,363.8,364.35,366.75,368.95,371.55,373.1,374.05,375.1,377.5,381.15,384,387.7,392.2,396.3,400.55,404.8,408.1,412.1,416,420.6,426.2,430.8,435.25,440.55,444.8,450.35,456.85,464.3,471.05,478.3,485.7,492.95,500.6,508.95,517.35,525.45,534.45,543.4,553.3,562.8,572.25,581.75,590.35,598.35,607.9,615.45,621.9,628.05,634.7,642.35,649.5,655.1,658.9,660.25,660.3,659.15,657.9,653.6,647.75,642,636.45,630.8,624.1,617.65,608.9,599.6,587.3,574,560.3,545.05,530.7,516.5,503.6,492.7,481.7,471.45,457.2,444.75,435.2,423.9,411.3,400.4,390.15,380.3,371.6,363.9,355.75,348.3,342.2,335,327.1,321.3,314.9,308.35,303.5,297.95,292.35,287.5,281.45,276.9,272.55,266.8,262.7,258.25,254.55,250.95,248.85,246.05,242.3,239.95,238.05,234,231.2,229.9,228.35,227.95,229.05,228.95,226.8,224.25,224.55,224.3,222.1,220.3,217.05,214.55,214.2,213.2,210.8,208.2,209,209.3,209.2,206.2,203.8,200.6,197.45,194.4,193.5,193.05,190.5,189.1,187.45,185.9,185.65,183.25,180.2,178.05,177.95,178.3,175.5,173.75,171.65,171.3,169.7,167.15,166.05,166.25,166.1,166.5,166.4,166.75,166.95,167.45,166.55,167.3,168.25,168.85,169.75,169.2,169.2,168.85,168.05,166.7,167,169.1,172,173.75,175.2,176,176.95,177.2,177.5,176.5,176.45,175.95,174.3,173.5,172.6,172.85,172.45,172.6,172.25,172.15,170.7,169,166.25,165.15,163.35,162.75,162.35,161.85,161.35,161.5,161.9,163.1,164.8,166.65,167.9,168.85,169.25,169.6,169.8,169.7,169.55,169.45,169.35,168.45,168.25,167.4,166.7,166.1,166,165.45,164.95,163.5,163.85,163.25,162.85,162.05,162.05,161.65,161.75,161.7,161.3,160.4,160.15,160.3,160.35,160.45,160.8,160.15,159.9,160.4,160.4,161.05,159.8,160,160.05,152.05,143.85,135.75,127.75,120.1,112.65,105.3,97.45,89.45,Pear
2,167.4,184.55,201.9,219.65,237.6,256.1,275.45,294.7,314.8,334.95,355.85,369.4,373.6,376.8,380,382.15,384.4,384.35,385.1,387.2,389.4,390.35,390.7,390.3,390.3,389.95,388.05,387.2,386.35,385.7,382.95,378.55,374.95,372.1,370.55,367.85,365,364.1,365.55,363.8,362.55,362.45,363.3,364.7,366.5,367.75,370.35,372.2,373.7,375.35,377.45,380.65,383.7,387.05,389.4,393.55,398.4,401.55,404.4,409.25,414.15,419.3,423.25,428.15,432.75,438.3,442,448.15,454.55,461.85,468.5,476.2,484.15,492.15,499.65,508.1,516.85,526.2,535.6,545.45,555.3,564.7,574.5,582.8,590.9,599.1,608.75,615.85,623.05,629.2,636.1,642.4,647.6,653.05,657.5,659.5,660.5,659.35,657.95,652.4,646.25,640.4,635.9,629.35,622.7,615.85,605.8,596.85,584.3,571.1,557.45,543.05,529.6,515.65,502.8,491.2,479.65,469.05,454.9,443.5,434.1,422.55,408.85,399.4,389.8,379.95,373.2,365,356.95,348.6,341.3,333.1,324.55,317.85,311.75,304.8,296.85,290.1,284.05,278.4,271.75,267.7,264.5,259.45,256.1,252.75,249.4,246.15,243.9,241.4,239.4,238.85,237.5,234.55,232.75,232,232.05,231.05,230.2,228.95,226.4,223.6,223.1,222.65,219.65,217.3,214.65,213,211.1,208.95,208.8,207.25,205.05,202.85,200.3,198.3,196.7,195.65,195.8,195.95,195.6,195,193.25,190.65,189.15,187.05,185.65,182.1,180.05,179.45,176.6,175.1,175.85,176.1,174.65,172.3,170.7,167.8,165.55,163.95,164.7,164.95,164.85,165.6,166.5,167.15,167.6,169.55,172.15,173.1,173.45,173.25,172.25,171.65,171.25,171.9,171.3,172.25,172.2,172.55,172.2,172.85,172.9,172.85,172.05,171.2,169.65,167.8,165.55,164.95,164.5,164.5,164.55,166.1,166.2,166.1,165.75,164.85,165.65,165.8,165.45,165.25,165.4,165.25,165.1,165.2,165.95,166.5,167.05,167.45,168.35,168.5,168.9,167.5,168.4,167.55,168.2,168.15,167.2,167.3,167.35,167.35,166.25,165.7,165.5,164.9,164.3,163.85,163.4,163,163.95,164.75,164.4,164.7,163.9,163.7,162.65,162.65,162.5,161.7,161.2,160.8,161.3,161.3,160.9,161.45,161.2,161.85,161.8,162.2,161.3,152.55,144.6,136.4,128.4,120.7,113.05,104.95,97.4,89.8,Pear
3,165.65,182.05,199.8,217.55,237.25,256.4,276.1,297.15,318.25,338.1,359.05,371.85,376.5,380.2,383.35,385.8,388,388.85,389.9,391.2,393.9,395.65,396,396.25,394.35,392.65,390.25,388.35,386.65,386.1,383.6,380.3,376.2,372.95,369.1,369.15,367.25,365.95,366,364.3,363.85,364.15,363.95,364.5,365.85,367.8,370.3,371.4,373,374.8,376.35,379.4,382.7,386.15,391.25,393.15,397.2,401.6,406.2,411.2,415.3,419.9,425.65,430.65,435.9,441.75,445.6,450.25,455.6,462.95,470.25,478.05,485.35,493.6,501.45,509.55,518.45,526.8,535.8,546.2,556.2,566,574.85,583.75,591.9,599.85,610.95,620.45,628.45,634.5,640.9,646.65,653.55,658.35,661.95,663.3,663.2,661.4,659.9,655.25,649.65,643.5,636.65,631,625.25,617.6,607.8,597.7,584.95,571.15,557.35,542.65,527.85,513.75,500.9,489.65,479,468.7,453.75,440,428.95,417.3,407.85,397.65,387.4,378.15,369.7,362.45,354.9,347.85,342,334.85,328.5,322.7,315.3,308.6,300.2,294.25,288.95,284.7,278.8,274.55,269,262.95,259.1,256.05,253,250,249.4,246.95,243.8,241.85,239.05,235,233.15,232.45,233.15,232.2,232.45,231.7,229.9,227.05,226.75,225.45,222.3,219.6,217.2,214.4,211.65,208.85,205.8,203.3,200.8,199.55,198.15,195.75,194.4,192.9,191.35,189.85,188.7,188.2,186.95,186.05,185.4,184.2,182.65,179.85,177.1,176.5,176.6,176.75,178,179.1,178.75,179,177.45,175.4,173.75,173.6,173.75,174.3,172.9,173.75,174.8,175,174.95,176.75,179.25,179.8,180.4,180.55,179.1,177.3,176.15,174.2,172.7,172.6,173.65,174.1,175.1,176.05,177.05,176.5,175.4,174.15,173.1,172.25,169.8,169.55,169,168.85,168.95,169,168.85,168.05,168.25,167.65,167.15,166.55,166.8,167.15,167.2,166.55,166,166.75,167.2,166.4,166.7,168.05,168.85,169.05,169.1,169.6,169.9,170.6,170.3,169.95,169.15,169.65,169.75,168.8,168.55,168.55,168,166.9,166.25,165.85,165.55,164.45,164.9,166,166.4,165.9,165.95,165.65,165.65,165.6,165.65,164.85,163.4,162.75,162.05,161.9,161.75,162.2,162.05,162.45,162.35,162.4,161.45,152.15,143.85,136.05,127.8,119.75,111.75,104,96.3,88.4,Pear
4,166.75,184,201.9,219.65,237.9,256.2,275.6,297.35,318.3,338.55,360.15,374,378.9,382,384.4,387.25,389.65,389.85,390.95,393.3,395.3,396.65,396.45,396.25,395.9,395.3,393.4,390.2,388.75,387.9,385,381.05,378.4,375.95,373,369.95,367.2,365.95,365.7,365.3,364.55,364.2,364.25,365.25,366.5,368.05,370.4,372.45,373.6,375.2,376.8,379.15,381.2,384.15,388.3,392.65,396.6,400.7,404.7,408.95,413.8,418.65,424.1,430.85,435.65,441.55,446.4,451.95,458.65,465.5,472.3,479.7,486.55,494.25,502.6,510.45,520.1,528.7,538.3,548.1,557.95,567.65,577.05,584.4,592.95,600.7,609.7,617.05,623.7,631,637.95,645.25,651.75,657.2,660.15,663.2,663.65,661.8,660.25,654.2,647.7,641.75,636.2,630.5,624.6,617.9,609.1,600.2,588.1,574.15,560.25,545.55,532.05,517.75,505.2,492.1,480.35,470.95,457,445.2,435.15,423.35,410.8,399,388.4,378.55,370.3,362.5,354.15,346.45,338.7,330.6,321.5,314.6,307.95,302.15,297.3,291.25,288.15,285.05,279.65,275.25,271.5,267.25,263.7,260.4,257.7,255,253.5,250.75,249.35,247,245.45,241.75,239.15,236.8,233.6,232,228.65,226.85,227,226.55,227.4,226.85,224.15,221.55,219.05,216.05,214.9,213.65,210.8,209.45,207.85,206.5,203.75,201.8,200.55,198.75,197.15,193.95,190.6,188,185.3,183.55,183,181.4,178.3,174.85,172,170.25,170.15,169.85,170,171.25,172.2,170.85,170.15,167.65,166.95,167.55,167.75,167.75,166.45,166.55,166.45,166.85,167.15,168.75,170,170.65,170.9,171,171.1,170.15,169.2,169.45,168.2,168.4,167.9,168.3,169.2,170.15,171.3,172.35,171.8,170.95,172.2,172,170.6,170.15,169.6,169.3,169.3,169.15,169.15,168.55,168.5,168.15,168.45,167.75,166.5,166.4,166.15,164.85,165.05,165.35,164.2,164.3,165.6,167.25,167.65,168.05,167.75,168.05,168.35,168.8,169.4,169.3,169.05,169.2,169.1,168.7,168.35,167.85,166.85,166,165.6,164.55,163.3,161.75,162.55,162.75,163.1,163.05,163,163.1,162.1,162,161.55,161.4,161.45,161.3,160.65,160.4,160.1,160.1,160.25,160.7,161.9,162.25,161.95,153.75,145.45,137.3,129.1,120.75,112.85,105,97.4,89.55,Pear
5,162.4,179.25,197,214.85,232.75,251.3,270.4,291.65,313.15,332.55,353.8,367.35,372,375.65,378.55,381.1,384.15,386.5,387.95,389.2,392.2,393.75,393.3,393.35,393.1,392.55,390.9,387.55,383.5,382.4,379.75,375.25,370.75,367.2,364,361.5,359,357.25,358.05,357.8,356.75,356.65,358.8,359.45,361.35,362.4,364.6,366.95,370.35,373.2,374.9,378.35,382.5,386.35,391.2,395.5,399.85,404.5,407.5,411.45,416.7,422.3,425.75,430.7,435.1,441.4,445.7,452.45,459.35,466.7,473.65,480.55,487.2,494.6,502,510.55,519.65,527.85,537.45,547.1,556.25,565.3,574.6,582.85,590.7,598.35,608.3,615.05,621.3,627.15,633.25,639.45,647.2,653.5,656.5,657.75,658.25,656.9,655.75,651.35,646,639.95,635.4,630.2,624.6,617.25,607.65,598.6,586.9,573.75,560.4,546.95,532.4,517.9,505.8,494.05,482.7,472.05,457.5,444.7,434,421.85,409.2,396.95,387.85,378.95,369.3,361,352.9,345.3,338.85,330.95,322.15,314.9,308,302,296.45,292.25,287.15,281.6,274.8,271.2,266.95,263.6,258.75,254.75,253.05,250.45,247.85,244.65,241.2,239.55,237.8,235.05,232.65,229.95,224.95,221.1,218.75,217.7,215.45,212.35,212.1,212.15,210.9,209,206.45,203,202.1,201.15,199.25,197.05,195.2,193.2,192,192.1,194.15,193.95,195.05,194.85,194.55,194.5,191.7,189.15,186.15,183.85,183,180.45,179.85,179,180.65,180.95,181.95,182.65,181.2,178.55,176.55,173.75,171.5,170.85,171.05,170.9,170.7,171.45,172.5,173.55,174.7,177.6,177.8,179.2,178.6,178.85,177.9,176.95,176.65,176.95,175.9,176.6,177.45,177.6,179.95,181.6,183.6,183.25,182.75,182.2,180.6,178.2,176.1,173.75,172.4,171.55,171.4,171.7,171.55,172,172.3,171.55,170.45,170.5,168.1,166.75,165.35,164.75,164.65,164.05,163.2,163.65,164.6,166.1,166.2,167.05,168.5,169.1,169.3,168.8,168.6,168.2,168.15,167.55,167.7,167.3,167.15,167.1,166.45,165.7,165.6,165,164.35,163.3,164.45,163.9,162.95,162.45,162.25,161.9,161.45,162,162,161.85,162.55,163.05,163,163,163.45,163.85,163.9,164.45,164.1,164.3,163.45,155.35,147.15,139,131.1,123,115,106.7,98.8,91.15,Pear
6,166.5,184.25,202.1,219.8,237.35,255.25,274.2,295.35,316.45,336.3,358.1,371.85,376.45,380.15,383.7,386,387.5,387.2,388.1,389.45,391.45,392.7,392.95,393.35,395.4,395.75,394.7,392.1,390.6,390.25,386.85,382.85,379.55,376.15,372.85,370.2,368.75,367.35,368.25,368.6,367.95,367.15,367.55,368.25,367.7,368.75,370.55,372.45,373.7,375.55,377.65,380.5,383.75,387.55,391.55,396.9,400.9,404.95,408.35,412,416.05,420.75,424.8,429.4,434.35,440.75,445.2,451.15,457.55,464.3,470.65,477.95,485,492.25,500.25,507.65,516.95,525.55,535.15,545.2,555.15,565.1,574.4,582.6,591.5,599.15,608.5,615.9,622.4,629.1,636.9,644.75,651.4,657.35,660.65,661.75,661.2,659.35,657.75,652.35,646.5,640.35,635.85,631.2,625,618.2,610.9,602.05,590.35,576.5,562.35,546.9,532.8,518.7,505.75,494.45,483.45,473.7,459.15,448.15,439,429,416.9,405.15,394.1,383.7,373.9,365.65,358.65,351.6,344.95,338.05,329.4,321.25,315.05,309.1,304.2,298.95,293.75,287.65,280.3,274.4,269.2,264.7,262.2,259.15,255.95,253.4,250.9,247.9,244.9,241.25,241.05,239.1,235.75,232.7,229.75,227.25,225.45,222.9,220.25,217.35,217.6,217.3,214.4,212,209.7,206.5,204.85,203.65,201.75,200.2,196.9,195.4,194.8,194.45,193.75,192.4,192.15,191.8,191.7,191.3,189.7,188.1,185.5,183.85,180.4,177.3,174.25,172.35,170.95,170.95,171.25,171.3,170.2,169.05,167.05,164.9,163.35,163.3,163.35,164.5,163.8,163.5,165.05,165.25,167.4,168.85,170.15,170.55,171.6,171.35,170.8,170.05,168.9,167.65,168.4,169.4,170.5,171.15,172.45,172.75,173.4,173.25,172.45,171.7,170.5,169.5,167.75,167.4,166.55,167.35,168.05,167.9,168.6,168.6,168.05,167.4,166.9,167.1,166.4,166.1,165.9,165.8,165.9,165.5,166.1,165.55,167.15,167.85,169.6,169.1,169,169.6,169.25,169.55,168.9,168.4,168.25,167.45,166.7,165.65,164.95,164.7,164.1,163.8,162.9,163.2,162.45,162.05,161.65,161.9,161.8,161.8,162.15,161.65,161.55,161.55,161.35,161.55,162.15,163.85,164.35,163.95,164,164.4,164.6,164.35,164.35,164.5,164.35,156.2,147.9,139.95,131.85,124,115.85,107.65,99.7,91.4,Pear
7,166.6,184.25,201.5,218.7,236.6,255.05,274.2,295.05,316.25,336.4,358.05,371.2,375.35,378.9,381.6,384.55,387.25,387.2,387.85,388.85,389.85,390.45,390.75,393.3,394.05,393.55,391.85,389.8,388.35,387.85,384.75,380.55,377.1,373.6,370.55,367.85,364.95,364,364.3,364.35,364.65,364.2,364.8,363.9,364.85,366.6,369.05,370.2,371.3,372.65,374.5,378.15,383.35,387.15,391.9,396.45,401.7,405.75,410.1,414.1,418.35,423.35,427.65,432.25,436.5,441.85,446.45,452.7,459.5,466.9,473.45,480.4,485.45,492.85,500.6,508.75,517.7,526.1,535.4,545.7,556.25,566.3,576.1,585.9,594.95,603.1,612.35,620.3,626.25,632.2,639.3,645.75,652,657.5,660.65,662.15,662,659.9,657.75,652.7,646,641.4,636.3,630.75,624.45,617.1,608,598.55,586.9,573.7,559.8,545.6,531.6,517.35,504.7,492.1,478.5,469.05,455.2,443.4,433.85,421.05,408.5,396.15,384.85,375.65,368.1,360.6,353.8,346.5,340.2,333.2,324.95,318.15,311.8,306.65,304.75,301.05,297.9,292.1,285.55,280.85,277.2,272.8,269.5,265.2,260.9,256.1,252.05,249.05,246,244.05,243.7,240.45,238.05,235.95,232.6,229.25,226.55,225.6,223.6,221,220.45,220.1,219.15,217.4,215.2,213.8,214,213.3,211.95,209.25,206.05,203.95,202.45,201.6,200.95,199.25,197.5,195.55,197.5,199.9,199.9,198.95,197.05,195.8,194.55,191.45,188.9,186.5,184.9,184.45,184.7,185.75,184.25,181.4,179.2,177.6,176.9,176.8,174.5,172,169.5,168.75,167.85,167.1,166.5,167.15,166.85,167.8,168.65,169.45,169,168.15,168.2,169.05,168.7,168.1,167.85,168.55,169.75,170.85,171.75,171.1,171.3,171.05,170.95,170.45,169.85,169.2,168.5,168.2,168.2,168.15,168.1,167.45,166.6,165.95,166.55,166.25,164.8,163.8,163.2,163,163.8,164.2,163.55,163.9,164.55,165.65,166.05,165.95,166.3,166.95,166.8,166.4,166,166.2,165.4,164.9,164.6,164.3,164,163.85,162.3,161.35,161.75,161.55,161,159.9,160.35,160.35,160.45,159.9,159.7,159.9,160.85,160.6,160.65,161.8,161.9,162.1,162.35,162.5,162.85,163.6,163.45,164.25,165.65,165.95,165.2,157.1,149,141.25,133.35,125.3,116.6,108.65,100.6,91.8,Pear
8,167.9,184.6,202.1,219.45,237.45,256.95,276.35,298.3,319.2,338.7,360.4,373.9,377.65,380,382.55,385.95,388.85,389.2,391,392.75,394.75,396.45,396.55,396.3,396.3,394.75,393.1,389.75,388.45,389,385.9,382.2,378.8,376.5,373.95,370,367.6,366.25,365.45,365.2,364.5,364.55,365.75,367.25,368.7,370.45,373.1,374.1,375,375.75,378.4,381.4,384.75,387.85,392.3,396.3,400.25,404.45,409.15,412.95,417.55,422.4,426.85,431.8,437,442.4,446.55,453.05,459.8,467.25,472.7,479.6,486.35,494.05,501.35,510.15,519.35,528.6,537.55,545.8,555.55,566.15,576.95,586.05,594.5,602.5,612,619.3,625.9,632.05,638.55,645.4,652.45,658.6,662.3,663.1,662.75,660.4,658.9,654.55,648.3,641.1,634.05,628.45,621.6,614.05,605.4,596.45,583.95,570.05,556.6,542.55,529.7,515.3,500.6,488.8,477.65,467.8,453.75,441.5,431.3,419.6,407.1,396.15,385.45,376.6,368.25,360.5,352.8,345.95,339.95,331.85,321.5,314.45,310.1,304.6,300.3,295.25,290.65,286.35,279.9,276.75,273.15,267.45,261.65,257.25,251.8,248.65,246.05,242.35,239.15,237.15,237.2,233.9,229.3,226.9,223.7,220.7,218.2,215.45,213.2,209.45,209.25,209.7,209.55,207.9,207.25,204.75,204.85,204.15,201.7,199.65,196.5,194.85,195.1,194.6,190.9,188.65,186.8,186.4,186.25,186.1,183.7,182.15,181.9,181,179.4,176.25,172.9,171.35,171.15,172.05,173.1,173.65,172.85,170.85,171.2,169.45,169.5,169.65,169.8,169.75,169.1,169.95,171.35,172.55,173.9,176.55,178.1,178.65,179.55,178.8,177.5,176.35,175.5,175.55,175.3,175.65,175.85,176,176.2,176.5,177.2,175.6,173.4,171,168.7,166.35,164.85,164.3,163.15,162.6,162.6,162.55,162.7,162.25,162.1,163.05,163.3,162.9,162.95,163.3,163.25,162.7,162.35,161.65,161.55,161.8,162.4,163.55,164,164.7,165.3,165.8,166.55,166,166.55,165.45,164.75,165.45,164.95,164.65,164.9,165,164.4,164.65,164.75,164.5,164.25,163.3,164.05,164,164.1,163.95,163.35,164.65,164.15,164.1,163.95,163.8,163.9,163.65,163.2,162.65,163.1,163.2,163.45,163.35,163.75,163.8,162.9,154.6,146.25,138.45,130.35,121.3,113.05,105,97.35,89.1,Pear
9,163.05,180.35,198.15,216,234.4,252.85,272,292.8,313.95,333.95,356.15,369.9,374.8,379.65,384,387.45,390.45,390.2,391.1,393.5,396.45,398.25,398,397.9,397.75,397.55,395.85,393.8,392.05,391.4,387.3,382.95,379.1,374.95,370.7,367.55,364.8,363.95,365.05,364.55,363.65,363.2,364.05,366.35,368.45,369.95,372.45,373.85,375.25,376.75,379,382.4,385.8,389.6,393.9,398.25,403.15,407.45,411.4,415.35,419.6,424.05,428.95,432.1,435.85,441.55,445.85,452.25,459.15,466.85,473.85,480.6,487.75,495.55,503.55,512.5,520.5,528.45,536.7,546.75,557.15,567.15,576.75,586.2,594.85,602.55,612.05,619.4,626,632.15,638.7,646.15,653.35,658.75,661.65,662.7,663.95,662.5,662.2,656.5,649.7,643.15,637.25,631.75,625.6,617.8,608.7,599.4,586.85,573.05,561.6,546.85,531.95,517.55,504.85,493.1,481.75,472.05,457.45,445.7,435.9,424.65,411.85,401.15,390.55,381.55,372.4,364.4,356.9,349.95,340.6,332.25,323.25,316.5,310.65,304.5,299.5,294.25,289.25,284.8,279.25,274.8,271.3,265.85,259.85,255.1,252.05,247.75,244,240.45,238.35,237.65,236.15,232.5,229.6,227.5,222.15,218.35,215.8,213.45,210.2,207.15,207,205.6,204.75,203.45,201.65,200.6,200.9,199.7,196.6,193.45,194.35,193.95,190.95,188.75,190,190.25,190.85,189.4,189,188.6,186.8,185.4,184.4,182,180.1,176.6,173.8,172.35,171.75,171.55,169.45,169.3,169.35,169.1,167.65,164.8,163.1,162.95,163.35,164.2,163.5,165.15,165.65,166.25,166.6,168.05,168.9,169.1,169.85,170.2,169.35,168.75,168.7,167.85,166.5,166.45,166.5,167.2,167.55,167.8,168.15,166.6,166.3,167.1,166.35,165,164,163.7,163.1,162.8,163.75,163.35,163.35,162.75,162.6,162.85,162.35,162.05,161.5,161.65,161.65,161.4,161.1,159.95,160.2,160.55,161.25,162.05,162.8,163.7,163.4,164.35,164.5,165.25,165.65,165.5,165.65,165.85,165.85,165,164.45,164.3,164.1,164.25,163.8,164.65,165.5,165.4,166.65,166.55,166.1,165.6,165.3,164.55,164.3,164.25,164.05,163.6,163.3,163.3,163.2,162.8,162.75,162.55,163,162.1,161.65,161.3,159.95,151.45,143.9,135.8,128,120.2,112.15,104.05,96.35,88.45,Pear
