,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,Fruits
0,164.75,181.7,199.8,217.9,236.35,255.75,276.05,298.05,319.9,340.25,361.7,374.4,377.55,379.8,382.1,384.15,385.9,386.45,387,388.7,391.6,392.95,391.8,390.95,390,387.75,384.75,381.4,379.05,378.5,375.4,372,369.9,367.3,365.35,363.8,362.3,361.55,362.55,362.75,362.95,363.25,365,367.2,370.05,373.5,376.45,378.8,380.25,382.5,385.45,388.9,392,396.45,401.25,406.35,411.2,415.85,420.95,426.35,431.1,436.25,441.5,446.7,451.25,456.9,461.85,467.7,474.85,481.2,487.6,494.75,502.35,509.55,516.25,523.9,532.15,539.6,548,555.55,564.45,573.75,582.45,589.7,596.95,602,607.9,611.6,613.9,615.6,617.8,619.5,620.4,621.05,620.45,616.3,611.75,605.55,597.9,588.8,577.55,566.3,555.45,545.7,535.3,525.95,513.9,503.75,494.2,481.75,468.65,456.05,443.65,430.95,419.45,410.05,401.3,393.5,382.4,372.6,365.8,358,349.65,341.6,333.85,326.85,322.65,316.95,308.7,302.55,297.65,291.7,285.15,280.05,274.8,269.4,266.05,264.6,263.3,260.75,256.15,254.7,252.2,247.7,245.1,242.15,238.85,236.3,233.85,232.25,229.85,227.85,226.2,223,222.2,222.35,220.85,216.8,213.65,210.8,207.85,203.15,201.75,201.9,200.2,198.9,198.25,196.5,197.3,196.6,195.2,194.3,193.4,195.9,195.85,195.45,193.9,193.55,193.2,192.95,193.2,192.85,191.4,190.2,189.45,188.1,186.3,183.75,180.8,179.4,179.15,178.8,179.5,177.8,176.25,174.3,172.85,170.1,169.95,169.8,169.9,170.05,169.8,169.5,168.65,167.05,166.95,168,168.75,170.05,170.75,170.7,169.9,168.45,167.1,166.75,166.15,166.5,166.2,167.2,167.95,169.05,169.65,169.7,169.9,170.5,169.4,168.8,167.6,166.8,166,165.95,166.2,166.2,166.65,165.7,164.6,163.85,163.4,162.6,161.9,161.45,161.35,161.4,161.4,161.3,161.8,161.3,162.05,162.85,163.45,164.05,164.05,164.5,164.1,164.85,165,165.25,165.2,164.9,164.55,163.9,163.65,163.05,162.6,162.75,162.5,162.6,162.65,162.95,164,164.15,164.2,164.2,164.25,163.3,163.25,162.7,162.6,162.85,162.6,162.6,161.55,161.7,161.95,161.55,161.9,162.4,162.75,161.7,160.6,152.15,144.05,135.8,127.7,119.9,112,104.5,96.45,88.55,Tomata
1,165,182.2,199.95,217.6,236.25,255.35,275,296.75,317.7,337.6,358.4,371.65,375.25,378.3,381.5,383.9,386.3,386.4,386.15,387.5,389.7,390.85,390.25,389.75,388.7,387.05,385.1,381.7,380.5,380.45,377.8,374.35,371.7,369.1,366.75,364.75,363.5,362.9,364.1,364.7,364.2,365.25,366.9,369.1,371.35,373.7,375.9,378.6,379.7,381.25,384.3,387.65,391.45,395.55,400.3,405.2,409.95,413.85,418.55,422.85,427.95,432.45,437.7,443,448.05,454.3,459.6,465.75,472.65,479.85,486.25,494.35,502.6,510.1,517.65,525.8,535.6,544.25,552.6,561,569.95,578.85,587.15,594.15,600.95,606,611.9,615.85,618.05,618.75,621.1,621.7,621.85,621.5,619.4,615.25,609.1,602.2,594.85,584.65,573.15,561.5,551.15,542.75,531.55,522.35,512.65,501.7,490.05,478.05,465.05,451.5,438.75,426.85,416.45,407.4,397.95,390.3,379.5,370,363.05,355.75,347.15,337.7,330.8,323.6,316.45,311.45,306.25,301.2,295.35,290.25,284.5,279.3,273.8,268.1,264.95,258.55,254.7,251.35,247,243.7,241.35,238.05,237.05,235.5,234.5,232.2,230.15,227.55,225.75,223.7,223.6,221,220.15,220,217.85,219.55,219.55,221.65,221.35,220,219.6,219.95,218.1,215.8,212.8,210.45,210.25,211.75,212.75,213.7,211.15,210.25,209.2,208.7,208.1,205.75,203.8,200.05,197.7,196.05,194.15,191.1,188.35,185.5,183.05,180.25,177.35,174.4,171.55,169.6,169.95,170.1,168.95,166.95,164.55,162.6,162.35,162.45,162.5,163.75,164.3,164.8,166,167.05,168.4,170.2,171.95,173,174.5,174.55,173.5,173.05,172.3,171.55,171.3,171.8,171.95,172.4,173.55,173.55,172.75,172.8,172,171.45,170.6,169.15,167.35,166.1,165.4,165,165.35,165.1,165.2,164.8,164.7,164.25,164.05,163.75,163.15,162.85,162.65,162.65,162.7,162.05,162.05,162.6,163.1,163.15,163.35,164.1,164.5,164.9,164.7,165.15,164.6,164.35,164.15,164.15,163.4,163,162.5,162,161.25,161.45,161.2,160.85,160.65,160.65,161.6,161.9,161.65,161.7,161.4,160.6,160.4,160.25,159.65,158.95,159.5,159.1,159.1,159.35,159.4,159.1,159.35,158.95,159.1,159.45,158.6,150.1,142,133.85,126.15,118.6,111.1,103.4,96.15,88.65,Tomata
2,166.85,184.35,202.3,220.3,238.5,259.4,279.3,299.35,320.25,340.25,361.65,374.35,377.75,380.05,382.35,384.2,386.25,385.55,385.4,386.5,389.55,390.65,390.3,389.6,388.5,385.25,383.15,382.6,381.1,380.7,377.75,374.4,372.05,370.05,367.1,364.9,365.5,364.45,366.2,366.65,367.05,367.65,369.05,371.25,373.95,376.05,378.4,379.75,381.35,382.9,385.4,389,392.25,395.55,400.2,405.7,408.95,414,418.15,423.75,428.35,433.35,438.05,443.5,449.05,455.35,460.6,466.55,472.25,479.6,486.6,494.35,502.75,511.15,518.9,526.25,534.2,543.05,551,558.75,567.6,576.3,585.05,592.1,598.45,603.85,610.1,614.25,617.85,619.45,621.5,622.35,622.1,621.25,619.35,615.6,611.2,603.75,597.2,587.3,577.05,567.05,556.9,547.1,537.8,528.4,516.2,505.45,493.7,480.75,466.7,452.85,440.95,430.25,419.8,410.1,400.4,393.15,381.75,372.5,364.4,354.95,346.5,338.25,329.95,323.6,319.65,315.05,309.9,305.65,302.25,297.2,291,287.1,284.1,279.4,276.25,273.25,270,266.15,260.85,257.8,253.95,249.9,247.45,243.85,241.25,238.9,236.85,234.45,231.6,230.4,228.65,223.2,220.15,220.15,217.4,214.8,214.4,213.9,212.45,210.05,210.15,208.6,205.05,201,198.15,195.8,195.35,194.15,192.5,190.9,189.7,189,187.3,185,184.6,184.1,183.4,182.45,181.65,181.5,179.55,180.4,180.7,180.6,178.45,175.3,172.15,170.8,170.55,170.3,171.3,171.9,171.15,169.7,169.35,168.7,168.35,168.65,170.4,170.8,170.4,170.65,171.45,172.95,173.7,174.85,176,176.05,176.55,176.4,175.55,175.25,173.8,173.5,171.2,169.7,169.45,169.4,169.45,170.15,170.55,169.4,168.6,167.6,167.25,166.4,165.4,165.6,165.45,166.05,165.6,165.2,165.85,165.8,166.1,165.35,164.6,164.45,163.75,163,163.55,163.95,164.7,165.65,166.95,168.25,169.55,170.55,170.4,170.75,171,171.85,172.05,172.3,172.2,172.15,171.55,171.3,170.6,170.3,169.6,168.8,167.55,165.9,164.75,163.7,162.55,161.35,162.1,161.75,161.65,161.15,161.25,160.8,160.4,159.85,160.05,159.75,159.6,159.25,158.9,158.95,159.05,159.75,159.25,159.3,159.8,160.15,160.4,152.2,144.4,136.3,128.15,120.35,112.6,105.2,97.2,89.45,Tomata
3,164.75,182.35,200.5,218.35,238,257.7,277.5,298.6,320.3,339.75,360.8,374,377.4,379.45,382.25,384.5,387.35,387.95,388.5,389.5,390.9,392.25,391.65,391.3,389.1,386.75,384.55,381.95,379.85,379.8,376.9,374.15,372.1,372.85,371.5,369.4,367.75,366.7,367.95,368.35,368.45,368.3,369.65,371.8,374.65,377.2,380.1,382.45,384,386.15,388.8,392.2,395.75,397.7,401.65,406.9,412.5,416.95,421.6,426.45,430.1,435.45,440.05,444.8,451.1,456.5,461.95,467.8,474.7,480.3,486.85,494.25,502.1,509.2,516.4,524.3,532.2,541,549.15,557.7,567.9,575.95,584.35,591.8,597.55,603.65,609.05,612.95,614.5,616.8,619.15,619.6,619.95,620.2,618.4,614.25,609.6,601.75,594.65,583.95,574.2,563.55,554.7,545.85,536.25,526.85,516.65,506.95,495.8,484.65,471.85,459.55,447.15,435,425,415.65,405.9,398.45,387.05,378.45,369.45,361.7,352.4,343.2,333.95,326.9,320.8,314.8,310.1,303.25,298.45,292.65,286.75,281.65,276.25,272.55,269.6,266.8,263.3,259,253.3,249.35,245.65,242.65,240.8,237.25,233.4,230.05,226.1,224.2,221.6,219.55,217,213.85,212.35,210.15,208.75,206.9,205.75,206.15,206.1,205.5,206,204.65,203.1,201.95,201.85,201.1,201.65,201.05,199.35,198.25,198.1,197.25,196.15,195.8,194.7,192.95,191.8,190,188.9,187.5,185.15,184.05,181.8,180,177.7,174.6,172,170.55,170.85,170.9,172.6,172.55,170.9,169.1,167.35,165.75,165.35,165.25,165.3,165.5,164.85,165.5,166.7,167.2,167.65,169.3,170.5,170.65,170.5,170.8,168.5,168.4,168.55,167.25,166.3,166.65,167.65,168.8,170.3,170.65,171.4,170.85,171.55,172,171.5,171.35,170.25,170.25,170.3,170.05,170.1,170.3,169.75,170.1,169.75,168.55,168.05,167.3,166.55,166.15,166,166.25,165.6,165.5,165.9,165.65,166.6,167.7,168.05,168.55,169.1,169.3,169.85,169.65,169.55,170.5,170.15,169.65,168.65,168.5,168.05,167.3,166.1,164.65,163.6,162.45,161.85,161.3,162.25,162.1,162.2,162.25,162,162.25,162.35,161.2,160.65,160.25,160.8,160.85,161.15,161,160.9,161.4,162.05,162.35,162.75,164.05,163.55,155.25,146.9,138.8,130.8,122.65,114.4,106.7,99.25,91.8,Tomata
4,164.05,181.8,200.55,218.35,236.9,255.7,275.2,296.25,317.5,337.45,358.95,372.4,376.55,379.25,382.3,384.05,383.5,384.45,384.85,385.45,387.85,388.55,386.65,386.5,385.6,384.2,381.7,378.95,375,372.1,368.8,365.7,363.3,361.45,359.05,357.75,357.2,356.95,358.4,359.6,359.65,360.1,361.95,363.35,366,368.85,371.95,374.3,377.85,382.7,385.3,388.45,391.95,395.45,400.2,405.25,409.8,414,418,422.6,426.6,433.1,438.15,444.55,449.1,454.95,460.35,466.6,474,481.1,488.3,495.65,503.1,510.8,518.15,525.9,534.9,543.15,552.3,560.8,569.95,577.6,586,592.4,599.35,604.65,609.9,613.95,615.85,616.8,619,619.8,618.7,618.9,617.15,613.3,607.95,600.35,593.15,582.8,571.75,559.75,550,541.45,532.85,524.3,515.4,505.05,493.3,480.75,467.3,454.45,444.8,433,422.3,412.65,404.15,397.9,387.5,378.9,372.1,364.35,355.05,345.65,335.55,325.15,318.5,312.95,307.95,302.95,298.65,293.1,286.5,281.4,276.05,272.1,267.75,263.55,259.3,255.4,249.65,246.75,244.05,241.05,240.6,241,238.6,236.9,235.65,233.85,230.6,228.75,226.15,222.4,221.6,220.9,219.7,216.6,214.5,212.35,210.75,208.3,207.7,206.35,203.35,201.25,199.15,196.9,194.85,193.6,192.95,191.85,191.45,191.8,190.3,188.7,187.4,188.15,188.15,188.4,188.7,187.85,186.2,184.8,183.4,180.7,178.15,174.9,172.45,172.8,172.05,174.55,176.8,179.1,179.8,179.1,177.75,175.1,174.15,174.45,174.5,175.4,174.95,175.85,176.45,177.6,178.6,179.45,180.8,179.05,179.2,176.8,174.4,171.5,168.85,167.55,166.75,166.9,167.2,167.35,167.55,168.1,168.85,168.4,167.8,167.3,166.2,165.45,164.15,164.1,163.9,163.6,163.15,163.45,164.05,163.7,163.25,162.65,163.15,162.85,162.6,162.2,161.55,161.25,161.55,161.7,162.05,162.65,163.15,163.7,164.2,164.6,165.1,166.25,166.55,166.55,166.65,166.5,165.7,165.2,164.85,164.85,164.85,164.5,163.85,163,162.7,162,161.85,161.5,161.9,161.8,161.9,160.45,159.9,159.4,158.7,158.5,158.3,158.6,158.6,158.45,158.45,158.4,159.75,161.45,162.75,164.05,164.1,164.4,164.3,156.3,148.3,140.3,132.45,124.7,117.2,109.6,101.95,93.95,Tomata
5,166.5,183.95,201.85,220,238.6,257.45,277.15,299,320.4,340.75,362.25,375.2,378.55,381.3,383.7,385.8,387.25,387.8,387.9,389.65,391.8,392.55,391.4,390.35,389.65,389.3,386.75,382.6,380.65,379.75,376.65,374,371.6,369.45,367.25,365.05,363.6,362.9,363.8,362.85,362.8,363.3,365.2,367.3,369.3,370.55,373.55,376.25,377.65,379.7,382.25,385.1,388.35,391.8,396.3,401,405.95,410.4,415.6,420.9,426.5,431.8,437.2,441.9,447.1,452.85,458.65,465.2,472.35,479.3,485.45,492.8,500.25,508.1,515.65,523.9,532.5,540.85,549.55,558.3,566.25,575,582.95,591.05,597.65,603.5,608.05,611.85,614.7,616.15,619.35,620.65,621,620.9,618.95,614.6,608.95,601.6,593.65,583,571.5,559.65,549.75,540.2,530.75,521.2,512.25,502.1,488.7,476,462.3,448.7,436.75,424.55,413.85,404.7,396.25,389.25,378.8,370.2,362.3,355.9,347.1,337.25,326.45,318.2,310.75,305.3,300.6,295.35,290.4,285.25,279.2,274.3,269.3,264.65,261.35,258,255.25,251.45,247.65,243.3,241,239.05,239,237.9,236.1,233.5,231.6,229.15,226.7,224.9,222.45,221.85,221.15,220.45,217.15,214.55,212.6,211.45,210.4,208.1,206.9,205.55,203.45,200.85,199.1,197.75,197.95,198.05,197.75,196.95,197.1,193.8,193,192.65,192.7,191.75,190.9,189.95,188.95,188.8,187.6,187.35,188.6,188.05,186.9,186.1,185.2,184.55,183.85,183.45,184.05,185.1,183.5,181.05,179.85,177.8,176.95,176.95,177.3,177.85,177.1,176.85,175.55,175.95,175.55,174.5,173.65,173,173.85,173.9,173,172.1,170.65,170.2,168.85,169.9,170,169.6,170.6,171.65,172.65,173.7,173.6,172.4,171.85,170.85,169.25,169,168,168.15,168.2,168.3,169.15,169.45,169.7,168.5,168.2,168.65,167.75,166.6,165.95,164.2,163.4,163.45,163.45,163.55,163.85,164.85,165.25,165.1,165.5,165.35,165.1,164.6,164.95,164.7,165.15,165.3,165.35,164.95,164.55,164.45,164.25,163.55,163.1,162.85,162.8,162.25,163.05,163.9,163.55,164.65,164.6,164.4,163.7,163.55,163.4,163.15,163.25,164,164.35,164.2,163.9,164.1,164.65,164.7,165.25,165,163.95,155.3,147.25,138.3,130.25,122.4,114.6,106.75,98.6,90.6,Tomata
6,165.2,182.65,200.85,218.95,237.6,256.9,277.15,298.45,319.95,339.8,360.9,373.2,377.05,380.35,383.2,385.05,386.15,386.45,386.9,388.05,388.6,388.3,387.5,386.45,385.6,383.75,380.8,378.6,376.65,376.2,373.15,370.4,367.55,364.75,362.2,361.15,360.65,359.95,361.3,362.15,363.55,365.3,366.75,369.15,371.3,373.9,376.65,378.55,380.05,381.95,384.75,388.25,392.75,397.9,403.6,409.05,413.9,418.5,422.9,427.2,432.1,436.7,441.4,445.95,450.85,456.2,461.6,467.6,475.35,483.2,490.5,498.45,505.5,512,518.65,525.6,533.5,541.35,550.2,559.1,567.8,577.65,586.75,595.4,603.55,609.5,615.25,619.6,621.05,621.8,623.55,623.9,623.6,623.95,622.1,618,613.05,605.8,598.35,587.45,575.55,563.05,553.15,543.45,532.9,523.5,513.4,502.5,490.1,477.6,463.75,450.5,438.65,426.3,415.35,406.25,397,387.5,376.1,367.8,359.8,354.1,344.35,335.5,326.9,319.9,313.7,306,299.8,293.6,289.35,284.3,278.2,272.65,267.25,262.55,259.7,258.95,255.65,251.55,248.15,243.65,241.25,238.05,235.9,232.45,228.85,229.05,230.05,229.55,227.7,226.3,224.45,222.25,221.4,220.45,218.3,215.6,214.95,214.25,212.45,209.85,209.75,209.5,207.45,206.5,205.95,203.9,201.8,200.35,198.2,198.05,197.2,196,194.55,193.8,192.6,192.6,192.1,191.2,190.9,192.45,190.65,187.3,185.9,183.45,180.85,177.95,175.35,174.05,173.95,172.5,173.1,173.15,172.5,170.5,168.6,165.5,163.8,163.5,163.55,162.3,161.4,163.1,163.9,164.35,165.45,166.65,168.35,168.25,168.7,168.7,167.95,167.8,167.25,166.65,166.3,166.7,167.2,168,168.35,168.2,168.6,167.8,167.15,167.15,167.1,166.15,164.35,164.8,164.75,164.7,164.55,164.55,164.7,165.25,165.4,165.25,165.1,165.05,164.9,165.15,166.15,166.95,166.5,166.35,165.2,166.35,167.75,168.75,169.95,170.7,171.2,171.25,171.35,170.5,169.75,169.35,168.85,167.95,168.15,167.65,166.45,165.3,165.2,164.75,164.8,163.5,162.2,161,159.6,159,158.6,158.7,158.7,158.85,159.95,160.35,160.55,161.8,162.4,162.4,162.2,162.2,162.6,163.55,163.6,163.9,164,164.35,164.95,157.1,149.3,141.3,133.1,125.3,116.55,108.25,100.35,91.25,Tomata
7,164.5,182.1,200.1,218.45,237.25,256.45,276.45,298.55,320.15,340.35,361.8,374.15,378.5,380.95,382.9,385.6,388.6,389,389.75,390.75,393.25,393.15,392.2,391.45,389.75,387.85,386,382.6,380.3,379.5,376.3,373.75,370.65,368.95,367.15,365.05,362.25,361.45,362.85,363.5,363.9,365.35,366.85,368.5,370.95,373.45,375.45,377.5,378.05,379.3,381.9,385.2,389.65,393.55,398,403,408.4,413,417.25,421.45,425.9,430.7,435.85,440.85,446.3,452.55,457.7,463.8,472.25,480.5,486.9,494.75,501.9,509.25,516.85,524.8,531.95,540.45,548.6,557.8,565.3,574.95,583.15,591.3,599.1,604.8,610.8,614.8,616.35,616.75,619.65,620.45,620.5,620.25,618.1,613.9,610,602.7,595.5,585.45,575.65,563.9,554,544,533.5,523.35,512.55,502.1,489.75,477.9,464.35,451.2,437.65,425.9,415.45,403.25,393.8,386.4,375.7,367,359.85,351.75,342.7,334.45,326.1,317.4,311.65,306.1,301.25,295.7,290.3,287.25,282.95,278.15,273.6,271.6,268.7,265.7,262.05,258.45,254.05,250.75,248.3,245.15,242.25,238.8,235.65,233.45,231.7,230.2,229.55,225.55,224.55,221.3,218.9,217.75,215.35,213.35,213.2,212,210.85,208.6,208.65,208.3,207.35,208.7,207.6,205.85,205.65,204.5,201.9,200.05,197.5,196.35,196.25,194.45,194.3,191.75,189,190,189.85,189.6,187.35,184.85,183,181,179.65,177.05,174.1,172.75,172.1,172.35,173.1,173.25,171.5,170.35,167.95,166.75,166.65,164.7,163.85,164.15,163.95,164.75,165.5,165.85,166.75,168.1,170.75,172.2,174.35,174.6,174.25,174.1,174,173.7,173.45,173.8,174.55,174.75,175.45,176.15,176.5,176.05,176.9,177.55,176.6,174.85,172.2,170.7,169.05,168.15,167.95,168.5,168.2,168.65,168.35,167.8,167,166.8,165.8,165.15,165.1,165.75,165.05,164.45,163.9,164.6,165.4,165.95,166.2,166.75,167,166.85,167.05,166.85,166.2,165.95,165.7,165.15,165.3,165.6,165.2,163.55,162.35,160.75,160.1,159.55,159.2,158.9,159.9,160.1,161.1,162.25,163.9,164.85,164.8,165,165.35,165.5,165.4,165.05,164.9,165.2,164.9,165.35,165.45,165.7,165.6,165.95,165.4,157.35,148.25,138.85,129.2,120.15,112.4,104.35,96.45,88.6,Tomata
8,163.25,180.1,198.1,216.15,234.15,253.5,273.5,294.7,315.9,335.6,357.15,370,373.65,376.05,378.85,380.45,382.9,383.15,383.75,385.4,388.5,390.3,389,388.6,388.25,386.05,383.7,381,379.35,379.25,376.15,372.2,369.45,367.8,365.6,364.1,363.25,362.4,363.5,364.05,364.25,364.25,366.3,368.05,370.85,374.45,377.35,380.8,382.85,384.9,387.5,391.85,395.5,399.35,404.35,409.85,415.6,420.3,424.6,428.9,433.35,438.8,444.1,448.9,453.3,458.55,463,468.1,474.55,481.5,488.25,495.25,503,509.85,517.15,524.6,532,539.65,547.55,555.55,564.05,572.85,581.05,589.2,595.85,601.3,607.65,611.15,612.9,613.8,616.1,617.45,617.95,618.2,616.2,611.95,607.05,600.25,593.6,583.35,572.55,560.55,550.6,539.9,530.05,519.4,508.9,498.55,489,477.15,463.65,452.55,440.45,428.6,418.35,409.55,400.9,394.55,383.8,374.95,368,360.8,351.75,344.2,336.5,330.35,324.6,319.35,310.45,304.55,299.3,291.8,285.55,279.7,274.6,269.05,265.6,262.3,259.05,256.1,251.7,250.05,247.6,243.9,241.3,238.75,236.2,234.05,233.55,231.4,229.7,227.35,225.15,222.05,219.75,218.4,216.1,213.75,212.2,210.35,207.7,203.6,202.8,202.35,201.2,200,198.65,196.8,196.85,196.8,194.8,194.2,193.85,196.6,197.05,195.65,193.8,192.6,193.1,193.55,193.5,193.5,191.7,189.3,187.8,185,181.75,178.6,175.6,173.65,173.9,173.7,173.6,170.75,169.2,169.4,169.25,166.95,164.8,164.15,164.65,164.95,164.4,165.5,166.35,167.35,168.6,170.1,172.85,174.35,175.5,175.85,175.35,175.4,174.4,173.4,171.85,171.8,172.15,173,173.55,173.6,174.4,174.2,173.25,172.75,171.7,170.8,167.85,166.55,165.45,165.1,165.35,165.1,165.3,165.55,165.35,164.95,165.45,164.85,163.9,163.7,164.45,165.2,165.2,164.65,165.1,164.4,164.95,165.35,165.75,165.85,166.15,166.3,167.1,166.6,167.35,167.8,166.85,166.35,166,165.75,164.45,163.05,162.7,162.35,161.8,162.4,163.45,164.65,165.85,166.4,166.1,166.3,165.4,164.65,163.6,163.15,163.3,163.2,163.65,164.1,164.5,164.55,163.85,164.55,165.15,164.85,164.3,163.05,162.45,153.95,145.95,137.8,129.75,122.35,114.85,106.75,98.75,91,Tomata
9,165.85,183.4,201.45,219.7,238.35,258.15,278.1,299.6,319.55,339.7,361,375,378.15,380.55,383.75,386.75,388.05,389,389.55,390.3,392.95,394.2,392.95,391.75,390.5,388.45,386.25,383.5,383,382.6,379.75,375.45,372.35,369.9,367.4,365.55,364.85,362.55,363.95,365.15,363.55,363.95,366.05,368.35,370.5,372.85,375.05,377.05,379.25,381.5,384.1,387.3,391.05,395.25,399.7,403.8,409.05,414.45,418.25,422.4,428,432.75,437.6,442.3,447.85,453.95,459.05,465.3,471.4,478.1,484.15,491.35,499.65,508.05,515.25,523.15,530.85,539.15,547.9,557.05,565.9,574.85,584,592.45,599,603.85,609.25,612.9,615.35,616.25,619.15,620.65,620.65,620.45,619.05,615.25,610.45,603.5,596.2,585,573.35,561.45,550.65,539.75,528.4,518.4,508.95,497.1,484.85,472.4,459.15,446.4,434.15,420.8,409.2,399.4,390.6,384.15,373.1,364.65,358.8,351.25,342.35,335.2,328.95,322.9,316.6,312.8,307.7,302.1,296.75,290.25,284.35,280,275.35,271.1,264.25,256.65,252.25,249.25,243.5,240.05,237.3,233.65,231.35,228.35,225.55,222.4,220.05,218,215.85,215.25,213.5,210.6,209.6,208.55,209.35,211.3,210.85,209.35,208,205.8,205.4,203.85,201.45,199.65,198.6,197.7,198.25,199.55,199.4,199.2,198.6,197.3,196.3,195.45,195.25,194,194.1,193.1,192.25,192.35,191.2,190.95,190.7,188.6,186.85,184.25,180.85,178.05,176.6,175.3,175.3,176.4,175.5,173.2,170.85,168.2,166.4,166.65,167.25,168.5,167.7,166.8,166.25,166.85,166.4,167,168.65,169.15,169.85,169.65,169.2,168.25,167.55,168.65,168.6,168.35,168.9,168.6,169.6,168.8,169,169.35,169.1,169.15,169.1,167.9,166.3,165.55,165.05,164.7,164.8,164.95,164.35,163.25,162.85,163.35,163.05,162.75,161.6,161.65,162.2,162.9,163.45,162.6,162.25,162.75,163.2,164.7,165.45,166.25,166.3,167,167.6,167.95,167.95,167.1,167.35,167.45,167.4,166.9,165.85,164.65,163.65,163.85,163.85,163.65,163.75,162.9,163.8,163.65,163.3,162.8,162.6,162.05,161.55,161.75,161.15,161.3,162.15,162.3,162.55,162.55,162.2,162.35,162.1,162.85,162.7,162.75,161.85,153.7,145.75,137.5,129.6,121.7,113.85,106.05,98.5,90.5,Tomata
