,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,Fruits
0,171.6,191.1,211.85,232.55,255.3,276.95,298.2,320.95,344,365.8,388.15,401.65,404.95,406.6,408.35,409.95,412.1,411.35,411.55,413.3,415.55,415.55,412.85,410.15,405.75,402.4,402.1,398.75,396.6,396.1,394.7,393.1,392.65,393,393.2,394.2,395.2,396.7,400,402.15,403.9,405,408.35,412.4,416.7,421.35,423.75,427.85,431.65,435.7,439.7,444.65,449.3,454,459.65,465.8,471.9,477.75,482.75,488.3,493.9,502.05,509.05,515.55,522.75,529.95,537.05,545.15,553.05,561,568.25,577.8,587.05,595.55,603.3,610.55,618.3,625.65,633.3,640,646.7,652.8,658.95,664.4,667.3,669.15,669.1,667.5,663.55,658.1,653.1,645.95,640.4,634.55,627.3,619,610.65,599.8,588.7,575.4,561.4,546.95,533.4,520.55,509.45,498.75,489.2,479.95,469.7,459.4,449.15,438.85,428,417.35,408.55,400.4,392.2,386.45,377.9,370.55,365.95,359.35,352.05,346.55,339.6,333.1,328.15,322.9,318.4,314.25,311.25,307.25,301.3,297.25,292.8,289.15,285.85,282.3,278.25,275,269.7,266.95,264.05,259.25,257,254.7,251.7,250,248.8,246.05,242.95,241.45,241.15,238.95,237.75,233.7,230.95,227.85,226.1,224.1,222.25,220.05,219.85,219.7,217.55,215.6,213.4,210.4,208.65,207.3,204.85,201.85,198.95,196.65,195,195.85,195.45,195.15,195.1,194.3,193.35,192.35,189.75,188.25,187.15,185.95,185.7,185.3,183.4,184.65,185.05,184.95,185.4,185.75,184.05,181.55,179.35,177.05,175.6,175.75,175.8,176,175.7,175.35,175.15,175.1,173.85,172.6,172.7,170.15,169.15,168.6,167.65,166.95,166.15,166.2,165.15,164.95,164.9,165.7,166.25,166.3,167.05,166.45,165.9,164.85,163.95,162.55,161,160.9,161,161.55,161.5,161.2,161.25,161,160.9,160.85,160.85,159.9,159.95,160.1,159.8,159.8,159.6,159.95,159.75,161.05,162.05,162.65,162.85,163.5,164.15,164.35,164.75,164.65,164.6,164.25,164.35,163.9,163.2,162.75,162.35,161.75,161.15,160,160,158.8,157.9,157.2,158.05,157.3,156.95,156.85,156.55,156.45,156.05,155.9,155.65,155.8,155.85,155.8,156.15,156.35,156.35,157.2,156.95,157.2,157.25,157.45,156.8,148.95,141.1,133.45,125.6,117.9,110.4,102.8,95.25,87.5,Greenbasket
1,175.15,194.3,214.3,234.95,255.85,276.8,298.05,321.3,344.7,366.55,389.4,402.9,406.15,407.6,409.2,411.2,413.35,412.4,411.9,412.75,412.9,412.15,410.4,408.3,405.85,403.35,400.35,396.85,394.45,393.75,390.8,389.35,388.75,388.8,388.65,389.2,389.7,390.7,394.65,397.3,399.9,403.1,406.25,409.95,414.3,418.65,424.05,428.35,432.1,436.35,441.3,446.15,451.75,457.85,464.7,471.55,478.3,484.7,491,497.45,505.05,512.55,519.7,526.6,533.85,541.35,547.85,555.7,563.85,572.1,580.1,589.6,597.9,605.7,612.7,619.5,627.3,634,639.75,645.1,649.8,655.6,661.2,665.8,667.5,669.05,669.3,667.7,663.65,658,654.05,647.2,641.35,635,628,619.65,611.1,600.4,589.4,575.55,562,547.25,534.15,522.8,512.9,502.5,493,483.45,473.05,462.2,449.25,438.2,427.3,417.25,408.55,400.5,391.55,383.6,374.15,368.3,363.25,357,349.85,342.5,335.45,329.8,324.9,320.15,315.35,310.9,308.3,304.5,299.5,294.75,290.85,287.25,284.9,283.5,280.4,275.9,271.4,268.6,265.9,261.75,259.1,255.8,252.6,249.7,247.65,245.7,243.15,241.25,240.55,238.25,235.75,233.35,230.65,228.6,227.75,227,225.15,222.85,222.05,221.05,219.3,217.65,215.5,213.55,212.55,211.1,208.75,206.5,203.5,201.4,200.4,199.95,198.65,197.15,196.05,194.4,193.1,194.9,195.05,194.05,192.95,192.35,190.65,187.4,184.45,182.9,182.25,182,182.65,183.6,182.35,180.4,179.35,177.15,175.65,175.55,175.4,172.8,170.55,170.7,171.1,170.7,171.25,173.6,175.55,175.9,175.65,175.45,174.7,173.6,172.2,171.55,169.85,169.7,170.15,170.3,171.75,172.25,172.35,171.6,170.25,168.8,167.35,165.35,163.65,163.4,163.5,163.45,163,162.7,162.5,161.85,161.95,161.75,161.55,161.35,160.2,159.85,159.55,159.85,158.75,159.55,160.2,159.6,159.7,160.4,160.7,160.8,161.45,161.75,162.2,162.05,162,161.7,161.25,160.85,160.05,159.5,158.9,157.95,158.4,156.95,156,156.1,156,155.25,156.35,156.45,156.1,155.65,155.4,155,154.55,154.75,154.8,154.6,154.9,154.9,155.15,154.9,155,155.15,155.1,155.15,154.8,154.95,154.35,146.55,138.7,131.25,123.45,116,108.4,100.45,92.85,85.45,Greenbasket
2,174.4,194.1,215,235.65,256.6,277.8,298.95,321.8,344.9,366.35,388.7,402.45,405.9,407.75,409.55,412.95,415.35,414,413.35,414.5,416.05,415.35,412.85,409.65,406.9,403.9,401.05,398.1,396.1,395.8,393.7,392.3,391.3,391.3,391.5,390.3,390.3,391.65,395.1,397.35,399.3,402,405.25,410.5,415.3,420.3,425.6,429.3,433.25,435.75,440.25,445.05,450.15,455.6,461.25,467.6,474.5,481,488.05,494.3,501.05,508.2,515.1,521.25,528.05,534.95,542.1,550.1,557.4,567.05,575.2,585,594.45,603.1,611.05,618.45,626.05,632.6,638.7,644.85,650.35,655.55,660.95,665.55,668.7,669.65,669,667.05,663.1,657.15,653.7,646.75,639.95,633.4,626.1,617.65,608.9,597.95,586.3,572.85,558.85,545.35,532.4,520.8,508.8,498.65,489.25,480.4,470.45,460.45,448.65,438.3,428.45,419.75,410.2,401.6,394.65,386.95,377.5,369.75,365.5,358.7,351.55,344.35,338.3,333.2,328.45,323.7,318.9,314.5,310.25,305.45,300.05,295.7,292.4,288.8,284.85,283.55,280.4,277.45,271.95,268.9,265.7,264.8,263.05,259.85,257.5,255.8,254.35,251.85,249.55,248.25,247.55,244,241.9,241.15,238.7,236.65,235.45,234.05,232.4,230.95,230.75,226.7,223.95,222.2,219.35,216,214.25,213.1,210.3,207.35,204.3,202.05,201.05,197.65,195.85,193.15,191.5,189.9,188.5,187.15,185.3,184.1,182.85,180.95,179.25,176.2,173.5,172,171.3,171.4,172.1,172.95,171.65,171.75,170.55,169.7,169.35,169.5,169.55,169.7,168.85,169.45,169.65,170.2,171.75,173.1,174.5,174.25,174.65,174.2,172.85,171.5,169.85,168.7,167.65,167.4,167.85,167.8,168.4,168.65,169.35,168.65,167.7,166.65,164.2,163,161.55,162,161.85,162.2,163.55,163.85,163.8,163.65,163.3,163,162.75,162.65,162.35,162,162.1,162.35,162.45,162.55,162.7,163.2,164.1,164.75,164.65,164.65,163.65,163.55,164.1,163.95,163.85,163.7,163.5,163.4,163.1,162.75,162.25,161.3,160.6,159.25,158.75,158.05,157.05,156.15,156.35,156.3,156.15,156,155.65,155.35,155.3,155.15,154.85,154.65,154.55,154.85,154.5,154.45,154.55,155.1,155.05,155.2,155.35,155.4,155.6,147.7,140.05,132.25,124.35,116.75,108.95,101.25,93.7,86.15,Greenbasket
3,174.3,193.7,214.15,234.95,256,277.1,298.45,321.55,342.85,363.9,386.45,400.25,403.5,404.6,406.6,408.5,410.95,410.7,410,410.4,411.85,411.9,409.8,406.9,403.9,401.05,397.95,394.6,394.2,394.2,391.5,390.25,389.65,389.55,389.8,390.2,391,392.4,396.35,399.5,400.85,402.55,406.55,411,416.15,420.9,425.9,429.5,433.2,438.15,443.3,448.25,453.25,458.75,465.1,471.5,477.95,484.25,490.75,497.25,504.65,512.8,519.35,525.6,532.35,539.95,547.85,555.75,563.85,571.2,578.75,587.95,597.5,607.6,615.25,622.75,631.3,638.2,643.45,647.6,653,658.3,662.65,668.25,670.25,670.1,669,666.9,662.65,657.25,653.75,647.3,640.4,632.8,625.25,616.7,607.5,596.1,585.45,572.65,558.25,543.65,531.8,518.55,506.75,497.7,488.95,480.5,470.35,459.95,447.4,436.8,426.85,415.95,406.05,397.85,389.3,383.6,374.55,367.7,363.35,357.6,350.3,344.15,338.75,333.3,327.95,323.3,318.75,314.3,311.15,306.35,300.9,297.15,294.35,291.05,287.35,281.2,277,273.95,268.9,265.85,262.95,259.2,256.9,253.8,251.45,249.45,246.7,244.3,242.05,240.8,239.8,237.15,235.05,233.1,230.95,231.35,230.6,228.9,227.2,225.1,224.65,224.15,223.4,221.5,218.9,215.45,214.9,216.1,214.4,212.15,212.25,211.75,210.75,209.6,208.5,207.9,207.85,206.8,205.75,204.4,203,202.15,200.75,199.9,198.45,196.2,193.65,189.45,187.75,187.05,184.75,183.75,182.15,180.5,179.45,176.1,174.65,174.25,174.1,175.15,173.45,172.95,171.85,171.5,171.75,173.6,176.15,177.6,177.8,177.65,176.8,177.05,175.5,174.4,172.85,173.75,173.6,173.95,174.9,174.4,175.25,174.6,173.95,172.45,171.15,169,165.95,164.55,164.6,164.7,165.1,163.85,164.1,164.25,163.95,163.15,163.1,163.35,162.5,162.5,161.8,161.85,161.85,162.05,162.15,162.4,164.2,165.95,166.5,166.6,166.4,166.75,166.7,166.5,166.35,166.05,165.35,164.45,164.15,163.6,163.6,162.55,162,161.65,160.85,160.3,158.85,157.25,157.75,157.65,157.6,157.2,157.15,156.45,156.45,156.2,156.6,156.65,156.45,156.3,156.2,156.05,155.8,155.55,155.55,155.6,155.65,155.5,154.75,146.85,138.95,131.15,123.4,115.9,108.1,100.55,92.8,85.2,Greenbasket
4,173.75,193.3,212.75,233.6,254.4,276.2,298.2,321.25,344.7,367.05,390.25,404.55,408.9,411.8,413.95,415.15,417.25,416.85,416.7,417.9,419.2,419.2,419.6,416.85,414.1,410.75,406.95,403.9,401.5,400.15,396.6,393.95,392.75,392.85,393.35,394.5,395.1,396.2,399.5,401,402.85,404.4,405.65,409.75,414.6,419.55,424.9,428.6,432.2,436.6,441.85,446.9,452.2,457.3,463.05,468.8,474.9,481,487.05,494.25,501.05,509.15,517.25,524.15,531.15,538.25,546.15,553.95,561.95,569.05,576.45,586.45,595.2,603.75,611.55,619.35,627,633.95,639.65,644.8,650.7,656.45,662.1,666.65,669.6,670.6,669.55,668.1,664.7,660.3,657.2,650.1,644.3,637.4,630.1,621.55,612.95,602.65,590.45,577.15,564.75,550.65,537.05,524.65,513.55,503.25,493.75,484.45,474.15,463.7,451.75,441.5,431,421.55,413.05,404.65,397.35,391.1,383.9,376.65,370.25,364,358.85,353.15,346.15,341.7,337.35,332.8,327.5,323.4,318.4,315,310.2,304.3,300.25,296.4,292.2,288.8,285.05,281.95,276.4,272.95,270.05,266.15,263.75,260.1,257.1,254.4,252.35,249.7,248.35,245.2,243.5,242.9,240.75,239.6,237.55,235,233.9,232.85,231.8,229.95,227.65,226.35,224.75,221.4,218.8,216.05,215.05,213.55,211.3,211.7,210.35,208.3,207.25,205.8,204.6,203.6,202.4,200.65,198.85,197.7,195.45,194.4,193.3,193.15,191.8,189.1,186.45,184.85,184.15,181.25,179.85,180.3,180.2,178.5,177.1,177.25,177.65,178.05,178.2,177.8,176.95,176.9,177.05,177.7,178.9,181.5,184.1,185,185.25,185.05,185,183.75,180.95,180.55,179.35,176.7,175.2,174.8,175.75,176.45,177.1,176.15,175.3,173.8,172.65,170.35,167.55,166.75,166.6,166.85,166.75,166.75,166.65,166.05,165.75,165.8,165.85,166.25,165.25,164.95,164.6,164.9,164.5,164,162.85,163,163.85,164.1,164,163.7,163.7,163.4,163.9,163.4,163.4,162.95,162.85,162.2,162.05,161.55,161,160.1,159.15,158.55,158,157.35,156.45,156.15,155.95,156.05,156,156,155.6,155.7,155.35,155.35,154.85,154.65,154.1,154.1,153.95,153.85,153.6,153.7,153.85,153.85,154.05,154,154.1,146.25,138.5,130.85,123,115.2,107.5,99.75,92.25,84.55,Greenbasket
5,176.5,195.7,215.75,235.9,256.7,278,299.55,322.1,345.8,367.3,389.65,403.35,406.85,408.55,410.1,412.05,410.75,411.5,411.8,413.5,415.25,416.15,415.1,413.9,411.7,409.05,406.3,403.85,399.85,397.65,395.2,393.55,392.05,391.6,391.7,391.9,393.25,394.55,397.65,400.05,401.8,403.45,405.9,409.15,413.45,417.7,422.05,425.9,431.05,436.9,441.6,448.05,453.65,459.35,465.75,472.25,478.95,485,491.3,497.5,503.45,511.2,518.35,525.45,532.3,540.1,547.6,555.9,563.9,572.15,580.55,588.75,598,607,614.15,621.85,629.35,636.9,642.85,648.7,655,660.35,666.4,671.2,674.3,675.5,675.9,673.85,669.8,664.4,660.75,654.45,646.95,639.95,633.2,624,615.4,604.45,593,579.9,565.85,553.75,540.9,528.25,517.4,507.2,497,488.3,478.2,467.75,455.7,444.65,435.6,425.1,416.5,408.7,400.5,394.6,385.9,378.25,373.15,364.6,358.2,351.85,343.3,334.9,330.15,324.55,319.55,315.05,311.85,307.5,302.35,299.1,295.05,291.25,287.85,284.65,281.5,277.95,273.35,270.6,266.5,262.45,261.85,261.95,259.15,257,255.6,253.15,250,248.75,247.15,244.35,242.05,240.6,238,232.65,229.8,228.15,227.65,226.1,225.65,225.3,223.35,220.85,218.45,215.55,214.1,213.45,211.05,208,207.45,205.8,204.55,203.5,202.35,203.85,203.85,202.75,199.9,197.75,196.25,194.75,193.55,191.9,190.5,187.8,184.85,185.15,185.7,188.05,188.7,190.55,190.35,189.75,189.7,188.75,187.8,187.55,187.6,187.85,186.4,186.35,186.15,186.55,186.7,188.3,190.4,188.45,187.15,184.55,181.65,178.35,175.75,173.45,171,169.3,169.4,169.65,169.85,170.25,170.6,169.8,168.5,167.35,166,164.4,162,161.55,161.6,161.7,161.75,162.15,162.2,162.05,161.95,161.55,161.25,161.45,161.45,161.4,161.7,161.8,162.15,161.9,162.3,162.65,163.3,164.05,164.5,164.25,165.65,167.05,167,167.1,166.9,166.7,166.25,165.35,164.9,164.2,163.35,162.5,161.65,161.2,160.5,159.8,159.3,158.55,159.35,160.8,159.75,158.35,158.4,157.85,157.45,157.5,157.75,157.9,157.8,157.75,157.7,157.65,157.85,158.05,158,158.05,158.6,158.6,157.3,148.1,140.05,132.15,124.3,116.7,109.25,101.5,93.65,85.95,Greenbasket
6,178.65,197.7,217.9,238.7,259.55,280.75,302.3,325.6,348.8,371,394.3,408.1,412.1,410.8,411.95,413.35,415.4,414.75,414.7,415.85,417.5,417.95,416.6,415.6,413.7,411.2,408.85,405.45,403.5,402.45,399.2,397.9,396.9,397.05,397.8,398.7,399.5,400.8,403.7,405.65,407.15,409.2,411.6,414.35,418.5,422.7,427.15,431.75,435.35,440.1,445.05,450.05,455.45,460.85,467.2,472.45,478.7,486.05,491,497.8,505.2,512.75,520.45,527.05,533.95,542,549.35,556.85,564.9,573.05,581.1,590.9,599.55,608.15,615,623.05,630.9,636.9,644.1,649.3,654.05,660.15,665.55,670.35,673.1,674.15,675.25,673.85,670.4,664.75,660.85,653.6,647.55,640.75,633.6,625.1,615.9,605,594.85,581.95,568.85,554,541.4,529,518.35,507.75,496.45,486.8,475.95,465.25,453.05,442.55,431.85,421.35,412.5,404.7,397.35,391.35,384.1,377.05,371.95,368,360.4,353.85,346.1,340.7,336.45,329.1,323.8,318.95,315.35,310.55,305.05,301.2,297.25,293.6,290.35,286.9,281.4,277.35,271.8,266.65,263.65,259.7,257.9,255.05,252.2,252.75,250.9,248.5,245.7,246.1,245.65,242.35,239.95,237.7,234.9,232.85,231.4,230.3,228.95,226.9,226.65,226.45,224.8,222.4,219.55,215.9,215.4,214.5,212.45,207.9,204.65,203.3,202.3,201.3,200.05,199.1,198.4,197.3,196,194.45,192.65,189.95,187.05,184.9,182.85,180.2,176.85,175.15,174.4,174.2,175.5,176.75,175.55,174.35,173.4,170.6,169.2,169.55,169.5,169.95,168.6,169.75,171.5,172.65,173.75,175.6,177.9,178.25,178.35,178.6,176.95,175,174.05,174.35,174.1,173.55,174.45,174.1,175.35,175.8,176.55,175.6,174.15,172.7,171.75,170.15,167.8,167.1,167.15,166.8,166.65,167,166.55,164.55,163.05,163.05,162.35,162.15,161,160.75,160.9,161.1,161.45,161.55,160.45,161.9,162.7,163.15,163.25,163.4,163.95,163.9,164.1,164,163.85,163.85,163.2,163.2,162.9,162.5,161.6,160.9,160.1,159.45,159.8,158.25,157.8,157.55,158.4,158.35,158.15,158.05,157.85,157.65,157.45,157.15,157.45,157.35,157.35,157.2,157.1,156.9,156.85,157,156.95,156.9,157,157.1,156,148.2,140.35,132.65,124.8,117.1,109.35,101.75,94.05,86.1,Greenbasket
7,177.4,197.65,218.45,239.45,260.65,282.45,304.4,326.85,350.75,372.65,395.05,408.6,411.9,413.3,414.85,416.3,419.45,418.2,417.45,418.55,420.1,419.25,417.2,414.6,411.9,408.4,405.35,402.85,400.2,399.45,396.75,395.3,394.55,394.65,395,395.3,394.65,396.35,399.7,401.3,403,405.1,407.8,411.85,416.4,420.95,425.3,429.4,431.7,435,440.3,445.8,450.85,456.4,462.55,468.95,475.45,480.4,487.25,494.2,501.05,508.75,516.15,523.1,530.25,538.45,546.25,554.4,563.6,572.8,580.8,590.3,599.95,608.1,615.35,622.9,630.5,638.7,645.1,649.9,655,660.15,665.5,670.35,672.9,673.55,672.85,670.9,666.95,661.3,657.5,650.05,643.55,637.65,630.65,622.45,613.65,602.45,590.8,578.15,564.85,551.25,538.75,525.85,515.25,505.05,495.65,486.1,475.75,465.15,452.9,442.3,431.5,421.65,411.5,402.8,395.65,390.5,382.2,374.7,369.9,363.3,355.25,348.95,341.45,335.95,331.8,327.95,324.1,319.15,315.6,311.45,306.65,302.25,299.45,296.05,292.65,288.65,285.05,281.5,275.8,272.55,270.2,266.4,264.3,259,254.75,251.05,247.7,246.15,243.75,241.7,240.55,238.05,236.1,234.4,230.35,228.15,226.75,225.9,224.6,222.95,222.6,222.3,220.35,220.15,218.45,216.2,215.6,214.1,211.95,209.6,206.8,204.35,202.95,201.95,202.3,199.55,197.2,197.9,198.05,197.1,195.4,193.45,192.4,191.25,189.7,187.35,184.4,182.7,181.5,181.4,182.4,183.4,182.3,180.65,179,178.3,178.25,175.95,174.45,174.15,172.6,172.85,172.65,172.7,173.9,176.1,177.95,178.7,179.15,179.1,177.55,176,174.2,172.8,171.45,171.2,171.45,171.7,173.25,174.4,175.15,174.05,172.95,172.05,170.05,167.65,166.25,165.5,165.2,164.85,165.15,165,165,165,164.7,164.45,164.05,164.4,162.95,161.85,162.15,161.95,162.05,162.6,162.8,163.05,163.4,164.35,164.3,165.1,165,165.4,165.55,165.55,165.5,165.25,165.15,164.3,164.05,163.6,162.65,162.45,161.85,160.5,159.55,158.8,158.2,157.4,158.7,158.2,159.65,159.95,159.9,159.1,158.9,158.85,158.85,158.65,158.35,158.55,158.3,158.45,158.6,158.8,159.15,159.05,159.3,159.25,158.15,150.3,141.05,132.65,124.8,117.3,109.6,101.8,93.95,86.3,Greenbasket
8,176.2,195.45,216.15,237,258.1,279.9,301.75,324.75,348.45,370,390.9,404.35,408.05,410.75,412.5,414.5,416.3,415.85,414.85,415.45,417.15,417.85,416,413.55,411.15,408.15,405.15,402.05,399.5,399.2,398.3,397.35,396.25,395,395,394.95,395.45,396.65,400.1,402.55,403.95,405.35,408.5,413.35,417.85,422.7,427.35,431.6,435.45,440.1,445.3,449.75,454.9,460.65,466.45,473.55,480.45,486.6,493.8,499.35,506.6,514.75,521.65,527.55,533.95,540.95,548.55,556.1,563.9,571.8,579.3,589.1,598.65,607.05,616.4,623.55,631.35,638.1,644.05,651.05,656.7,661.9,667.55,672.85,676.2,677,676.1,674.5,670.4,664.75,661.45,654.85,648.75,642.65,634.05,625.95,617,606.5,595.15,581.6,567.25,553.4,540.25,527.2,516.25,506.75,496.65,486.2,476.05,465.3,452.9,441.85,431,420.35,411.45,403.1,395.55,390,381.75,374.1,369.45,362.7,355.45,349.2,342.05,336.8,333.1,330.05,325.8,321.95,318.6,314.35,308.95,305,300.7,296.85,292.2,288.7,285.75,283.85,278.5,275.4,272.75,268.75,267.1,263.55,260.75,258.4,256.45,254.1,251.3,249.95,248.65,245.5,244,242.25,241,238.4,236.3,234.4,233.45,231.8,231.1,230.6,228.15,225.8,223,219.25,217.75,216.65,215,214.95,213.75,214.6,213.3,212.3,210.8,209.9,208.8,206.7,204.9,203.4,201.85,200.4,199.45,197.85,196.6,194.45,191.2,189.1,187.75,184.75,183.95,182.35,181,180.25,180.45,178.7,177.15,177,176.8,177.15,175.65,174.7,174.15,174.85,174.65,176,177.45,177.2,177.45,177.25,176.2,174.95,173.1,170.95,169.25,168.75,169.6,170.65,171.5,171.75,173.05,173.55,172.65,171.85,171.2,169.35,168.15,168.35,168.05,168.1,168.5,168.6,168.95,170.55,170.9,169.95,169.15,168.2,167.4,168.05,167.65,168.1,168.3,168.45,169.2,170.95,172.45,174.1,174.95,175.45,175.25,175.35,175.45,173.9,172,172.6,172.4,172.05,171.9,170.65,169.75,168.35,167.7,166.15,164.45,163.5,162.35,160.65,159.85,159.1,159.45,159.2,159.3,158.6,158.4,157.5,157.35,157,157,156.75,156.6,156.4,156.1,156.15,156.55,155.8,155.6,155.5,155.6,148,139.95,132.05,123.9,116.3,108.8,101.05,93.25,85.75,Greenbasket
9,176,195.4,216.15,237.05,257.85,281.45,304.35,328.35,352.4,374.8,398.25,412.45,416.05,417.4,418.8,420.9,423.2,422.9,422.8,424.3,425.9,426.05,423.75,420.95,418.6,413.85,409.7,405.8,403,401.8,398.4,396.25,395.4,395.55,396,396.25,398.35,398.85,401.75,402.75,404.15,405.4,408.55,412.8,417.05,421.05,425.85,429.95,434,438.5,443.55,448.65,453.5,458.9,465.35,471.75,476.5,482.65,489.2,496.95,504.05,512.1,519.1,525.9,533.35,540.8,548.3,555.8,562.35,569.7,577.75,585.7,594.7,603.25,610.8,618.55,626.3,635.2,641.7,647.6,653.95,660.45,666.8,672.6,676,678.5,679.45,678.8,676.6,672.45,669.55,665.45,660.45,655,648.05,639.85,631.6,620.25,609.2,595.9,582.9,569.2,556.95,544.85,533.75,523.45,513.55,504.05,493.15,481.95,468.8,457.15,446.05,435,424.6,416.3,408.45,401.85,392.6,384.5,378.1,370.8,362.2,354.45,346.5,340.15,334.5,329.1,324.55,319.95,316.35,312.05,306.8,303.55,300.2,296.3,292.5,287.8,284.4,281.1,275.7,272.65,270,266.15,264.75,262.6,260.4,258.7,256.85,254.85,252.15,250.5,249.6,246,244.75,242.95,240.65,239.7,238.45,237.5,236.05,234.2,233.5,233.2,230.95,227.15,223.5,219.95,217.55,215.7,214.25,211.95,209.55,207.35,205.85,204.95,204.25,202.95,201.8,200.65,199.55,198.15,196.65,196.05,195.15,195.35,195.25,193.55,192.25,190.95,189.45,189.3,189.6,191.05,190.15,188.8,188.3,187.75,187.85,189.35,190.4,191.6,190.45,189.8,189.4,188.75,188.15,189.7,191.8,193.25,193.45,192.4,190.9,189.1,187,185.25,182.45,180.35,179.35,177.55,177.45,177.1,177.5,176.25,175.25,174.25,173.05,170.4,167.4,165.65,165.1,165.7,165.85,165.7,165.55,165.4,165.15,166.05,165.95,165.65,165.05,164.1,163.85,164,164.1,163.9,163.75,164.2,165.15,166.4,166.65,166.65,166.6,166.75,166.95,166.95,166.5,165.3,165,164.65,163.85,163.6,163,162.3,161.25,160.65,159.95,159.1,158.15,156.95,158.2,158,158,157.65,157.5,157.3,157.25,156.65,156.1,156.35,156.25,156.1,156.15,155.75,155.7,155.85,156.05,156.35,156.45,156.7,156,148.1,140.3,132.55,124.8,116.9,109.25,101.85,94.15,86.2,Greenbasket
