,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,Fruits
0,162.2,179.75,196.25,213.75,230.9,247.9,265,284.8,303.4,321.3,340.8,352.35,356.35,359.4,364.05,369.2,373.5,375.5,377.6,379.2,382.6,385.05,388.55,391.55,394.1,395.85,397.45,397.1,398.05,399.75,399.25,397.9,395.25,392.25,389.1,385,381.55,377.35,375.85,373.9,370.05,366.85,363.7,361.6,358.75,357.6,356.9,356.35,355.85,355.45,355.25,355.6,357.1,358.85,361.15,363.5,365.95,369.25,371.1,373.6,377.05,380.55,384.25,386.8,391.05,395.6,398.55,402.05,406.1,410.5,414.65,419.35,424.1,429.15,434.65,440.1,446.6,452.15,458.35,464.15,469.85,475.55,480.7,486.05,491.45,496.75,504.95,511.5,518.35,524.55,530.8,537.3,543.4,549.95,555.45,561.5,567.65,575.65,581.75,590.35,600.25,610.4,619.9,629.6,638.25,645.7,652.25,658.1,662.25,667.8,673.8,677.05,680.55,683.4,683.95,683.2,680,675.05,667.8,657.35,647.25,635.85,624.6,612.95,601.65,589.85,577.3,565.6,551.3,534.45,518.45,503.75,488.2,473.45,460.55,449.15,436.5,425,415.7,407.5,395.85,384.5,374.95,365.05,356.8,349.85,342.7,335.75,329.65,323.5,316.25,310.25,304.4,297.3,292.4,287.65,284.9,281.65,276.2,270.05,266.9,263.95,262.1,259.55,254.55,249.3,244.7,239.9,237.3,234.2,231.7,230.9,228.65,228.45,226.25,223.25,221.05,218,216.2,213.8,210.45,208,203.85,200.85,198.95,197,195.45,192.5,189.4,188.05,186.65,183,182.1,180.25,178.85,177.35,175.15,172.25,171.35,171.25,171.55,171.45,170.45,169.7,169,169.7,169.75,172.05,174.5,177.45,179.75,182.15,182.9,181.65,179.55,179,178.2,178.8,178.6,179.05,180.3,181.55,183.3,184.2,184.7,183.4,182,179.3,176.4,173.3,170.75,168.5,167.25,167.2,168.2,167.35,167.5,168.55,169.75,170.95,170.8,170.7,170.85,171.4,172.1,172.8,173.75,174.8,176.1,177.6,178.75,179.7,180.15,180.4,181.35,181.8,181.7,180,178.8,177.05,176.2,174.9,174.05,172.8,171.5,170.25,170,170.7,170.2,169.1,169,168.4,168.35,168.35,167,166.6,165.85,165.75,165.5,165.2,164.75,164.9,164.35,164.05,164.05,165,163.8,162.3,162.05,162.2,162.25,154,145.8,137.95,129.75,121.5,113.5,105.55,97.7,90.05,Succulent
1,163.05,181.05,198.75,215.9,233.35,250.15,268.65,286.85,304.5,322.1,340.75,351.6,355,357.65,361.65,365.95,370.75,372.45,375.35,376.95,380.1,382.25,384.4,387.05,389.4,392,392.5,394,396.2,398.2,398.55,397.7,394.85,392.85,389.8,386.35,382.75,379.25,375.8,372.85,368.85,365.5,362.3,359.55,356.75,354.55,352.9,351.25,350.8,350.3,349.75,350.45,352.2,353.8,355.95,358.8,361.4,363.35,366.05,369.05,372.2,374.85,378.6,382.95,387.4,393.1,396.9,400.95,404.4,408.6,413.3,418.7,423.7,429.25,434.95,441.05,447.5,453.45,459.95,466.85,473,479.85,485.6,490,495.2,500.45,508.35,515.7,522.4,529.5,535.2,541.5,547.9,553.55,559,565.3,571.3,578.75,585.1,592.65,601.55,610.9,621,630.55,638.2,645.2,650.95,655.8,660,662.95,667.65,670.2,673.1,675,675.4,673.3,670.8,666.35,659.7,650.45,640.8,629.55,617,605.7,595.75,583.5,571.6,560.1,546.35,531.7,517.5,503,488,474.55,461.25,450.2,438.95,427.05,417.85,406.45,394.35,383.9,374.45,364.5,355.65,348.2,340.65,332.9,325.6,319.85,313.35,307.25,301.75,294.45,290.65,285.1,280.2,276.2,269.8,265.3,261.6,257.8,254.6,250.2,245.1,240.8,236.3,230.9,229.3,226.45,222.75,219.35,215.95,213.2,210.2,208,205.95,203.6,202.4,201,198.95,196.55,194.7,193.05,191.9,189.95,188.6,187.95,184.75,182.7,181.3,180.1,180.25,181.3,180,178,176.4,173.95,172.8,173.7,176.45,177.75,176.15,177.35,177.75,178.9,180.15,182.15,184.7,185.45,186.3,186.4,187.05,185.75,184.5,184.15,183,183.4,184.05,183.45,182.05,181.95,182.95,182.2,181.05,179.55,177.5,174.65,172.05,171.05,170.6,170.35,168.25,168.4,167.9,167.1,166.85,166,165.5,165.15,163.6,163.6,164.65,165.8,166.4,166.7,167.3,168.6,170.2,171.85,173.1,174,174.75,174.25,174.65,174.65,175.4,175.6,175.35,175.35,175.85,174.9,173.15,171.95,170.6,169.4,168.2,166.45,165.1,163.9,163.9,163.9,163.7,163.85,164.15,163.75,162.55,162.7,162.5,162.35,162.15,162.2,162.1,161.55,161.55,161.7,162,162.7,162.75,163.45,163.6,155.15,147.1,139,130.6,122.95,115.25,107.1,99.15,91.05,Succulent
2,162.65,180,196.5,213.2,231,248.05,264.7,283.35,301.05,318.8,337.65,348.65,352.05,355.65,359.45,363.7,367.95,370.55,372.65,374.05,377.5,380.4,383.9,387.45,388.65,390.85,393.05,393.9,395.75,397.3,397.45,396.3,393.65,390.45,387.5,384.6,380.95,377.9,376.45,374.6,370.55,366.8,363.2,359.8,358.05,355.9,354.2,353.65,353.6,353.55,352.55,352.65,354.85,357.15,359.95,362.6,365.2,365.75,367.5,369.55,372.95,376.7,381.05,385,389,394.15,399.35,402.8,406.7,411.1,415.6,420.15,424.15,428.75,433.65,439.55,445.85,452.85,458.65,464.65,470.75,476.2,481.15,486.45,492.2,497.9,504.4,511.45,518.25,524.9,531.1,538.15,545.25,551.4,557.8,563.85,569.5,576.4,584.6,593.75,603.15,612.6,621.9,631.25,638.8,646.1,651.95,657.85,662.4,666.1,670.6,673.1,675.6,678.25,678.6,677.2,674.45,670.1,661.9,652.05,642,631.25,620.45,609.2,598.8,586.5,574.8,562.25,547.65,532.8,517.4,504.65,490.05,474.65,461.75,449.95,439.6,429.15,418.1,407,398.2,389.05,379.85,369.85,361.35,354,346.95,339.9,334.1,327.9,322,314.15,307.35,301.5,296.1,291.1,286.3,282.1,278.75,274.85,268.75,264.35,261.05,258.15,255.55,250.85,246.65,242.8,239.55,235.35,231.45,227.85,224.95,221.95,219.95,217.35,214.9,211.9,209.7,207.8,204.8,201.6,198.75,196.65,192.35,190.5,187.8,183.6,180.3,179.25,179.2,178.8,179.55,180.05,178.05,175.1,172.7,171.65,171.1,170.2,169.95,170,169.25,168.8,168.95,169.25,169.75,171.4,173.4,174.5,175,175.1,174.15,173.25,171.8,172.75,173.3,172.65,173.4,174.95,177.35,179.3,181.05,181.45,181.85,181.9,182.1,181.2,179.35,178.6,178.05,178.15,178.3,178.4,178.7,178.5,177.55,176.8,174.9,173.3,171.65,170.15,169.15,169.4,169.3,169.45,169,169.2,169.15,170.6,171.45,171.85,171.9,172.4,172.55,172.5,171.9,170.8,171.65,172.85,172.15,171.75,170.6,169.5,168.35,166.85,165.95,165.35,165.45,164,164.65,164.85,164.75,164.6,164.25,163.3,163.2,163.65,162.35,161,161.15,161.55,161.85,161.6,161.35,161.75,162.2,162.2,162.95,163.05,161.8,153.3,145.3,137.1,129.35,121.55,113.8,105.75,98.1,90.35,Succulent
3,162.95,179.95,196.55,212.75,229.85,246.55,263.4,282.85,301,318.6,337.95,349.15,352.55,356.75,361.3,365.45,369.5,371.4,372.4,374.5,377.55,380.6,383.55,386.85,389.2,391.15,393.05,393,394.3,395.8,394.35,392.9,391.2,388.25,385.4,381.7,378.45,374.7,373.9,372.1,368.35,365.4,362.7,359.8,357.4,355.8,354.05,353.2,352.9,353.25,353.7,354,354.1,355,357,360.05,363,365.2,366.5,368.05,371.15,374.45,378.8,382.8,386.85,391.25,396.45,400.35,404.75,409.1,413.95,419,423.85,429.65,435.1,441.05,447.1,452.8,458.75,465.55,471.5,476.95,482.1,487.95,493.6,499.9,506.7,513.45,520.1,526.8,532.1,539.3,546.5,552.9,559.55,565.8,571.9,581.05,587.55,595.5,604.7,614.65,623.3,632.6,641.05,648,653.7,659.6,663.3,666.15,670.8,673.1,675.95,678.4,678.25,676.85,674,668.6,662.2,652.6,643.6,632.9,621.85,610.2,599.2,587.55,575.3,560.9,546.05,531.75,516.45,501.85,486.5,472.9,460.5,448.8,437.95,427.1,415.5,403.75,391.65,380.85,371.7,362.2,353.6,345.55,338.5,333.25,327.6,320.6,314.6,308.6,302.2,294.3,288.8,283.5,278.55,274.25,270.95,268.45,264.8,261.1,258.1,254.25,249.75,245.95,242.1,237.7,234.1,231.25,228.5,225.5,222.65,219.7,216.4,214.35,212.4,209.25,206.4,203.05,200.25,196.95,194.55,193.15,192,190.95,190.25,189.85,189.6,189.45,188.3,190.15,191.8,192.7,192.45,190.5,189.15,186.9,186.1,186.4,186.75,187.4,185.9,185.9,185.9,185.95,185.75,186.05,187,187.9,188.9,186.15,184.3,182.9,180.45,179.65,178,177.95,179.2,181.05,183.5,185.15,186.65,186.55,184.95,183.2,180.9,178.25,176.05,173.9,172.85,172.45,172.35,172.75,172.95,172.55,172.65,172.25,171.9,171.15,169.5,168.95,168.15,167.4,168.15,168.65,169.15,169.75,170.5,172.65,174.9,176.6,177.05,177,178.65,179.8,179.6,179.15,177.95,176.4,175.05,173.65,172.6,171.9,170.7,169.55,168.95,167.95,167.15,165.2,164.65,164.15,163.7,163.4,161.8,160.2,159.7,160.05,159.55,159.7,159.9,160.25,160.4,160.75,160.9,161.45,161.9,163.2,163.9,164.35,163.4,154.65,146.65,138.8,131.05,123.25,115.45,107.35,99.95,92.05,Succulent
4,161.2,178.8,195.5,212.05,229.2,245.95,263.25,282.4,300.2,317.65,336.5,347.4,351.1,354.2,358.6,363.35,367.25,369,371.55,374.15,377.7,380.25,383.4,387,389.25,391.4,393.6,393.15,394.85,397.4,397.65,396.75,394.9,392.25,388.65,385.9,382.45,379.05,377.2,375.1,370.75,367,364,360.95,358.95,357.3,355.15,355.15,355.55,355.1,354.25,354.25,355.3,357.3,360.65,362.45,364.95,366.7,367.8,369.25,373.1,377,380.55,384.8,389.25,393.65,397.6,401.7,404.95,408.45,413.3,418.45,423.25,428.05,432.95,439.25,445.3,451.45,458.4,465.55,471.2,476.9,482.75,487.55,492.5,498.85,506.55,512.95,519.85,527,534.25,541.75,548.3,555.05,561.25,567.9,575.1,582.15,588.6,597.15,606.55,616.8,625.75,635.2,643.55,650.35,656.05,661.3,664.55,667.75,670.55,672.4,675.45,677.25,677.15,675.15,671.25,667,659.5,648.15,638.1,626.45,614.4,603.05,591.95,580.45,566.7,554.65,540.9,526.2,512.95,498.55,482.65,469.15,457.4,446.15,436.05,425.05,415.05,404.75,392.5,382.4,373.8,363.35,353.75,346,339.65,332.7,325.85,318.85,310.75,304.8,299.2,291.7,286.15,279.75,274.9,270.65,266.9,263.55,260.75,256.95,254.45,251.45,247.55,242.75,239.5,236.1,235.1,232.65,228.95,224.9,221.9,218.7,215.6,214.1,211.85,208.45,205.9,203.55,200.45,197.45,193.9,192.4,191.35,189.95,187.95,186.15,183.55,183.8,183.95,183.55,184.3,185.2,183.95,181,178.5,176.7,175.7,175.45,175.4,175.7,175,174.65,174.15,173.8,173.85,173,173.45,172.2,172.65,172.65,171.2,169.95,168.75,168.95,169.25,169.65,169.25,171,172.8,173.25,173.8,173.95,174.4,174.95,175.25,175.2,173.5,173.25,172.5,172.4,172.2,172.1,172.1,172,171.15,170.7,172,171.1,170.8,171.85,172.2,172.1,171.15,170.75,170.3,170.3,171.85,173.85,176.1,177.95,179,179.8,179.55,179.55,179.05,178.7,177.65,176.9,175.9,174.15,173.35,172.15,171.35,170.3,169.25,168.25,167.2,165.3,163.25,161.55,160.35,160,160.4,159.85,159.65,159.65,159.85,159.65,159.35,159.6,159.6,160.55,160.9,162.25,162.95,163.1,163.2,163.35,163.7,155.85,148.35,140.25,132.1,124.3,116.55,108.5,100.3,92.6,Succulent
5,165.6,183.95,201.75,218.55,235,252.3,269.35,288.7,307.05,324.85,343.7,355.4,358.8,363.3,365.3,368.75,372.3,373.9,376.85,377.65,379.35,381.5,383.6,387.3,390.5,392.5,393.95,394.2,395.85,398.2,398.1,396.75,394.15,390.65,387.45,384.55,381,378.4,377.1,375.85,372.35,367.8,364.1,360.25,357.35,355.55,354.6,353.15,352.2,351.5,350.75,351.75,353.15,355.2,357.95,359.85,362.3,363.55,364.15,366.05,369.25,373.6,377.6,381.7,386.3,390.3,393.65,398.05,402.05,406.2,411.1,415.3,420.25,425.4,430.35,435.7,442,448.2,454.95,461.45,467.8,473.6,479.3,484.95,489.95,496.4,502.75,508.8,515.5,521.75,527.75,534.9,542,547.95,554.35,562.4,569.55,577.2,583.6,591.5,600.3,610.25,619.15,627.75,635.6,642.25,649.1,654.85,658.35,661.8,666.05,669.2,671.65,674.05,673.95,671.6,667.65,662.55,656.65,647.7,638.25,628.4,617.9,607.05,597.05,583.55,572.2,560.35,546.65,532.35,519.4,504.75,489.05,474.95,463,451.35,441,430.9,418.95,406.4,394.45,382.55,372.8,362.8,353.95,348.55,342.3,336.2,330.3,326.65,319.4,315.7,310.4,303.5,297.7,293.4,289.25,284.7,280.45,277.25,273.3,268.6,264.55,261.5,256.9,252.05,246.75,241.95,239.4,233.45,228.95,222.9,219.75,216.75,214.3,211.45,208.35,205.15,203.55,201.65,199.4,197.4,195.6,192.7,189.75,186.65,184.15,180.65,177.15,175.5,174.95,174.25,175.1,176.4,175.85,175,174.8,174.4,173.7,173.7,173.65,173.95,172.9,173.75,174.9,176.25,177.6,179.5,181.95,182.6,182.9,182.55,180.75,179.05,177.1,176.1,174.95,173.25,172.85,173.3,174.8,176.25,177.6,177.4,176.65,176.5,175.05,173.35,171.25,170.75,170.2,170.35,170.55,170.6,170.25,169.5,168.65,169.1,169.45,169.8,169.5,169.35,169.8,170.75,171.75,171.85,171.35,172.2,173.8,175.8,176.3,176.8,177.15,177.75,178.1,177.45,176.65,175.6,174.75,173.75,172.9,171.3,170,168.45,167.05,166.1,166.45,165.8,164.5,162.5,163.3,163,162.8,162.25,162.2,161.95,162.15,162.4,163.75,164.3,164.25,164.2,164.1,163.45,163.7,163.95,163.65,164.2,164.6,165.15,165.25,157.25,149.3,141.3,133.1,125.25,117.05,109,99.75,91,Succulent
6,161.75,179.25,196.35,212.65,229.55,246.25,263.55,282.25,300.1,318.05,337.1,347.9,351.1,354.95,359.4,363.35,367.25,368.9,371.9,373.5,376.85,379.65,382.5,385.85,388.2,390.4,391.75,392.85,394.75,396.45,395.85,394.75,393,390.05,386.8,383.25,379.7,377.15,375.25,372.95,368.95,366.1,363.35,360.8,358.55,356.65,355.1,353.8,354.25,353.85,355.25,356.7,358.15,360.45,362.25,365.2,367.95,369.55,371.8,374.1,377.55,380.05,383.15,387.3,392.3,397.25,401.65,405.05,407.8,411.35,414.6,418.25,422.4,427.5,432.95,438.3,444.2,451,456.95,463.5,469,475.25,482.45,487.5,492.2,497.9,505.4,512.4,519.6,527.2,533.45,540.9,547.9,553.9,560.4,567,573.75,580.35,586.35,594.15,603.4,613.15,620.4,629.95,638.3,645.9,652.35,658.15,661.9,665.1,669.25,672.25,675.45,677.95,677.95,676.3,673.2,667.6,660.55,650.75,641.25,629.75,618.95,607.15,596,583.95,571.4,559.65,546.05,531.9,518.15,503.75,488.5,475.55,464.25,452.4,441.75,432.5,422.05,410.95,398.95,388.95,379.45,369.7,361.45,354.75,347.35,336.75,329.1,323.85,317.85,311.15,304.5,296.65,290.2,285.6,280.85,275.95,272.05,268.85,265.3,261,258.45,254.95,250.35,245.1,240.95,239.9,238.55,234.35,229.85,226.55,223.65,219.95,216.9,214.5,212.05,209.65,207.95,207.3,205.25,203.1,198.7,197.05,194.35,191.85,189.7,186.55,183.2,180.75,179.5,178.5,179.25,181.65,181.4,179.05,176.4,173.55,171.65,169.6,169.2,168.8,169.4,169.1,170.15,171.3,172.65,175.55,178.4,181.05,181.45,181.7,180.2,177.65,175.9,176.2,177.25,178.15,178.9,179.65,180.45,181.2,181.85,181.85,181.15,179.75,177.7,175.1,171.85,169.4,169,168.75,168.85,168.95,168.6,168.05,167,167,167.05,166.55,166.05,166.25,165.45,165.8,166.45,166.1,166.5,167.05,168.5,170.45,171.55,172.05,172.6,172.9,173.4,172.5,172.25,171.25,170.6,170,169.6,168.7,168.7,167.4,166,165.5,164.85,163.85,162.8,161.2,161.5,161.5,161.55,161.2,162.15,163.2,163.5,163.45,163.35,163.45,163.8,164.2,164.15,164,164.1,164.8,164.85,165.35,165.5,165.75,165,156.8,148.5,140.5,131.3,122.35,113.75,105.85,98,90.2,Succulent
7,165.1,182.45,199.2,215.7,232.65,249.45,266.35,285.55,303.7,321.45,340.65,352.3,355.65,359.65,363.2,367.05,371,372.5,374.7,375.55,378.65,381.25,383.95,387.15,389.65,391.75,393.1,393.4,395.25,397.45,397.2,395.4,392.9,389.9,386.25,382.1,378.5,375.15,373.7,372.15,368.55,365.15,362.3,359.75,357.7,355.95,356.45,355,353.85,353.3,353.55,354.5,355.85,357.25,359.6,362.4,364.35,365.55,367,369.15,372,375.45,379.35,383.15,387.45,392.15,394.5,399.1,403.3,407.3,411.5,415.45,420.55,425.75,431.1,436.5,442.75,449.45,455.15,461.35,467.45,473.6,479,484.05,489.05,495.2,502.7,509.45,516.45,522.75,527.9,534.75,541.3,547.5,554.15,561.05,567.65,575.4,582.45,590.95,599.7,608.6,617.75,627.45,635.2,641.2,647.05,651.75,655.55,659.35,663.85,668,670.8,672.9,672.5,671.35,668.65,664.25,656.9,646.1,636.7,626.05,614.4,603.2,592.95,582,570.4,558.9,544.8,530.3,516.95,501.8,486.85,473.05,460.55,447.6,437.1,426.55,415.9,405.85,393.7,383.8,374.45,366.35,358.6,351.3,343.95,336.6,329.95,324.2,317.9,311.8,306.3,299.35,294.8,291.7,285.1,280.05,277,273.25,269.95,265.1,262.2,256.9,251.75,246.9,242.7,238.6,236.45,232.45,227.45,223.05,219.4,216.5,212.85,207.1,205.9,201.65,197.75,194.85,192.3,190.35,187.25,184.9,182.9,181.5,179.9,177.1,174,172.6,172.25,172.3,173.2,174.45,173.85,175.05,174.8,175.05,175.05,175.8,175.9,176.2,176,176.75,178.05,178.9,178.9,180.1,182.8,183.55,183.35,183.3,181.9,180.05,178.55,177.05,175.85,175.75,176.55,176.6,178.1,179.8,181.75,182.15,180.35,178.5,177.25,175.75,173.15,172,172.05,172.1,172.3,172.1,172.1,172.15,170.9,169.55,168.65,168.25,167.35,166.3,164.25,162.85,163.35,164.55,165.05,165.7,166.15,167.35,167.8,167.6,167.75,168.15,168.4,168.3,168.05,167.85,168.2,168.05,167.2,166.85,166.85,166.2,164.9,163.1,162.3,161.6,161.35,160.75,160.75,161.85,161.9,161.7,161.5,161.25,161.2,161.75,161.8,161.7,162.05,162,162.5,162.7,162.5,162.85,162.8,163.3,164,164.55,164.85,155.85,147.45,139.75,131.7,123.55,115.7,107.4,99.15,91.3,Succulent
8,161.95,178.75,195.45,212.3,229.2,246,262.85,281.45,299.25,317.65,336.6,347.4,350.45,353.95,357.75,362.2,365.85,367.85,370,371.75,374.95,377.65,380.7,383.45,385.95,387.9,390,390.75,392.55,393.65,393.6,393,391,387.65,385.2,381.65,378.95,376.25,375.45,373.4,370.1,367.15,363.8,363.1,361.65,360.45,358.55,357.25,357.25,357.05,356.8,356.7,357.9,360,361.8,364.9,367.1,368.15,369.2,371.55,374.1,377.55,381.5,383.75,387.3,391.7,395.4,399.45,402.65,406.6,411.25,415.9,420.65,425.65,431.15,435.75,441.8,447.6,454.1,460.25,466.3,472.05,477.65,482.75,487.85,493.6,501.3,508.35,515.4,521.9,527.4,534.8,541.55,548.05,554.9,562.05,568.95,577.25,583.85,592.25,601.3,611.2,620.1,629.25,637.7,645.15,651.85,657.65,662.4,668.05,673.2,677.1,680.05,682.35,681.85,680.4,677,672.35,664.65,654.3,645.25,634.45,623.3,612.05,600.95,588.85,576.95,564.7,550.25,533.8,519.8,504.25,488.5,474.45,462.1,450,439.65,429.2,419.65,411,399.05,388.45,378.9,368.7,359.6,351.85,343.8,337.15,330.55,325,318.4,312.05,306.95,300.7,295.05,290.5,285.05,280.45,276.9,271.15,267.25,263.2,260.2,257.5,253.45,249.45,245.45,240.4,238.25,234.15,229.25,228.3,225.75,224.6,222.4,219.75,218.4,215.75,212.3,209.75,207.1,204.9,202.6,200.8,199.1,196.4,194.5,191.55,187.8,186.1,185.7,182.35,181.65,179.2,177,175.2,172.85,169.95,168.7,169,169.3,169.25,168.45,167.75,167.5,167.85,167.7,168.9,171.3,172.25,172.15,171.85,170.6,170.15,169.55,169.65,168.95,169.45,170.25,170.7,172.15,173.9,175.1,175.6,175.9,175.4,174.25,173.15,171.25,170.2,169.8,170.1,170.3,169.75,170.5,170.05,168.95,168.3,168.7,169.5,169.25,168.5,167.95,167.25,166.45,166.65,167.8,169.45,171.15,173,173.8,173.95,174.3,174.85,174.5,174,174.45,174.6,173.25,172.05,170.7,169.9,168.9,168.2,167.8,167.2,166.25,165.4,163.75,162.7,163.25,163.4,163.25,162.95,162.45,162.4,162.2,162,162.2,161.95,161.95,161.85,162.05,162.25,163.45,164.65,165.1,165,165.7,166.9,168.2,160.1,152.2,144.35,136.4,128.3,120.2,112.15,104.3,96.3,Succulent
9,162.8,180.1,197.45,214.85,231.8,248.9,266.8,284.9,302.8,320.8,339.75,350.75,354.5,358.2,362.05,365.95,369.35,370.9,373.6,374.95,377.5,380.1,382,384.35,387.05,388.6,389.3,390.7,392.35,393.75,393.35,392.4,389.45,386.45,383.6,380.25,377,374.25,370.4,367.25,365.15,362.15,359.3,356.6,353.65,352,350.65,349.6,349.85,349.5,349.2,349.65,351,352.9,356.25,359.4,361.75,362.9,366.55,370.1,371.9,375,378.55,382.5,387,391.95,395.65,399.65,402.75,406.7,411,417.3,422.6,427.4,430.85,436,442.6,449.3,455.5,462,468.6,474.4,480.85,486.25,491.65,497.4,505.6,512.45,519.35,524.95,531,536.35,542.85,549.45,556.1,562.8,568.7,575.7,582.3,590,599,609.4,618.25,626.8,635.6,643.6,649.3,655.1,659.3,663.85,667.8,670.45,673.3,675.5,675.8,674.05,671.05,666.05,658.45,648,638.35,626.45,615.3,605,593.8,581.25,569.25,556.8,542.95,529.7,516.75,502.3,486.85,473.15,460.25,449.1,439.45,429.65,419.65,410.95,398.75,388.7,378.65,368.1,359.15,351.15,344.2,337.05,330.7,324,316.55,310.15,304.1,297,292.85,288.5,283.15,278.85,275.55,270.7,267.5,263.65,260.55,257.45,253.25,249.1,245.4,240.3,237.35,234.9,232.25,229.25,227.1,224,220.3,216.7,214.1,211.5,208.3,205.5,202.95,200.35,198.5,196.45,194.2,192.6,190.1,187.85,185.2,183.3,181.9,181.1,180.55,181.25,180.7,179.2,177.3,174.05,173.35,174.75,174.85,174.85,174.75,175.3,176.2,176.7,177.6,180,182.05,182.55,183.35,183.6,182.6,181.4,179.9,179.3,179.3,180.4,180.65,180.1,180.9,181.85,181.25,181.05,179.8,179.15,177.1,174.65,172.45,170.85,169.7,169.15,169.15,169.35,168.95,168.4,168.1,167.55,166.9,166,165.05,164.75,164.65,163.75,163.35,162.5,162.7,163.65,165.4,166.7,167.35,167.9,168.45,168.3,169.15,168.95,168.3,167.75,167.45,166.95,166.65,166.3,166.05,166.35,166.2,165.9,165.45,164.45,162.65,161.65,161.95,161.8,161.85,161.9,161.45,161.55,161.3,161.05,161.8,162.7,162.8,162.5,162.55,161.85,161.85,161.9,162.1,162.45,163.75,164.75,165.45,157.4,149.3,141.25,133.3,125.1,116.9,109.05,100.75,92.45,Succulent
